,HOT GR Equity
2010-04-27,8.686
2010-04-28,8.686
2010-04-29,8.686
2010-04-30,8.686
2010-05-01,8.686
2010-05-02,8.686
2010-05-03,8.686
2010-05-04,8.686
2010-05-05,8.686
2010-05-06,8.686
2010-05-07,8.686
2010-05-08,8.686
2010-05-09,8.686
2010-05-10,8.686
2010-05-11,8.686
2010-05-12,8.686
2010-05-13,8.686
2010-05-14,8.686
2010-05-15,8.686
2010-05-16,8.686
2010-05-17,8.686
2010-05-18,8.686
2010-05-19,8.686
2010-05-20,8.686
2010-05-21,8.686
2010-05-22,8.686
2010-05-23,8.686
2010-05-24,8.686
2010-05-25,8.686
2010-05-26,8.686
2010-05-27,8.686
2010-05-28,8.686
2010-05-29,8.686
2010-05-30,8.686
2010-05-31,8.686
2010-06-01,8.686
2010-06-02,8.686
2010-06-03,8.686
2010-06-04,8.686
2010-06-05,8.686
2010-06-06,8.686
2010-06-07,8.686
2010-06-08,8.686
2010-06-09,8.686
2010-06-10,8.686
2010-06-11,8.686
2010-06-12,8.686
2010-06-13,8.686
2010-06-14,8.686
2010-06-15,8.686
2010-06-16,8.686
2010-06-17,8.686
2010-06-18,8.686
2010-06-19,8.686
2010-06-20,8.686
2010-06-21,8.686
2010-06-22,8.686
2010-06-23,8.686
2010-06-24,8.686
2010-06-25,8.686
2010-06-26,8.686
2010-06-27,8.686
2010-06-28,8.686
2010-06-29,8.686
2010-06-30,8.9592
2010-07-01,8.9592
2010-07-02,8.9592
2010-07-03,8.9592
2010-07-04,8.9592
2010-07-05,8.9592
2010-07-06,8.9592
2010-07-07,8.9592
2010-07-08,8.9592
2010-07-09,8.9592
2010-07-10,8.9592
2010-07-11,8.9592
2010-07-12,8.9592
2010-07-13,8.9592
2010-07-14,8.9592
2010-07-15,8.9592
2010-07-16,8.9592
2010-07-17,8.9592
2010-07-18,8.9592
2010-07-19,8.9592
2010-07-20,8.9592
2010-07-21,8.9592
2010-07-22,8.9592
2010-07-23,8.9592
2010-07-24,8.9592
2010-07-25,8.9592
2010-07-26,8.9592
2010-07-27,8.9592
2010-07-28,8.9592
2010-07-29,8.9592
2010-07-30,8.9592
2010-07-31,8.9592
2010-08-01,8.9592
2010-08-02,8.9592
2010-08-03,8.9592
2010-08-04,8.9592
2010-08-05,8.9592
2010-08-06,8.9592
2010-08-07,8.9592
2010-08-08,8.9592
2010-08-09,8.9592
2010-08-10,8.9592
2010-08-11,8.9592
2010-08-12,8.9592
2010-08-13,8.9592
2010-08-14,8.9592
2010-08-15,8.9592
2010-08-16,8.9592
2010-08-17,8.9592
2010-08-18,8.9592
2010-08-19,8.9592
2010-08-20,8.9592
2010-08-21,8.9592
2010-08-22,8.9592
2010-08-23,8.9592
2010-08-24,8.9592
2010-08-25,8.9592
2010-08-26,8.9592
2010-08-27,8.9592
2010-08-28,8.9592
2010-08-29,8.9592
2010-08-30,8.9592
2010-08-31,8.9592
2010-09-01,8.9592
2010-09-02,8.9592
2010-09-03,8.9592
2010-09-04,8.9592
2010-09-05,8.9592
2010-09-06,8.9592
2010-09-07,8.9592
2010-09-08,8.9592
2010-09-09,8.9592
2010-09-10,8.9592
2010-09-11,8.9592
2010-09-12,8.9592
2010-09-13,8.9592
2010-09-14,8.9592
2010-09-15,8.9592
2010-09-16,8.9592
2010-09-17,8.9592
2010-09-18,8.9592
2010-09-19,8.9592
2010-09-20,8.9592
2010-09-21,8.9592
2010-09-22,8.9592
2010-09-23,8.9592
2010-09-24,8.9592
2010-09-25,8.9592
2010-09-26,8.9592
2010-09-27,8.9592
2010-09-28,8.9592
2010-09-29,8.9592
2010-09-30,9.6414
2010-10-01,9.6414
2010-10-02,9.6414
2010-10-03,9.6414
2010-10-04,9.6414
2010-10-05,9.6414
2010-10-06,9.6414
2010-10-07,9.6414
2010-10-08,9.6414
2010-10-09,9.6414
2010-10-10,9.6414
2010-10-11,9.6414
2010-10-12,9.6414
2010-10-13,9.6414
2010-10-14,9.6414
2010-10-15,9.6414
2010-10-16,9.6414
2010-10-17,9.6414
2010-10-18,9.6414
2010-10-19,9.6414
2010-10-20,9.6414
2010-10-21,9.6414
2010-10-22,9.6414
2010-10-23,9.6414
2010-10-24,9.6414
2010-10-25,9.6414
2010-10-26,9.6414
2010-10-27,9.6414
2010-10-28,9.6414
2010-10-29,9.6414
2010-10-30,9.6414
2010-10-31,9.6414
2010-11-01,9.6414
2010-11-02,9.6414
2010-11-03,9.6414
2010-11-04,9.6414
2010-11-05,9.6414
2010-11-06,9.6414
2010-11-07,9.6414
2010-11-08,9.6414
2010-11-09,9.6414
2010-11-10,9.6414
2010-11-11,9.6414
2010-11-12,9.6414
2010-11-13,9.6414
2010-11-14,9.6414
2010-11-15,9.6414
2010-11-16,9.6414
2010-11-17,9.6414
2010-11-18,9.6414
2010-11-19,9.6414
2010-11-20,9.6414
2010-11-21,9.6414
2010-11-22,9.6414
2010-11-23,9.6414
2010-11-24,9.6414
2010-11-25,9.6414
2010-11-26,9.6414
2010-11-27,9.6414
2010-11-28,9.6414
2010-11-29,9.6414
2010-11-30,9.6414
2010-12-01,9.6414
2010-12-02,9.6414
2010-12-03,9.6414
2010-12-04,9.6414
2010-12-05,9.6414
2010-12-06,9.6414
2010-12-07,9.6414
2010-12-08,9.6414
2010-12-09,9.6414
2010-12-10,9.6414
2010-12-11,9.6414
2010-12-12,9.6414
2010-12-13,9.6414
2010-12-14,9.6414
2010-12-15,9.6414
2010-12-16,9.6414
2010-12-17,9.6414
2010-12-18,9.6414
2010-12-19,9.6414
2010-12-20,9.6414
2010-12-21,9.6414
2010-12-22,9.6414
2010-12-23,9.6414
2010-12-24,9.6414
2010-12-25,9.6414
2010-12-26,9.6414
2010-12-27,9.6414
2010-12-28,9.6414
2010-12-29,9.6414
2010-12-30,9.6414
2010-12-31,11.2302
2011-01-01,11.2302
2011-01-02,11.2302
2011-01-03,11.2302
2011-01-04,11.2302
2011-01-05,11.2302
2011-01-06,11.2302
2011-01-07,11.2302
2011-01-08,11.2302
2011-01-09,11.2302
2011-01-10,11.2302
2011-01-11,11.2302
2011-01-12,11.2302
2011-01-13,11.2302
2011-01-14,11.2302
2011-01-15,11.2302
2011-01-16,11.2302
2011-01-17,11.2302
2011-01-18,11.2302
2011-01-19,11.2302
2011-01-20,11.2302
2011-01-21,11.2302
2011-01-22,11.2302
2011-01-23,11.2302
2011-01-24,11.2302
2011-01-25,11.2302
2011-01-26,11.2302
2011-01-27,11.2302
2011-01-28,11.2302
2011-01-29,11.2302
2011-01-30,11.2302
2011-01-31,11.2302
2011-02-01,11.2302
2011-02-02,11.2302
2011-02-03,11.2302
2011-02-04,11.2302
2011-02-05,11.2302
2011-02-06,11.2302
2011-02-07,11.2302
2011-02-08,11.2302
2011-02-09,11.2302
2011-02-10,11.2302
2011-02-11,11.2302
2011-02-12,11.2302
2011-02-13,11.2302
2011-02-14,11.2302
2011-02-15,11.2302
2011-02-16,11.2302
2011-02-17,11.2302
2011-02-18,11.2302
2011-02-19,11.2302
2011-02-20,11.2302
2011-02-21,11.2302
2011-02-22,11.2302
2011-02-23,11.2302
2011-02-24,11.2302
2011-02-25,11.2302
2011-02-26,11.2302
2011-02-27,11.2302
2011-02-28,11.2302
2011-03-01,11.2302
2011-03-02,11.2302
2011-03-03,11.2302
2011-03-04,11.2302
2011-03-05,11.2302
2011-03-06,11.2302
2011-03-07,11.2302
2011-03-08,11.2302
2011-03-09,11.2302
2011-03-10,11.2302
2011-03-11,11.2302
2011-03-12,11.2302
2011-03-13,11.2302
2011-03-14,11.2302
2011-03-15,11.2302
2011-03-16,11.2302
2011-03-17,11.2302
2011-03-18,11.2302
2011-03-19,11.2302
2011-03-20,11.2302
2011-03-21,11.2302
2011-03-22,11.2302
2011-03-23,11.2302
2011-03-24,11.2302
2011-03-25,11.2302
2011-03-26,11.2302
2011-03-27,11.2302
2011-03-28,11.2302
2011-03-29,11.2302
2011-03-30,11.2302
2011-03-31,3.3457
2011-04-01,3.3457
2011-04-02,3.3457
2011-04-03,3.3457
2011-04-04,3.3457
2011-04-05,3.3457
2011-04-06,3.3457
2011-04-07,3.3457
2011-04-08,3.3457
2011-04-09,3.3457
2011-04-10,3.3457
2011-04-11,3.3457
2011-04-12,3.3457
2011-04-13,3.3457
2011-04-14,3.3457
2011-04-15,3.3457
2011-04-16,3.3457
2011-04-17,3.3457
2011-04-18,3.3457
2011-04-19,3.3457
2011-04-20,3.3457
2011-04-21,3.3457
2011-04-22,3.3457
2011-04-23,3.3457
2011-04-24,3.3457
2011-04-25,3.3457
2011-04-26,3.3457
2011-04-27,3.3457
2011-04-28,3.3457
2011-04-29,3.3457
2011-04-30,3.3457
2011-05-01,3.3457
2011-05-02,3.3457
2011-05-03,3.3457
2011-05-04,3.3457
2011-05-05,3.3457
2011-05-06,3.3457
2011-05-07,3.3457
2011-05-08,3.3457
2011-05-09,3.3457
2011-05-10,3.3457
2011-05-11,3.3457
2011-05-12,3.3457
2011-05-13,3.3457
2011-05-14,3.3457
2011-05-15,3.3457
2011-05-16,3.3457
2011-05-17,3.3457
2011-05-18,3.3457
2011-05-19,3.3457
2011-05-20,3.3457
2011-05-21,3.3457
2011-05-22,3.3457
2011-05-23,3.3457
2011-05-24,3.3457
2011-05-25,3.3457
2011-05-26,3.3457
2011-05-27,3.3457
2011-05-28,3.3457
2011-05-29,3.3457
2011-05-30,3.3457
2011-05-31,3.3457
2011-06-01,3.3457
2011-06-02,3.3457
2011-06-03,3.3457
2011-06-04,3.3457
2011-06-05,3.3457
2011-06-06,3.3457
2011-06-07,3.3457
2011-06-08,3.3457
2011-06-09,3.3457
2011-06-10,3.3457
2011-06-11,3.3457
2011-06-12,3.3457
2011-06-13,3.3457
2011-06-14,3.3457
2011-06-15,3.3457
2011-06-16,3.3457
2011-06-17,3.3457
2011-06-18,3.3457
2011-06-19,3.3457
2011-06-20,3.3457
2011-06-21,3.3457
2011-06-22,3.3457
2011-06-23,3.3457
2011-06-24,3.3457
2011-06-25,3.3457
2011-06-26,3.3457
2011-06-27,3.3457
2011-06-28,3.3457
2011-06-29,3.3457
2011-06-30,1.8324
2011-07-01,1.8324
2011-07-02,1.8324
2011-07-03,1.8324
2011-07-04,1.8324
2011-07-05,1.8324
2011-07-06,1.8324
2011-07-07,1.8324
2011-07-08,1.8324
2011-07-09,1.8324
2011-07-10,1.8324
2011-07-11,1.8324
2011-07-12,1.8324
2011-07-13,1.8324
2011-07-14,1.8324
2011-07-15,1.8324
2011-07-16,1.8324
2011-07-17,1.8324
2011-07-18,1.8324
2011-07-19,1.8324
2011-07-20,1.8324
2011-07-21,1.8324
2011-07-22,1.8324
2011-07-23,1.8324
2011-07-24,1.8324
2011-07-25,1.8324
2011-07-26,1.8324
2011-07-27,1.8324
2011-07-28,1.8324
2011-07-29,1.8324
2011-07-30,1.8324
2011-07-31,1.8324
2011-08-01,1.8324
2011-08-02,1.8324
2011-08-03,1.8324
2011-08-04,1.8324
2011-08-05,1.8324
2011-08-06,1.8324
2011-08-07,1.8324
2011-08-08,1.8324
2011-08-09,1.8324
2011-08-10,1.8324
2011-08-11,1.8324
2011-08-12,1.8324
2011-08-13,1.8324
2011-08-14,1.8324
2011-08-15,1.8324
2011-08-16,1.8324
2011-08-17,1.8324
2011-08-18,1.8324
2011-08-19,1.8324
2011-08-20,1.8324
2011-08-21,1.8324
2011-08-22,1.8324
2011-08-23,1.8324
2011-08-24,1.8324
2011-08-25,1.8324
2011-08-26,1.8324
2011-08-27,1.8324
2011-08-28,1.8324
2011-08-29,1.8324
2011-08-30,1.8324
2011-08-31,1.8324
2011-09-01,1.8324
2011-09-02,1.8324
2011-09-03,1.8324
2011-09-04,1.8324
2011-09-05,1.8324
2011-09-06,1.8324
2011-09-07,1.8324
2011-09-08,1.8324
2011-09-09,1.8324
2011-09-10,1.8324
2011-09-11,1.8324
2011-09-12,1.8324
2011-09-13,1.8324
2011-09-14,1.8324
2011-09-15,1.8324
2011-09-16,1.8324
2011-09-17,1.8324
2011-09-18,1.8324
2011-09-19,1.8324
2011-09-20,1.8324
2011-09-21,1.8324
2011-09-22,1.8324
2011-09-23,1.8324
2011-09-24,1.8324
2011-09-25,1.8324
2011-09-26,1.8324
2011-09-27,1.8324
2011-09-28,1.8324
2011-09-29,1.8324
2011-09-30,3.6199
2011-10-01,3.6199
2011-10-02,3.6199
2011-10-03,3.6199
2011-10-04,3.6199
2011-10-05,3.6199
2011-10-06,3.6199
2011-10-07,3.6199
2011-10-08,3.6199
2011-10-09,3.6199
2011-10-10,3.6199
2011-10-11,3.6199
2011-10-12,3.6199
2011-10-13,3.6199
2011-10-14,3.6199
2011-10-15,3.6199
2011-10-16,3.6199
2011-10-17,3.6199
2011-10-18,3.6199
2011-10-19,3.6199
2011-10-20,3.6199
2011-10-21,3.6199
2011-10-22,3.6199
2011-10-23,3.6199
2011-10-24,3.6199
2011-10-25,3.6199
2011-10-26,3.6199
2011-10-27,3.6199
2011-10-28,3.6199
2011-10-29,3.6199
2011-10-30,3.6199
2011-10-31,3.6199
2011-11-01,3.6199
2011-11-02,3.6199
2011-11-03,3.6199
2011-11-04,3.6199
2011-11-05,3.6199
2011-11-06,3.6199
2011-11-07,3.6199
2011-11-08,3.6199
2011-11-09,3.6199
2011-11-10,3.6199
2011-11-11,3.6199
2011-11-12,3.6199
2011-11-13,3.6199
2011-11-14,3.6199
2011-11-15,3.6199
2011-11-16,3.6199
2011-11-17,3.6199
2011-11-18,3.6199
2011-11-19,3.6199
2011-11-20,3.6199
2011-11-21,3.6199
2011-11-22,3.6199
2011-11-23,3.6199
2011-11-24,3.6199
2011-11-25,3.6199
2011-11-26,3.6199
2011-11-27,3.6199
2011-11-28,3.6199
2011-11-29,3.6199
2011-11-30,3.6199
2011-12-01,3.6199
2011-12-02,3.6199
2011-12-03,3.6199
2011-12-04,3.6199
2011-12-05,3.6199
2011-12-06,3.6199
2011-12-07,3.6199
2011-12-08,3.6199
2011-12-09,3.6199
2011-12-10,3.6199
2011-12-11,3.6199
2011-12-12,3.6199
2011-12-13,3.6199
2011-12-14,3.6199
2011-12-15,3.6199
2011-12-16,3.6199
2011-12-17,3.6199
2011-12-18,3.6199
2011-12-19,3.6199
2011-12-20,3.6199
2011-12-21,3.6199
2011-12-22,3.6199
2011-12-23,3.6199
2011-12-24,3.6199
2011-12-25,3.6199
2011-12-26,3.6199
2011-12-27,3.6199
2011-12-28,3.6199
2011-12-29,3.6199
2011-12-30,3.6199
2011-12-31,-5.7617
2012-01-01,-5.7617
2012-01-02,-5.7617
2012-01-03,-5.7617
2012-01-04,-5.7617
2012-01-05,-5.7617
2012-01-06,-5.7617
2012-01-07,-5.7617
2012-01-08,-5.7617
2012-01-09,-5.7617
2012-01-10,-5.7617
2012-01-11,-5.7617
2012-01-12,-5.7617
2012-01-13,-5.7617
2012-01-14,-5.7617
2012-01-15,-5.7617
2012-01-16,-5.7617
2012-01-17,-5.7617
2012-01-18,-5.7617
2012-01-19,-5.7617
2012-01-20,-5.7617
2012-01-21,-5.7617
2012-01-22,-5.7617
2012-01-23,-5.7617
2012-01-24,-5.7617
2012-01-25,-5.7617
2012-01-26,-5.7617
2012-01-27,-5.7617
2012-01-28,-5.7617
2012-01-29,-5.7617
2012-01-30,-5.7617
2012-01-31,-5.7617
2012-02-01,-5.7617
2012-02-02,-5.7617
2012-02-03,-5.7617
2012-02-04,-5.7617
2012-02-05,-5.7617
2012-02-06,-5.7617
2012-02-07,-5.7617
2012-02-08,-5.7617
2012-02-09,-5.7617
2012-02-10,-5.7617
2012-02-11,-5.7617
2012-02-12,-5.7617
2012-02-13,-5.7617
2012-02-14,-5.7617
2012-02-15,-5.7617
2012-02-16,-5.7617
2012-02-17,-5.7617
2012-02-18,-5.7617
2012-02-19,-5.7617
2012-02-20,-5.7617
2012-02-21,-5.7617
2012-02-22,-5.7617
2012-02-23,-5.7617
2012-02-24,-5.7617
2012-02-25,-5.7617
2012-02-26,-5.7617
2012-02-27,-5.7617
2012-02-28,-5.7617
2012-02-29,-5.7617
2012-03-01,-5.7617
2012-03-02,-5.7617
2012-03-03,-5.7617
2012-03-04,-5.7617
2012-03-05,-5.7617
2012-03-06,-5.7617
2012-03-07,-5.7617
2012-03-08,-5.7617
2012-03-09,-5.7617
2012-03-10,-5.7617
2012-03-11,-5.7617
2012-03-12,-5.7617
2012-03-13,-5.7617
2012-03-14,-5.7617
2012-03-15,-5.7617
2012-03-16,-5.7617
2012-03-17,-5.7617
2012-03-18,-5.7617
2012-03-19,-5.7617
2012-03-20,-5.7617
2012-03-21,-5.7617
2012-03-22,-5.7617
2012-03-23,-5.7617
2012-03-24,-5.7617
2012-03-25,-5.7617
2012-03-26,-5.7617
2012-03-27,-5.7617
2012-03-28,-5.7617
2012-03-29,-5.7617
2012-03-30,-5.7617
2012-03-31,-0.9683
2012-04-01,-0.9683
2012-04-02,-0.9683
2012-04-03,-0.9683
2012-04-04,-0.9683
2012-04-05,-0.9683
2012-04-06,-0.9683
2012-04-07,-0.9683
2012-04-08,-0.9683
2012-04-09,-0.9683
2012-04-10,-0.9683
2012-04-11,-0.9683
2012-04-12,-0.9683
2012-04-13,-0.9683
2012-04-14,-0.9683
2012-04-15,-0.9683
2012-04-16,-0.9683
2012-04-17,-0.9683
2012-04-18,-0.9683
2012-04-19,-0.9683
2012-04-20,-0.9683
2012-04-21,-0.9683
2012-04-22,-0.9683
2012-04-23,-0.9683
2012-04-24,-0.9683
2012-04-25,-0.9683
2012-04-26,-0.9683
2012-04-27,-0.9683
2012-04-28,-0.9683
2012-04-29,-0.9683
2012-04-30,-0.9683
2012-05-01,-0.9683
2012-05-02,-0.9683
2012-05-03,-0.9683
2012-05-04,-0.9683
2012-05-05,-0.9683
2012-05-06,-0.9683
2012-05-07,-0.9683
2012-05-08,-0.9683
2012-05-09,-0.9683
2012-05-10,-0.9683
2012-05-11,-0.9683
2012-05-12,-0.9683
2012-05-13,-0.9683
2012-05-14,-0.9683
2012-05-15,-0.9683
2012-05-16,-0.9683
2012-05-17,-0.9683
2012-05-18,-0.9683
2012-05-19,-0.9683
2012-05-20,-0.9683
2012-05-21,-0.9683
2012-05-22,-0.9683
2012-05-23,-0.9683
2012-05-24,-0.9683
2012-05-25,-0.9683
2012-05-26,-0.9683
2012-05-27,-0.9683
2012-05-28,-0.9683
2012-05-29,-0.9683
2012-05-30,-0.9683
2012-05-31,-0.9683
2012-06-01,-0.9683
2012-06-02,-0.9683
2012-06-03,-0.9683
2012-06-04,-0.9683
2012-06-05,-0.9683
2012-06-06,-0.9683
2012-06-07,-0.9683
2012-06-08,-0.9683
2012-06-09,-0.9683
2012-06-10,-0.9683
2012-06-11,-0.9683
2012-06-12,-0.9683
2012-06-13,-0.9683
2012-06-14,-0.9683
2012-06-15,-0.9683
2012-06-16,-0.9683
2012-06-17,-0.9683
2012-06-18,-0.9683
2012-06-19,-0.9683
2012-06-20,-0.9683
2012-06-21,-0.9683
2012-06-22,-0.9683
2012-06-23,-0.9683
2012-06-24,-0.9683
2012-06-25,-0.9683
2012-06-26,-0.9683
2012-06-27,-0.9683
2012-06-28,-0.9683
2012-06-29,-0.9683
2012-06-30,-2.1869
2012-07-01,-2.1869
2012-07-02,-2.1869
2012-07-03,-2.1869
2012-07-04,-2.1869
2012-07-05,-2.1869
2012-07-06,-2.1869
2012-07-07,-2.1869
2012-07-08,-2.1869
2012-07-09,-2.1869
2012-07-10,-2.1869
2012-07-11,-2.1869
2012-07-12,-2.1869
2012-07-13,-2.1869
2012-07-14,-2.1869
2012-07-15,-2.1869
2012-07-16,-2.1869
2012-07-17,-2.1869
2012-07-18,-2.1869
2012-07-19,-2.1869
2012-07-20,-2.1869
2012-07-21,-2.1869
2012-07-22,-2.1869
2012-07-23,-2.1869
2012-07-24,-2.1869
2012-07-25,-2.1869
2012-07-26,-2.1869
2012-07-27,-2.1869
2012-07-28,-2.1869
2012-07-29,-2.1869
2012-07-30,-2.1869
2012-07-31,-2.1869
2012-08-01,-2.1869
2012-08-02,-2.1869
2012-08-03,-2.1869
2012-08-04,-2.1869
2012-08-05,-2.1869
2012-08-06,-2.1869
2012-08-07,-2.1869
2012-08-08,-2.1869
2012-08-09,-2.1869
2012-08-10,-2.1869
2012-08-11,-2.1869
2012-08-12,-2.1869
2012-08-13,-2.1869
2012-08-14,-2.1869
2012-08-15,-2.1869
2012-08-16,-2.1869
2012-08-17,-2.1869
2012-08-18,-2.1869
2012-08-19,-2.1869
2012-08-20,-2.1869
2012-08-21,-2.1869
2012-08-22,-2.1869
2012-08-23,-2.1869
2012-08-24,-2.1869
2012-08-25,-2.1869
2012-08-26,-2.1869
2012-08-27,-2.1869
2012-08-28,-2.1869
2012-08-29,-2.1869
2012-08-30,-2.1869
2012-08-31,-2.1869
2012-09-01,-2.1869
2012-09-02,-2.1869
2012-09-03,-2.1869
2012-09-04,-2.1869
2012-09-05,-2.1869
2012-09-06,-2.1869
2012-09-07,-2.1869
2012-09-08,-2.1869
2012-09-09,-2.1869
2012-09-10,-2.1869
2012-09-11,-2.1869
2012-09-12,-2.1869
2012-09-13,-2.1869
2012-09-14,-2.1869
2012-09-15,-2.1869
2012-09-16,-2.1869
2012-09-17,-2.1869
2012-09-18,-2.1869
2012-09-19,-2.1869
2012-09-20,-2.1869
2012-09-21,-2.1869
2012-09-22,-2.1869
2012-09-23,-2.1869
2012-09-24,-2.1869
2012-09-25,-2.1869
2012-09-26,-2.1869
2012-09-27,-2.1869
2012-09-28,-2.1869
2012-09-29,-2.1869
2012-09-30,-0.5191
2012-10-01,-0.5191
2012-10-02,-0.5191
2012-10-03,-0.5191
2012-10-04,-0.5191
2012-10-05,-0.5191
2012-10-06,-0.5191
2012-10-07,-0.5191
2012-10-08,-0.5191
2012-10-09,-0.5191
2012-10-10,-0.5191
2012-10-11,-0.5191
2012-10-12,-0.5191
2012-10-13,-0.5191
2012-10-14,-0.5191
2012-10-15,-0.5191
2012-10-16,-0.5191
2012-10-17,-0.5191
2012-10-18,-0.5191
2012-10-19,-0.5191
2012-10-20,-0.5191
2012-10-21,-0.5191
2012-10-22,-0.5191
2012-10-23,-0.5191
2012-10-24,-0.5191
2012-10-25,-0.5191
2012-10-26,-0.5191
2012-10-27,-0.5191
2012-10-28,-0.5191
2012-10-29,-0.5191
2012-10-30,-0.5191
2012-10-31,-0.5191
2012-11-01,-0.5191
2012-11-02,-0.5191
2012-11-03,-0.5191
2012-11-04,-0.5191
2012-11-05,-0.5191
2012-11-06,-0.5191
2012-11-07,-0.5191
2012-11-08,-0.5191
2012-11-09,-0.5191
2012-11-10,-0.5191
2012-11-11,-0.5191
2012-11-12,-0.5191
2012-11-13,-0.5191
2012-11-14,-0.5191
2012-11-15,-0.5191
2012-11-16,-0.5191
2012-11-17,-0.5191
2012-11-18,-0.5191
2012-11-19,-0.5191
2012-11-20,-0.5191
2012-11-21,-0.5191
2012-11-22,-0.5191
2012-11-23,-0.5191
2012-11-24,-0.5191
2012-11-25,-0.5191
2012-11-26,-0.5191
2012-11-27,-0.5191
2012-11-28,-0.5191
2012-11-29,-0.5191
2012-11-30,-0.5191
2012-12-01,-0.5191
2012-12-02,-0.5191
2012-12-03,-0.5191
2012-12-04,-0.5191
2012-12-05,-0.5191
2012-12-06,-0.5191
2012-12-07,-0.5191
2012-12-08,-0.5191
2012-12-09,-0.5191
2012-12-10,-0.5191
2012-12-11,-0.5191
2012-12-12,-0.5191
2012-12-13,-0.5191
2012-12-14,-0.5191
2012-12-15,-0.5191
2012-12-16,-0.5191
2012-12-17,-0.5191
2012-12-18,-0.5191
2012-12-19,-0.5191
2012-12-20,-0.5191
2012-12-21,-0.5191
2012-12-22,-0.5191
2012-12-23,-0.5191
2012-12-24,-0.5191
2012-12-25,-0.5191
2012-12-26,-0.5191
2012-12-27,-0.5191
2012-12-28,-0.5191
2012-12-29,-0.5191
2012-12-30,-0.5191
2012-12-31,5.9262
2013-01-01,5.9262
2013-01-02,5.9262
2013-01-03,5.9262
2013-01-04,5.9262
2013-01-05,5.9262
2013-01-06,5.9262
2013-01-07,5.9262
2013-01-08,5.9262
2013-01-09,5.9262
2013-01-10,5.9262
2013-01-11,5.9262
2013-01-12,5.9262
2013-01-13,5.9262
2013-01-14,5.9262
2013-01-15,5.9262
2013-01-16,5.9262
2013-01-17,5.9262
2013-01-18,5.9262
2013-01-19,5.9262
2013-01-20,5.9262
2013-01-21,5.9262
2013-01-22,5.9262
2013-01-23,5.9262
2013-01-24,5.9262
2013-01-25,5.9262
2013-01-26,5.9262
2013-01-27,5.9262
2013-01-28,5.9262
2013-01-29,5.9262
2013-01-30,5.9262
2013-01-31,5.9262
2013-02-01,5.9262
2013-02-02,5.9262
2013-02-03,5.9262
2013-02-04,5.9262
2013-02-05,5.9262
2013-02-06,5.9262
2013-02-07,5.9262
2013-02-08,5.9262
2013-02-09,5.9262
2013-02-10,5.9262
2013-02-11,5.9262
2013-02-12,5.9262
2013-02-13,5.9262
2013-02-14,5.9262
