,RDN US Equity
2021-07-28,7.1927
2021-07-29,7.2539
2021-07-30,7.2245
2021-07-31,7.2245
2021-08-01,7.2245
2021-08-02,7.1829
2021-08-03,7.2147
2021-08-04,6.9853
2021-08-05,7.1443
2021-08-06,7.1507
2021-08-07,7.1507
2021-08-08,7.1507
2021-08-09,7.1199
2021-08-10,7.2006
2021-08-11,7.3027
2021-08-12,7.457
2021-08-13,7.4238
2021-08-14,7.4238
2021-08-15,7.4238
2021-08-16,7.3692
2021-08-17,7.3146
2021-08-18,7.3169
2021-08-19,7.2457
2021-08-20,7.2837
2021-08-21,7.2837
2021-08-22,7.2837
2021-08-23,7.2766
2021-08-24,7.3383
2021-08-25,7.3716
2021-08-26,7.2742
2021-08-27,7.3787
2021-08-28,7.3787
2021-08-29,7.3787
2021-08-30,7.2932
2021-08-31,7.3075
2021-09-01,7.2528
2021-09-02,7.2457
2021-09-03,7.1982
2021-09-04,7.1982
2021-09-05,7.1982
2021-09-06,7.1982
2021-09-07,7.1009
2021-09-08,7.07
2021-09-09,7.0914
2021-09-10,6.9608
2021-09-11,6.9608
2021-09-12,6.9608
2021-09-13,7.051
2021-09-14,6.9157
2021-09-15,6.9442
2021-09-16,6.9109
2021-09-17,6.9062
2021-09-18,6.9062
2021-09-19,6.9062
2021-09-20,6.9252
2021-09-21,6.8896
2021-09-22,6.9703
2021-09-23,7.0225
2021-09-24,6.9917
2021-09-25,6.9917
2021-09-26,6.9917
2021-09-27,7.1128
2021-09-28,7.0771
2021-09-29,7.165
2021-09-30,7.0639
2021-10-01,7.2063
2021-10-02,7.2063
2021-10-03,7.2063
2021-10-04,7.1778
2021-10-05,7.1422
2021-10-06,7.1541
2021-10-07,7.2158
2021-10-08,7.2063
2021-10-09,7.2063
2021-10-10,7.2063
2021-10-11,7.2039
2021-10-12,7.2419
2021-10-13,7.3463
2021-10-14,7.4341
2021-10-15,7.4318
2021-10-16,7.4318
2021-10-17,7.4318
2021-10-18,7.3796
2021-10-19,7.3843
2021-10-20,7.4555
2021-10-21,7.4745
2021-10-22,7.446
2021-10-23,7.446
2021-10-24,7.446
2021-10-25,7.4555
2021-10-26,7.4175
2021-10-27,7.3297
2021-10-28,7.3392
2021-10-29,7.3368
2021-10-30,7.3368
2021-10-31,7.3368
2021-11-01,7.4697
2021-11-02,7.4579
2021-11-03,7.0283
2021-11-04,6.7951
2021-11-05,6.8945
2021-11-06,6.8945
2021-11-07,6.8945
2021-11-08,6.922
2021-11-09,6.7798
2021-11-10,6.8119
2021-11-11,6.8211
2021-11-12,6.7454
2021-11-13,6.7454
2021-11-14,6.7454
2021-11-15,6.789
2021-11-16,6.7638
2021-11-17,6.6285
2021-11-18,6.6055
2021-11-19,6.5918
2021-11-20,6.5918
2021-11-21,6.5918
2021-11-22,6.6491
2021-11-23,6.5918
2021-11-24,6.6307
2021-11-25,6.6307
2021-11-26,6.445
2021-11-27,6.445
2021-11-28,6.445
2021-11-29,6.367
2021-11-30,6.344
2021-12-01,6.3807
2021-12-02,6.4931
2021-12-03,6.4404
2021-12-04,6.4404
2021-12-05,6.4404
2021-12-06,6.4748
2021-12-07,6.5046
2021-12-08,6.4748
2021-12-09,6.4197
2021-12-10,6.422
2021-12-11,6.422
2021-12-12,6.422
2021-12-13,6.3762
2021-12-14,6.344
2021-12-15,6.3624
2021-12-16,6.3716
2021-12-17,6.3257
2021-12-18,6.3257
2021-12-19,6.3257
2021-12-20,6.1445
2021-12-21,6.2684
2021-12-22,6.3303
2021-12-23,6.3762
2021-12-24,6.3762
2021-12-25,6.3762
2021-12-26,6.3762
2021-12-27,6.4289
2021-12-28,6.4106
2021-12-29,6.4381
2021-12-30,6.5252
2021-12-31,5.993
2022-01-01,5.993
2022-01-02,5.993
2022-01-03,6.0099
2022-01-04,6.0564
2022-01-05,6.0564
2022-01-06,6.1746
2022-01-07,6.295
2022-01-08,6.295
2022-01-09,6.295
2022-01-10,6.521
2022-01-11,6.4872
2022-01-12,6.483
2022-01-13,6.4978
2022-01-14,6.5125
2022-01-15,6.5125
2022-01-16,6.5125
2022-01-17,6.5125
2022-01-18,6.4302
2022-01-19,6.3351
2022-01-20,6.2845
2022-01-21,6.1641
2022-01-22,6.1641
2022-01-23,6.1641
2022-01-24,6.1894
2022-01-25,6.3246
2022-01-26,6.276
2022-01-27,6.1366
2022-01-28,6.2274
2022-01-29,6.2274
2022-01-30,6.2274
2022-01-31,6.2591
2022-02-01,6.2612
2022-02-02,6.2528
2022-02-03,6.2232
2022-02-04,6.257
2022-02-05,6.257
2022-02-06,6.257
2022-02-07,6.4471
2022-02-08,6.6223
2022-02-09,6.4914
2022-02-10,6.5315
2022-02-11,6.5759
2022-02-12,6.5759
2022-02-13,6.5759
2022-02-14,6.4978
2022-02-15,6.5696
2022-02-16,6.5864
2022-02-17,6.4281
2022-02-18,6.4618
2022-02-19,6.4618
2022-02-20,6.4618
2022-02-21,6.4618
2022-02-22,6.4133
2022-02-23,6.4576
2022-02-24,6.3708
2022-02-25,6.475
2022-02-26,6.475
2022-02-27,6.475
2022-02-28,6.4708
2022-03-01,6.3592
2022-03-02,6.6155
2022-03-03,6.5639
2022-03-04,6.4646
2022-03-05,6.4646
2022-03-06,6.4646
2022-03-07,6.3055
2022-03-08,6.2931
2022-03-09,6.3406
2022-03-10,6.3696
2022-03-11,6.3654
2022-03-12,6.3654
2022-03-13,6.3654
2022-03-14,6.3654
2022-03-15,6.3902
2022-03-16,6.351
2022-03-17,6.2311
2022-03-18,6.198
2022-03-19,6.198
2022-03-20,6.198
2022-03-21,6.2063
2022-03-22,6.2538
2022-03-23,6.1711
2022-03-24,6.2393
2022-03-25,6.2683
2022-03-26,6.2683
2022-03-27,6.2683
2022-03-28,6.2455
2022-03-29,6.2827
2022-03-30,6.2063
2022-03-31,5.6712
2022-04-01,5.6426
2022-04-02,5.6426
2022-04-03,5.6426
2022-04-04,5.5912
2022-04-05,5.5703
2022-04-06,5.555
2022-04-07,5.5531
2022-04-08,5.5992
2022-04-09,5.5992
2022-04-10,5.5992
2022-04-11,5.5706
2022-04-12,5.5668
2022-04-13,5.6277
2022-04-14,5.6733
2022-04-15,5.6733
2022-04-16,5.6733
2022-04-17,5.6733
2022-04-18,5.7
2022-04-19,5.6924
2022-04-20,5.7304
2022-04-21,5.6924
2022-04-22,5.5801
2022-04-23,5.5801
2022-04-24,5.5801
2022-04-25,5.5611
2022-04-26,5.5021
2022-04-27,5.4888
2022-04-28,5.5877
2022-04-29,5.5116
2022-04-30,5.5116
2022-05-01,5.5116
2022-05-02,5.5554
2022-05-03,5.6467
2022-05-04,5.6993
2022-05-05,5.5818
2022-05-06,5.5006
2022-05-07,5.5006
2022-05-08,5.5006
2022-05-09,5.42
2022-05-10,5.4444
2022-05-11,5.4125
2022-05-12,5.3488
2022-05-13,5.4144
2022-05-14,5.4144
2022-05-15,5.4144
2022-05-16,5.4331
2022-05-17,5.6149
2022-05-18,5.4013
2022-05-19,5.3994
2022-05-20,5.3057
2022-05-21,5.3057
2022-05-22,5.3057
2022-05-23,5.3394
2022-05-24,5.2775
2022-05-25,5.3188
2022-05-26,5.3994
2022-05-27,5.4237
2022-05-28,5.4237
2022-05-29,5.4237
2022-05-30,5.4237
2022-05-31,5.4744
2022-06-01,5.4013
2022-06-02,5.4444
2022-06-03,5.3975
2022-06-04,5.3975
2022-06-05,5.3975
2022-06-06,5.4575
2022-06-07,5.5287
2022-06-08,5.4331
2022-06-09,5.3825
2022-06-10,5.2213
2022-06-11,5.2213
2022-06-12,5.2213
2022-06-13,5.0807
2022-06-14,5.1257
2022-06-15,5.0638
2022-06-16,4.8295
2022-06-17,4.8933
2022-06-18,4.8933
2022-06-19,4.8933
2022-06-20,4.8933
2022-06-21,4.8858
2022-06-22,4.8951
2022-06-23,4.9739
2022-06-24,5.1182
2022-06-25,5.1182
2022-06-26,5.1182
2022-06-27,5.1613
2022-06-28,5.1407
2022-06-29,5.1295
2022-06-30,4.7884
2022-07-01,4.862
2022-07-02,4.862
2022-07-03,4.862
2022-07-04,4.862
2022-07-05,4.8637
2022-07-06,4.8865
2022-07-07,4.8795
2022-07-08,4.9338
2022-07-09,4.9338
2022-07-10,4.9338
2022-07-11,4.9373
2022-07-12,4.9356
2022-07-13,4.9443
2022-07-14,4.9251
2022-07-15,5.0092
2022-07-16,5.0092
2022-07-17,5.0092
2022-07-18,4.9338
2022-07-19,5.039
2022-07-20,5.0618
2022-07-21,5.074
2022-07-22,5.0933
2022-07-23,5.0933
2022-07-24,5.0933
2022-07-25,5.1581
2022-07-26,5.1231
2022-07-27,5.1862
2022-07-28,5.2282
2022-07-29,5.2651
2022-07-30,5.2651
2022-07-31,5.2651
2022-08-01,5.2615
2022-08-02,5.2948
2022-08-03,5.1162
2022-08-04,5.1094
2022-08-05,5.0128
2022-08-06,5.0128
2022-08-07,5.0128
2022-08-08,5.0128
2022-08-09,4.9882
2022-08-10,5.0718
2022-08-11,5.1112
2022-08-12,5.1685
2022-08-13,5.1685
2022-08-14,5.1685
2022-08-15,5.1718
2022-08-16,5.1784
2022-08-17,5.1669
2022-08-18,5.1964
2022-08-19,5.0899
2022-08-20,5.0899
2022-08-21,5.0899
2022-08-22,5.0489
2022-08-23,5.0358
2022-08-24,4.9964
2022-08-25,5.0145
2022-08-26,4.9292
2022-08-27,4.9292
2022-08-28,4.9292
2022-08-29,4.8948
2022-08-30,4.8571
2022-08-31,4.8047
2022-09-01,4.7112
2022-09-02,4.708
2022-09-03,4.708
2022-09-04,4.708
2022-09-05,4.708
2022-09-06,4.6555
2022-09-07,4.6965
2022-09-08,4.7325
2022-09-09,4.8129
2022-09-10,4.8129
2022-09-11,4.8129
2022-09-12,4.8604
2022-09-13,4.7752
2022-09-14,4.7293
2022-09-15,4.7571
2022-09-16,4.7571
2022-09-17,4.7571
2022-09-18,4.7571
2022-09-19,4.7899
2022-09-20,4.7588
2022-09-21,4.726
2022-09-22,4.6063
2022-09-23,4.5621
2022-09-24,4.5621
2022-09-25,4.5621
2022-09-26,4.4801
2022-09-27,4.4719
2022-09-28,4.5375
2022-09-29,4.5195
2022-09-30,4.1909
2022-10-01,4.1909
2022-10-02,4.1909
2022-10-03,4.2926
2022-10-04,4.4632
2022-10-05,4.4213
2022-10-06,4.4094
2022-10-07,4.2837
2022-10-08,4.2837
2022-10-09,4.2837
2022-10-10,4.1669
2022-10-11,4.1909
2022-10-12,4.143
2022-10-13,4.2163
2022-10-14,4.1161
2022-10-15,4.1161
2022-10-16,4.1161
2022-10-17,4.1879
2022-10-18,4.2208
2022-10-19,4.1804
2022-10-20,4.128
2022-10-21,4.1759
2022-10-22,4.1759
2022-10-23,4.1759
2022-10-24,4.2537
2022-10-25,4.342
2022-10-26,4.3315
2022-10-27,4.3719
2022-10-28,4.3974
2022-10-29,4.3974
2022-10-30,4.3974
2022-10-31,4.4273
2022-11-01,4.4228
2022-11-02,4.3764
2022-11-03,4.284
2022-11-04,4.3227
2022-11-05,4.3227
2022-11-06,4.3227
2022-11-07,4.311
2022-11-08,4.2965
2022-11-09,4.1773
2022-11-10,4.3401
2022-11-11,4.2456
2022-11-12,4.2456
2022-11-13,4.2456
2022-11-14,4.154
2022-11-15,4.1162
2022-11-16,4.0813
2022-11-17,4.0711
2022-11-18,4.0842
2022-11-19,4.0842
2022-11-20,4.0842
2022-11-21,4.1119
2022-11-22,4.1308
2022-11-23,4.1366
2022-11-24,4.1366
2022-11-25,4.1133
2022-11-26,4.1133
2022-11-27,4.1133
2022-11-28,4.1002
2022-11-29,4.1089
2022-11-30,4.1497
2022-12-01,4.0959
2022-12-02,4.0668
2022-12-03,4.0668
2022-12-04,4.0668
2022-12-05,3.9854
2022-12-06,3.9505
2022-12-07,3.9635
2022-12-08,3.9883
2022-12-09,3.9708
2022-12-10,3.9708
2022-12-11,3.9708
2022-12-12,4.0144
2022-12-13,4.0028
2022-12-14,3.9781
2022-12-15,4.0333
2022-12-16,4.0246
2022-12-17,4.0246
2022-12-18,4.0246
2022-12-19,3.9999
2022-12-20,4.0013
2022-12-21,4.0871
2022-12-22,4.0421
2022-12-23,4.074
2022-12-24,4.074
2022-12-25,4.074
2022-12-26,4.074
2022-12-27,4.0799
2022-12-28,4.0421
2022-12-29,4.0988
2022-12-30,4.2306
2022-12-31,4.2306
2023-01-01,4.2306
2023-01-02,4.2306
2023-01-03,4.273
2023-01-04,4.2806
2023-01-05,4.2094
2023-01-06,4.1761
2023-01-07,4.1761
2023-01-08,4.1761
2023-01-09,4.1928
2023-01-10,4.2155
2023-01-11,4.2942
2023-01-12,4.3214
2023-01-13,4.3245
2023-01-14,4.3245
2023-01-15,4.3245
2023-01-16,4.3245
2023-01-17,4.3411
2023-01-18,4.4653
2023-01-19,4.5107
2023-01-20,4.5394
2023-01-21,4.5394
2023-01-22,4.5394
2023-01-23,4.541
2023-01-24,4.5183
2023-01-25,4.5939
2023-01-26,4.6651
2023-01-27,4.6348
2023-01-28,4.6348
2023-01-29,4.6348
2023-01-30,4.6061
2023-01-31,4.6893
2023-02-01,4.7363
2023-02-02,4.8119
2023-02-03,4.7938
2023-02-04,4.7938
2023-02-05,4.7938
2023-02-06,4.712
2023-02-07,4.7317
2023-02-08,4.6712
2023-02-09,4.6742
2023-02-10,4.6703
2023-02-11,4.6703
2023-02-12,4.6703
2023-02-13,4.6945
2023-02-14,4.6945
2023-02-15,4.7172
2023-02-16,4.7203
2023-02-17,4.7505
2023-02-18,4.7505
2023-02-19,4.7505
2023-02-20,4.7505
2023-02-21,4.6264
2023-02-22,4.6491
2023-02-23,4.6551
2023-02-24,4.6262
2023-02-25,4.6262
2023-02-26,4.6262
2023-02-27,4.6111
2023-02-28,4.5792
2023-03-01,4.5777
2023-03-02,4.6065
2023-03-03,4.6641
2023-03-04,4.6641
2023-03-05,4.6641
2023-03-06,4.8066
2023-03-07,4.7762
2023-03-08,4.7853
2023-03-09,4.6626
2023-03-10,4.5535
2023-03-11,4.5535
2023-03-12,4.5535
2023-03-13,4.4807
2023-03-14,4.5353
2023-03-15,4.5019
2023-03-16,4.561
2023-03-17,4.4307
2023-03-18,4.4307
