,MOH US Equity
2020-07-04,6.357
2020-07-05,6.357
2020-07-06,6.401
2020-07-07,6.3753
2020-07-08,6.3719
2020-07-09,6.1874
2020-07-10,6.0845
2020-07-11,6.0845
2020-07-12,6.0845
2020-07-13,6.0909
2020-07-14,6.5267
2020-07-15,6.5455
2020-07-16,6.4624
2020-07-17,6.5464
2020-07-18,6.5464
2020-07-19,6.5464
2020-07-20,6.2161
2020-07-21,6.3278
2020-07-22,6.4411
2020-07-23,6.4307
2020-07-24,6.4658
2020-07-25,6.4658
2020-07-26,6.4658
2020-07-27,6.3664
2020-07-28,6.3298
2020-07-29,6.634
2020-07-30,6.5716
2020-07-31,6.5035
2020-08-01,6.5035
2020-08-02,6.5035
2020-08-03,6.5585
2020-08-04,6.6026
2020-08-05,6.9628
2020-08-06,6.9771
2020-08-07,7.0638
2020-08-08,7.0638
2020-08-09,7.0638
2020-08-10,6.7314
2020-08-11,6.5486
2020-08-12,6.8553
2020-08-13,6.9157
2020-08-14,6.9524
2020-08-15,6.9524
2020-08-16,6.9524
2020-08-17,7.041
2020-08-18,6.9048
2020-08-19,6.94
2020-08-20,6.7641
2020-08-21,6.6942
2020-08-22,6.6942
2020-08-23,6.6942
2020-08-24,6.3494
2020-08-25,6.3826
2020-08-26,6.3306
2020-08-27,6.456
2020-08-28,6.4599
2020-08-29,6.4599
2020-08-30,6.4599
2020-08-31,6.5169
2020-09-01,6.5694
2020-09-02,6.9221
2020-09-03,6.4738
2020-09-04,6.4193
2020-09-05,6.4193
2020-09-06,6.4193
2020-09-07,6.4193
2020-09-08,6.0269
2020-09-09,6.0477
2020-09-10,5.8471
2020-09-11,5.7178
2020-09-12,5.7178
2020-09-13,5.7178
2020-09-14,6.235
2020-09-15,6.3594
2020-09-16,6.4773
2020-09-17,6.3356
2020-09-18,6.4966
2020-09-19,6.4966
2020-09-20,6.4966
2020-09-21,5.7198
2020-09-22,5.0921
2020-09-23,4.9366
2020-09-24,4.937
2020-09-25,5.3547
2020-09-26,5.3547
2020-09-27,5.3547
2020-09-28,5.432
2020-09-29,5.8644
2020-09-30,6.451
2020-10-01,6.699
2020-10-02,6.9489
2020-10-03,6.9489
2020-10-04,6.9489
2020-10-05,7.333
2020-10-06,7.1815
2020-10-07,7.4396
2020-10-08,7.2573
2020-10-09,7.2307
2020-10-10,7.2307
2020-10-11,7.2307
2020-10-12,7.4816
2020-10-13,7.4445
2020-10-14,7.4068
2020-10-15,7.583
2020-10-16,7.7827
2020-10-17,7.7827
2020-10-18,7.7827
2020-10-19,7.5921
2020-10-20,7.5878
2020-10-21,7.5941
2020-10-22,7.8059
2020-10-23,7.8749
2020-10-24,7.8749
2020-10-25,7.8749
2020-10-26,7.512
2020-10-27,7.4561
2020-10-28,6.9427
2020-10-29,6.6474
2020-10-30,6.6165
2020-10-31,6.6165
2020-11-01,6.6165
2020-11-02,7.2138
2020-11-03,7.8285
2020-11-04,8.0867
2020-11-05,8.0809
2020-11-06,8.0158
2020-11-07,8.0158
2020-11-08,8.0158
2020-11-09,7.6119
2020-11-10,8.2363
2020-11-11,8.1866
2020-11-12,8.0317
2020-11-13,8.2218
2020-11-14,8.2218
2020-11-15,8.2218
2020-11-16,8.1813
2020-11-17,8.2228
2020-11-18,7.913
2020-11-19,7.7123
2020-11-20,7.6196
2020-11-21,7.6196
2020-11-22,7.6196
2020-11-23,7.6167
2020-11-24,7.5188
2020-11-25,7.4054
2020-11-26,7.4054
2020-11-27,7.608
2020-11-28,7.608
2020-11-29,7.608
2020-11-30,7.4686
2020-12-01,7.6167
2020-12-02,7.6573
2020-12-03,7.6611
2020-12-04,7.9313
2020-12-05,7.9313
2020-12-06,7.9313
2020-12-07,7.8218
2020-12-08,7.9965
2020-12-09,7.7403
2020-12-10,7.4956
2020-12-11,7.278
2020-12-12,7.278
2020-12-13,7.278
2020-12-14,7.2539
2020-12-15,7.4643
2020-12-16,7.3007
2020-12-17,7.4454
2020-12-18,7.3639
2020-12-19,7.3639
2020-12-20,7.3639
2020-12-21,7.3735
2020-12-22,7.5458
2020-12-23,7.679
2020-12-24,7.6119
2020-12-25,7.6119
2020-12-26,7.6119
2020-12-27,7.6119
2020-12-28,7.5839
2020-12-29,7.6235
2020-12-30,7.5955
2020-12-31,8.3701
2021-01-01,8.3701
2021-01-02,8.3701
2021-01-03,8.3701
2021-01-04,8.5571
2021-01-05,8.5499
2021-01-06,9.638
2021-01-07,9.9857
2021-01-08,10.0434
2021-01-09,10.0434
2021-01-10,10.0434
2021-01-11,9.9719
2021-01-12,9.7568
2021-01-13,9.2453
2021-01-14,8.9796
2021-01-15,8.8134
2021-01-16,8.8134
2021-01-17,8.8134
2021-01-18,8.8134
2021-01-19,8.7232
2021-01-20,8.9174
2021-01-21,8.8998
2021-01-22,8.9444
2021-01-23,8.9444
2021-01-24,8.9444
2021-01-25,9.039
2021-01-26,8.7353
2021-01-27,8.6038
2021-01-28,8.6886
2021-01-29,8.4212
2021-01-30,8.4212
2021-01-31,8.4212
2021-02-01,8.4487
2021-02-02,8.336
2021-02-03,8.2721
2021-02-04,8.0384
2021-02-05,7.9311
2021-02-06,7.9311
2021-02-07,7.9311
2021-02-08,7.8123
2021-02-09,8.0031
2021-02-10,8.0136
2021-02-11,8.5068
2021-02-12,8.5079
2021-02-13,8.5079
2021-02-14,8.5079
2021-02-15,8.5079
2021-02-16,8.2615
2021-02-17,8.3406
2021-02-18,8.2981
2021-02-19,8.5521
2021-02-20,8.5521
2021-02-21,8.5521
2021-02-22,8.7415
2021-02-23,8.784
2021-02-24,8.8313
2021-02-25,8.4407
2021-02-26,8.3331
2021-02-27,8.3331
2021-02-28,8.3331
2021-03-01,8.6279
2021-03-02,8.6613
2021-03-03,8.0818
2021-03-04,7.9748
2021-03-05,8.4832
2021-03-06,8.4832
2021-03-07,8.4832
2021-03-08,8.3589
2021-03-09,8.4047
2021-03-10,8.6941
2021-03-11,8.9965
2021-03-12,9.1794
2021-03-13,9.1794
2021-03-14,9.1794
2021-03-15,9.2617
2021-03-16,9.2521
2021-03-17,8.8867
2021-03-18,9.0519
2021-03-19,9.216
2021-03-20,9.216
2021-03-21,9.216
2021-03-22,9.2865
2021-03-23,9.2989
2021-03-24,9.3199
2021-03-25,9.2628
2021-03-26,9.2709
2021-03-27,9.2709
2021-03-28,9.2709
2021-03-29,9.2219
2021-03-30,9.3252
2021-03-31,8.3758
2021-04-01,8.4634
2021-04-02,8.4634
2021-04-03,8.4634
2021-04-04,8.4634
2021-04-05,8.5266
2021-04-06,8.3545
2021-04-07,8.2511
2021-04-08,8.2185
2021-04-09,8.7435
2021-04-10,8.7435
2021-04-11,8.7435
2021-04-12,8.7369
2021-04-13,8.8178
2021-04-14,8.9054
2021-04-15,9.1534
2021-04-16,9.2181
2021-04-17,9.2181
2021-04-18,9.2181
2021-04-19,9.4406
2021-04-20,9.3296
2021-04-21,9.4284
2021-04-22,9.3637
2021-04-23,9.4798
2021-04-24,9.4798
2021-04-25,9.4798
2021-04-26,9.3826
2021-04-27,9.2451
2021-04-28,9.1346
2021-04-29,9.4839
2021-04-30,9.5521
2021-05-01,9.5521
2021-05-02,9.5521
2021-05-03,9.61
2021-05-04,10.0397
2021-05-05,9.9561
2021-05-06,9.9889
2021-05-07,10.2053
2021-05-08,10.2053
2021-05-09,10.2053
2021-05-10,10.2515
2021-05-11,9.9587
2021-05-12,9.65
2021-05-13,10.0618
2021-05-14,9.8279
2021-05-15,9.8279
2021-05-16,9.8279
2021-05-17,9.9084
2021-05-18,9.8931
2021-05-19,9.7264
2021-05-20,9.6105
2021-05-21,9.6239
2021-05-22,9.6239
2021-05-23,9.6239
2021-05-24,9.4957
2021-05-25,9.4444
2021-05-26,9.3737
2021-05-27,9.305
2021-05-28,9.3603
2021-05-29,9.3603
2021-05-30,9.3603
2021-05-31,9.3603
2021-06-01,9.2445
2021-06-02,9.2357
2021-06-03,9.3096
2021-06-04,9.2393
2021-06-05,9.2393
2021-06-06,9.2393
2021-06-07,9.0445
2021-06-08,9.4055
2021-06-09,9.206
2021-06-10,9.3337
2021-06-11,9.2081
2021-06-12,9.2081
2021-06-13,9.2081
2021-06-14,8.963
2021-06-15,9.1819
2021-06-16,8.9491
2021-06-17,9.2793
2021-06-18,8.7543
2021-06-19,8.7543
2021-06-20,8.7543
2021-06-21,9.106
2021-06-22,9.1004
2021-06-23,9.2132
2021-06-24,9.2732
2021-06-25,9.529
2021-06-26,9.529
2021-06-27,9.529
2021-06-28,9.4972
2021-06-29,9.6408
2021-06-30,10.4066
2021-07-01,10.5833
2021-07-02,10.6395
2021-07-03,10.6395
2021-07-04,10.6395
2021-07-05,10.6395
2021-07-06,10.5603
2021-07-07,10.6235
2021-07-08,10.4308
2021-07-09,10.6543
2021-07-10,10.6543
2021-07-11,10.6543
2021-07-12,10.6814
2021-07-13,10.6424
2021-07-14,10.5272
2021-07-15,10.8617
2021-07-16,10.6472
2021-07-17,10.6472
2021-07-18,10.6472
2021-07-19,10.234
2021-07-20,10.4746
2021-07-21,10.6099
2021-07-22,10.6732
2021-07-23,10.8877
2021-07-24,10.8877
2021-07-25,10.8877
2021-07-26,10.6885
2021-07-27,10.8357
2021-07-28,10.6628
2021-07-29,10.5337
2021-07-30,11.5858
2021-07-31,11.5858
2021-08-01,11.5858
2021-08-02,11.6591
2021-08-03,11.8483
2021-08-04,11.9275
2021-08-05,11.3275
2021-08-06,11.1159
2021-08-07,11.1159
2021-08-08,11.1159
2021-08-09,10.8907
2021-08-10,10.5827
2021-08-11,10.2121
2021-08-12,10.0803
2021-08-13,10.124
2021-08-14,10.124
2021-08-15,10.124
2021-08-16,10.422
2021-08-17,10.8121
2021-08-18,10.419
2021-08-19,10.9941
2021-08-20,11.23
2021-08-21,11.23
2021-08-22,11.23
2021-08-23,10.9835
2021-08-24,11.2684
2021-08-25,11.1053
2021-08-26,11.0609
2021-08-27,11.3334
2021-08-28,11.3334
2021-08-29,11.3334
2021-08-30,11.1431
2021-08-31,11.3352
2021-09-01,11.123
2021-09-02,11.5657
2021-09-03,11.6887
2021-09-04,11.6887
2021-09-05,11.6887
2021-09-06,11.6887
2021-09-07,11.3115
2021-09-08,10.9409
2021-09-09,10.7406
2021-09-10,10.367
2021-09-11,10.367
2021-09-12,10.367
2021-09-13,10.9935
2021-09-14,10.938
2021-09-15,11.178
2021-09-16,11.386
2021-09-17,11.889
2021-09-18,11.889
2021-09-19,11.889
2021-09-20,11.8447
2021-09-21,11.9594
2021-09-22,11.8347
2021-09-23,12.1609
2021-09-24,12.4506
2021-09-25,12.4506
2021-09-26,12.4506
2021-09-27,12.1586
2021-09-28,11.7531
2021-09-29,12.0067
2021-09-30,11.8886
2021-10-01,11.9013
2021-10-02,11.9013
2021-10-03,11.9013
2021-10-04,11.7737
2021-10-05,11.768
2021-10-06,11.8378
2021-10-07,12.2574
2021-10-08,12.4796
2021-10-09,12.4796
2021-10-10,12.4796
2021-10-11,12.385
2021-10-12,12.484
2021-10-13,12.159
2021-10-14,12.4428
2021-10-15,12.4459
2021-10-16,12.4459
2021-10-17,12.4459
2021-10-18,12.2041
2021-10-19,12.5621
2021-10-20,13.0813
2021-10-21,13.4717
2021-10-22,13.5758
2021-10-23,13.5758
2021-10-24,13.5758
2021-10-25,13.5574
2021-10-26,13.6755
2021-10-27,13.4317
2021-10-28,13.5282
2021-10-29,13.4381
2021-10-30,13.4381
2021-10-31,13.4381
2021-11-01,13.5809
2021-11-02,13.3581
2021-11-03,13.9631
2021-11-04,13.9034
2021-11-05,13.9751
2021-11-06,13.9751
2021-11-07,13.9751
2021-11-08,14.0297
2021-11-09,14.0513
2021-11-10,13.8799
2021-11-11,14.5077
2021-11-12,14.549
2021-11-13,14.549
2021-11-14,14.549
2021-11-15,14.2697
2021-11-16,14.2367
2021-11-17,14.2017
2021-11-18,14.1516
2021-11-19,13.5828
2021-11-20,13.5828
2021-11-21,13.5828
2021-11-22,13.8932
2021-11-23,14.1224
2021-11-24,14.1541
2021-11-25,14.1541
2021-11-26,13.2286
2021-11-27,13.2286
2021-11-28,13.2286
2021-11-29,13.553
2021-11-30,12.769
2021-12-01,12.5849
2021-12-02,12.9493
2021-12-03,12.8179
2021-12-04,12.8179
2021-12-05,12.8179
2021-12-06,12.7608
2021-12-07,13.1467
2021-12-08,13.5403
2021-12-09,13.4076
2021-12-10,13.8989
2021-12-11,13.8989
2021-12-12,13.8989
2021-12-13,13.7695
2021-12-14,14.1021
2021-12-15,14.5985
2021-12-16,14.1459
2021-12-17,13.8951
2021-12-18,13.8951
2021-12-19,13.8951
2021-12-20,13.6495
2021-12-21,14.2525
2021-12-22,14.7496
2021-12-23,14.7718
2021-12-24,14.7718
2021-12-25,14.7718
2021-12-26,14.7718
2021-12-27,15.1273
2021-12-28,15.1628
2021-12-29,15.2891
2021-12-30,15.0225
2021-12-31,13.2126
2022-01-01,13.2126
2022-01-02,13.2126
2022-01-03,13.1262
2022-01-04,12.403
2022-01-05,12.304
2022-01-06,11.7062
2022-01-07,11.5917
2022-01-08,11.5917
2022-01-09,11.5917
2022-01-10,11.5877
2022-01-11,11.8477
2022-01-12,11.724
2022-01-13,11.5585
2022-01-14,11.3816
2022-01-15,11.3816
2022-01-16,11.3816
2022-01-17,11.3816
2022-01-18,10.8217
2022-01-19,11.0575
2022-01-20,11.0925
2022-01-21,10.9224
2022-01-22,10.9224
2022-01-23,10.9224
2022-01-24,11.0192
2022-01-25,10.4718
2022-01-26,10.3613
2022-01-27,10.7947
2022-01-28,11.3249
2022-01-29,11.3249
2022-01-30,11.3249
2022-01-31,11.6324
2022-02-01,11.4669
2022-02-02,11.929
2022-02-03,12.0406
2022-02-04,12.107
2022-02-05,12.107
2022-02-06,12.107
2022-02-07,12.0515
2022-02-08,12.6143
2022-02-09,12.6023
2022-02-10,12.4101
2022-02-11,12.2435
2022-02-12,12.2435
2022-02-13,12.2435
2022-02-14,12.6074
2022-02-15,13.3105
2022-02-16,13.4617
2022-02-17,13.3134
2022-02-18,13.0288
2022-02-19,13.0288
2022-02-20,13.0288
2022-02-21,13.0288
2022-02-22,12.6172
2022-02-23,12.4025
2022-02-24,12.6086
2022-02-25,13.2275
2022-02-26,13.2275
2022-02-27,13.2275
2022-02-28,12.5708
2022-03-01,12.8576
2022-03-02,12.6647
2022-03-03,12.9859
2022-03-04,13.5304
2022-03-05,13.5304
2022-03-06,13.5304
2022-03-07,12.8542
2022-03-08,12.6681
2022-03-09,12.8788
2022-03-10,13.1061
2022-03-11,12.9281
2022-03-12,12.9281
2022-03-13,12.9281
2022-03-14,12.6756
2022-03-15,13.7674
2022-03-16,13.8865
2022-03-17,14.3194
2022-03-18,14.6595
2022-03-19,14.6595
2022-03-20,14.6595
2022-03-21,14.3153
2022-03-22,14.3629
2022-03-23,14.0906
2022-03-24,14.415
2022-03-25,14.5651
2022-03-26,14.5651
2022-03-27,14.5651
2022-03-28,14.709
2022-03-29,14.7561
2022-03-30,14.6382
2022-03-31,13.4077
2022-04-01,13.7307
2022-04-02,13.7307
2022-04-03,13.7307
2022-04-04,13.1346
2022-04-05,13.169
2022-04-06,13.6924
2022-04-07,13.8911
2022-04-08,13.6303
2022-04-09,13.6303
2022-04-10,13.6303
2022-04-11,13.3782
2022-04-12,13.3127
2022-04-13,13.4399
2022-04-14,13.5381
2022-04-15,13.5381
2022-04-16,13.5381
2022-04-17,13.5381
2022-04-18,13.3616
2022-04-19,13.5176
2022-04-20,14.1815
2022-04-21,13.8057
2022-04-22,12.9408
2022-04-23,12.9408
2022-04-24,12.9408
2022-04-25,13.0263
2022-04-26,12.7393
2022-04-27,12.8664
2022-04-28,12.4047
2022-04-29,12.2976
2022-04-30,12.2976
2022-05-01,12.2976
2022-05-02,11.9088
2022-05-03,11.9405
2022-05-04,12.2226
2022-05-05,12.1926
2022-05-06,12.001
2022-05-07,12.001
2022-05-08,12.001
2022-05-09,11.3562
2022-05-10,11.1341
2022-05-11,10.9142
2022-05-12,10.9792
2022-05-13,11.3224
2022-05-14,11.3224
2022-05-15,11.3224
2022-05-16,11.7494
2022-05-17,11.9771
2022-05-18,11.7728
2022-05-19,12.0682
2022-05-20,12.0799
2022-05-21,12.0799
2022-05-22,12.0799
2022-05-23,12.2065
2022-05-24,12.2498
2022-05-25,12.3659
2022-05-26,11.4962
2022-05-27,11.8327
2022-05-28,11.8327
2022-05-29,11.8327
2022-05-30,11.8327
2022-05-31,11.0075
2022-06-01,10.8498
2022-06-02,10.9503
2022-06-03,10.5366
2022-06-04,10.5366
2022-06-05,10.5366
2022-06-06,10.8092
2022-06-07,10.8898
2022-06-08,10.6315
2022-06-09,10.2728
2022-06-10,10.2406
2022-06-11,10.2406
2022-06-12,10.2406
2022-06-13,9.4509
2022-06-14,9.4231
2022-06-15,9.3481
2022-06-16,9.0366
2022-06-17,8.8711
2022-06-18,8.8711
2022-06-19,8.8711
2022-06-20,8.8711
2022-06-21,9.2504
2022-06-22,9.3598
2022-06-23,9.6408
2022-06-24,9.7252
2022-06-25,9.7252
2022-06-26,9.7252
2022-06-27,10.1378
2022-06-28,10.0084
2022-06-29,10.521
2022-06-30,9.5416
2022-07-01,9.7102
2022-07-02,9.7102
2022-07-03,9.7102
2022-07-04,9.7102
2022-07-05,9.4903
2022-07-06,9.5985
2022-07-07,9.5185
2022-07-08,9.8287
2022-07-09,9.8287
2022-07-10,9.8287
2022-07-11,9.8687
2022-07-12,9.8379
2022-07-13,9.6815
2022-07-14,9.8215
2022-07-15,10.53
2022-07-16,10.53
2022-07-17,10.53
2022-07-18,10.4854
2022-07-19,10.8407
2022-07-20,10.5428
2022-07-21,10.7161
2022-07-22,10.6725
2022-07-23,10.6725
2022-07-24,10.6725
2022-07-25,10.9822
2022-07-26,11.0319
2022-07-27,10.8868
2022-07-28,11.2969
2022-07-29,11.8363
2022-07-30,11.8363
2022-07-31,11.8363
2022-08-01,11.6957
2022-08-02,11.8018
2022-08-03,11.8535
2022-08-04,11.613
2022-08-05,11.6937
2022-08-06,11.6937
2022-08-07,11.6937
2022-08-08,11.8353
2022-08-09,11.8018
2022-08-10,11.9403
2022-08-11,11.8708
2022-08-12,12.0753
2022-08-13,12.0753
2022-08-14,12.0753
2022-08-15,12.124
2022-08-16,12.1768
2022-08-17,12.0494
2022-08-18,11.8906
2022-08-19,12.0387
2022-08-20,12.0387
2022-08-21,12.0387
2022-08-22,11.9266
2022-08-23,11.5455
2022-08-24,11.644
2022-08-25,11.8251
2022-08-26,12.3838
2022-08-27,12.3838
2022-08-28,12.3838
2022-08-29,12.7111
2022-08-30,12.2559
2022-08-31,12.3259
2022-09-01,12.5162
2022-09-02,12.3691
2022-09-03,12.3691
2022-09-04,12.3691
2022-09-05,12.3691
2022-09-06,12.3929
2022-09-07,12.7699
2022-09-08,13.1404
2022-09-09,12.877
2022-09-10,12.877
2022-09-11,12.877
2022-09-12,12.9343
2022-09-13,12.6314
2022-09-14,12.261
2022-09-15,12.5472
2022-09-16,12.4274
2022-09-17,12.4274
2022-09-18,12.4274
2022-09-19,12.6507
2022-09-20,12.3528
2022-09-21,12.0494
2022-09-22,11.9271
2022-09-23,11.888
2022-09-24,11.888
2022-09-25,11.888
2022-09-26,11.7906
2022-09-27,11.8606
2022-09-28,12.1346
2022-09-29,12.0078
2022-09-30,10.8616
2022-10-01,10.8616
2022-10-02,10.8616
2022-10-03,11.2995
2022-10-04,11.7213
2022-10-05,11.9982
2022-10-06,11.9797
2022-10-07,11.7347
2022-10-08,11.7347
2022-10-09,11.7347
2022-10-10,11.8127
2022-10-11,11.916
2022-10-12,11.838
2022-10-13,12.1237
2022-10-14,11.8777
2022-10-15,11.8777
2022-10-16,11.8777
2022-10-17,11.9054
2022-10-18,12.2349
2022-10-19,11.94
2022-10-20,11.9931
2022-10-21,12.2709
2022-10-22,12.2709
2022-10-23,12.2709
2022-10-24,12.4652
2022-10-25,12.5418
2022-10-26,12.6793
2022-10-27,11.9583
2022-10-28,12.084
2022-10-29,12.084
2022-10-30,12.084
2022-10-31,12.2863
2022-11-01,12.1522
2022-11-02,11.8911
2022-11-03,12.0121
2022-11-04,10.9731
2022-11-05,10.9731
2022-11-06,10.9731
2022-11-07,10.9884
2022-11-08,11.1781
2022-11-09,10.7991
2022-11-10,10.9332
2022-11-11,10.3678
2022-11-12,10.3678
2022-11-13,10.3678
2022-11-14,10.2369
2022-11-15,10.114
2022-11-16,10.1507
2022-11-17,10.1173
2022-11-18,10.3793
2022-11-19,10.3793
2022-11-20,10.3793
2022-11-21,10.3395
2022-11-22,10.3237
2022-11-23,10.5106
2022-11-24,10.5106
2022-11-25,10.8121
2022-11-26,10.8121
2022-11-27,10.8121
2022-11-28,10.7866
2022-11-29,10.6099
2022-11-30,11.2616
2022-12-01,11.1716
2022-12-02,11.141
2022-12-03,11.141
2022-12-04,11.141
2022-12-05,11.1846
2022-12-06,11.2087
2022-12-07,11.378
2022-12-08,11.3998
2022-12-09,11.4648
2022-12-10,11.4648
2022-12-11,11.4648
2022-12-12,12.0172
2022-12-13,11.815
2022-12-14,11.8526
2022-12-15,11.3623
2022-12-16,11.1744
2022-12-17,11.1744
2022-12-18,11.1744
2022-12-19,11.0241
2022-12-20,10.9197
2022-12-21,11.1225
2022-12-22,11.1944
2022-12-23,11.1832
2022-12-24,11.1832
2022-12-25,11.1832
2022-12-26,11.1832
2022-12-27,11.1503
2022-12-28,11.0598
2022-12-29,11.0993
2022-12-30,12.2002
2022-12-31,12.2002
2023-01-01,12.2002
2023-01-02,12.2002
2023-01-03,11.6376
2023-01-04,11.3693
2023-01-05,10.623
2023-01-06,10.7803
2023-01-07,10.7803
2023-01-08,10.7803
2023-01-09,10.5164
2023-01-10,10.2974
2023-01-11,10.8331
2023-01-12,10.6533
2023-01-13,10.7081
2023-01-14,10.7081
2023-01-15,10.7081
2023-01-16,10.7081
2023-01-17,10.6618
2023-01-18,10.4567
2023-01-19,10.5996
2023-01-20,10.5687
2023-01-21,10.5687
2023-01-22,10.5687
2023-01-23,10.5597
2023-01-24,10.507
2023-01-25,10.5572
2023-01-26,10.6135
2023-01-27,10.7161
2023-01-28,10.7161
2023-01-29,10.7161
2023-01-30,10.8296
2023-01-31,11.2846
2023-02-01,11.2806
2023-02-02,10.9142
2023-02-03,10.7489
2023-02-04,10.7489
2023-02-05,10.7489
2023-02-06,10.6484
2023-02-07,10.8336
2023-02-08,11.0526
2023-02-09,10.6591
2023-02-10,10.8065
2023-02-11,10.8065
2023-02-12,10.8065
2023-02-13,10.5372
2023-02-14,10.4646
2023-02-15,10.2677
2023-02-16,10.2208
2023-02-17,10.3738
2023-02-18,10.3738
2023-02-19,10.3738
2023-02-20,10.3738
2023-02-21,10.206
2023-02-22,10.279
2023-02-23,10.2563
2023-02-24,9.9404
2023-02-25,9.9404
2023-02-26,9.9404
2023-02-27,9.8713
2023-02-28,9.35
2023-03-01,9.2745
2023-03-02,9.4735
2023-03-03,9.6102
2023-03-04,9.6102
2023-03-05,9.6102
2023-03-06,9.6294
2023-03-07,9.4029
2023-03-08,9.0613
2023-03-09,8.8021
2023-03-10,8.66
2023-03-11,8.66
2023-03-12,8.66
2023-03-13,8.7755
2023-03-14,8.6496
2023-03-15,8.6249
2023-03-16,8.7799
2023-03-17,8.7765
2023-03-18,8.7765
