,NTAP US Equity
2020-04-30,9.1121
2020-05-01,8.5761
2020-05-02,8.5761
2020-05-03,8.5761
2020-05-04,8.3818
2020-05-05,8.5106
2020-05-06,8.8382
2020-05-07,8.9342
2020-05-08,9.3766
2020-05-09,9.3766
2020-05-10,9.3766
2020-05-11,9.1683
2020-05-12,8.9389
2020-05-13,8.5714
2020-05-14,8.6604
2020-05-15,8.7868
2020-05-16,8.7868
2020-05-17,8.7868
2020-05-18,9.318
2020-05-19,9.3251
2020-05-20,9.6293
2020-05-21,9.51
2020-05-22,9.3251
2020-05-23,9.3251
2020-05-24,9.3251
2020-05-25,9.3251
2020-05-26,9.4327
2020-05-27,9.7042
2020-05-28,9.201
2020-05-29,9.2923
2020-05-30,9.2923
2020-05-31,9.2923
2020-06-01,8.8546
2020-06-02,9.1987
2020-06-03,9.5615
2020-06-04,9.4608
2020-06-05,10.1162
2020-06-06,10.1162
2020-06-07,10.1162
2020-06-08,10.3385
2020-06-09,9.8025
2020-06-10,9.6855
2020-06-11,8.4965
2020-06-12,8.8055
2020-06-13,8.8055
2020-06-14,8.8055
2020-06-15,8.9703
2020-06-16,9.2778
2020-06-17,9.0009
2020-06-18,8.9117
2020-06-19,9.2145
2020-06-20,9.2145
2020-06-21,9.2145
2020-06-22,8.7966
2020-06-23,8.8178
2020-06-24,8.4845
2020-06-25,8.6863
2020-06-26,9.1933
2020-06-27,9.1933
2020-06-28,9.1933
2020-06-29,9.2004
2020-06-30,9.2825
2020-07-01,9.0807
2020-07-02,9.0901
2020-07-03,9.0901
2020-07-04,9.0901
2020-07-05,9.0901
2020-07-06,9.4421
2020-07-07,8.9281
2020-07-08,9.1393
2020-07-09,8.7966
2020-07-10,8.9469
2020-07-11,8.9469
2020-07-12,8.9469
2020-07-13,9.0548
2020-07-14,9.1276
2020-07-15,9.2849
2020-07-16,9.2755
2020-07-17,9.3858
2020-07-18,9.3858
2020-07-19,9.3858
2020-07-20,9.4656
2020-07-21,9.5619
2020-07-22,9.4281
2020-07-23,9.3576
2020-07-24,9.0079
2020-07-25,9.0079
2020-07-26,9.0079
2020-07-27,9.2168
2020-07-28,8.9492
2020-07-29,8.8272
2020-07-30,8.9257
2020-07-31,9.1921
2020-08-01,9.1921
2020-08-02,9.1921
2020-08-03,8.8445
2020-08-04,8.949
2020-08-05,8.9195
2020-08-06,8.7173
2020-08-07,8.8513
2020-08-08,8.8513
2020-08-09,8.8513
2020-08-10,9.1853
2020-08-11,9.0263
2020-08-12,8.9604
2020-08-13,8.6106
2020-08-14,8.5697
2020-08-15,8.5697
2020-08-16,8.5697
2020-08-17,8.5129
2020-08-18,8.4425
2020-08-19,8.5538
2020-08-20,8.5379
2020-08-21,8.4993
2020-08-22,8.4993
2020-08-23,8.4993
2020-08-24,8.7378
2020-08-25,8.6174
2020-08-26,8.7173
2020-08-27,9.1035
2020-08-28,9.5225
2020-08-29,9.5225
2020-08-30,9.5225
2020-08-31,9.8975
2020-09-01,9.7361
2020-09-02,10.0702
2020-09-03,9.7043
2020-09-04,9.6725
2020-09-05,9.6725
2020-09-06,9.6725
2020-09-07,9.6725
2020-09-08,9.3998
2020-09-09,9.7111
2020-09-10,9.2112
2020-09-11,9.1476
2020-09-12,9.1476
2020-09-13,9.1476
2020-09-14,9.4407
2020-09-15,9.4407
2020-09-16,9.3794
2020-09-17,8.9408
2020-09-18,8.8113
2020-09-19,8.8113
2020-09-20,8.8113
2020-09-21,8.5341
2020-09-22,8.6454
2020-09-23,8.4886
2020-09-24,8.5568
2020-09-25,8.6636
2020-09-26,8.6636
2020-09-27,8.6636
2020-09-28,9.0363
2020-09-29,9.1249
2020-09-30,9.0908
2020-10-01,8.8749
2020-10-02,8.8454
2020-10-03,8.8454
2020-10-04,8.8454
2020-10-05,8.9794
2020-10-06,8.9817
2020-10-07,9.2612
2020-10-08,9.6407
2020-10-09,9.5521
2020-10-10,9.5521
2020-10-11,9.5521
2020-10-12,9.7293
2020-10-13,9.7816
2020-10-14,9.7339
2020-10-15,9.8202
2020-10-16,9.8429
2020-10-17,9.8429
2020-10-18,9.8429
2020-10-19,10.0361
2020-10-20,9.8657
2020-10-21,9.7634
2020-10-22,9.7407
2020-10-23,9.7838
2020-10-24,9.7838
2020-10-25,9.7838
2020-10-26,9.3385
2020-10-27,9.1385
2020-10-28,8.7386
2020-10-29,9.1521
2020-10-30,10.2721
2020-10-31,10.2721
2020-11-01,10.2721
2020-11-02,10.5422
2020-11-03,10.8895
2020-11-04,10.6014
2020-11-05,10.9975
2020-11-06,11.0747
2020-11-07,11.0747
2020-11-08,11.0747
2020-11-09,11.7538
2020-11-10,11.8464
2020-11-11,11.6561
2020-11-12,11.1956
2020-11-13,11.8001
2020-11-14,11.8001
2020-11-15,11.8001
2020-11-16,12.2503
2020-11-17,12.204
2020-11-18,12.24
2020-11-19,12.3532
2020-11-20,12.3301
2020-11-21,12.3301
2020-11-22,12.3301
2020-11-23,12.7597
2020-11-24,13.2227
2020-11-25,12.7494
2020-11-26,12.7494
2020-11-27,12.6825
2020-11-28,12.6825
2020-11-29,12.6825
2020-11-30,12.6954
2020-12-01,12.914
2020-12-02,14.2183
2020-12-03,14.1214
2020-12-04,14.5097
2020-12-05,14.5097
2020-12-06,14.5097
2020-12-07,14.608
2020-12-08,14.6546
2020-12-09,14.7142
2020-12-10,14.8022
2020-12-11,14.9834
2020-12-12,14.9834
2020-12-13,14.9834
2020-12-14,14.9445
2020-12-15,15.1982
2020-12-16,15.5658
2020-12-17,15.5787
2020-12-18,15.7599
2020-12-19,15.7599
2020-12-20,15.7599
2020-12-21,15.6874
2020-12-22,16.1119
2020-12-23,16.1094
2020-12-24,16.0136
2020-12-25,16.0136
2020-12-26,16.0136
2020-12-27,16.0136
2020-12-28,16.0395
2020-12-29,15.8194
2020-12-30,15.8919
2020-12-31,16.1275
2021-01-01,16.1275
2021-01-02,16.1275
2021-01-03,16.1275
2021-01-04,15.7703
2021-01-05,15.8505
2021-01-06,15.866
2021-01-07,15.8686
2021-01-08,15.7987
2021-01-09,15.7987
2021-01-10,15.7987
2021-01-11,15.8635
2021-01-12,16.1068
2021-01-13,15.8583
2021-01-14,16.0239
2021-01-15,15.7185
2021-01-16,15.7185
2021-01-17,15.7185
2021-01-18,15.7185
2021-01-19,15.6201
2021-01-20,15.6797
2021-01-21,15.7987
2021-01-22,15.7444
2021-01-23,15.7444
2021-01-24,15.7444
2021-01-25,15.9748
2021-01-26,15.9877
2021-01-27,16.8134
2021-01-28,16.4277
2021-01-29,16.0676
2021-01-30,16.0676
2021-01-31,16.0676
2021-02-01,15.9734
2021-02-02,15.7115
2021-02-03,16.1252
2021-02-04,16.1933
2021-02-05,16.3138
2021-02-06,16.3138
2021-02-07,16.3138
2021-02-08,16.9292
2021-02-09,16.9659
2021-02-10,16.6726
2021-02-11,16.7799
2021-02-12,16.9633
2021-02-13,16.9633
2021-02-14,16.9633
2021-02-15,16.9633
2021-02-16,16.6988
2021-02-17,16.539
2021-02-18,16.4945
2021-02-19,17.3535
2021-02-20,17.3535
2021-02-21,17.3535
2021-02-22,17.2801
2021-02-23,16.8245
2021-02-24,17.4111
2021-02-25,14.698
2021-02-26,15.062
2021-02-27,15.062
2021-02-28,15.062
2021-03-01,15.7508
2021-03-02,15.2968
2021-03-03,15.3176
2021-03-04,14.6078
2021-03-05,14.6731
2021-03-06,14.6731
2021-03-07,14.6731
2021-03-08,15.0019
2021-03-09,15.529
2021-03-10,16.064
2021-03-11,16.4085
2021-03-12,16.2989
2021-03-13,16.2989
2021-03-14,16.2989
2021-03-15,16.6225
2021-03-16,16.7007
2021-03-17,17.2383
2021-03-18,17.0165
2021-03-19,16.9774
2021-03-20,16.9774
2021-03-21,16.9774
2021-03-22,17.0765
2021-03-23,16.5259
2021-03-24,16.5781
2021-03-25,17.0061
2021-03-26,18.1752
2021-03-27,18.1752
2021-03-28,18.1752
2021-03-29,17.5619
2021-03-30,17.515
2021-03-31,17.6324
2021-04-01,17.8881
2021-04-02,17.8881
2021-04-03,17.8881
2021-04-04,17.8881
2021-04-05,18.0656
2021-04-06,17.8255
2021-04-07,17.8933
2021-04-08,17.896
2021-04-09,17.9482
2021-04-10,17.9482
2021-04-11,17.9482
2021-04-12,18.0317
2021-04-13,18.1047
2021-04-14,18.6188
2021-04-15,18.6815
2021-04-16,18.9476
2021-04-17,18.9476
2021-04-18,18.9476
2021-04-19,18.8433
2021-04-20,18.29
2021-04-21,18.4779
2021-04-22,18.3709
2021-04-23,18.7467
2021-04-24,18.7467
2021-04-25,18.7467
2021-04-26,18.8015
2021-04-27,18.6762
2021-04-28,18.658
2021-04-29,18.7284
2021-04-30,14.3376
2021-05-01,14.3376
2021-05-02,14.3376
2021-05-03,14.2556
2021-05-04,14.4866
2021-05-05,14.7424
2021-05-06,15.0242
2021-05-07,15.3804
2021-05-08,15.3804
2021-05-09,15.3804
2021-05-10,15.238
2021-05-11,14.7802
2021-05-12,14.262
2021-05-13,14.7522
2021-05-14,15.1602
2021-05-15,15.1602
2021-05-16,15.1602
2021-05-17,15.1473
2021-05-18,14.8968
2021-05-19,14.9897
2021-05-20,14.9422
2021-05-21,15.1106
2021-05-22,15.1106
2021-05-23,15.1106
2021-05-24,15.266
2021-05-25,15.0976
2021-05-26,15.3632
2021-05-27,15.2639
2021-05-28,14.9162
2021-05-29,14.9162
2021-05-30,14.9162
2021-05-31,14.9162
2021-06-01,14.7737
2021-06-02,14.8493
2021-06-03,15.1991
2021-06-04,15.6439
2021-06-05,15.6439
2021-06-06,15.6439
2021-06-07,15.7065
2021-06-08,15.8835
2021-06-09,15.9181
2021-06-10,16.2678
2021-06-11,16.2117
2021-06-12,16.2117
2021-06-13,16.2117
2021-06-14,16.1297
2021-06-15,16.2441
2021-06-16,16.0757
2021-06-17,15.8015
2021-06-18,15.0868
2021-06-19,15.0868
2021-06-20,15.0868
2021-06-21,15.4085
2021-06-22,15.6943
2021-06-23,15.6618
2021-06-24,15.7462
2021-06-25,16.0602
2021-06-26,16.0602
2021-06-27,16.0602
2021-06-28,16.0645
2021-06-29,16.1879
2021-06-30,15.9259
2021-07-01,15.9563
2021-07-02,16.1793
2021-07-03,16.1793
2021-07-04,16.1793
2021-07-05,16.1793
2021-07-06,15.9389
2021-07-07,16.0775
2021-07-08,15.8805
2021-07-09,16.0883
2021-07-10,16.0883
2021-07-11,16.0883
2021-07-12,16.0147
2021-07-13,15.5709
2021-07-14,15.4973
2021-07-15,15.3522
2021-07-16,14.9625
2021-07-17,14.9625
2021-07-18,14.9625
2021-07-19,14.9473
2021-07-20,15.2114
2021-07-21,15.2244
2021-07-22,14.9702
2021-07-23,15.0984
2021-07-24,15.0984
2021-07-25,15.0984
2021-07-26,15.2787
2021-07-27,15.1505
2021-07-28,15.2049
2021-07-29,15.3787
2021-07-30,14.1428
2021-07-31,14.1428
2021-08-01,14.1428
2021-08-02,14.2485
2021-08-03,14.5618
2021-08-04,14.4913
2021-08-05,14.5129
2021-08-06,14.648
2021-08-07,14.648
2021-08-08,14.648
2021-08-09,14.6637
2021-08-10,14.7283
2021-08-11,14.7518
2021-08-12,14.8223
2021-08-13,14.6695
2021-08-14,14.6695
2021-08-15,14.6695
2021-08-16,14.5755
2021-08-17,14.3229
2021-08-18,14.1584
2021-08-19,14.0782
2021-08-20,14.3543
2021-08-21,14.3543
2021-08-22,14.3543
2021-08-23,14.3641
2021-08-24,14.3758
2021-08-25,14.6676
2021-08-26,15.4273
2021-08-27,15.6055
2021-08-28,15.6055
2021-08-29,15.6055
2021-08-30,15.8621
2021-08-31,15.9717
2021-09-01,16.0481
2021-09-02,16.102
2021-09-03,16.4148
2021-09-04,16.4148
2021-09-05,16.4148
2021-09-06,16.4148
2021-09-07,16.1509
2021-09-08,16.0571
2021-09-09,16.5595
2021-09-10,16.6044
2021-09-11,16.6044
2021-09-12,16.6044
2021-09-13,16.493
2021-09-14,16.579
2021-09-15,16.796
2021-09-16,16.7295
2021-09-17,16.1529
2021-09-18,16.1529
2021-09-19,16.1529
2021-09-20,15.9496
2021-09-21,15.7775
2021-09-22,16.147
2021-09-23,16.6944
2021-09-24,16.8625
2021-09-25,16.8625
2021-09-26,16.8625
2021-09-27,16.9055
2021-09-28,16.5047
2021-09-29,16.2154
2021-09-30,16.104
2021-10-01,16.2643
2021-10-02,16.2643
2021-10-03,16.2643
2021-10-04,16.061
2021-10-05,16.2096
2021-10-06,16.1822
2021-10-07,16.3757
2021-10-08,16.4461
2021-10-09,16.4461
2021-10-10,16.4461
2021-10-11,16.4813
2021-10-12,16.1978
2021-10-13,16.1998
2021-10-14,16.6103
2021-10-15,17.0149
2021-10-16,17.0149
2021-10-17,17.0149
2021-10-18,16.2174
2021-10-19,16.3093
2021-10-20,16.2878
2021-10-21,16.6865
2021-10-22,16.7393
2021-10-23,16.7393
2021-10-24,16.7393
2021-10-25,16.7569
2021-10-26,16.2799
2021-10-27,15.8342
2021-10-28,16.0942
2021-10-29,14.5932
2021-10-30,14.5932
2021-10-31,14.5932
2021-11-01,14.7392
2021-11-02,14.7642
2021-11-03,14.7179
2021-11-04,14.8425
2021-11-05,14.9048
2021-11-06,14.9048
2021-11-07,14.9048
2021-11-08,15.0544
2021-11-09,15.0384
2021-11-10,14.9707
2021-11-11,15.0615
2021-11-12,14.6805
2021-11-13,14.6805
2021-11-14,14.6805
2021-11-15,14.5149
2021-11-16,14.4935
2021-11-17,14.3547
2021-11-18,14.2407
2021-11-19,14.0057
2021-11-20,14.0057
2021-11-21,14.0057
2021-11-22,14.0395
2021-11-23,14.141
2021-11-24,14.6787
2021-11-25,14.6787
2021-11-26,14.4188
2021-11-27,14.4188
2021-11-28,14.4188
2021-11-29,14.9885
2021-11-30,14.5185
2021-12-01,14.6217
2021-12-02,14.6529
2021-12-03,14.6299
2021-12-04,14.6299
2021-12-05,14.6299
2021-12-06,14.3025
2021-12-07,14.7396
2021-12-08,14.5874
2021-12-09,14.4989
2021-12-10,14.5007
2021-12-11,14.5007
2021-12-12,14.5007
2021-12-13,14.1237
2021-12-14,14.0618
2021-12-15,14.391
2021-12-16,14.2936
2021-12-17,14.2777
2021-12-18,14.2777
2021-12-19,14.2777
2021-12-20,14.1839
2021-12-21,14.6033
2021-12-22,14.6033
2021-12-23,14.7325
2021-12-24,14.7325
2021-12-25,14.7325
2021-12-26,14.7325
2021-12-27,15.2121
2021-12-28,15.1979
2021-12-29,15.1838
2021-12-30,14.9201
2021-12-31,14.9732
2022-01-01,14.9732
2022-01-02,14.9732
2022-01-03,15.044
2022-01-04,15.3643
2022-01-05,15.09
2022-01-06,15.1944
2022-01-07,15.0174
2022-01-08,15.0174
2022-01-09,15.0174
2022-01-10,15.1873
2022-01-11,15.5094
2022-01-12,15.4528
2022-01-13,15.5908
2022-01-14,15.5784
2022-01-15,15.5784
2022-01-16,15.5784
2022-01-17,15.5784
2022-01-18,15.2086
2022-01-19,14.5166
2022-01-20,14.2317
2022-01-21,13.6087
2022-01-22,13.6087
2022-01-23,13.6087
2022-01-24,14.0052
2022-01-25,13.8636
2022-01-26,13.6724
2022-01-27,13.5291
2022-01-28,13.6081
2022-01-29,13.6081
2022-01-30,13.6081
2022-01-31,13.6317
2022-02-01,13.716
2022-02-02,13.994
2022-02-03,13.8761
2022-02-04,13.8205
2022-02-05,13.8205
2022-02-06,13.8205
2022-02-07,13.7699
2022-02-08,14.0699
2022-02-09,14.5063
2022-02-10,14.2283
2022-02-11,14.0648
2022-02-12,14.0648
2022-02-13,14.0648
2022-02-14,13.8474
2022-02-15,14.2991
2022-02-16,14.4811
2022-02-17,14.4002
2022-02-18,14.3715
2022-02-19,14.3715
2022-02-20,14.3715
2022-02-21,14.3715
2022-02-22,13.566
2022-02-23,13.2239
2022-02-24,12.415
2022-02-25,12.5583
2022-02-26,12.5583
2022-02-27,12.5583
2022-02-28,12.2617
2022-03-01,12.0847
2022-03-02,12.7359
2022-03-03,12.6786
2022-03-04,12.6094
2022-03-05,12.6094
2022-03-06,12.6094
2022-03-07,12.3175
2022-03-08,12.3681
2022-03-09,12.682
2022-03-10,12.9924
2022-03-11,13.2421
2022-03-12,13.2421
2022-03-13,13.2421
2022-03-14,12.6162
2022-03-15,12.9047
2022-03-16,13.3703
2022-03-17,13.6318
2022-03-18,14.1852
2022-03-19,14.1852
2022-03-20,14.1852
2022-03-21,13.9844
2022-03-22,13.8343
2022-03-23,13.7685
2022-03-24,13.6133
2022-03-25,13.5103
2022-03-26,13.5103
2022-03-27,13.5103
2022-03-28,13.5863
2022-03-29,13.922
2022-03-30,13.6588
2022-03-31,13.0565
2022-04-01,12.9215
2022-04-02,12.9215
2022-04-03,12.9215
2022-04-04,13.1662
2022-04-05,12.7444
2022-04-06,12.5183
2022-04-07,12.3496
2022-04-08,12.2298
2022-04-09,12.2298
2022-04-10,12.2298
2022-04-11,12.0645
2022-04-12,11.9413
2022-04-13,12.0914
2022-04-14,11.7911
2022-04-15,11.7911
2022-04-16,11.7911
2022-04-17,11.7911
2022-04-18,11.9008
2022-04-19,12.0628
2022-04-20,12.3395
2022-04-21,12.2095
2022-04-22,11.8772
2022-04-23,11.8772
2022-04-24,11.8772
2022-04-25,12.1117
2022-04-26,11.7928
2022-04-27,11.6325
2022-04-28,11.7068
2022-04-29,13.0569
2022-04-30,13.0569
2022-05-01,13.0569
2022-05-02,13.2011
2022-05-03,13.2127
2022-05-04,13.7204
2022-05-05,13.0299
2022-05-06,13.0069
2022-05-07,13.0069
2022-05-08,13.0069
2022-05-09,12.6857
2022-05-10,13.0126
2022-05-11,12.3818
2022-05-12,12.3702
2022-05-13,12.6645
2022-05-14,12.6645
2022-05-15,12.6645
2022-05-16,12.7203
2022-05-17,13.1819
2022-05-18,12.5722
2022-05-19,12.0971
2022-05-20,11.7855
2022-05-21,11.7855
2022-05-22,11.7855
2022-05-23,12.1452
2022-05-24,11.9317
2022-05-25,12.3241
2022-05-26,12.526
2022-05-27,13.0184
2022-05-28,13.0184
2022-05-29,13.0184
2022-05-30,13.0184
2022-05-31,12.8068
2022-06-01,12.9145
2022-06-02,12.9895
2022-06-03,12.6453
2022-06-04,12.6453
2022-06-05,12.6453
2022-06-06,12.5991
2022-06-07,12.7126
2022-06-08,12.4472
2022-06-09,12.0028
2022-06-10,11.8182
2022-06-11,11.8182
2022-06-12,11.8182
2022-06-13,11.3681
2022-06-14,11.3393
2022-06-15,11.5528
2022-06-16,11.0675
2022-06-17,11.1574
2022-06-18,11.1574
2022-06-19,11.1574
2022-06-20,11.1574
2022-06-21,11.2989
2022-06-22,11.3371
2022-06-23,11.3658
2022-06-24,11.7405
2022-06-25,11.7405
2022-06-26,11.7405
2022-06-27,11.8284
2022-06-28,11.5168
2022-06-29,11.4633
2022-06-30,11.4403
2022-07-01,10.97
2022-07-02,10.97
2022-07-03,10.97
2022-07-04,10.97
2022-07-05,11.2453
2022-07-06,11.0752
2022-07-07,11.3543
2022-07-08,11.4021
2022-07-09,11.4021
2022-07-10,11.4021
2022-07-11,11.2797
2022-07-12,11.2644
2022-07-13,11.2587
2022-07-14,11.3925
2022-07-15,11.5761
2022-07-16,11.5761
2022-07-17,11.5761
2022-07-18,11.5034
2022-07-19,12.0272
2022-07-20,12.2739
2022-07-21,12.4497
2022-07-22,12.2089
2022-07-23,12.2089
2022-07-24,12.2089
2022-07-25,12.1917
2022-07-26,12.2394
2022-07-27,12.4593
2022-07-28,12.6772
2022-07-29,13.0694
2022-07-30,13.0694
2022-07-31,13.0694
2022-08-01,13.1884
2022-08-02,13.0769
2022-08-03,13.2999
2022-08-04,13.2167
2022-08-05,13.2659
2022-08-06,13.2659
2022-08-07,13.2659
2022-08-08,13.3188
2022-08-09,13.0259
2022-08-10,13.4416
2022-08-11,13.5171
2022-08-12,13.7495
2022-08-13,13.7495
2022-08-14,13.7495
2022-08-15,13.6929
2022-08-16,13.7193
2022-08-17,13.4548
2022-08-18,13.8553
2022-08-19,13.6286
2022-08-20,13.6286
2022-08-21,13.6286
2022-08-22,13.3906
2022-08-23,13.4378
2022-08-24,13.3509
2022-08-25,14.4354
2022-08-26,13.7552
2022-08-27,13.7552
2022-08-28,13.7552
2022-08-29,13.4699
2022-08-30,13.1016
2022-08-31,13.0736
2022-09-01,13.0792
2022-09-02,12.9147
2022-09-03,12.9147
2022-09-04,12.9147
2022-09-05,12.9147
2022-09-06,12.8063
2022-09-07,12.8063
2022-09-08,12.939
2022-09-09,13.1334
2022-09-10,13.1334
2022-09-11,13.1334
2022-09-12,13.311
2022-09-13,12.8736
2022-09-14,12.7241
2022-09-15,12.5035
2022-09-16,12.4288
2022-09-17,12.4288
2022-09-18,12.4288
2022-09-19,12.2288
2022-09-20,11.984
2022-09-21,11.8064
2022-09-22,11.5971
2022-09-23,11.455
2022-09-24,11.455
2022-09-25,11.455
2022-09-26,11.2943
2022-09-27,11.2793
2022-09-28,11.498
2022-09-29,11.356
2022-09-30,11.1523
2022-10-01,11.1523
2022-10-02,11.1523
2022-10-03,11.5803
2022-10-04,12.0326
2022-10-05,12.1503
2022-10-06,12.1148
2022-10-07,11.9428
2022-10-08,11.9428
2022-10-09,11.9428
2022-10-10,11.5616
2022-10-11,11.1915
2022-10-12,11.242
2022-10-13,11.5746
2022-10-14,11.2569
2022-10-15,11.2569
2022-10-16,11.2569
2022-10-17,11.399
2022-10-18,11.3186
2022-10-19,11.2345
2022-10-20,11.27
2022-10-21,11.8531
2022-10-22,11.8531
2022-10-23,11.8531
2022-10-24,11.9914
2022-10-25,12.2737
2022-10-26,12.2008
2022-10-27,12.2026
2022-10-28,12.8125
2022-10-29,12.8125
2022-10-30,12.8125
2022-10-31,12.7879
2022-11-01,13.1184
2022-11-02,12.7124
2022-11-03,12.4801
2022-11-04,12.6973
2022-11-05,12.6973
2022-11-06,12.6973
2022-11-07,12.8106
2022-11-08,12.82
2022-11-09,12.55
2022-11-10,13.2865
2022-11-11,13.5868
2022-11-12,13.5868
2022-11-13,13.5868
2022-11-14,13.5263
2022-11-15,13.6736
2022-11-16,13.3658
2022-11-17,13.4659
2022-11-18,13.6283
2022-11-19,13.6283
2022-11-20,13.6283
2022-11-21,13.4017
2022-11-22,13.6585
2022-11-23,13.8058
2022-11-24,13.8058
2022-11-25,13.8058
2022-11-26,13.8058
2022-11-27,13.8058
2022-11-28,13.4111
2022-11-29,13.2638
2022-11-30,12.4745
2022-12-01,12.4553
2022-12-02,12.1482
2022-12-03,12.1482
2022-12-04,12.1482
2022-12-05,11.8167
2022-12-06,11.5207
2022-12-07,11.502
2022-12-08,11.6781
2022-12-09,11.7474
2022-12-10,11.7474
2022-12-11,11.7474
2022-12-12,11.9347
2022-12-13,11.8635
2022-12-14,11.7661
2022-12-15,11.2023
2022-12-16,11.0038
2022-12-17,11.0038
2022-12-18,11.0038
2022-12-19,10.7922
2022-12-20,10.8446
2022-12-21,10.9532
2022-12-22,10.751
2022-12-23,10.7641
2022-12-24,10.7641
2022-12-25,10.7641
2022-12-26,10.7641
2022-12-27,10.7659
2022-12-28,10.603
2022-12-29,10.9607
2022-12-30,10.9551
2022-12-31,10.9551
2023-01-01,10.9551
2023-01-02,10.9551
2023-01-03,11.0918
2023-01-04,11.3054
2023-01-05,11.193
2023-01-06,11.6275
2023-01-07,11.6275
2023-01-08,11.6275
2023-01-09,11.6556
2023-01-10,11.7324
2023-01-11,11.7773
2023-01-12,11.7024
2023-01-13,11.8167
2023-01-14,11.8167
2023-01-15,11.8167
2023-01-16,11.8167
2023-01-17,11.8373
2023-01-18,11.8728
2023-01-19,11.7886
2023-01-20,11.9684
2023-01-21,11.9684
2023-01-22,11.9684
2023-01-23,12.2568
2023-01-24,12.2287
2023-01-25,12.1369
2023-01-26,12.0283
2023-01-27,13.6504
2023-01-28,13.6504
2023-01-29,13.6504
2023-01-30,13.6439
2023-01-31,13.7988
2023-02-01,13.9882
2023-02-02,14.4055
2023-02-03,14.0979
2023-02-04,14.0979
2023-02-05,14.0979
2023-02-06,13.7666
2023-02-07,14.0548
2023-02-08,13.8376
2023-02-09,13.7472
2023-02-10,13.8225
2023-02-11,13.8225
2023-02-12,13.8225
2023-02-13,14.1194
2023-02-14,14.1194
2023-02-15,14.3324
2023-02-16,14.1689
2023-02-17,14.0527
2023-02-18,14.0527
2023-02-19,14.0527
2023-02-20,14.0527
2023-02-21,13.7386
2023-02-22,13.7128
2023-02-23,13.7967
2023-02-24,13.616
2023-02-25,13.616
2023-02-26,13.616
2023-02-27,13.4847
2023-02-28,13.4374
2023-03-01,13.3406
2023-03-02,13.4558
2023-03-03,13.5925
2023-03-04,13.5925
2023-03-05,13.5925
2023-03-06,13.5028
2023-03-07,13.1954
2023-03-08,13.3961
2023-03-09,13.0844
2023-03-10,12.8325
2023-03-11,12.8325
2023-03-12,12.8325
2023-03-13,12.6468
2023-03-14,12.5977
