,TNC US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-01-31,23.0056
2021-02-01,23.2376
2021-02-02,24.0438
2021-02-03,24.2149
2021-02-04,24.2468
2021-02-05,24.5484
2021-02-06,24.5484
2021-02-07,24.5484
2021-02-08,24.9457
2021-02-09,25.1342
2021-02-10,25.1922
2021-02-11,25.0704
2021-02-12,25.4417
2021-02-13,25.4417
2021-02-14,25.4417
2021-02-15,25.4417
2021-02-16,25.4301
2021-02-17,25.2793
2021-02-18,24.9776
2021-02-19,25.2996
2021-02-20,25.2996
2021-02-21,25.2996
2021-02-22,25.7578
2021-02-23,25.8187
2021-02-24,26.3001
2021-02-25,26.1995
2021-02-26,25.5077
2021-02-27,25.5077
2021-02-28,25.5077
2021-03-01,26.1007
2021-03-02,25.8565
2021-03-03,25.9902
2021-03-04,25.6298
2021-03-05,26.1676
2021-03-06,26.1676
2021-03-07,26.1676
2021-03-08,26.4001
2021-03-09,26.1734
2021-03-10,26.778
2021-03-11,26.8594
2021-03-12,27.1472
2021-03-13,27.1472
2021-03-14,27.1472
2021-03-15,27.2867
2021-03-16,26.9001
2021-03-17,26.85
2021-03-18,26.7975
2021-03-19,26.707
2021-03-20,26.707
2021-03-21,26.707
2021-03-22,26.4181
2021-03-23,25.7411
2021-03-24,26.3335
2021-03-25,26.4502
2021-03-26,26.9901
2021-03-27,26.9901
2021-03-28,26.9901
2021-03-29,26.9055
2021-03-30,27.0514
2021-03-31,19.2431
2021-04-01,19.4081
2021-04-02,19.4081
2021-04-03,19.4081
2021-04-04,19.4081
2021-04-05,19.571
2021-04-06,19.5666
2021-04-07,19.2691
2021-04-08,19.3386
2021-04-09,19.5254
2021-04-10,19.5254
2021-04-11,19.5254
2021-04-12,19.6578
2021-04-13,19.5645
2021-04-14,19.5905
2021-04-15,19.5189
2021-04-16,19.4385
2021-04-17,19.4385
2021-04-18,19.4385
2021-04-19,19.2713
2021-04-20,18.85
2021-04-21,19.2235
2021-04-22,19.3169
2021-04-23,19.5102
2021-04-24,19.5102
2021-04-25,19.5102
2021-04-26,19.3169
2021-04-27,19.0498
2021-04-28,19.0172
2021-04-29,19.1975
2021-04-30,19.0302
2021-05-01,19.0302
2021-05-02,19.0302
2021-05-03,19.2822
2021-05-04,19.8022
2021-05-05,19.9261
2021-05-06,20.5327
2021-05-07,20.4501
2021-05-08,20.4501
2021-05-09,20.4501
2021-05-10,20.1892
2021-05-11,20.0457
2021-05-12,19.6587
2021-05-13,20.487
2021-05-14,20.2653
2021-05-15,20.2653
2021-05-16,20.2653
2021-05-17,20.2631
2021-05-18,19.9457
2021-05-19,19.8739
2021-05-20,20.0305
2021-05-21,20.0065
2021-05-22,20.0065
2021-05-23,20.0065
2021-05-24,20.1957
2021-05-25,19.8348
2021-05-26,19.9826
2021-05-27,20.0152
2021-05-28,19.8826
2021-05-29,19.8826
2021-05-30,19.8826
2021-05-31,19.8826
2021-06-01,20.3674
2021-06-02,20.0957
2021-06-03,19.9739
2021-06-04,20.1022
2021-06-05,20.1022
2021-06-06,20.1022
