,MRO US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-05-06,17.9852
2020-05-07,17.8473
2020-05-08,18.2597
2020-05-09,18.2597
2020-05-10,18.2597
2020-05-11,18.2138
2020-05-12,18.5354
2020-05-13,17.9227
2020-05-14,18.0453
2020-05-15,17.9993
2020-05-16,17.9993
2020-05-17,17.9993
2020-05-18,18.7192
2020-05-19,18.321
2020-05-20,18.5201
2020-05-21,18.5048
2020-05-22,18.4282
2020-05-23,18.4282
2020-05-24,18.4282
2020-05-25,18.4282
2020-05-26,18.6426
2020-05-27,18.8264
2020-05-28,18.1372
2020-05-29,17.5858
2020-05-30,17.5858
2020-05-31,17.5858
2020-06-01,18.1219
2020-06-02,18.3822
2020-06-03,18.5201
2020-06-04,18.9489
2020-06-05,20.6184
2020-06-06,20.6184
2020-06-07,20.6184
2020-06-08,22.3185
2020-06-09,21.1391
2020-06-10,20.2967
2020-06-11,18.9949
2020-06-12,19.485
2020-06-13,19.485
2020-06-14,19.485
2020-06-15,19.5156
2020-06-16,19.7301
2020-06-17,19.1634
2020-06-18,19.3471
2020-06-19,19.148
2020-06-20,19.148
2020-06-21,19.148
2020-06-22,19.0102
2020-06-23,19.1021
2020-06-24,18.275
2020-06-25,18.566
2020-06-26,18.1984
2020-06-27,18.1984
2020-06-28,18.1984
2020-06-29,18.5354
2020-06-30,18.5354
2020-07-01,18.5354
2020-07-02,18.5354
2020-07-03,18.5354
2020-07-04,18.5354
2020-07-05,18.5354
2020-07-06,18.5354
2020-07-07,18.5354
2020-07-08,18.5354
2020-07-09,18.5354
2020-07-10,18.5354
2020-07-11,18.5354
2020-07-12,18.5354
2020-07-13,18.5354
2020-07-14,18.5354
2020-07-15,18.5354
2020-07-16,18.5354
2020-07-17,18.5354
2020-07-18,18.5354
2020-07-19,18.5354
2020-07-20,18.5354
2020-07-21,18.5354
2020-07-22,18.5354
2020-07-23,18.5354
2020-07-24,18.5354
2020-07-25,18.5354
2020-07-26,18.5354
2020-07-27,18.5354
2020-07-28,18.5354
2020-07-29,18.5354
2020-07-30,18.5354
2020-07-31,18.5354
2020-08-01,18.5354
2020-08-02,18.5354
2020-08-03,18.5354
2020-08-04,18.5354
2020-08-05,18.5354
2020-08-06,18.5354
2020-08-07,18.5354
2020-08-08,18.5354
2020-08-09,18.5354
2020-08-10,18.5354
2020-08-11,18.5354
2020-08-12,18.5354
2020-08-13,18.5354
2020-08-14,18.5354
2020-08-15,18.5354
2020-08-16,18.5354
2020-08-17,18.5354
2020-08-18,18.5354
2020-08-19,18.5354
2020-08-20,18.5354
2020-08-21,18.5354
2020-08-22,18.5354
2020-08-23,18.5354
2020-08-24,18.5354
2020-08-25,18.5354
2020-08-26,18.5354
2020-08-27,18.5354
2020-08-28,18.5354
2020-08-29,18.5354
2020-08-30,18.5354
2020-08-31,18.5354
2020-09-01,18.5354
2020-09-02,18.5354
2020-09-03,18.5354
2020-09-04,18.5354
2020-09-05,18.5354
2020-09-06,18.5354
2020-09-07,18.5354
2020-09-08,18.5354
2020-09-09,18.5354
2020-09-10,18.5354
2020-09-11,18.5354
2020-09-12,18.5354
2020-09-13,18.5354
2020-09-14,18.5354
2020-09-15,18.5354
2020-09-16,18.5354
2020-09-17,18.5354
2020-09-18,18.5354
2020-09-19,18.5354
2020-09-20,18.5354
2020-09-21,18.5354
2020-09-22,18.5354
2020-09-23,18.5354
2020-09-24,18.5354
2020-09-25,18.5354
2020-09-26,18.5354
2020-09-27,18.5354
2020-09-28,18.5354
2020-09-29,18.5354
2020-09-30,18.5354
2020-10-01,18.5354
2020-10-02,18.5354
2020-10-03,18.5354
2020-10-04,18.5354
2020-10-05,18.5354
2020-10-06,18.5354
2020-10-07,18.5354
