,MTOR US Equity
2021-04-01,33.6853
2021-04-02,33.6853
2021-04-03,33.6853
2021-04-04,33.6853
2021-04-05,33.8384
2021-04-06,33.9674
2021-04-07,33.5483
2021-04-08,33.1292
2021-04-09,33.2259
2021-04-10,33.2259
2021-04-11,33.2259
2021-04-12,33.1937
2021-04-13,32.4925
2021-04-14,33.1937
2021-04-15,33.5402
2021-04-16,33.1131
2021-04-17,33.1131
2021-04-18,33.1131
2021-04-19,32.831
2021-04-20,31.9203
2021-04-21,32.6537
2021-04-22,32.3394
2021-04-23,33.2904
2021-04-24,33.2904
2021-04-25,33.2904
2021-04-26,33.0647
2021-04-27,33.3387
2021-04-28,33.6934
2021-04-29,33.0244
2021-04-30,31.9848
2021-05-01,31.9848
2021-05-02,31.9848
2021-05-03,32.0331
2021-05-04,31.1762
2021-05-05,30.781
2021-05-06,31.8456
2021-05-07,32.023
2021-05-08,32.023
2021-05-09,32.023
2021-05-10,31.9746
2021-05-11,31.3214
2021-05-12,30.6359
2021-05-13,31.3698
2021-05-14,31.6359
2021-05-15,31.6359
2021-05-16,31.6359
2021-05-17,31.3698
2021-05-18,30.3536
2021-05-19,30.6681
2021-05-20,30.5149
2021-05-21,30.7407
2021-05-22,30.7407
2021-05-23,30.7407
2021-05-24,30.531
2021-05-25,30.2165
2021-05-26,30.3778
2021-05-27,31.0552
2021-05-28,31.1681
2021-05-29,31.1681
2021-05-30,31.1681
2021-05-31,31.1681
2021-06-01,31.7407
2021-06-02,31.4988
2021-06-03,31.7085
2021-06-04,32.3053
2021-06-05,32.3053
2021-06-06,32.3053
2021-06-07,31.8375
2021-06-08,32.2811
2021-06-09,31.7327
2021-06-10,31.1036
2021-06-11,31.0149
2021-06-12,31.0149
2021-06-13,31.0149
2021-06-14,30.4343
2021-06-15,30.5875
2021-06-16,29.6842
2021-06-17,28.4987
2021-06-18,27.91
2021-06-19,27.91
2021-06-20,27.91
2021-06-21,28.3374
2021-06-22,28.2245
2021-06-23,28.1923
2021-06-24,28.6278
2021-06-25,28.5391
2021-06-26,28.5391
2021-06-27,28.5391
2021-06-28,28.4987
2021-06-29,28.652
2021-06-30,13.8467
2021-07-01,13.988
2021-07-02,13.8123
2021-07-03,13.8123
2021-07-04,13.8123
2021-07-05,13.8123
2021-07-06,13.6175
2021-07-07,13.5831
2021-07-08,13.3883
2021-07-09,13.8352
2021-07-10,13.8352
2021-07-11,13.8352
2021-07-12,13.8696
2021-07-13,13.7856
2021-07-14,13.9231
2021-07-15,13.8429
2021-07-16,13.7283
2021-07-17,13.7283
2021-07-18,13.7283
2021-07-19,13.4991
2021-07-20,13.9498
2021-07-21,14.0033
2021-07-22,13.671
2021-07-23,13.8467
2021-07-24,13.8467
2021-07-25,13.8467
2021-07-26,13.8925
2021-07-27,13.7359
2021-07-28,13.8582
2021-07-29,14.2287
2021-07-30,14.1943
2021-07-31,14.1943
2021-08-01,14.1943
2021-08-02,13.9995
2021-08-03,14.0606
2021-08-04,13.7344
2021-08-05,13.7713
2021-08-06,14.0777
2021-08-07,14.0777
2021-08-08,14.0777
2021-08-09,13.93
2021-08-10,14.0555
2021-08-11,14.421
2021-08-12,14.4026
2021-08-13,14.3324
2021-08-14,14.3324
2021-08-15,14.3324
2021-08-16,14.0925
2021-08-17,13.8747
2021-08-18,13.6347
2021-08-19,13.391
2021-08-20,13.3726
2021-08-21,13.3726
2021-08-22,13.3726
2021-08-23,13.4279
2021-08-24,13.6716
2021-08-25,13.8193
2021-08-26,13.5645
2021-08-27,13.8451
2021-08-28,13.8451
2021-08-29,13.8451
2021-08-30,13.7381
2021-08-31,13.6568
2021-09-01,13.7011
2021-09-02,13.7897
2021-09-03,13.7713
2021-09-04,13.7713
2021-09-05,13.7713
2021-09-06,13.7713
2021-09-07,13.5756
2021-09-08,13.3246
2021-09-09,13.0957
2021-09-10,12.9296
2021-09-11,12.9296
2021-09-12,12.9296
2021-09-13,13.1474
2021-09-14,12.9111
2021-09-15,13.044
2021-09-16,13.0883
2021-09-17,13.1437
2021-09-18,13.1437
2021-09-19,13.1437
2021-09-20,12.6638
2021-09-21,12.5825
2021-09-22,12.8004
2021-09-23,13.0625
2021-09-24,13.0255
2021-09-25,13.0255
2021-09-26,13.0255
2021-09-27,13.3504
2021-09-28,12.9702
2021-09-29,12.9333
2021-09-30,11.5952
2021-10-01,11.9974
2021-10-02,11.9974
2021-10-03,11.9974
2021-10-04,12.2226
2021-10-05,12.4833
2021-10-06,12.4639
2021-10-07,12.7214
2021-10-08,12.9466
2021-10-09,12.9466
2021-10-10,12.9466
2021-10-11,12.9627
2021-10-12,12.9337
2021-10-13,12.8758
2021-10-14,12.9981
2021-10-15,13.056
2021-10-16,13.056
2021-10-17,13.056
2021-10-18,12.8372
2021-10-19,12.8822
2021-10-20,12.8661
2021-10-21,12.8919
2021-10-22,12.657
2021-10-23,12.657
2021-10-24,12.657
2021-10-25,12.8179
2021-10-26,12.3867
2021-10-27,12.4511
2021-10-28,12.7117
2021-10-29,12.5701
2021-10-30,12.5701
2021-10-31,12.5701
2021-11-01,12.9273
2021-11-02,12.8082
2021-11-03,13.0656
2021-11-04,13.0882
2021-11-05,13.2876
2021-11-06,13.2876
2021-11-07,13.2876
2021-11-08,13.0785
2021-11-09,13.2233
2021-11-10,13.3102
2021-11-11,13.5064
2021-11-12,13.5
2021-11-13,13.5
2021-11-14,13.5
2021-11-15,13.5965
2021-11-16,13.6223
2021-11-17,13.5386
2021-11-18,13.3823
2021-11-19,13.6877
2021-11-20,13.6877
2021-11-21,13.6877
2021-11-22,14.0316
2021-11-23,13.9481
2021-11-24,13.7713
2021-11-25,13.7713
2021-11-26,13.4595
2021-11-27,13.4595
2021-11-28,13.4595
2021-11-29,13.3148
2021-11-30,12.868
2021-12-01,12.9837
2021-12-02,13.0448
2021-12-03,13.1637
2021-12-04,13.1637
2021-12-05,13.1637
2021-12-06,13.3341
2021-12-07,13.1541
2021-12-08,13.2216
2021-12-09,12.9323
2021-12-10,12.7619
2021-12-11,12.7619
2021-12-12,12.7619
2021-12-13,12.6462
2021-12-14,12.4501
2021-12-15,12.6848
2021-12-16,12.479
2021-12-17,12.2894
2021-12-18,12.2894
2021-12-19,12.2894
2021-12-20,12.2026
2021-12-21,12.4405
2021-12-22,12.508
2021-12-23,12.6526
2021-12-24,12.6526
2021-12-25,12.6526
2021-12-26,12.6526
2021-12-27,12.6976
2021-12-28,12.7426
2021-12-29,12.8198
2021-12-30,12.6655
2021-12-31,11.6687
2022-01-01,11.6687
2022-01-02,11.6687
2022-01-03,11.8077
2022-01-04,12.1359
2022-01-05,11.9466
2022-01-06,12.1891
2022-01-07,12.0738
2022-01-08,12.0738
2022-01-09,12.0738
2022-01-10,11.9171
2022-01-11,11.8934
2022-01-12,11.6983
2022-01-13,12.1477
2022-01-14,12.3843
2022-01-15,12.3843
2022-01-16,12.3843
2022-01-17,12.3843
2022-01-18,12.2246
2022-01-19,11.8816
2022-01-20,11.4943
2022-01-21,11.376
2022-01-22,11.376
2022-01-23,11.376
2022-01-24,11.3996
2022-01-25,11.3612
2022-01-26,11.1454
2022-01-27,11.1454
2022-01-28,11.0537
2022-01-29,11.0537
2022-01-30,11.0537
2022-01-31,11.1572
2022-02-01,11.3405
2022-02-02,11.3878
2022-02-03,11.2849
2022-02-04,11.3476
2022-02-05,11.3476
2022-02-06,11.3476
2022-02-07,11.261
2022-02-08,11.4073
2022-02-09,11.6313
2022-02-10,11.5865
2022-02-11,11.4939
2022-02-12,11.4939
2022-02-13,11.4939
2022-02-14,11.4999
2022-02-15,11.7955
2022-02-16,11.9866
2022-02-17,11.8881
2022-02-18,11.7089
2022-02-19,11.7089
2022-02-20,11.7089
2022-02-21,11.7089
2022-02-22,14.9422
2022-02-23,15.017
2022-02-24,14.9781
2022-02-25,15.0409
2022-02-26,15.0409
2022-02-27,15.0409
2022-02-28,14.9841
2022-03-01,14.9781
2022-03-02,15.0289
2022-03-03,15.1305
2022-03-04,14.9721
2022-03-05,14.9721
2022-03-06,14.9721
2022-03-07,14.7839
2022-03-08,14.9064
2022-03-09,14.9064
2022-03-10,14.8735
2022-03-11,14.9034
2022-03-12,14.9034
2022-03-13,14.9034
2022-03-14,14.9422
2022-03-15,14.9363
2022-03-16,14.9662
2022-03-17,15.008
2022-03-18,14.9781
2022-03-19,14.9781
2022-03-20,14.9781
2022-03-21,14.8914
2022-03-22,14.9811
2022-03-23,14.9542
2022-03-24,14.9333
2022-03-25,14.9602
2022-03-26,14.9602
2022-03-27,14.9602
2022-03-28,15.005
2022-03-29,14.9781
2022-03-30,14.9512
2022-03-31,15.8602
2022-04-01,15.9103
2022-04-02,15.9103
2022-04-03,15.9103
2022-04-04,15.8946
2022-04-05,15.8382
2022-04-06,15.8382
2022-04-07,15.8382
2022-04-08,15.8319
2022-04-09,15.8319
2022-04-10,15.8319
2022-04-11,15.8382
2022-04-12,15.8382
2022-04-13,15.8539
2022-04-14,15.9479
2022-04-15,15.9479
2022-04-16,15.9479
2022-04-17,15.9479
2022-04-18,15.9667
2022-04-19,16.0551
2022-04-20,16.0457
2022-04-21,16.0018
2022-04-22,15.9987
2022-04-23,15.9987
2022-04-24,15.9987
2022-04-25,16.005
2022-04-26,15.9862
2022-04-27,15.9768
2022-04-28,15.9768
2022-04-29,15.9705
2022-04-30,15.9705
2022-05-01,15.9705
2022-05-02,15.9799
2022-05-03,15.9772
2022-05-04,15.9834
2022-05-05,15.9709
2022-05-06,16.0023
2022-05-07,16.0023
2022-05-08,16.0023
2022-05-09,15.9678
2022-05-10,15.9678
2022-05-11,15.9709
2022-05-12,15.9678
2022-05-13,15.996
2022-05-14,15.996
2022-05-15,15.996
2022-05-16,15.9834
2022-05-17,15.9991
2022-05-18,15.9803
2022-05-19,15.9803
2022-05-20,16.0273
2022-05-21,16.0273
2022-05-22,16.0273
2022-05-23,16.0148
2022-05-24,16.0179
2022-05-25,16.065
2022-05-26,16.0775
2022-05-27,16.0493
2022-05-28,16.0493
2022-05-29,16.0493
2022-05-30,16.0493
2022-05-31,16.0524
2022-06-01,16.0367
2022-06-02,16.0587
2022-06-03,16.0493
2022-06-04,16.0493
2022-06-05,16.0493
2022-06-06,16.043
2022-06-07,16.043
2022-06-08,16.0367
2022-06-09,16.0273
2022-06-10,16.0367
2022-06-11,16.0367
2022-06-12,16.0367
2022-06-13,16.0023
2022-06-14,15.9991
2022-06-15,16.0179
2022-06-16,15.9709
2022-06-17,15.9803
2022-06-18,15.9803
2022-06-19,15.9803
2022-06-20,15.9803
2022-06-21,16.0305
2022-06-22,16.0179
2022-06-23,16.0712
2022-06-24,16.0493
2022-06-25,16.0493
2022-06-26,16.0493
2022-06-27,16.0712
2022-06-28,16.0618
2022-06-29,16.0618
2022-06-30,13.864
2022-07-01,13.8502
2022-07-02,13.8502
2022-07-03,13.8502
2022-07-04,13.8502
2022-07-05,13.8585
2022-07-06,13.8557
2022-07-07,13.864
2022-07-08,13.8585
2022-07-09,13.8585
2022-07-10,13.8585
2022-07-11,13.8474
2022-07-12,13.8529
2022-07-13,13.8585
2022-07-14,13.864
2022-07-15,13.864
2022-07-16,13.864
2022-07-17,13.864
2022-07-18,13.8695
2022-07-19,13.8695
2022-07-20,13.8612
2022-07-21,13.8695
2022-07-22,13.864
2022-07-23,13.864
2022-07-24,13.864
2022-07-25,13.8751
2022-07-26,13.8612
2022-07-27,13.8861
2022-07-28,13.8917
2022-07-29,13.8889
2022-07-30,13.8889
2022-07-31,13.8889
2022-08-01,13.9083
2022-08-02,13.9123
2022-08-03,13.9123
2022-08-04,13.9123
2022-08-05,13.9123
2022-08-06,13.9123
2022-08-07,13.9123
2022-08-08,13.9123
2022-08-09,13.9123
2022-08-10,13.9123
2022-08-11,13.9123
2022-08-12,13.9123
2022-08-13,13.9123
2022-08-14,13.9123
2022-08-15,13.9123
2022-08-16,13.9123
2022-08-17,13.9123
2022-08-18,13.9123
2022-08-19,13.9123
2022-08-20,13.9123
2022-08-21,13.9123
2022-08-22,13.9123
2022-08-23,13.9123
2022-08-24,13.9123
2022-08-25,13.9123
2022-08-26,13.9123
2022-08-27,13.9123
2022-08-28,13.9123
2022-08-29,13.9123
2022-08-30,13.9123
2022-08-31,13.9123
2022-09-01,13.9123
2022-09-02,13.9123
2022-09-03,13.9123
2022-09-04,13.9123
2022-09-05,13.9123
2022-09-06,13.9123
2022-09-07,13.9123
2022-09-08,13.9123
2022-09-09,13.9123
2022-09-10,13.9123
2022-09-11,13.9123
2022-09-12,13.9123
2022-09-13,13.9123
2022-09-14,13.9123
2022-09-15,13.9123
2022-09-16,13.9123
2022-09-17,13.9123
2022-09-18,13.9123
2022-09-19,13.9123
2022-09-20,13.9123
2022-09-21,13.9123
2022-09-22,13.9123
2022-09-23,13.9123
2022-09-24,13.9123
2022-09-25,13.9123
2022-09-26,13.9123
2022-09-27,13.9123
2022-09-28,13.9123
2022-09-29,13.9123
2022-09-30,13.9123
2022-10-01,13.9123
2022-10-02,13.9123
2022-10-03,13.9123
2022-10-04,13.9123
2022-10-05,13.9123
2022-10-06,13.9123
2022-10-07,13.9123
2022-10-08,13.9123
2022-10-09,13.9123
2022-10-10,13.9123
2022-10-11,13.9123
2022-10-12,13.9123
2022-10-13,13.9123
2022-10-14,13.9123
2022-10-15,13.9123
2022-10-16,13.9123
2022-10-17,13.9123
2022-10-18,13.9123
2022-10-19,13.9123
2022-10-20,13.9123
2022-10-21,13.9123
2022-10-22,13.9123
2022-10-23,13.9123
2022-10-24,13.9123
2022-10-25,13.9123
2022-10-26,13.9123
2022-10-27,13.9123
2022-10-28,13.9123
2022-10-29,13.9123
2022-10-30,13.9123
2022-10-31,13.9123
2022-11-01,13.9123
2022-11-02,13.9123
2022-11-03,13.9123
2022-11-04,13.9123
2022-11-05,13.9123
2022-11-06,13.9123
2022-11-07,13.9123
2022-11-08,13.9123
2022-11-09,13.9123
2022-11-10,13.9123
2022-11-11,13.9123
2022-11-12,13.9123
2022-11-13,13.9123
2022-11-14,13.9123
2022-11-15,13.9123
2022-11-16,13.9123
2022-11-17,13.9123
2022-11-18,13.9123
2022-11-19,13.9123
2022-11-20,13.9123
2022-11-21,13.9123
2022-11-22,13.9123
2022-11-23,13.9123
2022-11-24,13.9123
2022-11-25,13.9123
2022-11-26,13.9123
2022-11-27,13.9123
2022-11-28,13.9123
2022-11-29,13.9123
2022-11-30,13.9123
2022-12-01,13.9123
2022-12-02,13.9123
2022-12-03,13.9123
2022-12-04,13.9123
2022-12-05,13.9123
2022-12-06,13.9123
2022-12-07,13.9123
2022-12-08,13.9123
2022-12-09,13.9123
2022-12-10,13.9123
2022-12-11,13.9123
2022-12-12,13.9123
2022-12-13,13.9123
2022-12-14,13.9123
2022-12-15,13.9123
2022-12-16,13.9123
2022-12-17,13.9123
2022-12-18,13.9123
2022-12-19,13.9123
2022-12-20,13.9123
2022-12-21,13.9123
2022-12-22,13.9123
2022-12-23,13.9123
2022-12-24,13.9123
2022-12-25,13.9123
2022-12-26,13.9123
2022-12-27,13.9123
2022-12-28,13.9123
2022-12-29,13.9123
2022-12-30,13.9123
2022-12-31,13.9123
2023-01-01,13.9123
2023-01-02,13.9123
2023-01-03,13.9123
2023-01-04,13.9123
2023-01-05,13.9123
2023-01-06,13.9123
2023-01-07,13.9123
2023-01-08,13.9123
2023-01-09,13.9123
2023-01-10,13.9123
2023-01-11,13.9123
2023-01-12,13.9123
2023-01-13,13.9123
2023-01-14,13.9123
2023-01-15,13.9123
2023-01-16,13.9123
2023-01-17,13.9123
2023-01-18,13.9123
2023-01-19,13.9123
2023-01-20,13.9123
2023-01-21,13.9123
2023-01-22,13.9123
2023-01-23,13.9123
2023-01-24,13.9123
2023-01-25,13.9123
2023-01-26,13.9123
2023-01-27,13.9123
2023-01-28,13.9123
2023-01-29,13.9123
2023-01-30,13.9123
2023-01-31,13.9123
2023-02-01,13.9123
2023-02-02,13.9123
2023-02-03,13.9123
2023-02-04,13.9123
2023-02-05,13.9123
2023-02-06,13.9123
2023-02-07,13.9123
2023-02-08,13.9123
2023-02-09,13.9123
2023-02-10,13.9123
2023-02-11,13.9123
2023-02-12,13.9123
2023-02-13,13.9123
2023-02-14,13.9123
2023-02-15,13.9123
2023-02-16,13.9123
2023-02-17,13.9123
2023-02-18,13.9123
2023-02-19,13.9123
2023-02-20,13.9123
2023-02-21,13.9123
2023-02-22,13.9123
2023-02-23,13.9123
2023-02-24,13.9123
2023-02-25,13.9123
2023-02-26,13.9123
2023-02-27,13.9123
2023-02-28,13.9123
2023-03-01,13.9123
2023-03-02,13.9123
2023-03-03,13.9123
2023-03-04,13.9123
2023-03-05,13.9123
2023-03-06,13.9123
2023-03-07,13.9123
2023-03-08,13.9123
2023-03-09,13.9123
2023-03-10,13.9123
2023-03-11,13.9123
2023-03-12,13.9123
2023-03-13,13.9123
2023-03-14,13.9123
2023-03-15,13.9123
2023-03-16,13.9123
2023-03-17,13.9123
