,BRK/A US Equity
2020-08-22,6.5828
2020-08-23,6.5828
2020-08-24,6.9588
2020-08-25,7.014
2020-08-26,7.117
2020-08-27,7.2791
2020-08-28,7.3867
2020-08-29,7.3867
2020-08-30,7.3867
2020-08-31,7.3674
2020-09-01,7.3869
2020-09-02,7.6295
2020-09-03,7.3681
2020-09-04,7.3762
2020-09-05,7.3762
2020-09-06,7.3762
2020-09-07,7.3762
2020-09-08,7.3499
2020-09-09,7.4798
2020-09-10,7.3502
2020-09-11,7.3538
2020-09-12,7.3538
2020-09-13,7.3538
2020-09-14,7.4923
2020-09-15,7.431
2020-09-16,7.4789
2020-09-17,7.3446
2020-09-18,7.3756
2020-09-19,7.3756
2020-09-20,7.3756
2020-09-21,6.9911
2020-09-22,7.0614
2020-09-23,6.7508
2020-09-24,6.6914
2020-09-25,6.7931
2020-09-26,6.7931
2020-09-27,6.7931
2020-09-28,7.024
2020-09-29,6.8074
2020-09-30,3.8202
2020-10-01,3.7764
2020-10-02,3.7385
2020-10-03,3.7385
2020-10-04,3.7385
2020-10-05,3.791
2020-10-06,3.6853
2020-10-07,3.8243
2020-10-08,3.9241
2020-10-09,3.9413
2020-10-10,3.9413
2020-10-11,3.9413
2020-10-12,3.9757
2020-10-13,3.7893
2020-10-14,3.7128
2020-10-15,3.7524
2020-10-16,3.7721
2020-10-17,3.7721
2020-10-18,3.7721
2020-10-19,3.626
2020-10-20,3.6801
2020-10-21,3.6812
2020-10-22,3.7466
2020-10-23,3.8052
2020-10-24,3.8052
2020-10-25,3.8052
2020-10-26,3.6022
2020-10-27,3.529
2020-10-28,3.243
2020-10-29,3.2819
2020-10-30,3.2862
2020-10-31,3.2862
2020-11-01,3.2862
2020-11-02,3.4035
2020-11-03,3.5236
2020-11-04,3.4958
2020-11-05,3.5629
2020-11-06,3.6271
2020-11-07,3.6271
2020-11-08,3.6271
2020-11-09,4.0052
2020-11-10,4.3538
2020-11-11,4.3014
2020-11-12,4.1723
2020-11-13,4.3091
2020-11-14,4.3091
2020-11-15,4.3091
2020-11-16,4.5632
2020-11-17,4.5649
2020-11-18,4.4303
2020-11-19,4.408
2020-11-20,4.2926
2020-11-21,4.2926
2020-11-22,4.2926
2020-11-23,4.4008
2020-11-24,4.6055
2020-11-25,4.575
2020-11-26,4.575
2020-11-27,4.4936
2020-11-28,4.4936
2020-11-29,4.4936
2020-11-30,4.3743
2020-12-01,4.4087
2020-12-02,4.4434
2020-12-03,4.4701
2020-12-04,4.4831
2020-12-05,4.4831
2020-12-06,4.4831
2020-12-07,4.3814
2020-12-08,4.3367
2020-12-09,4.2954
2020-12-10,4.2911
2020-12-11,4.2594
2020-12-12,4.2594
2020-12-13,4.2594
2020-12-14,4.1035
2020-12-15,4.1675
2020-12-16,4.1178
2020-12-17,4.2097
2020-12-18,4.1513
2020-12-19,4.1513
2020-12-20,4.1513
2020-12-21,4.1596
2020-12-22,4.082
2020-12-23,4.1579
2020-12-24,4.2658
2020-12-25,4.2658
2020-12-26,4.2658
2020-12-27,4.2658
2020-12-28,4.3468
2020-12-29,4.4068
2020-12-30,4.4125
2020-12-31,3.6713
2021-01-01,3.6713
2021-01-02,3.6713
2021-01-03,3.6713
2021-01-04,3.5448
2021-01-05,3.5034
2021-01-06,3.6163
2021-01-07,3.7197
2021-01-08,3.7677
2021-01-09,3.7677
2021-01-10,3.7677
2021-01-11,3.732
2021-01-12,3.7272
2021-01-13,3.7916
2021-01-14,3.7991
2021-01-15,3.7363
2021-01-16,3.7363
2021-01-17,3.7363
2021-01-18,3.7363
2021-01-19,3.7846
2021-01-20,3.793
2021-01-21,3.7923
2021-01-22,3.7264
2021-01-23,3.7264
2021-01-24,3.7264
2021-01-25,3.7426
2021-01-26,3.6795
2021-01-27,3.5187
2021-01-28,3.6544
2021-01-29,3.5377
2021-01-30,3.5377
2021-01-31,3.5377
2021-02-01,3.5941
2021-02-02,3.706
2021-02-03,3.7217
2021-02-04,3.838
2021-02-05,3.8199
2021-02-06,3.8199
2021-02-07,3.8199
2021-02-08,3.9019
2021-02-09,4.0157
2021-02-10,4.0059
2021-02-11,4.0062
2021-02-12,4.1056
2021-02-13,4.1056
2021-02-14,4.1056
2021-02-15,4.1056
2021-02-16,4.2185
2021-02-17,4.2306
2021-02-18,4.156
2021-02-19,4.0848
2021-02-20,4.0848
2021-02-21,4.0848
2021-02-22,4.2104
2021-02-23,4.2432
2021-02-24,4.3543
2021-02-25,4.1648
2021-02-26,4.0557
2021-02-27,4.0557
2021-02-28,4.0557
2021-03-01,4.2013
2021-03-02,4.2024
2021-03-03,4.2968
2021-03-04,4.0356
2021-03-05,4.3321
2021-03-06,4.3321
2021-03-07,4.3321
2021-03-08,4.5083
2021-03-09,4.5716
2021-03-10,4.7639
2021-03-11,4.6678
2021-03-12,4.6293
2021-03-13,4.6293
2021-03-14,4.6293
2021-03-15,4.4061
2021-03-16,4.296
2021-03-17,4.2942
2021-03-18,4.3264
2021-03-19,4.2843
2021-03-20,4.2843
2021-03-21,4.2843
2021-03-22,4.2452
2021-03-23,4.1669
2021-03-24,4.2027
2021-03-25,4.2356
2021-03-26,4.4721
2021-03-27,4.4721
2021-03-28,4.4721
2021-03-29,4.5568
2021-03-30,4.5298
2021-03-31,1.8019
2021-04-01,1.8503
2021-04-02,1.8503
2021-04-03,1.8503
2021-04-04,1.8503
2021-04-05,1.9181
2021-04-06,1.9284
2021-04-07,1.9291
2021-04-08,1.9286
2021-04-09,1.9717
2021-04-10,1.9717
2021-04-11,1.9717
2021-04-12,2.0027
2021-04-13,1.994
2021-04-14,2.0005
2021-04-15,2.0246
2021-04-16,2.0745
2021-04-17,2.0745
2021-04-18,2.0745
2021-04-19,2.0438
2021-04-20,2.0045
2021-04-21,2.0797
2021-04-22,2.0334
2021-04-23,2.0713
2021-04-24,2.0713
2021-04-25,2.0713
2021-04-26,2.0542
2021-04-27,2.0996
2021-04-28,2.0908
2021-04-29,2.1685
2021-04-30,2.1174
2021-05-01,2.1174
2021-05-02,2.1174
2021-05-03,2.171
2021-05-04,2.1881
2021-05-05,2.2283
2021-05-06,2.3437
2021-05-07,2.3649
2021-05-08,2.3649
2021-05-09,2.3649
2021-05-10,2.3893
2021-05-11,2.2814
2021-05-12,2.232
2021-05-13,2.2955
2021-05-14,2.3631
2021-05-15,2.3631
2021-05-16,2.3631
2021-05-17,2.3352
2021-05-18,2.3075
2021-05-19,2.2893
2021-05-20,2.2975
2021-05-21,2.3122
2021-05-22,2.3122
2021-05-23,2.3122
2021-05-24,2.3453
2021-05-25,2.3061
2021-05-26,2.3098
2021-05-27,2.3411
2021-05-28,2.3452
2021-05-29,2.3452
2021-05-30,2.3452
2021-05-31,2.3452
2021-06-01,2.3458
2021-06-02,2.3491
2021-06-03,2.3825
2021-06-04,2.3891
2021-06-05,2.3891
2021-06-06,2.3891
2021-06-07,2.3389
2021-06-08,2.3358
2021-06-09,2.3234
2021-06-10,2.26
2021-06-11,2.2931
2021-06-12,2.2931
2021-06-13,2.2931
2021-06-14,2.2406
2021-06-15,2.2454
2021-06-16,2.2355
2021-06-17,2.1679
2021-06-18,2.0872
2021-06-19,2.0872
2021-06-20,2.0872
2021-06-21,2.1405
2021-06-22,2.1438
2021-06-23,2.0987
2021-06-24,2.1119
2021-06-25,2.1592
2021-06-26,2.1592
2021-06-27,2.1592
2021-06-28,2.1288
2021-06-29,2.1282
2021-06-30,1.977
2021-07-01,2.01
2021-07-02,1.9951
2021-07-03,1.9951
2021-07-04,1.9951
2021-07-05,1.9951
2021-07-06,1.9634
2021-07-07,1.9935
2021-07-08,1.9084
2021-07-09,2.0178
2021-07-10,2.0178
2021-07-11,2.0178
2021-07-12,2.0091
2021-07-13,1.9952
2021-07-14,1.9803
2021-07-15,2.0073
2021-07-16,1.9721
2021-07-17,1.9721
2021-07-18,1.9721
2021-07-19,1.8879
2021-07-20,1.956
2021-07-21,2.0028
2021-07-22,1.9711
2021-07-23,1.9844
2021-07-24,1.9844
2021-07-25,1.9844
2021-07-26,1.9897
2021-07-27,2.022
2021-07-28,1.9805
2021-07-29,2.0045
2021-07-30,1.982
2021-07-31,1.982
2021-08-01,1.982
2021-08-02,1.9795
2021-08-03,2.0384
2021-08-04,1.9917
2021-08-05,2.0118
2021-08-06,2.1057
2021-08-07,2.1057
2021-08-08,2.1057
2021-08-09,2.0808
2021-08-10,2.1099
2021-08-11,2.1487
2021-08-12,2.1313
2021-08-13,2.0929
2021-08-14,2.0929
2021-08-15,2.0929
2021-08-16,2.1183
2021-08-17,2.116
2021-08-18,2.0668
2021-08-19,2.0473
2021-08-20,2.0533
2021-08-21,2.0533
2021-08-22,2.0533
2021-08-23,2.0339
2021-08-24,2.0637
2021-08-25,2.0837
2021-08-26,2.052
2021-08-27,2.0703
2021-08-28,2.0703
2021-08-29,2.0703
2021-08-30,2.0558
2021-08-31,2.0577
2021-09-01,2.0532
2021-09-02,2.0449
2021-09-03,1.9941
2021-09-04,1.9941
2021-09-05,1.9941
2021-09-06,1.9941
2021-09-07,1.9453
2021-09-08,1.9535
2021-09-09,1.9444
2021-09-10,1.924
2021-09-11,1.924
2021-09-12,1.924
2021-09-13,1.9595
2021-09-14,1.9158
2021-09-15,1.938
2021-09-16,1.9285
2021-09-17,1.9088
2021-09-18,1.9088
2021-09-19,1.9088
2021-09-20,1.8822
2021-09-21,1.8577
2021-09-22,1.863
2021-09-23,1.931
2021-09-24,1.9273
2021-09-25,1.9273
2021-09-26,1.9273
2021-09-27,1.9575
2021-09-28,1.9099
2021-09-29,1.9174
2021-09-30,2.2203
2021-10-01,2.2729
2021-10-02,2.2729
2021-10-03,2.2729
2021-10-04,2.2352
2021-10-05,2.3213
2021-10-06,2.366
2021-10-07,2.4183
2021-10-08,2.4455
2021-10-09,2.4455
2021-10-10,2.4455
2021-10-11,2.3806
2021-10-12,2.334
2021-10-13,2.3187
2021-10-14,2.3927
2021-10-15,2.446
2021-10-16,2.446
2021-10-17,2.446
2021-10-18,2.4182
2021-10-19,2.4557
2021-10-20,2.5119
2021-10-21,2.4994
2021-10-22,2.5509
2021-10-23,2.5509
2021-10-24,2.5509
2021-10-25,2.5668
2021-10-26,2.5822
2021-10-27,2.5185
2021-10-28,2.5595
2021-10-29,2.5085
2021-10-30,2.5085
2021-10-31,2.5085
2021-11-01,2.4884
2021-11-02,2.527
2021-11-03,2.5407
2021-11-04,2.5177
2021-11-05,2.525
2021-11-06,2.525
2021-11-07,2.525
2021-11-08,2.4721
2021-11-09,2.4238
2021-11-10,2.4057
2021-11-11,2.39
2021-11-12,2.4189
2021-11-13,2.4189
2021-11-14,2.4189
2021-11-15,2.3908
2021-11-16,2.3666
2021-11-17,2.3375
2021-11-18,2.3067
2021-11-19,2.303
2021-11-20,2.303
2021-11-21,2.303
2021-11-22,2.3988
2021-11-23,2.4677
2021-11-24,2.4439
2021-11-25,2.4439
2021-11-26,2.3641
2021-11-27,2.3641
2021-11-28,2.3641
2021-11-29,2.3384
2021-11-30,2.2281
2021-12-01,2.2015
2021-12-02,2.2768
2021-12-03,2.2468
2021-12-04,2.2468
2021-12-05,2.2468
2021-12-06,2.335
2021-12-07,2.3973
2021-12-08,2.3691
2021-12-09,2.3841
2021-12-10,2.4643
2021-12-11,2.4643
2021-12-12,2.4643
2021-12-13,2.5003
2021-12-14,2.6058
2021-12-15,2.5871
2021-12-16,2.7131
2021-12-17,2.5741
2021-12-18,2.5741
2021-12-19,2.5741
2021-12-20,2.4941
2021-12-21,2.5675
2021-12-22,2.5901
2021-12-23,2.5914
2021-12-24,2.5914
2021-12-25,2.5914
2021-12-26,2.5914
2021-12-27,2.6306
2021-12-28,2.6633
2021-12-29,2.6911
2021-12-30,2.7005
2021-12-31,2.3239
2022-01-01,2.3239
2022-01-02,2.3239
2022-01-03,2.3639
2022-01-04,2.5132
2022-01-05,2.5373
2022-01-06,2.6064
2022-01-07,2.7177
2022-01-08,2.7177
2022-01-09,2.7177
2022-01-10,2.6928
2022-01-11,2.7198
2022-01-12,2.7338
2022-01-13,2.7554
2022-01-14,2.7961
2022-01-15,2.7961
2022-01-16,2.7961
2022-01-17,2.7961
2022-01-18,2.724
2022-01-19,2.6253
2022-01-20,2.5503
2022-01-21,2.4377
2022-01-22,2.4377
2022-01-23,2.4377
2022-01-24,2.4112
2022-01-25,2.4775
2022-01-26,2.5103
2022-01-27,2.4791
2022-01-28,2.5852
2022-01-29,2.5852
2022-01-30,2.5852
2022-01-31,2.5861
2022-02-01,2.6042
2022-02-02,2.713
2022-02-03,2.6259
2022-02-04,2.6276
2022-02-05,2.6276
2022-02-06,2.6276
2022-02-07,2.6532
2022-02-08,2.7475
2022-02-09,2.7682
2022-02-10,2.7191
2022-02-11,2.7071
2022-02-12,2.7071
2022-02-13,2.7071
2022-02-14,2.6145
2022-02-15,2.6447
2022-02-16,2.6409
2022-02-17,2.5967
2022-02-18,2.6195
2022-02-19,2.6195
2022-02-20,2.6195
2022-02-21,2.6195
2022-02-22,2.6077
2022-02-23,2.5286
2022-02-24,2.4909
2022-02-25,2.7081
2022-02-26,2.7081
2022-02-27,2.7081
2022-02-28,2.6628
2022-03-01,2.6093
2022-03-02,2.7404
2022-03-03,2.814
2022-03-04,2.7667
2022-03-05,2.7667
2022-03-06,2.7667
2022-03-07,2.7216
2022-03-08,2.6397
2022-03-09,2.7716
2022-03-10,2.7682
2022-03-11,2.7934
2022-03-12,2.7934
2022-03-13,2.7934
2022-03-14,2.8397
2022-03-15,2.8919
2022-03-16,2.9632
2022-03-17,3.1394
2022-03-18,3.0816
2022-03-19,3.0816
2022-03-20,3.0816
2022-03-21,3.227
2022-03-22,3.2346
2022-03-23,3.193
2022-03-24,3.2778
2022-03-25,3.4035
2022-03-26,3.4035
2022-03-27,3.4035
2022-03-28,3.4138
2022-03-29,3.3256
2022-03-30,3.3772
2022-03-31,3.4653
2022-04-01,3.4463
2022-04-02,3.4463
2022-04-03,3.4463
2022-04-04,3.3171
2022-04-05,3.294
2022-04-06,3.2986
2022-04-07,3.336
2022-04-08,3.468
2022-04-09,3.468
2022-04-10,3.468
2022-04-11,3.447
2022-04-12,3.4006
2022-04-13,3.3328
2022-04-14,3.2908
2022-04-15,3.2908
2022-04-16,3.2908
2022-04-17,3.2908
2022-04-18,3.3362
2022-04-19,3.38
2022-04-20,3.3817
2022-04-21,3.2785
2022-04-22,3.1226
2022-04-23,3.1226
2022-04-24,3.1226
2022-04-25,3.1436
2022-04-26,3.0198
2022-04-27,3.0013
2022-04-28,3.0342
2022-04-29,2.8489
2022-04-30,2.8489
2022-05-01,2.8489
2022-05-02,2.7478
2022-05-03,2.7748
2022-05-04,2.9436
2022-05-05,2.7723
2022-05-06,2.7638
2022-05-07,2.7638
2022-05-08,2.7638
2022-05-09,2.6454
2022-05-10,2.6321
2022-05-11,2.6101
2022-05-12,2.5319
2022-05-13,2.5788
2022-05-14,2.5788
2022-05-15,2.5788
2022-05-16,2.5617
2022-05-17,2.6677
2022-05-18,2.5113
2022-05-19,2.4531
2022-05-20,2.4545
2022-05-21,2.4545
2022-05-22,2.4545
2022-05-23,2.5741
2022-05-24,2.5565
2022-05-25,2.5461
2022-05-26,2.6262
2022-05-27,2.7618
2022-05-28,2.7618
2022-05-29,2.7618
2022-05-30,2.7618
2022-05-31,2.6979
2022-06-01,2.6274
2022-06-02,2.6779
2022-06-03,2.6009
2022-06-04,2.6009
2022-06-05,2.6009
2022-06-06,2.6197
2022-06-07,2.6554
2022-06-08,2.5496
2022-06-09,2.3913
2022-06-10,2.211
2022-06-11,2.211
2022-06-12,2.211
2022-06-13,1.9974
2022-06-14,1.9036
2022-06-15,1.9367
2022-06-16,1.7288
2022-06-17,1.7184
2022-06-18,1.7184
2022-06-19,1.7184
2022-06-20,1.7184
2022-06-21,1.7892
2022-06-22,1.7531
2022-06-23,1.7068
2022-06-24,1.9221
2022-06-25,1.9221
2022-06-26,1.9221
2022-06-27,1.9253
2022-06-28,1.8392
2022-06-29,1.8284
2022-06-30,15.8928
2022-07-01,16.5089
2022-07-02,16.5089
2022-07-03,16.5089
2022-07-04,16.5089
2022-07-05,16.2896
2022-07-06,16.2979
2022-07-07,16.7768
2022-07-08,16.998
2022-07-09,16.998
2022-07-10,16.998
2022-07-11,16.6665
2022-07-12,16.5142
2022-07-13,16.5595
2022-07-14,16.1411
2022-07-15,16.6812
2022-07-16,16.6812
2022-07-17,16.6812
2022-07-18,16.3577
2022-07-19,17.3388
2022-07-20,17.6909
2022-07-21,17.8194
2022-07-22,17.6959
2022-07-23,17.6959
2022-07-24,17.6959
2022-07-25,17.9732
2022-07-26,17.612
2022-07-27,18.2896
2022-07-28,18.7981
2022-07-29,19.6961
2022-07-30,19.6961
2022-07-31,19.6961
2022-08-01,19.0537
2022-08-02,18.5543
2022-08-03,18.937
2022-08-04,18.7253
2022-08-05,18.5596
2022-08-06,18.5596
2022-08-07,18.5596
2022-08-08,18.4712
2022-08-09,18.5387
2022-08-10,18.8277
2022-08-11,19.0294
2022-08-12,19.7103
2022-08-13,19.7103
2022-08-14,19.7103
2022-08-15,19.9036
2022-08-16,20.4375
2022-08-17,20.0971
2022-08-18,20.1024
2022-08-19,19.1629
2022-08-20,19.1629
2022-08-21,19.1629
2022-08-22,17.9744
2022-08-23,18.1284
2022-08-24,18.6784
2022-08-25,19.2623
2022-08-26,18.1706
2022-08-27,18.1706
2022-08-28,18.1706
2022-08-29,17.862
2022-08-30,17.5661
2022-08-31,16.8852
2022-09-01,17.1262
2022-09-02,16.5096
2022-09-03,16.5096
2022-09-04,16.5096
2022-09-05,16.5096
2022-09-06,16.383
2022-09-07,16.9317
2022-09-08,17.2938
2022-09-09,17.5986
2022-09-10,17.5986
2022-09-11,17.5986
2022-09-12,17.9383
2022-09-13,16.5874
2022-09-14,16.6644
2022-09-15,16.4008
2022-09-16,16.1543
2022-09-17,16.1543
2022-09-18,16.1543
2022-09-19,16.7379
2022-09-20,16.5376
2022-09-21,15.5835
2022-09-22,15.3102
2022-09-23,15.2179
2022-09-24,15.2179
2022-09-25,15.2179
2022-09-26,14.7431
2022-09-27,14.9227
2022-09-28,15.7696
2022-09-29,15.445
2022-09-30,15.445
2022-10-01,15.445
2022-10-02,15.445
2022-10-03,15.445
2022-10-04,15.445
2022-10-05,15.445
2022-10-06,15.445
2022-10-07,15.445
2022-10-08,15.445
2022-10-09,15.445
2022-10-10,15.445
2022-10-11,15.445
2022-10-12,15.445
2022-10-13,15.445
2022-10-14,15.445
2022-10-15,15.445
2022-10-16,15.445
2022-10-17,15.445
2022-10-18,15.445
2022-10-19,15.445
2022-10-20,15.445
2022-10-21,15.445
2022-10-22,15.445
2022-10-23,15.445
2022-10-24,15.445
2022-10-25,15.445
2022-10-26,15.445
2022-10-27,15.445
2022-10-28,15.445
2022-10-29,15.445
2022-10-30,15.445
2022-10-31,15.445
2022-11-01,15.445
2022-11-02,15.445
2022-11-03,15.445
2022-11-04,15.445
2022-11-05,15.445
2022-11-06,15.445
2022-11-07,15.445
2022-11-08,15.445
2022-11-09,15.445
2022-11-10,15.445
2022-11-11,15.445
2022-11-12,15.445
2022-11-13,15.445
2022-11-14,15.445
2022-11-15,15.445
2022-11-16,15.445
2022-11-17,15.445
2022-11-18,15.445
2022-11-19,15.445
2022-11-20,15.445
2022-11-21,15.445
2022-11-22,15.445
2022-11-23,15.445
2022-11-24,15.445
2022-11-25,15.445
2022-11-26,15.445
2022-11-27,15.445
2022-11-28,15.445
2022-11-29,15.445
2022-11-30,15.445
2022-12-01,15.445
2022-12-02,15.445
2022-12-03,15.445
2022-12-04,15.445
2022-12-05,15.445
2022-12-06,15.445
2022-12-07,15.445
2022-12-08,15.445
2022-12-09,15.445
2022-12-10,15.445
2022-12-11,15.445
2022-12-12,15.445
2022-12-13,15.445
2022-12-14,15.445
2022-12-15,15.445
2022-12-16,15.445
2022-12-17,15.445
2022-12-18,15.445
2022-12-19,15.445
2022-12-20,15.445
2022-12-21,15.445
2022-12-22,15.445
2022-12-23,15.445
2022-12-24,15.445
2022-12-25,15.445
2022-12-26,15.445
2022-12-27,15.445
2022-12-28,15.445
2022-12-29,15.445
2022-12-30,15.445
2022-12-31,15.445
2023-01-01,15.445
2023-01-02,15.445
2023-01-03,15.445
2023-01-04,15.445
2023-01-05,15.445
2023-01-06,15.445
2023-01-07,15.445
2023-01-08,15.445
2023-01-09,15.445
2023-01-10,15.445
2023-01-11,15.445
2023-01-12,15.445
2023-01-13,15.445
2023-01-14,15.445
2023-01-15,15.445
2023-01-16,15.445
2023-01-17,15.445
2023-01-18,15.445
2023-01-19,15.445
2023-01-20,15.445
2023-01-21,15.445
2023-01-22,15.445
2023-01-23,15.445
2023-01-24,15.445
2023-01-25,15.445
2023-01-26,15.445
2023-01-27,15.445
2023-01-28,15.445
2023-01-29,15.445
2023-01-30,15.445
2023-01-31,15.445
2023-02-01,15.445
2023-02-02,15.445
2023-02-03,15.445
2023-02-04,15.445
2023-02-05,15.445
2023-02-06,15.445
2023-02-07,15.445
2023-02-08,15.445
2023-02-09,15.445
2023-02-10,15.445
2023-02-11,15.445
2023-02-12,15.445
2023-02-13,15.445
2023-02-14,15.445
2023-02-15,15.445
2023-02-16,15.445
2023-02-17,15.445
2023-02-18,15.445
2023-02-19,15.445
2023-02-20,15.445
2023-02-21,15.445
2023-02-22,15.445
2023-02-23,15.445
2023-02-24,15.445
2023-02-25,15.445
2023-02-26,15.445
2023-02-27,15.445
2023-02-28,15.445
2023-03-01,15.445
2023-03-02,15.445
2023-03-03,15.445
2023-03-04,15.445
2023-03-05,15.445
2023-03-06,15.445
2023-03-07,15.445
2023-03-08,15.445
2023-03-09,15.445
2023-03-10,15.445
2023-03-11,15.445
2023-03-12,15.445
2023-03-13,15.445
2023-03-14,15.445
2023-03-15,15.445
2023-03-16,15.445
2023-03-17,15.445
2023-03-18,15.445
2023-03-19,15.445
2023-03-20,15.445
2023-03-21,15.445
2023-03-22,15.445
2023-03-23,15.445
2023-03-24,15.445
2023-03-25,15.445
2023-03-26,15.445
2023-03-27,15.445
2023-03-28,15.445
2023-03-29,15.445
2023-03-30,15.445
2023-03-31,31.5252
