,ROK US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-11-16,25.2884
2020-11-17,25.2982
2020-11-18,25.7075
2020-11-19,26.1619
2020-11-20,25.9161
2020-11-21,25.9161
2020-11-22,25.9161
2020-11-23,26.3225
2020-11-24,26.815
2020-11-25,26.7778
2020-11-26,26.7778
2020-11-27,26.7289
2020-11-28,26.7289
2020-11-29,26.7289
2020-11-30,26.6926
2020-12-01,25.8505
2020-12-02,25.824
2020-12-03,25.682
2020-12-04,25.9484
2020-12-05,25.9484
2020-12-06,25.9484
2020-12-07,25.6713
2020-12-08,26.109
2020-12-09,26.2735
2020-12-10,25.8319
2020-12-11,25.827
2020-12-12,25.827
2020-12-13,25.827
2020-12-14,25.4617
2020-12-15,25.8759
2020-12-16,25.73
2020-12-17,25.873
2020-12-18,25.9474
2020-12-19,25.9474
2020-12-20,25.9474
2020-12-21,26.0855
2020-12-22,25.9171
2020-12-23,25.9537
2020-12-24,26.0125
2020-12-25,26.0125
2020-12-26,26.0125
2020-12-27,26.0125
2020-12-28,25.986
2020-12-29,25.8196
2020-12-30,26.0585
2020-12-31,28.7008
2021-01-01,28.7008
2021-01-02,28.7008
2021-01-03,28.7008
2021-01-04,28.2373
2021-01-05,28.3014
2021-01-06,29.5287
2021-01-07,29.6333
2021-01-08,29.8758
2021-01-09,29.8758
2021-01-10,29.8758
2021-01-11,29.9591
2021-01-12,30.2667
2021-01-13,29.941
2021-01-14,29.9762
2021-01-15,29.2125
2021-01-16,29.2125
2021-01-17,29.2125
2021-01-18,29.2125
2021-01-19,29.7893
2021-01-20,30.1065
2021-01-21,30.5049
2021-01-22,30.3202
2021-01-23,30.3202
2021-01-24,30.3202
2021-01-25,29.7733
2021-01-26,28.0178
2021-01-27,27.6547
2021-01-28,28.7387
2021-01-29,28.4536
2021-01-30,28.4536
2021-01-31,28.4536
2021-02-01,28.3628
2021-02-02,28.8797
2021-02-03,28.1182
2021-02-04,27.6782
2021-02-05,27.8512
2021-02-06,27.8512
2021-02-07,27.8512
2021-02-08,28.318
2021-02-09,28.2389
2021-02-10,28.0499
2021-02-11,28.2752
2021-02-12,28.523
2021-02-13,28.523
2021-02-14,28.523
2021-02-15,28.523
2021-02-16,28.5807
2021-02-17,28.4077
2021-02-18,27.9901
2021-02-19,28.4215
2021-02-20,28.4215
2021-02-21,28.4215
2021-02-22,27.9644
2021-02-23,28.1204
2021-02-24,28.2945
2021-02-25,28.0136
2021-02-26,27.8929
2021-02-27,27.8929
2021-02-28,27.8929
2021-03-01,28.743
2021-03-02,28.4728
2021-03-03,28.7003
2021-03-04,28.1909
2021-03-05,28.9406
2021-03-06,28.9406
2021-03-07,28.9406
2021-03-08,29.4511
2021-03-09,29.6487
2021-03-10,30.0695
2021-03-11,30.1325
2021-03-12,30.2382
2021-03-13,30.2382
2021-03-14,30.2382
2021-03-15,30.219
2021-03-16,29.5013
2021-03-17,29.8206
2021-03-18,29.7117
2021-03-19,29.497
2021-03-20,29.497
2021-03-21,29.497
2021-03-22,29.8783
2021-03-23,29.5419
2021-03-24,30.0193
2021-03-25,30.1752
2021-03-26,31.1257
2021-03-27,31.1257
2021-03-28,31.1257
2021-03-29,30.7807
2021-03-30,30.4945
2021-03-31,25.727
2021-04-01,25.5452
2021-04-02,25.5452
2021-04-03,25.5452
2021-04-04,25.5452
2021-04-05,25.9288
2021-04-06,25.498
2021-04-07,25.348
2021-04-08,25.3271
2021-04-09,25.6498
2021-04-10,25.6498
2021-04-11,25.6498
2021-04-12,25.6952
2021-04-13,25.4089
2021-04-14,25.1962
2021-04-15,25.6216
2021-04-16,25.7643
2021-04-17,25.7643
2021-04-18,25.7643
2021-04-19,25.8779
2021-04-20,25.5252
2021-04-21,25.9434
2021-04-22,25.6916
2021-04-23,26.0561
2021-04-24,26.0561
2021-04-25,26.0561
2021-04-26,25.907
2021-04-27,26.0161
2021-04-28,25.7843
2021-04-29,25.9224
2021-04-30,25.6036
2021-05-01,25.6036
2021-05-02,25.6036
2021-05-03,25.3229
2021-05-04,25.4528
2021-05-05,25.8098
2021-05-06,25.9887
2021-05-07,26.1868
2021-05-08,26.1868
2021-05-09,26.1868
2021-05-10,26.1986
2021-05-11,25.9715
2021-05-12,25.2656
2021-05-13,25.7353
2021-05-14,25.8943
2021-05-15,25.8943
2021-05-16,25.8943
2021-05-17,25.6653
2021-05-18,25.3428
2021-05-19,25.073
2021-05-20,25.0667
2021-05-21,25.2347
2021-05-22,25.2347
2021-05-23,25.2347
2021-05-24,25.4337
2021-05-25,25.2647
2021-05-26,25.2629
2021-05-27,25.4973
2021-05-28,25.5545
2021-05-29,25.5545
2021-05-30,25.5545
2021-05-31,25.5545
2021-06-01,25.9333
2021-06-02,26.2903
2021-06-03,26.5283
2021-06-04,26.6355
2021-06-05,26.6355
2021-06-06,26.6355
2021-06-07,26.5547
2021-06-08,26.6183
2021-06-09,26.9562
2021-06-10,27.1851
2021-06-11,27.4104
2021-06-12,27.4104
2021-06-13,27.4104
2021-06-14,27.1878
2021-06-15,27.3977
2021-06-16,27.3177
2021-06-17,26.2149
2021-06-18,26.2803
2021-06-19,26.2803
2021-06-20,26.2803
