,AVA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-05-25,21.5227
2020-05-26,21.7465
2020-05-27,21.7764
2020-05-28,21.7614
2020-05-29,21.851
2020-05-30,21.851
2020-05-31,21.851
2020-06-01,21.7764
2020-06-02,21.8897
2020-06-03,22.1046
2020-06-04,22.0837
2020-06-05,21.9942
2020-06-06,21.9942
2020-06-07,21.9942
2020-06-08,21.9673
2020-06-09,21.8271
2020-06-10,21.6779
2020-06-11,20.9617
2020-06-12,21.0482
2020-06-13,21.0482
2020-06-14,21.0482
2020-06-15,21.3675
2020-06-16,21.3466
2020-06-17,21.2452
2020-06-18,21.1855
2020-06-19,20.7051
2020-06-20,20.7051
2020-06-21,20.7051
2020-06-22,20.7618
2020-06-23,20.5738
2020-06-24,20.711
2020-06-25,20.6275
2020-06-26,20.2396
2020-06-27,20.2396
2020-06-28,20.2396
2020-06-29,20.7498
2020-06-30,21.7291
2020-07-01,21.8541
2020-07-02,21.8083
2020-07-03,21.8083
2020-07-04,21.8083
2020-07-05,21.8083
2020-07-06,21.6498
2020-07-07,21.5247
2020-07-08,21.5095
2020-07-09,21.3631
2020-07-10,21.6528
2020-07-11,21.6528
2020-07-12,21.6528
2020-07-13,21.5095
2020-07-14,21.6254
2020-07-15,21.6315
2020-07-16,21.8266
2020-07-17,21.9944
2020-07-18,21.9944
2020-07-19,21.9944
2020-07-20,21.9547
2020-07-21,22.1743
2020-07-22,22.1712
2020-07-23,22.1712
2020-07-24,22.0279
2020-07-25,22.0279
2020-07-26,22.0279
2020-07-27,21.8693
2020-07-28,22.0462
2020-07-29,22.0706
2020-07-30,22.0096
2020-07-31,21.9547
2020-08-01,21.9547
2020-08-02,21.9547
2020-08-03,21.7657
2020-08-04,21.9059
2020-08-05,21.9208
2020-08-06,21.9946
2020-08-07,22.4071
2020-08-08,22.4071
2020-08-09,22.4071
2020-08-10,22.3578
2020-08-11,22.2501
2020-08-12,22.2593
2020-08-13,22.127
2020-08-14,22.0962
2020-08-15,22.0962
2020-08-16,22.0962
2020-08-17,21.93
2020-08-18,21.8315
2020-08-19,21.7053
2020-08-20,21.6315
2020-08-21,21.6038
2020-08-22,21.6038
2020-08-23,21.6038
2020-08-24,21.8008
2020-08-25,22.0377
2020-08-26,21.9146
2020-08-27,21.9423
2020-08-28,22.0347
2020-08-29,22.0347
2020-08-30,22.0347
2020-08-31,21.9762
2020-09-01,21.8715
2020-09-02,22.0223
2020-09-03,22.0531
2020-09-04,22.05
2020-09-05,22.05
2020-09-06,22.05
2020-09-07,22.05
2020-09-08,21.8069
2020-09-09,21.7638
2020-09-10,21.5576
2020-09-11,21.2314
2020-09-12,21.2314
2020-09-13,21.2314
2020-09-14,21.1637
2020-09-15,21.2745
2020-09-16,21.4807
2020-09-17,21.2714
2020-09-18,21.3052
2020-09-19,21.3052
2020-09-20,21.3052
2020-09-21,21.1975
2020-09-22,21.2806
2020-09-23,20.899
2020-09-24,20.9144
2020-09-25,21.0652
2020-09-26,21.0652
2020-09-27,21.0652
2020-09-28,21.1329
2020-09-29,21.0098
2020-09-30,21.0966
2020-10-01,21.1866
2020-10-02,21.2486
2020-10-03,21.2486
2020-10-04,21.2486
2020-10-05,21.1401
2020-10-06,21.2517
2020-10-07,21.351
2020-10-08,21.3789
2020-10-09,21.3944
2020-10-10,21.3944
2020-10-11,21.3944
2020-10-12,21.5899
2020-10-13,21.3045
2020-10-14,21.1649
2020-10-15,21.1742
2020-10-16,21.0625
2020-10-17,21.0625
2020-10-18,21.0625
2020-10-19,20.7926
2020-10-20,20.6685
2020-10-21,20.9725
2020-10-22,21.168
2020-10-23,21.3603
2020-10-24,21.3603
2020-10-25,21.3603
2020-10-26,21.4379
2020-10-27,21.1959
2020-10-28,20.7616
2020-10-29,20.8578
2020-10-30,20.8174
2020-10-31,20.8174
2020-11-01,20.8174
2020-11-02,21.0377
2020-11-03,21.3231
2020-11-04,21.1084
2020-11-05,21.1179
2020-11-06,21.1838
2020-11-07,21.1838
2020-11-08,21.1838
2020-11-09,21.7803
2020-11-10,22.2953
2020-11-11,22.3518
2020-11-12,22.0661
2020-11-13,22.3863
2020-11-14,22.3863
2020-11-15,22.3863
2020-11-16,22.8008
2020-11-17,22.6249
2020-11-18,22.3455
2020-11-19,22.2858
2020-11-20,22.289
2020-11-21,22.289
2020-11-22,22.289
2020-11-23,22.5684
2020-11-24,22.8824
2020-11-25,22.8039
2020-11-26,22.8039
2020-11-27,22.5684
2020-11-28,22.5684
2020-11-29,22.5684
2020-11-30,22.2921
2020-12-01,22.3235
2020-12-02,22.2639
2020-12-03,22.2607
2020-12-04,22.2482
2020-12-05,22.2482
2020-12-06,22.2482
2020-12-07,22.38
2020-12-08,22.3643
2020-12-09,22.6218
2020-12-10,22.7128
2020-12-11,22.7442
2020-12-12,22.7442
2020-12-13,22.7442
2020-12-14,22.7913
2020-12-15,23.0017
2020-12-16,22.9483
2020-12-17,22.9201
2020-12-18,22.7097
2020-12-19,22.7097
2020-12-20,22.7097
2020-12-21,22.537
2020-12-22,22.8636
2020-12-23,22.9703
2020-12-24,23.0457
2020-12-25,23.0457
2020-12-26,23.0457
2020-12-27,23.0457
2020-12-28,23.2026
2020-12-29,22.9891
2020-12-30,22.964
2020-12-31,22.0527
2021-01-01,22.0527
2021-01-02,22.0527
2021-01-03,22.0527
2021-01-04,21.8548
2021-01-05,21.6628
2021-01-06,22.3658
2021-01-07,22.2447
2021-01-08,22.0468
2021-01-09,22.0468
2021-01-10,22.0468
2021-01-11,22.0025
2021-01-12,22.0025
2021-01-13,21.9907
2021-01-14,22.0556
2021-01-15,22.1088
2021-01-16,22.1088
2021-01-17,22.1088
2021-01-18,22.1088
2021-01-19,21.6539
2021-01-20,21.5801
2021-01-21,21.5712
2021-01-22,21.6155
2021-01-23,21.6155
2021-01-24,21.6155
2021-01-25,21.7957
2021-01-26,21.8193
2021-01-27,21.6923
2021-01-28,21.6185
2021-01-29,21.267
2021-01-30,21.267
2021-01-31,21.267
2021-02-01,21.3704
2021-02-02,21.3349
2021-02-03,21.2197
2021-02-04,21.2522
2021-02-05,21.4767
2021-02-06,21.4767
2021-02-07,21.4767
2021-02-08,21.521
2021-02-09,21.6421
2021-02-10,21.7928
2021-02-11,21.8489
2021-02-12,21.6539
2021-02-13,21.6539
2021-02-14,21.6539
2021-02-15,21.6539
2021-02-16,21.5653
2021-02-17,21.6008
2021-02-18,21.3644
2021-02-19,21.5476
2021-02-20,21.5476
2021-02-21,21.5476
2021-02-22,21.4619
2021-02-23,21.6628
2021-02-24,21.9265
2021-02-25,22.2807
2021-02-26,22.1646
2021-02-27,22.1646
2021-02-28,22.1646
2021-03-01,22.0425
2021-03-02,21.9771
2021-03-03,22.2985
2021-03-04,22.361
2021-03-05,22.9712
2021-03-06,22.9712
2021-03-07,22.9712
2021-03-08,22.9415
2021-03-09,22.8045
2021-03-10,23.1945
2021-03-11,23.0337
2021-03-12,23.5903
2021-03-13,23.5903
2021-03-14,23.5903
2021-03-15,24.2273
2021-03-16,24.0815
2021-03-17,23.7541
2021-03-18,23.6112
2021-03-19,23.9862
2021-03-20,23.9862
2021-03-21,23.9862
2021-03-22,23.9684
2021-03-23,23.9594
2021-03-24,24.016
2021-03-25,24.4684
2021-03-26,24.5637
2021-03-27,24.5637
2021-03-28,24.5637
2021-03-29,24.4654
2021-03-30,24.2482
2021-03-31,22.6882
2021-04-01,22.6096
2021-04-02,22.6096
2021-04-03,22.6096
2021-04-04,22.6096
2021-04-05,22.6096
2021-04-06,22.5739
2021-04-07,22.692
2021-04-08,22.6508
2021-04-09,22.6481
2021-04-10,22.6481
2021-04-11,22.6481
2021-04-12,22.6508
2021-04-13,22.6261
2021-04-14,22.6975
2021-04-15,22.6838
2021-04-16,22.5575
2021-04-17,22.5575
2021-04-18,22.5575
2021-04-19,22.6755
2021-04-20,22.4998
2021-04-21,22.4833
2021-04-22,22.497
2021-04-23,22.3735
2021-04-24,22.3735
2021-04-25,22.3735
2021-04-26,22.2609
2021-04-27,22.1675
2021-04-28,22.1675
2021-04-29,22.2169
2021-04-30,22.2224
2021-05-01,22.2224
2021-05-02,22.2224
2021-05-03,22.2224
2021-05-04,22.2334
2021-05-05,22.371
2021-05-06,22.5358
2021-05-07,22.4836
2021-05-08,22.4836
2021-05-09,22.4836
2021-05-10,22.588
2021-05-11,22.3875
2021-05-12,22.1321
2021-05-13,22.4204
2021-05-14,22.4452
2021-05-15,22.4452
2021-05-16,22.4452
2021-05-17,22.393
2021-05-18,22.4314
2021-05-19,22.2721
2021-05-20,22.1129
2021-05-21,22.209
2021-05-22,22.209
2021-05-23,22.209
2021-05-24,22.2529
2021-05-25,22.0552
2021-05-26,22.0113
2021-05-27,21.9124
2021-05-28,22.0332
2021-05-29,22.0332
2021-05-30,22.0332
2021-05-31,22.0332
2021-06-01,21.9948
2021-06-02,21.9783
2021-06-03,21.9426
2021-06-04,21.8712
2021-06-05,21.8712
2021-06-06,21.8712
2021-06-07,21.8602
2021-06-08,21.8877
2021-06-09,21.9014
2021-06-10,22.0003
2021-06-11,21.9289
2021-06-12,21.9289
2021-06-13,21.9289
2021-06-14,21.9261
2021-06-15,22.0634
2021-06-16,21.9893
2021-06-17,21.8822
2021-06-18,21.484
2021-06-19,21.484
2021-06-20,21.484
2021-06-21,21.7778
2021-06-22,21.7778
2021-06-23,21.4812
2021-06-24,21.4867
2021-06-25,21.5499
2021-06-26,21.5499
2021-06-27,21.5499
2021-06-28,21.5252
2021-06-29,21.3604
2021-06-30,21.9199
2021-07-01,22.0033
2021-07-02,21.8893
2021-07-03,21.8893
2021-07-04,21.8893
2021-07-05,21.8893
2021-07-06,21.8976
