,NUE US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-09-11,16.019
2020-09-12,16.019
2020-09-13,16.019
2020-09-14,16.2516
2020-09-15,16.269
2020-09-16,16.4929
2020-09-17,16.9029
2020-09-18,16.964
2020-09-19,16.964
2020-09-20,16.964
2020-09-21,15.9812
2020-09-22,15.9463
2020-09-23,15.6526
2020-09-24,15.6788
2020-09-25,15.8212
2020-09-26,15.8212
2020-09-27,15.8212
2020-09-28,16.1178
2020-09-29,15.673
2020-09-30,15.7078
2020-10-01,15.7631
2020-10-02,17.34
2020-10-03,17.34
2020-10-04,17.34
2020-10-05,17.732
2020-10-06,17.6214
2020-10-07,18.165
2020-10-08,18.4147
2020-10-09,18.2314
2020-10-10,18.2314
2020-10-11,18.2314
2020-10-12,18.3642
2020-10-13,18.1714
2020-10-14,18.3958
2020-10-15,18.3578
2020-10-16,18.38
2020-10-17,18.38
2020-10-18,18.38
2020-10-19,18.2662
2020-10-20,18.1208
2020-10-21,18.0987
2020-10-22,18.5601
2020-10-23,18.6518
2020-10-24,18.6518
2020-10-25,18.6518
2020-10-26,18.0481
2020-10-27,18.0291
2020-10-28,17.5107
2020-10-29,17.9406
2020-10-30,17.8837
2020-10-31,17.8837
2020-11-01,17.8837
2020-11-02,18.2346
2020-11-03,18.6076
2020-11-04,17.6277
2020-11-05,18.2124
2020-11-06,18.0923
2020-11-07,18.0923
2020-11-08,18.0923
2020-11-09,18.832
2020-11-10,19.1544
2020-11-11,18.8478
2020-11-12,18.4702
2020-11-13,19.1183
2020-11-14,19.1183
2020-11-15,19.1183
2020-11-16,19.9529
2020-11-17,19.8138
2020-11-18,19.5166
2020-11-19,19.4882
2020-11-20,19.3996
2020-11-21,19.3996
2020-11-22,19.3996
2020-11-23,19.7537
2020-11-24,20.623
2020-11-25,20.1046
2020-11-26,20.1046
2020-11-27,20.1963
2020-11-28,20.1963
2020-11-29,20.1963
2020-11-30,19.7632
2020-12-01,20.152
2020-12-02,20.2058
2020-12-03,20.1109
2020-12-04,20.623
2020-12-05,20.623
2020-12-06,20.623
2020-12-07,20.4713
2020-12-08,20.661
2020-12-09,20.6262
2020-12-10,20.8412
2020-12-11,20.6926
2020-12-12,20.6926
2020-12-13,20.6926
2020-12-14,20.3828
2020-12-15,20.6705
2020-12-16,20.6294
2020-12-17,20.3164
2020-12-18,19.8359
2020-12-19,19.8359
2020-12-20,19.8359
2020-12-21,19.9023
2020-12-22,19.5704
2020-12-23,19.406
2020-12-24,19.3649
2020-12-25,19.3649
2020-12-26,19.3649
2020-12-27,19.3649
2020-12-28,19.2606
2020-12-29,19.2511
2020-12-30,19.5229
2020-12-31,18.9956
2021-01-01,18.9956
2021-01-02,18.9956
2021-01-03,18.9956
2021-01-04,18.7902
2021-01-05,19.2615
2021-01-06,20.1529
2021-01-07,19.9021
2021-01-08,19.8507
2021-01-09,19.8507
2021-01-10,19.8507
2021-01-11,20.0864
2021-01-12,20.4792
2021-01-13,20.0592
2021-01-14,20.0501
2021-01-15,19.6845
2021-01-16,19.6845
2021-01-17,19.6845
2021-01-18,19.6845
2021-01-19,19.8084
2021-01-20,19.7722
2021-01-21,19.3673
2021-01-22,19.4761
2021-01-23,19.4761
2021-01-24,19.4761
2021-01-25,19.3975
2021-01-26,18.8778
2021-01-27,18.4336
2021-01-28,18.1315
2021-01-29,17.6481
2021-01-30,17.6481
2021-01-31,17.6481
2021-02-01,17.7357
2021-02-02,18.1738
2021-02-03,18.5334
2021-02-04,18.6421
2021-02-05,18.9322
2021-02-06,18.9322
2021-02-07,18.9322
2021-02-08,19.1497
2021-02-09,19.4459
2021-02-10,19.5305
2021-02-11,19.4972
2021-02-12,19.9474
2021-02-13,19.9474
2021-02-14,19.9474
2021-02-15,19.9474
2021-02-16,20.2496
2021-02-17,20.1468
2021-02-18,19.9958
2021-02-19,20.4611
2021-02-20,20.4611
2021-02-21,20.4611
2021-02-22,21.014
2021-02-23,21.3131
2021-02-24,21.9688
2021-02-25,21.5095
2021-02-26,20.9989
2021-02-27,20.9989
2021-02-28,20.9989
2021-03-01,21.2735
2021-03-02,21.36
2021-03-03,21.5061
2021-03-04,20.9394
2021-03-05,21.6911
