,CUROQ US Equity
2020-04-30,5.6426
2020-05-01,5.3626
2020-05-02,5.3626
2020-05-03,5.3626
2020-05-04,5.2486
2020-05-05,5.2563
2020-05-06,5.0943
2020-05-07,5.0733
2020-05-08,5.2086
2020-05-09,5.2086
2020-05-10,5.2086
2020-05-11,5.1305
2020-05-12,5.0619
2020-05-13,4.9838
2020-05-14,4.9895
2020-05-15,5.0257
2020-05-16,5.0257
2020-05-17,5.0257
2020-05-18,5.0981
2020-05-19,5.0314
2020-05-20,5.1629
2020-05-21,5.1724
2020-05-22,5.1286
2020-05-23,5.1286
2020-05-24,5.1286
2020-05-25,5.1286
2020-05-26,5.2105
2020-05-27,5.2829
2020-05-28,5.2048
2020-05-29,5.1419
2020-05-30,5.1419
2020-05-31,5.1419
2020-06-01,5.2772
2020-06-02,5.3687
2020-06-03,5.4411
2020-06-04,5.4868
2020-06-05,5.5649
2020-06-06,5.5649
2020-06-07,5.5649
2020-06-08,5.7212
2020-06-09,5.6373
2020-06-10,5.5173
2020-06-11,5.3877
2020-06-12,5.5287
2020-06-13,5.5287
2020-06-14,5.5287
2020-06-15,5.5649
2020-06-16,5.544
2020-06-17,5.4697
2020-06-18,5.4468
2020-06-19,5.4373
2020-06-20,5.4373
2020-06-21,5.4373
2020-06-22,5.4582
2020-06-23,5.4506
2020-06-24,5.422
2020-06-25,5.4144
2020-06-26,5.3172
2020-06-27,5.3172
2020-06-28,5.3172
2020-06-29,5.422
2020-06-30,4.8801
2020-07-01,4.8454
2020-07-02,4.8859
2020-07-03,4.8859
2020-07-04,4.8859
2020-07-05,4.8859
2020-07-06,4.9533
2020-07-07,4.8781
2020-07-08,4.8974
2020-07-09,4.7953
2020-07-10,4.8165
2020-07-11,4.8165
2020-07-12,4.8165
2020-07-13,4.7856
2020-07-14,4.7471
2020-07-15,4.8357
2020-07-16,4.8184
2020-07-17,4.7722
2020-07-18,4.7722
2020-07-19,4.7722
2020-07-20,4.7163
2020-07-21,4.7317
2020-07-22,4.7741
2020-07-23,4.7587
2020-07-24,4.724
2020-07-25,4.724
2020-07-26,4.724
2020-07-27,4.6739
2020-07-28,4.6951
2020-07-29,4.7201
2020-07-30,4.722
2020-07-31,4.6527
2020-08-01,4.6527
2020-08-02,4.6527
2020-08-03,4.7317
2020-08-04,4.7991
2020-08-05,4.7756
2020-08-06,4.7717
2020-08-07,4.7968
2020-08-08,4.7968
2020-08-09,4.7968
2020-08-10,4.8065
2020-08-11,4.8606
2020-08-12,4.8509
2020-08-13,4.8451
2020-08-14,4.876
2020-08-15,4.876
2020-08-16,4.876
2020-08-17,4.8567
2020-08-18,4.8046
2020-08-19,4.7775
2020-08-20,4.7427
2020-08-21,4.7717
2020-08-22,4.7717
2020-08-23,4.7717
2020-08-24,4.8857
2020-08-25,4.8548
2020-08-26,4.8181
2020-08-27,4.849
2020-08-28,4.878
2020-08-29,4.878
2020-08-30,4.878
2020-08-31,4.793
2020-09-01,4.8374
2020-09-02,4.8895
2020-09-03,4.8683
2020-09-04,4.849
2020-09-05,4.849
2020-09-06,4.849
2020-09-07,4.849
2020-09-08,4.8007
2020-09-09,4.7389
2020-09-10,4.7099
2020-09-11,4.6848
2020-09-12,4.6848
2020-09-13,4.6848
2020-09-14,4.7698
2020-09-15,4.7331
2020-09-16,4.7737
2020-09-17,4.764
2020-09-18,4.7312
2020-09-19,4.7312
2020-09-20,4.7312
2020-09-21,4.6288
2020-09-22,4.6249
2020-09-23,4.5805
2020-09-24,4.5959
2020-09-25,4.6346
2020-09-26,4.6346
2020-09-27,4.6346
2020-09-28,4.6848
2020-09-29,4.6597
2020-09-30,5.7672
2020-10-01,5.8238
2020-10-02,5.8487
2020-10-03,5.8487
2020-10-04,5.8487
2020-10-05,5.9302
2020-10-06,5.8713
2020-10-07,5.9234
2020-10-08,6.0615
2020-10-09,6.0751
2020-10-10,6.0751
2020-10-11,6.0751
2020-10-12,6.0773
2020-10-13,6.0185
2020-10-14,5.9958
2020-10-15,6.0321
2020-10-16,6.0049
2020-10-17,6.0049
2020-10-18,6.0049
2020-10-19,6.0751
2020-10-20,6.0524
2020-10-21,5.9528
2020-10-22,5.9823
2020-10-23,6.0728
2020-10-24,6.0728
2020-10-25,6.0728
2020-10-26,5.9687
2020-10-27,5.98
2020-10-28,5.9551
2020-10-29,5.9596
2020-10-30,5.8668
2020-10-31,5.8668
2020-11-01,5.8668
2020-11-02,5.9506
2020-11-03,6.0004
2020-11-04,5.9981
2020-11-05,6.0615
2020-11-06,5.989
2020-11-07,5.989
2020-11-08,5.989
2020-11-09,6.0705
2020-11-10,6.1339
2020-11-11,6.0615
2020-11-12,6.0004
2020-11-13,6.0977
2020-11-14,6.0977
2020-11-15,6.0977
2020-11-16,6.2132
2020-11-17,6.2064
2020-11-18,6.2222
2020-11-19,6.2313
2020-11-20,6.1679
2020-11-21,6.1679
2020-11-22,6.1679
2020-11-23,6.2539
2020-11-24,6.3422
2020-11-25,6.2969
2020-11-26,6.2969
2020-11-27,6.2539
2020-11-28,6.2539
2020-11-29,6.2539
2020-11-30,6.1271
2020-12-01,6.0864
2020-12-02,6.1113
2020-12-03,6.1022
2020-12-04,6.1249
2020-12-05,6.1249
2020-12-06,6.1249
2020-12-07,6.0819
2020-12-08,6.0887
2020-12-09,6.066
2020-12-10,6.066
2020-12-11,6.0139
2020-12-12,6.0139
2020-12-13,6.0139
2020-12-14,5.9415
2020-12-15,6.023
2020-12-16,6.0479
2020-12-17,6.1611
2020-12-18,7.9269
2020-12-19,7.9269
2020-12-20,7.9269
2020-12-21,7.524
2020-12-22,7.3836
2020-12-23,7.2976
2020-12-24,7.456
2020-12-25,7.456
2020-12-26,7.456
2020-12-27,7.456
2020-12-28,7.4447
2020-12-29,7.3723
2020-12-30,7.3655
2020-12-31,8.3046
2021-01-01,8.3046
2021-01-02,8.3046
2021-01-03,8.3046
2021-01-04,8.013
2021-01-05,8.0356
2021-01-06,7.9929
2021-01-07,8.003
2021-01-08,8.0532
2021-01-09,8.0532
2021-01-10,8.0532
2021-01-11,8.0457
2021-01-12,8.1412
2021-01-13,8.4529
2021-01-14,8.551
2021-01-15,8.6817
2021-01-16,8.6817
2021-01-17,8.6817
2021-01-18,8.6817
2021-01-19,8.458
2021-01-20,8.468
2021-01-21,8.3876
2021-01-22,8.4504
2021-01-23,8.4504
2021-01-24,8.4504
2021-01-25,8.3524
2021-01-26,8.4253
2021-01-27,8.3398
2021-01-28,8.4303
2021-01-29,8.3549
2021-01-30,8.3549
2021-01-31,8.3549
2021-02-01,9.104
2021-02-02,9.011
2021-02-03,8.8903
2021-02-04,8.8652
2021-02-05,8.9029
2021-02-06,8.9029
2021-02-07,8.9029
2021-02-08,8.913
2021-02-09,8.8677
2021-02-10,8.649
2021-02-11,8.5711
2021-02-12,8.6264
2021-02-13,8.6264
2021-02-14,8.6264
2021-02-15,8.6264
2021-02-16,8.6993
2021-02-17,8.6113
2021-02-18,8.463
2021-02-19,8.5761
2021-02-20,8.5761
2021-02-21,8.5761
2021-02-22,8.5158
2021-02-23,8.3976
2021-02-24,8.5208
2021-02-25,8.4479
2021-02-26,8.3398
2021-02-27,8.3398
2021-02-28,8.3398
2021-03-01,8.5133
2021-03-02,8.4278
2021-03-03,8.3901
2021-03-04,8.3122
2021-03-05,8.5328
2021-03-06,8.5328
2021-03-07,8.5328
2021-03-08,8.6528
2021-03-09,8.6886
2021-03-10,8.6554
2021-03-11,8.7805
2021-03-12,8.6911
2021-03-13,8.6911
2021-03-14,8.6911
2021-03-15,8.6145
2021-03-16,8.492
2021-03-17,8.4971
2021-03-18,8.3975
2021-03-19,8.3209
2021-03-20,8.3209
2021-03-21,8.3209
2021-03-22,8.3668
2021-03-23,8.3387
2021-03-24,8.2468
2021-03-25,8.3847
2021-03-26,8.4613
2021-03-27,8.4613
2021-03-28,8.4613
2021-03-29,8.4869
2021-03-30,8.5022
2021-03-31,10.3631
2021-04-01,10.3787
2021-04-02,10.3787
2021-04-03,10.3787
2021-04-04,10.3787
2021-04-05,10.423
2021-04-06,10.4152
2021-04-07,10.3422
2021-04-08,10.2483
2021-04-09,10.2353
2021-04-10,10.2353
2021-04-11,10.2353
2021-04-12,10.1623
2021-04-13,10.1024
2021-04-14,10.1623
2021-04-15,10.0893
2021-04-16,10.0919
2021-04-17,10.0919
2021-04-18,10.0919
2021-04-19,10.0215
2021-04-20,9.8964
2021-04-21,9.9824
2021-04-22,9.9538
2021-04-23,10.0502
2021-04-24,10.0502
2021-04-25,10.0502
2021-04-26,10.131
2021-04-27,10.2327
2021-04-28,10.3292
2021-04-29,10.2668
2021-04-30,10.3008
2021-05-01,10.3008
2021-05-02,10.3008
2021-05-03,10.4497
2021-05-04,10.4759
2021-05-05,10.455
2021-05-06,10.5046
2021-05-07,10.6857
2021-05-08,10.6857
2021-05-09,10.6857
2021-05-10,10.6596
2021-05-11,10.4453
2021-05-12,10.2781
2021-05-13,10.2728
2021-05-14,10.508
2021-05-15,10.508
2021-05-16,10.508
2021-05-17,10.4845
2021-05-18,10.5133
2021-05-19,10.5263
2021-05-20,10.6021
2021-05-21,10.6544
2021-05-22,10.6544
2021-05-23,10.6544
2021-05-24,10.6936
2021-05-25,10.6805
2021-05-26,10.8216
2021-05-27,10.8347
2021-05-28,10.8739
2021-05-29,10.8739
2021-05-30,10.8739
2021-05-31,10.8739
2021-06-01,10.9915
2021-06-02,11.1744
2021-06-03,11.2502
2021-06-04,11.1875
2021-06-05,11.1875
2021-06-06,11.1875
2021-06-07,11.2659
2021-06-08,11.3103
2021-06-09,11.2711
2021-06-10,11.1352
2021-06-11,11.1744
2021-06-12,11.1744
2021-06-13,11.1744
2021-06-14,11.1195
2021-06-15,11.1849
2021-06-16,11.1431
2021-06-17,11.0542
2021-06-18,10.8059
2021-06-19,10.8059
2021-06-20,10.8059
2021-06-21,11.0202
2021-06-22,10.9183
2021-06-23,10.9471
2021-06-24,10.9967
2021-06-25,10.9706
2021-06-26,10.9706
2021-06-27,10.9706
2021-06-28,10.8059
2021-06-29,10.7876
2021-06-30,5.7169
2021-07-01,5.7272
2021-07-02,5.711
2021-07-03,5.711
2021-07-04,5.711
2021-07-05,5.711
2021-07-06,5.6727
2021-07-07,5.6933
2021-07-08,5.6123
2021-07-09,5.6742
2021-07-10,5.6742
2021-07-11,5.6742
2021-07-12,5.7081
2021-07-13,5.5917
2021-07-14,5.5284
2021-07-15,5.6418
2021-07-16,5.5593
2021-07-17,5.5593
2021-07-18,5.5593
2021-07-19,5.4547
2021-07-20,5.5534
2021-07-21,5.6168
2021-07-22,5.6168
2021-07-23,5.6109
2021-07-24,5.6109
2021-07-25,5.6109
2021-07-26,5.6006
2021-07-27,5.6433
2021-07-28,5.7194
2021-07-29,5.6593
2021-07-30,5.5244
2021-07-31,5.5244
2021-08-01,5.5244
2021-08-02,5.6344
2021-08-03,5.6871
2021-08-04,5.649
2021-08-05,5.6944
2021-08-06,5.7208
2021-08-07,5.7208
2021-08-08,5.7208
2021-08-09,5.6798
2021-08-10,5.5728
2021-08-11,5.6549
2021-08-12,5.6256
2021-08-13,5.6285
2021-08-14,5.6285
2021-08-15,5.6285
2021-08-16,5.6153
2021-08-17,5.5845
2021-08-18,5.5611
2021-08-19,5.4966
2021-08-20,5.5376
2021-08-21,5.5376
2021-08-22,5.5376
2021-08-23,5.5743
2021-08-24,5.6006
2021-08-25,5.6065
2021-08-26,5.523
2021-08-27,5.6006
2021-08-28,5.6006
2021-08-29,5.6006
2021-08-30,5.6153
2021-08-31,5.6124
2021-09-01,5.6226
2021-09-02,5.649
2021-09-03,5.6637
2021-09-04,5.6637
2021-09-05,5.6637
2021-09-06,5.6637
2021-09-07,5.6373
2021-09-08,5.6168
2021-09-09,5.6725
2021-09-10,5.6417
2021-09-11,5.6417
2021-09-12,5.6417
2021-09-13,5.7076
2021-09-14,5.6256
2021-09-15,5.6402
2021-09-16,5.7047
2021-09-17,5.6974
2021-09-18,5.6974
2021-09-19,5.6974
2021-09-20,5.4819
2021-09-21,5.4629
2021-09-22,5.5156
2021-09-23,5.5948
2021-09-24,5.6314
2021-09-25,5.6314
2021-09-26,5.6314
2021-09-27,5.7282
2021-09-28,5.7853
2021-09-29,5.7868
2021-09-30,8.1878
2021-10-01,8.2865
2021-10-02,8.2865
2021-10-03,8.2865
2021-10-04,8.3368
2021-10-05,8.3968
2021-10-06,8.3581
2021-10-07,8.3697
2021-10-08,8.4143
2021-10-09,8.4143
2021-10-10,8.4143
2021-10-11,8.4975
2021-10-12,8.4723
2021-10-13,8.3214
2021-10-14,8.4162
2021-10-15,8.4201
2021-10-16,8.4201
2021-10-17,8.4201
2021-10-18,8.4375
2021-10-19,8.422
2021-10-20,8.4723
2021-10-21,8.3794
2021-10-22,8.4297
2021-10-23,8.4297
2021-10-24,8.4297
2021-10-25,8.5072
2021-10-26,8.3214
2021-10-27,8.1762
2021-10-28,8.1472
2021-10-29,8.1588
2021-10-30,8.1588
2021-10-31,8.1588
2021-11-01,8.2901
2021-11-02,8.0747
2021-11-03,7.984
2021-11-04,7.9708
2021-11-05,8.1125
2021-11-06,8.1125
2021-11-07,8.1125
2021-11-08,8.0898
2021-11-09,8.1219
2021-11-10,8.0672
2021-11-11,8.1219
2021-11-12,8.2051
2021-11-13,8.2051
2021-11-14,8.2051
2021-11-15,8.1579
2021-11-16,8.1144
2021-11-17,8.4356
2021-11-18,8.5282
2021-11-19,8.5225
2021-11-20,8.5225
2021-11-21,8.5225
2021-11-22,8.3978
2021-11-23,8.3487
2021-11-24,8.3279
2021-11-25,8.3279
2021-11-26,8.1597
2021-11-27,8.1597
2021-11-28,8.1597
2021-11-29,8.1824
2021-11-30,7.9689
2021-12-01,7.916
2021-12-02,7.933
2021-12-03,7.8404
2021-12-04,7.8404
2021-12-05,7.8404
2021-12-06,7.8839
2021-12-07,7.9084
2021-12-08,7.9916
2021-12-09,7.9405
2021-12-10,7.9084
2021-12-11,7.9084
2021-12-12,7.9084
2021-12-13,7.7648
2021-12-14,7.7497
2021-12-15,7.8385
2021-12-16,7.8234
2021-12-17,7.8631
2021-12-18,7.8631
2021-12-19,7.8631
2021-12-20,7.8139
2021-12-21,7.9198
2021-12-22,7.9481
2021-12-23,7.9651
2021-12-24,7.9651
2021-12-25,7.9651
2021-12-26,7.9651
2021-12-27,8.018
2021-12-28,8.0237
2021-12-29,7.9342
2021-12-30,7.8972
2021-12-31,11.5405
2022-01-01,11.5405
2022-01-02,11.5405
2022-01-03,11.5944
2022-01-04,11.6106
2022-01-05,11.5836
2022-01-06,11.6195
2022-01-07,11.6124
2022-01-08,11.6124
2022-01-09,11.6124
2022-01-10,11.6429
2022-01-11,11.6483
2022-01-12,11.6178
2022-01-13,11.6933
2022-01-14,11.6411
2022-01-15,11.6411
2022-01-16,11.6411
2022-01-17,11.6411
2022-01-18,11.5333
2022-01-19,11.4074
2022-01-20,11.3229
2022-01-21,11.127
2022-01-22,11.127
2022-01-23,11.127
2022-01-24,11.2474
2022-01-25,11.2349
2022-01-26,11.1917
2022-01-27,11.118
2022-01-28,11.1378
2022-01-29,11.1378
2022-01-30,11.1378
2022-01-31,11.2384
2022-02-01,11.2438
2022-02-02,11.145
2022-02-03,11.1288
2022-02-04,11.1737
2022-02-05,11.1737
2022-02-06,11.1737
2022-02-07,11.2241
2022-02-08,11.2564
2022-02-09,11.3193
2022-02-10,11.1396
2022-02-11,11.0982
2022-02-12,11.0982
2022-02-13,11.0982
2022-02-14,11.1432
2022-02-15,11.2384
2022-02-16,11.2205
2022-02-17,11.1
2022-02-18,11.091
2022-02-19,11.091
2022-02-20,11.091
2022-02-21,11.091
2022-02-22,11.0731
2022-02-23,11.0245
2022-02-24,11.0659
2022-02-25,11.1198
2022-02-26,11.1198
2022-02-27,11.1198
2022-02-28,11.0659
2022-03-01,10.8484
2022-03-02,10.8987
2022-03-03,10.8663
2022-03-04,10.8232
2022-03-05,10.8232
2022-03-06,10.8232
2022-03-07,10.7
2022-03-08,10.6913
2022-03-09,10.7435
2022-03-10,10.7139
2022-03-11,10.6844
2022-03-12,10.6844
2022-03-13,10.6844
2022-03-14,10.6948
2022-03-15,10.6722
2022-03-16,10.7313
2022-03-17,10.7626
2022-03-18,10.8374
2022-03-19,10.8374
2022-03-20,10.8374
2022-03-21,10.8565
2022-03-22,10.8739
2022-03-23,10.7991
2022-03-24,10.8513
2022-03-25,10.8913
2022-03-26,10.8913
2022-03-27,10.8913
2022-03-28,10.9104
2022-03-29,10.9504
2022-03-30,10.9087
2022-03-31,12.6031
2022-04-01,12.6031
2022-04-02,12.6031
2022-04-03,12.6031
2022-04-04,12.6438
2022-04-05,12.5846
2022-04-06,12.5901
2022-04-07,12.5476
2022-04-08,12.5347
2022-04-09,12.5347
2022-04-10,12.5347
2022-04-11,12.4977
2022-04-12,12.4533
2022-04-13,12.457
2022-04-14,12.457
2022-04-15,12.457
2022-04-16,12.457
2022-04-17,12.457
2022-04-18,12.4422
2022-04-19,12.5421
2022-04-20,12.5254
2022-04-21,12.4829
2022-04-22,12.4089
2022-04-23,12.4089
2022-04-24,12.4089
2022-04-25,12.383
2022-04-26,12.2406
2022-04-27,12.1962
2022-04-28,12.3164
2022-04-29,12.3665
2022-04-30,12.3665
2022-05-01,12.3665
2022-05-02,12.3591
2022-05-03,12.0624
2022-05-04,12.0216
2022-05-05,11.8881
2022-05-06,11.8899
2022-05-07,11.8899
2022-05-08,11.8899
2022-05-09,11.7175
2022-05-10,11.6822
2022-05-11,11.6155
2022-05-12,11.7063
2022-05-13,11.71
2022-05-14,11.71
2022-05-15,11.71
2022-05-16,11.6933
2022-05-17,11.7861
2022-05-18,11.6896
2022-05-19,11.812
2022-05-20,11.7175
2022-05-21,11.7175
2022-05-22,11.7175
2022-05-23,11.723
2022-05-24,11.7323
2022-05-25,11.6915
2022-05-26,11.6655
2022-05-27,11.7267
2022-05-28,11.7267
2022-05-29,11.7267
2022-05-30,11.7267
2022-05-31,11.8028
2022-06-01,11.7193
2022-06-02,11.7379
2022-06-03,11.7063
2022-06-04,11.7063
2022-06-05,11.7063
2022-06-06,11.6488
2022-06-07,11.6767
2022-06-08,11.6062
2022-06-09,11.5543
2022-06-10,11.4875
2022-06-11,11.4875
2022-06-12,11.4875
2022-06-13,11.3651
2022-06-14,11.341
2022-06-15,11.289
2022-06-16,11.2149
2022-06-17,11.2742
2022-06-18,11.2742
2022-06-19,11.2742
2022-06-20,11.2742
2022-06-21,11.2965
2022-06-22,11.2575
2022-06-23,11.2575
2022-06-24,11.3725
2022-06-25,11.3725
2022-06-26,11.3725
2022-06-27,11.3243
2022-06-28,11.2946
2022-06-29,11.2538
2022-06-30,39.0401
2022-07-01,39.0901
2022-07-02,39.0901
2022-07-03,39.0901
2022-07-04,39.0901
2022-07-05,39.2214
2022-07-06,39.2151
2022-07-07,39.3526
2022-07-08,39.3339
2022-07-09,39.3339
2022-07-10,39.3339
2022-07-11,39.1214
2022-07-12,39.2651
2022-07-13,39.2026
2022-07-14,39.1526
2022-07-15,39.3526
2022-07-16,39.3526
2022-07-17,39.3526
2022-07-18,39.5839
2022-07-19,39.7214
2022-07-20,39.8526
2022-07-21,39.9964
2022-07-22,40.0214
2022-07-23,40.0214
2022-07-24,40.0214
2022-07-25,39.8714
2022-07-26,39.9214
2022-07-27,40.0776
2022-07-28,40.1464
2022-07-29,40.0589
2022-07-30,40.0589
2022-07-31,40.0589
2022-08-01,39.9776
2022-08-02,40.0151
2022-08-03,40.4089
2022-08-04,40.3652
2022-08-05,40.4589
2022-08-06,40.4589
2022-08-07,40.4589
2022-08-08,40.5714
2022-08-09,40.1484
2022-08-10,40.1546
2022-08-11,40.3177
2022-08-12,40.4054
2022-08-13,40.4054
2022-08-14,40.4054
2022-08-15,40.3992
2022-08-16,40.5559
2022-08-17,40.4054
2022-08-18,40.4807
2022-08-19,40.1985
2022-08-20,40.1985
2022-08-21,40.1985
2022-08-22,39.9791
2022-08-23,39.9979
2022-08-24,40.0104
2022-08-25,40.1108
2022-08-26,40.023
2022-08-27,40.023
2022-08-28,40.023
2022-08-29,39.9164
2022-08-30,39.8474
2022-08-31,39.722
2022-09-01,39.4085
2022-09-02,39.3019
2022-09-03,39.3019
2022-09-04,39.3019
2022-09-05,39.3019
2022-09-06,39.2455
2022-09-07,39.3772
2022-09-08,39.3834
2022-09-09,39.6342
2022-09-10,39.6342
2022-09-11,39.6342
2022-09-12,39.6029
2022-09-13,39.3207
2022-09-14,39.1765
2022-09-15,39.233
2022-09-16,39.1076
2022-09-17,39.1076
2022-09-18,39.1076
2022-09-19,39.2267
2022-09-20,39.0637
2022-09-21,39.0888
2022-09-22,38.9069
2022-09-23,38.7376
2022-09-24,38.7376
2022-09-25,38.7376
2022-09-26,38.4868
2022-09-27,38.4241
2022-09-28,38.4116
2022-09-29,38.1796
2022-09-30,14.0362
2022-10-01,14.0362
2022-10-02,14.0362
2022-10-03,14.1115
2022-10-04,14.2686
2022-10-05,14.217
2022-10-06,14.161
2022-10-07,14.1223
2022-10-08,14.1223
2022-10-09,14.1223
2022-10-10,14.062
2022-10-11,14.0814
2022-10-12,14.0771
2022-10-13,14.0964
2022-10-14,14.0469
2022-10-15,14.0469
2022-10-16,14.0469
2022-10-17,14.0275
2022-10-18,14.0448
2022-10-19,13.9845
2022-10-20,13.9866
2022-10-21,14.0448
2022-10-22,14.0448
2022-10-23,14.0448
2022-10-24,14.1072
2022-10-25,14.1545
2022-10-26,14.1847
2022-10-27,14.1782
2022-10-28,14.2622
2022-10-29,14.2622
2022-10-30,14.2622
2022-10-31,14.2858
2022-11-01,14.3655
2022-11-02,14.2385
2022-11-03,13.961
2022-11-04,13.905
2022-11-05,13.905
2022-11-06,13.905
2022-11-07,13.8727
2022-11-08,13.8813
2022-11-09,13.8404
2022-11-10,13.9481
2022-11-11,13.9847
2022-11-12,13.9847
2022-11-13,13.9847
2022-11-14,13.9588
2022-11-15,13.9588
2022-11-16,13.8942
2022-11-17,13.8641
2022-11-18,13.8404
2022-11-19,13.8404
2022-11-20,13.8404
2022-11-21,13.8382
2022-11-22,13.8598
2022-11-23,13.8576
2022-11-24,13.8576
2022-11-25,13.8555
2022-11-26,13.8555
2022-11-27,13.8555
2022-11-28,13.8619
2022-11-29,13.905
2022-11-30,13.9416
2022-12-01,13.9631
2022-12-02,14.0191
2022-12-03,14.0191
2022-12-04,14.0191
2022-12-05,13.933
2022-12-06,13.9308
2022-12-07,13.9093
2022-12-08,13.905
2022-12-09,13.9028
2022-12-10,13.9028
2022-12-11,13.9028
2022-12-12,13.9696
2022-12-13,13.9373
2022-12-14,13.9459
2022-12-15,13.9373
2022-12-16,13.8942
2022-12-17,13.8942
2022-12-18,13.8942
2022-12-19,13.8792
2022-12-20,13.8813
2022-12-21,13.9028
2022-12-22,13.8921
2022-12-23,13.9136
2022-12-24,13.9136
2022-12-25,13.9136
2022-12-26,13.9136
2022-12-27,13.9265
2022-12-28,13.9158
2022-12-29,13.9502
2022-12-30,13.9502
2022-12-31,13.9502
2023-01-01,13.9502
2023-01-02,13.9502
2023-01-03,13.9502
2023-01-04,13.9502
2023-01-05,13.9502
2023-01-06,13.9502
2023-01-07,13.9502
2023-01-08,13.9502
2023-01-09,13.9502
2023-01-10,13.9502
2023-01-11,13.9502
2023-01-12,13.9502
2023-01-13,13.9502
2023-01-14,13.9502
2023-01-15,13.9502
2023-01-16,13.9502
2023-01-17,13.9502
2023-01-18,13.9502
2023-01-19,13.9502
2023-01-20,13.9502
2023-01-21,13.9502
2023-01-22,13.9502
2023-01-23,13.9502
2023-01-24,13.9502
2023-01-25,13.9502
2023-01-26,13.9502
2023-01-27,13.9502
2023-01-28,13.9502
2023-01-29,13.9502
2023-01-30,13.9502
2023-01-31,13.9502
2023-02-01,13.9502
2023-02-02,13.9502
2023-02-03,13.9502
2023-02-04,13.9502
2023-02-05,13.9502
2023-02-06,13.9502
2023-02-07,13.9502
2023-02-08,13.9502
2023-02-09,13.9502
2023-02-10,13.9502
2023-02-11,13.9502
2023-02-12,13.9502
2023-02-13,13.9502
2023-02-14,13.9502
2023-02-15,13.9502
2023-02-16,13.9502
2023-02-17,13.9502
2023-02-18,13.9502
2023-02-19,13.9502
2023-02-20,13.9502
2023-02-21,13.9502
2023-02-22,13.9502
2023-02-23,13.9502
2023-02-24,13.9502
2023-02-25,13.9502
2023-02-26,13.9502
2023-02-27,13.9502
2023-02-28,13.9502
2023-03-01,13.9502
2023-03-02,13.9502
2023-03-03,13.9502
2023-03-04,13.9502
2023-03-05,13.9502
2023-03-06,13.9502
2023-03-07,13.9502
2023-03-08,13.9502
2023-03-09,13.9502
2023-03-10,13.9502
2023-03-11,13.9502
2023-03-12,13.9502
2023-03-13,13.9502
2023-03-14,13.9502
2023-03-15,13.9502
2023-03-16,13.9502
2023-03-17,13.9502
