,VRTS US Equity
2021-11-07,6.8739
2021-11-08,6.8376
2021-11-09,6.5519
2021-11-10,6.5434
2021-11-11,6.7223
2021-11-12,6.9113
2021-11-13,6.9113
2021-11-14,6.9113
2021-11-15,6.8545
2021-11-16,6.7652
2021-11-17,6.667
2021-11-18,6.6395
2021-11-19,6.5264
2021-11-20,6.5264
2021-11-21,6.5264
2021-11-22,6.4731
2021-11-23,6.5026
2021-11-24,6.5208
2021-11-25,6.5208
2021-11-26,6.2626
2021-11-27,6.2626
2021-11-28,6.2626
2021-11-29,6.2383
2021-11-30,6.1043
2021-12-01,5.8963
2021-12-02,6.2199
2021-12-03,5.9779
2021-12-04,5.9779
2021-12-05,5.9779
2021-12-06,6.013
2021-12-07,6.162
2021-12-08,6.1761
2021-12-09,6.0414
2021-12-10,6.0229
2021-12-11,6.0229
2021-12-12,6.0229
2021-12-13,5.8386
2021-12-14,5.8238
2021-12-15,5.7927
2021-12-16,5.9379
2021-12-17,5.9332
2021-12-18,5.9332
2021-12-19,5.9332
2021-12-20,5.6891
2021-12-21,5.9222
2021-12-22,5.9636
2021-12-23,6.0837
2021-12-24,6.0837
2021-12-25,6.0837
2021-12-26,6.0837
2021-12-27,6.1141
2021-12-28,6.1231
2021-12-29,6.0895
2021-12-30,6.1054
2021-12-31,6.0263
2022-01-01,6.0263
2022-01-02,6.0263
2022-01-03,5.8756
2022-01-04,6.0135
2022-01-05,5.7933
2022-01-06,5.7497
2022-01-07,5.8741
2022-01-08,5.8741
2022-01-09,5.8741
2022-01-10,5.8094
2022-01-11,5.9082
2022-01-12,5.9381
2022-01-13,5.7666
2022-01-14,5.7514
2022-01-15,5.7514
2022-01-16,5.7514
2022-01-17,5.7514
2022-01-18,5.7306
2022-01-19,5.5942
2022-01-20,5.5276
2022-01-21,5.2619
2022-01-22,5.2619
2022-01-23,5.2619
2022-01-24,5.2814
2022-01-25,5.0586
2022-01-26,5.0112
2022-01-27,4.9158
2022-01-28,4.9682
2022-01-29,4.9682
2022-01-30,4.9682
2022-01-31,5.2655
2022-02-01,5.2722
2022-02-02,5.1972
2022-02-03,5.0241
2022-02-04,5.4335
2022-02-05,5.4335
2022-02-06,5.4335
2022-02-07,5.2464
2022-02-08,5.2913
2022-02-09,5.4444
2022-02-10,5.2054
2022-02-11,5.1486
2022-02-12,5.1486
2022-02-13,5.1486
2022-02-14,5.0872
2022-02-15,5.273
2022-02-16,5.3145
2022-02-17,5.0348
2022-02-18,5.0668
2022-02-19,5.0668
2022-02-20,5.0668
2022-02-21,5.0668
2022-02-22,5.0183
2022-02-23,4.7942
2022-02-24,4.8284
2022-02-25,4.9197
2022-02-26,4.9197
2022-02-27,4.9197
2022-02-28,4.7575
2022-03-01,4.5616
2022-03-02,4.7463
2022-03-03,4.6317
2022-03-04,4.3274
2022-03-05,4.3274
2022-03-06,4.3274
2022-03-07,4.0374
2022-03-08,4.0229
2022-03-09,4.2567
2022-03-10,4.1638
2022-03-11,4.1417
2022-03-12,4.1417
2022-03-13,4.1417
2022-03-14,4.1844
2022-03-15,4.2811
2022-03-16,4.5605
2022-03-17,4.6755
2022-03-18,4.7127
2022-03-19,4.7127
2022-03-20,4.7127
2022-03-21,4.7416
2022-03-22,4.8119
2022-03-23,4.7012
2022-03-24,4.7801
2022-03-25,4.8406
2022-03-26,4.8406
2022-03-27,4.8406
2022-03-28,4.7492
2022-03-29,4.901
2022-03-30,4.7981
2022-03-31,5.535
2022-04-01,5.5292
2022-04-02,5.5292
2022-04-03,5.5292
2022-04-04,5.4828
2022-04-05,5.3596
2022-04-06,5.1183
2022-04-07,5.0364
2022-04-08,4.7166
2022-04-09,4.7166
2022-04-10,4.7166
2022-04-11,4.6084
2022-04-12,4.595
2022-04-13,4.7873
2022-04-14,4.699
2022-04-15,4.699
2022-04-16,4.699
2022-04-17,4.699
2022-04-18,4.6025
2022-04-19,4.8443
2022-04-20,4.8474
2022-04-21,4.71
2022-04-22,4.5589
2022-04-23,4.5589
2022-04-24,4.5589
2022-04-25,4.576
2022-04-26,4.3031
2022-04-27,4.2459
2022-04-28,4.2804
2022-04-29,4.1298
2022-04-30,4.1298
2022-05-01,4.1298
2022-05-02,4.1893
2022-05-03,4.1441
2022-05-04,4.2776
2022-05-05,4.1086
2022-05-06,4.0774
2022-05-07,4.0774
2022-05-08,4.0774
2022-05-09,3.9763
2022-05-10,4.0016
2022-05-11,3.87
2022-05-12,3.9633
2022-05-13,4.0347
2022-05-14,4.0347
2022-05-15,4.0347
2022-05-16,3.999
2022-05-17,4.2139
2022-05-18,4.0807
2022-05-19,4.1344
2022-05-20,4.2689
2022-05-21,4.2689
2022-05-22,4.2689
2022-05-23,4.2443
2022-05-24,4.2192
2022-05-25,4.2866
2022-05-26,4.4495
2022-05-27,4.4982
2022-05-28,4.4982
2022-05-29,4.4982
2022-05-30,4.4982
2022-05-31,4.4695
2022-06-01,4.4
2022-06-02,4.523
2022-06-03,4.4684
2022-06-04,4.4684
2022-06-05,4.4684
2022-06-06,4.5739
2022-06-07,4.5136
2022-06-08,4.4369
2022-06-09,4.3643
2022-06-10,4.2348
2022-06-11,4.2348
2022-06-12,4.2348
2022-06-13,4.0157
2022-06-14,4.1106
2022-06-15,4.16
2022-06-16,3.9363
2022-06-17,3.9849
2022-06-18,3.9849
2022-06-19,3.9849
2022-06-20,3.9849
2022-06-21,4.0981
2022-06-22,4.0855
2022-06-23,4.2551
2022-06-24,4.4167
2022-06-25,4.4167
2022-06-26,4.4167
2022-06-27,4.3625
2022-06-28,4.2951
2022-06-29,4.1895
2022-06-30,4.8613
2022-07-01,4.9364
2022-07-02,4.9364
2022-07-03,4.9364
2022-07-04,4.9364
2022-07-05,5.0881
2022-07-06,4.9779
2022-07-07,5.1101
2022-07-08,4.9693
2022-07-09,4.9693
2022-07-10,4.9693
2022-07-11,4.7643
2022-07-12,4.9034
2022-07-13,4.9239
2022-07-14,5.0045
2022-07-15,5.1224
2022-07-16,5.1224
2022-07-17,5.1224
2022-07-18,5.0485
2022-07-19,5.2365
2022-07-20,5.369
2022-07-21,5.4267
2022-07-22,5.3879
2022-07-23,5.3879
2022-07-24,5.3879
2022-07-25,5.4723
2022-07-26,5.4077
2022-07-27,5.5498
2022-07-28,5.7232
2022-07-29,5.8315
2022-07-30,5.8315
2022-07-31,5.8315
2022-08-01,5.7837
2022-08-02,5.7381
2022-08-03,5.8631
2022-08-04,5.8678
2022-08-05,5.7983
2022-08-06,5.7983
2022-08-07,5.7983
2022-08-08,5.867
2022-08-09,5.6266
2022-08-10,5.8227
2022-08-11,5.8709
2022-08-12,5.9972
2022-08-13,5.9972
2022-08-14,5.9972
2022-08-15,6.0734
2022-08-16,6.041
2022-08-17,5.9538
2022-08-18,6.0282
2022-08-19,5.8174
2022-08-20,5.8174
2022-08-21,5.8174
2022-08-22,5.6721
2022-08-23,5.637
2022-08-24,5.6525
2022-08-25,5.7486
2022-08-26,5.4901
2022-08-27,5.4901
2022-08-28,5.4901
2022-08-29,5.4473
2022-08-30,5.3697
2022-08-31,5.2782
2022-09-01,5.2469
2022-09-02,5.1359
2022-09-03,5.1359
2022-09-04,5.1359
2022-09-05,5.1359
2022-09-06,5.1244
2022-09-07,5.2046
2022-09-08,5.3272
2022-09-09,5.4345
2022-09-10,5.4345
2022-09-11,5.4345
2022-09-12,5.538
2022-09-13,5.2346
2022-09-14,5.161
2022-09-15,5.1442
2022-09-16,5.1343
2022-09-17,5.1343
2022-09-18,5.1343
2022-09-19,5.31
2022-09-20,5.1591
2022-09-21,5.0171
2022-09-22,4.8811
2022-09-23,4.7457
2022-09-24,4.7457
2022-09-25,4.7457
2022-09-26,4.6743
2022-09-27,4.5956
2022-09-28,4.6267
2022-09-29,4.5009
2022-09-30,5.3989
2022-10-01,5.3989
2022-10-02,5.3989
2022-10-03,5.5383
2022-10-04,5.7289
2022-10-05,5.6392
2022-10-06,5.5884
2022-10-07,5.2996
2022-10-08,5.2996
2022-10-09,5.2996
2022-10-10,5.2894
2022-10-11,5.1367
2022-10-12,4.9976
2022-10-13,5.2853
2022-10-14,5.0058
2022-10-15,5.0058
2022-10-16,5.0058
2022-10-17,5.179
2022-10-18,5.2662
2022-10-19,5.1213
2022-10-20,5.2079
2022-10-21,5.481
2022-10-22,5.481
2022-10-23,5.481
2022-10-24,5.6201
2022-10-25,5.8097
2022-10-26,5.8243
2022-10-27,5.8274
2022-10-28,5.9334
2022-10-29,5.9334
2022-10-30,5.9334
2022-10-31,5.8069
2022-11-01,5.8591
2022-11-02,5.6883
2022-11-03,5.523
2022-11-04,5.688
2022-11-05,5.688
2022-11-06,5.688
2022-11-07,5.7367
2022-11-08,5.7718
2022-11-09,5.6179
2022-11-10,6.3163
2022-11-11,6.8138
2022-11-12,6.8138
2022-11-13,6.8138
2022-11-14,6.3706
2022-11-15,6.5102
2022-11-16,6.4397
2022-11-17,6.3777
2022-11-18,6.3258
2022-11-19,6.3258
2022-11-20,6.3258
2022-11-21,6.3523
2022-11-22,6.3902
2022-11-23,6.4804
2022-11-24,6.4804
2022-11-25,6.5244
2022-11-26,6.5244
2022-11-27,6.5244
2022-11-28,6.4028
2022-11-29,6.3723
2022-11-30,6.5329
2022-12-01,6.7051
2022-12-02,6.6803
2022-12-03,6.6803
2022-12-04,6.6803
2022-12-05,6.4807
2022-12-06,6.3919
2022-12-07,6.3638
2022-12-08,6.4651
2022-12-09,6.4461
2022-12-10,6.4461
2022-12-11,6.4461
2022-12-12,6.5309
2022-12-13,6.682
2022-12-14,6.5471
2022-12-15,6.3299
2022-12-16,6.3763
2022-12-17,6.3763
2022-12-18,6.3763
2022-12-19,6.3221
2022-12-20,6.3892
2022-12-21,6.5261
2022-12-22,6.3126
2022-12-23,6.3973
2022-12-24,6.3973
2022-12-25,6.3973
2022-12-26,6.3973
2022-12-27,6.4783
2022-12-28,6.2113
2022-12-29,6.4238
2022-12-30,7.6063
2022-12-31,7.6063
2023-01-01,7.6063
2023-01-02,7.6063
2023-01-03,7.724
2023-01-04,8.0767
2023-01-05,7.9
2023-01-06,8.2041
2023-01-07,8.2041
2023-01-08,8.2041
2023-01-09,8.2346
2023-01-10,8.5044
2023-01-11,8.5851
2023-01-12,8.5599
2023-01-13,8.6353
2023-01-14,8.6353
2023-01-15,8.6353
2023-01-16,8.6353
2023-01-17,8.4911
2023-01-18,8.507
2023-01-19,8.507
2023-01-20,8.7768
2023-01-21,8.7768
2023-01-22,8.7768
2023-01-23,8.7958
2023-01-24,8.6565
2023-01-25,8.4197
2023-01-26,8.5881
2023-01-27,8.6168
2023-01-28,8.6168
2023-01-29,8.6168
2023-01-30,8.384
2023-01-31,8.6397
2023-02-01,8.9435
2023-02-02,9.3332
2023-02-03,9.9676
2023-02-04,9.9676
2023-02-05,9.9676
2023-02-06,8.7288
2023-02-07,8.8756
2023-02-08,8.7332
2023-02-09,8.6031
2023-02-10,8.5595
2023-02-11,8.5595
2023-02-12,8.5595
2023-02-13,8.6939
2023-02-14,8.7266
2023-02-15,8.731
2023-02-16,8.6322
2023-02-17,8.7169
2023-02-18,8.7169
2023-02-19,8.7169
2023-02-20,8.7169
2023-02-21,8.3893
2023-02-22,8.4109
2023-02-23,8.4651
2023-02-24,8.3435
2023-02-25,8.3435
2023-02-26,8.3435
2023-02-27,8.2878
2023-02-28,8.3789
2023-03-01,8.2138
2023-03-02,8.096
2023-03-03,8.2804
2023-03-04,8.2804
2023-03-05,8.2804
2023-03-06,8.0234
2023-03-07,7.7769
2023-03-08,7.9459
2023-03-09,7.5948
2023-03-10,7.1522
2023-03-11,7.1522
2023-03-12,7.1522
2023-03-13,6.7433
2023-03-14,6.7157
2023-03-15,6.6562
2023-03-16,6.8812
