,ZUMZ US Equity
2020-06-29,12.0372
2020-06-30,11.9371
2020-07-01,12.0001
2020-07-02,12.0668
2020-07-03,12.0668
2020-07-04,12.0668
2020-07-05,12.0668
2020-07-06,12.152
2020-07-07,11.637
2020-07-08,11.6814
2020-07-09,11.196
2020-07-10,11.3331
2020-07-11,11.3331
2020-07-12,11.3331
2020-07-13,11.1812
2020-07-14,11.259
2020-07-15,11.5332
2020-07-16,11.5406
2020-07-17,11.4035
2020-07-18,11.4035
2020-07-19,11.4035
2020-07-20,11.0663
2020-07-21,11.3665
2020-07-22,11.4443
2020-07-23,11.8482
2020-07-24,11.2961
2020-07-25,11.2961
2020-07-26,11.2961
2020-07-27,11.1664
2020-07-28,11.2034
2020-07-29,11.2405
2020-07-30,10.6328
2020-07-31,6.9303
2020-08-01,6.9303
2020-08-02,6.9303
2020-08-03,6.6188
2020-08-04,7.0379
2020-08-05,7.0833
2020-08-06,6.8199
2020-08-07,7.1286
2020-08-08,7.1286
2020-08-09,7.1286
2020-08-10,7.2758
2020-08-11,7.358
2020-08-12,7.375
2020-08-13,7.3212
2020-08-14,7.392
2020-08-15,7.392
2020-08-16,7.392
2020-08-17,7.6072
2020-08-18,7.1994
2020-08-19,7.004
2020-08-20,6.9162
2020-08-21,7.0351
2020-08-22,7.0351
2020-08-23,7.0351
2020-08-24,7.3013
2020-08-25,7.5052
2020-08-26,7.814
2020-08-27,7.9556
2020-08-28,7.78
2020-08-29,7.78
2020-08-30,7.78
2020-08-31,7.661
2020-09-01,7.8904
2020-09-02,8.2728
2020-09-03,8.1538
2020-09-04,8.117
2020-09-05,8.117
2020-09-06,8.117
2020-09-07,8.117
2020-09-08,8.2586
2020-09-09,8.0094
2020-09-10,7.5262
2020-09-11,8.4472
2020-09-12,8.4472
2020-09-13,8.4472
2020-09-14,9.1953
2020-09-15,8.7674
2020-09-16,9.0395
2020-09-17,9.1216
2020-09-18,8.8921
2020-09-19,8.8921
2020-09-20,8.8921
2020-09-21,8.4699
2020-09-22,8.484
2020-09-23,8.2007
2020-09-24,8.0788
2020-09-25,8.0845
2020-09-26,8.0845
2020-09-27,8.0845
2020-09-28,8.229
2020-09-29,8.2233
2020-09-30,8.2715
2020-10-01,8.2573
2020-10-02,8.3707
2020-10-03,8.3707
2020-10-04,8.3707
2020-10-05,8.5492
2020-10-06,8.467
2020-10-07,8.9119
2020-10-08,9.1783
2020-10-09,9.2548
2020-10-10,9.2548
2020-10-11,9.2548
2020-10-12,9.2463
2020-10-13,9.3087
2020-10-14,9.5127
2020-10-15,9.6459
2020-10-16,9.5609
2020-10-17,9.5609
2020-10-18,9.5609
2020-10-19,9.2095
2020-10-20,9.0423
2020-10-21,8.9034
2020-10-22,9.1585
2020-10-23,9.2265
2020-10-24,9.2265
2020-10-25,9.2265
2020-10-26,9.099
2020-10-27,8.9091
2020-10-28,8.6059
2020-10-29,8.6413
2020-10-30,7.033
2020-10-31,7.033
2020-11-01,7.033
2020-11-02,7.3766
2020-11-03,7.5447
2020-11-04,7.3074
2020-11-05,7.6534
2020-11-06,7.5125
2020-11-07,7.5125
2020-11-08,7.5125
2020-11-09,8.793
2020-11-10,8.7114
2020-11-11,8.3307
2020-11-12,8.0119
2020-11-13,8.1305
2020-11-14,8.1305
2020-11-15,8.1305
2020-11-16,8.3629
2020-11-17,8.4222
2020-11-18,8.4889
2020-11-19,8.6669
2020-11-20,8.7015
2020-11-21,8.7015
2020-11-22,8.7015
2020-11-23,9.0426
2020-11-24,9.2156
2020-11-25,9.2058
2020-11-26,9.2058
2020-11-27,9.359
2020-11-28,9.359
2020-11-29,9.359
2020-11-30,9.2799
2020-12-01,9.3343
2020-12-02,9.5246
2020-12-03,9.6063
2020-12-04,9.1981
2020-12-05,9.1981
2020-12-06,9.1981
2020-12-07,9.3949
2020-12-08,9.3355
2020-12-09,9.338
2020-12-10,9.2786
2020-12-11,9.2415
2020-12-12,9.2415
2020-12-13,9.2415
2020-12-14,9.4023
2020-12-15,9.5384
2020-12-16,9.432
2020-12-17,9.6176
2020-12-18,9.4939
2020-12-19,9.4939
2020-12-20,9.4939
2020-12-21,9.1771
2020-12-22,9.1103
2020-12-23,9.1821
2020-12-24,9.0237
2020-12-25,9.0237
2020-12-26,9.0237
2020-12-27,9.0237
2020-12-28,9.1969
2020-12-29,9.1722
2020-12-30,9.1746
2020-12-31,9.2142
2021-01-01,9.2142
2021-01-02,9.2142
2021-01-03,9.2142
2021-01-04,8.947
2021-01-05,9.041
2021-01-06,9.8156
2021-01-07,9.8602
2021-01-08,10.021
2021-01-09,10.021
2021-01-10,10.021
2021-01-11,10.667
2021-01-12,10.8971
2021-01-13,10.9268
2021-01-14,11.2015
2021-01-15,11.2485
2021-01-16,11.2485
2021-01-17,11.2485
2021-01-18,11.2485
2021-01-19,11.1941
2021-01-20,10.7462
2021-01-21,10.8006
2021-01-22,11.011
2021-01-23,11.011
2021-01-24,11.011
2021-01-25,11.2238
2021-01-26,10.9763
2021-01-27,10.5556
2021-01-28,10.7585
2021-01-29,9.6344
2021-01-30,9.6344
2021-01-31,9.6344
2021-02-01,9.4684
2021-02-02,9.753
2021-02-03,10.0115
2021-02-04,10.4312
2021-02-05,10.3909
2021-02-06,10.3909
2021-02-07,10.3909
2021-02-08,10.7893
2021-02-09,10.5995
2021-02-10,10.5118
2021-02-11,10.7727
2021-02-12,10.5332
2021-02-13,10.5332
2021-02-14,10.5332
2021-02-15,10.5332
2021-02-16,10.443
2021-02-17,10.2676
2021-02-18,10.1466
2021-02-19,10.3363
2021-02-20,10.3363
2021-02-21,10.3363
2021-02-22,10.7418
2021-02-23,10.5118
2021-02-24,10.7987
2021-02-25,10.4502
2021-02-26,10.1087
2021-02-27,10.1087
2021-02-28,10.1087
2021-03-01,10.5782
2021-03-02,10.4549
2021-03-03,10.4051
2021-03-04,10.1822
2021-03-05,10.334
2021-03-06,10.334
2021-03-07,10.334
2021-03-08,10.9576
2021-03-09,10.73
2021-03-10,10.6825
2021-03-11,10.7608
2021-03-12,10.2605
2021-03-13,10.2605
2021-03-14,10.2605
2021-03-15,10.224
2021-03-16,10.038
2021-03-17,10.1739
2021-03-18,10.1143
2021-03-19,10.4696
2021-03-20,10.4696
2021-03-21,10.4696
2021-03-22,9.8186
2021-03-23,9.4108
2021-03-24,9.0793
2021-03-25,9.7709
2021-03-26,9.8758
2021-03-27,9.8758
2021-03-28,9.8758
2021-03-29,9.499
2021-03-30,9.759
2021-03-31,9.6493
2021-04-01,9.7924
2021-04-02,9.7924
2021-04-03,9.7924
2021-04-04,9.7924
2021-04-05,9.7447
2021-04-06,9.8615
2021-04-07,10.0046
2021-04-08,10.224
2021-04-09,10.6127
2021-04-10,10.6127
2021-04-11,10.6127
2021-04-12,10.5483
2021-04-13,10.3051
2021-04-14,10.1954
2021-04-15,10.4505
2021-04-16,10.317
2021-04-17,10.317
2021-04-18,10.317
2021-04-19,9.9879
2021-04-20,9.5205
2021-04-21,9.7685
2021-04-22,9.7661
2021-04-23,10.1824
2021-04-24,10.1824
2021-04-25,10.1824
2021-04-26,9.7199
2021-04-27,9.9475
2021-04-28,9.8996
2021-04-29,10.0003
2021-04-30,5.9892
2021-05-01,5.9892
2021-05-02,5.9892
2021-05-03,6.3762
2021-05-04,6.1659
2021-05-05,6.2147
2021-05-06,6.3823
2021-05-07,6.4341
2021-05-08,6.4341
2021-05-09,6.4341
2021-05-10,6.2192
2021-05-11,6.0135
2021-05-12,5.66
2021-05-13,5.8535
2021-05-14,6.1293
2021-05-15,6.1293
2021-05-16,6.1293
2021-05-17,6.2741
2021-05-18,6.0852
2021-05-19,5.945
2021-05-20,5.7255
2021-05-21,5.7438
2021-05-22,5.7438
2021-05-23,5.7438
2021-05-24,5.852
2021-05-25,5.8916
2021-05-26,6.2604
2021-05-27,6.2284
2021-05-28,6.1187
2021-05-29,6.1187
2021-05-30,6.1187
2021-05-31,6.1187
2021-06-01,6.2756
2021-06-02,6.236
2021-06-03,6.2367
2021-06-04,6.6578
2021-06-05,6.6578
2021-06-06,6.6578
2021-06-07,6.8488
2021-06-08,6.9418
2021-06-09,6.7511
2021-06-10,6.5268
2021-06-11,6.6031
2021-06-12,6.6031
2021-06-13,6.6031
2021-06-14,6.4612
2021-06-15,6.3941
2021-06-16,6.4536
2021-06-17,6.1744
2021-06-18,6.0401
2021-06-19,6.0401
2021-06-20,6.0401
2021-06-21,6.2614
2021-06-22,6.4124
2021-06-23,6.5131
2021-06-24,6.6779
2021-06-25,6.9235
2021-06-26,6.9235
2021-06-27,6.9235
2021-06-28,6.7618
2021-06-29,6.8183
2021-06-30,6.9159
2021-07-01,7.3095
2021-07-02,7.1463
2021-07-03,7.1463
2021-07-04,7.1463
2021-07-05,7.1463
2021-07-06,6.9586
2021-07-07,6.7038
2021-07-08,6.6474
2021-07-09,6.9434
2021-07-10,6.9434
2021-07-11,6.9434
2021-07-12,6.9205
2021-07-13,6.6459
2021-07-14,6.4582
2021-07-15,6.0767
2021-07-16,5.9898
2021-07-17,5.9898
2021-07-18,5.9898
2021-07-19,5.5977
2021-07-20,5.9837
2021-07-21,6.1805
2021-07-22,6.0172
2021-07-23,6.0691
2021-07-24,6.0691
2021-07-25,6.0691
2021-07-26,6.1286
2021-07-27,5.9852
2021-07-28,6.0172
2021-07-29,6.1759
2021-07-30,5.9943
2021-07-31,5.9943
2021-08-01,5.9943
2021-08-02,6.1099
2021-08-03,6.0729
2021-08-04,5.4207
2021-08-05,5.7476
2021-08-06,5.8185
2021-08-07,5.8185
2021-08-08,5.8185
2021-08-09,5.7214
2021-08-10,5.9758
2021-08-11,5.9526
2021-08-12,5.9496
2021-08-13,5.783
2021-08-14,5.783
2021-08-15,5.783
2021-08-16,5.763
2021-08-17,5.376
2021-08-18,5.4962
2021-08-19,5.5857
2021-08-20,5.6412
2021-08-21,5.6412
2021-08-22,5.6412
2021-08-23,5.8401
2021-08-24,5.948
2021-08-25,5.746
2021-08-26,5.6967
2021-08-27,5.8432
2021-08-28,5.8432
2021-08-29,5.8432
2021-08-30,5.6628
2021-08-31,5.4608
2021-09-01,5.6242
2021-09-02,5.6581
2021-09-03,5.433
2021-09-04,5.433
2021-09-05,5.433
2021-09-06,5.433
2021-09-07,5.2973
2021-09-08,5.1771
2021-09-09,5.2238
2021-09-10,4.9498
2021-09-11,4.9498
2021-09-12,4.9498
2021-09-13,5.0447
2021-09-14,4.9167
2021-09-15,5.0507
2021-09-16,5.2147
2021-09-17,5.7054
2021-09-18,5.7054
2021-09-19,5.7054
2021-09-20,5.4194
2021-09-21,5.2614
2021-09-22,5.4495
2021-09-23,5.5669
2021-09-24,5.4886
2021-09-25,5.4886
2021-09-26,5.4886
2021-09-27,5.8273
2021-09-28,5.7821
2021-09-29,5.752
2021-09-30,5.2478
2021-10-01,5.4736
2021-10-02,5.4736
2021-10-03,5.4736
2021-10-04,5.5383
2021-10-05,5.3201
2021-10-06,5.3156
2021-10-07,5.5263
2021-10-08,5.4044
2021-10-09,5.4044
2021-10-10,5.4044
2021-10-11,5.2132
2021-10-12,5.3517
2021-10-13,5.2704
2021-10-14,5.2689
2021-10-15,5.2162
2021-10-16,5.2162
2021-10-17,5.2162
2021-10-18,5.4089
2021-10-19,5.3065
2021-10-20,5.3321
2021-10-21,5.4646
2021-10-22,5.4405
2021-10-23,5.4405
2021-10-24,5.4405
2021-10-25,5.4977
2021-10-26,5.3682
2021-10-27,5.2509
2021-10-28,5.308
2021-10-29,5.761
2021-10-30,5.761
2021-10-31,5.761
2021-11-01,6.073
2021-11-02,6.297
2021-11-03,6.7479
2021-11-04,7.036
2021-11-05,7.3704
2021-11-06,7.3704
2021-11-07,7.3704
2021-11-08,7.3734
2021-11-09,7.5571
2021-11-10,7.3107
2021-11-11,7.3525
2021-11-12,7.3301
2021-11-13,7.3301
2021-11-14,7.3301
2021-11-15,7.3092
2021-11-16,7.5242
2021-11-17,7.2988
2021-11-18,7.6989
2021-11-19,7.454
2021-11-20,7.454
2021-11-21,7.454
2021-11-22,7.8407
2021-11-23,7.4033
2021-11-24,7.1077
2021-11-25,7.1077
2021-11-26,6.7508
2021-11-27,6.7508
2021-11-28,6.7508
2021-11-29,6.7732
2021-11-30,6.5164
2021-12-01,6.1954
2021-12-02,6.3656
2021-12-03,6.0016
2021-12-04,6.0016
2021-12-05,6.0016
2021-12-06,6.1341
2021-12-07,6.2554
2021-12-08,6.2145
2021-12-09,6.1068
2021-12-10,6.2104
2021-12-11,6.2104
2021-12-12,6.2104
2021-12-13,5.931
2021-12-14,6.1082
2021-12-15,6.1668
2021-12-16,5.8192
2021-12-17,5.7892
2021-12-18,5.7892
2021-12-19,5.7892
2021-12-20,5.4934
2021-12-21,5.7456
2021-12-22,5.8355
2021-12-23,5.9419
2021-12-24,5.9419
2021-12-25,5.9419
2021-12-26,5.9419
2021-12-27,6.1968
2021-12-28,6.1695
2021-12-29,6.2459
2021-12-30,6.2732
2021-12-31,6.2268
2022-01-01,6.2268
2022-01-02,6.2268
2022-01-03,6.2295
2022-01-04,6.325
2022-01-05,6.1573
2022-01-06,6.2186
2022-01-07,6.0291
2022-01-08,6.0291
2022-01-09,6.0291
2022-01-10,5.7606
2022-01-11,5.8546
2022-01-12,5.7306
2022-01-13,5.6842
2022-01-14,5.5997
2022-01-15,5.5997
2022-01-16,5.5997
2022-01-17,5.5997
2022-01-18,5.5111
2022-01-19,5.4443
2022-01-20,5.1989
2022-01-21,5.1962
2022-01-22,5.1962
2022-01-23,5.1962
2022-01-24,5.7456
2022-01-25,5.8192
2022-01-26,5.6447
2022-01-27,5.5724
2022-01-28,5.8286
2022-01-29,5.8286
2022-01-30,5.8286
2022-01-31,6.064
2022-02-01,6.1582
2022-02-02,5.9574
2022-02-03,5.8106
2022-02-04,5.8923
2022-02-05,5.8923
2022-02-06,5.8923
2022-02-07,5.9366
2022-02-08,6.1637
2022-02-09,6.2288
2022-02-10,6.1443
2022-02-11,5.9463
2022-02-12,5.9463
2022-02-13,5.9463
2022-02-14,5.8729
2022-02-15,6.1374
2022-02-16,6.1942
2022-02-17,5.9075
2022-02-18,5.9297
2022-02-19,5.9297
2022-02-20,5.9297
2022-02-21,5.9297
2022-02-22,5.6638
2022-02-23,5.6195
2022-02-24,5.9255
2022-02-25,6.01
2022-02-26,6.01
2022-02-27,6.01
2022-02-28,6.0003
2022-03-01,5.7995
2022-03-02,6.0709
2022-03-03,6.2108
2022-03-04,6.0017
2022-03-05,6.0017
2022-03-06,6.0017
2022-03-07,5.5253
2022-03-08,5.7995
2022-03-09,6.0474
2022-03-10,5.8037
2022-03-11,4.9626
2022-03-12,4.9626
2022-03-13,4.9626
2022-03-14,4.6972
2022-03-15,4.7729
2022-03-16,4.9674
2022-03-17,5.0178
2022-03-18,5.091
2022-03-19,5.091
2022-03-20,5.091
2022-03-21,4.696
2022-03-22,4.7837
2022-03-23,4.6348
2022-03-24,4.648
2022-03-25,4.6108
2022-03-26,4.6108
2022-03-27,4.6108
2022-03-28,4.7032
2022-03-29,4.8653
2022-03-30,4.6336
2022-03-31,4.4271
2022-04-01,4.4727
2022-04-02,4.4727
2022-04-03,4.4727
2022-04-04,4.4571
2022-04-05,4.4427
2022-04-06,4.3875
2022-04-07,4.4019
2022-04-08,4.4271
2022-04-09,4.4271
2022-04-10,4.4271
2022-04-11,4.4331
2022-04-12,4.4655
2022-04-13,4.5544
2022-04-14,4.5688
2022-04-15,4.5688
2022-04-16,4.5688
2022-04-17,4.5688
2022-04-18,4.4691
2022-04-19,4.7165
2022-04-20,4.6936
2022-04-21,4.624
2022-04-22,4.2846
2022-04-23,4.2846
2022-04-24,4.2846
2022-04-25,4.3139
2022-04-26,4.1569
2022-04-27,4.1405
2022-04-28,4.3268
2022-04-29,6.2018
2022-04-30,6.2018
2022-05-01,6.2018
2022-05-02,6.3982
2022-05-03,6.3967
2022-05-04,6.4277
2022-05-05,6.1929
2022-05-06,6.0438
2022-05-07,6.0438
2022-05-08,6.0438
2022-05-09,5.84
2022-05-10,5.7942
2022-05-11,5.6126
2022-05-12,5.7839
2022-05-13,5.8444
2022-05-14,5.8444
2022-05-15,5.8444
2022-05-16,5.8045
2022-05-17,5.8784
2022-05-18,5.5402
2022-05-19,5.4442
2022-05-20,5.4634
2022-05-21,5.4634
2022-05-22,5.4634
2022-05-23,5.335
2022-05-24,5.0189
2022-05-25,5.5565
2022-05-26,5.7765
2022-05-27,5.8031
2022-05-28,5.8031
2022-05-29,5.8031
2022-05-30,5.8031
2022-05-31,5.6377
2022-06-01,5.6613
2022-06-02,5.8385
2022-06-03,5.3996
2022-06-04,5.3996
2022-06-05,5.3996
2022-06-06,5.2962
2022-06-07,5.2238
2022-06-08,5.2208
2022-06-09,5.2592
2022-06-10,5.0596
2022-06-11,5.0596
2022-06-12,5.0596
2022-06-13,5.0005
2022-06-14,4.9665
2022-06-15,5.0389
2022-06-16,4.7699
2022-06-17,4.9
2022-06-18,4.9
2022-06-19,4.9
2022-06-20,4.9
2022-06-21,4.8423
2022-06-22,4.7654
2022-06-23,4.8586
2022-06-24,5.0109
2022-06-25,5.0109
2022-06-26,5.0109
2022-06-27,4.9798
2022-06-28,4.8438
2022-06-29,4.7447
2022-06-30,4.6368
2022-07-01,4.5348
2022-07-02,4.5348
2022-07-03,4.5348
2022-07-04,4.5348
2022-07-05,4.6131
2022-07-06,4.4904
2022-07-07,4.6072
2022-07-08,4.5895
2022-07-09,4.5895
2022-07-10,4.5895
2022-07-11,4.5348
2022-07-12,4.5422
2022-07-13,4.5584
2022-07-14,4.5096
2022-07-15,4.619
2022-07-16,4.619
2022-07-17,4.619
2022-07-18,4.6885
2022-07-19,4.9281
2022-07-20,5.002
2022-07-21,4.934
2022-07-22,4.9281
2022-07-23,4.9281
2022-07-24,4.9281
2022-07-25,4.8807
2022-07-26,4.5983
2022-07-27,4.6782
2022-07-28,4.6974
2022-07-29,5.788
2022-07-30,5.788
2022-07-31,5.788
2022-08-01,5.9654
2022-08-02,5.8813
2022-08-03,6.0811
2022-08-04,6.0793
2022-08-05,5.9822
2022-08-06,5.9822
2022-08-07,5.9822
2022-08-08,6.1819
2022-08-09,5.9766
2022-08-10,6.1166
2022-08-11,6.2846
2022-08-12,6.4377
2022-08-13,6.4377
2022-08-14,6.4377
2022-08-15,6.2604
2022-08-16,6.6749
2022-08-17,6.5479
2022-08-18,6.4881
2022-08-19,6.3985
2022-08-20,6.3985
2022-08-21,6.3985
2022-08-22,6.1073
2022-08-23,6.1371
2022-08-24,6.04
2022-08-25,6.1521
2022-08-26,6.0475
2022-08-27,6.0475
2022-08-28,6.0475
2022-08-29,6.0475
2022-08-30,5.9467
2022-08-31,5.7805
2022-09-01,5.7712
2022-09-02,5.7021
2022-09-03,5.7021
2022-09-04,5.7021
2022-09-05,5.7021
2022-09-06,5.8309
2022-09-07,6.1222
2022-09-08,5.8916
2022-09-09,6.0821
2022-09-10,6.0821
2022-09-11,6.0821
2022-09-12,5.9327
2022-09-13,5.3106
2022-09-14,5.3125
2022-09-15,5.3367
2022-09-16,5.3162
2022-09-17,5.3162
2022-09-18,5.3162
2022-09-19,5.3704
2022-09-20,5.3087
2022-09-21,5.0976
2022-09-22,4.9799
2022-09-23,5.021
2022-09-24,5.021
2022-09-25,5.021
2022-09-26,4.9818
2022-09-27,5.036
2022-09-28,5.2041
2022-09-29,5.0696
2022-09-30,4.9556
2022-10-01,4.9556
2022-10-02,4.9556
2022-10-03,5.0023
2022-10-04,5.1014
2022-10-05,5.049
2022-10-06,5.0789
2022-10-07,4.965
2022-10-08,4.965
2022-10-09,4.965
2022-10-10,4.9052
2022-10-11,4.851
2022-10-12,4.8884
2022-10-13,4.9743
2022-10-14,4.8847
2022-10-15,4.8847
2022-10-16,4.8847
2022-10-17,5.0005
2022-10-18,4.9631
2022-10-19,4.7819
2022-10-20,4.7558
2022-10-21,4.8417
2022-10-22,4.8417
2022-10-23,4.8417
2022-10-24,4.8585
2022-10-25,5.1499
2022-10-26,5.1481
2022-10-27,5.0752
2022-10-28,7.4379
2022-10-29,7.4379
2022-10-30,7.4379
2022-10-31,7.3778
2022-11-01,7.4091
2022-11-02,7.1713
2022-11-03,7.2706
2022-11-04,7.3412
2022-11-05,7.3412
2022-11-06,7.3412
2022-11-07,7.4405
2022-11-08,7.3882
2022-11-09,6.9466
2022-11-10,7.66
2022-11-11,7.8612
2022-11-12,7.8612
2022-11-13,7.8612
2022-11-14,7.7123
2022-11-15,7.924
2022-11-16,7.5712
2022-11-17,7.6652
2022-11-18,7.7306
2022-11-19,7.7306
2022-11-20,7.7306
2022-11-21,7.5215
2022-11-22,7.8665
2022-11-23,7.9109
2022-11-24,7.9109
2022-11-25,7.8116
2022-11-26,7.8116
2022-11-27,7.8116
2022-11-28,7.6443
2022-11-29,7.6835
2022-11-30,7.5921
2022-12-01,7.221
2022-12-02,7.5851
2022-12-03,7.5851
2022-12-04,7.5851
2022-12-05,7.3839
2022-12-06,7.4075
2022-12-07,7.5304
2022-12-08,7.6664
2022-12-09,7.4545
2022-12-10,7.4545
2022-12-11,7.4545
2022-12-12,7.4781
2022-12-13,7.5199
2022-12-14,7.3944
2022-12-15,6.9967
2022-12-16,6.8241
2022-12-17,6.8241
2022-12-18,6.8241
2022-12-19,6.5467
2022-12-20,6.5938
2022-12-21,6.8005
2022-12-22,6.8267
2022-12-23,7.0124
2022-12-24,7.0124
2022-12-25,7.0124
2022-12-26,7.0124
2022-12-27,7.049
2022-12-28,7.0647
2022-12-29,7.2296
2022-12-30,7.2034
2022-12-31,7.2034
2023-01-01,7.2034
2023-01-02,7.2034
2023-01-03,7.274
2023-01-04,7.4218
2023-01-05,7.3682
2023-01-06,7.6141
2023-01-07,7.6141
2023-01-08,7.6141
2023-01-09,7.6743
2023-01-10,7.7894
2023-01-11,7.8103
2023-01-12,8.0118
2023-01-13,7.8993
2023-01-14,7.8993
2023-01-15,7.8993
2023-01-16,7.8993
2023-01-17,7.7789
2023-01-18,7.6821
2023-01-19,7.6455
2023-01-20,7.8784
2023-01-21,7.8784
2023-01-22,7.8784
2023-01-23,8.0249
2023-01-24,7.9424
2023-01-25,8.1714
2023-01-26,8.2054
2023-01-27,15.4559
2023-01-28,15.4559
2023-01-29,15.4559
2023-01-30,15.43
2023-01-31,15.4972
2023-02-01,16.0608
2023-02-02,16.7225
2023-02-03,16.6605
2023-02-04,16.6605
2023-02-05,16.6605
2023-02-06,15.8901
2023-02-07,15.9315
2023-02-08,15.5076
2023-02-09,15.1974
2023-02-10,15.1095
2023-02-11,15.1095
2023-02-12,15.1095
2023-02-13,15.3835
2023-02-14,14.9802
2023-02-15,15.3421
2023-02-16,15.1819
2023-02-17,15.2284
2023-02-18,15.2284
2023-02-19,15.2284
2023-02-20,15.2284
2023-02-21,14.5977
2023-02-22,14.7166
2023-02-23,14.851
2023-02-24,14.396
2023-02-25,14.396
2023-02-26,14.396
2023-02-27,14.1375
2023-02-28,14.1686
2023-03-01,14.1427
2023-03-02,14.2409
2023-03-03,14.3185
2023-03-04,14.3185
2023-03-05,14.3185
2023-03-06,13.8635
2023-03-07,13.8532
2023-03-08,14.1789
2023-03-09,13.786
2023-03-10,13.3352
2023-03-11,13.3352
2023-03-12,13.3352
2023-03-13,12.8234
2023-03-14,12.7045
2023-03-15,12.2238
2023-03-16,12.0945
2023-03-17,11.7275
2023-03-18,11.7275
2023-03-19,11.7275
