,MOV US Equity
2021-01-22,4.7432
2021-01-23,4.7432
2021-01-24,4.7432
2021-01-25,4.7432
2021-01-26,4.7432
2021-01-27,4.7432
2021-01-28,4.7432
2021-01-29,4.7432
2021-01-30,4.7432
2021-01-31,4.7432
2021-02-01,4.7432
2021-02-02,4.7432
2021-02-03,4.7432
2021-02-04,4.7432
2021-02-05,4.7432
2021-02-06,4.7432
2021-02-07,4.7432
2021-02-08,4.7432
2021-02-09,4.7432
2021-02-10,4.7432
2021-02-11,4.7432
2021-02-12,4.7432
2021-02-13,4.7432
2021-02-14,4.7432
2021-02-15,4.7432
2021-02-16,4.7432
2021-02-17,4.7432
2021-02-18,4.7432
2021-02-19,4.7432
2021-02-20,4.7432
2021-02-21,4.7432
2021-02-22,4.7432
2021-02-23,4.7432
2021-02-24,4.7432
2021-02-25,4.7432
2021-02-26,4.7432
2021-02-27,4.7432
2021-02-28,4.7432
2021-03-01,4.7432
2021-03-02,4.7432
2021-03-03,4.7432
2021-03-04,4.7432
2021-03-05,4.7432
2021-03-06,4.7432
2021-03-07,4.7432
2021-03-08,4.7432
2021-03-09,4.7432
2021-03-10,4.7432
2021-03-11,4.7432
2021-03-12,4.7432
2021-03-13,4.7432
2021-03-14,4.7432
2021-03-15,4.7432
2021-03-16,4.7432
2021-03-17,4.7432
2021-03-18,4.7432
2021-03-19,4.7432
2021-03-20,4.7432
2021-03-21,4.7432
2021-03-22,4.7432
2021-03-23,4.7432
2021-03-24,4.7432
2021-03-25,4.7432
2021-03-26,4.7432
2021-03-27,4.7432
2021-03-28,4.7432
2021-03-29,4.7432
2021-03-30,4.7432
2021-03-31,4.7432
2021-04-01,4.7432
2021-04-02,4.7432
2021-04-03,4.7432
2021-04-04,4.7432
2021-04-05,4.7432
2021-04-06,4.7432
2021-04-07,4.7432
2021-04-08,4.7432
2021-04-09,4.7432
2021-04-10,4.7432
2021-04-11,4.7432
2021-04-12,4.7432
2021-04-13,4.7432
2021-04-14,4.7432
2021-04-15,4.7432
2021-04-16,4.7432
2021-04-17,4.7432
2021-04-18,4.7432
2021-04-19,4.7432
2021-04-20,4.7432
2021-04-21,4.7432
2021-04-22,4.7432
2021-04-23,4.7432
2021-04-24,4.7432
2021-04-25,4.7432
2021-04-26,4.7432
2021-04-27,4.7432
2021-04-28,4.7432
2021-04-29,4.7432
2021-04-30,11.9604
2021-05-01,11.9604
2021-05-02,11.9604
2021-05-03,12.213
2021-05-04,12.0736
2021-05-05,12.2653
2021-05-06,11.7817
2021-05-07,12.1346
2021-05-08,12.1346
2021-05-09,12.1346
2021-05-10,11.5377
2021-05-11,11.4114
2021-05-12,11.207
2021-05-13,11.6985
2021-05-14,12.0364
2021-05-15,12.0364
2021-05-16,12.0364
2021-05-17,12.3874
2021-05-18,12.0452
2021-05-19,11.7643
2021-05-20,11.5537
2021-05-21,11.3519
2021-05-22,11.3519
2021-05-23,11.3519
2021-05-24,11.4089
2021-05-25,11.2246
2021-05-26,11.6678
2021-05-27,11.3841
2021-05-28,10.4584
2021-05-29,10.4584
2021-05-30,10.4584
2021-05-31,10.4584
2021-06-01,11.2744
2021-06-02,11.2788
2021-06-03,11.4192
2021-06-04,11.0682
2021-06-05,11.0682
2021-06-06,11.0682
2021-06-07,11.0288
2021-06-08,11.5552
2021-06-09,11.6298
2021-06-10,11.4411
2021-06-11,11.9457
2021-06-12,11.9457
2021-06-13,11.9457
2021-06-14,11.7526
2021-06-15,11.7175
2021-06-16,11.6605
2021-06-17,11.5289
2021-06-18,11.3578
2021-06-19,11.3578
2021-06-20,11.3578
2021-06-21,11.6122
2021-06-22,11.8491
2021-06-23,12.1255
2021-06-24,12.1519
2021-06-25,12.1124
2021-06-26,12.1124
2021-06-27,12.1124
2021-06-28,11.8842
2021-06-29,11.7482
2021-06-30,12.0992
2021-07-01,12.2835
2021-07-02,11.893
2021-07-03,11.893
2021-07-04,11.893
2021-07-05,11.893
2021-07-06,11.6517
2021-07-07,11.3666
2021-07-08,11.1911
2021-07-09,11.678
2021-07-10,11.678
2021-07-11,11.678
2021-07-12,11.7789
2021-07-13,11.6693
2021-07-14,11.4762
2021-07-15,11.2218
2021-07-16,11.099
2021-07-17,11.099
2021-07-18,11.099
2021-07-19,10.6208
2021-07-20,10.6953
2021-07-21,11.2393
2021-07-22,11.0375
2021-07-23,11.2086
2021-07-24,11.2086
2021-07-25,11.2086
2021-07-26,11.5026
2021-07-27,11.3271
2021-07-28,11.1779
2021-07-29,11.3973
2021-07-30,6.7655
2021-07-31,6.7655
2021-08-01,6.7655
2021-08-02,6.7978
2021-08-03,7.0509
2021-08-04,6.7978
2021-08-05,6.9755
2021-08-06,7.0751
2021-08-07,7.0751
2021-08-08,7.0751
2021-08-09,6.8436
2021-08-10,7.2501
2021-08-11,7.4197
2021-08-12,7.7293
2021-08-13,7.6701
2021-08-14,7.6701
2021-08-15,7.6701
2021-08-16,7.6243
2021-08-17,7.137
2021-08-18,6.997
2021-08-19,6.9432
2021-08-20,7.2851
2021-08-21,7.2851
2021-08-22,7.2851
2021-08-23,7.5651
2021-08-24,7.9851
2021-08-25,7.9097
2021-08-26,8.4242
2021-08-27,8.6895
2021-08-28,8.6895
2021-08-29,8.6895
2021-08-30,8.3074
2021-08-31,8.2596
2021-09-01,8.3817
2021-09-02,8.0102
2021-09-03,7.652
2021-09-04,7.652
2021-09-05,7.652
2021-09-06,7.652
2021-09-07,7.4211
2021-09-08,7.1213
2021-09-09,7.2062
2021-09-10,7.1266
2021-09-11,7.1266
2021-09-12,7.1266
2021-09-13,7.2089
2021-09-14,7.1452
2021-09-15,7.3415
2021-09-16,7.4424
2021-09-17,7.4556
2021-09-18,7.4556
2021-09-19,7.4556
2021-09-20,7.2566
2021-09-21,7.1584
2021-09-22,7.3654
2021-09-23,7.4875
2021-09-24,7.5989
2021-09-25,7.5989
2021-09-26,7.5989
2021-09-27,7.9094
2021-09-28,7.7794
2021-09-29,7.721
2021-09-30,7.0258
2021-10-01,7.2619
2021-10-02,7.2619
2021-10-03,7.2619
2021-10-04,7.2885
2021-10-05,7.4477
2021-10-06,7.0762
2021-10-07,7.4238
2021-10-08,7.2593
2021-10-09,7.2593
2021-10-10,7.2593
2021-10-11,7.116
2021-10-12,7.3734
2021-10-13,7.3707
2021-10-14,7.6334
2021-10-15,7.6148
2021-10-16,7.6148
2021-10-17,7.6148
2021-10-18,7.8377
2021-10-19,7.7794
2021-10-20,7.6891
2021-10-21,7.8165
2021-10-22,7.7316
2021-10-23,7.7316
2021-10-24,7.7316
2021-10-25,8.0819
2021-10-26,7.7343
2021-10-27,7.3203
2021-10-28,7.5432
2021-10-29,6.1557
2021-10-30,6.1557
2021-10-31,6.1557
2021-11-01,6.4493
2021-11-02,6.4734
2021-11-03,6.7845
2021-11-04,6.6224
2021-11-05,6.7144
2021-11-06,6.7144
2021-11-07,6.7144
2021-11-08,6.7232
2021-11-09,6.9072
2021-11-10,6.7451
2021-11-11,7.2731
2021-11-12,6.813
2021-11-13,6.813
2021-11-14,6.813
2021-11-15,6.721
2021-11-16,7.019
2021-11-17,7.0255
2021-11-18,7.4593
2021-11-19,7.4133
2021-11-20,7.4133
2021-11-21,7.4133
2021-11-22,7.6039
2021-11-23,8.5725
2021-11-24,9.2435
2021-11-25,9.2435
2021-11-26,8.7555
2021-11-27,8.7555
2021-11-28,8.7555
2021-11-29,8.9342
2021-11-30,8.6357
2021-12-01,8.152
2021-12-02,8.2021
2021-12-03,7.9973
2021-12-04,7.9973
2021-12-05,7.9973
2021-12-06,7.8731
2021-12-07,8.2217
2021-12-08,8.0431
2021-12-09,7.9668
2021-12-10,7.9799
2021-12-11,7.9799
2021-12-12,7.9799
2021-12-13,7.4069
2021-12-14,7.3481
2021-12-15,7.4026
2021-12-16,7.274
2021-12-17,7.3285
2021-12-18,7.3285
2021-12-19,7.3285
2021-12-20,7.1869
2021-12-21,7.5986
2021-12-22,7.6531
2021-12-23,7.688
2021-12-24,7.688
2021-12-25,7.688
2021-12-26,7.688
2021-12-27,7.9712
2021-12-28,7.8557
2021-12-29,8.0126
2021-12-30,8.0365
2021-12-31,7.9734
2022-01-01,7.9734
2022-01-02,7.9734
2022-01-03,8.067
2022-01-04,8.0431
2022-01-05,7.8492
2022-01-06,7.8775
2022-01-07,7.7097
2022-01-08,7.7097
2022-01-09,7.7097
2022-01-10,7.542
2022-01-11,7.6291
2022-01-12,7.5877
2022-01-13,7.5006
2022-01-14,7.3307
2022-01-15,7.3307
2022-01-16,7.3307
2022-01-17,7.3307
2022-01-18,7.1084
2022-01-19,7.0583
2022-01-20,6.7577
2022-01-21,6.6161
2022-01-22,6.6161
2022-01-23,6.6161
2022-01-24,6.9494
2022-01-25,6.993
2022-01-26,6.7729
2022-01-27,6.6618
2022-01-28,6.6749
2022-01-29,6.6749
2022-01-30,6.6749
2022-01-31,5.5584
2022-02-01,5.7124
2022-02-02,5.6793
2022-02-03,5.5467
2022-02-04,5.6988
2022-02-05,5.6988
2022-02-06,5.6988
2022-02-07,5.7027
2022-02-08,5.9484
2022-02-09,6.1298
2022-02-10,5.8665
2022-02-11,5.8041
2022-02-12,5.8041
2022-02-13,5.8041
2022-02-14,5.8334
2022-02-15,6.1045
2022-02-16,6.1123
2022-02-17,5.8451
2022-02-18,5.9523
2022-02-19,5.9523
2022-02-20,5.9523
2022-02-21,5.9523
2022-02-22,5.8373
2022-02-23,5.5993
2022-02-24,5.8626
2022-02-25,6.0518
2022-02-26,6.0518
2022-02-27,6.0518
2022-02-28,6.0167
2022-03-01,5.6149
2022-03-02,5.9738
2022-03-03,5.8061
2022-03-04,5.5389
2022-03-05,5.5389
2022-03-06,5.5389
2022-03-07,5.219
2022-03-08,5.3029
2022-03-09,5.5623
2022-03-10,5.4531
2022-03-11,5.024
2022-03-12,5.024
2022-03-13,5.024
2022-03-14,4.8816
2022-03-15,4.9187
2022-03-16,5.1488
2022-03-17,5.1664
2022-03-18,5.5038
2022-03-19,5.5038
2022-03-20,5.5038
2022-03-21,5.3243
2022-03-22,5.3458
2022-03-23,5.0708
2022-03-24,5.6193
2022-03-25,5.7045
2022-03-26,5.7045
2022-03-27,5.7045
2022-03-28,5.6987
2022-03-29,6.094
2022-03-30,6.2819
2022-03-31,5.8944
2022-04-01,5.8208
2022-04-02,5.8208
2022-04-03,5.8208
2022-04-04,6.0029
2022-04-05,5.5612
2022-04-06,5.3035
2022-04-07,5.4817
2022-04-08,5.5573
2022-04-09,5.5573
2022-04-10,5.5573
2022-04-11,5.66
2022-04-12,5.6697
2022-04-13,5.9138
2022-04-14,5.9913
2022-04-15,5.9913
2022-04-16,5.9913
2022-04-17,5.9913
2022-04-18,5.8673
2022-04-19,6.1618
2022-04-20,6.154
2022-04-21,5.9487
2022-04-22,5.66
2022-04-23,5.66
2022-04-24,5.66
2022-04-25,5.7743
2022-04-26,5.4953
2022-04-27,5.5612
2022-04-28,5.6077
2022-04-29,5.2915
2022-04-30,5.2915
2022-05-01,5.2915
2022-05-02,5.5392
2022-05-03,5.4443
2022-05-04,5.5322
2022-05-05,5.193
2022-05-06,5.1491
2022-05-07,5.1491
2022-05-08,5.1491
2022-05-09,5.0753
2022-05-10,5.0349
2022-05-11,4.8257
2022-05-12,4.8433
2022-05-13,4.9311
2022-05-14,4.9311
2022-05-15,4.9311
2022-05-16,4.8699
2022-05-17,5.0027
2022-05-18,4.7861
2022-05-19,4.6655
2022-05-20,4.6708
2022-05-21,4.6708
2022-05-22,4.6708
2022-05-23,4.7704
2022-05-24,4.2742
2022-05-25,4.5659
2022-05-26,5.3454
2022-05-27,5.3263
2022-05-28,5.3263
2022-05-29,5.3263
2022-05-30,5.3263
2022-05-31,4.8787
2022-06-01,4.7447
2022-06-02,4.9031
2022-06-03,4.9658
2022-06-04,4.9658
2022-06-05,4.9658
2022-06-06,5.0006
2022-06-07,4.9867
2022-06-08,4.8561
2022-06-09,4.8822
2022-06-10,4.7777
2022-06-11,4.7777
2022-06-12,4.7777
2022-06-13,4.3459
2022-06-14,4.6227
2022-06-15,4.7238
2022-06-16,4.4817
2022-06-17,4.6158
2022-06-18,4.6158
2022-06-19,4.6158
2022-06-20,4.6158
2022-06-21,4.7168
2022-06-22,4.5705
2022-06-23,4.5531
2022-06-24,4.6698
2022-06-25,4.6698
2022-06-26,4.6698
2022-06-27,4.668
2022-06-28,4.5409
2022-06-29,4.4016
2022-06-30,4.3563
2022-07-01,4.3877
2022-07-02,4.3877
2022-07-03,4.3877
2022-07-04,4.3877
2022-07-05,4.4712
2022-07-06,4.2779
2022-07-07,4.4747
2022-07-08,4.4643
2022-07-09,4.4643
2022-07-10,4.4643
2022-07-11,4.3789
2022-07-12,4.5444
2022-07-13,4.5287
2022-07-14,4.4695
2022-07-15,4.6628
2022-07-16,4.6628
2022-07-17,4.6628
2022-07-18,4.6384
2022-07-19,4.9275
2022-07-20,5.0633
2022-07-21,5.0738
2022-07-22,5.0703
2022-07-23,5.0703
2022-07-24,5.0703
2022-07-25,4.9902
2022-07-26,4.8457
2022-07-27,4.9397
2022-07-28,5.0215
2022-07-29,4.8138
2022-07-30,4.8138
2022-07-31,4.8138
2022-08-01,5.0302
2022-08-02,5.0252
2022-08-03,5.1051
2022-08-04,5.1733
2022-08-05,5.1367
2022-08-06,5.1367
2022-08-07,5.1367
2022-08-08,5.2898
2022-08-09,5.0551
2022-08-10,5.1816
2022-08-11,5.2116
2022-08-12,5.1417
2022-08-13,5.1417
2022-08-14,5.1417
2022-08-15,5.1167
2022-08-16,5.2731
2022-08-17,5.1932
2022-08-18,5.2165
2022-08-19,5.0219
2022-08-20,5.0219
2022-08-21,5.0219
2022-08-22,4.8904
2022-08-23,4.8638
2022-08-24,4.7606
2022-08-25,4.8624
2022-08-26,4.6409
2022-08-27,4.6409
2022-08-28,4.6409
2022-08-29,4.5946
2022-08-30,4.5879
2022-08-31,4.4325
2022-09-01,4.4656
2022-09-02,4.4424
2022-09-03,4.4424
2022-09-04,4.4424
2022-09-05,4.4424
2022-09-06,4.1795
2022-09-07,4.368
2022-09-08,4.2771
2022-09-09,4.4077
2022-09-10,4.4077
2022-09-11,4.4077
2022-09-12,4.5201
2022-09-13,4.1729
2022-09-14,4.1117
2022-09-15,4.0886
2022-09-16,4.1084
2022-09-17,4.1084
2022-09-18,4.1084
2022-09-19,4.1861
2022-09-20,4.12
2022-09-21,4.0754
2022-09-22,3.9877
2022-09-23,3.9298
2022-09-24,3.9298
2022-09-25,3.9298
2022-09-26,3.8356
2022-09-27,3.8306
2022-09-28,4.0009
2022-09-29,3.8819
2022-09-30,3.8191
2022-10-01,3.8191
2022-10-02,3.8191
2022-10-03,3.8951
2022-10-04,4.2721
2022-10-05,4.3928
2022-10-06,4.4755
2022-10-07,4.2275
2022-10-08,4.2275
2022-10-09,4.2275
2022-10-10,4.2589
2022-10-11,4.2341
2022-10-12,4.2787
2022-10-13,4.3201
2022-10-14,4.2093
2022-10-15,4.2093
2022-10-16,4.2093
2022-10-17,4.3912
2022-10-18,4.4027
2022-10-19,4.2556
2022-10-20,4.1861
2022-10-21,4.3118
2022-10-22,4.3118
2022-10-23,4.3118
2022-10-24,4.3879
2022-10-25,4.6144
2022-10-26,4.6061
2022-10-27,4.54
2022-10-28,4.6442
2022-10-29,4.6442
2022-10-30,4.6442
2022-10-31,4.8485
2022-11-01,4.9111
2022-11-02,4.6724
2022-11-03,4.7655
2022-11-04,4.9162
2022-11-05,4.9162
2022-11-06,4.9162
2022-11-07,4.9872
2022-11-08,4.8789
2022-11-09,4.6978
2022-11-10,5.0025
2022-11-11,5.1599
2022-11-12,5.1599
2022-11-13,5.1599
2022-11-14,5.1074
2022-11-15,5.2767
2022-11-16,5.0837
2022-11-17,5.0702
2022-11-18,5.1328
2022-11-19,5.1328
2022-11-20,5.1328
2022-11-21,4.9195
2022-11-22,4.3057
2022-11-23,4.3946
2022-11-24,4.3946
2022-11-25,4.4097
2022-11-26,4.4097
2022-11-27,4.4097
2022-11-28,4.5474
2022-11-29,4.5357
2022-11-30,4.6548
2022-12-01,4.6364
2022-12-02,4.5239
2022-12-03,4.5239
2022-12-04,4.5239
2022-12-05,4.5306
2022-12-06,4.544
2022-12-07,4.5323
2022-12-08,4.5373
2022-12-09,4.4484
2022-12-10,4.4484
2022-12-11,4.4484
2022-12-12,4.5105
2022-12-13,4.5676
2022-12-14,4.675
2022-12-15,4.5642
2022-12-16,4.487
2022-12-17,4.487
2022-12-18,4.487
2022-12-19,4.1646
2022-12-20,4.2217
2022-12-21,4.346
2022-12-22,4.309
2022-12-23,4.403
2022-12-24,4.403
2022-12-25,4.403
2022-12-26,4.403
2022-12-27,4.5776
2022-12-28,4.492
2022-12-29,4.6196
2022-12-30,4.6649
2022-12-31,4.6649
2023-01-01,4.6649
2023-01-02,4.6649
2023-01-03,4.8093
2023-01-04,4.9822
2023-01-05,4.9621
2023-01-06,5.0695
2023-01-07,5.0695
2023-01-08,5.0695
2023-01-09,5.0611
2023-01-10,4.9604
2023-01-11,5.14
2023-01-12,5.2441
2023-01-13,5.2928
2023-01-14,5.2928
2023-01-15,5.2928
2023-01-16,5.2928
2023-01-17,5.1853
2023-01-18,5.0242
2023-01-19,4.8966
2023-01-20,5.051
2023-01-21,5.051
2023-01-22,5.051
2023-01-23,5.1434
2023-01-24,5.1333
2023-01-25,5.0997
2023-01-26,5.0544
2023-01-27,5.0175
2023-01-28,5.0175
2023-01-29,5.0175
2023-01-30,4.9402
2023-01-31,5.2014
2023-02-01,5.2808
2023-02-02,5.4175
2023-02-03,5.4711
2023-02-04,5.4711
2023-02-05,5.4711
2023-02-06,5.2494
2023-02-07,5.3344
2023-02-08,4.9724
2023-02-09,4.9502
2023-02-10,5.0149
2023-02-11,5.0149
2023-02-12,5.0149
2023-02-13,5.1183
2023-02-14,5.05
2023-02-15,5.1589
2023-02-16,5.0481
2023-02-17,5.0666
2023-02-18,5.0666
2023-02-19,5.0666
2023-02-20,5.0666
2023-02-21,4.9244
2023-02-22,4.9761
2023-02-23,5.013
2023-02-24,4.9908
2023-02-25,4.9908
2023-02-26,4.9908
2023-02-27,5.0887
2023-02-28,5.0647
2023-03-01,5.0536
2023-03-02,5.0629
2023-03-03,5.146
2023-03-04,5.146
2023-03-05,5.146
2023-03-06,4.9613
2023-03-07,5.0647
2023-03-08,5.1571
2023-03-09,5.1719
2023-03-10,5.0536
2023-03-11,5.0536
2023-03-12,5.0536
2023-03-13,4.9539
2023-03-14,5.1035
2023-03-15,4.8375
