,PFE US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-11-13,33.1004
2020-11-14,33.1004
2020-11-15,33.1004
2020-11-16,32.2133
2020-11-17,31.3262
2020-11-18,31.5187
2020-11-19,31.4293
2020-11-20,31.7801
2020-11-21,31.7801
2020-11-22,31.7801
2020-11-23,31.6563
2020-11-24,31.7113
2020-11-25,31.6631
2020-11-26,31.6631
2020-11-27,32.1445
2020-11-28,32.1445
2020-11-29,32.1445
2020-11-30,32.8872
2020-12-01,33.6436
2020-12-02,34.5995
2020-12-03,34.1112
2020-12-04,34.2832
2020-12-05,34.2832
2020-12-06,34.2832
2020-12-07,34.9089
2020-12-08,35.8098
2020-12-09,35.3215
2020-12-10,35.239
2020-12-11,34.8195
2020-12-12,34.8195
2020-12-13,34.8195
2020-12-14,33.5061
2020-12-15,33.1623
2020-12-16,32.564
2020-12-17,32.6946
2020-12-18,32.454
2020-12-19,32.454
2020-12-20,32.454
2020-12-21,32.2477
2020-12-22,31.8076
2020-12-23,32.2889
2020-12-24,32.172
2020-12-25,32.172
2020-12-26,32.172
2020-12-27,32.172
2020-12-28,31.8626
2020-12-29,32.0207
2020-12-30,31.8076
2020-12-31,28.4918
2021-01-01,28.4918
2021-01-02,28.4918
2021-01-03,28.4918
2021-01-04,28.4918
2021-01-05,28.7491
2021-01-06,28.5325
2021-01-07,28.6611
2021-01-08,28.7085
2021-01-09,28.7085
2021-01-10,28.7085
2021-01-11,29.1419
2021-01-12,28.7424
2021-01-13,28.5257
2021-01-14,28.4512
2021-01-15,28.4174
2021-01-16,28.4174
2021-01-17,28.4174
2021-01-18,28.4174
2021-01-19,28.4377
2021-01-20,28.2819
2021-01-21,28.2684
2021-01-22,28.3158
2021-01-23,28.3158
2021-01-24,28.3158
2021-01-25,28.8101
2021-01-26,28.8304
2021-01-27,28.1059
2021-01-28,27.8486
2021-01-29,27.8757
2021-01-30,27.8757
2021-01-31,27.8757
2021-02-01,27.808
2021-02-02,27.2595
2021-02-03,27.1579
2021-02-04,27.1918
2021-02-05,27.2121
2021-02-06,27.2121
2021-02-07,27.2121
2021-02-08,27.1444
2021-02-09,27.246
2021-02-10,27.0902
2021-02-11,26.8803
2021-02-12,27.0767
2021-02-13,27.0767
2021-02-14,27.0767
2021-02-15,27.0767
