,MMM US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-07-24,16.1965
2020-07-25,16.1965
2020-07-26,16.1965
2020-07-27,16.4867
2020-07-28,15.8306
2020-07-29,15.9092
2020-07-30,15.5562
2020-07-31,15.4151
2020-08-01,15.4151
2020-08-02,15.4151
2020-08-03,15.41
2020-08-04,15.4784
2020-08-05,15.8323
2020-08-06,15.8878
2020-08-07,16.087
2020-08-08,16.087
2020-08-09,16.087
2020-08-10,16.3528
2020-08-11,16.5186
2020-08-12,16.5938
2020-08-13,16.7306
2020-08-14,16.7511
2020-08-15,16.7511
2020-08-16,16.7511
2020-08-17,16.6323
2020-08-18,16.6041
2020-08-19,16.5691
2020-08-20,16.4836
2020-08-21,16.3759
2020-08-22,16.3759
2020-08-23,16.3759
2020-08-24,16.5315
2020-08-25,16.4947
2020-08-26,16.5631
2020-08-27,16.5785
2020-08-28,16.7135
2020-08-29,16.7135
2020-08-30,16.7135
2020-08-31,16.4879
2020-09-01,16.64
2020-09-02,17.0426
2020-09-03,16.7691
2020-09-04,16.7229
2020-09-05,16.7229
2020-09-06,16.7229
2020-09-07,16.7229
2020-09-08,16.5007
2020-09-09,16.7169
2020-09-10,16.499
2020-09-11,16.7571
2020-09-12,16.7571
2020-09-13,16.7571
2020-09-14,16.9528
2020-09-15,16.7913
2020-09-16,17.0426
2020-09-17,17.2879
2020-09-18,17.046
2020-09-19,17.046
2020-09-20,17.046
2020-09-21,16.346
2020-09-22,16.4297
2020-09-23,16.1878
2020-09-24,16.2656
2020-09-25,16.2528
2020-09-26,16.2528
2020-09-27,16.2528
2020-09-28,16.3716
2020-09-29,16.2135
2020-09-30,16.3061
2020-10-01,16.1855
2020-10-02,16.3218
2020-10-03,16.3218
2020-10-04,16.3218
2020-10-05,16.5292
2020-10-06,16.484
2020-10-07,16.8538
2020-10-08,16.9597
2020-10-09,17.0976
2020-10-10,17.0976
2020-10-11,17.0976
2020-10-12,17.0412
2020-10-13,16.8659
2020-10-14,17.0195
2020-10-15,17.0786
2020-10-16,17.2426
2020-10-17,17.2426
2020-10-18,17.2426
2020-10-19,17.1193
2020-10-20,17.2409
2020-10-21,17.0864
2020-10-22,17.22
2020-10-23,17.141
2020-10-24,17.141
2020-10-25,17.141
2020-10-26,16.8251
2020-10-27,16.3994
2020-10-28,16.1821
2020-10-29,16.1778
2020-10-30,16.3064
2020-10-31,16.3064
2020-11-01,16.3064
2020-11-02,16.5654
2020-11-03,16.7887
2020-11-04,16.3238
2020-11-05,16.588
2020-11-06,16.5723
2020-11-07,16.5723
2020-11-08,16.5723
2020-11-09,16.608
2020-11-10,17.1042
2020-11-11,17.1103
2020-11-12,16.9226
2020-11-13,17.1607
2020-11-14,17.1607
2020-11-15,17.1607
2020-11-16,17.5144
2020-11-17,17.4953
2020-11-18,17.3006
2020-11-19,17.3189
2020-11-20,17.4301
2020-11-21,17.4301
2020-11-22,17.4301
2020-11-23,17.5388
2020-11-24,17.7943
2020-11-25,17.7978
2020-11-26,17.7978
2020-11-27,17.7778
2020-11-28,17.7778
2020-11-29,17.7778
2020-11-30,17.4162
2020-12-01,17.2241
2020-12-02,17.3397
2020-12-03,17.338
2020-12-04,17.3928
2020-12-05,17.3928
2020-12-06,17.3928
2020-12-07,17.192
2020-12-08,17.3928
2020-12-09,17.6387
2020-12-10,17.4823
2020-12-11,17.5283
2020-12-12,17.5283
2020-12-13,17.5283
2020-12-14,17.4466
2020-12-15,17.5857
2020-12-16,17.6491
2020-12-17,17.7569
2020-12-18,17.7369
2020-12-19,17.7369
2020-12-20,17.7369
2020-12-21,17.6709
2020-12-22,17.5944
2020-12-23,17.5257
2020-12-24,17.5718
2020-12-25,17.5718
2020-12-26,17.5718
2020-12-27,17.5718
2020-12-28,17.5883
2020-12-29,17.5136
2020-12-30,17.5362
2020-12-31,16.1463
2021-01-01,16.1463
2021-01-02,16.1463
2021-01-03,16.1463
2021-01-04,15.9111
2021-01-05,15.8877
2021-01-06,16.098
2021-01-07,15.7379
2021-01-08,15.4882
2021-01-09,15.4882
2021-01-10,15.4882
2021-01-11,15.3738
2021-01-12,15.4793
2021-01-13,15.4608
2021-01-14,15.4713
2021-01-15,15.402
2021-01-16,15.402
2021-01-17,15.402
2021-01-18,15.402
2021-01-19,15.6896
2021-01-20,15.7782
2021-01-21,15.8144
2021-01-22,15.6831
2021-01-23,15.6831
2021-01-24,15.6831
2021-01-25,15.7919
2021-01-26,16.2397
2021-01-27,17.1016
2021-01-28,16.8415
2021-01-29,16.2164
2021-01-30,16.2164
2021-01-31,16.2164
2021-02-01,16.1391
2021-02-02,16.1648
2021-02-03,16.2019
2021-02-04,16.3887
2021-02-05,16.5432
2021-02-06,16.5432
2021-02-07,16.5432
2021-02-08,16.6847
2021-02-09,16.6993
2021-02-10,16.7106
2021-02-11,16.3976
2021-02-12,16.5181
2021-02-13,16.5181
2021-02-14,16.5181
2021-02-15,16.5181
2021-02-16,16.3507
2021-02-17,16.3523
2021-02-18,16.5723
2021-02-19,16.3434
2021-02-20,16.3434
2021-02-21,16.3434
2021-02-22,16.3095
2021-02-23,16.3135
2021-02-24,16.4316
2021-02-25,16.523
2021-02-26,16.2237
2021-02-27,16.2237
2021-02-28,16.2237
2021-03-01,16.3329
2021-03-02,16.3895
2021-03-03,16.4664
2021-03-04,16.4316
2021-03-05,16.6879
2021-03-06,16.6879
2021-03-07,16.6879
2021-03-08,16.9281
2021-03-09,16.7187
2021-03-10,16.988
2021-03-11,16.9928
2021-03-12,17.0211
2021-03-13,17.0211
2021-03-14,17.0211
2021-03-15,17.3899
2021-03-16,17.1772
2021-03-17,17.2944
2021-03-18,17.5128
2021-03-19,17.3276
2021-03-20,17.3276
2021-03-21,17.3276
2021-03-22,17.3891
2021-03-23,17.2969
2021-03-24,17.4962
2021-03-25,17.6912
2021-03-26,17.8352
2021-03-27,17.8352
2021-03-28,17.8352
2021-03-29,17.9048
2021-03-30,17.8158
2021-03-31,16.7694
2021-04-01,16.7709
2021-04-02,16.7709
2021-04-03,16.7709
2021-04-04,16.7709
2021-04-05,16.9465
2021-04-06,16.9364
2021-04-07,16.9449
2021-04-08,17.0045
2021-04-09,17.1808
2021-04-10,17.1808
2021-04-11,17.1808
2021-04-12,17.1677
2021-04-13,17.0625
2021-04-14,17.0841
2021-04-15,17.1406
2021-04-16,17.2257
2021-04-17,17.2257
2021-04-18,17.2257
2021-04-19,17.2264
2021-04-20,17.204
2021-04-21,17.4035
2021-04-22,17.4051
2021-04-23,17.5056
2021-04-24,17.5056
2021-04-25,17.5056
2021-04-26,17.3069
2021-04-27,16.9063
2021-04-28,17.0275
2021-04-29,17.2689
2021-04-30,17.1211
2021-05-01,17.1211
2021-05-02,17.1211
2021-05-03,17.2348
2021-05-04,17.2944
2021-05-05,17.4538
2021-05-06,17.5288
2021-05-07,17.5799
2021-05-08,17.5799
2021-05-09,17.5799
2021-05-10,17.9095
2021-05-11,17.6302
2021-05-12,17.2549
2021-05-13,17.6062
2021-05-14,17.6813
2021-05-15,17.6813
2021-05-16,17.6813
2021-05-17,17.7377
2021-05-18,17.5768
2021-05-19,17.5435
2021-05-20,17.47
2021-05-21,17.4863
2021-05-22,17.4863
2021-05-23,17.4863
2021-05-24,17.5443
2021-05-25,17.4747
2021-05-26,17.4646
2021-05-27,17.5931
2021-05-28,17.5776
2021-05-29,17.5776
2021-05-30,17.5776
2021-05-31,17.5776
2021-06-01,17.59
2021-06-02,17.5969
2021-06-03,17.6263
2021-06-04,17.8105
2021-06-05,17.8105
2021-06-06,17.8105
2021-06-07,17.631
2021-06-08,17.6201
2021-06-09,17.5544
2021-06-10,17.5845
2021-06-11,17.5598
2021-06-12,17.5598
2021-06-13,17.5598
2021-06-14,17.4476
2021-06-15,17.3896
2021-06-16,17.1033
2021-06-17,16.9663
2021-06-18,16.6924
2021-06-19,16.6924
2021-06-20,16.6924
2021-06-21,16.9718
2021-06-22,16.9663
2021-06-23,16.7512
2021-06-24,16.8209
2021-06-25,16.9362
2021-06-26,16.9362
2021-06-27,16.9362
2021-06-28,17.0716
2021-06-29,17.0352
2021-06-30,16.6811
2021-07-01,16.7156
2021-07-02,16.7756
2021-07-03,16.7756
2021-07-04,16.7756
2021-07-05,16.7756
2021-07-06,16.5505
2021-07-07,16.7734
2021-07-08,16.654
2021-07-09,16.859
2021-07-10,16.859
2021-07-11,16.859
2021-07-12,16.7824
2021-07-13,16.7539
2021-07-14,16.9963
2021-07-15,16.9783
2021-07-16,16.7366
2021-07-17,16.7366
2021-07-18,16.7366
2021-07-19,16.6008
2021-07-20,16.8454
2021-07-21,16.8417
2021-07-22,16.7141
2021-07-23,16.8207
2021-07-24,16.8207
2021-07-25,16.8207
2021-07-26,16.9092
2021-07-27,16.7923
2021-07-28,16.6282
2021-07-29,16.6199
2021-07-30,16.6027
2021-07-31,16.6027
2021-08-01,16.6027
