,BWA US Equity
2020-08-25,11.1046
2020-08-26,11.2303
2020-08-27,11.0477
2020-08-28,11.2066
2020-08-29,11.2066
2020-08-30,11.2066
2020-08-31,11.0074
2020-09-01,11.2421
2020-09-02,11.5623
2020-09-03,11.3892
2020-09-04,11.3583
2020-09-05,11.3583
2020-09-06,11.3583
2020-09-07,11.3583
2020-09-08,11.2493
2020-09-09,11.4105
2020-09-10,11.2611
2020-09-11,11.4295
2020-09-12,11.4295
2020-09-13,11.4295
2020-09-14,11.5362
2020-09-15,11.4058
2020-09-16,10.7631
2020-09-17,10.7679
2020-09-18,10.6303
2020-09-19,10.6303
2020-09-20,10.6303
2020-09-21,10.2533
2020-09-22,10.2533
2020-09-23,10.2509
2020-09-24,10.1632
2020-09-25,10.111
2020-09-26,10.111
2020-09-27,10.111
2020-09-28,10.3956
2020-09-29,10.4003
2020-09-30,10.0964
2020-10-01,10.2844
2020-10-02,11.8574
2020-10-03,11.8574
2020-10-04,11.8574
2020-10-05,12.323
2020-10-06,12.0625
2020-10-07,12.5059
2020-10-08,12.1041
2020-10-09,11.9738
2020-10-10,11.9738
2020-10-11,11.9738
2020-10-12,11.9184
2020-10-13,11.7881
2020-10-14,11.68
2020-10-15,11.8602
2020-10-16,11.7161
2020-10-17,11.7161
2020-10-18,11.7161
2020-10-19,11.7078
2020-10-20,11.8824
2020-10-21,11.9738
2020-10-22,12.1318
2020-10-23,12.0099
2020-10-24,12.0099
2020-10-25,12.0099
2020-10-26,11.6579
2020-10-27,11.3974
2020-10-28,11.1507
2020-10-29,10.8183
2020-10-30,10.6908
2020-10-31,10.6908
2020-11-01,10.6908
2020-11-02,10.8627
2020-11-03,11.0678
2020-11-04,10.9292
2020-11-05,11.2563
2020-11-06,11.0928
2020-11-07,11.0928
2020-11-08,11.0928
2020-11-09,11.5252
2020-11-10,11.7498
2020-11-11,11.6833
2020-11-12,11.0484
2020-11-13,11.4338
2020-11-14,11.4338
2020-11-15,11.4338
2020-11-16,11.7332
2020-11-17,11.528
2020-11-18,11.6278
2020-11-19,11.4476
2020-11-20,11.406
2020-11-21,11.406
2020-11-22,11.406
2020-11-23,11.8219
2020-11-24,12.2128
2020-11-25,11.8357
2020-11-26,11.8357
2020-11-27,11.9439
2020-11-28,11.9439
2020-11-29,11.9439
2020-11-30,11.7637
2020-12-01,11.7248
2020-12-02,11.6971
2020-12-03,11.7193
2020-12-04,12.0464
2020-12-05,12.0464
2020-12-06,12.0464
2020-12-07,11.8662
2020-12-08,11.9023
2020-12-09,12.0437
2020-12-10,11.6056
2020-12-11,11.1177
2020-12-12,11.1177
2020-12-13,11.1177
2020-12-14,11.0678
2020-12-15,11.4448
2020-12-16,11.6417
2020-12-17,11.8052
2020-12-18,11.6999
2020-12-19,11.6999
2020-12-20,11.6999
2020-12-21,11.6777
2020-12-22,11.8357
2020-12-23,11.9771
2020-12-24,11.7942
2020-12-25,11.7942
2020-12-26,11.7942
2020-12-27,11.7942
2020-12-28,11.8718
2020-12-29,11.6805
2020-12-30,11.8579
2020-12-31,19.4971
2021-01-01,19.4971
2021-01-02,19.4971
2021-01-03,19.4971
2021-01-04,19.2676
2021-01-05,19.6237
2021-01-06,20.1025
2021-01-07,20.4704
2021-01-08,20.1499
2021-01-09,20.1499
2021-01-10,20.1499
2021-01-11,20.1064
2021-01-12,20.4981
2021-01-13,20.0945
2021-01-14,19.8769
2021-01-15,19.4813
2021-01-16,19.4813
2021-01-17,19.4813
2021-01-18,19.4813
2021-01-19,19.7582
2021-01-20,20.3834
2021-01-21,21.4596
2021-01-22,21.143
2021-01-23,21.143
2021-01-24,21.143
2021-01-25,21.424
2021-01-26,21.602
2021-01-27,21.9739
2021-01-28,20.9887
2021-01-29,20.8226
2021-01-30,20.8226
2021-01-31,20.8226
2021-02-01,20.8582
2021-02-02,20.5654
2021-02-03,21.1035
2021-02-04,21.1074
2021-02-05,21.2617
2021-02-06,21.2617
2021-02-07,21.2617
2021-02-08,21.3963
2021-02-09,21.1866
2021-02-10,21.4952
2021-02-11,21.1589
2021-02-12,20.8226
2021-02-13,20.8226
2021-02-14,20.8226
2021-02-15,20.8226
2021-02-16,21.5308
2021-02-17,21.8434
2021-02-18,21.2459
2021-02-19,21.4437
2021-02-20,21.4437
2021-02-21,21.4437
2021-02-22,21.4739
2021-02-23,21.5668
2021-02-24,21.9999
2021-02-25,21.6557
2021-02-26,21.6132
2021-02-27,21.6132
2021-02-28,21.6132
2021-03-01,21.7021
2021-03-02,22.085
2021-03-03,22.5105
2021-03-04,22.1972
2021-03-05,23.0984
2021-03-06,23.0984
2021-03-07,23.0984
2021-03-08,23.4348
2021-03-09,23.1254
2021-03-10,23.5083
2021-03-11,23.2183
2021-03-12,23.6746
2021-03-13,23.6746
2021-03-14,23.6746
2021-03-15,23.7597
2021-03-16,23.0713
2021-03-17,23.4155
2021-03-18,22.8354
2021-03-19,23.168
2021-03-20,23.168
2021-03-21,23.168
2021-03-22,22.8238
2021-03-23,21.3424
2021-03-24,21.033
2021-03-25,21.1104
2021-03-26,21.8994
2021-03-27,21.8994
2021-03-28,21.8994
2021-03-29,21.7292
2021-03-30,22.2049
2021-03-31,16.2479
2021-04-01,16.2305
2021-04-02,16.2305
2021-04-03,16.2305
2021-04-04,16.2305
2021-04-05,16.3728
2021-04-06,16.3379
2021-04-07,15.9981
2021-04-08,16.1433
2021-04-09,16.2827
2021-04-10,16.2827
2021-04-11,16.2827
2021-04-12,16.6022
2021-04-13,16.486
2021-04-14,16.5674
2021-04-15,16.6893
2021-04-16,17.003
2021-04-17,17.003
2021-04-18,17.003
2021-04-19,17.1076
2021-04-20,16.7039
2021-04-21,17.3457
2021-04-22,17.1714
2021-04-23,17.5868
2021-04-24,17.5868
2021-04-25,17.5868
2021-04-26,17.4474
2021-04-27,17.337
2021-04-28,17.4386
2021-04-29,17.1192
2021-04-30,16.8926
2021-05-01,16.8926
2021-05-02,16.8926
2021-05-03,17.0901
2021-05-04,16.8694
2021-05-05,17.6817
2021-05-06,18.0052
2021-05-07,18.4627
2021-05-08,18.4627
2021-05-09,18.4627
2021-05-10,18.2092
2021-05-11,17.8361
2021-05-12,17.2824
2021-05-13,17.5738
2021-05-14,17.772
2021-05-15,17.772
2021-05-16,17.772
2021-05-17,17.8361
2021-05-18,17.6846
2021-05-19,17.3611
2021-05-20,17.2795
2021-05-21,17.5039
2021-05-22,17.5039
2021-05-23,17.5039
2021-05-24,17.399
2021-05-25,17.297
2021-05-26,17.5068
2021-05-27,17.7691
2021-05-28,17.7312
2021-05-29,17.7312
2021-05-30,17.7312
2021-05-31,17.7312
2021-06-01,18.2179
2021-06-02,18.3491
2021-06-03,18.6084
2021-06-04,18.6521
2021-06-05,18.6521
2021-06-06,18.6521
2021-06-07,18.2616
2021-06-08,18.4015
2021-06-09,18.2645
2021-06-10,18.011
2021-06-11,18.2033
2021-06-12,18.2033
2021-06-13,18.2033
2021-06-14,17.9294
2021-06-15,17.9644
2021-06-16,17.7574
2021-06-17,17.195
2021-06-18,16.65
2021-06-19,16.65
2021-06-20,16.65
2021-06-21,16.9181
2021-06-22,16.9152
2021-06-23,16.9006
2021-06-24,16.9968
2021-06-25,17.0493
2021-06-26,17.0493
2021-06-27,17.0493
2021-06-28,16.7491
2021-06-29,16.8773
2021-06-30,12.1283
2021-07-01,12.2444
2021-07-02,12.2444
2021-07-03,12.2444
2021-07-04,12.2444
2021-07-05,12.2444
2021-07-06,11.9865
2021-07-07,11.8388
2021-07-08,11.7502
2021-07-09,11.9825
2021-07-10,11.9825
2021-07-11,11.9825
2021-07-12,12.0455
2021-07-13,11.9353
2021-07-14,11.9116
2021-07-15,11.89
2021-07-16,11.6222
2021-07-17,11.6222
2021-07-18,11.6222
2021-07-19,11.4686
2021-07-20,11.8309
2021-07-21,11.9195
2021-07-22,11.7206
2021-07-23,11.825
2021-07-24,11.825
2021-07-25,11.825
2021-07-26,11.9727
2021-07-27,11.8979
2021-07-28,11.9628
2021-07-29,12.1991
2021-07-30,12.2149
2021-07-31,12.2149
2021-08-01,12.2149
2021-08-02,12.1775
2021-08-03,12.2897
2021-08-04,11.7755
2021-08-05,11.7283
2021-08-06,11.5353
2021-08-07,11.5353
2021-08-08,11.5353
2021-08-09,11.5432
2021-08-10,11.5983
2021-08-11,11.7834
2021-08-12,11.6791
2021-08-13,11.5491
2021-08-14,11.5491
2021-08-15,11.5491
2021-08-16,11.5472
2021-08-17,11.368
2021-08-18,11.2833
2021-08-19,10.9408
2021-08-20,10.9329
2021-08-21,10.9329
2021-08-22,10.9329
2021-08-23,10.9172
2021-08-24,11.1121
2021-08-25,11.0628
2021-08-26,10.9428
2021-08-27,11.1318
2021-08-28,11.1318
2021-08-29,11.1318
2021-08-30,11.0274
2021-08-31,10.9723
2021-09-01,10.9487
2021-09-02,11.1121
2021-09-03,11.0628
2021-09-04,11.0628
2021-09-05,11.0628
2021-09-06,11.0628
2021-09-07,11.0471
2021-09-08,10.8857
2021-09-09,10.9565
2021-09-10,11.0077
2021-09-11,11.0077
2021-09-12,11.0077
2021-09-13,11.1869
2021-09-14,11.0254
2021-09-15,11.179
2021-09-16,11.0806
2021-09-17,11.0195
2021-09-18,11.0195
2021-09-19,11.0195
2021-09-20,10.7124
2021-09-21,10.7518
2021-09-22,10.9762
2021-09-23,11.1849
2021-09-24,11.1987
2021-09-25,11.1987
2021-09-26,11.1987
2021-09-27,11.2873
2021-09-28,11.3759
2021-09-29,11.2794
2021-09-30,11.3769
2021-10-01,11.5021
2021-10-02,11.5021
2021-10-03,11.5021
2021-10-04,11.6476
2021-10-05,11.8051
2021-10-06,11.5061
2021-10-07,11.896
2021-10-08,12.0718
2021-10-09,12.0718
2021-10-10,12.0718
2021-10-11,12.1263
2021-10-12,12.2071
2021-10-13,12.1667
2021-10-14,12.3425
2021-10-15,12.1486
2021-10-16,12.1486
2021-10-17,12.1486
2021-10-18,11.9203
2021-10-19,11.9041
2021-10-20,11.896
2021-10-21,11.9364
2021-10-22,11.7546
2021-10-23,11.7546
2021-10-24,11.7546
2021-10-25,11.8375
2021-10-26,11.5445
2021-10-27,11.6799
2021-10-28,11.8051
2021-10-29,11.7526
2021-10-30,11.7526
2021-10-31,11.7526
2021-11-01,12.0597
2021-11-02,12.1526
2021-11-03,12.1438
2021-11-04,12.0549
2021-11-05,12.1215
2021-11-06,12.1215
2021-11-07,12.1215
2021-11-08,12.0953
2021-11-09,12.0407
2021-11-10,12.1438
2021-11-11,12.1902
2021-11-12,12.3942
2021-11-13,12.3942
2021-11-14,12.3942
2021-11-15,12.4548
2021-11-16,12.4245
2021-11-17,12.3377
2021-11-18,12.0993
2021-11-19,11.9115
2021-11-20,11.9115
2021-11-21,11.9115
2021-11-22,12.2185
2021-11-23,12.2912
2021-11-24,12.1417
2021-11-25,12.1417
2021-11-26,11.7842
2021-11-27,11.7842
2021-11-28,11.7842
2021-11-29,11.6994
2021-11-30,11.3903
2021-12-01,11.3014
2021-12-02,11.5903
2021-12-03,11.5115
2021-12-04,11.5115
2021-12-05,11.5115
2021-12-06,11.6953
2021-12-07,11.8488
2021-12-08,11.9801
2021-12-09,11.964
2021-12-10,11.9539
2021-12-11,11.9539
2021-12-12,11.9539
2021-12-13,11.6994
2021-12-14,11.6569
2021-12-15,11.6691
2021-12-16,11.5802
2021-12-17,11.461
2021-12-18,11.461
2021-12-19,11.461
2021-12-20,11.1237
2021-12-21,11.3075
2021-12-22,11.3418
2021-12-23,11.459
2021-12-24,11.459
2021-12-25,11.459
2021-12-26,11.459
2021-12-27,11.6044
2021-12-28,11.7196
2021-12-29,11.7115
2021-12-30,11.7014
2021-12-31,11.9023
2022-01-01,11.9023
2022-01-02,11.9023
2022-01-03,11.9252
2022-01-04,12.498
2022-01-05,12.5064
2022-01-06,12.6584
2022-01-07,12.6418
2022-01-08,12.6418
2022-01-09,12.6418
2022-01-10,12.523
2022-01-11,12.6334
2022-01-12,12.4793
2022-01-13,12.9042
2022-01-14,12.8793
2022-01-15,12.8793
2022-01-16,12.8793
2022-01-17,12.8793
2022-01-18,12.7126
2022-01-19,12.196
2022-01-20,11.7793
2022-01-21,11.6627
2022-01-22,11.6627
2022-01-23,11.6627
2022-01-24,11.7148
2022-01-25,11.7127
2022-01-26,11.7252
2022-01-27,11.5731
2022-01-28,11.4002
2022-01-29,11.4002
2022-01-30,11.4002
2022-01-31,11.6481
2022-02-01,11.8273
2022-02-02,11.9106
2022-02-03,11.7252
2022-02-04,11.5356
2022-02-05,11.5356
2022-02-06,11.5356
2022-02-07,11.5502
2022-02-08,11.7835
2022-02-09,11.8293
2022-02-10,11.6919
2022-02-11,11.5523
2022-02-12,11.5523
2022-02-13,11.5523
2022-02-14,11.421
2022-02-15,11.9539
2022-02-16,11.9414
2022-02-17,11.8163
2022-02-18,11.5953
2022-02-19,11.5953
2022-02-20,11.5953
2022-02-21,11.5953
2022-02-22,11.3493
2022-02-23,11.3347
2022-02-24,11.0824
2022-02-25,11.3013
2022-02-26,11.3013
2022-02-27,11.3013
2022-02-28,11.0636
2022-03-01,10.6091
2022-03-02,10.9823
2022-03-03,10.8343
2022-03-04,10.213
2022-03-05,10.213
2022-03-06,10.213
2022-03-07,9.8148
2022-03-08,10.0441
2022-03-09,10.3235
2022-03-10,10.1692
2022-03-11,10.0858
2022-03-12,10.0858
2022-03-13,10.0858
2022-03-14,10.0837
2022-03-15,10.1275
2022-03-16,10.4694
2022-03-17,10.509
2022-03-18,10.5653
2022-03-19,10.5653
2022-03-20,10.5653
2022-03-21,10.5153
2022-03-22,10.5299
2022-03-23,10.3131
2022-03-24,10.5445
2022-03-25,10.5591
2022-03-26,10.5591
2022-03-27,10.5591
2022-03-28,10.555
2022-03-29,10.8698
2022-03-30,10.7739
2022-03-31,11.1827
2022-04-01,11.283
2022-04-02,11.283
2022-04-03,11.283
2022-04-04,11.1587
2022-04-05,10.7856
2022-04-06,10.8162
2022-04-07,10.6242
2022-04-08,10.6395
2022-04-09,10.6395
2022-04-10,10.6395
2022-04-11,10.7355
2022-04-12,10.7813
2022-04-13,10.7355
2022-04-14,10.7704
2022-04-15,10.7704
2022-04-16,10.7704
2022-04-17,10.7704
2022-04-18,10.8315
2022-04-19,11.0802
2022-04-20,11.1521
2022-04-21,11.1478
2022-04-22,10.9558
2022-04-23,10.9558
2022-04-24,10.9558
2022-04-25,10.9253
2022-04-26,10.5348
2022-04-27,10.7071
2022-04-28,10.8969
2022-04-29,10.7311
2022-04-30,10.7311
2022-05-01,10.7311
2022-05-02,10.8402
2022-05-03,11.0169
2022-05-04,11.186
2022-05-05,10.9944
2022-05-06,10.9661
2022-05-07,10.9661
2022-05-08,10.9661
2022-05-09,10.7156
2022-05-10,10.6023
2022-05-11,10.5457
2022-05-12,10.6829
2022-05-13,11.0597
2022-05-14,11.0597
2022-05-15,11.0597
2022-05-16,10.8528
2022-05-17,11.2906
2022-05-18,11.0488
2022-05-19,11.1599
2022-05-20,11.0053
2022-05-21,11.0053
2022-05-22,11.0053
2022-05-23,11.0161
2022-05-24,10.8528
2022-05-25,11.0771
2022-05-26,11.2753
2022-05-27,11.3494
2022-05-28,11.3494
2022-05-29,11.3494
2022-05-30,11.3494
2022-05-31,11.4779
2022-06-01,11.4343
2022-06-02,11.4583
2022-06-03,11.2557
2022-06-04,11.2557
2022-06-05,11.2557
2022-06-06,11.4256
2022-06-07,11.3712
2022-06-08,11.3407
2022-06-09,11.2274
2022-06-10,10.8637
2022-06-11,10.8637
2022-06-12,10.8637
2022-06-13,10.378
2022-06-14,10.3323
2022-06-15,10.4891
2022-06-16,9.8727
2022-06-17,10.0295
2022-06-18,10.0295
2022-06-19,10.0295
2022-06-20,10.0295
2022-06-21,10.4063
2022-06-22,10.3954
2022-06-23,10.28
2022-06-24,10.4695
2022-06-25,10.4695
2022-06-26,10.4695
2022-06-27,10.4804
2022-06-28,10.5479
2022-06-29,10.3475
2022-06-30,10.4489
2022-07-01,10.6079
2022-07-02,10.6079
2022-07-03,10.6079
2022-07-04,10.6079
2022-07-05,10.5284
2022-07-06,10.324
2022-07-07,10.7419
2022-07-08,10.6942
2022-07-09,10.6942
2022-07-10,10.6942
2022-07-11,10.5761
2022-07-12,10.7078
2022-07-13,10.5034
2022-07-14,10.374
2022-07-15,10.5125
2022-07-16,10.5125
2022-07-17,10.5125
2022-07-18,10.6283
2022-07-19,10.9871
2022-07-20,11.087
2022-07-21,11.1302
2022-07-22,11.1393
2022-07-23,11.1393
2022-07-24,11.1393
2022-07-25,11.196
2022-07-26,11.1506
2022-07-27,11.3255
2022-07-28,11.5889
2022-07-29,11.6048
2022-07-30,11.6048
2022-07-31,11.6048
2022-08-01,11.6479
2022-08-02,11.6275
2022-08-03,11.7405
2022-08-04,11.4823
2022-08-05,11.3723
2022-08-06,11.3723
2022-08-07,11.3723
2022-08-08,11.498
2022-08-09,11.415
2022-08-10,11.6597
2022-08-11,11.7944
2022-08-12,11.855
2022-08-13,11.855
2022-08-14,11.855
2022-08-15,11.7831
2022-08-16,11.7944
2022-08-17,11.525
2022-08-18,11.7405
2022-08-19,11.6103
2022-08-20,11.6103
2022-08-21,11.6103
2022-08-22,11.1074
2022-08-23,11.2084
2022-08-24,11.2982
2022-08-25,11.599
2022-08-26,11.3948
2022-08-27,11.3948
2022-08-28,11.3948
2022-08-29,11.4464
2022-08-30,11.4599
2022-08-31,11.3342
2022-09-01,11.2601
2022-09-02,11.1815
2022-09-03,11.1815
2022-09-04,11.1815
2022-09-05,11.1815
2022-09-06,11.0513
2022-09-07,11.3589
2022-09-08,11.3364
2022-09-09,11.5295
2022-09-10,11.5295
2022-09-11,11.5295
2022-09-12,11.7225
2022-09-13,11.388
2022-09-14,11.195
2022-09-15,11.195
2022-09-16,11.1725
2022-09-17,11.1725
2022-09-18,11.1725
2022-09-19,11.3431
2022-09-20,11.0468
2022-09-21,10.7707
2022-09-22,10.6629
2022-09-23,10.2723
2022-09-24,10.2723
2022-09-25,10.2723
2022-09-26,10.3577
2022-09-27,10.3419
2022-09-28,10.4003
2022-09-29,9.9805
2022-09-30,9.8524
2022-10-01,9.8524
2022-10-02,9.8524
2022-10-03,10.152
2022-10-04,10.5027
2022-10-05,10.4672
2022-10-06,10.4828
2022-10-07,10.3407
2022-10-08,10.3407
2022-10-09,10.3407
2022-10-10,10.1742
2022-10-11,10.192
2022-10-12,10.1232
2022-10-13,10.3118
2022-10-14,10.2541
2022-10-15,10.2541
2022-10-16,10.2541
2022-10-17,10.3851
2022-10-18,10.4539
2022-10-19,10.445
2022-10-20,10.3784
2022-10-21,10.5493
2022-10-22,10.5493
2022-10-23,10.5493
2022-10-24,10.7935
2022-10-25,10.9533
2022-10-26,10.9933
2022-10-27,10.9762
2022-10-28,11.1869
2022-10-29,11.1869
2022-10-30,11.1869
2022-10-31,11.1188
2022-11-01,11.0706
2022-11-02,10.8577
2022-11-03,10.8467
2022-11-04,11.2088
2022-11-05,11.2088
2022-11-06,11.2088
2022-11-07,11.279
2022-11-08,11.4085
2022-11-09,11.3405
2022-11-10,11.8737
2022-11-11,12.1919
2022-11-12,12.1919
2022-11-13,12.1919
2022-11-14,12.0954
2022-11-15,12.2731
2022-11-16,11.9791
2022-11-17,11.9506
2022-11-18,12.1481
2022-11-19,12.1481
2022-11-20,12.1481
2022-11-21,12.0778
2022-11-22,12.2051
2022-11-23,12.102
2022-11-24,12.102
2022-11-25,12.1524
2022-11-26,12.1524
2022-11-27,12.1524
2022-11-28,11.9966
2022-11-29,12.0844
2022-11-30,12.2117
2022-12-01,12.2446
2022-12-02,12.249
2022-12-03,12.249
2022-12-04,12.249
2022-12-05,12.08
2022-12-06,11.8803
2022-12-07,11.9198
2022-12-08,11.8233
2022-12-09,11.764
2022-12-10,11.764
2022-12-11,11.764
2022-12-12,11.9549
2022-12-13,11.9067
2022-12-14,11.9154
2022-12-15,11.8342
2022-12-16,11.7794
2022-12-17,11.7794
2022-12-18,11.7794
2022-12-19,11.7969
2022-12-20,11.7618
2022-12-21,11.8803
2022-12-22,11.5665
2022-12-23,11.6609
2022-12-24,11.6609
2022-12-25,11.6609
2022-12-26,11.6609
2022-12-27,11.6938
2022-12-28,11.5468
2022-12-29,11.7618
2022-12-30,11.1583
2022-12-31,11.1583
2023-01-01,11.1583
2023-01-02,11.1583
2023-01-03,11.1624
2023-01-04,11.4343
2023-01-05,11.5134
2023-01-06,11.7467
2023-01-07,11.7467
2023-01-08,11.7467
2023-01-09,11.5621
2023-01-10,11.7305
2023-01-11,11.8299
2023-01-12,12.043
2023-01-13,12.0166
2023-01-14,12.0166
2023-01-15,12.0166
2023-01-16,12.0166
2023-01-17,11.9699
2023-01-18,11.8888
2023-01-19,11.8583
2023-01-20,12.0004
2023-01-21,12.0004
2023-01-22,12.0004
2023-01-23,12.0552
2023-01-24,12.0247
2023-01-25,12.0917
2023-01-26,12.1871
2023-01-27,12.3189
2023-01-28,12.3189
2023-01-29,12.3189
2023-01-30,12.3575
2023-01-31,12.5847
2023-02-01,12.7877
2023-02-02,12.7734
2023-02-03,12.6517
2023-02-04,12.6517
2023-02-05,12.6517
2023-02-06,12.5218
2023-02-07,12.5908
2023-02-08,12.4529
2023-02-09,12.7197
2023-02-10,12.7948
2023-02-11,12.7948
2023-02-12,12.7948
2023-02-13,13.1072
2023-02-14,13.0728
2023-02-15,13.0099
2023-02-16,13.2006
2023-02-17,13.2229
2023-02-18,13.2229
2023-02-19,13.2229
2023-02-20,13.2229
2023-02-21,12.9997
2023-02-22,13.0829
2023-02-23,13.089
2023-02-24,13.091
2023-02-25,13.091
2023-02-26,13.091
2023-02-27,13.1681
2023-02-28,13.1925
2023-03-01,13.2675
2023-03-02,13.2777
2023-03-03,13.3
2023-03-04,13.3
2023-03-05,13.3
2023-03-06,13.1904
2023-03-07,13.1316
2023-03-08,13.1499
2023-03-09,12.9287
2023-03-10,12.7177
2023-03-11,12.7177
2023-03-12,12.7177
2023-03-13,12.3971
2023-03-14,12.6508
2023-03-15,12.3058
2023-03-16,12.5148
2023-03-17,12.2714
2023-03-18,12.2714
