,NMIH US Equity
2020-08-05,4.9629
2020-08-06,4.8712
2020-08-07,5.0248
2020-08-08,5.0248
2020-08-09,5.0248
2020-08-10,5.291
2020-08-11,5.465
2020-08-12,5.3729
2020-08-13,5.1715
2020-08-14,5.2961
2020-08-15,5.2961
2020-08-16,5.2961
2020-08-17,5.2193
2020-08-18,5.0965
2020-08-19,4.9736
2020-08-20,5.0009
2020-08-21,4.9975
2020-08-22,4.9975
2020-08-23,4.9975
2020-08-24,5.2262
2020-08-25,5.2569
2020-08-26,5.1477
2020-08-27,5.2876
2020-08-28,5.4104
2020-08-29,5.4104
2020-08-30,5.4104
2020-08-31,5.3593
2020-09-01,5.407
2020-09-02,5.6255
2020-09-03,5.6732
2020-09-04,5.7142
2020-09-05,5.7142
2020-09-06,5.7142
2020-09-07,5.7142
2020-09-08,5.4514
2020-09-09,5.7074
2020-09-10,5.6562
2020-09-11,5.9087
2020-09-12,5.9087
2020-09-13,5.9087
2020-09-14,5.9326
2020-09-15,5.9224
2020-09-16,6.0145
2020-09-17,5.8336
2020-09-18,5.7244
2020-09-19,5.7244
2020-09-20,5.7244
2020-09-21,5.1989
2020-09-22,5.3456
2020-09-23,5.1067
2020-09-24,5.1204
2020-09-25,5.3285
2020-09-26,5.3285
2020-09-27,5.3285
2020-09-28,5.5811
2020-09-29,5.4924
2020-09-30,7.1557
2020-10-01,7.447
2020-10-02,7.8094
2020-10-03,7.8094
2020-10-04,7.8094
2020-10-05,8.2108
2020-10-06,8.4736
2020-10-07,8.7898
2020-10-08,8.9923
2020-10-09,8.9141
2020-10-10,8.9141
2020-10-11,8.9141
2020-10-12,9.0278
2020-10-13,8.8005
2020-10-14,8.6442
2020-10-15,9.042
2020-10-16,8.9923
2020-10-17,8.9923
2020-10-18,8.9923
2020-10-19,9.042
2020-10-20,9.2587
2020-10-21,9.1628
2020-10-22,9.3333
2020-10-23,9.5358
2020-10-24,9.5358
2020-10-25,9.5358
2020-10-26,9.042
2020-10-27,8.637
2020-10-28,8.2996
2020-10-29,8.5092
2020-10-30,8.4665
2020-10-31,8.4665
2020-11-01,8.4665
2020-11-02,8.5838
2020-11-03,8.8147
2020-11-04,8.9354
2020-11-05,8.9291
2020-11-06,8.652
2020-11-07,8.652
2020-11-08,8.652
2020-11-09,8.9931
2020-11-10,9.1778
2020-11-11,9.0925
2020-11-12,8.7728
2020-11-13,8.922
2020-11-14,8.922
2020-11-15,8.922
2020-11-16,9.1991
2020-11-17,9.2311
2020-11-18,8.9718
2020-11-19,8.9575
2020-11-20,8.9043
2020-11-21,8.9043
2020-11-22,8.9043
2020-11-23,8.8758
2020-11-24,9.1636
2020-11-25,9.0712
2020-11-26,9.0712
2020-11-27,8.9327
2020-11-28,8.9327
2020-11-29,8.9327
2020-11-30,8.6165
2020-12-01,8.8083
2020-12-02,8.9469
2020-12-03,8.8652
2020-12-04,9.1814
2020-12-05,9.1814
2020-12-06,9.1814
2020-12-07,9.0854
2020-12-08,9.2311
2020-12-09,9.4904
2020-12-10,9.526
2020-12-11,9.1849
2020-12-12,9.1849
2020-12-13,9.1849
2020-12-14,9.0925
2020-12-15,9.359
2020-12-16,9.5579
2020-12-17,9.2524
2020-12-18,9.1885
2020-12-19,9.1885
2020-12-20,9.1885
2020-12-21,9.0819
2020-12-22,8.9931
2020-12-23,8.9682
2020-12-24,8.9149
2020-12-25,8.9149
2020-12-26,8.9149
2020-12-27,8.9149
2020-12-28,8.9185
2020-12-29,8.7657
2020-12-30,8.8048
2020-12-31,9.0421
2021-01-01,9.0421
2021-01-02,9.0421
2021-01-03,9.0421
2021-01-04,8.8147
2021-01-05,9.0421
2021-01-06,9.3674
2021-01-07,9.6157
2021-01-08,9.5597
2021-01-09,9.5597
2021-01-10,9.5597
2021-01-11,9.6192
2021-01-12,9.5877
2021-01-13,9.4338
2021-01-14,9.7101
2021-01-15,9.6297
2021-01-16,9.6297
2021-01-17,9.6297
2021-01-18,9.6297
2021-01-19,9.6716
2021-01-20,9.6961
2021-01-21,9.2659
2021-01-22,9.0141
2021-01-23,9.0141
2021-01-24,9.0141
2021-01-25,9.098
2021-01-26,8.9092
2021-01-27,8.4895
2021-01-28,8.8672
2021-01-29,8.5384
2021-01-30,8.5384
2021-01-31,8.5384
2021-02-01,8.7168
2021-02-02,8.7343
2021-02-03,8.5979
2021-02-04,8.8497
2021-02-05,8.8252
2021-02-06,8.8252
2021-02-07,8.8252
2021-02-08,9.0771
2021-02-09,9.1505
2021-02-10,9.1645
2021-02-11,9.0771
2021-02-12,8.9476
2021-02-13,8.9476
2021-02-14,8.9476
2021-02-15,8.9476
2021-02-16,9.3044
2021-02-17,9.0771
2021-02-18,9.0115
2021-02-19,9.3346
2021-02-20,9.3346
2021-02-21,9.3346
2021-02-22,9.2328
2021-02-23,9.3522
2021-02-24,9.6015
2021-02-25,9.1511
2021-02-26,9.1616
2021-02-27,9.1616
2021-02-28,9.1616
2021-03-01,9.6119
2021-03-02,9.5134
2021-03-03,9.538
2021-03-04,9.2883
2021-03-05,9.225
2021-03-06,9.225
2021-03-07,9.225
2021-03-08,9.2426
2021-03-09,9.5556
2021-03-10,9.7069
2021-03-11,9.7878
2021-03-12,9.7878
2021-03-13,9.7878
2021-03-14,9.7878
2021-03-15,9.8757
2021-03-16,9.7667
2021-03-17,9.9989
2021-03-18,9.8793
2021-03-19,9.6154
2021-03-20,9.6154
2021-03-21,9.6154
2021-03-22,9.4325
2021-03-23,9.2039
2021-03-24,9.042
2021-03-25,9.1722
2021-03-26,9.225
2021-03-27,9.225
2021-03-28,9.225
2021-03-29,9.1018
2021-03-30,9.2707
2021-03-31,9.4494
2021-04-01,9.2948
2021-04-02,9.2948
2021-04-03,9.2948
2021-04-04,9.2948
2021-04-05,9.4107
2021-04-06,9.1262
2021-04-07,9.3124
2021-04-08,9.4002
2021-04-09,9.2843
2021-04-10,9.2843
2021-04-11,9.2843
2021-04-12,9.1297
2021-04-13,9.077
2021-04-14,9.1367
2021-04-15,9.1859
2021-04-16,9.2702
2021-04-17,9.2702
2021-04-18,9.2702
2021-04-19,9.351
2021-04-20,9.1964
2021-04-21,9.3545
2021-04-22,9.4002
2021-04-23,9.5688
2021-04-24,9.5688
2021-04-25,9.5688
2021-04-26,9.7655
2021-04-27,9.8463
2021-04-28,10.0852
2021-04-29,10.3136
2021-04-30,10.2222
2021-05-01,10.2222
2021-05-02,10.2222
2021-05-03,10.296
2021-05-04,10.4986
2021-05-05,9.9701
2021-05-06,9.4276
2021-05-07,9.565
2021-05-08,9.565
2021-05-09,9.565
2021-05-10,9.3923
2021-05-11,9.269
2021-05-12,9.0647
2021-05-13,9.3853
2021-05-14,9.4769
2021-05-15,9.4769
2021-05-16,9.4769
2021-05-17,9.4663
2021-05-18,9.6848
2021-05-19,9.4698
2021-05-20,9.5438
2021-05-21,9.5509
2021-05-22,9.5509
2021-05-23,9.5509
2021-05-24,9.4839
2021-05-25,9.3853
2021-05-26,9.6671
2021-05-27,9.7306
2021-05-28,9.6671
2021-05-29,9.6671
2021-05-30,9.6671
2021-05-31,9.6671
2021-06-01,9.6566
2021-06-02,9.572
2021-06-03,9.5438
2021-06-04,9.6178
2021-06-05,9.6178
2021-06-06,9.6178
2021-06-07,9.8468
2021-06-08,10.03
2021-06-09,10.0899
2021-06-10,9.7024
2021-06-11,9.8785
2021-06-12,9.8785
2021-06-13,9.8785
2021-06-14,9.9596
2021-06-15,10.1322
2021-06-16,9.8891
2021-06-17,9.6918
2021-06-18,9.1316
2021-06-19,9.1316
2021-06-20,9.1316
2021-06-21,9.2373
2021-06-22,9.2549
2021-06-23,9.2127
2021-06-24,9.269
2021-06-25,9.3994
2021-06-26,9.3994
2021-06-27,9.3994
2021-06-28,9.3113
2021-06-29,9.0506
2021-06-30,7.9336
2021-07-01,8.006
2021-07-02,7.8823
2021-07-03,7.8823
2021-07-04,7.8823
2021-07-05,7.8823
2021-07-06,7.7254
2021-07-07,7.6469
2021-07-08,7.496
2021-07-09,7.6348
2021-07-10,7.6348
2021-07-11,7.6348
2021-07-12,7.7374
2021-07-13,7.6077
2021-07-14,7.5714
2021-07-15,7.6016
2021-07-16,7.6107
2021-07-17,7.6107
2021-07-18,7.6107
2021-07-19,7.2696
2021-07-20,7.3783
2021-07-21,7.5684
2021-07-22,7.4266
2021-07-23,7.499
2021-07-24,7.499
2021-07-25,7.499
2021-07-26,7.6529
2021-07-27,7.5232
2021-07-28,7.6499
2021-07-29,7.7616
2021-07-30,7.7948
2021-07-31,7.7948
2021-08-01,7.7948
2021-08-02,7.7405
2021-08-03,7.7586
2021-08-04,7.6128
2021-08-05,7.7548
2021-08-06,7.9573
2021-08-07,7.9573
2021-08-08,7.9573
2021-08-09,7.8485
2021-08-10,8.0026
2021-08-11,8.0721
2021-08-12,8.0419
2021-08-13,8.0177
2021-08-14,8.0177
2021-08-15,8.0177
2021-08-16,7.9905
2021-08-17,7.8274
2021-08-18,8.0147
2021-08-19,7.779
2021-08-20,7.915
2021-08-21,7.915
2021-08-22,7.915
2021-08-23,7.8546
2021-08-24,7.9331
2021-08-25,7.9815
2021-08-26,7.8697
2021-08-27,8.0933
2021-08-28,8.0933
2021-08-29,8.0933
2021-08-30,7.9362
2021-08-31,7.9694
2021-09-01,7.9452
2021-09-02,7.9543
2021-09-03,7.8334
2021-09-04,7.8334
2021-09-05,7.8334
2021-09-06,7.8334
2021-09-07,7.8757
2021-09-08,7.8213
2021-09-09,7.8697
2021-09-10,7.7216
2021-09-11,7.7216
2021-09-12,7.7216
2021-09-13,7.8818
2021-09-14,7.7488
2021-09-15,7.8183
2021-09-16,7.776
2021-09-17,7.7458
2021-09-18,7.7458
2021-09-19,7.7458
2021-09-20,7.6914
2021-09-21,7.6642
2021-09-22,7.7397
2021-09-23,7.8062
2021-09-24,7.7337
2021-09-25,7.7337
2021-09-26,7.7337
2021-09-27,7.9724
2021-09-28,7.9754
2021-09-29,8.0631
2021-09-30,7.1665
2021-10-01,7.4111
2021-10-02,7.4111
2021-10-03,7.4111
2021-10-04,7.227
2021-10-05,7.2407
2021-10-06,7.1473
2021-10-07,7.2874
2021-10-08,7.3617
2021-10-09,7.3617
2021-10-10,7.3617
2021-10-11,7.5403
2021-10-12,7.631
2021-10-13,7.642
2021-10-14,7.8151
2021-10-15,7.7272
2021-10-16,7.7272
2021-10-17,7.7272
2021-10-18,7.642
2021-10-19,7.6227
2021-10-20,7.7382
2021-10-21,7.7876
2021-10-22,7.7217
2021-10-23,7.7217
2021-10-24,7.7217
2021-10-25,7.7547
2021-10-26,7.6585
2021-10-27,7.5953
2021-10-28,7.6008
2021-10-29,7.6255
2021-10-30,7.6255
2021-10-31,7.6255
2021-11-01,7.8838
2021-11-02,7.8811
2021-11-03,7.238
2021-11-04,6.9603
2021-11-05,7.1912
2021-11-06,7.1912
2021-11-07,7.1912
2021-11-08,7.194
2021-11-09,6.963
2021-11-10,6.9273
2021-11-11,6.8888
2021-11-12,6.8475
2021-11-13,6.8475
2021-11-14,6.8475
2021-11-15,6.8668
2021-11-16,6.9135
2021-11-17,6.8228
2021-11-18,6.6551
2021-11-19,6.6936
2021-11-20,6.6936
2021-11-21,6.6936
2021-11-22,6.7032
2021-11-23,6.8943
2021-11-24,6.864
2021-11-25,6.864
2021-11-26,6.5863
2021-11-27,6.5863
2021-11-28,6.5863
2021-11-29,6.4598
2021-11-30,6.3416
2021-12-01,6.3031
2021-12-02,6.5231
2021-12-03,6.4378
2021-12-04,6.4378
2021-12-05,6.4378
2021-12-06,6.5726
2021-12-07,6.7046
2021-12-08,6.754
2021-12-09,6.6441
2021-12-10,6.5918
2021-12-11,6.5918
2021-12-12,6.5918
2021-12-13,6.6523
2021-12-14,6.6606
2021-12-15,6.7238
2021-12-16,6.6276
2021-12-17,6.6468
2021-12-18,6.6468
2021-12-19,6.6468
2021-12-20,6.4461
2021-12-21,6.6303
2021-12-22,6.7815
2021-12-23,6.82
2021-12-24,6.82
2021-12-25,6.82
2021-12-26,6.82
2021-12-27,6.8833
2021-12-28,6.9135
2021-12-29,6.9355
2021-12-30,6.963
2021-12-31,6.6797
2022-01-01,6.6797
2022-01-02,6.6797
2022-01-03,6.7658
2022-01-04,6.9068
2022-01-05,6.8207
2022-01-06,7.0242
2022-01-07,7.2252
2022-01-08,7.2252
2022-01-09,7.2252
2022-01-10,7.5593
2022-01-11,7.5489
2022-01-12,7.5202
2022-01-13,7.5384
2022-01-14,7.648
2022-01-15,7.648
2022-01-16,7.648
2022-01-17,7.648
2022-01-18,7.6011
2022-01-19,7.4836
2022-01-20,7.4079
2022-01-21,7.1808
2022-01-22,7.1808
2022-01-23,7.1808
2022-01-24,7.3114
2022-01-25,7.4236
2022-01-26,7.3166
2022-01-27,7.1339
2022-01-28,7.3244
2022-01-29,7.3244
2022-01-30,7.3244
2022-01-31,7.434
2022-02-01,7.7055
2022-02-02,7.4706
2022-02-03,7.4288
2022-02-04,7.5202
2022-02-05,7.5202
2022-02-06,7.5202
2022-02-07,7.6219
2022-02-08,7.9169
2022-02-09,7.7185
2022-02-10,7.6663
2022-02-11,7.7551
2022-02-12,7.7551
2022-02-13,7.7551
2022-02-14,7.5802
2022-02-15,7.7942
2022-02-16,7.7808
2022-02-17,7.3967
2022-02-18,7.3105
2022-02-19,7.3105
2022-02-20,7.3105
2022-02-21,7.3105
2022-02-22,7.1824
2022-02-23,7.0988
2022-02-24,6.9185
2022-02-25,7.0753
2022-02-26,7.0753
2022-02-27,7.0753
2022-02-28,7.023
2022-03-01,6.7095
2022-03-02,6.9342
2022-03-03,6.9133
2022-03-04,6.6886
2022-03-05,6.6886
2022-03-06,6.6886
2022-03-07,6.2862
2022-03-08,6.2575
2022-03-09,6.5292
2022-03-10,6.4587
2022-03-11,6.4247
2022-03-12,6.4247
2022-03-13,6.4247
2022-03-14,6.4796
2022-03-15,6.5005
2022-03-16,6.5684
2022-03-17,6.4325
2022-03-18,6.4639
2022-03-19,6.4639
2022-03-20,6.4639
2022-03-21,6.5135
2022-03-22,6.5788
2022-03-23,6.4142
2022-03-24,6.5579
2022-03-25,6.6259
2022-03-26,6.6259
2022-03-27,6.6259
2022-03-28,6.5527
2022-03-29,6.6572
2022-03-30,6.4728
2022-03-31,5.8593
2022-04-01,5.8222
2022-04-02,5.8222
2022-04-03,5.8222
2022-04-04,5.6169
2022-04-05,5.5575
2022-04-06,5.3992
2022-04-07,5.3992
2022-04-08,5.4214
2022-04-09,5.4214
2022-04-10,5.4214
2022-04-11,5.367
2022-04-12,5.3176
2022-04-13,5.419
2022-04-14,5.5525
2022-04-15,5.5525
2022-04-16,5.5525
2022-04-17,5.5525
2022-04-18,5.6317
2022-04-19,5.6812
2022-04-20,5.7826
2022-04-21,5.7133
2022-04-22,5.4783
2022-04-23,5.4783
2022-04-24,5.4783
2022-04-25,5.4536
2022-04-26,5.3596
2022-04-27,5.3077
2022-04-28,5.3769
2022-04-29,5.3052
2022-04-30,5.3052
2022-05-01,5.3052
2022-05-02,5.3745
2022-05-03,5.4907
2022-05-04,5.5649
2022-05-05,5.3704
2022-05-06,5.3556
2022-05-07,5.3556
2022-05-08,5.3556
2022-05-09,5.1329
2022-05-10,5.076
2022-05-11,5.1478
2022-05-12,5.0365
2022-05-13,5.123
2022-05-14,5.123
2022-05-15,5.123
2022-05-16,5.1329
2022-05-17,5.3408
2022-05-18,5.1008
2022-05-19,5.1255
2022-05-20,5.0785
2022-05-21,5.0785
2022-05-22,5.0785
2022-05-23,5.1354
2022-05-24,5.0538
2022-05-25,5.128
2022-05-26,5.2517
2022-05-27,5.3111
2022-05-28,5.3111
2022-05-29,5.3111
2022-05-30,5.3111
2022-05-31,5.363
2022-06-01,5.363
2022-06-02,5.4224
2022-06-03,5.3704
2022-06-04,5.3704
2022-06-05,5.3704
2022-06-06,5.4471
2022-06-07,5.6005
2022-06-08,5.4991
2022-06-09,5.457
2022-06-10,5.1602
2022-06-11,5.1602
2022-06-12,5.1602
2022-06-13,4.9325
2022-06-14,4.9672
2022-06-15,4.9375
2022-06-16,4.5887
2022-06-17,4.7643
2022-06-18,4.7643
2022-06-19,4.7643
2022-06-20,4.7643
2022-06-21,4.6975
2022-06-22,4.7124
2022-06-23,4.7223
2022-06-24,4.9375
2022-06-25,4.9375
2022-06-26,4.9375
2022-06-27,4.9325
2022-06-28,4.8732
2022-06-29,4.8559
2022-06-30,4.7259
2022-07-01,4.7884
2022-07-02,4.7884
2022-07-03,4.7884
2022-07-04,4.7884
2022-07-05,4.7653
2022-07-06,4.7606
2022-07-07,4.7352
2022-07-08,4.8046
2022-07-09,4.8046
2022-07-10,4.8046
2022-07-11,4.7699
2022-07-12,4.7977
2022-07-13,4.7699
2022-07-14,4.7259
2022-07-15,4.851
2022-07-16,4.851
2022-07-17,4.851
2022-07-18,4.8116
2022-07-19,4.9645
2022-07-20,5.0502
2022-07-21,4.9969
2022-07-22,5.0456
2022-07-23,5.0456
2022-07-24,5.0456
2022-07-25,5.1429
2022-07-26,5.1035
2022-07-27,5.1799
2022-07-28,5.21
2022-07-29,5.2564
2022-07-30,5.2564
2022-07-31,5.2564
2022-08-01,5.2703
2022-08-02,5.2216
2022-08-03,5.5167
2022-08-04,5.6649
2022-08-05,5.6102
2022-08-06,5.6102
2022-08-07,5.6102
2022-08-08,5.6717
2022-08-09,5.6489
2022-08-10,5.8176
2022-08-11,5.8062
2022-08-12,5.9612
2022-08-13,5.9612
2022-08-14,5.9612
2022-08-15,5.9772
2022-08-16,6.0159
2022-08-17,6.0433
2022-08-18,6.082
2022-08-19,6.0433
2022-08-20,6.0433
2022-08-21,6.0433
2022-08-22,5.9452
2022-08-23,5.9589
2022-08-24,5.8837
2022-08-25,5.9247
2022-08-26,5.715
2022-08-27,5.715
2022-08-28,5.715
2022-08-29,5.7036
2022-08-30,5.6466
2022-08-31,5.5486
2022-09-01,5.4597
2022-09-02,5.4734
2022-09-03,5.4734
2022-09-04,5.4734
2022-09-05,5.4734
2022-09-06,5.3435
2022-09-07,5.4187
2022-09-08,5.4096
2022-09-09,5.5008
2022-09-10,5.5008
2022-09-11,5.5008
2022-09-12,5.6512
2022-09-13,5.5418
2022-09-14,5.5577
2022-09-15,5.6421
2022-09-16,5.6854
2022-09-17,5.6854
2022-09-18,5.6854
2022-09-19,5.7196
2022-09-20,5.6535
2022-09-21,5.6193
2022-09-22,5.4164
2022-09-23,5.3366
2022-09-24,5.3366
2022-09-25,5.3366
2022-09-26,5.3184
2022-09-27,5.3868
2022-09-28,5.5281
2022-09-29,5.5236
2022-09-30,5.079
2022-10-01,5.079
2022-10-02,5.079
2022-10-03,5.1955
2022-10-04,5.4628
2022-10-05,5.4348
2022-10-06,5.4197
2022-10-07,5.2752
2022-10-08,5.2752
2022-10-09,5.2752
2022-10-10,5.161
2022-10-11,5.2256
2022-10-12,5.1717
2022-10-13,5.2494
2022-10-14,5.1243
2022-10-15,5.1243
2022-10-16,5.1243
2022-10-17,5.1372
2022-10-18,5.1674
2022-10-19,5.1459
2022-10-20,5.148
2022-10-21,5.1653
2022-10-22,5.1653
2022-10-23,5.1653
2022-10-24,5.258
2022-10-25,5.3291
2022-10-26,5.3054
2022-10-27,5.3464
2022-10-28,5.4111
2022-10-29,5.4111
2022-10-30,5.4111
2022-10-31,5.4154
2022-11-01,5.3248
2022-11-02,5.3336
2022-11-03,5.1911
2022-11-04,5.3166
2022-11-05,5.3166
2022-11-06,5.3166
2022-11-07,5.323
2022-11-08,5.2911
2022-11-09,5.2145
2022-11-10,5.4932
2022-11-11,5.3294
2022-11-12,5.3294
2022-11-13,5.3294
2022-11-14,5.206
2022-11-15,5.2719
2022-11-16,5.1698
2022-11-17,5.1336
2022-11-18,5.0868
2022-11-19,5.0868
2022-11-20,5.0868
2022-11-21,5.1634
2022-11-22,5.1847
2022-11-23,5.2017
2022-11-24,5.2017
2022-11-25,5.1698
2022-11-26,5.1698
2022-11-27,5.1698
2022-11-28,5.1655
2022-11-29,5.157
2022-11-30,5.2677
2022-12-01,5.1741
2022-12-02,5.0762
2022-12-03,5.0762
2022-12-04,5.0762
2022-12-05,4.9081
2022-12-06,4.8421
2022-12-07,4.8613
2022-12-08,4.9187
2022-12-09,4.8677
2022-12-10,4.8677
2022-12-11,4.8677
2022-12-12,4.9719
2022-12-13,4.9655
2022-12-14,4.9485
2022-12-15,4.9443
2022-12-16,4.9187
2022-12-17,4.9187
2022-12-18,4.9187
2022-12-19,4.8911
2022-12-20,4.9634
2022-12-21,5.0911
2022-12-22,4.9549
2022-12-23,5.0719
2022-12-24,5.0719
2022-12-25,5.0719
2022-12-26,5.0719
2022-12-27,5.0911
2022-12-28,5.0677
2022-12-29,5.1634
2022-12-30,5.1544
2022-12-31,5.1544
2023-01-01,5.1544
2023-01-02,5.1544
2023-01-03,5.2034
2023-01-04,5.187
2023-01-05,5.134
2023-01-06,4.9993
2023-01-07,4.9993
2023-01-08,4.9993
2023-01-09,4.9829
2023-01-10,5.0829
2023-01-11,5.1442
2023-01-12,5.2564
2023-01-13,5.2769
2023-01-14,5.2769
2023-01-15,5.2769
2023-01-16,5.2769
2023-01-17,5.2666
2023-01-18,5.3258
2023-01-19,5.3912
2023-01-20,5.4463
2023-01-21,5.4463
2023-01-22,5.4463
2023-01-23,5.4218
2023-01-24,5.3646
2023-01-25,5.4626
2023-01-26,5.6545
2023-01-27,5.581
2023-01-28,5.581
2023-01-29,5.581
2023-01-30,5.5463
2023-01-31,5.63
2023-02-01,5.5994
2023-02-02,5.6504
2023-02-03,5.6912
2023-02-04,5.6912
2023-02-05,5.6912
2023-02-06,5.5565
2023-02-07,5.6341
2023-02-08,5.6137
2023-02-09,5.5769
2023-02-10,5.5728
2023-02-11,5.5728
2023-02-12,5.5728
2023-02-13,5.6933
2023-02-14,5.7218
2023-02-15,5.765
2023-02-16,5.765
2023-02-17,5.8304
2023-02-18,5.8304
2023-02-19,5.8304
2023-02-20,5.8304
2023-02-21,5.5893
2023-02-22,5.5954
2023-02-23,5.6628
2023-02-24,5.6588
2023-02-25,5.6588
2023-02-26,5.6588
2023-02-27,5.6465
2023-02-28,5.6567
2023-03-01,5.6547
2023-03-02,5.7344
2023-03-03,5.8406
2023-03-04,5.8406
2023-03-05,5.8406
2023-03-06,5.8181
2023-03-07,5.7466
2023-03-08,5.7507
2023-03-09,5.5464
2023-03-10,5.4197
2023-03-11,5.4197
2023-03-12,5.4197
2023-03-13,5.244
2023-03-14,5.3564
2023-03-15,5.2971
2023-03-16,5.4013
2023-03-17,5.1603
2023-03-18,5.1603
