,SC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-10-09,63.5969
2020-10-10,63.5969
2020-10-11,63.5969
2020-10-12,63.6812
2020-10-13,63.6854
2020-10-14,63.6854
2020-10-15,63.618
2020-10-16,63.8836
2020-10-17,63.8836
2020-10-18,63.8836
2020-10-19,63.9173
2020-10-20,63.9889
2020-10-21,63.9215
2020-10-22,64.1365
2020-10-23,64.2081
2020-10-24,64.2081
2020-10-25,64.2081
2020-10-26,63.9636
2020-10-27,64.0142
2020-10-28,64.0184
2020-10-29,63.6967
2020-10-30,63.5046
2020-10-31,63.5046
2020-11-01,63.5046
2020-11-02,63.852
2020-11-03,64.0727
2020-11-04,63.8315
2020-11-05,63.8847
2020-11-06,63.8193
2020-11-07,63.8193
2020-11-08,63.8193
2020-11-09,64.3547
2020-11-10,64.3669
2020-11-11,64.3138
2020-11-12,64.1544
2020-11-13,64.4609
2020-11-14,64.4609
2020-11-15,64.4609
2020-11-16,64.8247
2020-11-17,64.7797
2020-11-18,64.6735
2020-11-19,64.5631
2020-11-20,64.3056
2020-11-21,64.3056
2020-11-22,64.3056
2020-11-23,64.6163
2020-11-24,64.8247
2020-11-25,64.7143
2020-11-26,64.7143
2020-11-27,64.5468
2020-11-28,64.5468
2020-11-29,64.5468
2020-11-30,64.2239
2020-12-01,64.649
2020-12-02,64.8288
2020-12-03,64.6735
2020-12-04,64.6735
2020-12-05,64.6735
2020-12-06,64.6735
2020-12-07,64.6203
2020-12-08,64.5468
2020-12-09,64.5018
2020-12-10,64.6408
2020-12-11,64.2852
2020-12-12,64.2852
2020-12-13,64.2852
2020-12-14,64.1626
2020-12-15,64.5223
2020-12-16,64.0359
2020-12-17,63.9051
2020-12-18,63.7049
2020-12-19,63.7049
2020-12-20,63.7049
2020-12-21,63.8602
2020-12-22,63.713
2020-12-23,64.0236
2020-12-24,63.8724
2020-12-25,63.8724
2020-12-26,63.8724
2020-12-27,63.8724
2020-12-28,63.9582
2020-12-29,63.9051
2020-12-30,64.1013
2020-12-31,39.5379
2021-01-01,39.5379
2021-01-02,39.5379
2021-01-03,39.5379
2021-01-04,39.3431
2021-01-05,39.4292
2021-01-06,39.6012
2021-01-07,39.4494
2021-01-08,39.2976
2021-01-09,39.2976
2021-01-10,39.2976
2021-01-11,39.3609
2021-01-12,39.5202
2021-01-13,39.5961
2021-01-14,39.882
2021-01-15,39.9427
2021-01-16,39.9427
2021-01-17,39.9427
2021-01-18,39.9427
2021-01-19,40.1249
2021-01-20,40.054
2021-01-21,39.8769
2021-01-22,39.8871
2021-01-23,39.8871
2021-01-24,39.8871
2021-01-25,39.8263
2021-01-26,39.8618
2021-01-27,39.6088
2021-01-28,39.839
2021-01-29,39.5582
2021-01-30,39.5582
2021-01-31,39.5582
2021-02-01,39.7226
2021-02-02,39.9528
2021-02-03,40.092
2021-02-04,40.5428
2021-02-05,40.525
2021-02-06,40.525
2021-02-07,40.525
2021-02-08,40.5402
2021-02-09,40.4669
2021-02-10,40.4643
2021-02-11,40.5124
2021-02-12,40.4466
2021-02-13,40.4466
2021-02-14,40.4466
2021-02-15,40.4466
2021-02-16,40.6085
2021-02-17,40.7097
2021-02-18,40.6085
2021-02-19,40.606
2021-02-20,40.606
2021-02-21,40.606
2021-02-22,40.5832
2021-02-23,40.5579
2021-02-24,40.4997
2021-02-25,40.222
2021-02-26,40.2929
2021-02-27,40.2929
2021-02-28,40.2929
2021-03-01,40.384
2021-03-02,40.4422
2021-03-03,40.5459
2021-03-04,40.6674
2021-03-05,40.551
2021-03-06,40.551
2021-03-07,40.551
2021-03-08,40.7028
2021-03-09,40.556
2021-03-10,40.7534
2021-03-11,40.8926
2021-03-12,40.8976
2021-03-13,40.8976
2021-03-14,40.8976
2021-03-15,40.9255
2021-03-16,40.8293
2021-03-17,40.9508
2021-03-18,40.9179
2021-03-19,40.7382
2021-03-20,40.7382
2021-03-21,40.7382
2021-03-22,40.7762
2021-03-23,40.6471
2021-03-24,40.6092
2021-03-25,40.7736
2021-03-26,40.7989
2021-03-27,40.7989
2021-03-28,40.7989
2021-03-29,40.761
2021-03-30,40.8065
2021-03-31,21.1995
2021-04-01,21.2204
2021-04-02,21.2204
2021-04-03,21.2204
2021-04-04,21.2204
2021-04-05,21.2972
2021-04-06,21.2902
2021-04-07,21.4424
2021-04-08,21.4592
2021-04-09,21.4732
2021-04-10,21.4732
2021-04-11,21.4732
2021-04-12,21.6379
2021-04-13,21.5723
2021-04-14,21.61
2021-04-15,21.7021
2021-04-16,21.7734
2021-04-17,21.7734
2021-04-18,21.7734
2021-04-19,21.7831
2021-04-20,21.6854
2021-04-21,21.7426
2021-04-22,21.6784
2021-04-23,21.8042
2021-04-24,21.8042
2021-04-25,21.8042
2021-04-26,21.8545
2021-04-27,21.9564
2021-04-28,21.9075
2021-04-29,22.1225
2021-04-30,22.1588
2021-05-01,22.1588
2021-05-02,22.1588
2021-05-03,22.1951
2021-05-04,22.2118
2021-05-05,22.2914
2021-05-06,22.311
2021-05-07,22.4366
2021-05-08,22.4366
2021-05-09,22.4366
2021-05-10,22.4003
2021-05-11,22.3235
2021-05-12,22.2146
2021-05-13,22.3459
2021-05-14,22.491
2021-05-15,22.491
2021-05-16,22.491
2021-05-17,22.5413
2021-05-18,22.505
2021-05-19,22.6851
2021-05-20,22.5818
2021-05-21,22.6404
2021-05-22,22.6404
2021-05-23,22.6404
2021-05-24,22.7018
2021-05-25,22.5985
2021-05-26,22.639
2021-05-27,22.713
2021-05-28,22.7116
2021-05-29,22.7116
2021-05-30,22.7116
2021-05-31,22.7116
2021-06-01,22.8149
2021-06-02,22.8037
2021-06-03,22.7451
2021-06-04,22.7953
2021-06-05,22.7953
2021-06-06,22.7953
2021-06-07,22.8093
2021-06-08,22.8149
2021-06-09,22.7898
2021-06-10,22.7325
2021-06-11,22.7828
2021-06-12,22.7828
2021-06-13,22.7828
2021-06-14,22.6348
2021-06-15,22.7297
2021-06-16,22.6655
2021-06-17,22.4799
2021-06-18,22.3528
2021-06-19,22.3528
2021-06-20,22.3528
2021-06-21,22.5483
2021-06-22,22.5134
2021-06-23,22.5301
2021-06-24,22.6111
2021-06-25,22.6669
2021-06-26,22.6669
2021-06-27,22.6669
2021-06-28,22.5399
2021-06-29,22.4031
2021-06-30,13.2148
2021-07-01,13.2238
2021-07-02,13.5643
2021-07-03,13.5643
2021-07-04,13.5643
2021-07-05,13.5643
2021-07-06,13.5247
2021-07-07,13.5536
2021-07-08,13.5577
2021-07-09,13.5923
2021-07-10,13.5923
2021-07-11,13.5923
2021-07-12,13.5997
2021-07-13,13.5651
2021-07-14,13.5593
2021-07-15,13.5692
2021-07-16,13.5552
2021-07-17,13.5552
2021-07-18,13.5552
2021-07-19,13.5445
2021-07-20,13.5659
2021-07-21,13.5816
2021-07-22,13.589
2021-07-23,13.5873
2021-07-24,13.5873
2021-07-25,13.5873
2021-07-26,13.5832
2021-07-27,13.5882
2021-07-28,13.5969
2021-07-29,13.606
2021-07-30,13.6035
2021-07-31,13.6035
2021-08-01,13.6035
2021-08-02,13.5854
2021-08-03,13.648
2021-08-04,13.6266
2021-08-05,13.634
2021-08-06,13.6489
2021-08-07,13.6489
2021-08-08,13.6489
2021-08-09,13.6423
