,REGI US Equity
2021-06-11,30.9187
2021-06-12,30.9187
2021-06-13,30.9187
2021-06-14,32.0185
2021-06-15,31.5817
2021-06-16,31.6501
2021-06-17,31.3555
2021-06-18,28.9244
2021-06-19,28.9244
2021-06-20,28.9244
2021-06-21,29.5927
2021-06-22,29.5559
2021-06-23,29.3086
2021-06-24,29.6295
2021-06-25,28.393
2021-06-26,28.393
2021-06-27,28.393
2021-06-28,28.9244
2021-06-29,28.5403
2021-06-30,14.5659
2021-07-01,14.7785
2021-07-02,14.426
2021-07-03,14.426
2021-07-04,14.426
2021-07-05,14.426
2021-07-06,14.3379
2021-07-07,14.1227
2021-07-08,14.3171
2021-07-09,15.2165
2021-07-10,15.2165
2021-07-11,15.2165
2021-07-12,15.0869
2021-07-13,14.6178
2021-07-14,14.4649
2021-07-15,14.8459
2021-07-16,15.1129
2021-07-17,15.1129
2021-07-18,15.1129
2021-07-19,14.2523
2021-07-20,14.877
2021-07-21,15.779
2021-07-22,14.9677
2021-07-23,14.5193
2021-07-24,14.5193
2021-07-25,14.5193
2021-07-26,14.4493
2021-07-27,13.7832
2021-07-28,14.4441
2021-07-29,14.3741
2021-07-30,14.2834
2021-07-31,14.2834
2021-08-01,14.2834
2021-08-02,13.638
2021-08-03,13.7832
2021-08-04,13.3037
2021-08-05,15.2086
2021-08-06,14.8152
2021-08-07,14.8152
2021-08-08,14.8152
2021-08-09,14.3727
2021-08-10,14.3071
2021-08-11,13.788
2021-08-12,13.6815
2021-08-13,13.1925
2021-08-14,13.1925
2021-08-15,13.1925
2021-08-16,12.8592
2021-08-17,12.6352
2021-08-18,12.0697
2021-08-19,11.7583
2021-08-20,11.2447
2021-08-21,11.2447
2021-08-22,11.2447
2021-08-23,12.0178
2021-08-24,12.3101
2021-08-25,12.3921
2021-08-26,12.0588
2021-08-27,12.5696
2021-08-28,12.5696
2021-08-29,12.5696
2021-08-30,11.8621
2021-08-31,11.6353
2021-09-01,11.3266
2021-09-02,11.3321
2021-09-03,11.1682
2021-09-04,11.1682
2021-09-05,11.1682
2021-09-06,11.1682
2021-09-07,11.2173
2021-09-08,10.8977
2021-09-09,10.9414
2021-09-10,10.7475
2021-09-11,10.7475
2021-09-12,10.7475
2021-09-13,11.7637
2021-09-14,11.4851
2021-09-15,11.8266
2021-09-16,11.6736
2021-09-17,11.5834
2021-09-18,11.5834
2021-09-19,11.5834
2021-09-20,11.4222
2021-09-21,11.7528
2021-09-22,11.2337
2021-09-23,11.7856
2021-09-24,11.3102
2021-09-25,11.3102
2021-09-26,11.3102
2021-09-27,12.0069
2021-09-28,12.0123
2021-09-29,11.791
2021-09-30,10.4109
2021-10-01,10.5987
2021-10-02,10.5987
2021-10-03,10.5987
2021-10-04,10.7319
2021-10-05,11.1004
2021-10-06,10.6724
2021-10-07,11.2002
2021-10-08,11.2311
2021-10-09,11.2311
2021-10-10,11.2311
2021-10-11,11.4237
2021-10-12,11.1479
2021-10-13,11.262
2021-10-14,11.3785
2021-10-15,11.0766
2021-10-16,11.0766
2021-10-17,11.0766
2021-10-18,11.155
2021-10-19,11.4998
2021-10-20,11.5901
2021-10-21,11.4403
2021-10-22,12.1678
2021-10-23,12.1678
2021-10-24,12.1678
2021-10-25,12.5458
2021-10-26,12.4175
2021-10-27,11.8635
2021-10-28,13.1045
2021-10-29,13.6918
2021-10-30,13.6918
2021-10-31,13.6918
2021-11-01,14.3455
2021-11-02,13.832
2021-11-03,14.1815
2021-11-04,12.57
2021-11-05,12.5653
2021-11-06,12.5653
2021-11-07,12.5653
2021-11-08,12.6652
2021-11-09,12.1061
2021-11-10,11.6541
2021-11-11,11.7611
2021-11-12,10.9475
2021-11-13,10.9475
2021-11-14,10.9475
2021-11-15,10.8404
2021-11-16,10.8404
2021-11-17,10.317
2021-11-18,10.2409
2021-11-19,10.0553
2021-11-20,10.0553
2021-11-21,10.0553
2021-11-22,10.4907
2021-11-23,10.4193
2021-11-24,10.1814
2021-11-25,10.1814
2021-11-26,9.865
2021-11-27,9.865
2021-11-28,9.865
2021-11-29,10.0482
2021-11-30,9.8436
2021-12-01,9.4724
2021-12-02,9.7151
2021-12-03,9.4272
2021-12-04,9.4272
2021-12-05,9.4272
2021-12-06,9.4272
2021-12-07,9.4415
2021-12-08,9.5319
2021-12-09,9.1227
2021-12-10,9.2369
2021-12-11,9.2369
2021-12-12,9.2369
2021-12-13,9.0275
2021-12-14,8.8277
2021-12-15,8.9348
2021-12-16,8.6326
2021-12-17,9.0061
2021-12-18,9.0061
2021-12-19,9.0061
2021-12-20,8.3971
2021-12-21,8.7873
2021-12-22,8.5708
2021-12-23,8.409
2021-12-24,8.409
2021-12-25,8.409
2021-12-26,8.409
2021-12-27,8.5684
2021-12-28,8.5493
2021-12-29,8.5184
2021-12-30,8.654
2021-12-31,8.6528
2022-01-01,8.6528
2022-01-02,8.6528
2022-01-03,9.1949
2022-01-04,9.1657
2022-01-05,9.2219
2022-01-06,9.5256
2022-01-07,9.4086
2022-01-08,9.4086
2022-01-09,9.4086
2022-01-10,9.1657
2022-01-11,9.5571
2022-01-12,9.4829
2022-01-13,9.186
2022-01-14,9.2894
2022-01-15,9.2894
2022-01-16,9.2894
2022-01-17,9.2894
2022-01-18,9.2984
2022-01-19,9.033
2022-01-20,8.5449
2022-01-21,8.0208
2022-01-22,8.0208
2022-01-23,8.0208
2022-01-24,8.3807
2022-01-25,8.2007
2022-01-26,7.9015
2022-01-27,7.8566
2022-01-28,7.9623
2022-01-29,7.9623
2022-01-30,7.9623
2022-01-31,8.1625
2022-02-01,8.3154
2022-02-02,7.7351
2022-02-03,7.5821
2022-02-04,7.6721
2022-02-05,7.6721
2022-02-06,7.6721
2022-02-07,7.4134
2022-02-08,7.3347
2022-02-09,7.5754
2022-02-10,7.5371
2022-02-11,7.5416
2022-02-12,7.5416
2022-02-13,7.5416
2022-02-14,7.103
2022-02-15,7.283
2022-02-16,7.1075
2022-02-17,6.8713
2022-02-18,6.6194
2022-02-19,6.6194
2022-02-20,6.6194
2022-02-21,6.6194
2022-02-22,6.4439
2022-02-23,8.3537
2022-02-24,8.7923
2022-02-25,8.961
2022-02-26,8.961
2022-02-27,8.961
2022-02-28,12.9402
2022-03-01,12.7846
2022-03-02,12.8094
2022-03-03,12.8994
2022-03-04,12.8499
2022-03-05,12.8499
2022-03-06,12.8499
2022-03-07,12.8026
2022-03-08,12.8409
2022-03-09,12.8341
2022-03-10,12.7846
2022-03-11,12.8161
2022-03-12,12.8161
2022-03-13,12.8161
2022-03-14,12.8769
2022-03-15,12.7823
2022-03-16,12.8679
2022-03-17,12.8116
2022-03-18,12.7643
2022-03-19,12.7643
2022-03-20,12.7643
2022-03-21,12.7869
2022-03-22,12.7801
2022-03-23,12.7846
2022-03-24,12.7936
2022-03-25,12.7823
2022-03-26,12.7823
2022-03-27,12.7823
2022-03-28,12.8049
2022-03-29,12.8161
2022-03-30,12.7846
2022-03-31,14.806
2022-04-01,14.8111
2022-04-02,14.8111
2022-04-03,14.8111
2022-04-04,14.8262
2022-04-05,14.8035
2022-04-06,14.8328
2022-04-07,14.8353
2022-04-08,14.8303
2022-04-09,14.8303
2022-04-10,14.8303
2022-04-11,14.8429
2022-04-12,14.8252
2022-04-13,14.8404
2022-04-14,14.8857
2022-04-15,14.8857
2022-04-16,14.8857
2022-04-17,14.8857
2022-04-18,14.9714
2022-04-19,14.979
2022-04-20,14.9664
2022-04-21,14.984
2022-04-22,14.9487
2022-04-23,14.9487
2022-04-24,14.9487
2022-04-25,14.9866
2022-04-26,14.9412
2022-04-27,14.9462
2022-04-28,14.9513
2022-04-29,14.9311
2022-04-30,14.9311
2022-05-01,14.9311
2022-05-02,14.9513
2022-05-03,14.9361
2022-05-04,14.9336
2022-05-05,14.9693
2022-05-06,14.9617
2022-05-07,14.9617
2022-05-08,14.9617
2022-05-09,14.9466
2022-05-10,14.934
2022-05-11,14.9769
2022-05-12,14.9895
2022-05-13,14.9895
2022-05-14,14.9895
2022-05-15,14.9895
2022-05-16,14.987
2022-05-17,14.9794
2022-05-18,15.0123
2022-05-19,14.987
2022-05-20,15.0628
2022-05-21,15.0628
2022-05-22,15.0628
2022-05-23,15.0476
2022-05-24,15.0224
2022-05-25,15.0274
2022-05-26,15.0451
2022-05-27,15.035
2022-05-28,15.035
2022-05-29,15.035
2022-05-30,15.035
2022-05-31,15.03
2022-06-01,15.0426
2022-06-02,15.0401
2022-06-03,15.0527
2022-06-04,15.0527
2022-06-05,15.0527
2022-06-06,15.0502
2022-06-07,15.0451
2022-06-08,15.0704
2022-06-09,15.0653
2022-06-10,15.078
2022-06-11,15.078
2022-06-12,15.078
2022-06-13,15.078
2022-06-14,15.078
2022-06-15,15.078
2022-06-16,15.078
2022-06-17,15.078
2022-06-18,15.078
2022-06-19,15.078
2022-06-20,15.078
2022-06-21,15.078
2022-06-22,15.078
2022-06-23,15.078
2022-06-24,15.078
2022-06-25,15.078
2022-06-26,15.078
2022-06-27,15.078
2022-06-28,15.078
2022-06-29,15.078
2022-06-30,15.078
2022-07-01,15.078
2022-07-02,15.078
2022-07-03,15.078
2022-07-04,15.078
2022-07-05,15.078
2022-07-06,15.078
2022-07-07,15.078
2022-07-08,15.078
2022-07-09,15.078
2022-07-10,15.078
2022-07-11,15.078
2022-07-12,15.078
2022-07-13,15.078
2022-07-14,15.078
2022-07-15,15.078
2022-07-16,15.078
2022-07-17,15.078
2022-07-18,15.078
2022-07-19,15.078
2022-07-20,15.078
2022-07-21,15.078
2022-07-22,15.078
2022-07-23,15.078
2022-07-24,15.078
2022-07-25,15.078
2022-07-26,15.078
2022-07-27,15.078
2022-07-28,15.078
2022-07-29,15.078
2022-07-30,15.078
2022-07-31,15.078
2022-08-01,15.078
2022-08-02,15.078
2022-08-03,15.078
2022-08-04,15.078
2022-08-05,15.078
2022-08-06,15.078
2022-08-07,15.078
2022-08-08,15.078
2022-08-09,15.078
2022-08-10,15.078
2022-08-11,15.078
2022-08-12,15.078
2022-08-13,15.078
2022-08-14,15.078
2022-08-15,15.078
2022-08-16,15.078
2022-08-17,15.078
2022-08-18,15.078
2022-08-19,15.078
2022-08-20,15.078
2022-08-21,15.078
2022-08-22,15.078
2022-08-23,15.078
2022-08-24,15.078
2022-08-25,15.078
2022-08-26,15.078
2022-08-27,15.078
2022-08-28,15.078
2022-08-29,15.078
2022-08-30,15.078
2022-08-31,15.078
2022-09-01,15.078
2022-09-02,15.078
2022-09-03,15.078
2022-09-04,15.078
2022-09-05,15.078
2022-09-06,15.078
2022-09-07,15.078
2022-09-08,15.078
2022-09-09,15.078
2022-09-10,15.078
2022-09-11,15.078
2022-09-12,15.078
2022-09-13,15.078
2022-09-14,15.078
2022-09-15,15.078
2022-09-16,15.078
2022-09-17,15.078
2022-09-18,15.078
2022-09-19,15.078
2022-09-20,15.078
2022-09-21,15.078
2022-09-22,15.078
2022-09-23,15.078
2022-09-24,15.078
2022-09-25,15.078
2022-09-26,15.078
2022-09-27,15.078
2022-09-28,15.078
2022-09-29,15.078
2022-09-30,15.078
2022-10-01,15.078
2022-10-02,15.078
2022-10-03,15.078
2022-10-04,15.078
2022-10-05,15.078
2022-10-06,15.078
2022-10-07,15.078
2022-10-08,15.078
2022-10-09,15.078
2022-10-10,15.078
2022-10-11,15.078
2022-10-12,15.078
2022-10-13,15.078
2022-10-14,15.078
2022-10-15,15.078
2022-10-16,15.078
2022-10-17,15.078
2022-10-18,15.078
2022-10-19,15.078
2022-10-20,15.078
2022-10-21,15.078
2022-10-22,15.078
2022-10-23,15.078
2022-10-24,15.078
2022-10-25,15.078
2022-10-26,15.078
2022-10-27,15.078
2022-10-28,15.078
2022-10-29,15.078
2022-10-30,15.078
2022-10-31,15.078
2022-11-01,15.078
2022-11-02,15.078
2022-11-03,15.078
2022-11-04,15.078
2022-11-05,15.078
2022-11-06,15.078
2022-11-07,15.078
2022-11-08,15.078
2022-11-09,15.078
2022-11-10,15.078
2022-11-11,15.078
2022-11-12,15.078
2022-11-13,15.078
2022-11-14,15.078
2022-11-15,15.078
2022-11-16,15.078
2022-11-17,15.078
2022-11-18,15.078
2022-11-19,15.078
2022-11-20,15.078
2022-11-21,15.078
2022-11-22,15.078
2022-11-23,15.078
2022-11-24,15.078
2022-11-25,15.078
2022-11-26,15.078
2022-11-27,15.078
2022-11-28,15.078
2022-11-29,15.078
2022-11-30,15.078
2022-12-01,15.078
2022-12-02,15.078
2022-12-03,15.078
2022-12-04,15.078
2022-12-05,15.078
2022-12-06,15.078
2022-12-07,15.078
2022-12-08,15.078
2022-12-09,15.078
2022-12-10,15.078
2022-12-11,15.078
2022-12-12,15.078
2022-12-13,15.078
2022-12-14,15.078
2022-12-15,15.078
2022-12-16,15.078
2022-12-17,15.078
2022-12-18,15.078
2022-12-19,15.078
2022-12-20,15.078
2022-12-21,15.078
2022-12-22,15.078
2022-12-23,15.078
2022-12-24,15.078
2022-12-25,15.078
2022-12-26,15.078
2022-12-27,15.078
2022-12-28,15.078
2022-12-29,15.078
2022-12-30,15.078
2022-12-31,15.078
2023-01-01,15.078
2023-01-02,15.078
2023-01-03,15.078
2023-01-04,15.078
2023-01-05,15.078
2023-01-06,15.078
2023-01-07,15.078
2023-01-08,15.078
2023-01-09,15.078
2023-01-10,15.078
2023-01-11,15.078
2023-01-12,15.078
2023-01-13,15.078
2023-01-14,15.078
2023-01-15,15.078
2023-01-16,15.078
2023-01-17,15.078
2023-01-18,15.078
2023-01-19,15.078
2023-01-20,15.078
2023-01-21,15.078
2023-01-22,15.078
2023-01-23,15.078
2023-01-24,15.078
2023-01-25,15.078
2023-01-26,15.078
2023-01-27,15.078
2023-01-28,15.078
2023-01-29,15.078
2023-01-30,15.078
2023-01-31,15.078
2023-02-01,15.078
2023-02-02,15.078
2023-02-03,15.078
2023-02-04,15.078
2023-02-05,15.078
2023-02-06,15.078
2023-02-07,15.078
2023-02-08,15.078
2023-02-09,15.078
2023-02-10,15.078
2023-02-11,15.078
2023-02-12,15.078
2023-02-13,15.078
2023-02-14,15.078
2023-02-15,15.078
2023-02-16,15.078
2023-02-17,15.078
2023-02-18,15.078
2023-02-19,15.078
2023-02-20,15.078
2023-02-21,15.078
2023-02-22,15.078
2023-02-23,15.078
2023-02-24,15.078
2023-02-25,15.078
2023-02-26,15.078
2023-02-27,15.078
2023-02-28,15.078
2023-03-01,15.078
2023-03-02,15.078
2023-03-03,15.078
2023-03-04,15.078
2023-03-05,15.078
2023-03-06,15.078
2023-03-07,15.078
2023-03-08,15.078
2023-03-09,15.078
2023-03-10,15.078
2023-03-11,15.078
2023-03-12,15.078
2023-03-13,15.078
2023-03-14,15.078
2023-03-15,15.078
2023-03-16,15.078
2023-03-17,15.078
2023-03-18,15.078
2023-03-19,15.078
2023-03-20,15.078
2023-03-21,15.078
2023-03-22,15.078
2023-03-23,15.078
2023-03-24,15.078
2023-03-25,15.078
2023-03-26,15.078
2023-03-27,15.078
2023-03-28,15.078
2023-03-29,15.078
2023-03-30,15.078
2023-03-31,15.078
2023-04-01,15.078
2023-04-02,15.078
2023-04-03,15.078
2023-04-04,15.078
2023-04-05,15.078
2023-04-06,15.078
2023-04-07,15.078
2023-04-08,15.078
2023-04-09,15.078
2023-04-10,15.078
