,CC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-07-31,24.8148
2020-08-01,24.8148
2020-08-02,24.8148
2020-08-03,25.2561
2020-08-04,25.5257
2020-08-05,26.1998
2020-08-06,25.8934
2020-08-07,25.6422
2020-08-08,25.6422
2020-08-09,25.6422
2020-08-10,26.0711
2020-08-11,26.2611
2020-08-12,26.6656
2020-08-13,26.5369
2020-08-14,26.3101
2020-08-15,26.3101
2020-08-16,26.3101
2020-08-17,26.2366
2020-08-18,26.1692
2020-08-19,26.1814
2020-08-20,26.1018
2020-08-21,25.5747
2020-08-22,25.5747
2020-08-23,25.5747
2020-08-24,26.0589
2020-08-25,26.0711
2020-08-26,26.2734
2020-08-27,26.016
2020-08-28,26.3101
2020-08-29,26.3101
2020-08-30,26.3101
2020-08-31,26.1202
2020-09-01,26.7759
2020-09-02,26.8004
2020-09-03,25.8566
2020-09-04,26.2611
2020-09-05,26.2611
2020-09-06,26.2611
2020-09-07,26.2611
2020-09-08,25.9608
2020-09-09,26.1631
2020-09-10,26.0344
2020-09-11,26.4756
2020-09-12,26.4756
2020-09-13,26.4756
2020-09-14,26.7269
2020-09-15,26.5124
2020-09-16,26.4572
2020-09-17,27.1436
2020-09-18,26.7391
2020-09-19,26.7391
2020-09-20,26.7391
2020-09-21,26.0773
2020-09-22,25.8444
2020-09-23,25.538
2020-09-24,25.6422
2020-09-25,25.4706
2020-09-26,25.4706
2020-09-27,25.4706
2020-09-28,25.9792
2020-09-29,25.8995
2020-09-30,25.2032
2020-10-01,24.9798
2020-10-02,25.5051
2020-10-03,25.5051
2020-10-04,25.5051
2020-10-05,26.0304
2020-10-06,25.958
2020-10-07,26.3927
2020-10-08,26.8154
2020-10-09,26.4591
2020-10-10,26.4591
2020-10-11,26.4591
2020-10-12,26.6463
2020-10-13,26.3867
2020-10-14,26.441
2020-10-15,26.435
2020-10-16,26.5014
2020-10-17,26.5014
2020-10-18,26.5014
2020-10-19,26.278
2020-10-20,26.2176
2020-10-21,25.499
2020-10-22,25.6742
2020-10-23,25.7889
2020-10-24,25.7889
2020-10-25,25.7889
2020-10-26,25.1005
2020-10-27,24.9073
2020-10-28,24.539
2020-10-29,25.0401
2020-10-30,24.7382
2020-10-31,24.7382
2020-11-01,24.7382
2020-11-02,25.1851
2020-11-03,25.7164
2020-11-04,25.4768
2020-11-05,26.6984
2020-11-06,26.2509
2020-11-07,26.2509
2020-11-08,26.2509
2020-11-09,25.9606
2020-11-10,26.1421
2020-11-11,26.1663
2020-11-12,25.6885
2020-11-13,26.0574
2020-11-14,26.0574
2020-11-15,26.0574
2020-11-16,26.5775
2020-11-17,26.9283
2020-11-18,26.7468
2020-11-19,27.019
2020-11-20,26.3658
2020-11-21,26.3658
2020-11-22,26.3658
2020-11-23,26.892
2020-11-24,28.0592
2020-11-25,27.6963
2020-11-26,27.6963
2020-11-27,27.5633
2020-11-28,27.5633
2020-11-29,27.5633
2020-11-30,27.2911
2020-12-01,27.8838
2020-12-02,27.9987
2020-12-03,28.1136
2020-12-04,28.3192
2020-12-05,28.3192
2020-12-06,28.3192
2020-12-07,28.5006
2020-12-08,28.6821
2020-12-09,28.7365
2020-12-10,28.67
2020-12-11,28.6639
2020-12-12,28.6639
2020-12-13,28.6639
2020-12-14,28.2466
2020-12-15,28.8998
2020-12-16,28.9482
2020-12-17,29.3715
2020-12-18,28.9058
2020-12-19,28.9058
2020-12-20,28.9058
2020-12-21,29.1356
2020-12-22,28.7123
2020-12-23,28.676
2020-12-24,28.8575
2020-12-25,28.8575
2020-12-26,28.8575
2020-12-27,28.8575
2020-12-28,28.1922
2020-12-29,27.5693
2020-12-30,27.8838
2020-12-31,19.7598
2021-01-01,19.7598
2021-01-02,19.7598
2021-01-03,19.7598
2021-01-04,19.7733
2021-01-05,20.468
2021-01-06,21.2255
2021-01-07,21.1493
2021-01-08,20.9879
2021-01-09,20.9879
2021-01-10,20.9879
2021-01-11,20.8983
2021-01-12,20.84
2021-01-13,20.7593
2021-01-14,20.8624
2021-01-15,20.7862
2021-01-16,20.7862
2021-01-17,20.7862
2021-01-18,20.7862
2021-01-19,21.5123
2021-01-20,21.3555
2021-01-21,20.7414
2021-01-22,20.9073
2021-01-23,20.9073
2021-01-24,20.9073
2021-01-25,20.7638
2021-01-26,20.6562
2021-01-27,20.8759
2021-01-28,20.979
2021-01-29,20.4546
2021-01-30,20.4546
2021-01-31,20.4546
2021-02-01,20.6428
2021-02-02,20.5128
2021-02-03,20.5173
2021-02-04,20.6607
2021-02-05,20.9566
2021-02-06,20.9566
2021-02-07,20.9566
2021-02-08,20.9879
2021-02-09,20.8804
2021-02-10,20.6742
2021-02-11,20.97
2021-02-12,20.3952
2021-02-13,20.3952
2021-02-14,20.3952
2021-02-15,20.3952
2021-02-16,20.5031
2021-02-17,20.3231
2021-02-18,19.8325
2021-02-19,20.3276
2021-02-20,20.3276
2021-02-21,20.3276
2021-02-22,20.0935
2021-02-23,19.891
2021-02-24,19.945
2021-02-25,19.3149
2021-02-26,19.2384
2021-02-27,19.2384
2021-02-28,19.2384
2021-03-01,19.4544
2021-03-02,19.639
2021-03-03,20.125
2021-03-04,20.3861
2021-03-05,20.9801
2021-03-06,20.9801
2021-03-07,20.9801
2021-03-08,20.5076
2021-03-09,20.242
2021-03-10,20.7731
2021-03-11,20.9576
2021-03-12,21.585
2021-03-13,21.585
2021-03-14,21.585
2021-03-15,20.6533
2021-03-16,20.5227
2021-03-17,21.0179
2021-03-18,20.7253
2021-03-19,20.6082
2021-03-20,20.6082
2021-03-21,20.6082
2021-03-22,20.7658
2021-03-23,19.9151
2021-03-24,19.834
2021-03-25,20.4822
2021-03-26,21.0989
2021-03-27,21.0989
2021-03-28,21.0989
2021-03-29,21.3464
2021-03-30,21.1529
2021-03-31,21.3032
2021-04-01,21.4334
2021-04-02,21.4334
2021-04-03,21.4334
2021-04-04,21.4334
2021-04-05,21.788
2021-04-06,21.6938
2021-04-07,21.5726
2021-04-08,21.0877
2021-04-09,21.2763
2021-04-10,21.2763
2021-04-11,21.2763
2021-04-12,21.8015
2021-04-13,21.6983
2021-04-14,22.0753
2021-04-15,22.228
2021-04-16,22.2953
2021-04-17,22.2953
2021-04-18,22.2953
2021-04-19,22.1741
2021-04-20,21.8374
2021-04-21,22.0933
2021-04-22,21.7431
2021-04-23,22.2414
2021-04-24,22.2414
2021-04-25,22.2414
2021-04-26,22.8205
2021-04-27,22.6993
2021-04-28,22.8429
2021-04-29,22.7621
2021-04-30,22.3312
2021-05-01,22.3312
2021-05-02,22.3312
2021-05-03,22.7175
2021-05-04,22.9513
2021-05-05,23.9687
2021-05-06,24.36
2021-05-07,24.351
2021-05-08,24.351
2021-05-09,24.351
2021-05-10,24.1306
2021-05-11,24.2116
2021-05-12,23.3705
2021-05-13,23.9642
2021-05-14,23.9372
2021-05-15,23.9372
2021-05-16,23.9372
2021-05-17,24.387
2021-05-18,24.1711
2021-05-19,23.7168
2021-05-20,23.7888
2021-05-21,24.0182
2021-05-22,24.0182
2021-05-23,24.0182
2021-05-24,24.1756
2021-05-25,24.2476
2021-05-26,24.6569
2021-05-27,24.8728
2021-05-28,24.9358
2021-05-29,24.9358
2021-05-30,24.9358
2021-05-31,24.9358
2021-06-01,25.5835
2021-06-02,25.48
2021-06-03,25.507
2021-06-04,25.5025
2021-06-05,25.5025
2021-06-06,25.5025
2021-06-07,25.1382
2021-06-08,25.3361
2021-06-09,25.8129
2021-06-10,25.498
2021-06-11,25.6015
2021-06-12,25.6015
2021-06-13,25.6015
2021-06-14,25.1022
2021-06-15,25.3316
2021-06-16,25.2326
2021-06-17,24.1396
2021-06-18,23.5504
2021-06-19,23.5504
2021-06-20,23.5504
2021-06-21,23.8652
2021-06-22,24.2071
2021-06-23,24.2296
2021-06-24,24.7064
2021-06-25,24.477
2021-06-26,24.477
2021-06-27,24.477
2021-06-28,24.1531
2021-06-29,24.297
2021-06-30,23.5567
2021-07-01,23.8472
2021-07-02,23.8825
2021-07-03,23.8825
2021-07-04,23.8825
2021-07-05,23.8825
2021-07-06,23.1737
2021-07-07,23.1561
2021-07-08,22.9007
2021-07-09,23.4554
2021-07-10,23.4554
2021-07-11,23.4554
2021-07-12,23.5919
2021-07-13,23.1341
2021-07-14,23.2001
2021-07-15,23.1077
2021-07-16,22.2492
2021-07-17,22.2492
2021-07-18,22.2492
2021-07-19,21.831
2021-07-20,22.3769
2021-07-21,22.4649
2021-07-22,22.2756
2021-07-23,22.2888
2021-07-24,22.2888
2021-07-25,22.2888
2021-07-26,22.4473
2021-07-27,22.4429
2021-07-28,22.597
2021-07-29,22.7335
2021-07-30,22.8423
2021-07-31,22.8423
2021-08-01,22.8423
2021-08-02,22.9565
2021-08-03,23.2376
2021-08-04,22.5963
2021-08-05,22.7281
2021-08-06,23.018
2021-08-07,23.018
2021-08-08,23.018
2021-08-09,23.0312
2021-08-10,23.1498
2021-08-11,23.5231
2021-08-12,23.365
2021-08-13,23.387
2021-08-14,23.387
2021-08-15,23.387
2021-08-16,23.119
2021-08-17,23.0312
2021-08-18,22.7412
2021-08-19,22.0252
2021-08-20,21.9945
2021-08-21,21.9945
2021-08-22,21.9945
2021-08-23,22.5348
2021-08-24,22.9828
2021-08-25,23.2552
2021-08-26,23.1014
2021-08-27,23.4924
2021-08-28,23.4924
2021-08-29,23.4924
2021-08-30,23.1673
2021-08-31,22.9565
2021-09-01,22.9389
2021-09-02,23.0399
2021-09-03,22.895
2021-09-04,22.895
2021-09-05,22.895
2021-09-06,22.895
2021-09-07,22.6446
2021-09-08,21.9242
2021-09-09,22.1219
2021-09-10,21.9242
2021-09-11,21.9242
2021-09-12,21.9242
2021-09-13,22.1219
2021-09-14,21.8539
2021-09-15,22.0999
2021-09-16,21.7353
2021-09-17,21.3048
2021-09-18,21.3048
2021-09-19,21.3048
2021-09-20,20.5449
2021-09-21,20.1013
2021-09-22,20.1671
2021-09-23,20.2506
2021-09-24,20.2374
2021-09-25,20.2374
2021-09-26,20.2374
2021-09-27,21.3619
2021-09-28,21.094
2021-09-29,21.1072
2021-09-30,14.6704
2021-10-01,14.9359
2021-10-02,14.9359
2021-10-03,14.9359
2021-10-04,14.797
2021-10-05,15.081
2021-10-06,14.9297
2021-10-07,15.1026
2021-10-08,15.3125
2021-10-09,15.3125
2021-10-10,15.3125
2021-10-11,15.3835
2021-10-12,15.2415
2021-10-13,14.9729
2021-10-14,15.2539
2021-10-15,15.2353
2021-10-16,15.2353
2021-10-17,15.2353
2021-10-18,15.1582
2021-10-19,15.1242
2021-10-20,15.1489
2021-10-21,14.8155
2021-10-22,14.7105
