,BBSI US Equity
2020-04-14,5.4335
2020-04-15,5.0564
2020-04-16,4.9724
2020-04-17,5.29
2020-04-18,5.29
2020-04-19,5.29
2020-04-20,4.9907
2020-04-21,5.0411
2020-04-22,5.0472
2020-04-23,5.2045
2020-04-24,5.0472
2020-04-25,5.0472
2020-04-26,5.0472
2020-04-27,5.3404
2020-04-28,5.7801
2020-04-29,6.4627
2020-04-30,6.1848
2020-05-01,5.8534
2020-05-02,5.8534
2020-05-03,5.8534
2020-05-04,5.571
2020-05-05,5.716
2020-05-06,5.3737
2020-05-07,5.4794
2020-05-08,5.9542
2020-05-09,5.9542
2020-05-10,5.9542
2020-05-11,5.5606
2020-05-12,5.1945
2020-05-13,5.0597
2020-05-14,4.8759
2020-05-15,5.291
2020-05-16,5.291
2020-05-17,5.291
2020-05-18,5.6463
2020-05-19,5.4059
2020-05-20,5.4763
2020-05-21,5.5345
2020-05-22,5.7107
2020-05-23,5.7107
2020-05-24,5.7107
2020-05-25,5.7107
2020-05-26,6.1901
2020-05-27,6.8059
2020-05-28,6.4643
2020-05-29,6.4811
2020-05-30,6.4811
2020-05-31,6.4811
2020-06-01,6.4658
2020-06-02,6.7032
2020-06-03,6.9636
2020-06-04,6.8396
2020-06-05,7.2164
2020-06-06,7.2164
2020-06-07,7.2164
2020-06-08,7.3604
2020-06-09,7.0341
2020-06-10,6.6343
2020-06-11,6.0124
2020-06-12,6.1687
2020-06-13,6.1687
2020-06-14,6.1687
2020-06-15,6.2299
2020-06-16,6.4551
2020-06-17,6.3142
2020-06-18,6.2115
2020-06-19,6.4459
2020-06-20,6.4459
2020-06-21,6.4459
2020-06-22,6.6297
2020-06-23,6.7676
2020-06-24,6.6052
2020-06-25,6.8166
2020-06-26,6.5133
2020-06-27,6.5133
2020-06-28,6.5133
2020-06-29,6.6803
2020-06-30,6.4927
2020-07-01,6.2191
2020-07-02,6.211
2020-07-03,6.211
2020-07-04,6.211
2020-07-05,6.211
2020-07-06,6.4096
2020-07-07,6.1768
2020-07-08,6.4438
2020-07-09,6.1507
2020-07-10,6.4927
2020-07-11,6.4927
2020-07-12,6.4927
2020-07-13,6.5057
2020-07-14,6.566
2020-07-15,7.1051
2020-07-16,6.8152
2020-07-17,6.6767
2020-07-18,6.6767
2020-07-19,6.6767
2020-07-20,6.6132
2020-07-21,6.7533
2020-07-22,6.5139
2020-07-23,6.3526
2020-07-24,6.4585
2020-07-25,6.4585
2020-07-26,6.4585
2020-07-27,6.1784
2020-07-28,6.421
2020-07-29,6.4699
2020-07-30,6.4715
2020-07-31,6.4194
2020-08-01,6.4194
2020-08-02,6.4194
2020-08-03,6.5937
2020-08-04,6.8461
2020-08-05,7.492
2020-08-06,7.3847
2020-08-07,7.4045
2020-08-08,7.4045
2020-08-09,7.4045
2020-08-10,7.5778
2020-08-11,7.9375
2020-08-12,7.8913
2020-08-13,7.9474
2020-08-14,8.015
2020-08-15,8.015
2020-08-16,8.015
2020-08-17,8.0794
2020-08-18,7.8715
2020-08-19,7.8104
2020-08-20,7.7156
2020-08-21,7.4309
2020-08-22,7.4309
2020-08-23,7.4309
2020-08-24,7.6306
2020-08-25,7.4524
2020-08-26,7.2923
2020-08-27,7.1934
2020-08-28,7.459
2020-08-29,7.459
2020-08-30,7.459
2020-08-31,7.3385
2020-09-01,7.3187
2020-09-02,7.2907
2020-09-03,7.1323
2020-09-04,6.7512
2020-09-05,6.7512
2020-09-06,6.7512
2020-09-07,6.7512
2020-09-08,6.4905
2020-09-09,6.4129
2020-09-10,6.436
2020-09-11,6.4443
2020-09-12,6.4443
2020-09-13,6.4443
2020-09-14,6.606
2020-09-15,6.6225
2020-09-16,6.601
2020-09-17,6.4756
2020-09-18,6.5647
2020-09-19,6.5647
2020-09-20,6.5647
2020-09-21,6.1539
2020-09-22,6.1836
2020-09-23,5.8833
2020-09-24,5.9312
2020-09-25,6.0071
2020-09-26,6.0071
2020-09-27,6.0071
2020-09-28,6.1918
2020-09-29,6.0582
2020-09-30,6.9997
2020-10-01,7.0739
2020-10-02,7.3725
2020-10-03,7.3725
2020-10-04,7.3725
2020-10-05,7.4886
2020-10-06,7.5742
2020-10-07,7.5133
2020-10-08,7.616
2020-10-09,7.5913
2020-10-10,7.5913
2020-10-11,7.5913
2020-10-12,7.5856
2020-10-13,7.4144
2020-10-14,7.5361
2020-10-15,7.7282
2020-10-16,7.9432
2020-10-17,7.9432
2020-10-18,7.9432
2020-10-19,8.2475
2020-10-20,8.5576
2020-10-21,8.5119
2020-10-22,8.744
2020-10-23,8.7915
2020-10-24,8.7915
2020-10-25,8.7915
2020-10-26,8.2361
2020-10-27,8.2361
2020-10-28,7.9736
2020-10-29,8.4967
2020-10-30,8.2951
2020-10-31,8.2951
2020-11-01,8.2951
2020-11-02,8.8391
2020-11-03,9.2366
2020-11-04,9.5774
2020-11-05,9.6917
2020-11-06,9.4174
2020-11-07,9.4174
2020-11-08,9.4174
2020-11-09,10.3431
2020-11-10,10.686
2020-11-11,10.6079
2020-11-12,10.246
2020-11-13,10.3679
2020-11-14,10.3679
2020-11-15,10.3679
2020-11-16,10.7736
2020-11-17,10.7107
2020-11-18,10.4593
2020-11-19,10.2898
2020-11-20,10.004
2020-11-21,10.004
2020-11-22,10.004
2020-11-23,10.0136
2020-11-24,10.5298
2020-11-25,10.2117
2020-11-26,10.2117
2020-11-27,10.3221
2020-11-28,10.3221
2020-11-29,10.3221
2020-11-30,9.7317
2020-12-01,9.9545
2020-12-02,9.9564
2020-12-03,10.0993
2020-12-04,10.4421
2020-12-05,10.4421
2020-12-06,10.4421
2020-12-07,10.225
2020-12-08,10.6421
2020-12-09,10.705
2020-12-10,10.5164
2020-12-11,10.385
2020-12-12,10.385
2020-12-13,10.385
2020-12-14,10.4574
2020-12-15,10.7012
2020-12-16,10.7812
2020-12-17,10.8098
2020-12-18,10.606
2020-12-19,10.606
2020-12-20,10.606
2020-12-21,10.5545
2020-12-22,10.4021
2020-12-23,10.4745
2020-12-24,10.2231
2020-12-25,10.2231
2020-12-26,10.2231
2020-12-27,10.2231
2020-12-28,10.046
2020-12-29,9.7374
2020-12-30,9.5983
2020-12-31,10.4936
2021-01-01,10.4936
2021-01-02,10.4936
2021-01-03,10.4936
2021-01-04,9.9754
2021-01-05,10.2017
2021-01-06,11.2107
2021-01-07,11.2023
2021-01-08,10.9167
2021-01-09,10.9167
2021-01-10,10.9167
2021-01-11,10.7348
2021-01-12,11.1198
2021-01-13,10.6777
2021-01-14,10.7453
2021-01-15,10.39
2021-01-16,10.39
2021-01-17,10.39
2021-01-18,10.39
2021-01-19,10.4407
2021-01-20,10.5592
2021-01-21,10.3329
2021-01-22,10.4196
2021-01-23,10.4196
2021-01-24,10.4196
2021-01-25,10.3032
2021-01-26,10.1446
2021-01-27,9.8019
2021-01-28,9.7279
2021-01-29,9.4021
2021-01-30,9.4021
2021-01-31,9.4021
2021-02-01,9.7194
2021-02-02,9.9225
2021-02-03,9.9373
2021-02-04,10.3244
2021-02-05,10.2144
2021-02-06,10.2144
2021-02-07,10.2144
2021-02-08,10.6248
2021-02-09,10.9526
2021-02-10,10.8067
2021-02-11,11.0034
2021-02-12,10.8511
2021-02-13,10.8511
2021-02-14,10.8511
2021-02-15,10.8511
2021-02-16,10.8511
2021-02-17,10.9188
2021-02-18,10.9442
2021-02-19,11.2107
2021-02-20,11.2107
2021-02-21,11.2107
2021-02-22,11.5386
2021-02-23,11.454
2021-02-24,11.4773
2021-02-25,11.2742
2021-02-26,11.1261
2021-02-27,11.1261
2021-02-28,11.1261
2021-03-01,11.5682
2021-03-02,11.8474
2021-03-03,11.8242
2021-03-04,10.923
2021-03-05,11.2149
2021-03-06,11.2149
2021-03-07,11.2149
2021-03-08,11.8432
2021-03-09,11.3873
2021-03-10,10.9882
2021-03-11,11.1668
2021-03-12,11.4588
2021-03-13,11.4588
2021-03-14,11.4588
2021-03-15,11.5449
2021-03-16,10.9021
2021-03-17,10.8097
2021-03-18,10.9441
2021-03-19,11.4567
2021-03-20,11.4567
2021-03-21,11.4567
2021-03-22,10.9798
2021-03-23,10.7004
2021-03-24,10.5933
2021-03-25,10.7277
2021-03-26,10.8307
2021-03-27,10.8307
2021-03-28,10.8307
2021-03-29,10.5597
2021-03-30,10.6206
2021-03-31,11.4449
2021-04-01,11.9643
2021-04-02,11.9643
2021-04-03,11.9643
2021-04-04,11.9643
2021-04-05,12.1367
2021-04-06,12.0558
2021-04-07,11.96
2021-04-08,12.0686
2021-04-09,11.9238
2021-04-10,11.9238
2021-04-11,11.9238
2021-04-12,11.7025
2021-04-13,11.5535
2021-04-14,11.6237
2021-04-15,11.5769
2021-04-16,11.7514
2021-04-17,11.7514
2021-04-18,11.7514
2021-04-19,11.513
2021-04-20,11.4704
2021-04-21,11.4939
2021-04-22,11.4875
2021-04-23,11.672
2021-04-24,11.672
2021-04-25,11.672
2021-04-26,11.4348
2021-04-27,11.5365
2021-04-28,11.727
2021-04-29,11.9325
2021-04-30,12.3158
2021-05-01,12.3158
2021-05-02,12.3158
2021-05-03,12.9722
2021-05-04,12.7774
2021-05-05,12.519
2021-05-06,13.0619
2021-05-07,13.414
2021-05-08,13.414
2021-05-09,13.414
2021-05-10,13.5942
2021-05-11,12.6759
2021-05-12,12.1754
2021-05-13,12.5338
2021-05-14,12.5487
2021-05-15,12.5487
2021-05-16,12.5487
2021-05-17,12.5996
2021-05-18,12.6102
2021-05-19,12.4172
2021-05-20,12.5338
2021-05-21,12.5296
2021-05-22,12.5296
2021-05-23,12.5296
2021-05-24,12.8329
2021-05-25,12.4405
2021-05-26,12.6377
2021-05-27,12.801
2021-05-28,12.5805
2021-05-29,12.5805
2021-05-30,12.5805
2021-05-31,12.5805
2021-06-01,12.589
2021-06-02,12.4829
2021-06-03,12.625
2021-06-04,12.5614
2021-06-05,12.5614
2021-06-06,12.5614
2021-06-07,12.6081
2021-06-08,12.6759
2021-06-09,12.7268
2021-06-10,12.7332
2021-06-11,12.7629
2021-06-12,12.7629
2021-06-13,12.7629
2021-06-14,12.782
2021-06-15,12.8838
2021-06-16,12.6187
2021-06-17,12.5275
2021-06-18,11.8297
2021-06-19,11.8297
2021-06-20,11.8297
2021-06-21,12.0397
2021-06-22,12.2221
2021-06-23,12.3493
2021-06-24,12.6441
2021-06-25,12.905
2021-06-26,12.905
2021-06-27,12.905
2021-06-28,12.5147
2021-06-29,12.2751
2021-06-30,10.639
2021-07-01,10.7682
2021-07-02,10.6287
2021-07-03,10.6287
2021-07-04,10.6287
2021-07-05,10.6287
2021-07-06,10.2516
2021-07-07,10.4961
2021-07-08,10.4272
2021-07-09,10.6184
2021-07-10,10.6184
2021-07-11,10.6184
2021-07-12,10.6545
2021-07-13,10.577
2021-07-14,10.6958
2021-07-15,10.6425
2021-07-16,10.6442
2021-07-17,10.6442
2021-07-18,10.6442
2021-07-19,10.1311
2021-07-20,10.379
2021-07-21,10.4927
2021-07-22,10.2258
2021-07-23,10.4996
2021-07-24,10.4996
2021-07-25,10.4996
2021-07-26,10.3704
2021-07-27,10.5013
2021-07-28,10.6821
2021-07-29,10.7423
2021-07-30,10.7423
2021-07-31,10.7423
2021-08-01,10.7423
2021-08-02,10.6253
2021-08-03,10.6287
2021-08-04,10.4725
2021-08-05,11.3377
2021-08-06,11.207
2021-08-07,11.207
2021-08-08,11.207
2021-08-09,11.539
2021-08-10,11.5906
2021-08-11,11.5854
2021-08-12,11.7007
2021-08-13,11.6216
2021-08-14,11.6216
2021-08-15,11.6216
2021-08-16,11.5562
2021-08-17,11.3515
2021-08-18,10.9834
2021-08-19,10.9593
2021-08-20,10.9662
2021-08-21,10.9662
2021-08-22,10.9662
2021-08-23,11.1347
2021-08-24,11.0436
2021-08-25,10.9834
2021-08-26,11.0332
2021-08-27,11.2878
2021-08-28,11.2878
2021-08-29,11.2878
2021-08-30,11.2741
2021-08-31,11.4685
2021-09-01,11.422
2021-09-02,11.5321
2021-09-03,11.4203
2021-09-04,11.4203
2021-09-05,11.4203
2021-09-06,11.4203
2021-09-07,11.3652
2021-09-08,11.6112
2021-09-09,11.4237
2021-09-10,11.3222
2021-09-11,11.3222
2021-09-12,11.3222
2021-09-13,11.1949
2021-09-14,10.9145
2021-09-15,11.2276
2021-09-16,11.2225
2021-09-17,10.8337
2021-09-18,10.8337
2021-09-19,10.8337
2021-09-20,10.8578
2021-09-21,10.7993
2021-09-22,11.1967
2021-09-23,11.3171
2021-09-24,11.637
2021-09-25,11.637
2021-09-26,11.637
2021-09-27,11.8125
2021-09-28,11.508
2021-09-29,11.6095
2021-09-30,12.3883
2021-10-01,12.9817
2021-10-02,12.9817
2021-10-03,12.9817
2021-10-04,12.8434
2021-10-05,13.0067
2021-10-06,13.0105
2021-10-07,13.1065
2021-10-08,13.4311
2021-10-09,13.4311
2021-10-10,13.4311
2021-10-11,13.3927
2021-10-12,13.2717
2021-10-13,12.974
2021-10-14,12.83
2021-10-15,13.0604
2021-10-16,13.0604
2021-10-17,13.0604
2021-10-18,13.0931
2021-10-19,13.289
2021-10-20,13.506
2021-10-21,13.4042
2021-10-22,13.3946
2021-10-23,13.3946
2021-10-24,13.3946
2021-10-25,13.4753
2021-10-26,13.2986
2021-10-27,13.4138
2021-10-28,13.4906
2021-10-29,13.4906
2021-10-30,13.4906
2021-10-31,13.4906
2021-11-01,13.819
2021-11-02,13.9765
2021-11-03,13.9956
2021-11-04,12.8838
2021-11-05,13.4406
2021-11-06,13.4406
2021-11-07,13.4406
2021-11-08,13.2385
2021-11-09,13.0459
2021-11-10,12.92
2021-11-11,13.0535
2021-11-12,12.983
2021-11-13,12.983
2021-11-14,12.983
2021-11-15,12.6168
2021-11-16,12.6664
2021-11-17,12.3746
2021-11-18,12.1572
2021-11-19,12.0962
2021-11-20,12.0962
2021-11-21,12.0962
2021-11-22,12.2602
2021-11-23,12.4338
2021-11-24,12.2869
2021-11-25,12.2869
2021-11-26,11.8502
2021-11-27,11.8502
2021-11-28,11.8502
2021-11-29,11.6519
2021-11-30,11.2038
2021-12-01,11.0474
2021-12-02,11.3201
2021-12-03,10.9825
2021-12-04,10.9825
2021-12-05,10.9825
2021-12-06,11.1618
2021-12-07,11.1942
2021-12-08,11.1446
2021-12-09,10.8567
2021-12-10,10.9368
2021-12-11,10.9368
2021-12-12,10.9368
2021-12-13,10.5115
2021-12-14,10.3342
2021-12-15,10.296
2021-12-16,10.2426
2021-12-17,10.5191
2021-12-18,10.5191
2021-12-19,10.5191
2021-12-20,10.7613
2021-12-21,10.8986
2021-12-22,11.0836
2021-12-23,10.9711
2021-12-24,10.9711
2021-12-25,10.9711
2021-12-26,10.9711
2021-12-27,11.179
2021-12-28,11.0912
2021-12-29,11.0436
2021-12-30,10.9215
2021-12-31,8.5928
2022-01-01,8.5928
2022-01-02,8.5928
2022-01-03,8.6167
2022-01-04,8.5808
2022-01-05,8.451
2022-01-06,8.5484
2022-01-07,8.2528
2022-01-08,8.2528
2022-01-09,8.2528
2022-01-10,8.1058
2022-01-11,8.2015
2022-01-12,8.1144
2022-01-13,8.1332
2022-01-14,8.0614
2022-01-15,8.0614
2022-01-16,8.0614
2022-01-17,8.0614
2022-01-18,7.8034
2022-01-19,7.7778
2022-01-20,7.8273
2022-01-21,7.9008
2022-01-22,7.9008
2022-01-23,7.9008
2022-01-24,8.0699
2022-01-25,7.9179
2022-01-26,7.8359
2022-01-27,7.7914
2022-01-28,7.8119
2022-01-29,7.8119
2022-01-30,7.8119
2022-01-31,7.7282
2022-02-01,7.8154
2022-02-02,7.6838
2022-02-03,7.5078
2022-02-04,7.7555
2022-02-05,7.7555
2022-02-06,7.7555
2022-02-07,7.6445
2022-02-08,7.6684
2022-02-09,7.4975
2022-02-10,7.2156
2022-02-11,7.1438
2022-02-12,7.1438
2022-02-13,7.1438
2022-02-14,7.0003
2022-02-15,7.0447
2022-02-16,7.0635
2022-02-17,7.1558
2022-02-18,7.1558
2022-02-19,7.1558
2022-02-20,7.1558
2022-02-21,7.1558
2022-02-22,7.1011
2022-02-23,6.9098
2022-02-24,6.9559
2022-02-25,7.1951
2022-02-26,7.1951
2022-02-27,7.1951
2022-02-28,7.0704
2022-03-01,6.8209
2022-03-02,7.2481
2022-03-03,8.9653
2022-03-04,9.3395
2022-03-05,9.3395
2022-03-06,9.3395
2022-03-07,9.0564
2022-03-08,9.0817
2022-03-09,9.1476
2022-03-10,9.3386
2022-03-11,9.3217
2022-03-12,9.3217
2022-03-13,9.3217
2022-03-14,9.5279
2022-03-15,9.4366
2022-03-16,9.565
2022-03-17,9.6563
2022-03-18,9.7729
2022-03-19,9.7729
2022-03-20,9.7729
2022-03-21,9.5786
2022-03-22,9.5735
2022-03-23,9.6952
2022-03-24,9.9622
2022-03-25,9.9148
2022-03-26,9.9148
2022-03-27,9.9148
2022-03-28,9.805
2022-03-29,9.974
2022-03-30,9.7661
2022-03-31,9.3179
2022-04-01,9.4038
2022-04-02,9.4038
2022-04-03,9.4038
2022-04-04,9.1358
2022-04-05,8.9389
2022-04-06,8.7421
2022-04-07,8.7805
2022-04-08,8.6769
2022-04-09,8.6769
2022-04-10,8.6769
2022-04-11,8.7302
2022-04-12,8.7435
2022-04-13,8.7879
2022-04-14,8.7258
2022-04-15,8.7258
2022-04-16,8.7258
2022-04-17,8.7258
2022-04-18,8.6902
2022-04-19,8.8412
2022-04-20,9.161
2022-04-21,9.3815
2022-04-22,8.7738
2022-04-23,8.7738
2022-04-24,8.7738
2022-04-25,8.7883
2022-04-26,8.7679
2022-04-27,8.4981
2022-04-28,8.6425
2022-04-29,8.3478
2022-04-30,8.3478
2022-05-01,8.3478
2022-05-02,8.4368
2022-05-03,8.6016
2022-05-04,8.7767
2022-05-05,9.2459
2022-05-06,9.0429
2022-05-07,9.0429
2022-05-08,9.0429
2022-05-09,9.0094
2022-05-10,8.824
2022-05-11,8.6692
2022-05-12,8.2634
2022-05-13,8.5875
2022-05-14,8.5875
2022-05-15,8.5875
2022-05-16,8.4415
2022-05-17,8.6663
2022-05-18,8.3758
2022-05-19,8.3612
2022-05-20,8.2254
2022-05-21,8.2254
2022-05-22,8.2254
2022-05-23,8.421
2022-05-24,8.3407
2022-05-25,8.4546
2022-05-26,8.6634
2022-05-27,8.6867
2022-05-28,8.6867
2022-05-29,8.6867
2022-05-30,8.6867
2022-05-31,8.7787
2022-06-01,8.6838
2022-06-02,8.824
2022-06-03,8.6692
2022-06-04,8.6692
2022-06-05,8.6692
2022-06-06,8.8371
2022-06-07,8.8021
2022-06-08,8.9101
2022-06-09,8.7028
2022-06-10,8.2896
2022-06-11,8.2896
2022-06-12,8.2896
2022-06-13,7.9918
2022-06-14,8.0137
2022-06-15,8.0575
2022-06-16,7.7261
2022-06-17,7.8663
2022-06-18,7.8663
2022-06-19,7.8663
2022-06-20,7.8663
2022-06-21,8.3115
2022-06-22,8.3656
2022-06-23,8.2823
2022-06-24,8.9261
2022-06-25,8.9261
2022-06-26,8.9261
2022-06-27,8.5393
2022-06-28,8.402
2022-06-29,8.275
2022-06-30,8.3793
2022-07-01,8.4723
2022-07-02,8.4723
2022-07-03,8.4723
2022-07-04,8.4723
2022-07-05,8.328
2022-07-06,8.5306
2022-07-07,8.5611
2022-07-08,8.6777
2022-07-09,8.6777
2022-07-10,8.6777
2022-07-11,8.5223
2022-07-12,8.507
2022-07-13,8.4765
2022-07-14,8.4182
2022-07-15,8.5875
2022-07-16,8.5875
2022-07-17,8.5875
2022-07-18,8.618
2022-07-19,8.9178
2022-07-20,8.965
2022-07-21,9.1107
2022-07-22,9.0343
2022-07-23,9.0343
2022-07-24,9.0343
2022-07-25,9.1023
2022-07-26,9.1579
2022-07-27,9.3605
2022-07-28,9.5867
2022-07-29,9.5894
2022-07-30,9.5894
2022-07-31,9.5894
2022-08-01,9.6186
2022-08-02,9.5034
2022-08-03,9.4729
2022-08-04,9.1091
2022-08-05,9.4343
2022-08-06,9.4343
2022-08-07,9.4343
2022-08-08,9.5432
2022-08-09,9.3994
2022-08-10,9.4626
2022-08-11,9.4693
2022-08-12,9.644
2022-08-13,9.644
2022-08-14,9.644
2022-08-15,9.6668
2022-08-16,9.8012
2022-08-17,9.7421
2022-08-18,9.7636
2022-08-19,9.7905
2022-08-20,9.7905
2022-08-21,9.7905
2022-08-22,9.5714
2022-08-23,9.4034
2022-08-24,9.4249
2022-08-25,9.5472
2022-08-26,9.2448
2022-08-27,9.2448
2022-08-28,9.2448
2022-08-29,9.2959
2022-08-30,9.1481
2022-08-31,9.1037
2022-09-01,9.1024
2022-09-02,8.9586
2022-09-03,8.9586
2022-09-04,8.9586
2022-09-05,8.9586
2022-09-06,9.1508
2022-09-07,9.261
2022-09-08,9.2287
2022-09-09,9.3806
2022-09-10,9.3806
2022-09-11,9.3806
2022-09-12,9.4169
2022-09-13,9.1105
2022-09-14,9.1239
2022-09-15,9.1709
2022-09-16,9.0446
2022-09-17,9.0446
2022-09-18,9.0446
2022-09-19,9.2677
2022-09-20,9.1266
2022-09-21,9.0715
2022-09-22,8.8928
2022-09-23,8.7194
2022-09-24,8.7194
2022-09-25,8.7194
2022-09-26,8.6321
2022-09-27,8.6038
2022-09-28,8.7705
2022-09-29,8.7705
2022-09-30,7.7232
2022-10-01,7.7232
2022-10-02,7.7232
2022-10-03,7.9382
2022-10-04,8.1136
2022-10-05,7.9876
2022-10-06,7.8887
2022-10-07,7.822
2022-10-08,7.822
2022-10-09,7.822
2022-10-10,7.8702
2022-10-11,7.8962
2022-10-12,7.9456
2022-10-13,8.1766
2022-10-14,7.9567
2022-10-15,7.9567
2022-10-16,7.9567
2022-10-17,8.2273
2022-10-18,8.3064
2022-10-19,8.3484
2022-10-20,8.2582
2022-10-21,8.3484
2022-10-22,8.3484
2022-10-23,8.3484
2022-10-24,8.5794
2022-10-25,8.6795
2022-10-26,8.399
2022-10-27,8.3842
2022-10-28,8.8055
2022-10-29,8.8055
2022-10-30,8.8055
2022-10-31,8.8624
2022-11-01,8.8352
2022-11-02,8.6313
2022-11-03,9.1222
2022-11-04,8.9426
2022-11-05,8.9426
2022-11-06,8.9426
2022-11-07,9.593
2022-11-08,9.5869
2022-11-09,9.6015
2022-11-10,10.0007
2022-11-11,9.7896
2022-11-12,9.7896
2022-11-13,9.7896
2022-11-14,9.667
2022-11-15,9.7338
2022-11-16,9.6209
2022-11-17,9.6877
2022-11-18,9.8248
2022-11-19,9.8248
2022-11-20,9.8248
2022-11-21,9.9146
2022-11-22,10.0335
2022-11-23,9.9934
2022-11-24,9.9934
2022-11-25,10.0614
2022-11-26,10.0614
2022-11-27,10.0614
2022-11-28,9.8891
2022-11-29,9.752
2022-11-30,10.0177
2022-12-01,10.1221
2022-12-02,10.1597
2022-12-03,10.1597
2022-12-04,10.1597
2022-12-05,9.9109
2022-12-06,9.9364
2022-12-07,9.6828
2022-12-08,9.5675
2022-12-09,9.4195
2022-12-10,9.4195
2022-12-11,9.4195
2022-12-12,9.4304
2022-12-13,9.6306
2022-12-14,9.6124
2022-12-15,9.3503
2022-12-16,9.3103
2022-12-17,9.3103
2022-12-18,9.3103
2022-12-19,9.3612
2022-12-20,9.5335
2022-12-21,9.8199
2022-12-22,9.4158
2022-12-23,9.5372
2022-12-24,9.5372
2022-12-25,9.5372
2022-12-26,9.5372
2022-12-27,9.3709
2022-12-28,9.1974
2022-12-29,9.4292
2022-12-30,8.6619
2022-12-31,8.6619
2023-01-01,8.6619
2023-01-02,8.6619
2023-01-03,8.6277
2023-01-04,8.5627
2023-01-05,8.3337
2023-01-06,8.7823
2023-01-07,8.7823
2023-01-08,8.7823
2023-01-09,8.6253
2023-01-10,8.9027
2023-01-11,8.9074
2023-01-12,9.0916
2023-01-13,9.1636
2023-01-14,9.1636
2023-01-15,9.1636
2023-01-16,9.1636
2023-01-17,9.1247
2023-01-18,8.9429
2023-01-19,8.9098
2023-01-20,8.9452
2023-01-21,8.9452
2023-01-22,8.9452
2023-01-23,8.8992
2023-01-24,8.944
2023-01-25,8.9511
2023-01-26,9.068
2023-01-27,8.9429
2023-01-28,8.9429
2023-01-29,8.9429
2023-01-30,9.0066
2023-01-31,9.382
2023-02-01,9.0845
2023-02-02,9.2651
2023-02-03,9.3737
2023-02-04,9.3737
2023-02-05,9.3737
2023-02-06,9.1613
2023-02-07,9.264
2023-02-08,8.9948
2023-02-09,8.8673
2023-02-10,8.9216
2023-02-11,8.9216
2023-02-12,8.9216
2023-02-13,8.9995
2023-02-14,8.9417
2023-02-15,9.2403
2023-02-16,9.2781
2023-02-17,9.3572
2023-02-18,9.3572
2023-02-19,9.3572
2023-02-20,9.3572
2023-02-21,9.2274
2023-02-22,9.1506
2023-02-23,9.1483
2023-02-24,9.0751
2023-02-25,9.0751
2023-02-26,9.0751
2023-02-27,9.0574
2023-02-28,8.9806
2023-03-01,9.0822
2023-03-02,8.3715
2023-03-03,8.4636
2023-03-04,8.4636
2023-03-05,8.4636
2023-03-06,8.402
2023-03-07,8.5232
2023-03-08,8.2784
2023-03-09,8.3075
2023-03-10,8.0953
2023-03-11,8.0953
2023-03-12,8.0953
2023-03-13,7.7817
2023-03-14,7.826
2023-03-15,7.594
2023-03-16,7.7747
2023-03-17,7.6219
2023-03-18,7.6219
