,LEA US Equity
2020-12-18,34.8396
2020-12-19,34.8396
2020-12-20,34.8396
2020-12-21,34.6281
2020-12-22,34.6828
2020-12-23,35.2443
2020-12-24,34.8706
2020-12-25,34.8706
2020-12-26,34.8706
2020-12-27,34.8706
2020-12-28,34.7539
2020-12-29,34.6828
2020-12-30,34.9854
2020-12-31,23.8082
2021-01-01,23.8082
2021-01-02,23.8082
2021-01-03,23.8082
2021-01-04,23.6063
2021-01-05,23.9529
2021-01-06,24.6538
2021-01-07,25.2518
2021-01-08,24.6792
2021-01-09,24.6792
2021-01-10,24.6792
2021-01-11,24.3998
2021-01-12,24.7858
2021-01-13,24.278
2021-01-14,24.5649
2021-01-15,23.9047
2021-01-16,23.9047
2021-01-17,23.9047
2021-01-18,23.9047
2021-01-19,24.3186
2021-01-20,24.8848
2021-01-21,24.9356
2021-01-22,24.8302
2021-01-23,24.8302
2021-01-24,24.8302
2021-01-25,24.198
2021-01-26,23.4146
2021-01-27,22.3278
2021-01-28,23.1023
2021-01-29,22.7582
2021-01-30,22.7582
2021-01-31,22.7582
2021-02-01,23.5289
2021-02-02,23.7726
2021-02-03,23.958
2021-02-04,23.0705
2021-02-05,23.3867
2021-02-06,23.3867
2021-02-07,23.3867
2021-02-08,23.939
2021-02-09,24.1853
2021-02-10,24.1504
2021-02-11,23.98
2021-02-12,23.9152
2021-02-13,23.9152
2021-02-14,23.9152
2021-02-15,23.9152
2021-02-16,24.2737
2021-02-17,24.3703
2021-02-18,24.1783
2021-02-19,24.9309
2021-02-20,24.9309
2021-02-21,24.9309
2021-02-22,25.1979
2021-02-23,25.2017
2021-02-24,25.0034
2021-02-25,24.4122
2021-02-26,24.7313
2021-02-27,24.7313
2021-02-28,24.7313
2021-03-01,25.2487
2021-03-02,25.1991
2021-03-03,25.3555
2021-03-04,24.6906
2021-03-05,26.0826
2021-03-06,26.0826
2021-03-07,26.0826
2021-03-08,26.5479
2021-03-09,26.3674
2021-03-10,26.9522
2021-03-11,27.2598
2021-03-12,27.6132
2021-03-13,27.6132
2021-03-14,27.6132
2021-03-15,27.7124
2021-03-16,27.6094
2021-03-17,28.3048
2021-03-18,27.5674
2021-03-19,26.9318
2021-03-20,26.9318
2021-03-21,26.9318
2021-03-22,26.3839
2021-03-23,25.2309
2021-03-24,25.3352
2021-03-25,25.7267
2021-03-26,26.3064
2021-03-27,26.3064
2021-03-28,26.3064
2021-03-29,25.6186
2021-03-30,26.2009
2021-03-31,26.6585
2021-04-01,20.6097
2021-04-02,20.6097
2021-04-03,20.6097
2021-04-04,20.6097
2021-04-05,20.7647
2021-04-06,20.7231
2021-04-07,20.5081
2021-04-08,20.4942
2021-04-09,20.5031
2021-04-10,20.5031
2021-04-11,20.5031
2021-04-12,20.626
2021-04-13,20.2892
2021-04-14,20.5893
2021-04-15,20.7627
2021-04-16,20.8241
2021-04-17,20.8241
2021-04-18,20.8241
2021-04-19,20.6369
2021-04-20,19.8166
2021-04-21,20.6458
2021-04-22,20.7181
2021-04-23,21.3502
2021-04-24,21.3502
2021-04-25,21.3502
2021-04-26,21.5394
2021-04-27,21.9822
2021-04-28,22.1011
2021-04-29,21.5077
2021-04-30,20.9816
2021-05-01,20.9816
2021-05-02,20.9816
2021-05-03,21.155
2021-05-04,20.8836
2021-05-05,21.3977
2021-05-06,21.8108
2021-05-07,22.1013
2021-05-08,22.1013
2021-05-09,22.1013
2021-05-10,21.6564
2021-05-11,21.2601
2021-05-12,20.524
2021-05-13,20.8529
2021-05-14,21.2175
2021-05-15,21.2175
2021-05-16,21.2175
2021-05-17,21.0986
2021-05-18,21.0164
2021-05-19,20.9659
2021-05-20,20.6805
2021-05-21,21.4246
2021-05-22,21.4246
2021-05-23,21.4246
2021-05-24,21.2998
2021-05-25,21.1918
2021-05-26,21.3909
2021-05-27,21.8447
2021-05-28,21.9269
2021-05-29,21.9269
2021-05-30,21.9269
2021-05-31,21.9269
2021-06-01,22.4699
2021-06-02,22.4035
2021-06-03,22.8949
2021-06-04,22.7255
2021-06-05,22.7255
2021-06-06,22.7255
2021-06-07,22.2866
2021-06-08,22.351
2021-06-09,22.0339
2021-06-10,21.598
2021-06-11,21.8516
2021-06-12,21.8516
2021-06-13,21.8516
2021-06-14,21.3344
2021-06-15,21.2879
2021-06-16,20.7697
2021-06-17,20.0365
2021-06-18,19.5639
2021-06-19,19.5639
2021-06-20,19.5639
2021-06-21,19.9959
2021-06-22,20.2347
2021-06-23,20.306
2021-06-24,20.4378
2021-06-25,20.3962
2021-06-26,20.3962
2021-06-27,20.3962
2021-06-28,20.1079
2021-06-29,20.1584
2021-06-30,20.1356
2021-07-01,20.3635
2021-07-02,11.0599
2021-07-03,11.0599
2021-07-04,11.0599
2021-07-05,11.0599
2021-07-06,10.7949
2021-07-07,10.5336
2021-07-08,10.5787
2021-07-09,10.8888
2021-07-10,10.8888
2021-07-11,10.8888
2021-07-12,10.8226
2021-07-13,10.6813
2021-07-14,10.6819
2021-07-15,10.6026
2021-07-16,10.325
2021-07-17,10.325
2021-07-18,10.325
2021-07-19,10.2338
2021-07-20,10.5602
2021-07-21,10.6542
2021-07-22,10.4874
2021-07-23,10.5092
2021-07-24,10.5092
2021-07-25,10.5092
2021-07-26,10.6064
2021-07-27,10.5564
2021-07-28,10.6699
2021-07-29,11.0268
2021-07-30,10.9404
2021-07-31,10.9404
2021-08-01,10.9404
2021-08-02,10.8025
2021-08-03,10.8655
2021-08-04,10.4956
2021-08-05,10.6373
2021-08-06,10.5834
2021-08-07,10.5834
2021-08-08,10.5834
2021-08-09,10.3351
2021-08-10,10.4808
2021-08-11,10.5844
2021-08-12,10.5283
2021-08-13,10.619
2021-08-14,10.619
2021-08-15,10.619
2021-08-16,10.5968
2021-08-17,10.238
2021-08-18,10.1625
2021-08-19,9.7826
2021-08-20,9.8322
2021-08-21,9.8322
2021-08-22,9.8322
2021-08-23,9.9941
2021-08-24,10.1571
2021-08-25,10.1884
2021-08-26,10.0831
2021-08-27,10.3125
2021-08-28,10.3125
2021-08-29,10.3125
2021-08-30,10.1161
2021-08-31,10.0664
2021-09-01,9.9774
2021-09-02,10.0594
2021-09-03,10.0357
2021-09-04,10.0357
2021-09-05,10.0357
2021-09-06,10.0357
2021-09-07,9.938
2021-09-08,9.9132
2021-09-09,9.8905
2021-09-10,9.7885
2021-09-11,9.7885
2021-09-12,9.7885
2021-09-13,9.9196
2021-09-14,9.9342
2021-09-15,10.1026
2021-09-16,9.7999
2021-09-17,9.6946
2021-09-18,9.6946
2021-09-19,9.6946
2021-09-20,9.3784
2021-09-21,9.3234
2021-09-22,9.5214
2021-09-23,9.7885
2021-09-24,9.8295
2021-09-25,9.8295
2021-09-26,9.8295
2021-09-27,10.0756
2021-09-28,10.0621
2021-09-29,9.9887
2021-09-30,9.8797
2021-10-01,13.1043
2021-10-02,13.1043
2021-10-03,13.1043
2021-10-04,13.1411
2021-10-05,13.2168
2021-10-06,12.9672
2021-10-07,13.4971
2021-10-08,13.7255
2021-10-09,13.7255
2021-10-10,13.7255
2021-10-11,13.6921
2021-10-12,14.016
2021-10-13,13.9498
2021-10-14,14.2574
2021-10-15,14.4633
2021-10-16,14.4633
2021-10-17,14.4633
2021-10-18,14.1715
2021-10-19,14.0248
2021-10-20,14.198
2021-10-21,14.1033
2021-10-22,13.8237
2021-10-23,13.8237
2021-10-24,13.8237
2021-10-25,13.7664
2021-10-26,13.4186
2021-10-27,13.6334
2021-10-28,13.8237
2021-10-29,13.971
2021-10-30,13.971
2021-10-31,13.971
2021-11-01,14.2717
2021-11-02,14.069
2021-11-03,14.467
2021-11-04,14.3262
2021-11-05,14.382
2021-11-06,14.382
2021-11-07,14.382
2021-11-08,14.4024
2021-11-09,14.512
2021-11-10,14.3323
2021-11-11,14.3521
2021-11-12,14.7406
2021-11-13,14.7406
2021-11-14,14.7406
2021-11-15,14.974
2021-11-16,14.974
2021-11-17,14.5678
2021-11-18,14.6453
2021-11-19,14.3276
2021-11-20,14.3276
2021-11-21,14.3276
2021-11-22,14.4119
2021-11-23,14.5718
2021-11-24,14.448
2021-11-25,14.448
2021-11-26,13.905
2021-11-27,13.905
2021-11-28,13.905
2021-11-29,13.7526
2021-11-30,13.6702
2021-12-01,13.8002
2021-12-02,14.216
2021-12-03,14.1438
2021-12-04,14.1438
2021-12-05,14.1438
2021-12-06,14.4255
2021-12-07,14.7733
2021-12-08,15.0448
2021-12-09,14.7644
2021-12-10,15.0203
2021-12-11,15.0203
2021-12-12,15.0203
2021-12-13,14.759
2021-12-14,14.6685
2021-12-15,14.6603
2021-12-16,14.3371
2021-12-17,14.12
2021-12-18,14.12
2021-12-19,14.12
2021-12-20,13.6689
2021-12-21,13.8703
2021-12-22,14.1084
2021-12-23,14.5024
2021-12-24,14.5024
2021-12-25,14.5024
2021-12-26,14.5024
2021-12-27,14.7984
2021-12-28,14.6862
2021-12-29,14.6372
2021-12-30,14.6154
2021-12-31,18.7052
2022-01-01,18.7052
2022-01-02,18.7052
2022-01-03,18.9008
2022-01-04,19.5511
2022-01-05,19.1788
2022-01-06,19.3692
2022-01-07,19.0698
2022-01-08,19.0698
2022-01-09,19.0698
2022-01-10,18.9798
2022-01-11,19.0535
2022-01-12,18.9266
2022-01-13,19.371
2022-01-14,19.4001
2022-01-15,19.4001
2022-01-16,19.4001
2022-01-17,19.4001
2022-01-18,19.1196
2022-01-19,18.3527
2022-01-20,17.7092
2022-01-21,17.644
2022-01-22,17.644
2022-01-23,17.644
2022-01-24,17.9091
2022-01-25,17.6801
2022-01-26,17.7015
2022-01-27,17.3627
2022-01-28,17.0581
2022-01-29,17.0581
2022-01-30,17.0581
2022-01-31,17.3644
2022-02-01,17.656
2022-02-02,17.7641
2022-02-03,17.2957
2022-02-04,17.391
2022-02-05,17.391
2022-02-06,17.391
2022-02-07,17.638
2022-02-08,17.7307
2022-02-09,17.8156
2022-02-10,17.3165
2022-02-11,16.7898
2022-02-12,16.7898
2022-02-13,16.7898
2022-02-14,17.3783
2022-02-15,18.0596
2022-02-16,18.0931
2022-02-17,17.8216
2022-02-18,17.7675
2022-02-19,17.7675
2022-02-20,17.7675
2022-02-21,17.7675
2022-02-22,17.1292
2022-02-23,17.0845
2022-02-24,16.9625
2022-02-25,17.3474
2022-02-26,17.3474
2022-02-27,17.3474
2022-02-28,16.5278
2022-03-01,15.3808
2022-03-02,16.1352
2022-03-03,15.9857
2022-03-04,15.3095
2022-03-05,15.3095
2022-03-06,15.3095
2022-03-07,14.1042
2022-03-08,14.4684
2022-03-09,15.1454
2022-03-10,14.8808
2022-03-11,14.6772
2022-03-12,14.6772
2022-03-13,14.6772
2022-03-14,14.7356
2022-03-15,14.8765
2022-03-16,15.7168
2022-03-17,15.6197
2022-03-18,15.4075
2022-03-19,15.4075
2022-03-20,15.4075
2022-03-21,15.3009
2022-03-22,15.1901
2022-03-23,15.0157
2022-03-24,15.2752
2022-03-25,15.3259
2022-03-26,15.3259
2022-03-27,15.3259
2022-03-28,15.2829
2022-03-29,15.8834
2022-03-30,15.5217
2022-03-31,15.2606
2022-04-01,20.9548
2022-04-02,20.9548
2022-04-03,20.9548
2022-04-04,20.971
2022-04-05,19.9327
2022-04-06,19.6339
2022-04-07,19.0732
2022-04-08,19.2725
2022-04-09,19.2725
2022-04-10,19.2725
2022-04-11,19.5342
2022-04-12,19.5331
2022-04-13,19.3454
2022-04-14,19.3176
2022-04-15,19.3176
2022-04-16,19.3176
2022-04-17,19.3176
2022-04-18,19.4312
2022-04-19,19.7879
2022-04-20,20.0045
2022-04-21,20.008
2022-04-22,19.503
2022-04-23,19.503
2022-04-24,19.503
2022-04-25,19.4752
2022-04-26,18.9505
2022-04-27,19.0837
2022-04-28,19.5736
2022-04-29,19.2968
2022-04-30,19.2968
2022-05-01,19.2968
2022-05-02,19.5169
2022-05-03,20.0487
2022-05-04,20.3893
2022-05-05,19.6316
2022-05-06,19.6525
2022-05-07,19.6525
2022-05-08,19.6525
2022-05-09,19.3072
2022-05-10,19.4138
2022-05-11,18.882
2022-05-12,19.0963
2022-05-13,19.8448
2022-05-14,19.8448
2022-05-15,19.8448
2022-05-16,19.313
2022-05-17,20.0788
2022-05-18,19.5424
2022-05-19,19.9351
2022-05-20,19.8587
2022-05-21,19.8587
2022-05-22,19.8587
2022-05-23,19.8436
2022-05-24,19.2979
2022-05-25,19.4995
2022-05-26,20.0997
2022-05-27,20.2989
2022-05-28,20.2989
2022-05-29,20.2989
2022-05-30,20.2989
2022-05-31,20.8087
2022-06-01,20.6268
2022-06-02,20.8574
2022-06-03,20.4982
2022-06-04,20.4982
2022-06-05,20.4982
2022-06-06,20.7913
2022-06-07,20.9582
2022-06-08,21.0682
2022-06-09,20.7983
2022-06-10,19.963
2022-06-11,19.963
2022-06-12,19.963
2022-06-13,19.2041
2022-06-14,19.1149
2022-06-15,19.7672
2022-06-16,18.3965
2022-06-17,18.612
2022-06-18,18.612
2022-06-19,18.612
2022-06-20,18.612
2022-06-21,19.3593
2022-06-22,19.5853
2022-06-23,19.4092
2022-06-24,20.0267
2022-06-25,20.0267
2022-06-26,20.0267
2022-06-27,20.0012
2022-06-28,20.0892
2022-06-29,19.5922
2022-06-30,19.0627
2022-07-01,22.2867
2022-07-02,22.2867
2022-07-03,22.2867
2022-07-04,22.2867
2022-07-05,22.2762
2022-07-06,21.9897
2022-07-07,22.7874
2022-07-08,22.4785
2022-07-09,22.4785
2022-07-10,22.4785
2022-07-11,22.1132
2022-07-12,22.8189
2022-07-13,22.5285
2022-07-14,22.1119
2022-07-15,22.6179
2022-07-16,22.6179
2022-07-17,22.6179
2022-07-18,22.6573
2022-07-19,23.8546
2022-07-20,24.028
2022-07-21,24.4131
2022-07-22,24.1831
2022-07-23,24.1831
2022-07-24,24.1831
2022-07-25,24.4
2022-07-26,24.1476
2022-07-27,24.6773
2022-07-28,25.3462
2022-07-29,25.4934
2022-07-30,25.4934
2022-07-31,25.4934
2022-08-01,25.5223
2022-08-02,25.89
2022-08-03,26.0231
2022-08-04,24.9488
2022-08-05,24.2962
2022-08-06,24.2962
2022-08-07,24.2962
2022-08-08,24.8849
2022-08-09,24.2975
2022-08-10,24.894
2022-08-11,25.3744
2022-08-12,25.5897
2022-08-13,25.5897
2022-08-14,25.5897
2022-08-15,25.3639
2022-08-16,25.3535
2022-08-17,24.7126
2022-08-18,25.0337
2022-08-19,24.5794
2022-08-20,24.5794
2022-08-21,24.5794
2022-08-22,23.4164
2022-08-23,23.6526
2022-08-24,23.8758
2022-08-25,24.5664
2022-08-26,23.8027
2022-08-27,23.8027
2022-08-28,23.8027
2022-08-29,23.9516
2022-08-30,23.9241
2022-08-31,23.727
2022-09-01,23.744
2022-09-02,23.4555
2022-09-03,23.4555
2022-09-04,23.4555
2022-09-05,23.4555
2022-09-06,23.0731
2022-09-07,23.6957
2022-09-08,23.5756
2022-09-09,23.9946
2022-09-10,23.9946
2022-09-11,23.9946
2022-09-12,24.4946
2022-09-13,23.8315
2022-09-14,23.6252
2022-09-15,23.6357
2022-09-16,23.4255
2022-09-17,23.4255
2022-09-18,23.4255
2022-09-19,23.7479
2022-09-20,23.0235
2022-09-21,22.2977
2022-09-22,22.2546
2022-09-23,21.7194
2022-09-24,21.7194
2022-09-25,21.7194
2022-09-26,21.8617
2022-09-27,22.0836
2022-09-28,22.3382
2022-09-29,21.5746
2022-09-30,15.9827
2022-10-01,15.9827
2022-10-02,15.9827
2022-10-03,16.3199
2022-10-04,16.9816
2022-10-05,16.812
2022-10-06,16.9286
2022-10-07,16.4709
2022-10-08,16.4709
2022-10-09,16.4709
2022-10-10,16.2464
2022-10-11,16.213
2022-10-12,16.0748
2022-10-13,16.2581
2022-10-14,16.2091
2022-10-15,16.2091
2022-10-16,16.2091
2022-10-17,16.759
2022-10-18,16.813
2022-10-19,16.6816
2022-10-20,16.364
2022-10-21,16.9022
2022-10-22,16.9022
2022-10-23,16.9022
2022-10-24,17.1923
2022-10-25,17.6001
2022-10-26,17.4884
2022-10-27,17.5658
2022-10-28,17.8285
2022-10-29,17.8285
2022-10-30,17.8285
2022-10-31,17.8471
2022-11-01,17.2834
2022-11-02,16.8198
2022-11-03,16.7974
2022-11-04,17.5722
2022-11-05,17.5722
2022-11-06,17.5722
2022-11-07,17.4492
2022-11-08,17.4629
2022-11-09,17.5058
2022-11-10,18.2992
2022-11-11,18.8945
2022-11-12,18.8945
2022-11-13,18.8945
2022-11-14,18.5529
2022-11-15,18.7178
2022-11-16,18.0474
2022-11-17,18.185
2022-11-18,18.4622
2022-11-19,18.4622
2022-11-20,18.4622
2022-11-21,18.2514
2022-11-22,18.3763
2022-11-23,18.2504
2022-11-24,18.2504
2022-11-25,18.2826
2022-11-26,18.2826
2022-11-27,18.2826
2022-11-28,17.9167
2022-11-29,17.9264
2022-11-30,18.3256
2022-12-01,17.9889
2022-12-02,17.7703
2022-12-03,17.7703
2022-12-04,17.7703
2022-12-05,17.4141
2022-12-06,17.4249
2022-12-07,17.0384
2022-12-08,17.0179
2022-12-09,16.974
2022-12-10,16.974
2022-12-11,16.974
2022-12-12,17.178
2022-12-13,17.1497
2022-12-14,16.8989
2022-12-15,16.7213
2022-12-16,16.4188
2022-12-17,16.4188
2022-12-18,16.4188
2022-12-19,16.2948
2022-12-20,16.3768
2022-12-21,16.5017
2022-12-22,16.0928
2022-12-23,16.1475
2022-12-24,16.1475
2022-12-25,16.1475
2022-12-26,16.1475
2022-12-27,16.2782
2022-12-28,16.0557
2022-12-29,16.4597
2022-12-30,14.3633
2022-12-31,14.3633
2023-01-01,14.3633
2023-01-02,14.3633
2023-01-03,14.5251
2023-01-04,14.838
2023-01-05,14.7366
2023-01-06,14.9735
2023-01-07,14.9735
2023-01-08,14.9735
2023-01-09,14.9928
2023-01-10,15.3171
2023-01-11,15.4115
2023-01-12,15.5243
2023-01-13,15.5663
2023-01-14,15.5663
2023-01-15,15.5663
2023-01-16,15.5663
2023-01-17,15.4832
2023-01-18,15.4229
2023-01-19,15.2612
2023-01-20,15.4465
2023-01-21,15.4465
2023-01-22,15.4465
2023-01-23,15.6388
2023-01-24,15.318
2023-01-25,15.2988
2023-01-26,15.4325
2023-01-27,15.8041
2023-01-28,15.8041
2023-01-29,15.8041
2023-01-30,15.6642
2023-01-31,16.2657
2023-02-01,16.5874
2023-02-02,16.1861
2023-02-03,15.8583
2023-02-04,15.8583
2023-02-05,15.8583
2023-02-06,15.7997
2023-02-07,15.8898
2023-02-08,15.7639
2023-02-09,15.601
2023-02-10,15.5258
2023-02-11,15.5258
2023-02-12,15.5258
2023-02-13,15.8022
2023-02-14,15.9482
2023-02-15,16.0925
2023-02-16,16.0261
2023-02-17,16.0925
2023-02-18,16.0925
2023-02-19,16.0925
2023-02-20,16.0925
2023-02-21,15.9369
2023-02-22,16.0681
2023-02-23,15.8424
2023-02-24,15.7742
2023-02-25,15.7742
2023-02-26,15.7742
2023-02-27,15.8651
2023-02-28,15.7348
2023-03-01,15.8844
2023-03-02,15.7864
2023-03-03,15.9972
2023-03-04,15.9972
2023-03-05,15.9972
2023-03-06,15.8625
2023-03-07,15.8004
2023-03-08,15.7777
2023-03-09,15.5538
2023-03-10,15.3334
2023-03-11,15.3334
2023-03-12,15.3334
2023-03-13,15.0588
2023-03-14,15.7969
2023-03-15,15.2652
2023-03-16,15.5949
2023-03-17,15.2669
2023-03-18,15.2669
