,ATH US Equity
2021-04-12,1.9297
2021-04-13,1.9338
2021-04-14,2.0608
2021-04-15,2.1014
2021-04-16,2.1688
2021-04-17,2.1688
2021-04-18,2.1688
2021-04-19,2.1729
2021-04-20,2.1636
2021-04-21,2.2289
2021-04-22,2.2454
2021-04-23,2.2891
2021-04-24,2.2891
2021-04-25,2.2891
2021-04-26,2.3436
2021-04-27,2.379
2021-04-28,2.397
2021-04-29,2.4006
2021-04-30,2.3857
2021-05-01,2.3857
2021-05-02,2.3857
2021-05-03,2.3703
2021-05-04,2.3652
2021-05-05,2.4577
2021-05-06,2.5004
2021-05-07,2.5559
2021-05-08,2.5559
2021-05-09,2.5559
2021-05-10,2.5226
2021-05-11,2.5298
2021-05-12,2.4295
2021-05-13,2.45
2021-05-14,2.5195
2021-05-15,2.5195
2021-05-16,2.5195
2021-05-17,2.518
2021-05-18,2.4938
2021-05-19,2.5282
2021-05-20,2.5174
2021-05-21,2.5509
2021-05-22,2.5509
2021-05-23,2.5509
2021-05-24,2.5437
2021-05-25,2.4922
2021-05-26,2.5329
2021-05-27,2.556
2021-05-28,2.5401
2021-05-29,2.5401
2021-05-30,2.5401
2021-05-31,2.5401
2021-06-01,2.5231
2021-06-02,2.5308
2021-06-03,2.5514
2021-06-04,2.5514
2021-06-05,2.5514
2021-06-06,2.5514
2021-06-07,2.5637
2021-06-08,2.5493
2021-06-09,2.5349
2021-06-10,2.5365
2021-06-11,2.5596
2021-06-12,2.5596
2021-06-13,2.5596
2021-06-14,2.5493
2021-06-15,2.5766
2021-06-16,2.6054
2021-06-17,2.5817
2021-06-18,2.52
2021-06-19,2.52
2021-06-20,2.52
2021-06-21,2.5931
2021-06-22,2.5781
2021-06-23,2.5853
2021-06-24,2.6301
2021-06-25,2.7603
2021-06-26,2.7603
2021-06-27,2.7603
2021-06-28,2.75
2021-06-29,2.8035
2021-06-30,2.4594
2021-07-01,2.4966
2021-07-02,3.8639
2021-07-03,3.8639
2021-07-04,3.8639
2021-07-05,3.8639
2021-07-06,3.8155
2021-07-07,3.7843
2021-07-08,3.6006
2021-07-09,3.673
2021-07-10,3.673
2021-07-11,3.673
2021-07-12,3.685
2021-07-13,3.5737
2021-07-14,3.5916
2021-07-15,2.3626
2021-07-16,2.2501
2021-07-17,2.2501
2021-07-18,2.2501
2021-07-19,2.2236
2021-07-20,2.2828
2021-07-21,2.3134
2021-07-22,2.3302
2021-07-23,2.3683
2021-07-24,2.3683
2021-07-25,2.3683
2021-07-26,2.3563
2021-07-27,2.3488
2021-07-28,2.3327
2021-07-29,2.3699
2021-07-30,2.3434
2021-07-31,2.3434
2021-08-01,2.3434
2021-08-02,2.372
2021-08-03,2.418
2021-08-04,2.42
2021-08-05,2.4461
2021-08-06,2.473
2021-08-07,2.473
2021-08-08,2.473
2021-08-09,2.4445
2021-08-10,2.396
2021-08-11,2.3712
2021-08-12,2.3616
2021-08-13,2.379
2021-08-14,2.379
2021-08-15,2.379
2021-08-16,2.3799
2021-08-17,2.3302
2021-08-18,2.2941
2021-08-19,2.2449
2021-08-20,2.2627
2021-08-21,2.2627
2021-08-22,2.2627
2021-08-23,2.3103
2021-08-24,2.326
2021-08-25,2.3538
2021-08-26,2.3492
2021-08-27,2.3832
2021-08-28,2.3832
2021-08-29,2.3832
2021-08-30,2.3931
2021-08-31,2.4407
2021-09-01,2.4925
2021-09-02,2.5012
2021-09-03,2.5293
2021-09-04,2.5293
2021-09-05,2.5293
2021-09-06,2.5293
2021-09-07,2.5318
2021-09-08,2.5091
2021-09-09,2.5111
2021-09-10,2.4834
2021-09-11,2.4834
2021-09-12,2.4834
2021-09-13,2.5558
2021-09-14,2.502
2021-09-15,2.5915
2021-09-16,2.5732
2021-09-17,2.5683
2021-09-18,2.5683
2021-09-19,2.5683
2021-09-20,2.365
2021-09-21,2.3981
2021-09-22,2.4159
2021-09-23,2.5041
2021-09-24,2.5575
2021-09-25,2.5575
2021-09-26,2.5575
2021-09-27,2.5923
2021-09-28,2.5173
2021-09-29,2.5546
2021-09-30,2.84
2021-10-01,2.8741
2021-10-02,2.8741
2021-10-03,2.8741
2021-10-04,2.7239
2021-10-05,2.8617
2021-10-06,2.9087
2021-10-07,2.9659
2021-10-08,3.0496
2021-10-09,3.0496
2021-10-10,3.0496
2021-10-11,3.0434
2021-10-12,3.0705
2021-10-13,3.0718
2021-10-14,3.1644
2021-10-15,3.1449
2021-10-16,3.1449
2021-10-17,3.1449
2021-10-18,3.1901
2021-10-19,3.4294
2021-10-20,3.4994
2021-10-21,3.6399
2021-10-22,3.7675
2021-10-23,3.7675
2021-10-24,3.7675
2021-10-25,3.7813
2021-10-26,3.7675
2021-10-27,3.6598
2021-10-28,3.7064
2021-10-29,3.6439
2021-10-30,3.6439
2021-10-31,3.6439
2021-11-01,3.6106
2021-11-02,3.6284
2021-11-03,3.6976
2021-11-04,3.6639
2021-11-05,3.6507
2021-11-06,3.6507
2021-11-07,3.6507
2021-11-08,3.6593
2021-11-09,3.622
2021-11-10,3.516
2021-11-11,3.5591
2021-11-12,3.5639
2021-11-13,3.5639
2021-11-14,3.5639
2021-11-15,3.6212
2021-11-16,3.6079
2021-11-17,3.5968
2021-11-18,3.6123
2021-11-19,3.5906
2021-11-20,3.5906
2021-11-21,3.5906
2021-11-22,3.6367
2021-11-23,3.5316
2021-11-24,3.5484
2021-11-25,3.5484
2021-11-26,3.4331
2021-11-27,3.4331
2021-11-28,3.4331
2021-11-29,3.5249
2021-11-30,3.4216
2021-12-01,3.3848
2021-12-02,3.4455
2021-12-03,3.3568
2021-12-04,3.3568
2021-12-05,3.3568
2021-12-06,3.355
2021-12-07,3.3976
2021-12-08,3.4021
2021-12-09,3.3706
2021-12-10,3.3355
2021-12-11,3.3355
2021-12-12,3.3355
2021-12-13,3.324
2021-12-14,3.2725
2021-12-15,3.3604
2021-12-16,3.3329
2021-12-17,3.363
2021-12-18,3.363
2021-12-19,3.363
2021-12-20,3.2792
2021-12-21,3.4482
2021-12-22,3.4602
2021-12-23,3.5675
2021-12-24,3.5675
2021-12-25,3.5675
2021-12-26,3.5675
2021-12-27,3.5555
2021-12-28,3.5316
2021-12-29,3.4979
2021-12-30,3.5098
2021-12-31,3.291
2022-01-01,3.291
2022-01-02,3.291
2022-01-03,3.291
2022-01-04,3.291
2022-01-05,3.291
2022-01-06,3.291
2022-01-07,3.291
2022-01-08,3.291
2022-01-09,3.291
2022-01-10,3.291
2022-01-11,3.291
2022-01-12,3.291
2022-01-13,3.291
2022-01-14,3.291
2022-01-15,3.291
2022-01-16,3.291
2022-01-17,3.291
2022-01-18,3.291
2022-01-19,3.291
2022-01-20,3.291
2022-01-21,3.291
2022-01-22,3.291
2022-01-23,3.291
2022-01-24,3.291
2022-01-25,3.291
2022-01-26,3.291
2022-01-27,3.291
2022-01-28,3.291
2022-01-29,3.291
2022-01-30,3.291
2022-01-31,3.291
2022-02-01,3.291
2022-02-02,3.291
2022-02-03,3.291
2022-02-04,3.291
2022-02-05,3.291
2022-02-06,3.291
2022-02-07,3.291
2022-02-08,3.291
2022-02-09,3.291
2022-02-10,3.291
2022-02-11,3.291
2022-02-12,3.291
2022-02-13,3.291
2022-02-14,3.291
2022-02-15,3.291
2022-02-16,3.291
2022-02-17,3.291
2022-02-18,3.291
2022-02-19,3.291
2022-02-20,3.291
2022-02-21,3.291
2022-02-22,3.291
2022-02-23,3.291
2022-02-24,3.291
2022-02-25,3.291
2022-02-26,3.291
2022-02-27,3.291
2022-02-28,3.291
2022-03-01,3.291
2022-03-02,3.291
2022-03-03,3.291
2022-03-04,3.291
2022-03-05,3.291
2022-03-06,3.291
2022-03-07,3.291
2022-03-08,3.291
2022-03-09,3.291
2022-03-10,3.291
2022-03-11,3.291
2022-03-12,3.291
2022-03-13,3.291
2022-03-14,3.291
2022-03-15,3.291
2022-03-16,3.291
2022-03-17,3.291
2022-03-18,3.291
2022-03-19,3.291
2022-03-20,3.291
2022-03-21,3.291
2022-03-22,3.291
2022-03-23,3.291
2022-03-24,3.291
2022-03-25,3.291
2022-03-26,3.291
2022-03-27,3.291
2022-03-28,3.291
2022-03-29,3.291
2022-03-30,3.291
2022-03-31,3.291
2022-04-01,3.291
2022-04-02,3.291
2022-04-03,3.291
2022-04-04,3.291
2022-04-05,3.291
2022-04-06,3.291
2022-04-07,3.291
2022-04-08,3.291
2022-04-09,3.291
2022-04-10,3.291
2022-04-11,3.291
2022-04-12,3.291
2022-04-13,3.291
2022-04-14,3.291
2022-04-15,3.291
2022-04-16,3.291
2022-04-17,3.291
2022-04-18,3.291
2022-04-19,3.291
2022-04-20,3.291
2022-04-21,3.291
2022-04-22,3.291
2022-04-23,3.291
2022-04-24,3.291
2022-04-25,3.291
2022-04-26,3.291
2022-04-27,3.291
2022-04-28,3.291
2022-04-29,3.291
2022-04-30,3.291
2022-05-01,3.291
2022-05-02,3.291
2022-05-03,3.291
2022-05-04,3.291
2022-05-05,3.291
2022-05-06,3.291
2022-05-07,3.291
2022-05-08,3.291
2022-05-09,3.291
2022-05-10,3.291
2022-05-11,3.291
2022-05-12,3.291
2022-05-13,3.291
2022-05-14,3.291
2022-05-15,3.291
2022-05-16,3.291
2022-05-17,3.291
2022-05-18,3.291
2022-05-19,3.291
2022-05-20,3.291
2022-05-21,3.291
2022-05-22,3.291
2022-05-23,3.291
2022-05-24,3.291
2022-05-25,3.291
2022-05-26,3.291
2022-05-27,3.291
2022-05-28,3.291
2022-05-29,3.291
2022-05-30,3.291
2022-05-31,3.291
2022-06-01,3.291
2022-06-02,3.291
2022-06-03,3.291
2022-06-04,3.291
2022-06-05,3.291
2022-06-06,3.291
2022-06-07,3.291
2022-06-08,3.291
2022-06-09,3.291
2022-06-10,3.291
2022-06-11,3.291
2022-06-12,3.291
2022-06-13,3.291
2022-06-14,3.291
2022-06-15,3.291
2022-06-16,3.291
2022-06-17,3.291
2022-06-18,3.291
2022-06-19,3.291
2022-06-20,3.291
2022-06-21,3.291
2022-06-22,3.291
2022-06-23,3.291
2022-06-24,3.291
2022-06-25,3.291
2022-06-26,3.291
2022-06-27,3.291
2022-06-28,3.291
2022-06-29,3.291
2022-06-30,3.291
2022-07-01,3.291
2022-07-02,3.291
2022-07-03,3.291
2022-07-04,3.291
2022-07-05,3.291
2022-07-06,3.291
2022-07-07,3.291
2022-07-08,3.291
2022-07-09,3.291
2022-07-10,3.291
2022-07-11,3.291
2022-07-12,3.291
2022-07-13,3.291
2022-07-14,3.291
2022-07-15,3.291
2022-07-16,3.291
2022-07-17,3.291
2022-07-18,3.291
2022-07-19,3.291
2022-07-20,3.291
2022-07-21,3.291
2022-07-22,3.291
2022-07-23,3.291
2022-07-24,3.291
2022-07-25,3.291
2022-07-26,3.291
2022-07-27,3.291
2022-07-28,3.291
2022-07-29,3.291
2022-07-30,3.291
2022-07-31,3.291
2022-08-01,3.291
2022-08-02,3.291
2022-08-03,3.291
2022-08-04,3.291
2022-08-05,3.291
2022-08-06,3.291
2022-08-07,3.291
2022-08-08,3.291
2022-08-09,3.291
2022-08-10,3.291
2022-08-11,3.291
2022-08-12,3.291
2022-08-13,3.291
2022-08-14,3.291
2022-08-15,3.291
2022-08-16,3.291
2022-08-17,3.291
2022-08-18,3.291
2022-08-19,3.291
2022-08-20,3.291
2022-08-21,3.291
2022-08-22,3.291
2022-08-23,3.291
2022-08-24,3.291
2022-08-25,3.291
2022-08-26,3.291
2022-08-27,3.291
2022-08-28,3.291
2022-08-29,3.291
2022-08-30,3.291
2022-08-31,3.291
2022-09-01,3.291
2022-09-02,3.291
2022-09-03,3.291
2022-09-04,3.291
2022-09-05,3.291
2022-09-06,3.291
2022-09-07,3.291
2022-09-08,3.291
2022-09-09,3.291
2022-09-10,3.291
2022-09-11,3.291
2022-09-12,3.291
2022-09-13,3.291
2022-09-14,3.291
2022-09-15,3.291
2022-09-16,3.291
2022-09-17,3.291
2022-09-18,3.291
2022-09-19,3.291
2022-09-20,3.291
2022-09-21,3.291
2022-09-22,3.291
2022-09-23,3.291
2022-09-24,3.291
2022-09-25,3.291
2022-09-26,3.291
2022-09-27,3.291
2022-09-28,3.291
2022-09-29,3.291
2022-09-30,3.291
2022-10-01,3.291
2022-10-02,3.291
2022-10-03,3.291
2022-10-04,3.291
2022-10-05,3.291
2022-10-06,3.291
2022-10-07,3.291
2022-10-08,3.291
2022-10-09,3.291
2022-10-10,3.291
2022-10-11,3.291
2022-10-12,3.291
2022-10-13,3.291
2022-10-14,3.291
2022-10-15,3.291
2022-10-16,3.291
2022-10-17,3.291
2022-10-18,3.291
2022-10-19,3.291
2022-10-20,3.291
2022-10-21,3.291
2022-10-22,3.291
2022-10-23,3.291
2022-10-24,3.291
2022-10-25,3.291
2022-10-26,3.291
2022-10-27,3.291
2022-10-28,3.291
2022-10-29,3.291
2022-10-30,3.291
2022-10-31,3.291
2022-11-01,3.291
2022-11-02,3.291
2022-11-03,3.291
2022-11-04,3.291
2022-11-05,3.291
2022-11-06,3.291
2022-11-07,3.291
2022-11-08,3.291
2022-11-09,3.291
2022-11-10,3.291
2022-11-11,3.291
2022-11-12,3.291
2022-11-13,3.291
2022-11-14,3.291
2022-11-15,3.291
2022-11-16,3.291
2022-11-17,3.291
2022-11-18,3.291
2022-11-19,3.291
2022-11-20,3.291
2022-11-21,3.291
2022-11-22,3.291
2022-11-23,3.291
2022-11-24,3.291
2022-11-25,3.291
2022-11-26,3.291
2022-11-27,3.291
2022-11-28,3.291
2022-11-29,3.291
2022-11-30,3.291
2022-12-01,3.291
2022-12-02,3.291
2022-12-03,3.291
2022-12-04,3.291
2022-12-05,3.291
2022-12-06,3.291
2022-12-07,3.291
2022-12-08,3.291
2022-12-09,3.291
2022-12-10,3.291
2022-12-11,3.291
2022-12-12,3.291
2022-12-13,3.291
2022-12-14,3.291
2022-12-15,3.291
2022-12-16,3.291
2022-12-17,3.291
2022-12-18,3.291
2022-12-19,3.291
2022-12-20,3.291
2022-12-21,3.291
2022-12-22,3.291
2022-12-23,3.291
2022-12-24,3.291
2022-12-25,3.291
2022-12-26,3.291
2022-12-27,3.291
2022-12-28,3.291
2022-12-29,3.291
2022-12-30,3.291
2022-12-31,3.291
2023-01-01,3.291
2023-01-02,3.291
2023-01-03,3.291
2023-01-04,3.291
2023-01-05,3.291
2023-01-06,3.291
2023-01-07,3.291
2023-01-08,3.291
2023-01-09,3.291
2023-01-10,3.291
2023-01-11,3.291
2023-01-12,3.291
2023-01-13,3.291
2023-01-14,3.291
2023-01-15,3.291
2023-01-16,3.291
2023-01-17,3.291
2023-01-18,3.291
2023-01-19,3.291
2023-01-20,3.291
2023-01-21,3.291
2023-01-22,3.291
2023-01-23,3.291
2023-01-24,3.291
2023-01-25,3.291
2023-01-26,3.291
2023-01-27,3.291
2023-01-28,3.291
2023-01-29,3.291
2023-01-30,3.291
2023-01-31,3.291
2023-02-01,3.291
2023-02-02,3.291
2023-02-03,3.291
2023-02-04,3.291
2023-02-05,3.291
2023-02-06,3.291
2023-02-07,3.291
2023-02-08,3.291
2023-02-09,3.291
2023-02-10,3.291
2023-02-11,3.291
2023-02-12,3.291
2023-02-13,3.291
2023-02-14,3.291
2023-02-15,3.291
2023-02-16,3.291
2023-02-17,3.291
2023-02-18,3.291
2023-02-19,3.291
2023-02-20,3.291
2023-02-21,3.291
2023-02-22,3.291
2023-02-23,3.291
2023-02-24,3.291
2023-02-25,3.291
2023-02-26,3.291
2023-02-27,3.291
2023-02-28,3.291
2023-03-01,3.291
2023-03-02,3.291
2023-03-03,3.291
2023-03-04,3.291
2023-03-05,3.291
2023-03-06,3.291
2023-03-07,3.291
2023-03-08,3.291
2023-03-09,3.291
2023-03-10,3.291
2023-03-11,3.291
2023-03-12,3.291
2023-03-13,3.291
2023-03-14,3.291
2023-03-15,3.291
2023-03-16,3.291
2023-03-17,3.291
2023-03-18,3.291
2023-03-19,3.291
2023-03-20,3.291
2023-03-21,3.291
2023-03-22,3.291
2023-03-23,3.291
2023-03-24,3.291
2023-03-25,3.291
2023-03-26,3.291
2023-03-27,3.291
2023-03-28,3.291
2023-03-29,3.291
2023-03-30,3.291
2023-03-31,3.291
2023-04-01,3.291
2023-04-02,3.291
2023-04-03,3.291
2023-04-04,3.291
2023-04-05,3.291
2023-04-06,3.291
2023-04-07,3.291
2023-04-08,3.291
2023-04-09,3.291
2023-04-10,3.291
2023-04-11,3.291
2023-04-12,3.291
2023-04-13,3.291
2023-04-14,3.291
2023-04-15,3.291
2023-04-16,3.291
2023-04-17,3.291
2023-04-18,3.291
2023-04-19,3.291
2023-04-20,3.291
2023-04-21,3.291
2023-04-22,3.291
2023-04-23,3.291
