,OSK US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-07-19,13.0773
2021-07-20,13.6017
2021-07-21,13.9195
2021-07-22,13.8095
2021-07-23,13.8747
2021-07-24,13.8747
2021-07-25,13.8747
2021-07-26,13.9219
2021-07-27,13.9835
2021-07-28,14.0403
2021-07-29,13.7954
2021-07-30,13.8364
2021-07-31,13.8364
2021-08-01,13.8364
2021-08-02,13.5935
2021-08-03,13.7349
2021-08-04,13.2031
2021-08-05,13.1427
2021-08-06,13.2805
2021-08-07,13.2805
2021-08-08,13.2805
2021-08-09,13.3264
2021-08-10,13.7531
2021-08-11,14.1507
2021-08-12,13.8812
2021-08-13,13.6975
2021-08-14,13.6975
2021-08-15,13.6975
2021-08-16,13.5065
2021-08-17,13.2672
2021-08-18,13.0799
2021-08-19,12.9131
2021-08-20,12.9868
2021-08-21,12.9868
2021-08-22,12.9868
2021-08-23,13.0799
2021-08-24,13.2974
2021-08-25,13.4799
2021-08-26,13.3264
2021-08-27,13.5911
2021-08-28,13.5911
2021-08-29,13.5911
2021-08-30,13.3542
2021-08-31,13.2358
2021-09-01,13.0545
2021-09-02,13.2019
2021-09-03,13.0702
2021-09-04,13.0702
2021-09-05,13.0702
2021-09-06,13.0702
2021-09-07,12.8599
2021-09-08,12.7306
2021-09-09,12.6013
2021-09-10,12.4333
2021-09-11,12.4333
2021-09-12,12.4333
2021-09-13,12.4309
2021-09-14,12.0937
2021-09-15,12.6617
2021-09-16,12.536
2021-09-17,12.4611
2021-09-18,12.4611
2021-09-19,12.4611
2021-09-20,12.3027
2021-09-21,11.8507
2021-09-22,11.9776
2021-09-23,12.113
2021-09-24,12.1698
2021-09-25,12.1698
2021-09-26,12.1698
2021-09-27,12.2762
2021-09-28,12.3886
2021-09-29,12.0634
2021-09-30,12.2854
2021-10-01,12.6432
2021-10-02,12.6432
2021-10-03,12.6432
2021-10-04,12.7025
2021-10-05,12.763
2021-10-06,12.613
2021-10-07,12.7667
2021-10-08,12.0939
2021-10-09,12.0939
2021-10-10,12.0939
2021-10-11,11.8091
2021-10-12,11.8141
2021-10-13,11.7247
2021-10-14,12.0976
2021-10-15,12.1959
2021-10-16,12.1959
2021-10-17,12.1959
2021-10-18,12.1392
2021-10-19,12.3119
2021-10-20,12.7516
2021-10-21,12.7025
2021-10-22,12.6974
2021-10-23,12.6974
2021-10-24,12.6974
2021-10-25,12.8512
2021-10-26,12.6332
2021-10-27,12.4139
2021-10-28,12.9847
2021-10-29,12.8688
2021-10-30,12.8688
2021-10-31,12.8688
2021-11-01,13.3174
2021-11-02,13.3854
2021-11-03,13.4711
2021-11-04,13.6702
2021-11-05,13.8995
2021-11-06,13.8995
2021-11-07,13.8995
2021-11-08,14.0281
2021-11-09,13.8983
2021-11-10,13.9751
2021-11-11,13.9172
2021-11-12,14.0054
2021-11-13,14.0054
2021-11-14,14.0054
2021-11-15,13.8794
2021-11-16,13.643
2021-11-17,13.3915
2021-11-18,13.4373
2021-11-19,13.3134
2021-11-20,13.3134
2021-11-21,13.3134
2021-11-22,13.5017
2021-11-23,13.7173
2021-11-24,13.6913
2021-11-25,13.6913
2021-11-26,13.223
2021-11-27,13.223
2021-11-28,13.223
2021-11-29,13.1536
2021-11-30,12.7175
2021-12-01,12.4709
2021-12-02,12.9293
2021-12-03,13.0619
2021-12-04,13.0619
2021-12-05,13.0619
2021-12-06,13.2688
2021-12-07,13.4423
2021-12-08,13.3853
2021-12-09,13.249
2021-12-10,13.2812
2021-12-11,13.2812
2021-12-12,13.2812
2021-12-13,13.0384
2021-12-14,13.0594
2021-12-15,13.026
2021-12-16,12.9256
2021-12-17,12.7955
2021-12-18,12.7955
2021-12-19,12.7955
2021-12-20,12.404
2021-12-21,12.7906
2021-12-22,12.9504
2021-12-23,13.0421
2021-12-24,13.0421
2021-12-25,13.0421
2021-12-26,13.0421
2021-12-27,13.2775
2021-12-28,13.28
2021-12-29,13.332
2021-12-30,13.2948
2021-12-31,15.9164
2022-01-01,15.9164
2022-01-02,15.9164
2022-01-03,16.1029
2022-01-04,16.9486
2022-01-05,16.6093
2022-01-06,16.8455
2022-01-07,16.7639
2022-01-08,16.7639
2022-01-09,16.7639
2022-01-10,16.741
2022-01-11,16.794
2022-01-12,16.6465
2022-01-13,17.209
2022-01-14,17.3879
2022-01-15,17.3879
2022-01-16,17.3879
2022-01-17,17.3879
2022-01-18,17.4409
2022-01-19,16.8254
2022-01-20,16.4605
2022-01-21,16.1685
2022-01-22,16.1685
2022-01-23,16.1685
2022-01-24,16.3331
2022-01-25,16.3345
2022-01-26,16.2257
2022-01-27,15.7219
2022-01-28,15.6332
2022-01-29,15.6332
2022-01-30,15.6332
2022-01-31,15.9109
2022-02-01,16.2129
2022-02-02,15.8951
2022-02-03,15.7277
2022-02-04,15.9595
2022-02-05,15.9595
2022-02-06,15.9595
2022-02-07,15.6819
2022-02-08,15.9452
2022-02-09,16.1599
2022-02-10,16.2
2022-02-11,16.1227
2022-02-12,16.1227
2022-02-13,16.1227
2022-02-14,15.898
2022-02-15,16.1413
2022-02-16,16.2672
2022-02-17,15.8178
2022-02-18,15.5316
2022-02-19,15.5316
2022-02-20,15.5316
2022-02-21,15.5316
2022-02-22,15.1136
2022-02-23,14.6957
2022-02-24,14.6828
2022-02-25,15.1251
2022-02-26,15.1251
2022-02-27,15.1251
2022-02-28,15.5144
2022-03-01,14.9104
2022-03-02,15.3541
2022-03-03,15.3212
2022-03-04,14.836
2022-03-05,14.836
2022-03-06,14.836
2022-03-07,14.2964
2022-03-08,14.6714
2022-03-09,14.9719
2022-03-10,15.022
2022-03-11,14.9147
2022-03-12,14.9147
2022-03-13,14.9147
2022-03-14,14.8259
2022-03-15,15.1537
2022-03-16,15.2725
2022-03-17,15.2439
2022-03-18,15.2882
2022-03-19,15.2882
2022-03-20,15.2882
2022-03-21,15.2453
2022-03-22,15.0564
2022-03-23,14.8202
2022-03-24,14.9691
2022-03-25,15.0134
2022-03-26,15.0134
2022-03-27,15.0134
2022-03-28,14.8002
2022-03-29,15.1952
2022-03-30,14.8675
2022-03-31,19.2225
2022-04-01,18.993
2022-04-02,18.993
2022-04-03,18.993
2022-04-04,19.3767
2022-04-05,18.8727
2022-04-06,18.4872
2022-04-07,18.254
2022-04-08,17.9494
2022-04-09,17.9494
2022-04-10,17.9494
2022-04-11,18.0641
2022-04-12,18.034
2022-04-13,18.5098
2022-04-14,18.6245
2022-04-15,18.6245
2022-04-16,18.6245
2022-04-17,18.6245
2022-04-18,18.5041
2022-04-19,19.0062
2022-04-20,19.0363
2022-04-21,18.9517
2022-04-22,18.6076
2022-04-23,18.6076
2022-04-24,18.6076
2022-04-25,18.7994
2022-04-26,18.0397
2022-04-27,17.7547
2022-04-28,17.7195
2022-04-29,17.414
2022-04-30,17.414
2022-05-01,17.414
2022-05-02,17.701
2022-05-03,17.8066
2022-05-04,18.4232
2022-05-05,17.6806
2022-05-06,17.4862
2022-05-07,17.4862
2022-05-08,17.4862
2022-05-09,17.1121
2022-05-10,16.9177
2022-05-11,16.4732
2022-05-12,16.6269
2022-05-13,16.614
2022-05-14,16.614
2022-05-15,16.614
2022-05-16,16.4603
2022-05-17,17.2788
2022-05-18,16.9992
2022-05-19,16.8918
2022-05-20,16.6844
2022-05-21,16.6844
2022-05-22,16.6844
2022-05-23,17.0029
2022-05-24,16.7751
2022-05-25,17.1973
2022-05-26,17.5158
2022-05-27,17.4454
2022-05-28,17.4454
2022-05-29,17.4454
2022-05-30,17.4454
2022-05-31,17.501
2022-06-01,17.3121
2022-06-02,17.8343
2022-06-03,17.7751
2022-06-04,17.7751
2022-06-05,17.7751
2022-06-06,18.0862
2022-06-07,18.3139
2022-06-08,18.1454
2022-06-09,17.5269
2022-06-10,17.114
2022-06-11,17.114
2022-06-12,17.114
2022-06-13,16.3732
2022-06-14,16.2973
2022-06-15,16.5158
2022-06-16,15.364
2022-06-17,15.4381
2022-06-18,15.4381
2022-06-19,15.4381
2022-06-20,15.4381
2022-06-21,15.6529
2022-06-22,15.5214
2022-06-23,15.2196
2022-06-24,15.9936
2022-06-25,15.9936
2022-06-26,15.9936
2022-06-27,15.914
2022-06-28,15.927
2022-06-29,15.6455
2022-06-30,27.0491
2022-07-01,27.0174
2022-07-02,27.0174
2022-07-03,27.0174
2022-07-04,27.0174
2022-07-05,26.7719
2022-07-06,26.5148
2022-07-07,27.0087
2022-07-08,26.7199
2022-07-09,26.7199
2022-07-10,26.7199
2022-07-11,26.509
2022-07-12,26.5726
2022-07-13,26.4166
2022-07-14,26.226
2022-07-15,26.5957
2022-07-16,26.5957
2022-07-17,26.5957
2022-07-18,26.5784
2022-07-19,27.7568
2022-07-20,27.9907
2022-07-21,28.1582
2022-07-22,28.0283
2022-07-23,28.0283
2022-07-24,28.0283
2022-07-25,28.5193
2022-07-26,28.1871
2022-07-27,29.1778
2022-07-28,27.4216
2022-07-29,28.0329
2022-07-30,28.0329
2022-07-31,28.0329
2022-08-01,27.5709
2022-08-02,27.6139
2022-08-03,27.2868
2022-08-04,27.1375
2022-08-05,27.2007
2022-08-06,27.2007
2022-08-07,27.2007
2022-08-08,27.436
2022-08-09,26.9395
2022-08-10,27.7344
2022-08-11,28.1678
2022-08-12,28.1075
2022-08-13,28.1075
2022-08-14,28.1075
2022-08-15,28.5236
2022-08-16,28.8708
2022-08-17,27.9296
2022-08-18,27.9525
2022-08-19,27.7086
2022-08-20,27.7086
2022-08-21,27.7086
2022-08-22,26.9654
2022-08-23,27.3097
2022-08-24,27.1548
2022-08-25,27.5795
2022-08-26,26.6353
2022-08-27,26.6353
2022-08-28,26.6353
2022-08-29,26.4574
2022-08-30,26.4402
2022-08-31,26.2135
2022-09-01,26.1561
2022-09-02,26.1102
2022-09-03,26.1102
2022-09-04,26.1102
2022-09-05,26.1102
2022-09-06,25.7945
2022-09-07,26.0413
2022-09-08,26.2594
2022-09-09,26.9568
2022-09-10,26.9568
2022-09-11,26.9568
2022-09-12,27.1261
2022-09-13,26.0241
2022-09-14,26.0126
2022-09-15,26.2135
2022-09-16,25.5908
2022-09-17,25.5908
2022-09-18,25.5908
2022-09-19,26.0729
2022-09-20,25.5764
2022-09-21,25.1087
2022-09-22,24.5118
2022-09-23,23.9694
2022-09-24,23.9694
2022-09-25,23.9694
2022-09-26,23.6078
2022-09-27,23.5361
2022-09-28,24.0354
2022-09-29,23.7283
2022-09-30,22.5941
2022-10-01,22.5941
2022-10-02,22.5941
2022-10-03,23.2728
2022-10-04,24.4945
2022-10-05,24.527
2022-10-06,24.2474
2022-10-07,23.7533
2022-10-08,23.7533
2022-10-09,23.7533
2022-10-10,23.7669
2022-10-11,23.9841
2022-10-12,23.8294
2022-10-13,24.5162
2022-10-14,24.0601
2022-10-15,24.0601
2022-10-16,24.0601
2022-10-17,24.6356
2022-10-18,25.0944
2022-10-19,25.0157
2022-10-20,24.7089
2022-10-21,25.8003
2022-10-22,25.8003
2022-10-23,25.8003
2022-10-24,26.1233
2022-10-25,26.4328
2022-10-26,26.5903
2022-10-27,26.6633
2022-10-28,27.4834
2022-10-29,27.4834
2022-10-30,27.4834
2022-10-31,27.4101
2022-11-01,27.4291
2022-11-02,26.829
2022-11-03,27.0218
2022-11-04,27.6111
2022-11-05,27.6111
2022-11-06,27.6111
2022-11-07,27.7224
2022-11-08,27.5676
2022-11-09,27.0869
2022-11-10,28.0646
2022-11-11,28.6485
2022-11-12,28.6485
2022-11-13,28.6485
2022-11-14,28.6838
2022-11-15,28.9472
2022-11-16,28.4068
2022-11-17,28.3497
2022-11-18,28.5453
2022-11-19,28.5453
2022-11-20,28.5453
2022-11-21,28.6213
2022-11-22,28.9689
2022-11-23,28.7435
2022-11-24,28.7435
2022-11-25,28.7707
2022-11-26,28.7707
2022-11-27,28.7707
2022-11-28,28.07
2022-11-29,28.1515
2022-11-30,28.5154
2022-12-01,28.3199
2022-12-02,28.1732
2022-12-03,28.1732
2022-12-04,28.1732
2022-12-05,27.3884
2022-12-06,27.4753
2022-12-07,27.0679
2022-12-08,27.3042
2022-12-09,26.9973
2022-12-10,26.9973
2022-12-11,26.9973
2022-12-12,27.1304
2022-12-13,27.3884
2022-12-14,27.1929
2022-12-15,26.3591
2022-12-16,26.5791
2022-12-17,26.5791
2022-12-18,26.5791
2022-12-19,26.7203
2022-12-20,27.0489
2022-12-21,27.4617
2022-12-22,27.0842
2022-12-23,27.2336
2022-12-24,27.2336
2022-12-25,27.2336
2022-12-26,27.2336
2022-12-27,27.5187
2022-12-28,26.9159
2022-12-29,27.3069
2022-12-30,17.8107
2022-12-31,17.8107
2023-01-01,17.8107
2023-01-02,17.8107
2023-01-03,17.892
2023-01-04,17.991
2023-01-05,18.1042
2023-01-06,18.5923
2023-01-07,18.5923
2023-01-08,18.5923
2023-01-09,18.373
2023-01-10,18.6135
2023-01-11,18.7921
2023-01-12,19.0733
2023-01-13,18.9725
2023-01-14,18.9725
2023-01-15,18.9725
2023-01-16,18.9725
2023-01-17,18.8416
2023-01-18,18.7107
2023-01-19,18.4543
2023-01-20,18.9318
2023-01-21,18.9318
2023-01-22,18.9318
2023-01-23,19.2802
2023-01-24,19.5543
2023-01-25,19.6798
2023-01-26,20.0105
2023-01-27,20.2439
2023-01-28,20.2439
2023-01-29,20.2439
2023-01-30,19.9804
2023-01-31,20.037
2023-02-01,20.6471
