,KNL US Equity
2020-06-25,10.5823
2020-06-26,10.5007
2020-06-27,10.5007
2020-06-28,10.5007
2020-06-29,11.1444
2020-06-30,17.9784
2020-07-01,17.4779
2020-07-02,17.4704
2020-07-03,17.4704
2020-07-04,17.4704
2020-07-05,17.4704
2020-07-06,17.6647
2020-07-07,17.2164
2020-07-08,17.1268
2020-07-09,16.7757
2020-07-10,17.0446
2020-07-11,17.0446
2020-07-12,17.0446
2020-07-13,17.2015
2020-07-14,17.2986
2020-07-15,18.2623
2020-07-16,18.3146
2020-07-17,18.2324
2020-07-18,18.2324
2020-07-19,18.2324
2020-07-20,17.7095
2020-07-21,17.9635
2020-07-22,18.0456
2020-07-23,18.3893
2020-07-24,17.6422
2020-07-25,17.6422
2020-07-26,17.6422
2020-07-27,17.5451
2020-07-28,17.5601
2020-07-29,17.7543
2020-07-30,17.5302
2020-07-31,17.6198
2020-08-01,17.6198
2020-08-02,17.6198
2020-08-03,17.7468
2020-08-04,17.8365
2020-08-05,18.3445
2020-08-06,18.4341
2020-08-07,18.7745
2020-08-08,18.7745
2020-08-09,18.7745
2020-08-10,18.9686
2020-08-11,19.1479
2020-08-12,18.8715
2020-08-13,18.7819
2020-08-14,18.9537
2020-08-15,18.9537
2020-08-16,18.9537
2020-08-17,18.8566
2020-08-18,18.4608
2020-08-19,18.4683
2020-08-20,18.5429
2020-08-21,18.4907
2020-08-22,18.4907
2020-08-23,18.4907
2020-08-24,18.7819
2020-08-25,18.6176
2020-08-26,18.3712
2020-08-27,18.6923
2020-08-28,18.8193
2020-08-29,18.8193
2020-08-30,18.8193
2020-08-31,18.4832
2020-09-01,18.655
2020-09-02,18.8491
2020-09-03,18.5205
2020-09-04,18.2965
2020-09-05,18.2965
2020-09-06,18.2965
2020-09-07,18.2965
2020-09-08,17.8932
2020-09-09,17.4601
2020-09-10,17.236
2020-09-11,17.3033
2020-09-12,17.3033
2020-09-13,17.3033
2020-09-14,17.6244
2020-09-15,17.3929
2020-09-16,17.4676
2020-09-17,19.1255
2020-09-18,19.6706
2020-09-19,19.6706
2020-09-20,19.6706
2020-09-21,18.9238
2020-09-22,18.6923
2020-09-23,17.714
2020-09-24,17.7513
2020-09-25,17.7588
2020-09-26,17.7588
2020-09-27,17.7588
2020-09-28,18.0202
2020-09-29,17.938
2020-09-30,23.8245
2020-10-01,24.1558
2020-10-02,24.8888
2020-10-03,24.8888
2020-10-04,24.8888
2020-10-05,24.5374
2020-10-06,24.2864
2020-10-07,24.4972
2020-10-08,24.6077
2020-10-09,24.3567
2020-10-10,24.3567
2020-10-11,24.3567
2020-10-12,24.688
2020-10-13,24.447
2020-10-14,24.2964
2020-10-15,24.4269
2020-10-16,24.5173
2020-10-17,24.5173
2020-10-18,24.5173
2020-10-19,24.6579
2020-10-20,25.1499
2020-10-21,24.9893
2020-10-22,24.9692
2020-10-23,25.16
2020-10-24,25.16
2020-10-25,25.16
2020-10-26,24.8286
2020-10-27,23.0513
2020-10-28,23.0614
2020-10-29,23.2923
2020-10-30,23.222
2020-10-31,23.222
2020-11-01,23.222
2020-11-02,23.4128
2020-11-03,23.5534
2020-11-04,23.212
2020-11-05,23.2521
2020-11-06,23.2362
2020-11-07,23.2362
2020-11-08,23.2362
2020-11-09,25.5445
2020-11-10,25.5445
2020-11-11,25.1431
2020-11-12,24.9424
2020-11-13,25.3438
2020-11-14,25.3438
2020-11-15,25.3438
2020-11-16,25.7252
2020-11-17,25.6248
2020-11-18,25.6449
2020-11-19,25.8255
2020-11-20,25.8155
2020-11-21,25.8155
2020-11-22,25.8155
2020-11-23,26.0664
2020-11-24,27.2607
2020-11-25,26.8793
2020-11-26,26.8793
2020-11-27,26.5481
2020-11-28,26.5481
2020-11-29,26.5481
2020-11-30,25.4241
2020-12-01,25.7151
2020-12-02,26.0363
2020-12-03,26.1467
2020-12-04,26.9998
2020-12-05,26.9998
2020-12-06,26.9998
2020-12-07,26.8091
2020-12-08,26.9094
2020-12-09,26.8894
2020-12-10,26.4779
2020-12-11,26.0162
2020-12-12,26.0162
2020-12-13,26.0162
2020-12-14,25.8055
2020-12-15,26.4779
2020-12-16,26.4076
2020-12-17,25.7754
2020-12-18,25.9058
2020-12-19,25.9058
2020-12-20,25.9058
2020-12-21,25.3338
2020-12-22,25.2234
2020-12-23,25.9159
2020-12-24,26.0865
2020-12-25,26.0865
2020-12-26,26.0865
2020-12-27,26.0865
2020-12-28,26.1065
2020-12-29,26.3173
2020-12-30,26.3876
2020-12-31,48.9135
2021-01-01,48.9135
2021-01-02,48.9135
2021-01-03,48.9135
2021-01-04,47.2792
2021-01-05,48.3993
2021-01-06,49.8684
2021-01-07,49.7031
2021-01-08,49.8133
2021-01-09,49.8133
2021-01-10,49.8133
2021-01-11,49.7582
2021-01-12,50.8783
2021-01-13,50.4009
2021-01-14,51.1171
2021-01-15,50.7498
2021-01-16,50.7498
2021-01-17,50.7498
2021-01-18,50.7498
2021-01-19,51.062
2021-01-20,51.2823
2021-01-21,51.3741
2021-01-22,51.8332
2021-01-23,51.8332
2021-01-24,51.8332
2021-01-25,51.5394
2021-01-26,51.87
2021-01-27,51.4109
2021-01-28,50.8967
2021-01-29,49.4277
2021-01-30,49.4277
2021-01-31,49.4277
2021-02-01,50.1989
2021-02-02,50.0704
2021-02-03,50.1255
2021-02-04,51.5211
2021-02-05,51.1905
2021-02-06,51.1905
2021-02-07,51.1905
2021-02-08,52.4392
2021-02-09,52.4025
2021-02-10,52.6228
2021-02-11,50.7131
2021-02-12,51.1905
2021-02-13,51.1905
2021-02-14,51.1905
2021-02-15,51.1905
2021-02-16,51.1538
2021-02-17,50.9334
2021-02-18,50.3275
2021-02-19,50.86
2021-02-20,50.86
2021-02-21,50.86
2021-02-22,52.6228
2021-02-23,52.6779
2021-02-24,53.8532
2021-02-25,52.4208
2021-02-26,51.9067
2021-02-27,51.9067
2021-02-28,51.9067
2021-03-01,53.1554
2021-03-02,53.4528
2021-03-03,54.3364
2021-03-04,53.3055
2021-03-05,53.9498
2021-03-06,53.9498
2021-03-07,53.9498
2021-03-08,55.6802
2021-03-09,54.2075
2021-03-10,55.4225
2021-03-11,55.5513
2021-03-12,56.0852
2021-03-13,56.0852
2021-03-14,56.0852
2021-03-15,55.22
2021-03-16,54.0971
2021-03-17,54.5389
2021-03-18,54.7598
2021-03-19,54.2259
2021-03-20,54.2259
2021-03-21,54.2259
2021-03-22,53.011
2021-03-23,52.017
2021-03-24,52.017
2021-03-25,52.5876
2021-03-26,52.919
2021-03-27,52.919
2021-03-28,52.919
2021-03-29,51.7408
2021-03-30,51.6856
2021-03-31,80.0872
2021-04-01,80.2245
2021-04-02,80.2245
2021-04-03,80.2245
2021-04-04,80.2245
2021-04-05,80.801
2021-04-06,81.0757
2021-04-07,79.6476
2021-04-08,80.6088
2021-04-09,81.0757
2021-04-10,81.0757
2021-04-11,81.0757
2021-04-12,80.856
2021-04-13,79.9497
2021-04-14,81.4876
2021-04-15,81.2404
2021-04-16,82.0643
2021-04-17,82.0643
2021-04-18,82.0643
2021-04-19,98.7342
2021-04-20,98.2674
2021-04-21,99.4483
2021-04-22,98.2948
2021-04-23,99.562
2021-04-24,99.562
2021-04-25,99.562
2021-04-26,98.0136
2021-04-27,98.3607
2021-04-28,98.4141
2021-04-29,99.8022
2021-04-30,98.5476
2021-05-01,98.5476
2021-05-02,98.5476
2021-05-03,99.7221
2021-05-04,99.8823
2021-05-05,100.4162
2021-05-06,100.0425
2021-05-07,102.0384
2021-05-08,102.0384
2021-05-09,102.0384
2021-05-10,103.5491
2021-05-11,103.4392
2021-05-12,102.5877
2021-05-13,102.4229
2021-05-14,104.016
2021-05-15,104.016
2021-05-16,104.016
2021-05-17,104.2907
2021-05-18,104.0709
2021-05-19,103.5491
2021-05-20,103.7688
2021-05-21,103.5765
2021-05-22,103.5765
2021-05-23,103.5765
2021-05-24,104.5104
2021-05-25,104.1808
2021-05-26,105.1421
2021-05-27,106.076
2021-05-28,106.1584
2021-05-29,106.1584
2021-05-30,106.1584
2021-05-31,106.1584
2021-06-01,108.6029
2021-06-02,108.4381
2021-06-03,107.9711
2021-06-04,108.4381
2021-06-05,108.4381
2021-06-06,108.4381
2021-06-07,109.1797
2021-06-08,108.3557
2021-06-09,109.0973
2021-06-10,108.6853
2021-06-11,106.7958
2021-06-12,106.7958
2021-06-13,106.7958
2021-06-14,104.9786
2021-06-15,105.5665
2021-06-16,104.2303
2021-06-17,103.4552
2021-06-18,101.9319
2021-06-19,101.9319
2021-06-20,101.9319
2021-06-21,103.963
2021-06-22,103.7492
2021-06-23,103.9897
2021-06-24,105.4061
2021-06-25,105.1389
2021-06-26,105.1389
2021-06-27,105.1389
2021-06-28,104.9251
2021-06-29,102.119
2021-06-30,104.2035
2021-07-01,105.513
2021-07-02,103.963
2021-07-03,103.963
2021-07-04,103.963
2021-07-05,103.963
2021-07-06,104.1234
2021-07-07,104.551
2021-07-08,102.5466
2021-07-09,102.894
2021-07-10,102.894
2021-07-11,102.894
2021-07-12,104.1234
2021-07-13,102.9207
2021-07-14,102.2259
2021-07-15,102.1725
2021-07-16,101.05
2021-07-17,101.05
2021-07-18,101.05
2021-07-19,101.6647
2021-07-20,101.6647
2021-07-21,101.6647
2021-07-22,101.6647
2021-07-23,101.6647
2021-07-24,101.6647
2021-07-25,101.6647
2021-07-26,101.6647
2021-07-27,101.6647
2021-07-28,101.6647
2021-07-29,101.6647
2021-07-30,101.6647
2021-07-31,101.6647
2021-08-01,101.6647
2021-08-02,101.6647
2021-08-03,101.6647
2021-08-04,101.6647
2021-08-05,101.6647
2021-08-06,101.6647
2021-08-07,101.6647
2021-08-08,101.6647
2021-08-09,101.6647
2021-08-10,101.6647
2021-08-11,101.6647
2021-08-12,101.6647
2021-08-13,101.6647
2021-08-14,101.6647
2021-08-15,101.6647
2021-08-16,101.6647
2021-08-17,101.6647
2021-08-18,101.6647
2021-08-19,101.6647
2021-08-20,101.6647
2021-08-21,101.6647
2021-08-22,101.6647
2021-08-23,101.6647
2021-08-24,101.6647
2021-08-25,101.6647
2021-08-26,101.6647
2021-08-27,101.6647
2021-08-28,101.6647
2021-08-29,101.6647
2021-08-30,101.6647
2021-08-31,101.6647
2021-09-01,101.6647
2021-09-02,101.6647
2021-09-03,101.6647
2021-09-04,101.6647
2021-09-05,101.6647
2021-09-06,101.6647
2021-09-07,101.6647
2021-09-08,101.6647
2021-09-09,101.6647
2021-09-10,101.6647
2021-09-11,101.6647
2021-09-12,101.6647
2021-09-13,101.6647
2021-09-14,101.6647
2021-09-15,101.6647
2021-09-16,101.6647
2021-09-17,101.6647
2021-09-18,101.6647
2021-09-19,101.6647
2021-09-20,101.6647
2021-09-21,101.6647
2021-09-22,101.6647
2021-09-23,101.6647
2021-09-24,101.6647
2021-09-25,101.6647
2021-09-26,101.6647
2021-09-27,101.6647
2021-09-28,101.6647
2021-09-29,101.6647
2021-09-30,101.6647
2021-10-01,101.6647
2021-10-02,101.6647
2021-10-03,101.6647
2021-10-04,101.6647
2021-10-05,101.6647
2021-10-06,101.6647
2021-10-07,101.6647
2021-10-08,101.6647
2021-10-09,101.6647
2021-10-10,101.6647
2021-10-11,101.6647
2021-10-12,101.6647
2021-10-13,101.6647
2021-10-14,101.6647
2021-10-15,101.6647
2021-10-16,101.6647
2021-10-17,101.6647
2021-10-18,101.6647
2021-10-19,101.6647
2021-10-20,101.6647
2021-10-21,101.6647
2021-10-22,101.6647
2021-10-23,101.6647
2021-10-24,101.6647
2021-10-25,101.6647
2021-10-26,101.6647
2021-10-27,101.6647
2021-10-28,101.6647
2021-10-29,101.6647
2021-10-30,101.6647
2021-10-31,101.6647
2021-11-01,101.6647
2021-11-02,101.6647
2021-11-03,101.6647
2021-11-04,101.6647
2021-11-05,101.6647
2021-11-06,101.6647
2021-11-07,101.6647
2021-11-08,101.6647
2021-11-09,101.6647
2021-11-10,101.6647
2021-11-11,101.6647
2021-11-12,101.6647
2021-11-13,101.6647
2021-11-14,101.6647
2021-11-15,101.6647
2021-11-16,101.6647
2021-11-17,101.6647
2021-11-18,101.6647
2021-11-19,101.6647
2021-11-20,101.6647
2021-11-21,101.6647
2021-11-22,101.6647
2021-11-23,101.6647
2021-11-24,101.6647
2021-11-25,101.6647
2021-11-26,101.6647
2021-11-27,101.6647
2021-11-28,101.6647
2021-11-29,101.6647
2021-11-30,101.6647
2021-12-01,101.6647
2021-12-02,101.6647
2021-12-03,101.6647
2021-12-04,101.6647
2021-12-05,101.6647
2021-12-06,101.6647
2021-12-07,101.6647
2021-12-08,101.6647
2021-12-09,101.6647
2021-12-10,101.6647
2021-12-11,101.6647
2021-12-12,101.6647
2021-12-13,101.6647
2021-12-14,101.6647
2021-12-15,101.6647
2021-12-16,101.6647
2021-12-17,101.6647
2021-12-18,101.6647
2021-12-19,101.6647
2021-12-20,101.6647
2021-12-21,101.6647
2021-12-22,101.6647
2021-12-23,101.6647
2021-12-24,101.6647
2021-12-25,101.6647
2021-12-26,101.6647
2021-12-27,101.6647
2021-12-28,101.6647
2021-12-29,101.6647
2021-12-30,101.6647
2021-12-31,101.6647
2022-01-01,101.6647
2022-01-02,101.6647
2022-01-03,101.6647
2022-01-04,101.6647
2022-01-05,101.6647
2022-01-06,101.6647
2022-01-07,101.6647
2022-01-08,101.6647
2022-01-09,101.6647
2022-01-10,101.6647
2022-01-11,101.6647
2022-01-12,101.6647
2022-01-13,101.6647
2022-01-14,101.6647
2022-01-15,101.6647
2022-01-16,101.6647
2022-01-17,101.6647
2022-01-18,101.6647
2022-01-19,101.6647
2022-01-20,101.6647
2022-01-21,101.6647
2022-01-22,101.6647
2022-01-23,101.6647
2022-01-24,101.6647
2022-01-25,101.6647
2022-01-26,101.6647
2022-01-27,101.6647
2022-01-28,101.6647
2022-01-29,101.6647
2022-01-30,101.6647
2022-01-31,101.6647
2022-02-01,101.6647
2022-02-02,101.6647
2022-02-03,101.6647
2022-02-04,101.6647
2022-02-05,101.6647
2022-02-06,101.6647
2022-02-07,101.6647
2022-02-08,101.6647
2022-02-09,101.6647
2022-02-10,101.6647
2022-02-11,101.6647
2022-02-12,101.6647
2022-02-13,101.6647
2022-02-14,101.6647
2022-02-15,101.6647
2022-02-16,101.6647
2022-02-17,101.6647
2022-02-18,101.6647
2022-02-19,101.6647
2022-02-20,101.6647
2022-02-21,101.6647
2022-02-22,101.6647
2022-02-23,101.6647
2022-02-24,101.6647
2022-02-25,101.6647
2022-02-26,101.6647
2022-02-27,101.6647
2022-02-28,101.6647
2022-03-01,101.6647
2022-03-02,101.6647
2022-03-03,101.6647
2022-03-04,101.6647
2022-03-05,101.6647
2022-03-06,101.6647
2022-03-07,101.6647
2022-03-08,101.6647
2022-03-09,101.6647
2022-03-10,101.6647
2022-03-11,101.6647
2022-03-12,101.6647
2022-03-13,101.6647
2022-03-14,101.6647
2022-03-15,101.6647
2022-03-16,101.6647
2022-03-17,101.6647
2022-03-18,101.6647
2022-03-19,101.6647
2022-03-20,101.6647
2022-03-21,101.6647
2022-03-22,101.6647
2022-03-23,101.6647
2022-03-24,101.6647
2022-03-25,101.6647
2022-03-26,101.6647
2022-03-27,101.6647
2022-03-28,101.6647
2022-03-29,101.6647
2022-03-30,101.6647
2022-03-31,101.6647
2022-04-01,101.6647
2022-04-02,101.6647
2022-04-03,101.6647
2022-04-04,101.6647
2022-04-05,101.6647
2022-04-06,101.6647
2022-04-07,101.6647
2022-04-08,101.6647
2022-04-09,101.6647
2022-04-10,101.6647
2022-04-11,101.6647
2022-04-12,101.6647
2022-04-13,101.6647
2022-04-14,101.6647
2022-04-15,101.6647
2022-04-16,101.6647
2022-04-17,101.6647
2022-04-18,101.6647
2022-04-19,101.6647
2022-04-20,101.6647
2022-04-21,101.6647
2022-04-22,101.6647
2022-04-23,101.6647
2022-04-24,101.6647
2022-04-25,101.6647
2022-04-26,101.6647
2022-04-27,101.6647
2022-04-28,101.6647
2022-04-29,101.6647
2022-04-30,101.6647
2022-05-01,101.6647
2022-05-02,101.6647
2022-05-03,101.6647
2022-05-04,101.6647
2022-05-05,101.6647
2022-05-06,101.6647
2022-05-07,101.6647
2022-05-08,101.6647
2022-05-09,101.6647
2022-05-10,101.6647
2022-05-11,101.6647
2022-05-12,101.6647
2022-05-13,101.6647
2022-05-14,101.6647
2022-05-15,101.6647
2022-05-16,101.6647
2022-05-17,101.6647
2022-05-18,101.6647
2022-05-19,101.6647
2022-05-20,101.6647
2022-05-21,101.6647
2022-05-22,101.6647
2022-05-23,101.6647
2022-05-24,101.6647
2022-05-25,101.6647
2022-05-26,101.6647
2022-05-27,101.6647
2022-05-28,101.6647
2022-05-29,101.6647
2022-05-30,101.6647
2022-05-31,101.6647
2022-06-01,101.6647
2022-06-02,101.6647
2022-06-03,101.6647
2022-06-04,101.6647
2022-06-05,101.6647
2022-06-06,101.6647
2022-06-07,101.6647
2022-06-08,101.6647
2022-06-09,101.6647
2022-06-10,101.6647
2022-06-11,101.6647
2022-06-12,101.6647
2022-06-13,101.6647
2022-06-14,101.6647
2022-06-15,101.6647
2022-06-16,101.6647
2022-06-17,101.6647
2022-06-18,101.6647
2022-06-19,101.6647
2022-06-20,101.6647
2022-06-21,101.6647
2022-06-22,101.6647
2022-06-23,101.6647
2022-06-24,101.6647
2022-06-25,101.6647
2022-06-26,101.6647
2022-06-27,101.6647
2022-06-28,101.6647
2022-06-29,101.6647
2022-06-30,101.6647
2022-07-01,101.6647
2022-07-02,101.6647
2022-07-03,101.6647
2022-07-04,101.6647
2022-07-05,101.6647
2022-07-06,101.6647
2022-07-07,101.6647
2022-07-08,101.6647
2022-07-09,101.6647
2022-07-10,101.6647
2022-07-11,101.6647
2022-07-12,101.6647
2022-07-13,101.6647
2022-07-14,101.6647
2022-07-15,101.6647
2022-07-16,101.6647
2022-07-17,101.6647
2022-07-18,101.6647
2022-07-19,101.6647
2022-07-20,101.6647
2022-07-21,101.6647
2022-07-22,101.6647
2022-07-23,101.6647
2022-07-24,101.6647
2022-07-25,101.6647
2022-07-26,101.6647
2022-07-27,101.6647
2022-07-28,101.6647
2022-07-29,101.6647
2022-07-30,101.6647
2022-07-31,101.6647
2022-08-01,101.6647
2022-08-02,101.6647
2022-08-03,101.6647
2022-08-04,101.6647
2022-08-05,101.6647
2022-08-06,101.6647
2022-08-07,101.6647
2022-08-08,101.6647
2022-08-09,101.6647
2022-08-10,101.6647
2022-08-11,101.6647
2022-08-12,101.6647
2022-08-13,101.6647
2022-08-14,101.6647
2022-08-15,101.6647
2022-08-16,101.6647
2022-08-17,101.6647
2022-08-18,101.6647
2022-08-19,101.6647
2022-08-20,101.6647
2022-08-21,101.6647
2022-08-22,101.6647
2022-08-23,101.6647
2022-08-24,101.6647
2022-08-25,101.6647
2022-08-26,101.6647
2022-08-27,101.6647
2022-08-28,101.6647
2022-08-29,101.6647
2022-08-30,101.6647
2022-08-31,101.6647
2022-09-01,101.6647
2022-09-02,101.6647
2022-09-03,101.6647
2022-09-04,101.6647
2022-09-05,101.6647
2022-09-06,101.6647
2022-09-07,101.6647
2022-09-08,101.6647
2022-09-09,101.6647
2022-09-10,101.6647
2022-09-11,101.6647
2022-09-12,101.6647
2022-09-13,101.6647
2022-09-14,101.6647
2022-09-15,101.6647
2022-09-16,101.6647
2022-09-17,101.6647
2022-09-18,101.6647
2022-09-19,101.6647
2022-09-20,101.6647
2022-09-21,101.6647
2022-09-22,101.6647
2022-09-23,101.6647
2022-09-24,101.6647
2022-09-25,101.6647
2022-09-26,101.6647
2022-09-27,101.6647
2022-09-28,101.6647
2022-09-29,101.6647
2022-09-30,101.6647
2022-10-01,101.6647
2022-10-02,101.6647
2022-10-03,101.6647
2022-10-04,101.6647
2022-10-05,101.6647
2022-10-06,101.6647
2022-10-07,101.6647
2022-10-08,101.6647
2022-10-09,101.6647
2022-10-10,101.6647
2022-10-11,101.6647
2022-10-12,101.6647
2022-10-13,101.6647
2022-10-14,101.6647
2022-10-15,101.6647
2022-10-16,101.6647
2022-10-17,101.6647
2022-10-18,101.6647
2022-10-19,101.6647
2022-10-20,101.6647
2022-10-21,101.6647
2022-10-22,101.6647
2022-10-23,101.6647
2022-10-24,101.6647
2022-10-25,101.6647
2022-10-26,101.6647
2022-10-27,101.6647
2022-10-28,101.6647
2022-10-29,101.6647
2022-10-30,101.6647
2022-10-31,101.6647
2022-11-01,101.6647
2022-11-02,101.6647
2022-11-03,101.6647
2022-11-04,101.6647
2022-11-05,101.6647
2022-11-06,101.6647
2022-11-07,101.6647
2022-11-08,101.6647
2022-11-09,101.6647
2022-11-10,101.6647
2022-11-11,101.6647
2022-11-12,101.6647
2022-11-13,101.6647
2022-11-14,101.6647
2022-11-15,101.6647
2022-11-16,101.6647
2022-11-17,101.6647
2022-11-18,101.6647
2022-11-19,101.6647
2022-11-20,101.6647
2022-11-21,101.6647
2022-11-22,101.6647
2022-11-23,101.6647
2022-11-24,101.6647
2022-11-25,101.6647
2022-11-26,101.6647
2022-11-27,101.6647
2022-11-28,101.6647
2022-11-29,101.6647
2022-11-30,101.6647
2022-12-01,101.6647
2022-12-02,101.6647
2022-12-03,101.6647
2022-12-04,101.6647
2022-12-05,101.6647
2022-12-06,101.6647
2022-12-07,101.6647
2022-12-08,101.6647
2022-12-09,101.6647
2022-12-10,101.6647
2022-12-11,101.6647
2022-12-12,101.6647
2022-12-13,101.6647
2022-12-14,101.6647
2022-12-15,101.6647
2022-12-16,101.6647
2022-12-17,101.6647
2022-12-18,101.6647
2022-12-19,101.6647
2022-12-20,101.6647
2022-12-21,101.6647
2022-12-22,101.6647
2022-12-23,101.6647
2022-12-24,101.6647
2022-12-25,101.6647
2022-12-26,101.6647
2022-12-27,101.6647
2022-12-28,101.6647
2022-12-29,101.6647
2022-12-30,101.6647
2022-12-31,101.6647
2023-01-01,101.6647
2023-01-02,101.6647
2023-01-03,101.6647
2023-01-04,101.6647
2023-01-05,101.6647
2023-01-06,101.6647
2023-01-07,101.6647
2023-01-08,101.6647
2023-01-09,101.6647
2023-01-10,101.6647
2023-01-11,101.6647
2023-01-12,101.6647
2023-01-13,101.6647
2023-01-14,101.6647
2023-01-15,101.6647
2023-01-16,101.6647
2023-01-17,101.6647
2023-01-18,101.6647
2023-01-19,101.6647
2023-01-20,101.6647
2023-01-21,101.6647
2023-01-22,101.6647
2023-01-23,101.6647
2023-01-24,101.6647
2023-01-25,101.6647
2023-01-26,101.6647
2023-01-27,101.6647
2023-01-28,101.6647
2023-01-29,101.6647
2023-01-30,101.6647
2023-01-31,101.6647
2023-02-01,101.6647
2023-02-02,101.6647
2023-02-03,101.6647
2023-02-04,101.6647
2023-02-05,101.6647
2023-02-06,101.6647
2023-02-07,101.6647
2023-02-08,101.6647
2023-02-09,101.6647
2023-02-10,101.6647
2023-02-11,101.6647
2023-02-12,101.6647
2023-02-13,101.6647
2023-02-14,101.6647
2023-02-15,101.6647
2023-02-16,101.6647
2023-02-17,101.6647
2023-02-18,101.6647
2023-02-19,101.6647
2023-02-20,101.6647
2023-02-21,101.6647
2023-02-22,101.6647
2023-02-23,101.6647
2023-02-24,101.6647
2023-02-25,101.6647
2023-02-26,101.6647
2023-02-27,101.6647
2023-02-28,101.6647
2023-03-01,101.6647
2023-03-02,101.6647
2023-03-03,101.6647
2023-03-04,101.6647
2023-03-05,101.6647
2023-03-06,101.6647
2023-03-07,101.6647
2023-03-08,101.6647
2023-03-09,101.6647
2023-03-10,101.6647
2023-03-11,101.6647
2023-03-12,101.6647
2023-03-13,101.6647
