,CRD/A US Equity
2021-02-28,12.6387
2021-03-01,12.5936
2021-03-02,12.6414
2021-03-03,13.1714
2021-03-04,12.93
2021-03-05,13.66
2021-03-06,13.66
2021-03-07,13.66
2021-03-08,13.824
2021-03-09,13.7425
2021-03-10,13.7904
2021-03-11,13.7621
2021-03-12,13.8389
2021-03-13,13.8389
2021-03-14,13.8389
2021-03-15,13.6615
2021-03-16,13.3243
2021-03-17,13.2521
2021-03-18,13.5047
2021-03-19,13.6806
2021-03-20,13.6806
2021-03-21,13.6806
2021-03-22,13.579
2021-03-23,13.448
2021-03-24,13.5007
2021-03-25,13.5579
2021-03-26,13.8368
2021-03-27,13.8368
2021-03-28,13.8368
2021-03-29,13.6393
2021-03-30,13.6584
2021-03-31,9.8
2021-04-01,9.7857
2021-04-02,9.7857
2021-04-03,9.7857
2021-04-04,9.7857
2021-04-05,9.8706
2021-04-06,9.81
2021-04-07,9.666
2021-04-08,9.8695
2021-04-09,9.8813
2021-04-10,9.8813
2021-04-11,9.8813
2021-04-12,9.9914
2021-04-13,9.4604
2021-04-14,9.7546
2021-04-15,9.7571
2021-04-16,9.857
2021-04-17,9.857
2021-04-18,9.857
2021-04-19,9.6976
2021-04-20,9.9764
2021-04-21,9.6936
2021-04-22,9.6058
2021-04-23,9.5926
2021-04-24,9.5926
2021-04-25,9.5926
2021-04-26,9.5162
2021-04-27,9.4394
2021-04-28,9.5121
2021-04-29,9.5694
2021-04-30,9.6847
2021-05-01,9.6847
2021-05-02,9.6847
2021-05-03,9.7483
2021-05-04,9.6602
2021-05-05,9.5878
2021-05-06,9.3897
2021-05-07,9.3673
2021-05-08,9.3673
2021-05-09,9.3673
2021-05-10,9.3055
2021-05-11,9.232
2021-05-12,8.946
2021-05-13,9.2269
2021-05-14,9.5492
2021-05-15,9.5492
2021-05-16,9.5492
2021-05-17,9.4489
2021-05-18,9.3125
2021-05-19,9.0695
2021-05-20,9.1805
2021-05-21,9.2125
2021-05-22,9.2125
2021-05-23,9.2125
2021-05-24,9.3154
2021-05-25,9.2551
2021-05-26,9.1471
2021-05-27,9.3823
2021-05-28,9.3055
2021-05-29,9.3055
2021-05-30,9.3055
2021-05-31,9.3055
2021-06-01,9.6121
2021-06-02,9.6941
2021-06-03,9.733
2021-06-04,9.8267
2021-06-05,9.8267
2021-06-06,9.8267
2021-06-07,9.2336
2021-06-08,9.1654
2021-06-09,9.0357
2021-06-10,9.1794
2021-06-11,9.1667
2021-06-12,9.1667
2021-06-13,9.1667
2021-06-14,9.2129
2021-06-15,9.1691
2021-06-16,9.0276
2021-06-17,8.9375
2021-06-18,8.835
2021-06-19,8.835
2021-06-20,8.835
2021-06-21,9.0225
2021-06-22,9.093
2021-06-23,9.0089
2021-06-24,8.8339
2021-06-25,9.025
2021-06-26,9.025
2021-06-27,9.025
2021-06-28,8.9045
2021-06-29,8.9688
2021-06-30,8.7735
2021-07-01,8.8467
2021-07-02,9.0456
2021-07-03,9.0456
2021-07-04,9.0456
2021-07-05,9.0456
2021-07-06,9.1072
2021-07-07,9.1123
2021-07-08,9.0311
2021-07-09,9.0923
2021-07-10,9.0923
2021-07-11,9.0923
2021-07-12,8.9145
2021-07-13,9.0761
2021-07-14,9.1211
2021-07-15,9.0733
2021-07-16,9.038
2021-07-17,9.038
2021-07-18,9.038
2021-07-19,9.386
2021-07-20,9.3951
2021-07-21,9.5037
2021-07-22,9.5507
2021-07-23,9.7511
2021-07-24,9.7511
2021-07-25,9.7511
2021-07-26,9.9847
2021-07-27,9.9438
2021-07-28,10.0247
2021-07-29,9.9315
2021-07-30,9.8848
2021-07-31,9.8848
2021-08-01,9.8848
2021-08-02,9.8276
2021-08-03,9.7407
2021-08-04,9.4948
2021-08-05,9.6661
2021-08-06,9.6873
2021-08-07,9.6873
2021-08-08,9.6873
2021-08-09,9.1444
2021-08-10,9.5735
2021-08-11,9.6805
2021-08-12,9.6216
2021-08-13,9.6689
2021-08-14,9.6689
2021-08-15,9.6689
2021-08-16,9.6689
2021-08-17,9.6315
2021-08-18,9.5816
2021-08-19,9.5755
2021-08-20,9.6424
2021-08-21,9.6424
2021-08-22,9.6424
2021-08-23,9.453
2021-08-24,9.5139
2021-08-25,9.2503
2021-08-26,9.2043
2021-08-27,9.3551
2021-08-28,9.3551
2021-08-29,9.3551
2021-08-30,9.3204
2021-08-31,9.3496
2021-09-01,9.387
2021-09-02,9.4161
2021-09-03,9.3504
2021-09-04,9.3504
2021-09-05,9.3504
2021-09-06,9.3504
2021-09-07,9.2125
2021-09-08,9.249
2021-09-09,9.1045
2021-09-10,9.0322
2021-09-11,9.0322
2021-09-12,9.0322
2021-09-13,9.117
2021-09-14,8.9288
2021-09-15,9.0879
2021-09-16,9.0853
2021-09-17,8.7514
2021-09-18,8.7514
2021-09-19,8.7514
2021-09-20,8.6178
2021-09-21,8.6563
2021-09-22,8.6108
2021-09-23,8.8393
2021-09-24,8.9054
2021-09-25,8.9054
2021-09-26,8.9054
2021-09-27,8.9154
2021-09-28,8.8406
2021-09-29,8.8544
2021-09-30,12.4729
2021-10-01,12.559
2021-10-02,12.559
2021-10-03,12.559
2021-10-04,12.453
2021-10-05,12.4884
2021-10-06,12.2885
2021-10-07,12.3587
2021-10-08,12.5431
2021-10-09,12.5431
2021-10-10,12.5431
2021-10-11,12.6062
2021-10-12,12.3748
2021-10-13,12.2601
2021-10-14,12.3657
2021-10-15,12.3025
2021-10-16,12.3025
2021-10-17,12.3025
2021-10-18,12.3255
2021-10-19,12.3335
2021-10-20,12.4568
2021-10-21,12.4318
2021-10-22,12.4839
2021-10-23,12.4839
2021-10-24,12.4839
2021-10-25,12.4201
2021-10-26,12.357
2021-10-27,12.0906
2021-10-28,11.9998
2021-10-29,12.0092
2021-10-30,12.0092
2021-10-31,12.0092
2021-11-01,12.1014
2021-11-02,12.0081
2021-11-03,12.2124
2021-11-04,12.1503
2021-11-05,12.2779
2021-11-06,12.2779
2021-11-07,12.2779
2021-11-08,12.2434
2021-11-09,11.7712
2021-11-10,11.7503
2021-11-11,11.8525
2021-11-12,11.8999
2021-11-13,11.8999
2021-11-14,11.8999
2021-11-15,11.6972
2021-11-16,11.5984
2021-11-17,11.5921
2021-11-18,11.5167
2021-11-19,11.5138
2021-11-20,11.5138
2021-11-21,11.5138
2021-11-22,11.5688
2021-11-23,11.2911
2021-11-24,11.4446
2021-11-25,11.4446
2021-11-26,11.2877
2021-11-27,11.2877
2021-11-28,11.2877
2021-11-29,11.2864
2021-11-30,10.914
2021-12-01,10.8548
2021-12-02,10.8152
2021-12-03,10.8526
2021-12-04,10.8526
2021-12-05,10.8526
2021-12-06,10.8973
2021-12-07,10.8271
2021-12-08,10.8161
2021-12-09,10.8975
2021-12-10,10.9219
2021-12-11,10.9219
2021-12-12,10.9219
2021-12-13,10.8517
2021-12-14,10.7413
2021-12-15,10.7428
2021-12-16,10.7488
2021-12-17,10.7332
2021-12-18,10.7332
2021-12-19,10.7332
2021-12-20,10.6317
2021-12-21,10.7096
2021-12-22,10.7585
2021-12-23,10.7864
2021-12-24,10.7864
2021-12-25,10.7864
2021-12-26,10.7864
2021-12-27,10.8322
2021-12-28,10.8249
2021-12-29,10.9732
2021-12-30,10.9424
2021-12-31,13.2073
2022-01-01,13.2073
2022-01-02,13.2073
2022-01-03,13.4172
2022-01-04,13.4503
2022-01-05,13.544
2022-01-06,13.6587
2022-01-07,13.6655
2022-01-08,13.6655
2022-01-09,13.6655
2022-01-10,13.6188
2022-01-11,13.6282
2022-01-12,13.3609
2022-01-13,13.5315
2022-01-14,13.604
2022-01-15,13.604
2022-01-16,13.604
2022-01-17,13.604
2022-01-18,13.4642
2022-01-19,13.3789
2022-01-20,13.1684
2022-01-21,13.3178
2022-01-22,13.3178
2022-01-23,13.3178
2022-01-24,13.4743
2022-01-25,13.4543
2022-01-26,13.3671
2022-01-27,13.358
2022-01-28,13.1496
2022-01-29,13.1496
2022-01-30,13.1496
2022-01-31,13.321
2022-02-01,13.406
2022-02-02,13.5387
2022-02-03,13.4462
2022-02-04,13.4564
2022-02-05,13.4564
2022-02-06,13.4564
2022-02-07,13.4897
2022-02-08,13.4613
2022-02-09,13.4978
2022-02-10,13.4021
2022-02-11,13.3825
2022-02-12,13.3825
2022-02-13,13.3825
2022-02-14,13.2683
2022-02-15,13.448
2022-02-16,13.3844
2022-02-17,13.3841
2022-02-18,13.4772
2022-02-19,13.4772
2022-02-20,13.4772
2022-02-21,13.4772
2022-02-22,13.3752
2022-02-23,13.3841
2022-02-24,13.3291
2022-02-25,13.4034
2022-02-26,13.4034
2022-02-27,13.4034
2022-02-28,13.3818
2022-03-01,13.1718
2022-03-02,13.3048
2022-03-03,13.2918
2022-03-04,13.3048
2022-03-05,13.3048
2022-03-06,13.3048
2022-03-07,13.0787
2022-03-08,12.7308
2022-03-09,12.9079
2022-03-10,12.8296
2022-03-11,12.8862
2022-03-12,12.8862
2022-03-13,12.8862
2022-03-14,12.6958
2022-03-15,12.6686
2022-03-16,12.7507
2022-03-17,12.8788
2022-03-18,13.1647
2022-03-19,13.1647
2022-03-20,13.1647
2022-03-21,13.2154
2022-03-22,13.1532
2022-03-23,13.0911
2022-03-24,13.0093
2022-03-25,13.3342
2022-03-26,13.3342
2022-03-27,13.3342
2022-03-28,13.1883
2022-03-29,13.2435
2022-03-30,13.2302
2022-03-31,14.6861
2022-04-01,14.8926
2022-04-02,14.8926
2022-04-03,14.8926
2022-04-04,14.9107
2022-04-05,14.7826
2022-04-06,14.7085
2022-04-07,14.7716
2022-04-08,14.74
2022-04-09,14.74
2022-04-10,14.74
2022-04-11,14.8027
2022-04-12,15.0653
2022-04-13,14.9889
2022-04-14,15.0945
2022-04-15,15.0945
2022-04-16,15.0945
2022-04-17,15.0945
2022-04-18,15.09
2022-04-19,15.1459
2022-04-20,15.3231
2022-04-21,15.3995
2022-04-22,15.3882
2022-04-23,15.3882
2022-04-24,15.3882
2022-04-25,15.2646
2022-04-26,15.0851
2022-04-27,14.8654
2022-04-28,14.9101
2022-04-29,14.8833
2022-04-30,14.8833
2022-05-01,14.8833
2022-05-02,14.6702
2022-05-03,14.8518
2022-05-04,14.8362
2022-05-05,14.8384
2022-05-06,14.7151
2022-05-07,14.7151
2022-05-08,14.7151
2022-05-09,14.0658
2022-05-10,14.2816
2022-05-11,14.1133
2022-05-12,14.1385
2022-05-13,14.0824
2022-05-14,14.0824
2022-05-15,14.0824
2022-05-16,14.0857
2022-05-17,14.2061
2022-05-18,14.1171
2022-05-19,13.944
2022-05-20,13.9939
2022-05-21,13.9939
2022-05-22,13.9939
2022-05-23,14.0075
2022-05-24,14.1079
2022-05-25,14.3551
2022-05-26,14.4658
2022-05-27,14.6202
2022-05-28,14.6202
2022-05-29,14.6202
2022-05-30,14.6202
2022-05-31,14.707
2022-06-01,14.6739
2022-06-02,14.6807
2022-06-03,14.7013
2022-06-04,14.7013
2022-06-05,14.7013
2022-06-06,14.4734
2022-06-07,14.4321
2022-06-08,14.4365
2022-06-09,14.2864
2022-06-10,14.1912
2022-06-11,14.1912
2022-06-12,14.1912
2022-06-13,13.9988
2022-06-14,13.8632
2022-06-15,14.1858
2022-06-16,14.0387
2022-06-17,14.0982
2022-06-18,14.0982
2022-06-19,14.0982
2022-06-20,14.0982
2022-06-21,14.3304
2022-06-22,14.3117
2022-06-23,14.4678
2022-06-24,14.5285
2022-06-25,14.5285
2022-06-26,14.5285
2022-06-27,14.5568
2022-06-28,14.4295
2022-06-29,14.1842
2022-06-30,17.004
2022-07-01,16.7724
2022-07-02,16.7724
2022-07-03,16.7724
2022-07-04,16.7724
2022-07-05,16.7091
2022-07-06,16.6107
2022-07-07,16.669
2022-07-08,16.6376
2022-07-09,16.6376
2022-07-10,16.6376
2022-07-11,16.4831
2022-07-12,16.3604
2022-07-13,16.3424
2022-07-14,16.356
2022-07-15,16.587
2022-07-16,16.587
2022-07-17,16.587
2022-07-18,16.5613
2022-07-19,16.6746
2022-07-20,16.597
2022-07-21,16.5035
2022-07-22,16.543
2022-07-23,16.543
2022-07-24,16.543
2022-07-25,16.5886
2022-07-26,16.4644
2022-07-27,16.6277
2022-07-28,16.5265
2022-07-29,16.4771
2022-07-30,16.4771
2022-07-31,16.4771
2022-08-01,16.8382
2022-08-02,16.8546
2022-08-03,16.6901
2022-08-04,16.6621
2022-08-05,16.3535
2022-08-06,16.3535
2022-08-07,16.3535
2022-08-08,16.1792
2022-08-09,16.0144
2022-08-10,16.2007
2022-08-11,16.0405
2022-08-12,16.1148
2022-08-13,16.1148
2022-08-14,16.1148
2022-08-15,15.9623
2022-08-16,16.0746
2022-08-17,16.1697
2022-08-18,16.2283
2022-08-19,16.1452
2022-08-20,16.1452
2022-08-21,16.1452
2022-08-22,16.0347
2022-08-23,15.8957
2022-08-24,15.8429
2022-08-25,15.7794
2022-08-26,15.6702
2022-08-27,15.6702
2022-08-28,15.6702
2022-08-29,15.3188
2022-08-30,15.1498
2022-08-31,15.1203
2022-09-01,15.0476
2022-09-02,15.078
2022-09-03,15.078
2022-09-04,15.078
2022-09-05,15.078
2022-09-06,14.981
2022-09-07,14.9669
2022-09-08,14.9691
2022-09-09,14.9909
2022-09-10,14.9909
2022-09-11,14.9909
2022-09-12,15.062
2022-09-13,14.8457
2022-09-14,14.6871
2022-09-15,14.8506
2022-09-16,14.7831
2022-09-17,14.7831
2022-09-18,14.7831
2022-09-19,14.7107
2022-09-20,14.6662
2022-09-21,14.6027
2022-09-22,14.4739
2022-09-23,14.3085
2022-09-24,14.3085
2022-09-25,14.3085
2022-09-26,14.2508
2022-09-27,14.5331
2022-09-28,14.5543
2022-09-29,14.519
2022-09-30,14.519
2022-10-01,14.519
2022-10-02,14.519
2022-10-03,14.519
2022-10-04,14.519
2022-10-05,14.519
2022-10-06,14.519
2022-10-07,14.519
2022-10-08,14.519
2022-10-09,14.519
2022-10-10,14.519
2022-10-11,14.519
2022-10-12,14.519
2022-10-13,14.519
2022-10-14,14.519
2022-10-15,14.519
2022-10-16,14.519
2022-10-17,14.519
2022-10-18,14.519
2022-10-19,14.519
2022-10-20,14.519
2022-10-21,14.519
2022-10-22,14.519
2022-10-23,14.519
2022-10-24,14.519
2022-10-25,14.519
2022-10-26,14.519
2022-10-27,14.519
2022-10-28,14.519
2022-10-29,14.519
2022-10-30,14.519
2022-10-31,14.519
2022-11-01,14.519
2022-11-02,14.519
2022-11-03,14.519
2022-11-04,14.519
2022-11-05,14.519
2022-11-06,14.519
2022-11-07,14.519
2022-11-08,14.519
2022-11-09,14.519
2022-11-10,14.519
2022-11-11,14.519
2022-11-12,14.519
2022-11-13,14.519
2022-11-14,14.519
2022-11-15,14.519
2022-11-16,14.519
2022-11-17,14.519
2022-11-18,14.519
2022-11-19,14.519
2022-11-20,14.519
2022-11-21,14.519
2022-11-22,14.519
2022-11-23,14.519
2022-11-24,14.519
2022-11-25,14.519
2022-11-26,14.519
2022-11-27,14.519
2022-11-28,14.519
2022-11-29,14.519
2022-11-30,14.519
2022-12-01,14.519
2022-12-02,14.519
2022-12-03,14.519
2022-12-04,14.519
2022-12-05,14.519
2022-12-06,14.519
2022-12-07,14.519
2022-12-08,14.519
2022-12-09,14.519
2022-12-10,14.519
2022-12-11,14.519
2022-12-12,14.519
2022-12-13,14.519
2022-12-14,14.519
2022-12-15,14.519
2022-12-16,14.519
2022-12-17,14.519
2022-12-18,14.519
2022-12-19,14.519
2022-12-20,14.519
2022-12-21,14.519
2022-12-22,14.519
2022-12-23,14.519
2022-12-24,14.519
2022-12-25,14.519
2022-12-26,14.519
2022-12-27,14.519
2022-12-28,14.519
2022-12-29,14.519
2022-12-30,40.8346
2022-12-31,40.8346
2023-01-01,40.8346
2023-01-02,40.8346
2023-01-03,40.5746
2023-01-04,40.7445
2023-01-05,40.5385
2023-01-06,40.7058
2023-01-07,40.7058
2023-01-08,40.7058
2023-01-09,40.6006
2023-01-10,40.6564
2023-01-11,41.7289
2023-01-12,43.8358
2023-01-13,43.7379
2023-01-14,43.7379
2023-01-15,43.7379
2023-01-16,43.7379
2023-01-17,43.726
2023-01-18,43.3059
2023-01-19,43.4444
2023-01-20,43.555
2023-01-21,43.555
2023-01-22,43.555
2023-01-23,43.8258
2023-01-24,43.2104
2023-01-25,43.2375
2023-01-26,43.4704
2023-01-27,43.3299
2023-01-28,43.3299
2023-01-29,43.3299
2023-01-30,43.6062
2023-01-31,43.9121
2023-02-01,43.5981
2023-02-02,43.563
2023-02-03,43.4714
2023-02-04,43.4714
2023-02-05,43.4714
2023-02-06,43.5164
2023-02-07,43.1834
2023-02-08,42.9349
2023-02-09,42.8253
2023-02-10,42.8126
2023-02-11,42.8126
2023-02-12,42.8126
2023-02-13,42.2224
2023-02-14,42.1603
2023-02-15,42.2856
2023-02-16,42.2235
2023-02-17,42.6589
2023-02-18,42.6589
2023-02-19,42.6589
2023-02-20,42.6589
2023-02-21,42.0822
2023-02-22,41.9141
2023-02-23,42.1597
2023-02-24,41.4381
2023-02-25,41.4381
2023-02-26,41.4381
2023-02-27,41.3284
2023-02-28,41.0539
2023-03-01,41.2465
2023-03-02,41.0153
2023-03-03,41.3752
2023-03-04,41.3752
2023-03-05,41.3752
2023-03-06,41.045
2023-03-07,43.9185
2023-03-08,44.9393
2023-03-09,45.6696
2023-03-10,45.497
2023-03-11,45.497
2023-03-12,45.497
2023-03-13,46.2691
2023-03-14,47.162
2023-03-15,46.5509
2023-03-16,46.9224
2023-03-17,47.1016
2023-03-18,47.1016
2023-03-19,47.1016
2023-03-20,47.4069
2023-03-21,48.2723
2023-03-22,48.464
2023-03-23,47.4723
2023-03-24,49.1057
2023-03-25,49.1057
