,LLY US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-09-29,27.4117
2020-09-30,28.3635
2020-10-01,27.7108
2020-10-02,27.8718
2020-10-03,27.8718
2020-10-04,27.8718
2020-10-05,28.1203
2020-10-06,27.6828
2020-10-07,28.528
2020-10-08,29.3224
2020-10-09,29.9138
2020-10-10,29.9138
2020-10-11,29.9138
2020-10-12,29.4956
2020-10-13,28.7239
2020-10-14,28.4405
2020-10-15,28.1465
2020-10-16,28.031
2020-10-17,28.031
2020-10-18,28.031
2020-10-19,27.4501
2020-10-20,27.5883
2020-10-21,27.1894
2020-10-22,27.2488
2020-10-23,27.3766
2020-10-24,27.3766
2020-10-25,27.3766
2020-10-26,27.2576
2020-10-27,25.5428
2020-10-28,25.4422
2020-10-29,25.6592
2020-10-30,25.2935
2020-10-31,25.2935
2020-11-01,25.2935
2020-11-02,25.4982
2020-11-03,25.3845
2020-11-04,28.4662
2020-11-05,27.929
2020-11-06,27.4425
2020-11-07,27.4425
2020-11-08,27.4425
2020-11-09,27.3707
2020-11-10,28.111
2020-11-11,27.796
2020-11-12,27.1432
2020-11-13,27.3795
2020-11-14,27.3795
2020-11-15,27.3795
2020-11-16,27.0662
2020-11-17,27.173
2020-11-18,26.9927
2020-11-19,27.5597
2020-11-20,27.9237
2020-11-21,27.9237
2020-11-22,27.9237
2020-11-23,27.5545
2020-11-24,27.8205
2020-11-25,27.7942
2020-11-26,27.7942
2020-11-27,28.265
2020-11-28,28.265
2020-11-29,28.265
2020-11-30,27.9517
2020-12-01,27.936
2020-12-02,27.866
2020-12-03,27.6822
2020-12-04,28.4417
2020-12-05,28.4417
2020-12-06,28.4417
2020-12-07,28.2615
2020-12-08,28.5905
2020-12-09,30.113
2020-12-10,30.638
2020-12-11,30.47
2020-12-12,30.47
2020-12-13,30.47
2020-12-14,30.0973
2020-12-15,31.7633
2020-12-16,32.5718
2020-12-17,32.6733
2020-12-18,32.4581
2020-12-19,32.4581
2020-12-20,32.4581
2020-12-21,31.9996
2020-12-22,31.639
2020-12-23,31.422
2020-12-24,31.6285
2020-12-25,31.6285
2020-12-26,31.6285
2020-12-27,31.6285
2020-12-28,31.6005
2020-12-29,31.6145
2020-12-30,31.6898
2020-12-31,28.8225
2021-01-01,28.8225
2021-01-02,28.8225
2021-01-03,28.8225
2021-01-04,28.2951
2021-01-05,28.4246
2021-01-06,28.1088
2021-01-07,28.3472
2021-01-08,28.4388
2021-01-09,28.4388
2021-01-10,28.4388
2021-01-11,31.5227
2021-01-12,30.3952
2021-01-13,31.4532
2021-01-14,31.6411
2021-01-15,32.2854
2021-01-16,32.2854
2021-01-17,32.2854
2021-01-18,32.2854
2021-01-19,33.5028
2021-01-20,33.9418
2021-01-21,34.1139
2021-01-22,34.7123
2021-01-23,34.7123
2021-01-24,34.7123
2021-01-25,35.6929
2021-01-26,35.7513
2021-01-27,34.9381
2021-01-28,35.3408
2021-01-29,35.0013
2021-01-30,35.0013
2021-01-31,35.0013
2021-02-01,34.2386
2021-02-02,33.3575
2021-02-03,33.2628
2021-02-04,33.9986
2021-02-05,34.0223
2021-02-06,34.0223
2021-02-07,34.0223
2021-02-08,34.6539
2021-02-09,34.0128
2021-02-10,34.436
2021-02-11,34.1502
2021-02-12,34.8939
2021-02-13,34.8939
2021-02-14,34.8939
2021-02-15,34.8939
2021-02-16,34.6523
2021-02-17,34.8257
2021-02-18,33.9809
2021-02-19,33.9492
2021-02-20,33.9492
2021-02-21,33.9492
2021-02-22,33.9113
2021-02-23,34.196
2021-02-24,34.5188
2021-02-25,34.408
2021-02-26,34.5773
2021-02-27,34.5773
2021-02-28,34.5773
2021-03-01,34.8273
2021-03-02,34.4587
2021-03-03,34.1201
2021-03-04,33.8891
2021-03-05,34.8985
2021-03-06,34.8985
2021-03-07,34.8985
2021-03-08,34.9159
2021-03-09,34.7703
2021-03-10,34.6659
2021-03-11,34.628
2021-03-12,35.082
2021-03-13,35.082
2021-03-14,35.082
2021-03-15,32.0887
2021-03-16,32.364
2021-03-17,31.7043
2021-03-18,31.2613
2021-03-19,31.3182
2021-03-20,31.3182
2021-03-21,31.3182
2021-03-22,31.5808
2021-03-23,31.2389
2021-03-24,30.6833
2021-03-25,31.1455
2021-03-26,31.4969
2021-03-27,31.4969
2021-03-28,31.4969
2021-03-29,31.66
2021-03-30,31.527
2021-03-31,34.2397
2021-04-01,33.9702
2021-04-02,33.9702
2021-04-03,33.9702
2021-04-04,33.9702
2021-04-05,33.9105
2021-04-06,33.554
2021-04-07,33.4721
2021-04-08,33.5216
2021-04-09,33.8423
2021-04-10,33.8423
2021-04-11,33.8423
2021-04-12,33.3869
2021-04-13,33.508
2021-04-14,33.5881
2021-04-15,34.0862
2021-04-16,34.6542
2021-04-17,34.6542
2021-04-18,34.6542
2021-04-19,34.7207
2021-04-20,34.8861
2021-04-21,34.9441
2021-04-22,34.2789
2021-04-23,34.5638
2021-04-24,34.5638
2021-04-25,34.5638
2021-04-26,34.3079
2021-04-27,33.4534
2021-04-28,33.1703
2021-04-29,33.4517
2021-04-30,33.55
2021-05-01,33.55
2021-05-02,33.55
2021-05-03,34.0873
2021-05-04,34.4762
2021-05-05,35.2625
2021-05-06,35.4467
2021-05-07,35.7077
2021-05-08,35.7077
2021-05-09,35.7077
2021-05-10,35.5951
2021-05-11,35.5934
2021-05-12,35.329
2021-05-13,35.6258
2021-05-14,35.8424
2021-05-15,35.8424
2021-05-16,35.8424
2021-05-17,35.7264
2021-05-18,35.5729
2021-05-19,35.8936
2021-05-20,36.4087
2021-05-21,36.4684
2021-05-22,36.4684
2021-05-23,36.4684
2021-05-24,36.6629
2021-05-25,36.3558
2021-05-26,36.6578
2021-05-27,36.3524
2021-05-28,36.4445
2021-05-29,36.4445
2021-05-30,36.4445
2021-05-31,36.4445
2021-06-01,36.2194
2021-06-02,36.3405
2021-06-03,36.9494
2021-06-04,36.8334
2021-06-05,36.8334
2021-06-06,36.8334
2021-06-07,40.3301
2021-06-08,40.0197
2021-06-09,40.9237
2021-06-10,42.2098
2021-06-11,40.5979
2021-06-12,40.5979
2021-06-13,40.5979
2021-06-14,40.9407
2021-06-15,40.5007
2021-06-16,40.0299
2021-06-17,40.2772
2021-06-18,39.6529
2021-06-19,39.6529
2021-06-20,39.6529
2021-06-21,40.3557
2021-06-22,40.1459
2021-06-23,39.4056
2021-06-24,42.1126
2021-06-25,41.6435
2021-06-26,41.6435
2021-06-27,41.6435
2021-06-28,41.3024
2021-06-29,41.4985
2021-06-30,40.0711
2021-07-01,40.336
2021-07-02,40.8016
2021-07-03,40.8016
2021-07-04,40.8016
2021-07-05,40.8016
2021-07-06,41.0418
2021-07-07,41.1076
2021-07-08,41.3215
2021-07-09,40.9711
2021-07-10,40.9711
2021-07-11,40.9711
2021-07-12,41.1389
2021-07-13,41.0221
2021-07-14,41.1948
2021-07-15,40.3919
2021-07-16,40.5548
2021-07-17,40.5548
2021-07-18,40.5548
2021-07-19,40.8312
2021-07-20,40.976
2021-07-21,41.3495
2021-07-22,41.5469
2021-07-23,42.4781
2021-07-24,42.4781
2021-07-25,42.4781
2021-07-26,42.3234
2021-07-27,42.3843
2021-07-28,42.8664
2021-07-29,42.6722
2021-07-30,42.3712
2021-07-31,42.3712
2021-08-01,42.3712
2021-08-02,42.8812
2021-08-03,44.3187
2021-08-04,45.3821
2021-08-05,45.6644
2021-08-06,45.5413
2021-08-07,45.5413
2021-08-08,45.5413
2021-08-09,46.1517
2021-08-10,46.5275
2021-08-11,45.6496
2021-08-12,45.5462
2021-08-13,45.6676
2021-08-14,45.6676
2021-08-15,45.6676
2021-08-16,46.608
2021-08-17,47.0625
2021-08-18,46.3749
2021-08-19,46.6834
2021-08-20,46.7671
2021-08-21,46.7671
2021-08-22,46.7671
2021-08-23,46.2601
2021-08-24,45.4313
2021-08-25,45.6118
2021-08-26,45.1934
2021-08-27,44.9357
2021-08-28,44.9357
2021-08-29,44.9357
2021-08-30,45.3558
2021-08-31,44.6961
2021-09-01,44.5501
2021-09-02,44.9062
2021-09-03,44.8996
2021-09-04,44.8996
2021-09-05,44.8996
2021-09-06,44.8996
2021-09-07,44.1234
2021-09-08,44.13
2021-09-09,41.6947
2021-09-10,41.6126
2021-09-11,41.6126
2021-09-12,41.6126
2021-09-13,41.3599
2021-09-14,40.5607
2021-09-15,40.6657
2021-09-16,40.2243
2021-09-17,40.07
2021-09-18,40.07
2021-09-19,40.07
2021-09-20,40.3228
2021-09-21,40.0815
2021-09-22,39.7747
2021-09-23,40.4114
2021-09-24,40.3293
2021-09-25,40.3293
2021-09-26,40.3293
2021-09-27,39.4629
2021-09-28,38.6752
2021-09-29,40.1127
2021-09-30,36.4545
2021-10-01,36.2373
2021-10-02,36.2373
2021-10-03,36.2373
2021-10-04,35.5324
2021-10-05,36.4366
2021-10-06,35.9786
2021-10-07,36.7713
2021-10-08,36.8843
2021-10-09,36.8843
2021-10-10,36.8843
2021-10-11,36.8441
2021-10-12,36.7118
2021-10-13,37.2561
2021-10-14,37.2933
2021-10-15,37.4703
2021-10-16,37.4703
2021-10-17,37.4703
2021-10-18,37.6338
2021-10-19,38.1291
2021-10-20,38.3388
2021-10-21,37.9595
2021-10-22,38.3433
2021-10-23,38.3433
2021-10-24,38.3433
2021-10-25,38.5366
2021-10-26,39.0408
2021-10-27,39.2985
2021-10-28,39.7714
2021-10-29,39.9811
2021-10-30,39.9811
2021-10-31,39.9811
2021-11-01,39.1706
2021-11-02,40.292
2021-11-03,41.6915
2021-11-04,42.3964
2021-11-05,41.5041
2021-11-06,41.5041
2021-11-07,41.5041
2021-11-08,40.8393
2021-11-09,41.0609
2021-11-10,41.452
2021-11-11,41.1516
2021-11-12,40.7084
2021-11-13,40.7084
2021-11-14,40.7084
2021-11-15,40.527
2021-11-16,40.4214
2021-11-17,40.9359
2021-11-18,40.9583
2021-11-19,40.8646
2021-11-20,40.8646
2021-11-21,40.8646
2021-11-22,40.8259
2021-11-23,41.052
2021-11-24,41.0579
2021-11-25,41.0579
2021-11-26,40.8155
2021-11-27,40.8155
2021-11-28,40.8155
2021-11-29,39.9915
2021-11-30,38.9817
2021-12-01,39.1438
2021-12-02,38.9579
2021-12-03,38.6159
2021-12-04,38.6159
