,ENVA US Equity
2021-12-10,5.2069
2021-12-11,5.2069
2021-12-12,5.2069
2021-12-13,5.0685
2021-12-14,5.1152
2021-12-15,5.2166
2021-12-16,5.2077
2021-12-17,5.1087
2021-12-18,5.1087
2021-12-19,5.1087
2021-12-20,5.0628
2021-12-21,5.1868
2021-12-22,5.2311
2021-12-23,5.2616
2021-12-24,5.2616
2021-12-25,5.2616
2021-12-26,5.2616
2021-12-27,5.2946
2021-12-28,5.3268
2021-12-29,5.2979
2021-12-30,5.2737
2021-12-31,6.6881
2022-01-01,6.6881
2022-01-02,6.6881
2022-01-03,6.7296
2022-01-04,6.7842
2022-01-05,6.6678
2022-01-06,6.7093
2022-01-07,6.7225
2022-01-08,6.7225
2022-01-09,6.7225
2022-01-10,6.8371
2022-01-11,6.8486
2022-01-12,6.8601
2022-01-13,6.9385
2022-01-14,6.9685
2022-01-15,6.9685
2022-01-16,6.9685
2022-01-17,6.9685
2022-01-18,6.9086
2022-01-19,6.6784
2022-01-20,6.6158
2022-01-21,6.5814
2022-01-22,6.5814
2022-01-23,6.5814
2022-01-24,6.6634
2022-01-25,6.6714
2022-01-26,6.6864
2022-01-27,6.5153
2022-01-28,6.5417
2022-01-29,6.5417
2022-01-30,6.5417
2022-01-31,6.6282
2022-02-01,6.5982
2022-02-02,6.5153
2022-02-03,6.2813
2022-02-04,6.4838
2022-02-05,6.4838
2022-02-06,6.4838
2022-02-07,6.7962
2022-02-08,6.8706
2022-02-09,6.7524
2022-02-10,6.9277
2022-02-11,6.7822
2022-02-12,6.7822
2022-02-13,6.7822
2022-02-14,6.7268
2022-02-15,6.7971
2022-02-16,6.7359
2022-02-17,6.5152
2022-02-18,6.4706
2022-02-19,6.4706
2022-02-20,6.4706
2022-02-21,6.4706
2022-02-22,6.5673
2022-02-23,6.3813
2022-02-24,6.4028
2022-02-25,6.4788
2022-02-26,6.4788
2022-02-27,6.4788
2022-02-28,6.3793
2022-03-01,6.244
2022-03-02,6.3623
2022-03-03,6.2764
2022-03-04,6.2262
2022-03-05,6.2262
2022-03-06,6.2262
2022-03-07,5.9637
2022-03-08,5.7676
2022-03-09,5.9046
2022-03-10,5.7174
2022-03-11,5.7903
2022-03-12,5.7903
2022-03-13,5.7903
2022-03-14,5.9718
2022-03-15,5.9199
2022-03-16,6.0625
2022-03-17,6.056
2022-03-18,6.1387
2022-03-19,6.1387
2022-03-20,6.1387
2022-03-21,6.1184
2022-03-22,6.2229
2022-03-23,6.1727
2022-03-24,6.197
2022-03-25,6.2124
2022-03-26,6.2124
2022-03-27,6.2124
2022-03-28,6.1897
2022-03-29,6.2553
2022-03-30,6.1452
2022-03-31,7.4949
2022-04-01,7.5769
2022-04-02,7.5769
2022-04-03,7.5769
2022-04-04,7.5018
2022-04-05,7.4889
2022-04-06,7.4501
2022-04-07,7.4052
2022-04-08,7.4293
2022-04-09,7.4293
2022-04-10,7.4293
2022-04-11,7.4423
2022-04-12,7.488
2022-04-13,7.5226
2022-04-14,7.4587
2022-04-15,7.4587
2022-04-16,7.4587
2022-04-17,7.4587
2022-04-18,7.4751
2022-04-19,7.6218
2022-04-20,7.6072
2022-04-21,7.5519
2022-04-22,7.4673
2022-04-23,7.4673
2022-04-24,7.4673
2022-04-25,7.4924
2022-04-26,7.3715
2022-04-27,7.3007
2022-04-28,7.4475
2022-04-29,7.4457
2022-04-30,7.4457
2022-05-01,7.4457
2022-05-02,7.5044
2022-05-03,7.5356
2022-05-04,7.4629
2022-05-05,7.1872
2022-05-06,7.0982
2022-05-07,7.0982
2022-05-08,7.0982
2022-05-09,7.0117
2022-05-10,6.9021
2022-05-11,6.8619
2022-05-12,6.7934
2022-05-13,6.8636
2022-05-14,6.8636
2022-05-15,6.8636
2022-05-16,6.8225
2022-05-17,6.9723
2022-05-18,6.8422
2022-05-19,6.7891
2022-05-20,6.7326
2022-05-21,6.7326
2022-05-22,6.7326
2022-05-23,6.8371
2022-05-24,6.7583
2022-05-25,6.7814
2022-05-26,6.8482
2022-05-27,6.921
2022-05-28,6.921
2022-05-29,6.921
2022-05-30,6.921
2022-05-31,6.921
2022-06-01,6.8867
2022-06-02,6.9287
2022-06-03,6.9013
2022-06-04,6.9013
2022-06-05,6.9013
2022-06-06,6.9586
2022-06-07,7.0288
2022-06-08,6.9475
2022-06-09,6.8687
2022-06-10,6.7583
2022-06-11,6.7583
2022-06-12,6.7583
2022-06-13,6.6094
2022-06-14,6.6222
2022-06-15,6.6376
2022-06-16,6.4972
2022-06-17,6.5648
2022-06-18,6.5648
2022-06-19,6.5648
2022-06-20,6.5648
2022-06-21,6.5768
2022-06-22,6.588
2022-06-23,6.6359
2022-06-24,6.754
2022-06-25,6.754
2022-06-26,6.754
2022-06-27,6.7515
2022-06-28,6.7403
2022-06-29,6.701
2022-06-30,7.6972
2022-07-01,7.761
2022-07-02,7.761
2022-07-03,7.761
2022-07-04,7.761
2022-07-05,7.777
2022-07-06,7.761
2022-07-07,7.7967
2022-07-08,7.777
2022-07-09,7.777
2022-07-10,7.777
2022-07-11,7.7423
2022-07-12,7.7526
2022-07-13,7.731
2022-07-14,7.7179
2022-07-15,7.8501
2022-07-16,7.8501
2022-07-17,7.8501
2022-07-18,7.9158
2022-07-19,8.0527
2022-07-20,8.14
2022-07-21,8.169
2022-07-22,8.1484
2022-07-23,8.1484
2022-07-24,8.1484
2022-07-25,8.1597
2022-07-26,8.0706
2022-07-27,8.1653
2022-07-28,8.169
2022-07-29,8.1763
2022-07-30,8.1763
2022-07-31,8.1763
2022-08-01,8.096
2022-08-02,8.0739
2022-08-03,8.156
2022-08-04,8.1864
2022-08-05,8.1514
2022-08-06,8.1514
2022-08-07,8.1514
2022-08-08,8.25
2022-08-09,8.2528
2022-08-10,8.4428
2022-08-11,8.4741
2022-08-12,8.5119
2022-08-13,8.5119
2022-08-14,8.5119
2022-08-15,8.4935
2022-08-16,8.5516
2022-08-17,8.4575
2022-08-18,8.499
2022-08-19,8.4289
2022-08-20,8.4289
2022-08-21,8.4289
2022-08-22,8.3441
2022-08-23,8.3459
2022-08-24,8.3985
2022-08-25,8.4778
2022-08-26,8.3192
2022-08-27,8.3192
2022-08-28,8.3192
2022-08-29,8.2399
2022-08-30,8.2629
2022-08-31,8.2159
2022-09-01,8.1707
2022-09-02,8.1412
2022-09-03,8.1412
2022-09-04,8.1412
2022-09-05,8.1412
2022-09-06,8.0896
2022-09-07,8.168
2022-09-08,8.2021
2022-09-09,8.2878
2022-09-10,8.2878
2022-09-11,8.2878
2022-09-12,8.3146
2022-09-13,8.0748
2022-09-14,8.0435
2022-09-15,8.0868
2022-09-16,8.0684
2022-09-17,8.0684
2022-09-18,8.0684
2022-09-19,8.156
2022-09-20,8.037
2022-09-21,7.9771
2022-09-22,7.8987
2022-09-23,7.7982
2022-09-24,7.7982
2022-09-25,7.7982
2022-09-26,7.717
2022-09-27,7.6728
2022-09-28,7.7982
2022-09-29,7.7032
2022-09-30,8.1912
2022-10-01,8.1912
2022-10-02,8.1912
2022-10-03,8.2536
2022-10-04,8.4397
2022-10-05,8.3694
2022-10-06,8.3703
2022-10-07,8.275
2022-10-08,8.275
2022-10-09,8.275
2022-10-10,8.2901
2022-10-11,8.3275
2022-10-12,8.3614
2022-10-13,8.478
2022-10-14,8.3774
2022-10-15,8.3774
2022-10-16,8.3774
2022-10-17,8.4326
2022-10-18,8.4638
2022-10-19,8.3008
2022-10-20,8.3008
2022-10-21,8.348
2022-10-22,8.348
2022-10-23,8.348
2022-10-24,8.3578
2022-10-25,8.4379
2022-10-26,8.4246
2022-10-27,8.5395
2022-10-28,8.8186
2022-10-29,8.8186
2022-10-30,8.8186
2022-10-31,8.8659
2022-11-01,8.9018
2022-11-02,8.8694
2022-11-03,8.8002
2022-11-04,8.851
2022-11-05,8.851
2022-11-06,8.851
2022-11-07,8.8589
2022-11-08,9.0777
2022-11-09,8.9333
2022-11-10,9.1223
2022-11-11,9.1425
2022-11-12,9.1425
2022-11-13,9.1425
2022-11-14,8.9552
2022-11-15,9.0331
2022-11-16,8.9911
2022-11-17,8.9639
2022-11-18,8.9517
2022-11-19,8.9517
2022-11-20,8.9517
2022-11-21,8.9814
2022-11-22,8.9981
2022-11-23,9.0068
2022-11-24,9.0068
2022-11-25,9.0374
2022-11-26,9.0374
2022-11-27,9.0374
2022-11-28,9.0287
2022-11-29,9.0427
2022-11-30,9.1153
2022-12-01,9.1127
2022-12-02,9.0663
2022-12-03,9.0663
2022-12-04,9.0663
2022-12-05,9.0532
2022-12-06,9.0366
2022-12-07,9.0059
2022-12-08,9.0654
2022-12-09,8.9972
2022-12-10,8.9972
2022-12-11,8.9972
2022-12-12,9.0401
2022-12-13,9.0401
2022-12-14,9.0269
2022-12-15,8.9079
2022-12-16,8.8764
2022-12-17,8.8764
2022-12-18,8.8764
2022-12-19,8.8606
2022-12-20,8.9096
2022-12-21,8.9823
2022-12-22,8.879
2022-12-23,8.9385
2022-12-24,8.9385
2022-12-25,8.9385
2022-12-26,8.9385
2022-12-27,8.942
2022-12-28,8.8895
2022-12-29,8.9805
2022-12-30,8.877
2022-12-31,8.877
2023-01-01,8.877
2023-01-02,8.877
2023-01-03,8.8983
2023-01-04,8.9319
2023-01-05,8.8312
2023-01-06,8.9155
2023-01-07,8.9155
2023-01-08,8.9155
2023-01-09,8.8902
2023-01-10,8.9754
2023-01-11,9.0368
2023-01-12,9.0745
2023-01-13,9.1064
2023-01-14,9.1064
2023-01-15,9.1064
2023-01-16,9.1064
2023-01-17,9.0655
2023-01-18,9.0278
2023-01-19,8.9876
2023-01-20,9.0892
2023-01-21,9.0892
2023-01-22,9.0892
2023-01-23,9.1097
2023-01-24,9.1327
2023-01-25,9.1654
2023-01-26,9.3178
2023-01-27,9.3629
2023-01-28,9.3629
2023-01-29,9.3629
2023-01-30,9.3776
2023-01-31,9.4735
2023-02-01,9.4858
2023-02-02,9.9971
2023-02-03,10.0671
2023-02-04,10.0671
2023-02-05,10.0671
2023-02-06,9.9305
2023-02-07,9.9947
2023-02-08,9.9394
2023-02-09,9.8475
2023-02-10,9.8158
2023-02-11,9.8158
2023-02-12,9.8158
2023-02-13,9.867
2023-02-14,9.8459
2023-02-15,9.8939
2023-02-16,9.8435
2023-02-17,9.8305
2023-02-18,9.8305
2023-02-19,9.8305
2023-02-20,9.8305
2023-02-21,9.7044
2023-02-22,9.7402
2023-02-23,9.7345
2023-02-24,9.7514
2023-02-25,9.7514
2023-02-26,9.7514
2023-02-27,9.726
2023-02-28,9.7391
2023-03-01,9.8246
2023-03-02,9.841
2023-03-03,9.8887
2023-03-04,9.8887
2023-03-05,9.8887
2023-03-06,9.7227
2023-03-07,9.7449
2023-03-08,9.8278
2023-03-09,9.7005
2023-03-10,9.5025
2023-03-11,9.5025
2023-03-12,9.5025
2023-03-13,9.2979
2023-03-14,9.3135
2023-03-15,9.251
2023-03-16,9.3135
2023-03-17,9.1713
2023-03-18,9.1713
2023-03-19,9.1713
