,EBAY US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-01-25,16.6543
2021-01-26,17.1564
2021-01-27,16.9419
2021-01-28,16.4424
2021-01-29,16.4607
2021-01-30,16.4607
2021-01-31,16.4607
2021-02-01,16.9733
2021-02-02,16.6752
2021-02-03,16.8609
2021-02-04,17.4601
2021-02-05,17.7466
2021-02-06,17.7466
2021-02-07,17.7466
2021-02-08,18.1622
2021-02-09,17.7466
2021-02-10,17.7699
2021-02-11,17.7673
2021-02-12,17.948
2021-02-13,17.948
2021-02-14,17.948
2021-02-15,17.948
2021-02-16,17.9106
2021-02-17,17.9583
2021-02-18,17.8938
2021-02-19,17.6821
2021-02-20,17.6821
2021-02-21,17.6821
2021-02-22,17.5737
2021-02-23,17.5246
2021-02-24,17.011
2021-02-25,16.3914
2021-02-26,16.2469
2021-02-27,16.2469
2021-02-28,16.2469
2021-03-01,16.7786
2021-03-02,16.394
2021-03-03,15.7771
2021-03-04,15.4518
2021-03-05,15.5602
2021-03-06,15.5602
2021-03-07,15.5602
2021-03-08,15.4905
2021-03-09,16.1823
2021-03-10,15.9681
2021-03-11,16.2004
2021-03-12,16.0868
2021-03-13,16.0868
2021-03-14,16.0868
2021-03-15,16.5695
2021-03-16,16.505
2021-03-17,16.9129
2021-03-18,16.887
2021-03-19,17.1013
2021-03-20,17.1013
2021-03-21,17.1013
2021-03-22,17.2459
2021-03-23,17.251
2021-03-24,16.5618
2021-03-25,16.678
2021-03-26,17.3852
2021-03-27,17.3852
2021-03-28,17.3852
2021-03-29,17.1323
2021-03-30,17.2536
2021-03-31,15.4462
2021-04-01,15.8808
2021-04-02,15.8808
2021-04-03,15.8808
2021-04-04,15.8808
2021-04-05,16.0156
2021-04-06,15.7437
2021-04-07,15.5671
2021-04-08,15.667
2021-04-09,15.7321
2021-04-10,15.7321
2021-04-11,15.7321
2021-04-12,15.7716
2021-04-13,16.0458
2021-04-14,15.8064
2021-04-15,16.1713
2021-04-16,16.3037
2021-04-17,16.3037
2021-04-18,16.3037
2021-04-19,16.0388
2021-04-20,15.574
2021-04-21,15.5717
2021-04-22,15.33
2021-04-23,15.3695
2021-04-24,15.3695
2021-04-25,15.3695
2021-04-26,15.5424
2021-04-27,15.5703
2021-04-28,15.7146
2021-04-29,14.2604
2021-04-30,14.1952
2021-05-01,14.1952
2021-05-02,14.1952
2021-05-03,14.7443
2021-05-04,14.6373
2021-05-05,14.7653
2021-05-06,14.9002
2021-05-07,15.1236
2021-05-08,15.1236
2021-05-09,15.1236
2021-05-10,15.5098
2021-05-11,15.2748
2021-05-12,14.7746
2021-05-13,14.8816
2021-05-14,15.3749
2021-05-15,15.3749
2021-05-16,15.3749
2021-05-17,15.568
2021-05-18,15.4749
2021-05-19,15.1259
2021-05-20,15.0514
2021-05-21,15.4121
2021-05-22,15.4121
2021-05-23,15.4121
2021-05-24,15.4005
2021-05-25,15.4772
2021-05-26,15.5098
2021-05-27,15.0608
2021-05-28,15.3795
2021-05-29,15.3795
2021-05-30,15.3795
2021-05-31,15.3795
2021-06-01,15.4935
2021-06-02,15.9682
2021-06-03,16.1217
2021-06-04,16.3916
2021-06-05,16.3916
2021-06-06,16.3916
2021-06-07,16.4428
2021-06-08,16.5243
2021-06-09,16.5615
2021-06-10,16.7453
2021-06-11,16.8337
2021-06-12,16.8337
2021-06-13,16.8337
2021-06-14,16.5452
2021-06-15,16.5615
2021-06-16,16.5917
2021-06-17,16.4149
2021-06-18,15.9333
2021-06-19,15.9333
2021-06-20,15.9333
2021-06-21,16.1985
2021-06-22,16.3125
2021-06-23,16.4079
2021-06-24,16.7034
2021-06-25,17.0129
2021-06-26,17.0129
2021-06-27,17.0129
2021-06-28,17.2269
2021-06-29,17.6155
2021-06-30,17.1894
2021-07-01,17.0929
2021-07-02,17.1588
2021-07-03,17.1588
2021-07-04,17.1588
2021-07-05,17.1588
2021-07-06,16.9094
2021-07-07,17.1564
2021-07-08,16.8224
2021-07-09,17.0129
2021-07-10,17.0129
2021-07-11,17.0129
2021-07-12,16.8977
2021-07-13,16.8436
2021-07-14,16.6765
2021-07-15,16.7024
2021-07-16,16.7118
2021-07-17,16.7118
2021-07-18,16.7118
2021-07-19,16.7942
2021-07-20,17.0388
2021-07-21,17.107
2021-07-22,17.6246
2021-07-23,17.9727
2021-07-24,17.9727
2021-07-25,17.9727
2021-07-26,17.9068
2021-07-27,17.6787
2021-07-28,17.8198
2021-07-29,17.9421
2021-07-30,16.7189
2021-07-31,16.7189
