,BFH US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-12-16,7.0632
2021-12-17,7.0003
2021-12-18,7.0003
2021-12-19,7.0003
2021-12-20,6.9176
2021-12-21,7.0304
2021-12-22,7.056
2021-12-23,7.0946
2021-12-24,7.0946
2021-12-25,7.0946
2021-12-26,7.0946
2021-12-27,7.0488
2021-12-28,7.0389
2021-12-29,6.9931
2021-12-30,7.0016
2021-12-31,7.3824
2022-01-01,7.3824
2022-01-02,7.3824
2022-01-03,7.4806
2022-01-04,7.5931
2022-01-05,7.4987
2022-01-06,7.5145
2022-01-07,7.565
2022-01-08,7.565
2022-01-09,7.565
2022-01-10,7.6318
2022-01-11,7.6551
2022-01-12,7.6384
2022-01-13,7.7782
2022-01-14,7.659
2022-01-15,7.659
2022-01-16,7.659
2022-01-17,7.659
2022-01-18,7.5011
2022-01-19,7.3404
2022-01-20,7.3333
2022-01-21,7.2889
2022-01-22,7.2889
2022-01-23,7.2889
2022-01-24,7.411
2022-01-25,7.3848
2022-01-26,7.3771
2022-01-27,7.3576
2022-01-28,7.4315
2022-01-29,7.4315
2022-01-30,7.4315
2022-01-31,7.5002
2022-02-01,7.534
2022-02-02,7.5393
2022-02-03,7.4797
2022-02-04,7.5078
2022-02-05,7.5078
2022-02-06,7.5078
2022-02-07,7.5478
2022-02-08,7.6842
2022-02-09,7.7176
2022-02-10,7.6532
2022-02-11,7.6013
2022-02-12,7.6013
2022-02-13,7.6013
2022-02-14,7.5474
2022-02-15,7.6613
2022-02-16,7.6804
2022-02-17,7.5641
2022-02-18,7.5698
2022-02-19,7.5698
2022-02-20,7.5698
2022-02-21,7.5698
2022-02-22,7.4835
2022-02-23,7.3995
2022-02-24,7.3023
2022-02-25,7.4444
2022-02-26,7.4444
2022-02-27,7.4444
2022-02-28,7.4349
2022-03-01,7.2459
2022-03-02,7.2856
2022-03-03,7.2244
2022-03-04,7.1253
2022-03-05,7.1253
2022-03-06,7.1253
2022-03-07,6.8435
2022-03-08,6.7718
