,EME US Equity
2020-07-23,16.2305
2020-07-24,16.06
2020-07-25,16.06
2020-07-26,16.06
2020-07-27,16.2972
2020-07-28,16.3565
2020-07-29,17.8019
2020-07-30,17.4609
2020-07-31,17.288
2020-08-01,17.288
2020-08-02,17.288
2020-08-03,17.9569
2020-08-04,18.3601
2020-08-05,18.5678
2020-08-06,18.3625
2020-08-07,18.8177
2020-08-08,18.8177
2020-08-09,18.8177
2020-08-10,19.2901
2020-08-11,19.3222
2020-08-12,19.4236
2020-08-13,19.2456
2020-08-14,19.0848
2020-08-15,19.0848
2020-08-16,19.0848
2020-08-17,19.1417
2020-08-18,19.0007
2020-08-19,18.9858
2020-08-20,18.7113
2020-08-21,18.5604
2020-08-22,18.5604
2020-08-23,18.5604
2020-08-24,18.8078
2020-08-25,18.6989
2020-08-26,18.6025
2020-08-27,18.9141
2020-08-28,19.1491
2020-08-29,19.1491
2020-08-30,19.1491
2020-08-31,18.9166
2020-09-01,19.1441
2020-09-02,19.3222
2020-09-03,18.4367
2020-09-04,18.2958
2020-09-05,18.2958
2020-09-06,18.2958
2020-09-07,18.2958
2020-09-08,17.8777
2020-09-09,17.9025
2020-09-10,17.5315
2020-09-11,17.3138
2020-09-12,17.3138
2020-09-13,17.3138
2020-09-14,17.6551
2020-09-15,17.5859
2020-09-16,17.6774
2020-09-17,17.8307
2020-09-18,17.4004
2020-09-19,17.4004
2020-09-20,17.4004
2020-09-21,16.5099
2020-09-22,16.7498
2020-09-23,16.7894
2020-09-24,16.8834
2020-09-25,16.7993
2020-09-26,16.7993
2020-09-27,16.7993
2020-09-28,17.2495
2020-09-29,17.0565
2020-09-30,14.7616
2020-10-01,14.8523
2020-10-02,15.086
2020-10-03,15.086
2020-10-04,15.086
2020-10-05,15.4602
2020-10-06,15.4761
2020-10-07,15.5055
2020-10-08,15.653
2020-10-09,15.6326
2020-10-10,15.6326
2020-10-11,15.6326
2020-10-12,16.0998
2020-10-13,15.7323
2020-10-14,15.5713
2020-10-15,15.628
2020-10-16,15.5736
2020-10-17,15.5736
2020-10-18,15.5736
2020-10-19,15.5214
2020-10-20,15.6212
2020-10-21,15.4965
2020-10-22,15.3876
2020-10-23,15.433
2020-10-24,15.433
2020-10-25,15.433
2020-10-26,15.0769
2020-10-27,14.4985
2020-10-28,13.9134
2020-10-29,14.4531
2020-10-30,14.8774
2020-10-31,14.8774
2020-11-01,14.8774
2020-11-02,15.4629
2020-11-03,15.8032
2020-11-04,15.6058
2020-11-05,16.1549
2020-11-06,16.0347
2020-11-07,16.0347
2020-11-08,16.0347
2020-11-09,17.0217
2020-11-10,17.9066
2020-11-11,17.6412
2020-11-12,17.3689
2020-11-13,17.8181
2020-11-14,17.8181
2020-11-15,17.8181
2020-11-16,18.669
2020-11-17,18.7575
2020-11-18,18.6917
2020-11-19,19.0185
2020-11-20,18.8664
2020-11-21,18.8664
2020-11-22,18.8664
2020-11-23,19.141
2020-11-24,19.4564
2020-11-25,19.3747
2020-11-26,19.3747
2020-11-27,19.3838
2020-11-28,19.3838
2020-11-29,19.3838
2020-11-30,18.9595
2020-12-01,19.2204
2020-12-02,18.9186
2020-12-03,18.8301
2020-12-04,19.4224
2020-12-05,19.4224
2020-12-06,19.4224
2020-12-07,19.2885
2020-12-08,19.5426
2020-12-09,19.9102
2020-12-10,19.7559
2020-12-11,19.8263
2020-12-12,19.8263
2020-12-13,19.8263
2020-12-14,19.5517
2020-12-15,19.706
2020-12-16,19.8921
2020-12-17,19.8943
2020-12-18,19.765
2020-12-19,19.765
2020-12-20,19.765
2020-12-21,19.7083
2020-12-22,19.8353
2020-12-23,20.2483
2020-12-24,20.33
2020-12-25,20.33
2020-12-26,20.33
2020-12-27,20.33
2020-12-28,20.2937
2020-12-29,20.06
2020-12-30,20.2823
2020-12-31,18.1331
2021-01-01,18.1331
2021-01-02,18.1331
2021-01-03,18.1331
2021-01-04,17.6583
2021-01-05,18.1224
2021-01-06,19.8056
2021-01-07,20.1991
2021-01-08,19.7542
2021-01-09,19.7542
2021-01-10,19.7542
2021-01-11,19.5318
2021-01-12,19.7906
2021-01-13,19.5874
2021-01-14,19.7842
2021-01-15,19.5532
2021-01-16,19.5532
2021-01-17,19.5532
2021-01-18,19.5532
2021-01-19,19.5596
2021-01-20,19.7243
2021-01-21,18.8581
2021-01-22,19.3757
2021-01-23,19.3757
2021-01-24,19.3757
2021-01-25,18.6998
2021-01-26,18.6528
2021-01-27,17.5235
2021-01-28,18.0646
2021-01-29,17.4572
2021-01-30,17.4572
2021-01-31,17.4572
2021-02-01,17.9919
2021-02-02,18.2913
2021-02-03,18.2828
2021-02-04,18.5202
2021-02-05,18.7062
2021-02-06,18.7062
2021-02-07,18.7062
2021-02-08,19.0591
2021-02-09,18.9244
2021-02-10,19.0014
2021-02-11,18.8025
2021-02-12,18.5587
2021-02-13,18.5587
2021-02-14,18.5587
2021-02-15,18.5587
2021-02-16,18.6036
2021-02-17,18.2657
2021-02-18,17.9106
2021-02-19,18.3042
2021-02-20,18.3042
2021-02-21,18.3042
2021-02-22,18.5565
2021-02-23,18.9094
2021-02-24,19.6858
2021-02-25,19.9074
2021-02-26,19.3463
2021-02-27,19.3463
2021-02-28,19.3463
2021-03-01,20.2445
2021-03-02,19.9159
2021-03-03,20.2808
2021-03-04,19.9671
2021-03-05,20.8632
2021-03-06,20.8632
2021-03-07,20.8632
2021-03-08,21.4137
2021-03-09,21.4713
2021-03-10,22.4335
2021-03-11,22.5722
2021-03-12,23.1717
2021-03-13,23.1717
2021-03-14,23.1717
2021-03-15,22.8794
2021-03-16,22.5679
2021-03-17,22.8112
2021-03-18,22.7087
2021-03-19,22.6511
2021-03-20,22.6511
2021-03-21,22.6511
2021-03-22,21.9961
2021-03-23,20.9827
2021-03-24,21.2473
2021-03-25,21.9556
2021-03-26,22.4954
2021-03-27,22.4954
2021-03-28,22.4954
2021-03-29,22.0943
2021-03-30,22.6597
2021-03-31,22.1045
2021-04-01,22.4114
2021-04-02,22.4114
2021-04-03,22.4114
2021-04-04,22.4114
2021-04-05,22.5321
2021-04-06,22.6057
2021-04-07,22.5321
2021-04-08,22.7735
2021-04-09,23.0947
2021-04-10,23.0947
2021-04-11,23.0947
2021-04-12,23.4077
2021-04-13,23.1561
2021-04-14,23.3627
2021-04-15,23.4527
2021-04-16,23.6941
2021-04-17,23.6941
2021-04-18,23.6941
2021-04-19,23.6471
2021-04-20,23.3054
2021-04-21,23.5652
2021-04-22,23.4814
2021-04-23,23.9049
2021-04-24,23.9049
2021-04-25,23.9049
2021-04-26,23.8619
2021-04-27,23.8176
2021-04-28,23.7971
2021-04-29,23.9288
2021-04-30,23.5601
2021-05-01,23.5601
2021-05-02,23.5601
2021-05-03,23.7067
2021-05-04,23.7454
2021-05-05,24.0795
2021-05-06,24.4359
2021-05-07,24.6824
2021-05-08,24.6824
2021-05-09,24.6824
2021-05-10,24.4889
2021-05-11,24.4502
2021-05-12,23.503
2021-05-13,24.2485
2021-05-14,24.5744
2021-05-15,24.5744
2021-05-16,24.5744
2021-05-17,24.66
2021-05-18,23.9858
2021-05-19,23.8941
2021-05-20,23.9654
2021-05-21,23.998
2021-05-22,23.998
2021-05-23,23.998
2021-05-24,24.1956
2021-05-25,23.8656
2021-05-26,24.2811
2021-05-27,24.6804
2021-05-28,24.8454
2021-05-29,24.8454
2021-05-30,24.8454
2021-05-31,24.8454
2021-06-01,25.1794
2021-06-02,24.8331
2021-06-03,24.77
2021-06-04,25.104
2021-06-05,25.104
2021-06-06,25.104
2021-06-07,25.2711
2021-06-08,25.4483
2021-06-09,25.1794
2021-06-10,24.5561
2021-06-11,24.9696
2021-06-12,24.9696
2021-06-13,24.9696
2021-06-14,24.5765
2021-06-15,24.8678
2021-06-16,24.7639
2021-06-17,24.1202
2021-06-18,23.277
2021-06-19,23.277
2021-06-20,23.277
2021-06-21,24.0347
2021-06-22,24.0673
2021-06-23,23.9858
2021-06-24,24.7231
2021-06-25,24.3402
2021-06-26,24.3402
2021-06-27,24.3402
2021-06-28,24.1141
2021-06-29,23.9654
2021-06-30,12.5917
2021-07-01,12.6063
2021-07-02,12.4813
2021-07-03,12.4813
2021-07-04,12.4813
2021-07-05,12.4813
2021-07-06,12.2835
2021-07-07,12.4084
2021-07-08,12.2106
2021-07-09,12.5261
2021-07-10,12.5261
2021-07-11,12.5261
2021-07-12,12.6188
2021-07-13,12.4741
2021-07-14,12.472
2021-07-15,12.4584
2021-07-16,12.2147
2021-07-17,12.2147
2021-07-18,12.2147
2021-07-19,11.9148
2021-07-20,12.3928
2021-07-21,12.4355
2021-07-22,12.1179
2021-07-23,12.4095
2021-07-24,12.4095
2021-07-25,12.4095
2021-07-26,12.4116
2021-07-27,12.4386
2021-07-28,12.5928
2021-07-29,12.3783
2021-07-30,12.2614
2021-07-31,12.2614
2021-08-01,12.2614
2021-08-02,11.9186
2021-08-03,12.1505
2021-08-04,12.0284
2021-08-05,12.1321
2021-08-06,12.2121
2021-08-07,12.2121
2021-08-08,12.2121
2021-08-09,11.9956
2021-08-10,12.1362
2021-08-11,12.2829
2021-08-12,12.1351
2021-08-13,12.0592
2021-08-14,12.0592
2021-08-15,12.0592
2021-08-16,11.9935
2021-08-17,11.8673
2021-08-18,11.9238
2021-08-19,11.9771
2021-08-20,12.0654
2021-08-21,12.0654
2021-08-22,12.0654
2021-08-23,12.0336
2021-08-24,12.1659
2021-08-25,12.324
2021-08-26,12.1351
2021-08-27,12.4963
2021-08-28,12.4963
2021-08-29,12.4963
2021-08-30,12.3845
2021-08-31,12.2296
2021-09-01,12.1249
2021-09-02,12.3137
2021-09-03,12.287
2021-09-04,12.287
2021-09-05,12.287
2021-09-06,12.287
2021-09-07,11.933
2021-09-08,12.0418
2021-09-09,11.8786
2021-09-10,11.7575
2021-09-11,11.7575
2021-09-12,11.7575
2021-09-13,11.9002
2021-09-14,11.6682
2021-09-15,11.8745
2021-09-16,11.7627
2021-09-17,11.6108
2021-09-18,11.6108
2021-09-19,11.6108
2021-09-20,11.4209
2021-09-21,11.2239
2021-09-22,11.3696
2021-09-23,11.9145
2021-09-24,11.9155
2021-09-25,11.9155
2021-09-26,11.9155
2021-09-27,12.1341
2021-09-28,11.854
2021-09-29,11.9125
2021-09-30,11.6121
2021-10-01,11.8925
2021-10-02,11.8925
2021-10-03,11.8925
2021-10-04,12.0603
2021-10-05,11.9897
2021-10-06,11.9027
2021-10-07,11.9835
2021-10-08,11.9017
2021-10-09,11.9017
2021-10-10,11.9017
2021-10-11,11.7411
2021-10-12,11.6306
2021-10-13,11.693
2021-10-14,11.9457
2021-10-15,11.6991
2021-10-16,11.6991
2021-10-17,11.6991
2021-10-18,11.8587
2021-10-19,11.8485
2021-10-20,11.9989
2021-10-21,12.1534
2021-10-22,12.2004
2021-10-23,12.2004
2021-10-24,12.2004
2021-10-25,12.225
2021-10-26,12.0981
2021-10-27,11.7288
2021-10-28,12.4502
2021-10-29,12.1495
2021-10-30,12.1495
2021-10-31,12.1495
2021-11-01,12.3161
2021-11-02,12.2745
2021-11-03,12.31
2021-11-04,12.692
2021-11-05,13.2426
2021-11-06,13.2426
2021-11-07,13.2426
2021-11-08,13.0333
2021-11-09,13.1685
2021-11-10,13.075
2021-11-11,13.01
2021-11-12,13.0222
2021-11-13,13.0222
2021-11-14,13.0222
2021-11-15,12.9175
2021-11-16,13.0059
2021-11-17,12.8678
2021-11-18,12.8779
2021-11-19,12.9561
2021-11-20,12.9561
2021-11-21,12.9561
2021-11-22,13.0791
2021-11-23,13.1238
2021-11-24,12.8739
2021-11-25,12.8739
2021-11-26,12.2643
2021-11-27,12.2643
2021-11-28,12.2643
2021-11-29,12.1973
2021-11-30,11.9311
2021-12-01,11.9484
2021-12-02,12.435
2021-12-03,12.3862
2021-12-04,12.3862
2021-12-05,12.3862
2021-12-06,12.5244
2021-12-07,12.6839
2021-12-08,12.9033
2021-12-09,12.626
2021-12-10,12.6168
2021-12-11,12.6168
2021-12-12,12.6168
2021-12-13,12.502
2021-12-14,12.2887
2021-12-15,12.3578
2021-12-16,12.3608
2021-12-17,12.1506
2021-12-18,12.1506
2021-12-19,12.1506
2021-12-20,11.8265
2021-12-21,12.2542
2021-12-22,12.4513
2021-12-23,12.562
2021-12-24,12.562
2021-12-25,12.562
2021-12-26,12.562
2021-12-27,12.821
2021-12-28,12.7763
2021-12-29,12.82
2021-12-30,12.752
2021-12-31,12.2816
2022-01-01,12.2816
2022-01-02,12.2816
2022-01-03,12.2785
2022-01-04,12.545
2022-01-05,12.2524
2022-01-06,12.3288
2022-01-07,12.0986
2022-01-08,12.0986
2022-01-09,12.0986
2022-01-10,11.9246
2022-01-11,12.0071
2022-01-12,11.8502
2022-01-13,12.0262
2022-01-14,12.006
2022-01-15,12.006
2022-01-16,12.006
2022-01-17,12.006
2022-01-18,11.6018
2022-01-19,11.462
2022-01-20,11.3353
2022-01-21,11.2348
2022-01-22,11.2348
2022-01-23,11.2348
2022-01-24,11.6471
2022-01-25,11.2308
2022-01-26,11.1714
2022-01-27,11.1161
2022-01-28,11.3253
2022-01-29,11.3253
2022-01-30,11.3253
2022-01-31,11.459
2022-02-01,11.3193
2022-02-02,11.2448
2022-02-03,11.1
2022-02-04,11.1674
2022-02-05,11.1674
2022-02-06,11.1674
2022-02-07,11.0337
2022-02-08,11.1765
2022-02-09,11.2579
2022-02-10,11.0719
2022-02-11,11.0498
2022-02-12,11.0498
2022-02-13,11.0498
2022-02-14,11.0689
2022-02-15,11.3253
2022-02-16,11.2841
2022-02-17,11.0287
2022-02-18,11.088
2022-02-19,11.088
2022-02-20,11.088
2022-02-21,11.088
2022-02-22,10.9965
2022-02-23,11.0106
2022-02-24,10.5905
2022-02-25,11.0757
2022-02-26,11.0757
2022-02-27,11.0757
2022-02-28,10.9358
2022-03-01,10.5092
2022-03-02,11.0033
2022-03-03,10.8525
2022-03-04,10.8733
2022-03-05,10.8733
2022-03-06,10.8733
2022-03-07,10.6054
2022-03-08,10.6213
2022-03-09,11.0102
2022-03-10,11.1095
2022-03-11,11.0489
2022-03-12,11.0489
2022-03-13,11.0489
2022-03-14,10.9487
2022-03-15,11.1422
2022-03-16,11.2097
2022-03-17,11.1501
2022-03-18,11.3406
2022-03-19,11.3406
2022-03-20,11.3406
2022-03-21,11.2742
2022-03-22,11.1313
2022-03-23,10.7483
2022-03-24,10.8455
2022-03-25,10.9338
2022-03-26,10.9338
2022-03-27,10.9338
2022-03-28,10.793
2022-03-29,10.9368
2022-03-30,10.8525
2022-03-31,11.6085
2022-04-01,11.7346
2022-04-02,11.7346
2022-04-03,11.7346
2022-04-04,11.5091
2022-04-05,11.5286
2022-04-06,11.6464
2022-04-07,11.8002
2022-04-08,11.6854
2022-04-09,11.6854
2022-04-10,11.6854
2022-04-11,11.6341
2022-04-12,11.7561
2022-04-13,12.0093
2022-04-14,12.0411
2022-04-15,12.0411
2022-04-16,12.0411
2022-04-17,12.0411
2022-04-18,12.0145
2022-04-19,11.9632
2022-04-20,12.1775
2022-04-21,11.8166
2022-04-22,11.5483
2022-04-23,11.5483
2022-04-24,11.5483
2022-04-25,11.5674
2022-04-26,11.3435
2022-04-27,11.3566
2022-04-28,10.5537
2022-04-29,10.6622
2022-04-30,10.6622
2022-05-01,10.6622
2022-05-02,10.5855
2022-05-03,10.6851
2022-05-04,10.9787
2022-05-05,10.6592
2022-05-06,10.6174
2022-05-07,10.6174
2022-05-08,10.6174
2022-05-09,10.3675
2022-05-10,10.268
2022-05-11,10.1336
2022-05-12,10.1535
2022-05-13,10.247
2022-05-14,10.247
2022-05-15,10.247
2022-05-16,10.2192
2022-05-17,10.4013
2022-05-18,10.2401
2022-05-19,10.2341
2022-05-20,10.268
2022-05-21,10.268
2022-05-22,10.268
2022-05-23,10.262
2022-05-24,10.3108
2022-05-25,10.4611
2022-05-26,10.6074
2022-05-27,10.7836
2022-05-28,10.7836
2022-05-29,10.7836
2022-05-30,10.7836
2022-05-31,10.5775
2022-06-01,10.473
2022-06-02,10.7766
2022-06-03,10.707
2022-06-04,10.707
2022-06-05,10.707
2022-06-06,10.8772
2022-06-07,10.9309
2022-06-08,10.7657
2022-06-09,10.687
2022-06-10,10.479
2022-06-11,10.479
2022-06-12,10.479
2022-06-13,10.1316
2022-06-14,10.0738
2022-06-15,10.3038
2022-06-16,9.6587
2022-06-17,9.6448
2022-06-18,9.6448
2022-06-19,9.6448
2022-06-20,9.6448
2022-06-21,9.9663
2022-06-22,9.9524
2022-06-23,10.028
2022-06-24,10.5775
2022-06-25,10.5775
2022-06-26,10.5775
2022-06-27,10.5706
2022-06-28,10.3824
2022-06-29,10.2122
2022-06-30,10.7225
2022-07-01,10.7284
2022-07-02,10.7284
2022-07-03,10.7284
2022-07-04,10.7284
2022-07-05,10.7314
2022-07-06,10.6159
2022-07-07,10.7906
2022-07-08,10.6929
2022-07-09,10.6929
2022-07-10,10.6929
2022-07-11,10.6337
2022-07-12,10.531
2022-07-13,10.4816
2022-07-14,10.4816
2022-07-15,10.6445
2022-07-16,10.6445
2022-07-17,10.6445
2022-07-18,10.5764
2022-07-19,10.9042
2022-07-20,10.9812
2022-07-21,11.1026
2022-07-22,11.073
2022-07-23,11.073
2022-07-24,11.073
2022-07-25,11.0522
2022-07-26,11.0503
2022-07-27,11.3099
2022-07-28,11.4853
2022-07-29,11.6435
2022-07-30,11.6435
2022-07-31,11.6435
2022-08-01,11.7082
2022-08-02,11.5463
2022-08-03,11.613
2022-08-04,11.4587
2022-08-05,11.4558
2022-08-06,11.4558
2022-08-07,11.4558
2022-08-08,11.4977
2022-08-09,11.5177
2022-08-10,11.7444
2022-08-11,11.8264
2022-08-12,12.1083
2022-08-13,12.1083
2022-08-14,12.1083
2022-08-15,12.1217
2022-08-16,12.2179
2022-08-17,12.1988
2022-08-18,12.3436
2022-08-19,12.1417
2022-08-20,12.1417
2022-08-21,12.1417
2022-08-22,11.9807
2022-08-23,11.9826
2022-08-24,12.1569
2022-08-25,12.3712
2022-08-26,12.0578
2022-08-27,12.0578
2022-08-28,12.0578
2022-08-29,12.0559
2022-08-30,11.8549
2022-08-31,11.8864
2022-09-01,11.7263
2022-09-02,11.6435
2022-09-03,11.6435
2022-09-04,11.6435
2022-09-05,11.6435
2022-09-06,11.6073
2022-09-07,11.8416
2022-09-08,12.0283
2022-09-09,12.1864
2022-09-10,12.1864
2022-09-11,12.1864
2022-09-12,12.2207
2022-09-13,11.7797
2022-09-14,11.8492
2022-09-15,11.8587
2022-09-16,11.8035
2022-09-17,11.8035
2022-09-18,11.8035
2022-09-19,11.9578
2022-09-20,11.8911
2022-09-21,11.8721
2022-09-22,11.7644
2022-09-23,11.5282
2022-09-24,11.5282
2022-09-25,11.5282
2022-09-26,11.5034
2022-09-27,11.4034
2022-09-28,11.7359
2022-09-29,11.6044
2022-09-30,11.3217
2022-10-01,11.3217
2022-10-02,11.3217
2022-10-03,11.6137
2022-10-04,11.9521
2022-10-05,11.8777
2022-10-06,11.9084
2022-10-07,11.768
2022-10-08,11.768
2022-10-09,11.768
2022-10-10,11.9224
2022-10-11,12.0181
2022-10-12,11.8722
2022-10-13,12.086
2022-10-14,11.9233
2022-10-15,11.9233
2022-10-16,11.9233
2022-10-17,12.4329
2022-10-18,12.484
2022-10-19,12.471
2022-10-20,12.1902
2022-10-21,12.3631
2022-10-22,12.3631
2022-10-23,12.3631
2022-10-24,12.4942
2022-10-25,12.6821
2022-10-26,12.59
2022-10-27,12.6558
2022-10-28,13.1578
2022-10-29,13.1578
2022-10-30,13.1578
2022-10-31,13.2538
2022-11-01,13.5448
2022-11-02,13.1856
2022-11-03,13.3652
2022-11-04,13.5457
2022-11-05,13.5457
2022-11-06,13.5457
2022-11-07,13.6669
2022-11-08,13.6849
2022-11-09,13.7378
2022-11-10,14.238
2022-11-11,14.124
2022-11-12,14.124
2022-11-13,14.124
2022-11-14,14.0099
2022-11-15,14.3071
2022-11-16,14.4463
2022-11-17,14.308
2022-11-18,14.5316
2022-11-19,14.5316
2022-11-20,14.5316
2022-11-21,14.4804
2022-11-22,14.4831
2022-11-23,14.3754
2022-11-24,14.3754
2022-11-25,14.5379
2022-11-26,14.5379
2022-11-27,14.5379
2022-11-28,14.3053
2022-11-29,14.2434
2022-11-30,14.493
2022-12-01,14.4131
2022-12-02,14.4023
2022-12-03,14.4023
2022-12-04,14.4023
2022-12-05,13.9731
2022-12-06,13.9614
2022-12-07,13.9929
2022-12-08,14.1275
2022-12-09,13.9237
2022-12-10,13.9237
2022-12-11,13.9237
2022-12-12,14.0018
2022-12-13,14.0728
2022-12-14,13.8339
2022-12-15,13.6696
2022-12-16,13.8887
2022-12-17,13.8887
2022-12-18,13.8887
2022-12-19,13.7747
2022-12-20,13.7504
2022-12-21,13.9938
2022-12-22,13.9704
2022-12-23,14.0395
2022-12-24,14.0395
2022-12-25,14.0395
2022-12-26,14.0395
2022-12-27,14.0602
2022-12-28,13.8375
2022-12-29,13.974
2022-12-30,12.6358
2022-12-31,12.6358
2023-01-01,12.6358
2023-01-02,12.6358
2023-01-03,12.6526
2023-01-04,12.4105
2023-01-05,12.1541
2023-01-06,12.5961
2023-01-07,12.5961
2023-01-08,12.5961
2023-01-09,12.3768
2023-01-10,12.5463
2023-01-11,12.6088
2023-01-12,12.9513
2023-01-13,13.0222
2023-01-14,13.0222
2023-01-15,13.0222
2023-01-16,13.0222
2023-01-17,12.6602
2023-01-18,12.5615
2023-01-19,12.2916
2023-01-20,12.4004
2023-01-21,12.4004
2023-01-22,12.4004
2023-01-23,12.3211
2023-01-24,12.5042
2023-01-25,12.4763
2023-01-26,12.4873
2023-01-27,12.5067
2023-01-28,12.5067
2023-01-29,12.5067
2023-01-30,12.4114
2023-01-31,12.6476
2023-02-01,12.7176
2023-02-02,12.7598
2023-02-03,12.6805
2023-02-04,12.6805
2023-02-05,12.6805
2023-02-06,12.5767
2023-02-07,12.6375
2023-02-08,12.5936
2023-02-09,12.3861
2023-02-10,12.4468
2023-02-11,12.4468
2023-02-12,12.4468
2023-02-13,12.5641
2023-02-14,12.543
2023-02-15,12.6805
2023-02-16,12.6906
2023-02-17,12.8956
2023-02-18,12.8956
2023-02-19,12.8956
2023-02-20,12.8956
2023-02-21,12.4983
2023-02-22,12.5033
2023-02-23,13.8271
2023-02-24,14.1141
2023-02-25,14.1141
2023-02-26,14.1141
2023-02-27,14.158
2023-02-28,14.2576
2023-03-01,14.2382
2023-03-02,14.2272
2023-03-03,14.4037
2023-03-04,14.4037
2023-03-05,14.4037
2023-03-06,14.196
2023-03-07,14.1386
2023-03-08,14.3209
2023-03-09,14.0609
2023-03-10,13.5206
2023-03-11,13.5206
2023-03-12,13.5206
2023-03-13,13.2834
2023-03-14,13.5122
2023-03-15,13.3028
2023-03-16,13.6937
2023-03-17,13.6819
2023-03-18,13.6819
2023-03-19,13.6819
2023-03-20,13.7874
