,EBIXQ US Equity
2020-10-13,9.9206
2020-10-14,9.8904
2020-10-15,9.909
2020-10-16,9.8233
2020-10-17,9.8233
2020-10-18,9.8233
2020-10-19,9.4365
2020-10-20,9.4226
2020-10-21,9.462
2020-10-22,9.6357
2020-10-23,9.6241
2020-10-24,9.6241
2020-10-25,9.6241
2020-10-26,9.5685
2020-10-27,9.4481
2020-10-28,9.2141
2020-10-29,9.2443
2020-10-30,9.1701
2020-10-31,9.1701
2020-11-01,9.1701
2020-11-02,9.3878
2020-11-03,9.5986
2020-11-04,9.3786
2020-11-05,9.5106
2020-11-06,9.4851
2020-11-07,9.4851
2020-11-08,9.4851
2020-11-09,11.1047
2020-11-10,11.4341
2020-11-11,11.506
2020-11-12,11.2508
2020-11-13,11.4086
2020-11-14,11.4086
2020-11-15,11.4086
2020-11-16,12.2507
2020-11-17,12.2043
2020-11-18,12.5476
2020-11-19,12.0721
2020-11-20,12.2994
2020-11-21,12.2994
2020-11-22,12.2994
2020-11-23,12.8608
2020-11-24,13.3248
2020-11-25,13.0673
2020-11-26,13.0673
2020-11-27,13.2088
2020-11-28,13.2088
2020-11-29,13.2088
2020-11-30,12.877
2020-12-01,12.7518
2020-12-02,12.9118
2020-12-03,12.8933
2020-12-04,13.065
2020-12-05,13.065
2020-12-06,13.065
2020-12-07,12.9397
2020-12-08,13.2041
2020-12-09,13.1554
2020-12-10,13.4524
2020-12-11,13.4013
2020-12-12,13.4013
2020-12-13,13.4013
2020-12-14,13.0905
2020-12-15,13.2366
2020-12-16,13.2482
2020-12-17,13.2691
2020-12-18,13.3596
2020-12-19,13.3596
2020-12-20,13.3596
2020-12-21,13.2761
2020-12-22,13.4129
2020-12-23,13.5637
2020-12-24,13.5939
2020-12-25,13.5939
2020-12-26,13.5939
2020-12-27,13.5939
2020-12-28,13.7609
2020-12-29,13.4036
2020-12-30,13.6101
2020-12-31,14.4502
2021-01-01,14.4502
2021-01-02,14.4502
2021-01-03,14.4502
2021-01-04,14.3542
2021-01-05,14.5068
2021-01-06,15.0261
2021-01-07,15.031
2021-01-08,14.7086
2021-01-09,14.7086
2021-01-10,14.7086
2021-01-11,14.529
2021-01-12,14.7234
2021-01-13,14.8218
2021-01-14,15.7645
2021-01-15,15.5651
2021-01-16,15.5651
2021-01-17,15.5651
2021-01-18,15.5651
2021-01-19,15.6119
2021-01-20,15.9122
2021-01-21,16.1878
2021-01-22,16.3355
2021-01-23,16.3355
2021-01-24,16.3355
2021-01-25,16.4659
2021-01-26,16.9533
2021-01-27,19.5351
2021-01-28,18.0731
2021-01-29,17.9205
2021-01-30,17.9205
2021-01-31,17.9205
2021-02-01,18.2848
2021-02-02,15.415
2021-02-03,16.6727
2021-02-04,16.5865
2021-02-05,16.8843
2021-02-06,16.8843
2021-02-07,16.8843
2021-02-08,18.0091
2021-02-09,18.5973
2021-02-10,18.3463
2021-02-11,17.923
2021-02-12,17.7802
2021-02-13,17.7802
2021-02-14,17.7802
2021-02-15,17.7802
2021-02-16,17.6941
2021-02-17,17.9624
2021-02-18,17.5932
2021-02-19,17.5932
2021-02-20,17.5932
2021-02-21,17.5932
2021-02-22,12.6117
2021-02-23,10.815
2021-02-24,11.2949
2021-02-25,10.9479
2021-02-26,11.1054
2021-02-27,11.1054
2021-02-28,11.1054
2021-03-01,11.4451
2021-03-02,11.194
2021-03-03,11.103
2021-03-04,11.098
2021-03-05,11.2211
2021-03-06,11.2211
2021-03-07,11.2211
2021-03-08,11.9053
2021-03-09,12.176
2021-03-10,12.464
2021-03-11,12.7175
2021-03-12,13.2688
2021-03-13,13.2688
2021-03-14,13.2688
2021-03-15,13.3599
2021-03-16,12.9612
2021-03-17,12.9341
2021-03-18,13.0522
2021-03-19,13.195
2021-03-20,13.195
2021-03-21,13.195
2021-03-22,13.3033
2021-03-23,12.843
2021-03-24,12.2326
2021-03-25,12.7864
2021-03-26,12.784
2021-03-27,12.784
2021-03-28,12.784
2021-03-29,12.5132
2021-03-30,12.848
2021-03-31,13.2878
2021-04-01,13.2626
2021-04-02,13.2626
2021-04-03,13.2626
2021-04-04,13.2626
2021-04-05,13.1465
2021-04-06,13.255
2021-04-07,12.9017
2021-04-08,13.043
2021-04-09,12.9774
2021-04-10,12.9774
2021-04-11,12.9774
2021-04-12,12.7881
2021-04-13,12.7149
2021-04-14,12.7502
2021-04-15,12.6771
2021-04-16,12.5357
2021-04-17,12.5357
2021-04-18,12.5357
2021-04-19,12.4751
2021-04-20,12.3893
2021-04-21,12.7957
2021-04-22,12.8462
2021-04-23,13.1263
2021-04-24,13.1263
2021-04-25,13.1263
2021-04-26,13.462
2021-04-27,13.6437
2021-04-28,13.3306
2021-04-29,13.4164
2021-04-30,12.7984
2021-05-01,12.7984
2021-05-02,12.7984
2021-05-03,12.9018
2021-05-04,12.8842
2021-05-05,12.8968
2021-05-06,12.8085
2021-05-07,12.8791
2021-05-08,12.8791
2021-05-09,12.8791
2021-05-10,12.6067
2021-05-11,12.2813
2021-05-12,11.961
2021-05-13,12.0922
2021-05-14,12.3999
2021-05-15,12.3999
2021-05-16,12.3999
2021-05-17,12.288
2021-05-18,12.1089
2021-05-19,12.0484
2021-05-20,12.0938
2021-05-21,12.1745
2021-05-22,12.1745
2021-05-23,12.1745
2021-05-24,12.1972
2021-05-25,11.7962
2021-05-26,11.9551
2021-05-27,12.23
2021-05-28,12.114
2021-05-29,12.114
2021-05-30,12.114
2021-05-31,12.114
2021-06-01,12.2653
2021-06-02,12.4898
2021-06-03,12.4797
2021-06-04,12.6184
2021-06-05,12.6184
2021-06-06,12.6184
2021-06-07,12.8807
2021-06-08,13.6701
2021-06-09,13.9752
2021-06-10,13.887
2021-06-11,14.4695
2021-06-12,14.4695
2021-06-13,14.4695
2021-06-14,14.1896
2021-06-15,13.9954
2021-06-16,14.0988
2021-06-17,14.1972
2021-06-18,13.5288
2021-06-19,13.5288
2021-06-20,13.5288
2021-06-21,13.8163
2021-06-22,13.7432
2021-06-23,14.0938
2021-06-24,14.4897
2021-06-25,14.2426
2021-06-26,14.2426
2021-06-27,14.2426
2021-06-28,14.0736
2021-06-29,13.9096
2021-06-30,14.242
2021-07-01,14.1293
2021-07-02,13.849
2021-07-03,13.849
2021-07-04,13.849
2021-07-05,13.849
2021-07-06,13.7285
2021-07-07,13.6342
2021-07-08,13.5084
2021-07-09,13.9695
2021-07-10,13.9695
2021-07-11,13.9695
2021-07-12,13.9119
2021-07-13,13.6866
2021-07-14,13.5241
2021-07-15,13.2857
2021-07-16,13.0106
2021-07-17,13.0106
2021-07-18,13.0106
2021-07-19,12.9032
2021-07-20,13.2071
2021-07-21,13.422
2021-07-22,13.1966
2021-07-23,13.0787
2021-07-24,13.0787
2021-07-25,13.0787
2021-07-26,13.3329
2021-07-27,13.1207
2021-07-28,13.3565
2021-07-29,13.3958
2021-07-30,13.2779
2021-07-31,13.2779
2021-08-01,13.2779
2021-08-02,13.2621
2021-08-03,13.3172
2021-08-04,13.1495
2021-08-05,13.249
2021-08-06,13.3014
2021-08-07,13.3014
2021-08-08,13.3014
2021-08-09,13.3838
2021-08-10,13.4782
2021-08-11,13.5411
2021-08-12,13.3681
2021-08-13,13.0982
2021-08-14,13.0982
2021-08-15,13.0982
2021-08-16,12.962
2021-08-17,12.8414
2021-08-18,12.7628
2021-08-19,12.5401
2021-08-20,12.658
2021-08-21,12.658
2021-08-22,12.658
2021-08-23,12.9436
2021-08-24,13.0065
2021-08-25,12.9541
2021-08-26,12.658
2021-08-27,12.886
2021-08-28,12.886
2021-08-29,12.886
2021-08-30,12.7864
2021-08-31,12.9017
2021-09-01,12.9515
2021-09-02,12.9803
2021-09-03,12.8519
2021-09-04,12.8519
2021-09-05,12.8519
2021-09-06,12.8519
2021-09-07,12.6004
2021-09-08,12.6344
2021-09-09,12.5401
2021-09-10,12.3803
2021-09-11,12.3803
2021-09-12,12.3803
2021-09-13,12.5322
2021-09-14,12.5873
2021-09-15,12.6423
2021-09-16,12.5086
2021-09-17,12.6344
2021-09-18,12.6344
2021-09-19,12.6344
2021-09-20,12.4248
2021-09-21,12.3567
2021-09-22,12.4982
2021-09-23,12.6921
2021-09-24,12.6632
2021-09-25,12.6632
2021-09-26,12.6632
2021-09-27,12.9751
2021-09-28,12.6187
2021-09-29,12.4038
2021-09-30,12.7324
2021-10-01,13.022
2021-10-02,13.022
2021-10-03,13.022
2021-10-04,12.7649
2021-10-05,12.773
2021-10-06,12.9705
2021-10-07,13.0653
2021-10-08,13.0842
2021-10-09,13.0842
2021-10-10,13.0842
2021-10-11,12.9137
2021-10-12,12.9489
2021-10-13,13.0599
2021-10-14,13.4713
2021-10-15,13.6688
2021-10-16,13.6688
2021-10-17,13.6688
2021-10-18,13.5281
2021-10-19,13.8042
2021-10-20,13.7771
2021-10-21,13.9693
2021-10-22,13.907
2021-10-23,13.907
2021-10-24,13.907
2021-10-25,14.0478
2021-10-26,14.0396
2021-10-27,13.7825
2021-10-28,14.0965
2021-10-29,14.3238
2021-10-30,14.3238
2021-10-31,14.3238
2021-11-01,14.9301
2021-11-02,15.0979
2021-11-03,15.7719
2021-11-04,15.8152
2021-11-05,15.9532
2021-11-06,15.9532
2021-11-07,15.9532
2021-11-08,15.8666
2021-11-09,14.9301
2021-11-10,15.0032
2021-11-11,15.3199
2021-11-12,15.2711
2021-11-13,15.2711
2021-11-14,15.2711
2021-11-15,15.2793
2021-11-16,15.282
2021-11-17,15.1899
2021-11-18,15.0573
2021-11-19,14.8246
2021-11-20,14.8246
2021-11-21,14.8246
2021-11-22,14.8597
2021-11-23,14.9003
2021-11-24,14.9951
2021-11-25,14.9951
2021-11-26,14.0031
2021-11-27,14.0031
2021-11-28,14.0031
2021-11-29,14.0288
2021-11-30,13.7149
2021-12-01,13.6716
2021-12-02,14.0478
2021-12-03,13.6445
2021-12-04,13.6445
2021-12-05,13.6445
2021-12-06,14.0478
2021-12-07,14.3482
2021-12-08,14.1533
2021-12-09,13.8123
2021-12-10,13.7392
2021-12-11,13.7392
2021-12-12,13.7392
2021-12-13,13.5173
2021-12-14,13.2764
2021-12-15,13.5308
2021-12-16,13.409
2021-12-17,13.6553
2021-12-18,13.6553
2021-12-19,13.6553
2021-12-20,13.2304
2021-12-21,13.5931
2021-12-22,13.6445
2021-12-23,13.7879
2021-12-24,13.7879
2021-12-25,13.7879
2021-12-26,13.7879
2021-12-27,13.8285
2021-12-28,13.7338
2021-12-29,13.815
2021-12-30,13.6824
2021-12-31,12.8638
2022-01-01,12.8638
2022-01-02,12.8638
2022-01-03,13.1379
2022-01-04,13.1223
2022-01-05,12.7707
2022-01-06,13.006
2022-01-07,12.8276
2022-01-08,12.8276
2022-01-09,12.8276
2022-01-10,12.8379
2022-01-11,13.0344
2022-01-12,14.2601
2022-01-13,12.9284
2022-01-14,13.2723
2022-01-15,13.2723
2022-01-16,13.2723
2022-01-17,13.2723
2022-01-18,13.1482
2022-01-19,12.9491
2022-01-20,12.7862
2022-01-21,12.6931
2022-01-22,12.6931
2022-01-23,12.6931
2022-01-24,12.8146
2022-01-25,12.7603
2022-01-26,12.6388
2022-01-27,12.3388
2022-01-28,12.5043
2022-01-29,12.5043
2022-01-30,12.5043
2022-01-31,12.8612
2022-02-01,12.7629
2022-02-02,12.5483
2022-02-03,12.1087
2022-02-04,12.1915
2022-02-05,12.1915
2022-02-06,12.1915
2022-02-07,11.9613
2022-02-08,12.1165
2022-02-09,12.6802
2022-02-10,12.3595
2022-02-11,12.4164
2022-02-12,12.4164
2022-02-13,12.4164
2022-02-14,13.2594
2022-02-15,13.7791
2022-02-16,13.6033
2022-02-17,13.1741
2022-02-18,12.8017
2022-02-19,12.8017
2022-02-20,12.8017
2022-02-21,12.8017
2022-02-22,13.0344
2022-02-23,12.9336
2022-02-24,12.8043
2022-02-25,12.6698
2022-02-26,12.6698
2022-02-27,12.6698
2022-02-28,12.6336
2022-03-01,11.7932
2022-03-02,12.057
2022-03-03,11.8475
2022-03-04,11.3847
2022-03-05,11.3847
2022-03-06,11.3847
2022-03-07,11.3485
2022-03-08,11.5631
2022-03-09,13.2491
2022-03-10,15.8239
2022-03-11,15.075
2022-03-12,15.075
2022-03-13,15.075
2022-03-14,13.3756
2022-03-15,13.2878
2022-03-16,13.8767
2022-03-17,14.1194
2022-03-18,14.122
2022-03-19,14.122
2022-03-20,14.122
2022-03-21,14.0084
2022-03-22,14.3467
2022-03-23,14.2873
2022-03-24,14.1762
2022-03-25,14.0239
2022-03-26,14.0239
2022-03-27,14.0239
2022-03-28,13.9903
2022-03-29,14.7108
2022-03-30,14.1866
2022-03-31,13.7782
2022-04-01,13.7391
2022-04-02,13.7391
2022-04-03,13.7391
2022-04-04,14.2187
2022-04-05,13.8929
2022-04-06,13.5592
2022-04-07,13.7912
2022-04-08,13.5227
2022-04-09,13.5227
2022-04-10,13.5227
2022-04-11,13.5488
2022-04-12,13.4836
2022-04-13,13.773
2022-04-14,13.5071
2022-04-15,13.5071
2022-04-16,13.5071
2022-04-17,13.5071
2022-04-18,13.541
2022-04-19,13.7339
2022-04-20,13.5358
2022-04-21,13.3455
2022-04-22,12.9388
2022-04-23,12.9388
2022-04-24,12.9388
2022-04-25,12.9962
2022-04-26,12.832
2022-04-27,12.8684
2022-04-28,13.0613
2022-04-29,12.9049
2022-04-30,12.9049
2022-05-01,12.9049
2022-05-02,13.0509
2022-05-03,13.0718
2022-05-04,13.2412
2022-05-05,12.9519
2022-05-06,12.8215
2022-05-07,12.8215
2022-05-08,12.8215
2022-05-09,12.4566
2022-05-10,12.3732
2022-05-11,12.4253
2022-05-12,12.2428
2022-05-13,12.9675
2022-05-14,12.9675
2022-05-15,12.9675
2022-05-16,13.0666
2022-05-17,13.6009
2022-05-18,13.1839
2022-05-19,12.8372
2022-05-20,12.7929
2022-05-21,12.7929
2022-05-22,12.7929
2022-05-23,12.9519
2022-05-24,12.3445
2022-05-25,12.6886
2022-05-26,12.7381
2022-05-27,13.0118
2022-05-28,13.0118
2022-05-29,13.0118
2022-05-30,13.0118
2022-05-31,12.7355
2022-06-01,12.918
2022-06-02,13.3794
2022-06-03,13.236
2022-06-04,13.236
2022-06-05,13.236
2022-06-06,13.2282
2022-06-07,13.4602
2022-06-08,12.9049
2022-06-09,12.7016
2022-06-10,11.844
2022-06-11,11.844
2022-06-12,11.844
2022-06-13,11.1767
2022-06-14,11.1376
2022-06-15,11.2367
2022-06-16,8.9402
2022-06-17,9.4719
2022-06-18,9.4719
2022-06-19,9.4719
2022-06-20,9.4719
2022-06-21,9.2191
2022-06-22,9.4433
2022-06-23,9.4146
2022-06-24,9.8629
2022-06-25,9.8629
2022-06-26,9.8629
2022-06-27,9.9177
2022-06-28,9.7065
2022-06-29,9.5606
2022-06-30,9.2979
2022-07-01,9.275
2022-07-02,9.275
2022-07-03,9.275
2022-07-04,9.275
2022-07-05,9.5016
2022-07-06,9.4175
2022-07-07,9.6696
2022-07-08,9.7536
2022-07-09,9.7536
2022-07-10,9.7536
2022-07-11,9.5678
2022-07-12,9.6874
2022-07-13,9.7332
2022-07-14,9.6925
2022-07-15,9.8198
2022-07-16,9.8198
2022-07-17,9.8198
2022-07-18,9.8758
2022-07-19,10.049
2022-07-20,10.3188
2022-07-21,10.5531
2022-07-22,10.632
2022-07-23,10.632
2022-07-24,10.632
2022-07-25,10.4054
2022-07-26,10.4258
2022-07-27,10.632
2022-07-28,10.8382
2022-07-29,11.019
2022-07-30,11.019
2022-07-31,11.019
2022-08-01,10.7848
2022-08-02,10.7186
2022-08-03,11.2532
2022-08-04,11.0852
2022-08-05,11.1412
2022-08-06,11.1412
2022-08-07,11.1412
2022-08-08,11.2736
2022-08-09,10.3216
2022-08-10,11.0192
2022-08-11,11.2942
2022-08-12,11.0778
2022-08-13,11.0778
2022-08-14,11.0778
2022-08-15,11.2459
2022-08-16,11.2102
2022-08-17,11.0473
2022-08-18,11.2942
2022-08-19,11.1084
2022-08-20,11.1084
2022-08-21,11.1084
2022-08-22,10.9607
2022-08-23,10.9632
2022-08-24,11.0956
2022-08-25,11.419
2022-08-26,11.144
2022-08-27,11.144
2022-08-28,11.144
2022-08-29,11.2713
2022-08-30,11.6711
2022-08-31,11.6201
2022-09-01,11.4725
2022-09-02,11.279
2022-09-03,11.279
2022-09-04,11.279
2022-09-05,11.279
2022-09-06,10.8461
2022-09-07,10.9072
2022-09-08,11.0167
2022-09-09,11.0218
2022-09-10,11.0218
2022-09-11,11.0218
2022-09-12,11.1109
2022-09-13,10.785
2022-09-14,10.8206
2022-09-15,10.976
2022-09-16,10.8945
2022-09-17,10.8945
2022-09-18,10.8945
2022-09-19,10.4311
2022-09-20,10.454
2022-09-21,10.3318
2022-09-22,10.0262
2022-09-23,10.0008
2022-09-24,10.0008
2022-09-25,10.0008
2022-09-26,9.8709
2022-09-27,9.8047
2022-09-28,9.8913
2022-09-29,9.6749
2022-09-30,9.5753
2022-10-01,9.5753
2022-10-02,9.5753
2022-10-03,9.5378
2022-10-04,9.9204
2022-10-05,9.8678
2022-10-06,9.8053
2022-10-07,9.4778
2022-10-08,9.4778
2022-10-09,9.4778
2022-10-10,9.4152
2022-10-11,9.4803
2022-10-12,9.4328
2022-10-13,9.5678
2022-10-14,9.3502
2022-10-15,9.3502
2022-10-16,9.3502
2022-10-17,9.5078
2022-10-18,9.5526
2022-10-19,9.2926
2022-10-20,9.2226
2022-10-21,9.4151
2022-10-22,9.4151
2022-10-23,9.4151
2022-10-24,9.5626
2022-10-25,9.7902
2022-10-26,9.8352
2022-10-27,9.7852
2022-10-28,9.9327
2022-10-29,9.9327
2022-10-30,9.9327
2022-10-31,9.7802
2022-11-01,9.6651
2022-11-02,9.3626
2022-11-03,9.2576
2022-11-04,9.2976
2022-11-05,9.2976
2022-11-06,9.2976
2022-11-07,8.9875
2022-11-08,9.0475
2022-11-09,8.8399
2022-11-10,10.5276
2022-11-11,10.7376
2022-11-12,10.7376
2022-11-13,10.7376
2022-11-14,10.5476
2022-11-15,11.2477
2022-11-16,9.845
2022-11-17,9.69
2022-11-18,9.4649
2022-11-19,9.4649
2022-11-20,9.4649
2022-11-21,9.4399
2022-11-22,9.6075
2022-11-23,9.6725
2022-11-24,9.6725
2022-11-25,9.6625
2022-11-26,9.6625
2022-11-27,9.6625
2022-11-28,9.2824
2022-11-29,9.3274
2022-11-30,9.58
2022-12-01,9.67
2022-12-02,9.5775
2022-12-03,9.5775
2022-12-04,9.5775
2022-12-05,9.4374
2022-12-06,9.4874
2022-12-07,9.5149
2022-12-08,9.8525
2022-12-09,9.7875
2022-12-10,9.7875
2022-12-11,9.7875
2022-12-12,10.14
2022-12-13,10.0425
2022-12-14,10.1275
2022-12-15,9.6975
2022-12-16,9.66
2022-12-17,9.66
2022-12-18,9.66
2022-12-19,9.5725
2022-12-20,9.72
2022-12-21,9.78
2022-12-22,9.715
2022-12-23,9.6675
2022-12-24,9.6675
2022-12-25,9.6675
2022-12-26,9.6675
2022-12-27,9.715
2022-12-28,9.59
2022-12-29,9.955
2022-12-30,9.8071
2022-12-31,9.8071
2023-01-01,9.8071
2023-01-02,9.8071
2023-01-03,9.672
2023-01-04,9.7536
2023-01-05,9.3302
2023-01-06,9.4194
2023-01-07,9.4194
2023-01-08,9.4194
2023-01-09,9.2664
2023-01-10,9.5011
2023-01-11,9.7
2023-01-12,9.7536
2023-01-13,9.5903
2023-01-14,9.5903
2023-01-15,9.5903
2023-01-16,9.5903
2023-01-17,9.7332
2023-01-18,9.5852
2023-01-19,9.445
2023-01-20,9.6337
2023-01-21,9.6337
2023-01-22,9.6337
2023-01-23,9.7536
2023-01-24,9.6949
2023-01-25,9.5878
2023-01-26,9.6771
2023-01-27,9.5648
2023-01-28,9.5648
2023-01-29,9.5648
2023-01-30,9.3557
2023-01-31,9.5776
2023-02-01,9.6694
2023-02-02,10.0469
2023-02-03,9.8939
2023-02-04,9.8939
2023-02-05,9.8939
2023-02-06,9.7255
2023-02-07,9.8837
2023-02-08,9.8582
2023-02-09,9.8658
2023-02-10,9.5266
2023-02-11,9.5266
2023-02-12,9.5266
2023-02-13,9.3633
2023-02-14,9.4016
2023-02-15,9.3914
2023-02-16,9.1057
2023-02-17,9.093
2023-02-18,9.093
2023-02-19,9.093
2023-02-20,9.093
2023-02-21,8.8966
2023-02-22,9.32
2023-02-23,9.2562
2023-02-24,9.0802
2023-02-25,9.0802
2023-02-26,9.0802
2023-02-27,9.1746
2023-02-28,9.1491
2023-03-01,9.0649
2023-03-02,9.1261
2023-03-03,9.2511
2023-03-04,9.2511
2023-03-05,9.2511
2023-03-06,8.9782
2023-03-07,8.8711
2023-03-08,8.9935
2023-03-09,8.996
2023-03-10,8.8379
2023-03-11,8.8379
2023-03-12,8.8379
2023-03-13,8.7716
2023-03-14,8.866
2023-03-15,8.3939
2023-03-16,8.4781
2023-03-17,8.2077
2023-03-18,8.2077
2023-03-19,8.2077
