,CORT US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-12-01,16.4704
2021-12-02,16.7144
2021-12-03,16.2265
2021-12-04,16.2265
2021-12-05,16.2265
2021-12-06,17.5242
2021-12-07,17.2315
2021-12-08,13.6115
2021-12-09,12.509
2021-12-10,14.1189
2021-12-11,14.1189
2021-12-12,14.1189
2021-12-13,14.0701
2021-12-14,14.4702
2021-12-15,14.6556
2021-12-16,13.0944
2021-12-17,14.2263
2021-12-18,14.2263
2021-12-19,14.2263
2021-12-20,16.1192
2021-12-21,15.8655
2021-12-22,15.1727
2021-12-23,15.1922
2021-12-24,15.1922
2021-12-25,15.1922
2021-12-26,15.1922
2021-12-27,14.9678
2021-12-28,14.5385
2021-12-29,14.6165
2021-12-30,14.8312
2021-12-31,15.6709
2022-01-01,15.6709
2022-01-02,15.6709
2022-01-03,16.1717
2022-01-04,16.283
2022-01-05,15.5967
2022-01-06,15.1051
2022-01-07,14.8825
2022-01-08,14.8825
2022-01-09,14.8825
2022-01-10,15.1051
2022-01-11,15.1329
2022-01-12,14.7805
2022-01-13,14.5115
2022-01-14,14.4187
2022-01-15,14.4187
2022-01-16,14.4187
2022-01-17,14.4187
2022-01-18,13.6396
2022-01-19,13.8993
2022-01-20,13.5098
2022-01-21,13.2501
2022-01-22,13.2501
2022-01-23,13.2501
2022-01-24,13.7973
2022-01-25,13.4634
2022-01-26,13.2223
2022-01-27,12.6379
2022-01-28,13.6396
2022-01-29,13.6396
2022-01-30,13.6396
2022-01-31,14.7155
2022-02-01,14.7526
2022-02-02,15.17
2022-02-03,14.9474
2022-02-04,15.3091
2022-02-05,15.3091
2022-02-06,15.3091
2022-02-07,15.5688
2022-02-08,15.8378
2022-02-09,15.708
2022-02-10,15.5225
2022-02-11,15.8471
2022-02-12,15.8471
2022-02-13,15.8471
2022-02-14,15.3833
2022-02-15,14.5955
2022-02-16,16.8088
2022-02-17,16.3236
2022-02-18,16.4939
2022-02-19,16.4939
2022-02-20,16.4939
2022-02-21,16.4939
2022-02-22,16.4768
2022-02-23,16.4343
2022-02-24,16.596
2022-02-25,16.5875
2022-02-26,16.5875
2022-02-27,16.5875
2022-02-28,16.281
2022-03-01,17.0046
2022-03-02,17.8729
2022-03-03,17.8644
2022-03-04,17.4558
2022-03-05,17.4558
2022-03-06,17.4558
2022-03-07,17.8048
2022-03-08,17.941
2022-03-09,18.7667
2022-03-10,18.0687
2022-03-11,18.0091
2022-03-12,18.0091
2022-03-13,18.0091
2022-03-14,16.8854
2022-03-15,17.7367
2022-03-16,17.941
2022-03-17,18.1964
2022-03-18,18.5624
2022-03-19,18.5624
2022-03-20,18.5624
2022-03-21,18.273
2022-03-22,17.9325
2022-03-23,17.924
2022-03-24,17.8389
2022-03-25,17.7112
2022-03-26,17.7112
2022-03-27,17.7112
2022-03-28,17.6941
2022-03-29,18.4007
2022-03-30,17.8899
2022-03-31,15.3562
2022-04-01,16.266
2022-04-02,16.266
2022-04-03,16.266
2022-04-04,16.3868
2022-04-05,16.6363
2022-04-06,16.2031
2022-04-07,16.7511
2022-04-08,16.4115
2022-04-09,16.4115
2022-04-10,16.4115
2022-04-11,15.794
2022-04-12,15.933
2022-04-13,16.7125
2022-04-14,16.1259
2022-04-15,16.1259
2022-04-16,16.1259
2022-04-17,16.1259
