,TTC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-06-24,22.6429
2020-06-25,23.1049
2020-06-26,23.0571
2020-06-27,23.0571
2020-06-28,23.0571
2020-06-29,23.433
2020-06-30,23.4458
2020-07-01,23.4012
2020-07-02,23.5987
2020-07-03,23.5987
2020-07-04,23.5987
2020-07-05,23.5987
2020-07-06,23.6433
2020-07-07,23.3024
2020-07-08,23.1654
2020-07-09,22.8596
2020-07-10,22.9074
2020-07-11,22.9074
2020-07-12,22.9074
2020-07-13,22.9551
2020-07-14,23.4617
2020-07-15,24.0862
2020-07-16,24.5163
2020-07-17,24.8413
2020-07-18,24.8413
2020-07-19,24.8413
2020-07-20,24.8827
2020-07-21,25.0515
2020-07-22,25.2459
2020-07-23,25.2491
2020-07-24,24.9591
2020-07-25,24.9591
2020-07-26,24.9591
2020-07-27,25.0292
2020-07-28,24.9305
2020-07-29,25.0101
2020-07-30,24.9432
2020-07-31,21.7423
2020-08-01,21.7423
2020-08-02,21.7423
2020-08-03,21.9434
2020-08-04,21.9207
2020-08-05,21.9094
2020-08-06,21.782
2020-08-07,22.1444
2020-08-08,22.1444
2020-08-09,22.1444
2020-08-10,22.3766
2020-08-11,22.589
2020-08-12,22.7646
2020-08-13,22.7731
2020-08-14,22.6485
2020-08-15,22.6485
2020-08-16,22.6485
2020-08-17,22.606
2020-08-18,22.3568
2020-08-19,22.3483
2020-08-20,22.303
2020-08-21,22.4474
2020-08-22,22.4474
2020-08-23,22.4474
2020-08-24,22.8722
2020-08-25,22.7476
2020-08-26,22.7589
2020-08-27,22.994
2020-08-28,22.9798
2020-08-29,22.9798
2020-08-30,22.9798
2020-08-31,22.8552
2020-09-01,23.5179
2020-09-02,23.702
2020-09-03,23.2484
2020-09-04,24.3059
2020-09-05,24.3059
2020-09-06,24.3059
2020-09-07,24.3059
2020-09-08,24.2549
2020-09-09,24.6518
2020-09-10,24.6971
2020-09-11,24.8474
2020-09-12,24.8474
2020-09-13,24.8474
2020-09-14,24.9636
2020-09-15,25.4258
2020-09-16,25.7802
2020-09-17,25.4655
2020-09-18,25.077
2020-09-19,25.077
2020-09-20,25.077
2020-09-21,24.6858
2020-09-22,25.1479
2020-09-23,24.7113
2020-09-24,24.9721
2020-09-25,25.0572
2020-09-26,25.0572
2020-09-27,25.0572
2020-09-28,25.4116
2020-09-29,25.2783
2020-09-30,25.3379
2020-10-01,25.3209
2020-10-02,25.4995
2020-10-03,25.4995
2020-10-04,25.4995
2020-10-05,25.7206
2020-10-06,25.7093
2020-10-07,26.024
2020-10-08,26.1998
2020-10-09,26.3897
2020-10-10,26.3897
2020-10-11,26.3897
2020-10-12,26.4578
2020-10-13,26.3642
2020-10-14,26.5031
2020-10-15,26.2962
2020-10-16,26.0552
2020-10-17,26.0552
2020-10-18,26.0552
2020-10-19,25.783
2020-10-20,25.8142
2020-10-21,25.4201
2020-10-22,25.4711
2020-10-23,25.5845
2020-10-24,25.5845
2020-10-25,25.5845
2020-10-26,25.1026
2020-10-27,24.9665
2020-10-28,24.751
2020-10-29,24.6376
2020-10-30,21.5839
2020-10-31,21.5839
2020-11-01,21.5839
2020-11-02,21.8406
2020-11-03,22.2458
2020-11-04,22.1224
2020-11-05,22.4672
