,ATKR US Equity
2020-04-16,7.1191
2020-04-17,7.4269
2020-04-18,7.4269
2020-04-19,7.4269
2020-04-20,7.2442
2020-04-21,7.0933
2020-04-22,7.0913
2020-04-23,7.3197
2020-04-24,7.3355
2020-04-25,7.3355
2020-04-26,7.3355
2020-04-27,7.5083
2020-04-28,7.7168
2020-04-29,7.9769
2020-04-30,7.8458
2020-05-01,7.6612
2020-05-02,7.6612
2020-05-03,7.6612
2020-05-04,7.552
2020-05-05,7.7209
2020-05-06,7.3144
2020-05-07,7.786
2020-05-08,7.713
2020-05-09,7.713
2020-05-10,7.713
2020-05-11,7.6657
2020-05-12,7.6065
2020-05-13,7.2612
2020-05-14,7.3598
2020-05-15,7.3381
2020-05-16,7.3381
2020-05-17,7.3381
2020-05-18,7.9814
2020-05-19,7.9577
2020-05-20,8.009
2020-05-21,7.9656
2020-05-22,7.9281
2020-05-23,7.9281
2020-05-24,7.9281
2020-05-25,7.9281
2020-05-26,8.2556
2020-05-27,8.6365
2020-05-28,8.453
2020-05-29,8.3089
2020-05-30,8.3089
2020-05-31,8.3089
2020-06-01,8.3484
2020-06-02,8.4549
2020-06-03,8.7371
2020-06-04,8.7253
2020-06-05,9.1653
2020-06-06,9.1653
2020-06-07,9.1653
2020-06-08,9.5303
2020-06-09,8.966
2020-06-10,8.7075
2020-06-11,8.1491
2020-06-12,8.2616
2020-06-13,8.2616
2020-06-14,8.2616
2020-06-15,8.3346
2020-06-16,8.6779
2020-06-17,8.3701
2020-06-18,8.3622
2020-06-19,8.2912
2020-06-20,8.2912
2020-06-21,8.2912
2020-06-22,8.2635
2020-06-23,8.3267
2020-06-24,8.1491
2020-06-25,8.1136
2020-06-26,8.0139
2020-06-27,8.0139
2020-06-28,8.0139
2020-06-29,8.5038
2020-06-30,8.6252
2020-07-01,8.2866
2020-07-02,8.3654
2020-07-03,8.3654
2020-07-04,8.3654
2020-07-05,8.3654
2020-07-06,8.5208
2020-07-07,8.2951
2020-07-08,8.3142
2020-07-09,8.114
2020-07-10,8.2674
2020-07-11,8.2674
2020-07-12,8.2674
2020-07-13,8.2014
2020-07-14,8.4079
2020-07-15,8.7338
2020-07-16,8.6529
2020-07-17,8.6678
2020-07-18,8.6678
2020-07-19,8.6678
2020-07-20,8.5059
2020-07-21,8.638
2020-07-22,8.6529
2020-07-23,8.6486
2020-07-24,8.5719
2020-07-25,8.5719
2020-07-26,8.5719
2020-07-27,8.6955
2020-07-28,8.4825
2020-07-29,8.7189
2020-07-30,8.4058
2020-07-31,8.4804
2020-08-01,8.4804
2020-08-02,8.4804
2020-08-03,8.7296
2020-08-04,8.9904
2020-08-05,8.9605
2020-08-06,9.0224
2020-08-07,9.3359
2020-08-08,9.3359
2020-08-09,9.3359
2020-08-10,9.5919
2020-08-11,9.69
2020-08-12,9.6409
2020-08-13,9.4447
2020-08-14,9.3636
2020-08-15,9.3636
2020-08-16,9.3636
2020-08-17,9.3956
2020-08-18,9.3146
2020-08-19,9.2271
2020-08-20,9.1205
2020-08-21,9.0458
2020-08-22,9.0458
2020-08-23,9.0458
2020-08-24,9.1226
2020-08-25,9.0373
2020-08-26,8.8901
2020-08-27,8.8602
2020-08-28,8.7643
2020-08-29,8.7643
2020-08-30,8.7643
2020-08-31,8.5019
2020-09-01,8.6981
2020-09-02,8.7664
2020-09-03,8.5168
2020-09-04,8.4912
2020-09-05,8.4912
2020-09-06,8.4912
2020-09-07,8.4912
2020-09-08,8.3568
2020-09-09,8.4294
2020-09-10,8.2544
2020-09-11,8.2779
2020-09-12,8.2779
2020-09-13,8.2779
2020-09-14,8.312
2020-09-15,8.1585
2020-09-16,8.2139
2020-09-17,8.2075
2020-09-18,8.0518
2020-09-19,8.0518
2020-09-20,8.0518
2020-09-21,7.7745
2020-09-22,7.7489
2020-09-23,7.5932
2020-09-24,7.5676
2020-09-25,7.542
2020-09-26,7.542
2020-09-27,7.542
2020-09-28,7.7596
2020-09-29,7.6615
2020-09-30,6.8185
2020-10-01,6.8737
2020-10-02,6.9093
2020-10-03,6.9093
2020-10-04,6.9093
2020-10-05,6.9704
2020-10-06,6.9882
2020-10-07,7.0178
2020-10-08,7.1144
2020-10-09,7.1716
2020-10-10,7.1716
2020-10-11,7.1716
2020-10-12,7.1953
2020-10-13,7.0138
2020-10-14,7.0355
2020-10-15,7.1026
2020-10-16,7.0296
2020-10-17,7.0296
2020-10-18,7.0296
2020-10-19,6.925
2020-10-20,6.8915
2020-10-21,6.8402
2020-10-22,6.8442
2020-10-23,7.0237
2020-10-24,7.0237
2020-10-25,7.0237
2020-10-26,6.7712
2020-10-27,6.637
2020-10-28,6.4575
2020-10-29,6.4851
2020-10-30,6.4161
2020-10-31,6.4161
2020-11-01,6.4161
2020-11-02,6.568
2020-11-03,6.6449
2020-11-04,6.5029
2020-11-05,6.7968
2020-11-06,6.8382
2020-11-07,6.8382
2020-11-08,6.8382
2020-11-09,7.3768
2020-11-10,7.4044
2020-11-11,7.3354
2020-11-12,7.3216
2020-11-13,7.6175
2020-11-14,7.6175
2020-11-15,7.6175
2020-11-16,8.0002
2020-11-17,8.2133
2020-11-18,8.4579
2020-11-19,9.0928
2020-11-20,9.0631
2020-11-21,9.0631
2020-11-22,9.0631
2020-11-23,9.6034
2020-11-24,9.9795
2020-11-25,10.3693
2020-11-26,10.3693
2020-11-27,10.2249
2020-11-28,10.2249
2020-11-29,10.2249
2020-11-30,10.0487
2020-12-01,10.3238
2020-12-02,10.3258
2020-12-03,10.3515
2020-12-04,10.399
2020-12-05,10.399
2020-12-06,10.399
2020-12-07,10.3832
2020-12-08,10.6365
2020-12-09,10.8443
2020-12-10,11.058
2020-12-11,10.9805
2020-12-12,10.9805
2020-12-13,10.9805
2020-12-14,10.913
2020-12-15,11.1532
2020-12-16,11.048
2020-12-17,10.7839
2020-12-18,10.7283
2020-12-19,10.7283
2020-12-20,10.7283
2020-12-21,10.5794
2020-12-22,10.3531
2020-12-23,10.3611
2020-12-24,7.9769
2020-12-25,7.9769
2020-12-26,7.9769
2020-12-27,7.9769
2020-12-28,7.98
2020-12-29,7.8297
2020-12-30,8.0002
2020-12-31,7.9862
2021-01-01,7.9862
2021-01-02,7.9862
2021-01-03,7.9862
2021-01-04,8.1799
2021-01-05,8.448
2021-01-06,8.9346
2021-01-07,8.7812
2021-01-08,8.7177
2021-01-09,8.7177
2021-01-10,8.7177
2021-01-11,8.7595
2021-01-12,9.0741
2021-01-13,8.9439
2021-01-14,9.209
2021-01-15,9.1671
2021-01-16,9.1671
2021-01-17,9.1671
2021-01-18,9.1671
2021-01-19,9.3159
2021-01-20,9.3236
2021-01-21,9.085
2021-01-22,9.1129
2021-01-23,9.1129
2021-01-24,9.1129
2021-01-25,8.8897
2021-01-26,8.7595
2021-01-27,8.5395
2021-01-28,8.7766
2021-01-29,8.4899
2021-01-30,8.4899
2021-01-31,8.4899
2021-02-01,8.7611
2021-02-02,9.7722
2021-02-03,9.8162
2021-02-04,9.9864
2021-02-05,10.509
2021-02-06,10.509
2021-02-07,10.509
2021-02-08,11.1273
2021-02-09,10.9982
2021-02-10,11.0438
2021-02-11,10.9921
2021-02-12,11.0711
2021-02-13,11.0711
2021-02-14,11.0711
2021-02-15,11.0711
2021-02-16,11.2276
2021-02-17,11.182
2021-02-18,10.9283
2021-02-19,11.3142
2021-02-20,11.3142
2021-02-21,11.3142
2021-02-22,11.9052
2021-02-23,11.6667
2021-02-24,11.931
2021-02-25,11.8368
2021-02-26,11.893
2021-02-27,11.893
2021-02-28,11.893
2021-03-01,12.2425
2021-03-02,12.124
2021-03-03,12.1255
2021-03-04,11.972
2021-03-05,12.1361
2021-03-06,12.1361
2021-03-07,12.1361
2021-03-08,12.6998
2021-03-09,12.3898
2021-03-10,12.8578
2021-03-11,12.8228
2021-03-12,12.8274
2021-03-13,12.8274
2021-03-14,12.8274
2021-03-15,12.9003
2021-03-16,12.5934
2021-03-17,12.7636
2021-03-18,12.5782
2021-03-19,12.5828
2021-03-20,12.5828
2021-03-21,12.5828
2021-03-22,12.4734
2021-03-23,11.7882
2021-03-24,11.7821
2021-03-25,12.0465
2021-03-26,9.3581
2021-03-27,9.3581
2021-03-28,9.3581
2021-03-29,8.9375
2021-03-30,9.191
2021-03-31,9.3252
2021-04-01,9.548
2021-04-02,9.548
2021-04-03,9.548
2021-04-04,9.548
2021-04-05,9.5548
2021-04-06,9.4025
2021-04-07,9.2797
2021-04-08,9.1205
2021-04-09,9.3138
2021-04-10,9.3138
2021-04-11,9.3138
2021-04-12,9.3968
2021-04-13,9.3343
2021-04-14,9.4343
2021-04-15,9.4263
2021-04-16,9.4388
2021-04-17,9.4388
2021-04-18,9.4388
2021-04-19,9.4491
2021-04-20,9.1501
2021-04-21,9.4866
2021-04-22,9.6492
2021-04-23,9.8174
2021-04-24,9.8174
2021-04-25,9.8174
2021-04-26,9.9356
2021-04-27,10.0459
2021-04-28,9.8913
2021-04-29,10.1259
2021-04-30,10.119
2021-05-01,10.119
2021-05-02,10.119
2021-05-03,10.7262
2021-05-04,10.7984
2021-05-05,11.0458
2021-05-06,11.0825
2021-05-07,11.3597
2021-05-08,11.3597
2021-05-09,11.3597
2021-05-10,11.1397
2021-05-11,10.8602
2021-05-12,10.3252
2021-05-13,10.5601
2021-05-14,10.5555
2021-05-15,10.5555
2021-05-16,10.5555
2021-05-17,10.5773
2021-05-18,10.2107
2021-05-19,9.8464
2021-05-20,9.6906
2021-05-21,9.9575
2021-05-22,9.9575
2021-05-23,9.9575
2021-05-24,9.9334
2021-05-25,9.7513
2021-05-26,9.9884
2021-05-27,10.0824
2021-05-28,9.9953
2021-05-29,9.9953
2021-05-30,9.9953
2021-05-31,9.9953
2021-06-01,10.2817
2021-06-02,10.0159
2021-06-03,9.9793
2021-06-04,10.0812
2021-06-05,10.0812
2021-06-06,10.0812
2021-06-07,10.0961
2021-06-08,10.2176
2021-06-09,10.0549
2021-06-10,9.7043
2021-06-11,9.6379
2021-06-12,9.6379
2021-06-13,9.6379
2021-06-14,9.5222
2021-06-15,9.5795
2021-06-16,9.6127
2021-06-17,9.2209
2021-06-18,8.8852
2021-06-19,8.8852
2021-06-20,8.8852
2021-06-21,9.1923
2021-06-22,9.2335
2021-06-23,9.3389
2021-06-24,9.5669
2021-06-25,6.1227
2021-06-26,6.1227
2021-06-27,6.1227
2021-06-28,6.0481
2021-06-29,6.0261
2021-06-30,6.0504
2021-07-01,6.1197
2021-07-02,5.9713
2021-07-03,5.9713
2021-07-04,5.9713
2021-07-05,5.9713
2021-07-06,5.8259
2021-07-07,5.9233
2021-07-08,5.8167
2021-07-09,5.9507
2021-07-10,5.9507
2021-07-11,5.9507
2021-07-12,5.9416
2021-07-13,5.8746
2021-07-14,5.8852
2021-07-15,5.8967
2021-07-16,5.8396
2021-07-17,5.8396
2021-07-18,5.8396
2021-07-19,5.7513
2021-07-20,5.9888
2021-07-21,6.1182
2021-07-22,6.0093
2021-07-23,6.1151
2021-07-24,6.1151
2021-07-25,6.1151
2021-07-26,6.1197
2021-07-27,6.0695
2021-07-28,6.2042
2021-07-29,6.313
2021-07-30,6.3633
2021-07-31,6.3633
2021-08-01,6.3633
2021-08-02,6.2894
2021-08-03,6.9148
2021-08-04,6.9043
2021-08-05,7.0104
2021-08-06,7.0716
2021-08-07,7.0716
2021-08-08,7.0716
2021-08-09,7.1075
2021-08-10,7.4563
2021-08-11,7.9037
2021-08-12,7.8372
2021-08-13,7.6841
2021-08-14,7.6841
2021-08-15,7.6841
2021-08-16,7.6199
2021-08-17,7.3741
2021-08-18,7.295
2021-08-19,7.0365
2021-08-20,7.103
2021-08-21,7.103
2021-08-22,7.103
2021-08-23,7.0933
2021-08-24,7.3017
2021-08-25,7.3839
2021-08-26,7.1837
2021-08-27,7.457
2021-08-28,7.457
2021-08-29,7.457
2021-08-30,7.5616
2021-08-31,7.5751
2021-09-01,7.4331
2021-09-02,7.5429
2021-09-03,7.4234
2021-09-04,7.4234
2021-09-05,7.4234
2021-09-06,7.4234
2021-09-07,7.401
2021-09-08,7.1314
2021-09-09,7.1882
2021-09-10,7.1829
2021-09-11,7.1829
2021-09-12,7.1829
2021-09-13,7.3211
2021-09-14,7.1448
2021-09-15,7.4242
2021-09-16,7.3659
2021-09-17,7.171
2021-09-18,7.171
2021-09-19,7.171
2021-09-20,7.0522
2021-09-21,7.0948
2021-09-22,7.3398
2021-09-23,7.7536
2021-09-24,7.8985
2021-09-25,7.8985
2021-09-26,7.8985
2021-09-27,8.1084
2021-09-28,7.6498
2021-09-29,7.5459
2021-09-30,5.2962
2021-10-01,5.4318
2021-10-02,5.4318
2021-10-03,5.4318
2021-10-04,5.407
2021-10-05,5.3752
2021-10-06,5.3117
2021-10-07,5.5218
2021-10-08,5.3325
2021-10-09,5.3325
2021-10-10,5.3325
2021-10-11,5.4116
2021-10-12,5.3291
2021-10-13,5.2667
2021-10-14,5.3671
2021-10-15,5.351
2021-10-16,5.351
2021-10-17,5.351
2021-10-18,5.5501
2021-10-19,5.5039
2021-10-20,5.6228
2021-10-21,5.4681
2021-10-22,5.4837
2021-10-23,5.4837
2021-10-24,5.4837
2021-10-25,5.6707
2021-10-26,5.6937
2021-10-27,5.4964
2021-10-28,5.7463
2021-10-29,5.7353
2021-10-30,5.7353
2021-10-31,5.7353
2021-11-01,5.9442
2021-11-02,6.0388
2021-11-03,6.0827
2021-11-04,6.048
2021-11-05,6.2875
2021-11-06,6.2875
2021-11-07,6.2875
2021-11-08,6.2442
2021-11-09,6.3193
2021-11-10,6.1161
2021-11-11,6.2939
2021-11-12,6.2973
2021-11-13,6.2973
2021-11-14,6.2973
2021-11-15,6.392
2021-11-16,6.3937
2021-11-17,6.224
2021-11-18,6.7083
2021-11-19,6.7112
2021-11-20,6.7112
2021-11-21,6.7112
2021-11-22,6.9819
2021-11-23,6.6208
2021-11-24,6.7895
2021-11-25,6.7895
2021-11-26,6.3754
2021-11-27,6.3754
2021-11-28,6.3754
2021-11-29,6.5384
2021-11-30,6.4146
2021-12-01,6.4958
2021-12-02,6.6202
2021-12-03,6.5505
2021-12-04,6.5505
2021-12-05,6.5505
2021-12-06,6.5269
2021-12-07,6.7694
2021-12-08,6.6933
2021-12-09,6.6392
2021-12-10,6.6767
2021-12-11,6.6767
2021-12-12,6.6767
2021-12-13,6.6512
2021-12-14,6.5242
2021-12-15,6.5949
2021-12-16,6.541
2021-12-17,6.3362
2021-12-18,6.3362
2021-12-19,6.3362
2021-12-20,6.0908
2021-12-21,6.3101
2021-12-22,6.3838
2021-12-23,5.5175
2021-12-24,5.5175
2021-12-25,5.5175
2021-12-26,5.5175
2021-12-27,5.7934
2021-12-28,5.7983
2021-12-29,5.8785
2021-12-30,5.6799
2021-12-31,5.7577
2022-01-01,5.7577
2022-01-02,5.7577
2022-01-03,5.721
2022-01-04,5.8281
2022-01-05,5.6246
2022-01-06,5.7317
2022-01-07,5.4769
2022-01-08,5.4769
2022-01-09,5.4769
2022-01-10,5.3849
2022-01-11,5.4989
2022-01-12,5.5943
2022-01-13,5.4504
2022-01-14,5.3653
2022-01-15,5.3653
2022-01-16,5.3653
2022-01-17,5.3653
2022-01-18,5.2465
2022-01-19,5.2088
2022-01-20,5.1056
2022-01-21,5.0924
2022-01-22,5.0924
2022-01-23,5.0924
2022-01-24,5.1907
2022-01-25,5.04
2022-01-26,5.0327
2022-01-27,4.9084
2022-01-28,5.043
2022-01-29,5.043
2022-01-30,5.043
2022-01-31,5.4207
2022-02-01,5.3455
2022-02-02,5.2967
2022-02-03,5.1793
2022-02-04,5.0922
2022-02-05,5.0922
2022-02-06,5.0922
2022-02-07,5.2664
2022-02-08,5.469
2022-02-09,5.9595
2022-02-10,5.7928
2022-02-11,5.5358
2022-02-12,5.5358
2022-02-13,5.5358
2022-02-14,5.2034
2022-02-15,5.3928
2022-02-16,5.4094
2022-02-17,5.2408
2022-02-18,5.2967
2022-02-19,5.2967
2022-02-20,5.2967
2022-02-21,5.2967
2022-02-22,5.1802
2022-02-23,5.0747
2022-02-24,5.2181
2022-02-25,5.3327
2022-02-26,5.3327
2022-02-27,5.3327
2022-02-28,5.1334
2022-03-01,5.0444
2022-03-02,5.291
2022-03-03,5.2778
2022-03-04,5.1111
2022-03-05,5.1111
2022-03-06,5.1111
2022-03-07,4.739
2022-03-08,4.8115
2022-03-09,5.068
2022-03-10,5.1263
2022-03-11,5.0164
2022-03-12,5.0164
2022-03-13,5.0164
2022-03-14,5.0723
2022-03-15,5.1258
2022-03-16,5.3213
2022-03-17,5.3876
2022-03-18,5.5476
2022-03-19,5.5476
2022-03-20,5.5476
2022-03-21,5.4174
2022-03-22,5.3729
2022-03-23,5.2475
2022-03-24,5.3483
2022-03-25,4.5641
2022-03-26,4.5641
2022-03-27,4.5641
2022-03-28,4.4652
2022-03-29,4.5768
2022-03-30,4.427
2022-03-31,4.3525
2022-04-01,4.3504
2022-04-02,4.3504
2022-04-03,4.3504
2022-04-04,4.2983
2022-04-05,4.1644
2022-04-06,4.0244
2022-04-07,4.0187
2022-04-08,3.9857
2022-04-09,3.9857
2022-04-10,3.9857
2022-04-11,3.9735
2022-04-12,4.0325
2022-04-13,4.1355
2022-04-14,4.0793
2022-04-15,4.0793
2022-04-16,4.0793
2022-04-17,4.0793
2022-04-18,4.1335
2022-04-19,4.2755
2022-04-20,4.4257
2022-04-21,4.4302
2022-04-22,4.2926
2022-04-23,4.2926
2022-04-24,4.2926
2022-04-25,4.2906
2022-04-26,4.0911
2022-04-27,4.223
2022-04-28,4.3639
2022-04-29,4.2572
2022-04-30,4.2572
2022-05-01,4.2572
2022-05-02,4.2666
2022-05-03,4.6022
2022-05-04,4.7916
2022-05-05,4.7849
2022-05-06,4.8577
2022-05-07,4.8577
2022-05-08,4.8577
2022-05-09,4.5658
2022-05-10,4.4359
2022-05-11,4.3291
2022-05-12,4.4152
2022-05-13,4.5912
2022-05-14,4.5912
2022-05-15,4.5912
2022-05-16,4.4927
2022-05-17,4.5682
2022-05-18,4.4128
2022-05-19,4.4367
2022-05-20,4.3432
2022-05-21,4.3432
2022-05-22,4.3432
2022-05-23,4.3721
2022-05-24,4.1695
2022-05-25,4.3072
2022-05-26,4.4136
2022-05-27,4.5599
2022-05-28,4.5599
2022-05-29,4.5599
2022-05-30,4.5599
2022-05-31,4.6069
2022-06-01,4.5099
2022-06-02,4.7454
2022-06-03,4.9156
2022-06-04,4.9156
2022-06-05,4.9156
2022-06-06,5.1515
2022-06-07,5.0553
2022-06-08,4.9986
2022-06-09,4.6609
2022-06-10,4.3761
2022-06-11,4.3761
2022-06-12,4.3761
2022-06-13,4.0979
2022-06-14,4.1761
2022-06-15,4.1863
2022-06-16,3.7868
2022-06-17,3.7309
2022-06-18,3.7309
2022-06-19,3.7309
2022-06-20,3.7309
2022-06-21,3.7661
2022-06-22,3.6326
2022-06-23,3.5106
2022-06-24,3.4641
2022-06-25,3.4641
2022-06-26,3.4641
2022-06-27,3.5376
2022-06-28,3.5121
2022-06-29,3.4788
2022-06-30,3.4612
2022-07-01,3.5662
2022-07-02,3.5662
2022-07-03,3.5662
2022-07-04,3.5662
2022-07-05,3.5451
2022-07-06,3.5856
2022-07-07,3.7913
2022-07-08,3.7107
2022-07-09,3.7107
2022-07-10,3.7107
2022-07-11,3.634
2022-07-12,3.5609
2022-07-13,3.6017
2022-07-14,3.4132
2022-07-15,3.5179
2022-07-16,3.5179
2022-07-17,3.5179
2022-07-18,3.5042
2022-07-19,3.6774
2022-07-20,3.7472
2022-07-21,3.7594
2022-07-22,3.6677
2022-07-23,3.6677
2022-07-24,3.6677
2022-07-25,3.7053
2022-07-26,3.7573
2022-07-27,3.83
2022-07-28,3.9763
2022-07-29,4.044
2022-07-30,4.044
2022-07-31,4.044
2022-08-01,4.0512
2022-08-02,3.7019
2022-08-03,3.5958
2022-08-04,3.5793
2022-08-05,3.5395
2022-08-06,3.5395
2022-08-07,3.5395
2022-08-08,3.5838
2022-08-09,3.4769
2022-08-10,3.5621
2022-08-11,3.6284
2022-08-12,3.6518
2022-08-13,3.6518
2022-08-14,3.6518
2022-08-15,3.6377
2022-08-16,3.6233
2022-08-17,3.5989
2022-08-18,3.7002
2022-08-19,3.5989
2022-08-20,3.5989
2022-08-21,3.5989
2022-08-22,3.5264
2022-08-23,3.5261
2022-08-24,3.5322
2022-08-25,3.6119
2022-08-26,3.4989
2022-08-27,3.4989
2022-08-28,3.4989
2022-08-29,3.502
2022-08-30,3.4371
2022-08-31,3.3856
2022-09-01,3.469
2022-09-02,3.3691
2022-09-03,3.3691
2022-09-04,3.3691
2022-09-05,3.3691
2022-09-06,3.3815
2022-09-07,3.4254
2022-09-08,3.3945
2022-09-09,3.523
2022-09-10,3.523
2022-09-11,3.523
2022-09-12,3.5216
2022-09-13,3.3062
2022-09-14,3.2791
2022-09-15,3.2413
2022-09-16,3.2169
2022-09-17,3.2169
2022-09-18,3.2169
2022-09-19,3.2155
2022-09-20,3.1276
2022-09-21,3.108
2022-09-22,3.0575
2022-09-23,2.9847
2022-09-24,2.9847
2022-09-25,2.9847
2022-09-26,2.9215
2022-09-27,2.9469
2022-09-28,3.0613
2022-09-29,3.12
2022-09-30,2.9654
2022-10-01,2.9654
2022-10-02,2.9654
2022-10-03,3.1118
2022-10-04,3.2548
2022-10-05,3.2715
2022-10-06,3.3201
2022-10-07,3.2487
2022-10-08,3.2487
2022-10-09,3.2487
2022-10-10,3.305
2022-10-11,3.2628
2022-10-12,3.2544
2022-10-13,3.376
2022-10-14,3.1452
2022-10-15,3.1452
2022-10-16,3.1452
2022-10-17,3.3288
2022-10-18,3.4088
2022-10-19,3.303
2022-10-20,3.2759
2022-10-21,3.4249
2022-10-22,3.4249
2022-10-23,3.4249
2022-10-24,3.4868
2022-10-25,3.5213
2022-10-26,3.5438
2022-10-27,3.5254
2022-10-28,3.5324
2022-10-29,3.5324
2022-10-30,3.5324
2022-10-31,3.5512
2022-11-01,3.6325
2022-11-02,3.4865
2022-11-03,3.45
2022-11-04,3.4858
2022-11-05,3.4858
2022-11-06,3.4858
2022-11-07,3.4534
2022-11-08,3.4313
2022-11-09,3.5197
2022-11-10,3.7377
2022-11-11,3.7642
2022-11-12,3.7642
2022-11-13,3.7642
2022-11-14,3.8271
2022-11-15,3.9229
2022-11-16,3.8629
2022-11-17,3.7293
2022-11-18,4.0935
2022-11-19,4.0935
2022-11-20,4.0935
2022-11-21,4.1305
2022-11-22,4.2757
2022-11-23,4.1901
2022-11-24,4.1901
2022-11-25,4.1331
2022-11-26,4.1331
2022-11-27,4.1331
2022-11-28,4.0835
2022-11-29,4.1724
2022-11-30,4.2915
2022-12-01,4.3662
2022-12-02,4.3729
2022-12-03,4.3729
2022-12-04,4.3729
2022-12-05,4.2805
2022-12-06,4.334
2022-12-07,4.2934
2022-12-08,4.3842
2022-12-09,4.3188
2022-12-10,4.3188
2022-12-11,4.3188
2022-12-12,4.3053
2022-12-13,4.3955
2022-12-14,4.2915
2022-12-15,4.0935
2022-12-16,4.1222
2022-12-17,4.1222
2022-12-18,4.1222
2022-12-19,4.0079
2022-12-20,4.0233
2022-12-21,4.1054
2022-12-22,4.0381
2022-12-23,4.0288
2022-12-24,4.0288
2022-12-25,4.0288
2022-12-26,4.0288
2022-12-27,4.0935
2022-12-28,3.9857
2022-12-29,4.014
2022-12-30,4.2011
2022-12-31,4.2011
2023-01-01,4.2011
2023-01-02,4.2011
2023-01-03,4.2479
2023-01-04,4.2568
2023-01-05,4.2542
2023-01-06,4.3886
2023-01-07,4.3886
2023-01-08,4.3886
2023-01-09,4.3049
2023-01-10,4.4476
2023-01-11,4.5156
2023-01-12,4.5641
2023-01-13,4.6238
2023-01-14,4.6238
2023-01-15,4.6238
2023-01-16,4.6238
2023-01-17,4.514
2023-01-18,4.4659
2023-01-19,4.3069
2023-01-20,4.3822
2023-01-21,4.3822
2023-01-22,4.3822
2023-01-23,4.425
2023-01-24,4.4277
2023-01-25,4.4443
2023-01-26,4.5724
2023-01-27,4.6659
2023-01-28,4.6659
2023-01-29,4.6659
2023-01-30,4.6703
2023-01-31,4.7595
2023-02-01,5.3524
2023-02-02,5.095
2023-02-03,5.2058
2023-02-04,5.2058
2023-02-05,5.2058
2023-02-06,5.2095
2023-02-07,5.2973
2023-02-08,5.125
2023-02-09,5.0936
2023-02-10,5.1544
2023-02-11,5.1544
2023-02-12,5.1544
2023-02-13,5.2372
2023-02-14,5.2481
2023-02-15,5.3191
2023-02-16,5.2441
2023-02-17,5.2715
2023-02-18,5.2715
2023-02-19,5.2715
2023-02-20,5.2715
2023-02-21,5.0907
2023-02-22,5.0903
2023-02-23,5.1507
2023-02-24,5.162
2023-02-25,5.162
2023-02-26,5.162
2023-02-27,5.2336
2023-02-28,5.257
2023-03-01,5.3521
2023-03-02,5.454
2023-03-03,5.4877
2023-03-04,5.4877
2023-03-05,5.4877
2023-03-06,5.4656
2023-03-07,5.3692
2023-03-08,5.3755
2023-03-09,5.2587
2023-03-10,5.0141
2023-03-11,5.0141
2023-03-12,5.0141
2023-03-13,4.9214
2023-03-14,5.059
2023-03-15,4.7718
2023-03-16,4.858
2023-03-17,4.7517
2023-03-18,4.7517
