,KRO US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-10-29,9.9797
2021-10-30,9.9797
2021-10-31,9.9797
2021-11-01,10.18
2021-11-02,10.2158
2021-11-03,10.5306
2021-11-04,10.5735
2021-11-05,10.9599
2021-11-06,10.9599
2021-11-07,10.9599
2021-11-08,10.7524
2021-11-09,10.8025
2021-11-10,10.8025
2021-11-11,11.06
2021-11-12,11.2389
2021-11-13,11.2389
2021-11-14,11.2389
2021-11-15,11.1387
2021-11-16,10.874
2021-11-17,10.7595
2021-11-18,10.6951
2021-11-19,10.6164
2021-11-20,10.6164
2021-11-21,10.6164
2021-11-22,11.2246
2021-11-23,11.3319
2021-11-24,11.3176
2021-11-25,11.3176
2021-11-26,10.9956
2021-11-27,10.9956
2021-11-28,10.9956
2021-11-29,11.0171
2021-11-30,10.6737
2021-12-01,10.6093
2021-12-02,10.8454
2021-12-03,10.8454
2021-12-04,10.8454
2021-12-05,10.8454
2021-12-06,10.9813
2021-12-07,11.0243
2021-12-08,11.1244
2021-12-09,11.0887
2021-12-10,11.0815
2021-12-11,11.0815
2021-12-12,11.0815
2021-12-13,10.9169
2021-12-14,10.9527
2021-12-15,11.1817
2021-12-16,11.2747
2021-12-17,11.2103
2021-12-18,11.2103
2021-12-19,11.2103
2021-12-20,10.9312
2021-12-21,11.0386
2021-12-22,11.0457
2021-12-23,11.1602
2021-12-24,11.1602
2021-12-25,11.1602
2021-12-26,11.1602
2021-12-27,11.3176
2021-12-28,11.3105
2021-12-29,11.3963
2021-12-30,11.2532
2021-12-31,9.676
2022-01-01,9.676
2022-01-02,9.676
2022-01-03,9.7072
2022-01-04,9.9813
2022-01-05,9.9065
2022-01-06,9.7819
2022-01-07,9.8691
2022-01-08,9.8691
2022-01-09,9.8691
2022-01-10,9.6387
2022-01-11,9.6698
2022-01-12,9.7508
2022-01-13,9.838
2022-01-14,10.0124
2022-01-15,10.0124
2022-01-16,10.0124
2022-01-17,10.0124
2022-01-18,9.9314
2022-01-19,9.8816
2022-01-20,9.6075
2022-01-21,9.458
2022-01-22,9.458
2022-01-23,9.458
2022-01-24,9.4705
2022-01-25,9.4082
2022-01-26,9.3147
2022-01-27,9.321
2022-01-28,9.1652
2022-01-29,9.1652
2022-01-30,9.1652
2022-01-31,9.2649
2022-02-01,9.377
2022-02-02,9.3708
2022-02-03,9.1777
2022-02-04,9.1279
2022-02-05,9.1279
2022-02-06,9.1279
2022-02-07,9.1466
2022-02-08,9.3272
2022-02-09,9.3334
2022-02-10,9.1902
2022-02-11,9.0095
2022-02-12,9.0095
2022-02-13,9.0095
2022-02-14,9.1902
2022-02-15,9.2961
2022-02-16,9.4206
2022-02-17,9.1715
2022-02-18,9.2213
2022-02-19,9.2213
2022-02-20,9.2213
2022-02-21,9.2213
2022-02-22,9.1964
2022-02-23,9.0594
2022-02-24,9.2151
2022-02-25,9.5078
2022-02-26,9.5078
2022-02-27,9.5078
2022-02-28,9.5016
2022-03-01,9.2649
2022-03-02,9.4456
2022-03-03,9.7259
2022-03-04,9.4705
2022-03-05,9.4705
2022-03-06,9.4705
2022-03-07,8.8413
2022-03-08,8.8725
2022-03-09,9.3034
2022-03-10,9.6022
2022-03-11,9.4216
2022-03-12,9.4216
2022-03-13,9.4216
2022-03-14,9.8201
2022-03-15,9.6271
2022-03-16,9.7765
2022-03-17,10.0131
2022-03-18,10.3243
2022-03-19,10.3243
2022-03-20,10.3243
2022-03-21,10.1749
2022-03-22,10.1313
2022-03-23,10.1936
2022-03-24,10.4613
2022-03-25,10.3243
2022-03-26,10.3243
2022-03-27,10.3243
2022-03-28,10.1936
2022-03-29,10.2061
2022-03-30,10.0921
2022-03-31,8.1262
2022-04-01,8.2494
2022-04-02,8.2494
2022-04-03,8.2494
2022-04-04,8.2198
2022-04-05,8.1015
2022-04-06,8.0769
2022-04-07,8.1311
2022-04-08,8.0227
2022-04-09,8.0227
2022-04-10,8.0227
2022-04-11,8.0326
2022-04-12,8.0917
2022-04-13,8.2937
2022-04-14,8.3627
2022-04-15,8.3627
2022-04-16,8.3627
2022-04-17,8.3627
2022-04-18,8.3184
2022-04-19,8.5845
2022-04-20,8.6288
2022-04-21,8.5352
2022-04-22,8.3134
2022-04-23,8.3134
2022-04-24,8.3134
2022-04-25,8.274
2022-04-26,8.1262
2022-04-27,8.0917
2022-04-28,8.072
2022-04-29,7.9783
2022-04-30,7.9783
2022-05-01,7.9783
2022-05-02,8.0227
2022-05-03,8.1755
2022-05-04,8.3775
2022-05-05,8.2642
2022-05-06,8.003
2022-05-07,8.003
2022-05-08,8.003
2022-05-09,8.1114
2022-05-10,8.003
2022-05-11,8.0375
2022-05-12,8.1065
2022-05-13,8.1508
2022-05-14,8.1508
2022-05-15,8.1508
2022-05-16,8.3184
2022-05-17,8.5746
2022-05-18,8.5993
2022-05-19,9.3582
2022-05-20,9.1019
2022-05-21,9.1019
2022-05-22,9.1019
2022-05-23,9.2793
2022-05-24,9.5602
2022-05-25,9.5602
2022-05-26,9.7475
2022-05-27,9.6736
2022-05-28,9.6736
2022-05-29,9.6736
2022-05-30,9.6736
2022-05-31,9.8657
2022-06-01,10.1368
2022-06-02,10.1417
2022-06-03,9.8411
2022-06-04,9.8411
2022-06-05,9.8411
2022-06-06,10.0284
2022-06-07,10.0481
2022-06-08,10.0234
2022-06-09,9.915
2022-06-10,9.7179
2022-06-11,9.7179
2022-06-12,9.7179
2022-06-13,9.5356
2022-06-14,9.6982
2022-06-15,9.7425
2022-06-16,9.4272
2022-06-17,9.3237
2022-06-18,9.3237
2022-06-19,9.3237
2022-06-20,9.3237
2022-06-21,9.6144
2022-06-22,9.5405
2022-06-23,9.1906
2022-06-24,9.7721
2022-06-25,9.7721
2022-06-26,9.7721
2022-06-27,9.6538
2022-06-28,9.9249
2022-06-29,9.5799
2022-06-30,8.9357
2022-07-01,8.8506
2022-07-02,8.8506
2022-07-03,8.8506
2022-07-04,8.8506
2022-07-05,8.4489
2022-07-06,8.2835
2022-07-07,8.4395
2022-07-08,8.3071
2022-07-09,8.3071
2022-07-10,8.3071
2022-07-11,8.2599
2022-07-12,8.2551
2022-07-13,8.2079
2022-07-14,7.9479
2022-07-15,7.9716
2022-07-16,7.9716
2022-07-17,7.9716
2022-07-18,8.1323
2022-07-19,8.4773
2022-07-20,8.4867
2022-07-21,8.4773
2022-07-22,8.3591
