,BSIG US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-05-15,5.3993
2020-05-16,5.3993
2020-05-17,5.3993
2020-05-18,5.6059
2020-05-19,5.537
2020-05-20,5.5871
2020-05-21,5.5746
2020-05-22,5.5683
2020-05-23,5.5683
2020-05-24,5.5683
2020-05-25,5.5683
2020-05-26,5.706
2020-05-27,5.7154
2020-05-28,5.6184
2020-05-29,5.5714
2020-05-30,5.5714
2020-05-31,5.5714
2020-06-01,5.634
2020-06-02,5.6747
2020-06-03,5.8844
2020-06-04,5.8719
2020-06-05,6.0065
2020-06-06,6.0065
2020-06-07,6.0065
2020-06-08,6.0534
2020-06-09,5.9939
2020-06-10,6.0127
2020-06-11,5.8124
2020-06-12,5.8124
2020-06-13,5.8124
2020-06-14,5.8124
2020-06-15,6.2756
2020-06-16,6.3664
2020-06-17,6.2318
2020-06-18,6.2099
2020-06-19,6.1097
2020-06-20,6.1097
2020-06-21,6.1097
2020-06-22,6.1786
2020-06-23,6.1723
2020-06-24,6.0221
2020-06-25,6.1097
2020-06-26,6.6762
2020-06-27,6.6762
2020-06-28,6.6762
2020-06-29,6.9015
2020-06-30,7.2708
2020-07-01,7.2198
2020-07-02,7.3694
2020-07-03,7.3694
2020-07-04,7.3694
2020-07-05,7.3694
2020-07-06,7.3898
2020-07-07,7.366
2020-07-08,7.3218
2020-07-09,7.2096
2020-07-10,7.366
2020-07-11,7.366
2020-07-12,7.366
2020-07-13,7.1552
2020-07-14,7.1518
2020-07-15,7.2742
2020-07-16,7.2232
2020-07-17,7.2334
2020-07-18,7.2334
2020-07-19,7.2334
2020-07-20,7.2912
2020-07-21,7.3524
2020-07-22,7.3218
2020-07-23,7.23
2020-07-24,7.1076
2020-07-25,7.1076
2020-07-26,7.1076
2020-07-27,7.7672
2020-07-28,7.7468
2020-07-29,7.808
2020-07-30,7.7128
2020-07-31,7.604
2020-08-01,7.604
2020-08-02,7.604
2020-08-03,7.5122
2020-08-04,7.5292
2020-08-05,7.7332
2020-08-06,7.689
2020-08-07,7.655
2020-08-08,7.655
2020-08-09,7.655
2020-08-10,7.6273
2020-08-11,7.6443
2020-08-12,7.7495
2020-08-13,7.6918
2020-08-14,7.6036
2020-08-15,7.6036
2020-08-16,7.6036
2020-08-17,7.6138
2020-08-18,7.5425
2020-08-19,7.5662
2020-08-20,7.5798
2020-08-21,7.5764
2020-08-22,7.5764
2020-08-23,7.5764
2020-08-24,7.7088
2020-08-25,7.6918
2020-08-26,7.7903
2020-08-27,7.7937
2020-08-28,7.8039
2020-08-29,7.8039
2020-08-30,7.8039
2020-08-31,7.7394
2020-09-01,7.7665
2020-09-02,7.8514
2020-09-03,7.6749
2020-09-04,7.6273
2020-09-05,7.6273
2020-09-06,7.6273
2020-09-07,7.6273
2020-09-08,7.4067
2020-09-09,7.4814
2020-09-10,7.4203
2020-09-11,7.4882
2020-09-12,7.4882
2020-09-13,7.4882
2020-09-14,7.5527
2020-09-15,7.5153
2020-09-16,7.607
2020-09-17,7.5459
2020-09-18,7.5798
2020-09-19,7.5798
2020-09-20,7.5798
2020-09-21,7.4169
2020-09-22,7.4576
2020-09-23,7.2947
2020-09-24,7.2777
2020-09-25,7.3659
2020-09-26,7.3659
2020-09-27,7.3659
2020-09-28,7.4508
2020-09-29,7.4101
2020-09-30,7.5487
2020-10-01,7.512
2020-10-02,7.6735
2020-10-03,7.6735
2020-10-04,7.6735
2020-10-05,7.7982
2020-10-06,7.8129
2020-10-07,7.9671
2020-10-08,8.1909
2020-10-09,8.2827
2020-10-10,8.2827
2020-10-11,8.2827
2020-10-12,8.4148
2020-10-13,8.5286
2020-10-14,8.602
2020-10-15,8.6203
2020-10-16,8.613
2020-10-17,8.613
2020-10-18,8.613
2020-10-19,8.4992
2020-10-20,8.4625
2020-10-21,8.3634
2020-10-22,8.3708
2020-10-23,8.3891
2020-10-24,8.3891
2020-10-25,8.3891
2020-10-26,8.1322
2020-10-27,7.9744
2020-10-28,7.8056
2020-10-29,7.7872
2020-10-30,7.879
2020-10-31,7.879
2020-11-01,7.879
2020-11-02,7.8827
2020-11-03,7.9928
2020-11-04,8.1285
2020-11-05,8.3818
2020-11-06,8.2634
2020-11-07,8.2634
2020-11-08,8.2634
