,UPS US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-12-03,20.9505
2020-12-04,20.8867
2020-12-05,20.8867
2020-12-06,20.8867
2020-12-07,20.9109
2020-12-08,20.7921
2020-12-09,21.099
2020-12-10,20.5555
2020-12-11,21.0132
2020-12-12,21.0132
2020-12-13,21.0132
2020-12-14,20.8174
2020-12-15,20.8779
2020-12-16,21.2036
2020-12-17,21.6833
2020-12-18,21.7592
2020-12-19,21.7592
2020-12-20,21.7592
2020-12-21,21.4742
2020-12-22,21.691
2020-12-23,21.4797
2020-12-24,21.4302
2020-12-25,21.4302
2020-12-26,21.4302
2020-12-27,21.4302
2020-12-28,21.3389
2020-12-29,21.0825
2020-12-30,20.7745
2020-12-31,21.5258
2021-01-01,21.5258
2021-01-02,21.5258
2021-01-03,21.5258
2021-01-04,21.0133
2021-01-05,20.7593
2021-01-06,20.7058
2021-01-07,20.4786
2021-01-08,20.4106
2021-01-09,20.4106
2021-01-10,20.4106
2021-01-11,20.7972
2021-01-12,21.0256
2021-01-13,20.9364
2021-01-14,20.9766
2021-01-15,20.4674
2021-01-16,20.4674
2021-01-17,20.4674
2021-01-18,20.4674
2021-01-19,20.1755
2021-01-20,20.5721
2021-01-21,20.6011
2021-01-22,20.4774
2021-01-23,20.4774
2021-01-24,20.4774
2021-01-25,20.7849
2021-01-26,20.7493
2021-01-27,20.3282
2021-01-28,20.2858
2021-01-29,20.0329
2021-01-30,20.0329
2021-01-31,20.0329
2021-02-01,20.1733
2021-02-02,20.6223
2021-02-03,20.57
2021-02-04,20.8543
2021-02-05,21.0907
2021-02-06,21.0907
2021-02-07,21.0907
2021-02-08,20.987
2021-02-09,21.3739
2021-02-10,21.2334
2021-02-11,20.8666
2021-02-12,20.9803
2021-02-13,20.9803
2021-02-14,20.9803
2021-02-15,20.9803
2021-02-16,20.7975
2021-02-17,20.7139
2021-02-18,20.8387
2021-02-19,20.6626
2021-02-20,20.6626
2021-02-21,20.6626
2021-02-22,20.7808
2021-02-23,20.7349
2021-02-24,20.6522
2021-02-25,20.3662
2021-02-26,20.4019
2021-02-27,20.4019
2021-02-28,20.4019
2021-03-01,20.8087
2021-03-02,20.7975
2021-03-03,20.6925
2021-03-04,20.583
2021-03-05,21.1361
2021-03-06,21.1361
2021-03-07,21.1361
2021-03-08,20.7416
2021-03-09,21.0098
2021-03-10,21.2289
2021-03-11,21.4535
2021-03-12,21.5038
2021-03-13,21.5038
2021-03-14,21.5038
2021-03-15,20.9394
2021-03-16,20.9595
2021-03-17,20.7171
2021-03-18,20.6668
2021-03-19,20.5651
2021-03-20,20.5651
2021-03-21,20.5651
2021-03-22,20.7629
2021-03-23,20.6288
2021-03-24,20.6344
2021-03-25,21.0076
2021-03-26,21.5362
2021-03-27,21.5362
2021-03-28,21.5362
2021-03-29,21.6055
2021-03-30,21.6615
2021-03-31,17.6256
2021-04-01,17.7443
2021-04-02,17.7443
2021-04-03,17.7443
2021-04-04,17.7443
2021-04-05,17.806
2021-04-06,17.8998
2021-04-07,17.806
2021-04-08,17.9044
2021-04-09,18.1731
2021-04-10,18.1731
2021-04-11,18.1731
2021-04-12,18.4161
2021-04-13,18.4934
2021-04-14,18.198
2021-04-15,18.5136
2021-04-16,18.5201
2021-04-17,18.5201
2021-04-18,18.5201
2021-04-19,18.3682
2021-04-20,18.5182
2021-04-21,18.4152
2021-04-22,18.3176
2021-04-23,18.451
2021-04-24,18.451
2021-04-25,18.451
2021-04-26,18.1612
2021-04-27,19.847
2021-04-28,20.2372
2021-04-29,20.7296
2021-04-30,20.7424
2021-05-01,20.7424
2021-05-02,20.7424
2021-05-03,21.5099
2021-05-04,21.7041
2021-05-05,21.7234
2021-05-06,21.7728
2021-05-07,22.0234
2021-05-08,22.0234
2021-05-09,22.0234
2021-05-10,21.8972
2021-05-11,21.7313
2021-05-12,21.3969
2021-05-13,21.8548
2021-05-14,21.9202
2021-05-15,21.9202
2021-05-16,21.9202
2021-05-17,21.9119
2021-05-18,21.7
2021-05-19,21.7332
