,PRI US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-01-01,12.1167
2021-01-02,12.1167
2021-01-03,12.1167
2021-01-04,11.8195
2021-01-05,11.9347
2021-01-06,12.3493
2021-01-07,12.3376
2021-01-08,12.2913
2021-01-09,12.2913
2021-01-10,12.2913
2021-01-11,12.2069
2021-01-12,12.3625
2021-01-13,12.259
2021-01-14,12.2847
2021-01-15,12.419
2021-01-16,12.419
2021-01-17,12.419
2021-01-18,12.419
2021-01-19,12.4638
2021-01-20,12.5812
2021-01-21,12.3941
2021-01-22,12.2671
2021-01-23,12.2671
2021-01-24,12.2671
2021-01-25,12.0763
2021-01-26,12.1871
2021-01-27,12.1952
2021-01-28,12.6722
2021-01-29,12.5115
2021-01-30,12.5115
2021-01-31,12.5115
2021-02-01,12.7661
2021-02-02,12.7551
2021-02-03,12.7852
2021-02-04,13.0501
2021-02-05,13.0839
2021-02-06,13.0839
2021-02-07,13.0839
2021-02-08,13.2872
2021-02-09,13.2204
2021-02-10,12.9078
2021-02-11,12.7426
2021-02-12,12.692
2021-02-13,12.692
2021-02-14,12.692
2021-02-15,12.692
2021-02-16,12.7926
2021-02-17,12.7294
2021-02-18,12.8557
2021-02-19,12.8924
2021-02-20,12.8924
2021-02-21,12.8924
2021-02-22,12.9048
2021-02-23,12.7852
2021-02-24,12.998
2021-02-25,12.8256
2021-02-26,12.6524
2021-02-27,12.6524
2021-02-28,12.6524
2021-03-01,13.0509
2021-03-02,12.9534
2021-03-03,12.9519
2021-03-04,12.6617
2021-03-05,13.007
2021-03-06,13.007
2021-03-07,13.007
2021-03-08,13.0995
2021-03-09,13.0812
2021-03-10,13.4309
2021-03-11,13.4081
2021-03-12,13.5418
2021-03-13,13.5418
2021-03-14,13.5418
2021-03-15,13.7695
2021-03-16,13.6637
2021-03-17,13.8254
2021-03-18,13.5073
2021-03-19,13.303
2021-03-20,13.303
2021-03-21,13.303
2021-03-22,13.0937
2021-03-23,12.8343
2021-03-24,12.7675
2021-03-25,12.9783
2021-03-26,13.0915
2021-03-27,13.0915
2021-03-28,13.0915
2021-03-29,13.0415
2021-03-30,13.2612
2021-03-31,12.6016
2021-04-01,12.8398
2021-04-02,12.8398
2021-04-03,12.8398
2021-04-04,12.8398
2021-04-05,12.9783
2021-04-06,13.0094
2021-04-07,12.8363
2021-04-08,12.7823
2021-04-09,12.9499
2021-04-10,12.9499
2021-04-11,12.9499
2021-04-12,13.0904
2021-04-13,13.0399
2021-04-14,13.1728
2021-04-15,13.2552
2021-04-16,13.528
2021-04-17,13.528
2021-04-18,13.528
2021-04-19,13.5003
2021-04-20,13.2961
2021-04-21,13.519
2021-04-22,13.2857
2021-04-23,13.4546
2021-04-24,13.4546
2021-04-25,13.4546
2021-04-26,13.5218
2021-04-27,13.555
2021-04-28,13.4941
2021-04-29,13.6568
2021-04-30,13.429
2021-05-01,13.429
2021-05-02,13.429
2021-05-03,13.5675
2021-05-04,13.5488
2021-05-05,13.807
2021-05-06,13.5936
2021-05-07,13.7183
2021-05-08,13.7183
2021-05-09,13.7183
2021-05-10,13.5791
2021-05-11,13.2757
2021-05-12,13.0394
2021-05-13,13.3851
2021-05-14,13.5522
2021-05-15,13.5522
2021-05-16,13.5522
2021-05-17,13.4698
2021-05-18,13.3937
2021-05-19,13.3279
2021-05-20,13.3888
2021-05-21,13.4678
2021-05-22,13.4678
2021-05-23,13.4678
2021-05-24,13.3985
2021-05-25,13.2608
2021-05-26,13.3258
2021-05-27,13.4366
2021-05-28,13.5979
2021-05-29,13.5979
2021-05-30,13.5979
2021-05-31,13.5979
2021-06-01,13.6526
2021-06-02,13.6589
2021-06-03,13.6582
2021-06-04,13.7468
2021-06-05,13.7468
2021-06-06,13.7468
2021-06-07,13.7572
2021-06-08,13.7793
2021-06-09,13.6561
2021-06-10,13.4802
2021-06-11,13.5785
2021-06-12,13.5785
2021-06-13,13.5785
2021-06-14,13.3002
2021-06-15,13.4013
2021-06-16,13.0662
2021-06-17,12.6646
2021-06-18,12.3773
2021-06-19,12.3773
2021-06-20,12.3773
2021-06-21,12.7041
2021-06-22,12.7013
2021-06-23,12.6736
2021-06-24,12.7311
2021-06-25,13.1251
2021-06-26,13.1251
2021-06-27,13.1251
2021-06-28,12.9084
2021-06-29,12.9672
2021-06-30,11.8738
2021-07-01,11.821
2021-07-02,11.7311
2021-07-03,11.7311
2021-07-04,11.7311
2021-07-05,11.7311
2021-07-06,11.4736
2021-07-07,11.4768
2021-07-08,11.2115
2021-07-09,11.4997
2021-07-10,11.4997
2021-07-11,11.4997
2021-07-12,11.5336
2021-07-13,11.426
2021-07-14,11.4123
2021-07-15,11.4104
2021-07-16,11.3686
2021-07-17,11.3686
2021-07-18,11.3686
2021-07-19,11.1359
2021-07-20,11.3458
2021-07-21,11.4534
2021-07-22,11.3269
2021-07-23,11.3549
2021-07-24,11.3549
2021-07-25,11.3549
2021-07-26,11.4208
2021-07-27,11.4025
2021-07-28,11.4136
2021-07-29,11.514
2021-07-30,11.4227
2021-07-31,11.4227
2021-08-01,11.4227
2021-08-02,11.4384
2021-08-03,11.4312
2021-08-04,11.3315
2021-08-05,11.5127
2021-08-06,11.5877
2021-08-07,11.5877
2021-08-08,11.5877
2021-08-09,11.696
2021-08-10,11.7522
2021-08-11,11.8201
2021-08-12,11.7124
2021-08-13,11.7235
2021-08-14,11.7235
2021-08-15,11.7235
2021-08-16,11.7483
2021-08-17,11.7874
2021-08-18,11.6941
2021-08-19,11.4832
2021-08-20,11.6184
2021-08-21,11.6184
2021-08-22,11.6184
2021-08-23,11.7665
2021-08-24,11.869
2021-08-25,11.8181
2021-08-26,11.6778
2021-08-27,11.9043
2021-08-28,11.9043
2021-08-29,11.9043
2021-08-30,11.8664
2021-08-31,11.8749
2021-09-01,11.8135
2021-09-02,11.8638
2021-09-03,11.8109
2021-09-04,11.8109
2021-09-05,11.8109
2021-09-06,11.8109
2021-09-07,11.5805
2021-09-08,11.5224
2021-09-09,11.5466
2021-09-10,11.4813
2021-09-11,11.4813
2021-09-12,11.4813
2021-09-13,11.6386
2021-09-14,11.5335
2021-09-15,11.6334
2021-09-16,11.587
2021-09-17,11.634
2021-09-18,11.634
2021-09-19,11.634
2021-09-20,11.2123
2021-09-21,11.3102
2021-09-22,11.493
2021-09-23,11.7058
2021-09-24,11.8384
2021-09-25,11.8384
2021-09-26,11.8384
2021-09-27,12.0388
2021-09-28,11.9317
2021-09-29,12.0453
2021-09-30,12.6882
2021-10-01,12.8257
2021-10-02,12.8257
2021-10-03,12.8257
2021-10-04,12.5526
2021-10-05,12.7039
2021-10-06,12.846
2021-10-07,13.0448
2021-10-08,12.9652
2021-10-09,12.9652
2021-10-10,12.9652
2021-10-11,13.0148
2021-10-12,13.2553
2021-10-13,13.2031
2021-10-14,13.5297
2021-10-15,13.5395
2021-10-16,13.5395
2021-10-17,13.5395
2021-10-18,13.602
2021-10-19,13.5303
2021-10-20,13.6248
2021-10-21,13.6835
2021-10-22,13.7598
2021-10-23,13.7598
2021-10-24,13.7598
2021-10-25,13.7422
2021-10-26,13.6477
2021-10-27,13.4313
2021-10-28,13.6353
2021-10-29,13.6405
2021-10-30,13.6405
2021-10-31,13.6405
2021-11-01,13.9892
2021-11-02,14.0257
2021-11-03,14.2206
2021-11-04,14.0283
2021-11-05,14.2115
2021-11-06,14.2115
2021-11-07,14.2115
2021-11-08,14.0922
2021-11-09,13.2893
2021-11-10,13.29
2021-11-11,13.3043
2021-11-12,13.2359
2021-11-13,13.2359
2021-11-14,13.2359
2021-11-15,13.2013
2021-11-16,13.1263
2021-11-17,13.1048
2021-11-18,13.1661
2021-11-19,12.842
2021-11-20,12.842
2021-11-21,12.842
2021-11-22,12.8426
2021-11-23,12.7631
2021-11-24,12.7161
2021-11-25,12.7161
2021-11-26,12.259
2021-11-27,12.259
2021-11-28,12.259
2021-11-29,12.4722
2021-11-30,12.2707
2021-12-01,12.0066
2021-12-02,12.3574
2021-12-03,12.2394
2021-12-04,12.2394
2021-12-05,12.2394
2021-12-06,12.3757
2021-12-07,12.497
2021-12-08,12.5087
2021-12-09,12.4683
2021-12-10,12.5968
2021-12-11,12.5968
2021-12-12,12.5968
2021-12-13,12.4794
2021-12-14,12.4057
2021-12-15,12.5844
2021-12-16,12.4572
2021-12-17,12.3222
2021-12-18,12.3222
2021-12-19,12.3222
2021-12-20,12.0959
2021-12-21,12.454
2021-12-22,12.5198
2021-12-23,12.6894
2021-12-24,12.6894
2021-12-25,12.6894
2021-12-26,12.6894
2021-12-27,12.7559
2021-12-28,12.7194
2021-12-29,12.7213
2021-12-30,12.6868
2021-12-31,14.2115
2022-01-01,14.2115
2022-01-02,14.2115
2022-01-03,14.3362
2022-01-04,14.4455
2022-01-05,14.1685
2022-01-06,14.248
2022-01-07,14.2866
2022-01-08,14.2866
2022-01-09,14.2866
2022-01-10,14.3274
2022-01-11,14.3974
2022-01-12,14.3427
2022-01-13,14.4543
2022-01-14,14.4827
2022-01-15,14.4827
2022-01-16,14.4827
2022-01-17,14.4827
2022-01-18,14.2954
2022-01-19,14.0884
2022-01-20,14.0468
2022-01-21,13.9462
2022-01-22,13.9462
2022-01-23,13.9462
2022-01-24,14.0468
2022-01-25,14.065
2022-01-26,13.9054
2022-01-27,13.7407
2022-01-28,14.0315
2022-01-29,14.0315
2022-01-30,14.0315
2022-01-31,14.2895
2022-02-01,14.2961
2022-02-02,14.3435
2022-02-03,14.0876
2022-02-04,14.2429
2022-02-05,14.2429
2022-02-06,14.2429
2022-02-07,14.2465
2022-02-08,14.1919
2022-02-09,14.3391
2022-02-10,14.404
2022-02-11,14.2312
2022-02-12,14.2312
2022-02-13,14.2312
2022-02-14,14.0811
2022-02-15,13.0351
