,USNA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-09-06,8.5475
2020-09-07,8.5475
2020-09-08,8.5819
2020-09-09,8.8019
2020-09-10,8.8642
2020-09-11,8.8178
2020-09-12,8.8178
2020-09-13,8.8178
2020-09-14,8.6999
2020-09-15,8.6667
2020-09-16,8.509
2020-09-17,8.46
2020-09-18,8.5541
2020-09-19,8.5541
2020-09-20,8.5541
2020-09-21,8.5978
2020-09-22,8.68
2020-09-23,8.4216
2020-09-24,8.3871
2020-09-25,7.6715
2020-09-26,7.6715
2020-09-27,7.6715
2020-09-28,7.6079
2020-09-29,7.3771
2020-09-30,7.5343
2020-10-01,7.6889
2020-10-02,7.7139
2020-10-03,7.7139
2020-10-04,7.7139
2020-10-05,7.6752
2020-10-06,7.7101
2020-10-07,7.7139
2020-10-08,7.886
2020-10-09,8.0719
2020-10-10,8.0719
2020-10-11,8.0719
2020-10-12,8.0756
2020-10-13,8.1504
2020-10-14,8.1105
2020-10-15,8.1716
2020-10-16,7.9671
2020-10-17,7.9671
2020-10-18,7.9671
2020-10-19,8.0195
2020-10-20,8.0332
2020-10-21,8.5134
2020-10-22,8.824
2020-10-23,9.0572
2020-10-24,9.0572
2020-10-25,9.0572
2020-10-26,8.9263
2020-10-27,8.8015
2020-10-28,8.3949
2020-10-29,8.1554
2020-10-30,7.7837
2020-10-31,7.7837
2020-11-01,7.7837
2020-11-02,7.8224
2020-11-03,7.9041
2020-11-04,7.9316
2020-11-05,8.165
2020-11-06,8.0165
2020-11-07,8.0165
2020-11-08,8.0165
2020-11-09,7.6008
2020-11-10,7.8292
2020-11-11,8.1001
2020-11-12,7.6757
2020-11-13,7.7144
2020-11-14,7.7144
2020-11-15,7.7144
2020-11-16,7.7219
2020-11-17,7.8966
2020-11-18,7.5508
2020-11-19,7.6882
2020-11-20,7.7631
2020-11-21,7.7631
2020-11-22,7.7631
2020-11-23,7.8417
2020-11-24,7.9778
2020-11-25,7.8068
2020-11-26,7.8068
2020-11-27,7.9166
2020-11-28,7.9166
2020-11-29,7.9166
2020-11-30,7.7331
2020-12-01,7.8192
2020-12-02,7.9441
2020-12-03,8.0415
2020-12-04,8.1675
2020-12-05,8.1675
2020-12-06,8.1675
2020-12-07,7.9728
2020-12-08,8.039
2020-12-09,8.0315
2020-12-10,7.9179
2020-12-11,7.7456
2020-12-12,7.7456
2020-12-13,7.7456
2020-12-14,7.7481
2020-12-15,7.8567
2020-12-16,8.1376
2020-12-17,8.1301
2020-12-18,8.1938
2020-12-19,8.1938
2020-12-20,8.1938
2020-12-21,8.0939
2020-12-22,8.0115
2020-12-23,8.1538
2020-12-24,8.0589
2020-12-25,8.0589
2020-12-26,8.0589
2020-12-27,8.0589
2020-12-28,7.9528
2020-12-29,8.0115
2020-12-30,7.9628
2020-12-31,7.5447
2021-01-01,7.5447
2021-01-02,7.5447
2021-01-03,7.5447
2021-01-04,7.6461
2021-01-05,8.1419
2021-01-06,8.3887
2021-01-07,8.0823
2021-01-08,7.8571
2021-01-09,7.8571
2021-01-10,7.8571
2021-01-11,7.894
2021-01-12,7.8106
2021-01-13,7.7593
2021-01-14,7.7879
2021-01-15,7.8106
2021-01-16,7.8106
2021-01-17,7.8106
2021-01-18,7.8106
2021-01-19,8.1729
2021-01-20,8.4686
2021-01-21,8.5615
2021-01-22,8.6855
2021-01-23,8.6855
2021-01-24,8.6855
2021-01-25,9.03
2021-01-26,9.0181
2021-01-27,8.6843
2021-01-28,8.6044
2021-01-29,8.2194
2021-01-30,8.2194
2021-01-31,8.2194
2021-02-01,8.1074
