,GOLF US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-07-04,28.5524
2020-07-05,28.5524
2020-07-06,28.637
2020-07-07,27.9819
2020-07-08,28.2355
2020-07-09,28.0101
2020-07-10,28.3552
2020-07-11,28.3552
2020-07-12,28.3552
2020-07-13,27.9889
2020-07-14,28.5454
2020-07-15,29.285
2020-07-16,29.5456
2020-07-17,29.6513
2020-07-18,29.6513
2020-07-19,29.6513
2020-07-20,29.7147
2020-07-21,30.5106
2020-07-22,30.3486
2020-07-23,30.729
2020-07-24,30.4261
2020-07-25,30.4261
2020-07-26,30.4261
2020-07-27,31.384
2020-07-28,30.9262
2020-07-29,31.6447
2020-07-30,31.1093
2020-07-31,31.0178
2020-08-01,31.0178
2020-08-02,31.0178
2020-08-03,31.4897
2020-08-04,31.9264
2020-08-05,30.27
2020-08-06,28.7553
2020-08-07,28.9878
2020-08-08,28.9878
2020-08-09,28.9878
2020-08-10,28.5721
2020-08-11,29.1357
2020-08-12,29.3471
2020-08-13,29.2203
2020-08-14,28.8187
2020-08-15,28.8187
2020-08-16,28.8187
2020-08-17,29.0582
2020-08-18,28.8609
2020-08-19,28.9878
2020-08-20,28.6637
2020-08-21,28.7764
2020-08-22,28.7764
2020-08-23,28.7764
2020-08-24,29.1216
2020-08-25,29.2273
2020-08-26,29.4387
2020-08-27,29.2343
2020-08-28,29.2343
2020-08-29,29.2343
2020-08-30,29.2343
2020-08-31,29.0793
2020-09-01,29.3471
2020-09-02,29.6148
2020-09-03,28.9807
2020-09-04,28.6073
2020-09-05,28.6073
2020-09-06,28.6073
2020-09-07,28.6073
2020-09-08,28.3678
2020-09-09,28.5298
2020-09-10,28.3043
2020-09-11,28.2409
2020-09-12,28.2409
2020-09-13,28.2409
2020-09-14,28.1423
2020-09-15,28.2128
2020-09-16,27.8816
2020-09-17,27.8534
2020-09-18,27.6139
2020-09-19,27.6139
2020-09-20,27.6139
2020-09-21,27.9028
2020-09-22,27.7337
2020-09-23,27.5505
2020-09-24,27.4941
2020-09-25,27.4941
2020-09-26,27.4941
2020-09-27,27.4941
2020-09-28,27.5364
2020-09-29,27.5857
2020-09-30,19.0026
2020-10-01,19.5538
2020-10-02,19.6398
2020-10-03,19.6398
2020-10-04,19.6398
2020-10-05,20.4134
2020-10-06,19.9583
2020-10-07,20.0241
2020-10-08,19.7561
2020-10-09,19.8319
2020-10-10,19.8319
2020-10-11,19.8319
2020-10-12,19.9432
2020-10-13,19.8269
2020-10-14,19.5437
2020-10-15,19.7004
2020-10-16,19.5538
2020-10-17,19.5538
2020-10-18,19.5538
2020-10-19,19.5841
2020-10-20,19.5134
2020-10-21,19.574
2020-10-22,19.6752
2020-10-23,19.5943
2020-10-24,19.5943
2020-10-25,19.5943
2020-10-26,19.3768
2020-10-27,19.4122
2020-10-28,19.1948
2020-10-29,18.947
2020-10-30,19.2656
2020-10-31,19.2656
2020-11-01,19.2656
2020-11-02,19.3313
2020-11-03,19.8066
2020-11-04,20.0038
2020-11-05,20.5499
2020-11-06,21.7535
2020-11-07,21.7535
2020-11-08,21.7535
2020-11-09,20.8989
2020-11-10,20.9343
2020-11-11,20.9899
2020-11-12,20.4894
2020-11-13,20.3579
2020-11-14,20.3579
2020-11-15,20.3579
2020-11-16,20.8838
2020-11-17,21.1366
2020-11-18,20.7573
2020-11-19,20.8433
2020-11-20,21.0456
2020-11-21,21.0456
2020-11-22,21.0456
2020-11-23,21.1568
2020-11-24,21.1416
2020-11-25,21.1872
2020-11-26,21.1872
2020-11-27,21.1012
2020-11-28,21.1012
2020-11-29,21.1012
2020-11-30,21.0709
2020-12-01,21.6574
2020-12-02,21.7788
2020-12-03,21.7788
2020-12-04,22.0822
2020-12-05,22.0822
2020-12-06,22.0822
2020-12-07,22.158
2020-12-08,22.1529
2020-12-09,21.976
2020-12-10,21.7181
2020-12-11,21.5411
2020-12-12,21.5411
2020-12-13,21.5411
2020-12-14,21.5462
2020-12-15,21.9355
2020-12-16,22.4108
2020-12-17,22.7597
2020-12-18,22.6788
2020-12-19,22.6788
2020-12-20,22.6788
2020-12-21,22.9468
2020-12-22,22.8659
2020-12-23,22.7597
2020-12-24,22.8002
2020-12-25,22.8002
2020-12-26,22.8002
2020-12-27,22.8002
2020-12-28,23.235
2020-12-29,22.7294
2020-12-30,22.7092
2020-12-31,22.5713
2021-01-01,22.5713
2021-01-02,22.5713
2021-01-03,22.5713
2021-01-04,22.7246
2021-01-05,22.7603
2021-01-06,23.4192
2021-01-07,23.3681
2021-01-08,23.3017
2021-01-09,23.3017
2021-01-10,23.3017
2021-01-11,23.4703
2021-01-12,23.4958
2021-01-13,23.1077
2021-01-14,22.9697
2021-01-15,22.5203
2021-01-16,22.5203
2021-01-17,22.5203
2021-01-18,22.5203
2021-01-19,22.3108
2021-01-20,22.8574
2021-01-21,22.7961
2021-01-22,22.8369
2021-01-23,22.8369
2021-01-24,22.8369
2021-01-25,22.9749
2021-01-26,23.1485
2021-01-27,23.2353
2021-01-28,22.7808
2021-01-29,22.7144
2021-01-30,22.7144
2021-01-31,22.7144
2021-02-01,23.2762
2021-02-02,23.9402
2021-02-03,24.5889
2021-02-04,24.9413
2021-02-05,25.3397
2021-02-06,25.3397
2021-02-07,25.3397
2021-02-08,25.7739
2021-02-09,25.9271
2021-02-10,25.9476
2021-02-11,25.3653
2021-02-12,25.5645
2021-02-13,25.5645
2021-02-14,25.5645
2021-02-15,25.5645
2021-02-16,25.0333
2021-02-17,25.0384
2021-02-18,24.5123
2021-02-19,24.4867
2021-02-20,24.4867
2021-02-21,24.4867
2021-02-22,24.4357
2021-02-23,24.5991
2021-02-24,24.3335
2021-02-25,24.1855
2021-02-26,23.4295
2021-02-27,23.4295
2021-02-28,23.4295
2021-03-01,23.6696
2021-03-02,22.8472
2021-03-03,22.4131
2021-03-04,22.0351
2021-03-05,22.7962
2021-03-06,22.7962
2021-03-07,22.7962
2021-03-08,23.1384
2021-03-09,23.3172
2021-03-10,23.0669
2021-03-11,23.7105
2021-03-12,23.6696
2021-03-13,23.6696
2021-03-14,23.6696
2021-03-15,23.6645
2021-03-16,23.4857
2021-03-17,23.4091
2021-03-18,23.7258
2021-03-19,23.2916
2021-03-20,23.2916
2021-03-21,23.2916
2021-03-22,23.3785
2021-03-23,23.0311
2021-03-24,22.4897
2021-03-25,23.1435
2021-03-26,23.4295
