,WDR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-09-09,8.4048
2020-09-10,8.1633
2020-09-11,8.0913
2020-09-12,8.0913
2020-09-13,8.0913
2020-09-14,8.2147
2020-09-15,8.2558
2020-09-16,8.4048
2020-09-17,8.338
2020-09-18,8.3226
2020-09-19,8.3226
2020-09-20,8.3226
2020-09-21,7.9371
2020-09-22,7.9011
2020-09-23,7.5516
2020-09-24,7.5979
2020-09-25,7.6853
2020-09-26,7.6853
2020-09-27,7.6853
2020-09-28,8.0399
2020-09-29,7.896
2020-09-30,7.8116
2020-10-01,7.6543
2020-10-02,7.9165
2020-10-03,7.9165
2020-10-04,7.9165
2020-10-05,8.1
2020-10-06,8.1262
2020-10-07,8.3988
2020-10-08,8.9021
2020-10-09,8.9388
2020-10-10,8.9388
2020-10-11,8.9388
2020-10-12,8.7815
2020-10-13,8.7815
2020-10-14,9.3477
2020-10-15,9.4054
2020-10-16,9.2743
2020-10-17,9.2743
2020-10-18,9.2743
2020-10-19,9.096
2020-10-20,9.0908
2020-10-21,8.8811
2020-10-22,8.9126
2020-10-23,8.8706
2020-10-24,8.8706
2020-10-25,8.8706
2020-10-26,8.7081
2020-10-27,8.5823
2020-10-28,8.1524
2020-10-29,8.1314
2020-10-30,7.7507
2020-10-31,7.7507
2020-11-01,7.7507
2020-11-02,7.8664
2020-11-03,8.1029
2020-11-04,8.2237
2020-11-05,8.3344
2020-11-06,8.0476
2020-11-07,8.0476
2020-11-08,8.0476
2020-11-09,8.5055
2020-11-10,8.581
2020-11-11,8.5508
2020-11-12,8.3545
2020-11-13,8.4854
2020-11-14,8.4854
2020-11-15,8.4854
2020-11-16,8.6514
2020-11-17,8.5709
2020-11-18,8.3445
2020-11-19,8.1784
2020-11-20,8.0526
2020-11-21,8.0526
2020-11-22,8.0526
2020-11-23,8.1784
2020-11-24,8.4904
2020-11-25,8.5407
2020-11-26,8.5407
2020-11-27,8.5608
2020-11-28,8.5608
2020-11-29,8.5608
2020-11-30,8.3092
2020-12-01,8.5156
2020-12-02,8.586
2020-12-03,12.9035
2020-12-04,12.8834
2020-12-05,12.8834
2020-12-06,12.8834
2020-12-07,12.8204
2020-12-08,12.8807
2020-12-09,12.7701
2020-12-10,12.7299
2020-12-11,12.7198
2020-12-12,12.7198
2020-12-13,12.7198
2020-12-14,12.6947
2020-12-15,12.6947
2020-12-16,12.6846
2020-12-17,12.6745
2020-12-18,12.6846
2020-12-19,12.6846
2020-12-20,12.6846
2020-12-21,12.6997
2020-12-22,12.6846
2020-12-23,12.6796
2020-12-24,12.6745
2020-12-25,12.6745
2020-12-26,12.6745
2020-12-27,12.6745
2020-12-28,12.7701
2020-12-29,12.8254
2020-12-30,12.8355
2020-12-31,16.5725
2021-01-01,16.5725
2021-01-02,16.5725
2021-01-03,16.5725
2021-01-04,16.4675
2021-01-05,16.4535
2021-01-06,16.5165
2021-01-07,16.4395
2021-01-08,16.2647
2021-01-09,16.2647
2021-01-10,16.2647
2021-01-11,16.2647
2021-01-12,16.3486
2021-01-13,16.2717
2021-01-14,16.2717
2021-01-15,16.2647
2021-01-16,16.2647
2021-01-17,16.2647
2021-01-18,16.2647
2021-01-19,16.2787
2021-01-20,16.2996
2021-01-21,16.2926
2021-01-22,16.2996
2021-01-23,16.2996
2021-01-24,16.2996
2021-01-25,16.3486
2021-01-26,16.3976
2021-01-27,16.2647
2021-01-28,16.2787
2021-01-29,16.4465
2021-01-30,16.4465
2021-01-31,16.4465
2021-02-01,16.4186
2021-02-02,16.2787
2021-02-03,16.2926
2021-02-04,16.3136
2021-02-05,16.2507
2021-02-06,16.2507
2021-02-07,16.2507
2021-02-08,16.3486
2021-02-09,16.3836
2021-02-10,16.3346
2021-02-11,16.3696
2021-02-12,16.2996
2021-02-13,16.2996
2021-02-14,16.2996
2021-02-15,16.2996
2021-02-16,16.3066
2021-02-17,16.3556
2021-02-18,16.2691
2021-02-19,16.1995
2021-02-20,16.1995
2021-02-21,16.1995
2021-02-22,16.2691
2021-02-23,16.2552
2021-02-24,16.2691
2021-02-25,16.1926
2021-02-26,16.2134
2021-02-27,16.2134
2021-02-28,16.2134
2021-03-01,16.2204
2021-03-02,16.2204
2021-03-03,16.2134
2021-03-04,16.1508
2021-03-05,16.2761
2021-03-06,16.2761
2021-03-07,16.2761
2021-03-08,16.2134
2021-03-09,16.1647
2021-03-10,16.2621
2021-03-11,16.29
2021-03-12,16.2204
2021-03-13,16.2204
2021-03-14,16.2204
2021-03-15,16.1926
2021-03-16,16.1856
2021-03-17,16.1995
2021-03-18,16.1856
2021-03-19,16.1647
2021-03-20,16.1647
2021-03-21,16.1647
2021-03-22,16.1786
2021-03-23,16.1508
2021-03-24,16.1717
2021-03-25,16.1926
2021-03-26,16.2134
2021-03-27,16.2134
2021-03-28,16.2134
2021-03-29,16.1299
2021-03-30,16.1926
2021-03-31,27.0314
2021-04-01,27.1486
2021-04-02,27.1486
2021-04-03,27.1486
2021-04-04,27.1486
2021-04-05,27.1721
2021-04-06,27.1838
2021-04-07,27.1955
2021-04-08,26.8907
2021-04-09,26.9024
2021-04-10,26.9024
2021-04-11,26.9024
2021-04-12,26.9142
2021-04-13,26.9142
2021-04-14,26.9142
2021-04-15,26.9142
2021-04-16,26.9259
2021-04-17,26.9259
2021-04-18,26.9259
2021-04-19,26.9142
2021-04-20,26.9259
2021-04-21,26.961
2021-04-22,26.9376
2021-04-23,26.9728
2021-04-24,26.9728
2021-04-25,26.9728
2021-04-26,26.961
2021-04-27,26.961
2021-04-28,26.961
2021-04-29,26.961
2021-04-30,26.877
2021-05-01,26.877
2021-05-02,26.877
2021-05-03,26.877
2021-05-04,26.877
2021-05-05,26.877
2021-05-06,26.877
2021-05-07,26.877
2021-05-08,26.877
2021-05-09,26.877
2021-05-10,26.877
2021-05-11,26.877
2021-05-12,26.877
2021-05-13,26.877
2021-05-14,26.877
2021-05-15,26.877
2021-05-16,26.877
2021-05-17,26.877
2021-05-18,26.877
2021-05-19,26.877
2021-05-20,26.877
2021-05-21,26.877
2021-05-22,26.877
2021-05-23,26.877
2021-05-24,26.877
2021-05-25,26.877
2021-05-26,26.877
2021-05-27,26.877
2021-05-28,26.877
2021-05-29,26.877
2021-05-30,26.877
2021-05-31,26.877
2021-06-01,26.877
2021-06-02,26.877
2021-06-03,26.877
2021-06-04,26.877
2021-06-05,26.877
2021-06-06,26.877
2021-06-07,26.877
2021-06-08,26.877
2021-06-09,26.877
2021-06-10,26.877
2021-06-11,26.877
2021-06-12,26.877
2021-06-13,26.877
2021-06-14,26.877
2021-06-15,26.877
2021-06-16,26.877
2021-06-17,26.877
2021-06-18,26.877
2021-06-19,26.877
2021-06-20,26.877
2021-06-21,26.877
2021-06-22,26.877
2021-06-23,26.877
2021-06-24,26.877
2021-06-25,26.877
2021-06-26,26.877
2021-06-27,26.877
2021-06-28,26.877
2021-06-29,26.877
2021-06-30,26.877
2021-07-01,26.877
2021-07-02,26.877
2021-07-03,26.877
2021-07-04,26.877
2021-07-05,26.877
2021-07-06,26.877
2021-07-07,26.877
2021-07-08,26.877
2021-07-09,26.877
2021-07-10,26.877
2021-07-11,26.877
2021-07-12,26.877
2021-07-13,26.877
2021-07-14,26.877
2021-07-15,26.877
2021-07-16,26.877
2021-07-17,26.877
2021-07-18,26.877
2021-07-19,26.877
2021-07-20,26.877
2021-07-21,26.877
2021-07-22,26.877
2021-07-23,26.877
2021-07-24,26.877
2021-07-25,26.877
2021-07-26,26.877
2021-07-27,26.877
2021-07-28,26.877
2021-07-29,26.877
2021-07-30,26.877
2021-07-31,26.877
2021-08-01,26.877
2021-08-02,26.877
2021-08-03,26.877
2021-08-04,26.877
2021-08-05,26.877
2021-08-06,26.877
2021-08-07,26.877
2021-08-08,26.877
2021-08-09,26.877
2021-08-10,26.877
2021-08-11,26.877
2021-08-12,26.877
2021-08-13,26.877
