,VSH US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-04-10,13.0709
2021-04-11,13.0709
2021-04-12,12.9783
2021-04-13,12.7768
2021-04-14,12.8585
2021-04-15,13.3105
2021-04-16,13.256
2021-04-17,13.256
2021-04-18,13.256
2021-04-19,13.2506
2021-04-20,12.9347
2021-04-21,13.2234
2021-04-22,13.011
2021-04-23,13.3105
2021-04-24,13.3105
2021-04-25,13.3105
2021-04-26,13.3323
2021-04-27,13.2996
2021-04-28,13.256
2021-04-29,13.2125
2021-04-30,12.5481
2021-05-01,12.5481
2021-05-02,12.5481
2021-05-03,12.2867
2021-05-04,11.9599
2021-05-05,12.1886
2021-05-06,12.2649
2021-05-07,12.559
2021-05-08,12.559
2021-05-09,12.559
2021-05-10,12.0198
2021-05-11,11.9762
2021-05-12,11.399
2021-05-13,11.7257
2021-05-14,12.0361
2021-05-15,12.0361
2021-05-16,12.0361
2021-05-17,12.047
2021-05-18,11.8728
2021-05-19,12.0416
2021-05-20,12.1777
2021-05-21,12.2594
2021-05-22,12.2594
2021-05-23,12.2594
2021-05-24,12.3738
2021-05-25,12.0743
2021-05-26,12.1832
2021-05-27,12.254
2021-05-28,12.2758
2021-05-29,12.2758
2021-05-30,12.2758
2021-05-31,12.2758
2021-06-01,12.1559
2021-06-02,12.047
2021-06-03,12.0307
2021-06-04,12.1995
2021-06-05,12.1995
2021-06-06,12.1995
2021-06-07,11.9436
2021-06-08,11.9653
2021-06-09,11.851
2021-06-10,11.742
2021-06-11,11.8074
2021-06-12,11.8074
2021-06-13,11.8074
2021-06-14,11.7257
2021-06-15,11.7203
2021-06-16,11.7039
2021-06-17,11.3336
2021-06-18,10.8271
2021-06-19,10.8271
2021-06-20,10.8271
2021-06-21,10.8489
2021-06-22,10.7944
2021-06-23,10.789
2021-06-24,11.0232
2021-06-25,11.1321
2021-06-26,11.1321
2021-06-27,11.1321
2021-06-28,11.2356
2021-06-29,11.4044
2021-06-30,11.448
2021-07-01,11.3881
2021-07-02,8.4239
2021-07-03,8.4239
2021-07-04,8.4239
2021-07-05,8.4239
2021-07-06,8.3371
2021-07-07,8.3164
2021-07-08,8.2007
2021-07-09,8.3164
2021-07-10,8.3164
2021-07-11,8.3164
2021-07-12,8.3867
2021-07-13,8.3412
2021-07-14,8.2503
2021-07-15,8.1553
2021-07-16,7.9528
2021-07-17,7.9528
2021-07-18,7.9528
2021-07-19,7.7834
2021-07-20,8.0148
2021-07-21,8.2379
2021-07-22,8.0892
2021-07-23,8.1264
2021-07-24,8.1264
2021-07-25,8.1264
2021-07-26,8.1883
2021-07-27,7.9487
2021-07-28,8.1388
2021-07-29,8.2834
2021-07-30,8.3288
2021-07-31,8.3288
2021-08-01,8.3288
2021-08-02,8.2255
2021-08-03,8.3082
2021-08-04,8.2627
2021-08-05,8.333
2021-08-06,8.4776
2021-08-07,8.4776
2021-08-08,8.4776
2021-08-09,8.4239
2021-08-10,8.4735
2021-08-11,8.6429
2021-08-12,8.552
2021-08-13,8.5479
2021-08-14,8.5479
2021-08-15,8.5479
2021-08-16,8.5892
2021-08-17,8.428
2021-08-18,8.2999
2021-08-19,8.0602
2021-08-20,8.1553
2021-08-21,8.1553
2021-08-22,8.1553
2021-08-23,8.2379
2021-08-24,8.2462
2021-08-25,8.2751
2021-08-26,8.1883
2021-08-27,8.5231
2021-08-28,8.5231
2021-08-29,8.5231
2021-08-30,8.5024
2021-08-31,8.2627
2021-09-01,8.1718
2021-09-02,8.1635
2021-09-03,8.0313
2021-09-04,8.0313
2021-09-05,8.0313
2021-09-06,8.0313
2021-09-07,7.9032
2021-09-08,7.7999
2021-09-09,7.804
2021-09-10,7.7958
2021-09-11,7.7958
2021-09-12,7.7958
2021-09-13,7.928
2021-09-14,7.7834
2021-09-15,7.928
2021-09-16,7.8702
2021-09-17,7.6429
2021-09-18,7.6429
2021-09-19,7.6429
2021-09-20,7.4858
2021-09-21,7.3991
2021-09-22,7.5313
2021-09-23,7.6635
2021-09-24,7.7503
2021-09-25,7.7503
2021-09-26,7.7503
2021-09-27,7.8743
2021-09-28,7.7049
2021-09-29,7.5644
2021-09-30,7.4858
2021-10-01,6.3554
2021-10-02,6.3554
2021-10-03,6.3554
2021-10-04,6.2852
2021-10-05,6.2641
2021-10-06,6.2711
2021-10-07,6.3483
2021-10-08,6.2465
2021-10-09,6.2465
2021-10-10,6.2465
2021-10-11,6.078
2021-10-12,5.8779
2021-10-13,5.9271
2021-10-14,6.0254
2021-10-15,5.9903
2021-10-16,5.9903
2021-10-17,5.9903
2021-10-18,5.9552
2021-10-19,5.9341
2021-10-20,5.9587
2021-10-21,6.0429
2021-10-22,5.9622
2021-10-23,5.9622
2021-10-24,5.9622
2021-10-25,6.0289
2021-10-26,5.9657
2021-10-27,5.8428
2021-10-28,5.9446
2021-10-29,5.9165
2021-10-30,5.9165
2021-10-31,5.9165
2021-11-01,6.2395
2021-11-02,6.3799
2021-11-03,6.3203
2021-11-04,6.2114
2021-11-05,6.3554
2021-11-06,6.3554
2021-11-07,6.3554
2021-11-08,6.3835
2021-11-09,6.3413
2021-11-10,6.4326
2021-11-11,6.4677
2021-11-12,6.5485
2021-11-13,6.5485
2021-11-14,6.5485
2021-11-15,6.5379
2021-11-16,6.7872
2021-11-17,6.738
2021-11-18,6.7205
2021-11-19,6.7521
2021-11-20,6.7521
2021-11-21,6.7521
2021-11-22,6.8293
2021-11-23,6.8539
2021-11-24,6.889
2021-11-25,6.889
2021-11-26,6.4466
2021-11-27,6.4466
2021-11-28,6.4466
2021-11-29,6.4747
2021-11-30,6.3203
2021-12-01,6.3624
2021-12-02,6.4677
2021-12-03,6.401
2021-12-04,6.401
2021-12-05,6.401
2021-12-06,6.4853
2021-12-07,6.6678
2021-12-08,6.6538
2021-12-09,6.5063
2021-12-10,6.5449
2021-12-11,6.5449
2021-12-12,6.5449
2021-12-13,6.4256
2021-12-14,6.3273
2021-12-15,6.4256
2021-12-16,6.2746
2021-12-17,6.236
2021-12-18,6.236
2021-12-19,6.236
2021-12-20,6.2079
2021-12-21,6.4677
2021-12-22,6.5169
2021-12-23,6.5941
2021-12-24,6.5941
2021-12-25,6.5941
2021-12-26,6.5941
2021-12-27,6.7696
2021-12-28,6.8258
2021-12-29,7.0856
2021-12-30,6.8188
2021-12-31,5.9649
2022-01-01,5.9649
2022-01-02,5.9649
2022-01-03,6.0657
2022-01-04,6.1176
2022-01-05,5.9618
2022-01-06,5.9863
2022-01-07,5.8183
2022-01-08,5.8183
2022-01-09,5.8183
2022-01-10,5.7664
2022-01-11,5.8213
2022-01-12,5.8641
2022-01-13,5.8946
2022-01-14,6.087
2022-01-15,6.087
2022-01-16,6.087
2022-01-17,6.087
2022-01-18,5.8946
2022-01-19,5.7389
2022-01-20,5.5923
2022-01-21,5.5587
2022-01-22,5.5587
2022-01-23,5.5587
2022-01-24,5.6045
2022-01-25,5.3999
2022-01-26,5.4976
2022-01-27,5.3571
2022-01-28,5.3571
2022-01-29,5.3571
2022-01-30,5.3571
2022-01-31,5.6106
2022-02-01,5.5587
2022-02-02,5.6717
2022-02-03,5.467
2022-02-04,5.4884
2022-02-05,5.4884
2022-02-06,5.4884
2022-02-07,5.5648
2022-02-08,5.4762
2022-02-09,5.4915
2022-02-10,5.3052
2022-02-11,5.3265
2022-02-12,5.3265
2022-02-13,5.3265
2022-02-14,5.3449
2022-02-15,5.5312
2022-02-16,5.5251
2022-02-17,5.409
2022-02-18,5.406
2022-02-19,5.406
2022-02-20,5.406
2022-02-21,5.406
2022-02-22,5.2746
2022-02-23,5.0799
2022-02-24,5.2083
2022-02-25,5.2724
2022-02-26,5.2724
2022-02-27,5.2724
2022-02-28,5.1502
2022-03-01,4.9026
2022-03-02,5.1869
2022-03-03,5.1319
2022-03-04,4.979
2022-03-05,4.979
2022-03-06,4.979
2022-03-07,4.7468
2022-03-08,4.7896
2022-03-09,4.9576
2022-03-10,4.9546
2022-03-11,4.9821
2022-03-12,4.9821
2022-03-13,4.9821
2022-03-14,4.9363
2022-03-15,5.0249
2022-03-16,5.2694
2022-03-17,5.3519
2022-03-18,5.4589
2022-03-19,5.4589
2022-03-20,5.4589
2022-03-21,5.5108
2022-03-22,5.523
2022-03-23,5.3458
2022-03-24,5.5108
2022-03-25,5.5414
2022-03-26,5.5414
2022-03-27,5.5414
2022-03-28,5.465
2022-03-29,5.5842
2022-03-30,5.4008
2022-03-31,5.2755
2022-04-01,4.726
2022-04-02,4.726
2022-04-03,4.726
2022-04-04,4.7315
2022-04-05,4.5764
2022-04-06,4.4878
2022-04-07,4.4546
2022-04-08,4.3468
2022-04-09,4.3468
2022-04-10,4.3468
2022-04-11,4.2722
2022-04-12,4.3689
2022-04-13,4.5043
