,GPC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-07-21,55.4128
2020-07-22,56.1636
2020-07-23,55.8367
2020-07-24,55.9286
2020-07-25,55.9286
2020-07-26,55.9286
2020-07-27,56.3321
2020-07-28,56.2146
2020-07-29,57.4659
2020-07-30,56.8696
2020-07-31,56.7011
2020-08-01,56.7011
2020-08-02,56.7011
2020-08-03,57.0637
2020-08-04,57.2322
2020-08-05,57.8655
2020-08-06,57.7633
2020-08-07,58.0289
2020-08-08,58.0289
2020-08-09,58.0289
2020-08-10,58.7031
2020-08-11,59.3159
2020-08-12,60.1331
2020-08-13,58.8512
2020-08-14,58.9533
2020-08-15,58.9533
2020-08-16,58.9533
2020-08-17,58.7797
2020-08-18,58.4426
2020-08-19,58.177
2020-08-20,57.7582
2020-08-21,58.2996
2020-08-22,58.2996
2020-08-23,58.2996
2020-08-24,59.1729
2020-08-25,58.9227
2020-08-26,58.8563
2020-08-27,58.4886
2020-08-28,59.1167
2020-08-29,59.1167
2020-08-30,59.1167
2020-08-31,58.892
2020-09-01,59.5151
2020-09-02,61.369
2020-09-03,60.1177
2020-09-04,60.4395
2020-09-05,60.4395
2020-09-06,60.4395
2020-09-07,60.4395
2020-09-08,60.4855
2020-09-09,61.5631
2020-09-10,61.1034
2020-09-11,62.0176
2020-09-12,62.0176
2020-09-13,62.0176
2020-09-14,63.274
2020-09-15,62.6713
2020-09-16,62.4262
2020-09-17,62.6662
2020-09-18,62.7837
2020-09-19,62.7837
2020-09-20,62.7837
2020-09-21,59.9696
2020-09-22,59.9084
2020-09-23,59.0095
2020-09-24,58.6367
2020-09-25,58.7184
2020-09-26,58.7184
2020-09-27,58.7184
2020-09-28,59.556
2020-09-29,59.0452
2020-09-30,51.3542
2020-10-01,51.2646
2020-10-02,51.6588
2020-10-03,51.6588
2020-10-04,51.6588
2020-10-05,52.3532
2020-10-06,51.959
2020-10-07,52.9581
2020-10-08,54.0333
2020-10-09,53.6928
2020-10-10,53.6928
2020-10-11,53.6928
2020-10-12,53.6211
2020-10-13,53.4733
2020-10-14,53.9347
2020-10-15,54.0915
2020-10-16,53.9302
2020-10-17,53.9302
2020-10-18,53.9302
2020-10-19,53.7914
2020-10-20,54.3469
2020-10-21,54.4231
2020-10-22,52.0831
2020-10-23,52.9793
2020-10-24,52.9793
2020-10-25,52.9793
2020-10-26,51.4782
2020-10-27,50.7792
2020-10-28,48.9062
2020-10-29,49.184
2020-10-30,49.2378
2020-10-31,49.2378
2020-11-01,49.2378
2020-11-02,50.6224
2020-11-03,52.697
2020-11-04,51.2004
2020-11-05,51.8322
2020-11-06,51.1377
2020-11-07,51.1377
2020-11-08,51.1377
2020-11-09,52.8494
2020-11-10,53.4453
2020-11-11,52.4685
2020-11-12,51.7023
2020-11-13,53.0913
2020-11-14,53.0913
2020-11-15,53.0913
2020-11-16,53.3333
2020-11-17,52.8449
2020-11-18,52.9211
2020-11-19,52.6298
2020-11-20,52.1638
2020-11-21,52.1638
2020-11-22,52.1638
2020-11-23,52.2355
2020-11-24,54.0458
2020-11-25,53.0555
2020-11-26,53.0555
2020-11-27,52.7911
2020-11-28,52.7911
2020-11-29,52.7911
2020-11-30,52.7956
2020-12-01,54.2743
2020-12-02,52.1728
2020-12-03,52.2982
2020-12-04,52.7418
2020-12-05,52.7418
2020-12-06,52.7418
2020-12-07,52.7418
2020-12-08,52.0249
2020-12-09,52.6074
2020-12-10,52.1996
2020-12-11,52.2086
2020-12-12,52.2086
2020-12-13,52.2086
2020-12-14,51.653
2020-12-15,51.998
2020-12-16,51.9577
2020-12-17,52.1593
2020-12-18,52.4192
2020-12-19,52.4192
2020-12-20,52.4192
2020-12-21,52.343
2020-12-22,52.9166
2020-12-23,53.2571
2020-12-24,53.2392
2020-12-25,53.2392
2020-12-26,53.2392
2020-12-27,53.2392
