,AZTA US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-02-10,187.2135
2021-02-11,193.9887
2021-02-12,200.0363
2021-02-13,200.0363
2021-02-14,200.0363
2021-02-15,200.0363
2021-02-16,195.0118
2021-02-17,188.4185
2021-02-18,181.9843
2021-02-19,189.7144
2021-02-20,189.7144
2021-02-21,189.7144
2021-02-22,177.801
2021-02-23,177.8692
2021-02-24,191.8288
2021-02-25,174.8909
2021-02-26,182.3708
2021-02-27,182.3708
2021-02-28,182.3708
2021-03-01,196.4896
2021-03-02,182.6664
2021-03-03,179.5971
2021-03-04,167.229
2021-03-05,170.1846
2021-03-06,170.1846
2021-03-07,170.1846
2021-03-08,162.6364
2021-03-09,178.6422
2021-03-10,175.4592
2021-03-11,188.4412
2021-03-12,184.4852
2021-03-13,184.4852
2021-03-14,184.4852
2021-03-15,194.3752
2021-03-16,191.3286
2021-03-17,196.3305
2021-03-18,183.4622
2021-03-19,188.464
2021-03-20,188.464
2021-03-21,188.464
2021-03-22,194.3525
2021-03-23,171.6624
2021-03-24,163.2275
2021-03-25,168.6159
2021-03-26,179.6426
2021-03-27,179.6426
2021-03-28,179.6426
2021-03-29,171.1509
2021-03-30,174.0042
2021-03-31,119.9632
2021-04-01,133.6986
2021-04-02,133.6986
2021-04-03,133.6986
2021-04-04,133.6986
2021-04-05,145.4936
2021-04-06,147.2659
2021-04-07,142.9268
2021-04-08,145.4936
2021-04-09,141.4295
2021-04-10,141.4295
2021-04-11,141.4295
2021-04-12,140.9712
2021-04-13,143.0185
2021-04-14,142.3462
2021-04-15,147.6937
2021-04-16,151.5592
2021-04-17,151.5592
2021-04-18,151.5592
2021-04-19,144.8978
2021-04-20,138.3127
2021-04-21,144.0116
2021-04-22,146.6242
2021-04-23,152.1856
2021-04-24,152.1856
2021-04-25,152.1856
2021-04-26,158.2665
2021-04-27,156.4025
2021-04-28,159.4124
2021-04-29,152.7357
2021-04-30,150.0313
2021-05-01,150.0313
2021-05-02,150.0313
2021-05-03,144.8825
2021-05-04,136.5557
2021-05-05,139.9017
2021-05-06,139.81
2021-05-07,146.7312
2021-05-08,146.7312
2021-05-09,146.7312
2021-05-10,132.0062
2021-05-11,135.8757
2021-05-12,127.6473
2021-05-13,132.2203
2021-05-14,136.0898
2021-05-15,136.0898
2021-05-16,136.0898
2021-05-17,134.0709
2021-05-18,135.0651
2021-05-19,138.5369
2021-05-20,142.3299
2021-05-21,140.5251
2021-05-22,140.5251
2021-05-23,140.5251
2021-05-24,144.5934
2021-05-25,142.1616
2021-05-26,145.1134
2021-05-27,147.8664
2021-05-28,151.3535
2021-05-29,151.3535
2021-05-30,151.3535
2021-05-31,151.3535
2021-06-01,148.2488
2021-06-02,148.8911
2021-06-03,144.7464
2021-06-04,146.8264
2021-06-05,146.8264
2021-06-06,146.8264
2021-06-07,147.1935
2021-06-08,147.1629
2021-06-09,142.4216
2021-06-10,146.0005
2021-06-11,147.5758
2021-06-12,147.5758
2021-06-13,147.5758
2021-06-14,149.61
2021-06-15,146.8876
2021-06-16,142.8958
2021-06-17,143.8134
2021-06-18,135.4321
2021-06-19,135.4321
2021-06-20,135.4321
2021-06-21,138.6133
2021-06-22,138.5369
2021-06-23,137.1145
2021-06-24,142.0393
2021-06-25,139.3934
2021-06-26,139.3934
2021-06-27,139.3934
2021-06-28,143.6911
2021-06-29,142.7734
2021-06-30,241.5781
2021-07-01,238.0186
2021-07-02,232.3027
2021-07-03,232.3027
2021-07-04,232.3027
2021-07-05,232.3027
2021-07-06,228.7172
2021-07-07,223.7807
2021-07-08,222.04
2021-07-09,227.4701
2021-07-10,227.4701
2021-07-11,227.4701
2021-07-12,229.4187
2021-07-13,224.3783
2021-07-14,221.6502
2021-07-15,219.5198
2021-07-16,216.6098
2021-07-17,216.6098
2021-07-18,216.6098
2021-07-19,214.921
2021-07-20,223.1312
2021-07-21,230.432
2021-07-22,225.5994
2021-07-23,227.7559
2021-07-24,227.7559
2021-07-25,227.7559
2021-07-26,223.8067
2021-07-27,219.4938
2021-07-28,226.7426
2021-07-29,224.9759
2021-07-30,225.2877
2021-07-31,225.2877
2021-08-01,225.2877
2021-08-02,222.3258
2021-08-03,220.5071
2021-08-04,224.6641
2021-08-05,229.1069
2021-08-06,215.4666
2021-08-07,215.4666
2021-08-08,215.4666
2021-08-09,220.4811
2021-08-10,215.3367
2021-08-11,212.141
2021-08-12,209.309
2021-08-13,208.7894
2021-08-14,208.7894
2021-08-15,208.7894
2021-08-16,207.5942
2021-08-17,198.2149
2021-08-18,195.357
2021-08-19,197.5654
2021-08-20,197.6953
2021-08-21,197.6953
2021-08-22,197.6953
2021-08-23,201.2028
2021-08-24,206.2172
2021-08-25,207.6722
2021-08-26,205.5937
2021-08-27,214.0896
2021-08-28,214.0896
2021-08-29,214.0896
2021-08-30,215.2588
2021-08-31,214.7651
2021-09-01,215.7524
2021-09-02,216.7397
2021-09-03,216.5579
2021-09-04,216.5579
2021-09-05,216.5579
2021-09-06,216.5579
2021-09-07,228.9251
2021-09-08,226.4568
2021-09-09,229.8084
2021-09-10,232.8223
2021-09-11,232.8223
2021-09-12,232.8223
2021-09-13,233.8356
2021-09-14,235.4464
2021-09-15,234.4331
2021-09-16,235.1866
2021-09-17,238.6162
2021-09-18,238.6162
2021-09-19,238.6162
2021-09-20,260.2068
2021-09-21,264.5977
2021-09-22,266.2605
2021-09-23,275.0423
2021-09-24,276.5492
2021-09-25,276.5492
2021-09-26,276.5492
2021-09-27,277.6664
2021-09-28,267.4816
2021-09-29,262.779
2021-09-30,855.4869
2021-10-01,864.0766
2021-10-02,864.0766
2021-10-03,864.0766
2021-10-04,843.8355
2021-10-05,849.8738
2021-10-06,841.114
2021-10-07,858.2084
2021-10-08,831.0785
2021-10-09,831.0785
2021-10-10,831.0785
2021-10-11,825.2953
2021-10-12,830.3981
2021-10-13,824.1897
2021-10-14,845.1962
2021-10-15,864.842
2021-10-16,864.842
2021-10-17,864.842
2021-10-18,873.5167
2021-10-19,879.5551
2021-10-20,889.9307
2021-10-21,896.9046
2021-10-22,908.726
2021-10-23,908.726
2021-10-24,908.726
2021-10-25,919.1017
2021-10-26,915.0195
2021-10-27,921.6531
2021-10-28,951.5895
2021-10-29,975.4026
2021-10-30,975.4026
2021-10-31,975.4026
2021-11-01,1000.8315
2021-11-02,1005.5091
2021-11-03,1010.6969
2021-11-04,1025.325
2021-11-05,1030.2577
2021-11-06,1030.2577
2021-11-07,1030.2577
2021-11-08,1040.8885
2021-11-09,1032.2137
2021-11-10,990.6259
2021-11-11,953.5208
2021-11-12,962.712
2021-11-13,962.712
2021-11-14,962.712
2021-11-15,958.7121
2021-11-16,1007.6471
2021-11-17,1002.1153
2021-11-18,1002.4557
2021-11-19,1002.2855
2021-11-20,1002.2855
2021-11-21,1002.2855
2021-11-22,977.1798
2021-11-23,972.9246
2021-11-24,968.9247
2021-11-25,968.9247
2021-11-26,943.3934
2021-11-27,943.3934
2021-11-28,943.3934
2021-11-29,974.6266
2021-11-30,947.5635
2021-12-01,947.5635
2021-12-02,915.9047
2021-12-03,889.9479
2021-12-04,889.9479
2021-12-05,889.9479
2021-12-06,881.9481
2021-12-07,909.7772
2021-12-08,921.4365
2021-12-09,874.7994
2021-12-10,857.4381
2021-12-11,857.4381
2021-12-12,857.4381
2021-12-13,840.4173
2021-12-14,809.6946
2021-12-15,834.1196
2021-12-16,782.358
2021-12-17,798.0507
2021-12-18,798.0507
2021-12-19,798.0507
2021-12-20,798.1364
2021-12-21,830.6365
2021-12-22,838.0969
2021-12-23,850.9598
2021-12-24,850.9598
2021-12-25,850.9598
2021-12-26,850.9598
2021-12-27,867.3384
2021-12-28,866.3094
2021-12-29,865.9664
2021-12-30,869.8252
2021-12-31,944.0534
2022-01-01,944.0534
2022-01-02,944.0534
2022-01-03,950.5635
2022-01-04,949.4475
2022-01-05,871.2329
2022-01-06,871.0469
2022-01-07,855.5156
2022-01-08,855.5156
2022-01-09,855.5156
2022-01-10,837.0082
2022-01-11,861.0957
2022-01-12,858.2126
2022-01-13,801.5744
2022-01-14,799.5284
2022-01-15,799.5284
2022-01-16,799.5284
2022-01-17,799.5284
2022-01-18,741.3092
2022-01-19,735.6361
2022-01-20,726.8939
2022-01-21,707.4565
2022-01-22,707.4565
2022-01-23,707.4565
2022-01-24,744.6572
2022-01-25,722.8018
2022-01-26,730.986
