,SIGI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-04-26,12.1855
2020-04-27,12.6212
2020-04-28,12.6832
2020-04-29,13.0375
2020-04-30,12.536
2020-05-01,12.0229
2020-05-02,12.0229
2020-05-03,12.0229
2020-05-04,12.1216
2020-05-05,12.292
2020-05-06,11.5853
2020-05-07,11.7692
2020-05-08,12.1526
2020-05-09,12.1526
2020-05-10,12.1526
2020-05-11,12.0287
2020-05-12,11.595
2020-05-13,11.1361
2020-05-14,11.3955
2020-05-15,11.837
2020-05-16,11.837
2020-05-17,11.837
2020-05-18,12.6967
2020-05-19,12.3559
2020-05-20,12.6425
2020-05-21,12.8981
2020-05-22,12.9736
2020-05-23,12.9736
2020-05-24,12.9736
2020-05-25,12.9736
2020-05-26,13.0869
2020-05-27,13.4751
2020-05-28,13.1169
2020-05-29,12.9852
2020-05-30,12.9852
2020-05-31,12.9852
2020-06-01,12.9252
2020-06-02,13.1788
2020-06-03,13.4732
2020-06-04,13.3802
2020-06-05,13.9572
2020-06-06,13.9572
2020-06-07,13.9572
2020-06-08,14.0521
2020-06-09,13.7539
2020-06-10,13.4344
2020-06-11,12.5651
2020-06-12,12.5573
2020-06-13,12.5573
2020-06-14,12.5573
2020-06-15,12.8981
2020-06-16,13.0007
2020-06-17,12.8439
2020-06-18,12.9078
2020-06-19,12.78
2020-06-20,12.78
2020-06-21,12.78
2020-06-22,12.7567
2020-06-23,12.8671
2020-06-24,12.6115
2020-06-25,12.8342
2020-06-26,12.5205
2020-06-27,12.5205
2020-06-28,12.5205
2020-06-29,12.9775
2020-06-30,15.1147
2020-07-01,14.852
2020-07-02,14.8452
2020-07-03,14.8452
2020-07-04,14.8452
2020-07-05,14.8452
2020-07-06,14.9297
2020-07-07,14.8155
2020-07-08,15.0302
2020-07-09,14.7927
2020-07-10,15.2404
2020-07-11,15.2404
2020-07-12,15.2404
2020-07-13,15.2495
2020-07-14,15.4733
2020-07-15,15.8891
2020-07-16,16.0924
2020-07-17,15.9302
2020-07-18,15.9302
2020-07-19,15.9302
2020-07-20,15.8799
2020-07-21,15.8685
2020-07-22,15.9964
2020-07-23,16.2134
2020-07-24,16.2683
2020-07-25,16.2683
2020-07-26,16.2683
2020-07-27,16.2043
2020-07-28,16.0558
