,LLY US Equity
,BEST_EPS_NXT_YR
2020-06-22,11.741
2020-06-23,11.741
2020-06-24,11.741
2020-06-25,11.741
2020-06-26,11.741
2020-06-27,11.741
2020-06-28,11.882
2020-06-29,11.882
2020-06-30,11.882
2020-07-01,11.882
2020-07-02,13.168
2020-07-03,13.168
2020-07-04,13.168
2020-07-05,13.168
2020-07-06,13.297
2020-07-07,13.297
2020-07-08,13.297
2020-07-09,13.297
2020-07-10,13.297
2020-07-11,13.297
2020-07-12,13.313
2020-07-13,13.577
2020-07-14,13.233
2020-07-15,13.246
2020-07-16,13.246
2020-07-17,13.25
2020-07-18,13.25
2020-07-19,13.25
2020-07-20,13.358
2020-07-21,13.358
2020-07-22,13.358
2020-07-23,13.357
2020-07-24,13.357
2020-07-25,13.357
2020-07-26,13.357
2020-07-27,13.357
2020-07-28,13.357
2020-07-29,13.357
2020-07-30,13.325
2020-07-31,13.327
2020-08-01,13.35
2020-08-02,13.35
2020-08-03,13.412
2020-08-04,13.412
2020-08-05,13.412
2020-08-06,13.412
2020-08-07,13.412
2020-08-08,13.412
2020-08-09,13.412
2020-08-10,13.412
2020-08-11,13.51
2020-08-12,13.51
2020-08-13,13.51
2020-08-14,13.51
2020-08-15,13.51
2020-08-16,13.51
2020-08-17,13.51
2020-08-18,13.51
2020-08-19,13.51
2020-08-20,13.51
2020-08-21,13.533
2020-08-22,13.533
2020-08-23,13.533
2020-08-24,13.533
2020-08-25,13.533
2020-08-26,13.533
2020-08-27,13.533
2020-08-28,13.533
2020-08-29,13.533
2020-08-30,13.533
2020-08-31,13.533
2020-09-01,13.533
2020-09-02,13.533
2020-09-03,13.533
2020-09-04,13.533
2020-09-05,13.533
2020-09-06,13.533
2020-09-07,13.533
2020-09-08,13.533
2020-09-09,13.533
2020-09-10,13.533
2020-09-11,13.533
2020-09-12,13.533
2020-09-13,13.533
2020-09-14,13.533
2020-09-15,13.533
2020-09-16,13.533
2020-09-17,13.533
2020-09-18,13.533
2020-09-19,13.533
2020-09-20,13.533
2020-09-21,13.533
2020-09-22,13.543
2020-09-23,13.543
2020-09-24,13.56
2020-09-25,13.56
2020-09-26,13.56
2020-09-27,13.56
2020-09-28,13.354
2020-09-29,13.354
2020-09-30,13.354
2020-10-01,13.354
2020-10-02,13.354
2020-10-03,13.354
2020-10-04,13.354
2020-10-05,13.354
2020-10-06,13.354
2020-10-07,13.354
2020-10-08,13.354
2020-10-09,13.354
2020-10-10,13.354
2020-10-11,13.354
2020-10-12,13.283
2020-10-13,13.283
2020-10-14,13.338
2020-10-15,13.338
2020-10-16,13.325
2020-10-17,13.325
2020-10-18,13.325
2020-10-19,13.298
2020-10-20,13.298
2020-10-21,13.298
2020-10-22,13.479
2020-10-23,13.479
2020-10-24,13.479
2020-10-25,13.479
2020-10-26,13.479
2020-10-27,13.449
2020-10-28,13.361
2020-10-29,13.322
2020-10-30,13.322
2020-10-31,13.322
2020-11-01,13.322
2020-11-02,13.322
2020-11-03,13.322
2020-11-04,13.322
2020-11-05,13.322
2020-11-06,13.322
2020-11-07,13.322
2020-11-08,13.322
2020-11-09,13.223
2020-11-10,13.223
2020-11-11,13.223
2020-11-12,13.223
2020-11-13,13.223
2020-11-14,13.223
2020-11-15,13.223
2020-11-16,13.155
2020-11-17,13.155
2020-11-18,13.155
2020-11-19,13.155
2020-11-20,13.155
2020-11-21,13.155
2020-11-22,13.155
2020-11-23,13.105
2020-11-24,13.105
2020-11-25,13.105
2020-11-26,13.105
2020-11-27,13.105
2020-11-28,13.105
2020-11-29,13.105
2020-11-30,13.105
2020-12-01,13.105
2020-12-02,13.105
2020-12-03,13.105
2020-12-04,13.071
2020-12-05,13.071
2020-12-06,13.071
2020-12-07,12.942
2020-12-08,12.942
2020-12-09,12.942
2020-12-10,12.942
2020-12-11,12.942
2020-12-12,12.942
2020-12-13,12.908
2020-12-14,12.908
2020-12-15,12.951
2020-12-16,12.989
2020-12-17,13.086
2020-12-18,13.086
2020-12-19,13.086
2020-12-20,13.086
2020-12-21,13.185
2020-12-22,13.185
2020-12-23,13.185
2020-12-24,13.185
2020-12-25,13.185
2020-12-26,13.185
2020-12-27,13.185
2020-12-28,13.185
2020-12-29,13.185
2020-12-30,13.185
2020-12-31,13.185
2021-01-01,13.185
2021-01-02,13.185
2021-01-03,13.185
2021-01-04,13.155
2021-01-05,13.155
2021-01-06,13.155
2021-01-07,13.155
2021-01-08,13.155
2021-01-09,13.155
2021-01-10,13.155
2021-01-11,13.289
2021-01-12,13.287
2021-01-13,13.287
2021-01-14,13.287
2021-01-15,13.287
2021-01-16,13.287
2021-01-17,13.287
2021-01-18,13.33
2021-01-19,13.33
2021-01-20,13.332
2021-01-21,13.332
2021-01-22,13.374
2021-01-23,13.374
2021-01-24,13.374
2021-01-25,13.352
2021-01-26,13.353
2021-01-27,13.522
2021-01-28,13.566
2021-01-29,13.556
2021-01-30,13.556
2021-01-31,13.422
2021-02-01,13.596
2021-02-02,13.596
2021-02-03,13.518
2021-02-04,13.503
2021-02-05,13.503
2021-02-06,13.503
2021-02-07,13.503
2021-02-08,13.503
2021-02-09,13.503
2021-02-10,13.503
2021-02-11,13.503
2021-02-12,13.503
2021-02-13,13.503
2021-02-14,13.503
2021-02-15,13.503
2021-02-16,13.505
2021-02-17,13.521
2021-02-18,13.521
2021-02-19,13.521
2021-02-20,13.521
2021-02-21,13.521
2021-02-22,13.521
2021-02-23,13.522
2021-02-24,13.522
2021-02-25,13.522
2021-02-26,13.542
2021-02-27,13.542
2021-02-28,13.542
2021-03-01,13.542
2021-03-02,13.542
2021-03-03,13.542
2021-03-04,13.542
2021-03-05,13.542
2021-03-06,13.532
2021-03-07,13.532
2021-03-08,13.532
2021-03-09,13.532
2021-03-10,13.532
2021-03-11,13.532
2021-03-12,13.532
2021-03-13,13.543
2021-03-14,13.543
2021-03-15,13.543
2021-03-16,13.576
2021-03-17,13.542
2021-03-18,13.542
2021-03-19,13.542
2021-03-20,13.542
2021-03-21,13.542
2021-03-22,13.542
2021-03-23,13.542
2021-03-24,13.542
2021-03-25,13.542
2021-03-26,13.542
2021-03-27,13.542
2021-03-28,13.542
2021-03-29,13.542
2021-03-30,13.542
2021-03-31,13.542
2021-04-01,13.542
2021-04-02,13.542
2021-04-03,13.542
2021-04-04,13.542
2021-04-05,13.542
2021-04-06,13.539
2021-04-07,13.539
2021-04-08,13.539
2021-04-09,13.533
2021-04-10,13.533
2021-04-11,13.533
2021-04-12,13.533
2021-04-13,13.765
2021-04-14,13.713
2021-04-15,13.713
2021-04-16,13.753
2021-04-17,13.753
2021-04-18,13.753
2021-04-19,13.752
2021-04-20,13.752
2021-04-21,13.743
2021-04-22,13.743
2021-04-23,13.743
2021-04-24,13.743
2021-04-25,13.743
2021-04-26,13.694
2021-04-27,13.559
2021-04-28,13.534
2021-04-29,13.471
2021-04-30,13.393
2021-05-01,13.393
2021-05-02,13.393
2021-05-03,13.393
2021-05-04,13.393
2021-05-05,13.393
2021-05-06,13.393
2021-05-07,13.393
2021-05-08,13.393
2021-05-09,13.393
2021-05-10,13.393
2021-05-11,13.393
2021-05-12,13.393
2021-05-13,13.393
2021-05-14,13.393
2021-05-15,13.393
2021-05-16,13.393
2021-05-17,13.393
2021-05-18,13.393
2021-05-19,13.393
2021-05-20,13.393
2021-05-21,13.393
2021-05-22,13.418
2021-05-23,13.418
2021-05-24,13.418
2021-05-25,13.418
2021-05-26,13.418
2021-05-27,13.418
2021-05-28,13.418
2021-05-29,13.418
2021-05-30,13.418
2021-05-31,13.418
2021-06-01,13.418
2021-06-02,13.418
2021-06-03,13.418
2021-06-04,13.418
2021-06-05,13.418
2021-06-06,13.418
2021-06-07,13.553
2021-06-08,13.553
2021-06-09,13.553
2021-06-10,13.553
2021-06-11,13.553
2021-06-12,13.553
2021-06-13,13.553
2021-06-14,13.549
2021-06-15,13.549
2021-06-16,13.549
2021-06-17,13.549
2021-06-18,13.549
2021-06-19,13.544
2021-06-20,13.544
2021-06-21,13.544
2021-06-22,13.544
2021-06-23,13.544
2021-06-24,13.713
2021-06-25,13.977
2021-06-26,13.977
2021-06-27,13.977
2021-06-28,13.977
2021-06-29,13.977
2021-06-30,14.543
2021-07-01,14.744
2021-07-02,14.544
2021-07-03,14.544
2021-07-04,14.544
2021-07-05,14.544
2021-07-06,14.577
2021-07-07,14.577
2021-07-08,14.988
2021-07-09,14.988
2021-07-10,14.988
2021-07-11,14.988
2021-07-12,14.988
2021-07-13,14.989
2021-07-14,14.989
2021-07-15,15.002
2021-07-16,15.035
2021-07-17,15.035
2021-07-18,15.035
2021-07-19,15.058
2021-07-20,15.058
2021-07-21,15.058
2021-07-22,15.058
2021-07-23,15.058
2021-07-24,15.058
2021-07-25,15.058
2021-07-26,15.058
2021-07-27,15.058
2021-07-28,15.04
2021-07-29,15.04
2021-07-30,15.04
2021-07-31,15.04
2021-08-01,15.04
2021-08-02,15.04
2021-08-03,15.005
2021-08-04,15.286
2021-08-05,15.286
2021-08-06,15.286
2021-08-07,15.286
2021-08-08,15.286
2021-08-09,15.286
2021-08-10,15.286
2021-08-11,15.286
2021-08-12,15.286
2021-08-13,15.286
2021-08-14,15.286
2021-08-15,15.286
2021-08-16,15.286
2021-08-17,15.286
2021-08-18,15.286
2021-08-19,15.286
2021-08-20,15.286
2021-08-21,15.286
2021-08-22,15.286
2021-08-23,15.286
2021-08-24,15.286
2021-08-25,15.286
2021-08-26,15.286
2021-08-27,15.286
2021-08-28,15.286
2021-08-29,15.286
2021-08-30,15.172
2021-08-31,15.172
2021-09-01,15.496
2021-09-02,15.496
2021-09-03,15.496
2021-09-04,15.496
2021-09-05,15.496
2021-09-06,15.496
2021-09-07,15.496
2021-09-08,15.496
2021-09-09,15.496
2021-09-10,15.496
2021-09-11,15.496
2021-09-12,15.496
2021-09-13,15.496
2021-09-14,15.496
2021-09-15,15.496
2021-09-16,15.496
2021-09-17,15.496
2021-09-18,15.496
2021-09-19,15.496
2021-09-20,15.463
2021-09-21,15.463
2021-09-22,15.463
2021-09-23,15.463
2021-09-24,15.473
2021-09-25,15.473
2021-09-26,15.473
2021-09-27,15.473
2021-09-28,15.473
2021-09-29,15.473
2021-09-30,15.473
2021-10-01,15.473
2021-10-02,15.473
2021-10-03,15.473
2021-10-04,15.473
2021-10-05,15.468
2021-10-06,15.468
2021-10-07,15.335
2021-10-08,15.336
2021-10-09,15.336
2021-10-10,15.336
2021-10-11,15.336
2021-10-12,15.336
2021-10-13,15.336
2021-10-14,15.325
2021-10-15,15.325
2021-10-16,15.325
2021-10-17,15.325
2021-10-18,15.316
2021-10-19,15.433
2021-10-20,15.433
2021-10-21,15.433
2021-10-22,15.433
2021-10-23,15.433
2021-10-24,15.433
2021-10-25,15.433
2021-10-26,15.461
2021-10-27,15.64
2021-10-28,15.64
2021-10-29,15.64
2021-10-30,15.64
2021-10-31,15.64
2021-11-01,15.64
2021-11-02,15.64
2021-11-03,15.64
2021-11-04,15.64
2021-11-05,15.64
2021-11-06,15.64
2021-11-07,15.64
2021-11-08,15.64
2021-11-09,15.64
2021-11-10,15.64
2021-11-11,15.64
2021-11-12,15.64
2021-11-13,15.64
2021-11-14,15.64
2021-11-15,15.64
2021-11-16,15.64
2021-11-17,15.64
2021-11-18,15.599
2021-11-19,15.599
2021-11-20,15.599
2021-11-21,15.599
2021-11-22,15.599
2021-11-23,15.582
2021-11-24,15.582
2021-11-25,15.582
2021-11-26,15.582
2021-11-27,15.582
2021-11-28,15.582
2021-11-29,15.582
2021-11-30,15.582
2021-12-01,15.245
2021-12-02,15.245
2021-12-03,15.245
2021-12-04,15.245
2021-12-05,15.245
2021-12-06,15.236
2021-12-07,15.236
2021-12-08,15.196
2021-12-09,15.196
2021-12-10,15.196
2021-12-11,15.196
2021-12-12,15.196
2021-12-13,15.196
2021-12-14,14.979
2021-12-15,14.934
2021-12-16,15.065
2021-12-17,15.107
2021-12-18,15.107
2021-12-19,15.107
2021-12-20,15.044
2021-12-21,15.044
2021-12-22,15.044
2021-12-23,15.044
2021-12-24,15.044
2021-12-25,15.044
2021-12-26,15.044
2021-12-27,15.044
2021-12-28,15.044
2021-12-29,15.044
2021-12-30,15.044
2021-12-31,15.044
2022-01-01,15.044
2022-01-02,15.044
2022-01-03,15.03
2022-01-04,15.142
2022-01-05,15.142
2022-01-06,15.139
2022-01-07,15.139
2022-01-08,15.139
2022-01-09,15.139
2022-01-10,15.139
2022-01-11,15.139
2022-01-12,15.139
2022-01-13,15.139
2022-01-14,15.139
2022-01-15,15.139
2022-01-16,15.139
2022-01-17,15.139
2022-01-18,15.139
2022-01-19,15.139
2022-01-20,15.143
2022-01-21,15.143
2022-01-22,15.143
2022-01-23,15.143
2022-01-24,15.143
2022-01-25,15.157
2022-01-26,15.17
2022-01-27,15.17
2022-01-28,15.17
2022-01-29,15.17
2022-01-30,15.17
2022-01-31,15.168
2022-02-01,15.188
2022-02-02,15.188
2022-02-03,15.061
2022-02-04,15.061
2022-02-05,15.061
2022-02-06,15.061
2022-02-07,14.984
2022-02-08,14.984
2022-02-09,14.984
2022-02-10,14.984
2022-02-11,14.934
2022-02-12,14.934
2022-02-13,14.934
2022-02-14,14.934
2022-02-15,14.934
2022-02-16,14.934
2022-02-17,14.929
2022-02-18,14.929
2022-02-19,14.929
2022-02-20,14.929
2022-02-21,14.777
2022-02-22,14.777
2022-02-23,14.777
2022-02-24,14.895
2022-02-25,14.895
2022-02-26,14.895
2022-02-27,14.895
2022-02-28,14.895
2022-03-01,14.895
2022-03-02,14.895
2022-03-03,14.895
2022-03-04,14.895
2022-03-05,14.895
2022-03-06,14.895
2022-03-07,15.022
2022-03-08,15.022
2022-03-09,15.022
2022-03-10,15.022
2022-03-11,15.022
2022-03-12,15.022
2022-03-13,15.022
2022-03-14,15.022
2022-03-15,15.022
2022-03-16,15.022
2022-03-17,15.022
2022-03-18,15.127
2022-03-19,15.127
2022-03-20,15.127
2022-03-21,15.127
2022-03-22,15.124
2022-03-23,15.124
2022-03-24,15.124
2022-03-25,15.124
2022-03-26,15.124
2022-03-27,15.124
2022-03-28,15.124
2022-03-29,15.124
2022-03-30,15.124
2022-03-31,15.123
2022-04-01,15.122
2022-04-02,15.122
2022-04-03,15.122
2022-04-04,15.029
2022-04-05,15.029
2022-04-06,15.029
2022-04-07,15.029
2022-04-08,15.029
2022-04-09,15.029
2022-04-10,15.029
2022-04-11,15.029
2022-04-12,15.038
2022-04-13,15.051
2022-04-14,15.051
2022-04-15,15.051
2022-04-16,15.051
2022-04-17,15.051
2022-04-18,15.042
2022-04-19,15.042
2022-04-20,14.973
2022-04-21,14.973
2022-04-22,14.973
2022-04-23,14.973
2022-04-24,14.973
2022-04-25,14.973
2022-04-26,14.966
2022-04-27,14.966
2022-04-28,14.968
2022-04-29,14.979
2022-04-30,14.965
2022-05-01,14.949
2022-05-02,14.859
2022-05-03,14.87
2022-05-04,14.87
2022-05-05,15.012
2022-05-06,15.012
2022-05-07,15.012
2022-05-08,15.012
2022-05-09,15.012
2022-05-10,15.012
2022-05-11,15.111
2022-05-12,15.128
2022-05-13,15.128
2022-05-14,15.128
2022-05-15,15.128
2022-05-16,15.128
2022-05-17,15.128
2022-05-18,15.128
2022-05-19,15.128
2022-05-20,15.128
2022-05-21,15.128
2022-05-22,15.183
2022-05-23,15.183
2022-05-24,15.183
2022-05-25,15.183
2022-05-26,15.183
2022-05-27,15.183
2022-05-28,15.183
2022-05-29,15.183
2022-05-30,15.183
2022-05-31,15.183
2022-06-01,15.198
2022-06-02,15.198
2022-06-03,14.9
2022-06-04,14.9
2022-06-05,14.9
2022-06-06,14.9
2022-06-07,14.9
2022-06-08,14.683
2022-06-09,14.683
2022-06-10,14.683
2022-06-11,14.683
2022-06-12,14.683
2022-06-13,14.683
2022-06-14,14.683
2022-06-15,14.683
2022-06-16,14.683
2022-06-17,14.683
2022-06-18,14.683
2022-06-19,14.683
2022-06-20,14.683
2022-06-21,14.683
2022-06-22,14.71
2022-06-23,14.71
2022-06-24,14.71
2022-06-25,14.71
2022-06-26,14.71
2022-06-27,14.71
2022-06-28,14.71
2022-06-29,14.71
2022-06-30,14.709
2022-07-01,14.709
2022-07-02,14.709
2022-07-03,14.709
2022-07-04,14.709
2022-07-05,14.709
2022-07-06,14.709
2022-07-07,14.784
2022-07-08,14.83
2022-07-09,14.83
2022-07-10,14.83
2022-07-11,14.83
2022-07-12,14.83
2022-07-13,14.829
2022-07-14,14.829
2022-07-15,14.829
2022-07-16,14.829
2022-07-17,14.867
2022-07-18,14.821
2022-07-19,14.821
2022-07-20,14.821
2022-07-21,14.821
2022-07-22,14.882
2022-07-23,14.882
2022-07-24,14.882
2022-07-25,14.882
2022-07-26,14.882
2022-07-27,14.882
2022-07-28,14.882
2022-07-29,14.882
2022-07-30,14.882
2022-07-31,14.882
2022-08-01,14.882
2022-08-02,14.882
2022-08-03,14.882
2022-08-04,14.912
2022-08-05,14.887
2022-08-06,14.887
2022-08-07,14.887
2022-08-08,14.887
2022-08-09,14.918
2022-08-10,14.918
2022-08-11,14.918
2022-08-12,14.918
2022-08-13,14.918
2022-08-14,14.918
2022-08-15,14.918
2022-08-16,14.918
2022-08-17,14.918
2022-08-18,14.918
2022-08-19,14.918
2022-08-20,14.918
2022-08-21,14.918
2022-08-22,14.918
2022-08-23,14.918
2022-08-24,14.918
2022-08-25,14.918
2022-08-26,14.918
2022-08-27,14.918
2022-08-28,14.918
2022-08-29,14.918
2022-08-30,14.918
2022-08-31,14.918
2022-09-01,15.071
2022-09-02,15.071
2022-09-03,15.071
2022-09-04,15.071
2022-09-05,15.071
2022-09-06,15.071
2022-09-07,15.071
2022-09-08,15.071
2022-09-09,15.071
2022-09-10,15.071
2022-09-11,15.071
2022-09-12,15.071
2022-09-13,15.332
2022-09-14,15.332
2022-09-15,15.332
2022-09-16,15.332
2022-09-17,15.332
2022-09-18,15.332
2022-09-19,15.418
2022-09-20,15.418
2022-09-21,15.418
2022-09-22,15.418
2022-09-23,15.418
2022-09-24,15.418
2022-09-25,15.418
2022-09-26,15.418
2022-09-27,14.844
2022-09-28,14.844
2022-09-29,14.844
2022-09-30,14.844
2022-10-01,14.844
2022-10-02,14.844
2022-10-03,14.844
2022-10-04,14.844
2022-10-05,14.844
2022-10-06,14.844
2022-10-07,14.844
2022-10-08,14.844
2022-10-09,14.844
2022-10-10,14.844
2022-10-11,14.897
2022-10-12,14.895
2022-10-13,14.895
2022-10-14,15.148
2022-10-15,15.148
2022-10-16,15.148
2022-10-17,15.148
2022-10-18,15.136
2022-10-19,15.136
2022-10-20,15.25
2022-10-21,15.25
2022-10-22,15.25
2022-10-23,15.25
2022-10-24,15.466
2022-10-25,15.466
2022-10-26,15.466
2022-10-27,15.466
2022-10-28,15.466
2022-10-29,15.466
2022-10-30,15.466
2022-10-31,15.39
2022-11-01,15.674
2022-11-02,15.724
2022-11-03,15.724
2022-11-04,15.774
2022-11-05,15.774
2022-11-06,15.774
2022-11-07,15.774
2022-11-08,15.774
2022-11-09,15.774
2022-11-10,15.774
2022-11-11,15.774
2022-11-12,15.774
2022-11-13,15.774
2022-11-14,15.774
2022-11-15,15.524
2022-11-16,15.524
2022-11-17,15.524
2022-11-18,15.524
2022-11-19,15.524
2022-11-20,15.524
2022-11-21,15.503
2022-11-22,15.961
2022-11-23,15.961
2022-11-24,15.961
2022-11-25,15.961
2022-11-26,15.961
2022-11-27,15.961
2022-11-28,15.961
2022-11-29,15.961
2022-11-30,15.884
2022-12-01,15.884
2022-12-02,15.884
2022-12-03,15.884
2022-12-04,15.884
2022-12-05,15.667
2022-12-06,15.667
2022-12-07,15.793
2022-12-08,15.793
2022-12-09,15.793
2022-12-10,15.793
2022-12-11,15.793
2022-12-12,15.793
2022-12-13,15.556
2022-12-14,15.819
2022-12-15,15.819
2022-12-16,15.757
2022-12-17,15.757
2022-12-18,15.757
2022-12-19,15.757
2022-12-20,15.757
2022-12-21,15.757
2022-12-22,15.757
2022-12-23,15.757
2022-12-24,15.757
2022-12-25,15.757
2022-12-26,15.757
2022-12-27,15.757
2022-12-28,15.757
2022-12-29,15.757
2022-12-30,15.757
2022-12-31,15.757
2023-01-01,15.757
2023-01-02,15.757
2023-01-03,15.679
2023-01-04,15.679
2023-01-05,15.679
2023-01-06,15.6
2023-01-07,15.6
2023-01-08,15.6
2023-01-09,15.6
2023-01-10,15.6
2023-01-11,15.6
2023-01-12,15.713
2023-01-13,15.713
2023-01-14,15.713
2023-01-15,15.713
2023-01-16,15.713
2023-01-17,15.713
2023-01-18,15.713
2023-01-19,15.713
2023-01-20,15.713
2023-01-21,15.713
2023-01-22,15.713
2023-01-23,15.698
2023-01-24,15.698
2023-01-25,15.757
2023-01-26,15.792
2023-01-27,15.753
2023-01-28,15.753
2023-01-29,15.753
2023-01-30,15.753
2023-01-31,15.753
2023-02-01,15.753
2023-02-02,15.54
2023-02-03,15.756
2023-02-04,15.75
2023-02-05,15.75
2023-02-06,15.75
2023-02-07,15.75
2023-02-08,15.743
2023-02-09,15.743
2023-02-10,15.743
2023-02-11,15.743
2023-02-12,15.743
2023-02-13,15.678
2023-02-14,15.678
2023-02-15,15.678
2023-02-16,15.843
2023-02-17,15.843
2023-02-18,15.843
2023-02-19,15.843
2023-02-20,15.959
2023-02-21,15.959
2023-02-22,15.959
2023-02-23,15.959
2023-02-24,15.959
2023-02-25,15.959
2023-02-26,15.959
2023-02-27,15.959
2023-02-28,15.959
2023-03-01,15.964
2023-03-02,16.116
2023-03-03,16.116
2023-03-04,16.116
2023-03-05,16.116
2023-03-06,16.039
2023-03-07,16.039
2023-03-08,16.039
2023-03-09,16.039
2023-03-10,16.062
2023-03-11,16.062
2023-03-12,16.071
2023-03-13,16.071
2023-03-14,16.071
2023-03-15,16.071
2023-03-16,16.071
2023-03-17,16.071
2023-03-18,16.071
2023-03-19,16.071
2023-03-20,16.071
2023-03-21,16.071
2023-03-22,16.071
2023-03-23,16.071
2023-03-24,16.071
2023-03-25,16.071
2023-03-26,16.071
2023-03-27,16.071
2023-03-28,16.071
2023-03-29,16.071
2023-03-30,16.071
2023-03-31,16.071
2023-04-01,16.071
2023-04-02,16.071
2023-04-03,16.071
2023-04-04,16.057
2023-04-05,16.057
2023-04-06,16.057
2023-04-07,16.057
2023-04-08,16.057
2023-04-09,16.057
2023-04-10,16.136
2023-04-11,16.136
2023-04-12,16.14
2023-04-13,16.154
2023-04-14,16.151
2023-04-15,16.151
2023-04-16,16.131
2023-04-17,15.907
2023-04-18,15.91
2023-04-19,15.922
2023-04-20,15.922
2023-04-21,15.921
2023-04-22,15.921
2023-04-23,15.921
2023-04-24,15.921
2023-04-25,16.033
2023-04-26,16.035
2023-04-27,16.13
2023-04-28,16.246
2023-04-29,16.225
2023-04-30,16.225
2023-05-01,16.29
2023-05-02,16.29
