,1928 HK Equity,1928 HK Equity,1928 HK Equity,1928 HK Equity,1928 HK Equity
2010-02-08,7.021,7.021,6.775,6.917,8211600.0
2010-02-09,6.982,6.982,6.646,6.711,6576400.0
2010-02-10,6.84,6.892,6.646,6.763,6623600.0
2010-02-11,6.788,6.84,6.646,6.827,6836400.0
2010-02-12,7.034,7.137,6.775,7.098,9550000.0
2010-02-13,7.034,7.137,6.775,7.098,9550000.0
2010-02-14,7.034,7.137,6.775,7.098,9550000.0
2010-02-15,7.034,7.137,6.775,7.098,9550000.0
2010-02-16,7.034,7.137,6.775,7.098,9550000.0
2010-02-17,7.227,7.395,7.15,7.253,9290200.0
2010-02-18,7.072,7.292,6.775,6.84,8898969.0
2010-02-19,6.84,6.84,6.427,6.556,10796752.0
2010-02-20,6.84,6.84,6.427,6.556,10796752.0
2010-02-21,6.84,6.84,6.427,6.556,10796752.0
2010-02-22,6.775,6.982,6.775,6.93,5693773.0
2010-02-23,6.943,7.034,6.775,6.982,6276494.0
2010-02-24,6.956,6.956,6.698,6.84,7921400.0
2010-02-25,6.75,7.008,6.737,6.827,5221200.0
2010-02-26,6.84,7.227,6.84,7.098,11677543.0
2010-02-27,6.84,7.227,6.84,7.098,11677543.0
2010-02-28,6.84,7.227,6.84,7.098,11677543.0
2010-03-01,7.034,7.124,6.943,7.034,4074677.0
2010-03-02,7.098,7.227,6.84,6.892,6190800.0
2010-03-03,6.75,6.943,6.711,6.75,3164834.0
2010-03-04,6.775,6.892,6.633,6.737,9487834.0
2010-03-05,6.801,6.892,6.646,6.763,5235600.0
2010-03-06,6.801,6.892,6.646,6.763,5235600.0
2010-03-07,6.801,6.892,6.646,6.763,5235600.0
2010-03-08,6.866,6.892,6.698,6.84,5661100.0
2010-03-09,6.892,7.046,6.801,6.982,6032400.0
2010-03-10,7.085,7.085,6.956,7.021,7364600.0
2010-03-11,7.098,7.124,6.982,7.059,14793606.0
2010-03-12,7.098,7.098,7.046,7.085,7713491.0
2010-03-13,7.098,7.098,7.046,7.085,7713491.0
2010-03-14,7.098,7.098,7.046,7.085,7713491.0
2010-03-15,6.995,7.098,6.995,7.034,4595700.0
2010-03-16,7.098,7.098,6.904,7.021,1762891.0
2010-03-17,7.124,7.421,7.124,7.421,29661760.0
2010-03-18,7.485,7.485,7.356,7.434,14825400.0
2010-03-19,7.421,7.743,7.382,7.679,11999000.0
2010-03-20,7.421,7.743,7.382,7.679,11999000.0
2010-03-21,7.421,7.743,7.382,7.679,11999000.0
2010-03-22,7.679,7.872,7.55,7.782,14513200.0
2010-03-23,7.95,8.131,7.743,7.834,22561300.0
2010-03-24,8.053,8.066,7.911,7.989,13771200.0
2010-03-25,7.847,8.066,7.537,8.027,12618000.0
2010-03-26,7.924,8.066,7.834,8.066,4690400.0
2010-03-27,7.924,8.066,7.834,8.066,4690400.0
2010-03-28,7.924,8.066,7.834,8.066,4690400.0
2010-03-29,8.131,8.26,7.782,7.924,10988800.0
2010-03-30,7.872,7.924,7.627,7.808,11560000.0
2010-03-31,7.937,8.04,7.86,7.963,13001530.0
2010-04-01,8.118,8.26,8.066,8.234,10605370.0
2010-04-02,8.118,8.26,8.066,8.234,10605370.0
2010-04-03,8.118,8.26,8.066,8.234,10605370.0
2010-04-04,8.118,8.26,8.066,8.234,10605370.0
2010-04-05,8.118,8.26,8.066,8.234,10605370.0
2010-04-06,8.118,8.26,8.066,8.234,10605370.0
2010-04-07,8.363,8.711,8.324,8.698,29056300.0
2010-04-08,8.505,8.647,8.247,8.35,15364000.0
2010-04-09,8.543,8.634,8.518,8.569,10120067.0
2010-04-10,8.543,8.634,8.518,8.569,10120067.0
2010-04-11,8.543,8.634,8.518,8.569,10120067.0
2010-04-12,8.711,8.711,8.298,8.324,9711800.0
2010-04-13,8.324,8.453,8.066,8.092,7942428.0
2010-04-14,8.092,8.118,7.963,8.066,10531400.0
2010-04-15,8.221,8.26,7.937,8.027,8578827.0
2010-04-16,8.053,8.053,7.769,7.885,4878200.0
2010-04-17,8.053,8.053,7.769,7.885,4878200.0
2010-04-18,8.053,8.053,7.769,7.885,4878200.0
2010-04-19,7.911,7.911,7.64,7.743,3878800.0
2010-04-20,7.692,8.001,7.692,7.808,5083600.0
2010-04-21,7.872,8.143,7.872,8.131,5161024.0
2010-04-22,8.156,8.208,7.963,8.169,9255788.0
2010-04-23,8.221,8.26,7.808,7.872,5072951.0
2010-04-24,8.221,8.26,7.808,7.872,5072951.0
2010-04-25,8.221,8.26,7.808,7.872,5072951.0
2010-04-26,8.001,8.156,7.937,8.143,3161816.0
2010-04-27,8.26,8.311,8.131,8.234,7694800.0
2010-04-28,8.156,8.156,7.86,7.937,3846684.0
2010-04-29,7.937,8.066,7.885,8.027,6235139.0
2010-04-30,8.389,8.389,8.156,8.272,4404040.0
2010-05-01,8.389,8.389,8.156,8.272,4404040.0
2010-05-02,8.389,8.389,8.156,8.272,4404040.0
2010-05-03,8.169,8.363,8.131,8.363,6456938.0
2010-05-04,8.376,8.389,8.131,8.272,11517400.0
2010-05-05,7.808,7.924,7.679,7.743,16300675.0
2010-05-06,7.73,7.898,7.369,7.55,13997689.0
2010-05-07,7.176,7.408,7.008,7.33,15603235.0
2010-05-08,7.176,7.408,7.008,7.33,15603235.0
2010-05-09,7.176,7.408,7.008,7.33,15603235.0
2010-05-10,7.421,7.459,7.098,7.279,12133346.0
2010-05-11,7.395,7.408,7.072,7.098,7028279.0
2010-05-12,7.266,7.266,6.904,7.059,15849722.0
2010-05-13,7.098,7.408,7.059,7.369,12864982.0
2010-05-14,7.356,7.472,7.253,7.343,15134700.0
2010-05-15,7.356,7.472,7.253,7.343,15134700.0
2010-05-16,7.356,7.472,7.253,7.343,15134700.0
2010-05-17,7.343,7.356,7.072,7.201,7041200.0
2010-05-18,7.201,7.227,6.892,6.892,10921041.0
2010-05-19,6.775,6.801,6.569,6.621,14399200.0
2010-05-20,6.711,6.711,6.362,6.543,9577230.0
2010-05-21,6.711,6.711,6.362,6.543,9577230.0
2010-05-22,6.711,6.711,6.362,6.543,9577230.0
2010-05-23,6.711,6.711,6.362,6.543,9577230.0
2010-05-24,6.93,7.111,6.75,7.072,12865503.0
2010-05-25,6.93,7.085,6.685,6.879,12563907.0
2010-05-26,7.098,7.266,6.93,7.227,7656372.0
2010-05-27,7.227,7.266,7.021,7.111,10375907.0
2010-05-28,7.266,7.408,7.24,7.356,6846681.0
2010-05-29,7.266,7.408,7.24,7.356,6846681.0
2010-05-30,7.266,7.408,7.24,7.356,6846681.0
2010-05-31,7.305,7.459,7.188,7.447,7092198.0
2010-06-01,7.421,7.459,7.111,7.124,5808018.0
2010-06-02,7.253,7.369,7.15,7.188,12348341.0
2010-06-03,7.292,7.421,7.227,7.369,6690800.0
2010-06-04,7.421,7.447,7.292,7.356,4213000.0
2010-06-05,7.421,7.447,7.292,7.356,4213000.0
2010-06-06,7.421,7.447,7.292,7.356,4213000.0
2010-06-07,7.098,7.356,7.098,7.266,11995138.0
2010-06-08,7.343,7.369,7.072,7.266,8193600.0
2010-06-09,7.292,7.292,6.904,6.93,9073004.0
2010-06-10,6.814,7.034,6.814,6.93,2359934.0
2010-06-11,7.034,7.059,6.969,7.046,2168009.0
2010-06-12,7.034,7.059,6.969,7.046,2168009.0
2010-06-13,7.034,7.059,6.969,7.046,2168009.0
2010-06-14,7.163,7.279,7.111,7.253,4348800.0
2010-06-15,7.253,7.317,7.227,7.292,13059800.0
2010-06-16,7.253,7.317,7.227,7.292,13059800.0
2010-06-17,7.421,7.588,7.33,7.563,23009589.0
2010-06-18,7.537,7.834,7.537,7.782,21947976.0
2010-06-19,7.537,7.834,7.537,7.782,21947976.0
2010-06-20,7.537,7.834,7.537,7.782,21947976.0
2010-06-21,7.872,8.311,7.705,8.208,29336068.0
2010-06-22,8.221,8.556,8.195,8.272,34684941.0
2010-06-23,8.105,8.156,7.976,8.105,8102659.0
2010-06-24,8.014,8.337,7.924,8.001,7187184.0
2010-06-25,7.989,8.04,7.666,7.679,4615519.0
2010-06-26,7.989,8.04,7.666,7.679,4615519.0
2010-06-27,7.989,8.04,7.666,7.679,4615519.0
2010-06-28,7.679,7.911,7.524,7.524,4574400.0
2010-06-29,7.614,7.718,7.524,7.576,4183400.0
2010-06-30,7.421,7.679,7.395,7.55,7917890.0
2010-07-01,7.421,7.679,7.395,7.55,7917890.0
2010-07-02,7.421,7.434,7.15,7.214,14256733.0
2010-07-03,7.421,7.434,7.15,7.214,14256733.0
2010-07-04,7.421,7.434,7.15,7.214,14256733.0
2010-07-05,7.098,7.382,7.034,7.137,6321400.0
2010-07-06,7.046,7.137,6.956,7.111,10693600.0
2010-07-07,7.163,7.227,7.059,7.188,6960224.0
2010-07-08,7.408,7.498,7.343,7.421,8144831.0
2010-07-09,7.421,7.511,7.317,7.395,5199140.0
2010-07-10,7.421,7.511,7.317,7.395,5199140.0
2010-07-11,7.421,7.511,7.317,7.395,5199140.0
2010-07-12,7.472,7.576,7.356,7.421,2103017.0
2010-07-13,7.498,7.537,7.33,7.472,2468200.0
2010-07-14,7.498,7.808,7.498,7.64,9535656.0
2010-07-15,7.718,7.718,7.563,7.614,6226916.0
2010-07-16,7.692,7.847,7.679,7.834,8205600.0
2010-07-17,7.692,7.847,7.679,7.834,8205600.0
2010-07-18,7.692,7.847,7.679,7.834,8205600.0
2010-07-19,7.743,7.795,7.563,7.627,1482800.0
2010-07-20,7.705,7.73,7.55,7.627,7331200.0
2010-07-21,7.666,7.782,7.498,7.563,6822400.0
2010-07-22,7.563,7.73,7.537,7.627,2582860.0
2010-07-23,7.808,7.834,7.653,7.743,11210359.0
2010-07-24,7.808,7.834,7.653,7.743,11210359.0
2010-07-25,7.808,7.834,7.653,7.743,11210359.0
2010-07-26,7.434,7.73,7.434,7.679,17997750.0
2010-07-27,7.679,7.808,7.614,7.679,8303676.0
2010-07-28,7.743,7.795,7.653,7.718,12615200.0
2010-07-29,7.95,8.014,7.692,7.718,8669401.0
2010-07-30,7.718,7.808,7.705,7.743,7198595.0
2010-07-31,7.718,7.808,7.705,7.743,7198595.0
2010-08-01,7.718,7.808,7.705,7.743,7198595.0
2010-08-02,7.86,7.937,7.64,7.73,5268092.0
2010-08-03,7.795,7.86,7.563,7.576,9110151.0
2010-08-04,7.614,7.614,7.459,7.563,10193700.0
2010-08-05,7.666,7.73,7.601,7.614,3800943.0
2010-08-06,7.718,7.718,7.576,7.679,6141800.0
2010-08-07,7.718,7.718,7.576,7.679,6141800.0
2010-08-08,7.718,7.718,7.576,7.679,6141800.0
2010-08-09,7.679,7.692,7.537,7.614,6966200.0
2010-08-10,7.679,7.679,7.563,7.601,2129600.0
2010-08-11,7.679,7.679,7.472,7.485,8260548.0
2010-08-12,7.421,7.498,7.369,7.382,9419550.0
2010-08-13,7.459,7.64,7.343,7.395,9109600.0
2010-08-14,7.459,7.64,7.343,7.395,9109600.0
2010-08-15,7.459,7.64,7.343,7.395,9109600.0
2010-08-16,7.176,7.459,7.176,7.253,18533200.0
2010-08-17,7.305,7.447,7.201,7.266,7605600.0
2010-08-18,7.408,7.679,7.408,7.588,25358044.0
2010-08-19,7.795,7.976,7.692,7.872,22439437.0
2010-08-20,7.885,8.066,7.73,8.001,9873980.0
2010-08-21,7.885,8.066,7.73,8.001,9873980.0
2010-08-22,7.885,8.066,7.73,8.001,9873980.0
2010-08-23,7.95,8.053,7.898,7.937,5944276.0
2010-08-24,7.705,7.872,7.666,7.782,10225288.0
2010-08-25,7.705,7.73,7.524,7.679,5511600.0
2010-08-26,8.001,8.001,7.73,7.924,8150822.0
2010-08-27,7.847,7.937,7.821,7.821,10224038.0
2010-08-28,7.847,7.937,7.821,7.821,10224038.0
2010-08-29,7.847,7.937,7.821,7.821,10224038.0
2010-08-30,7.911,7.911,7.821,7.847,5925000.0
2010-08-31,7.872,8.053,7.705,7.795,44659450.0
2010-09-01,7.872,7.872,7.705,7.769,16689163.0
2010-09-02,7.872,8.066,7.756,8.014,15020533.0
2010-09-03,8.066,8.066,7.821,7.885,11607248.0
2010-09-04,8.066,8.066,7.821,7.885,11607248.0
2010-09-05,8.066,8.066,7.821,7.885,11607248.0
2010-09-06,7.898,7.937,7.718,7.808,9326000.0
2010-09-07,7.847,7.898,7.743,7.808,10565600.0
2010-09-08,7.743,7.821,7.73,7.782,11188400.0
2010-09-09,7.795,7.885,7.782,7.872,8015100.0
2010-09-10,7.872,7.872,7.73,7.821,6850266.0
2010-09-11,7.872,7.872,7.73,7.821,6850266.0
2010-09-12,7.872,7.872,7.73,7.821,6850266.0
2010-09-13,7.872,7.872,7.743,7.782,4811420.0
2010-09-14,7.872,7.898,7.795,7.834,12599596.0
2010-09-15,7.782,8.118,7.718,8.118,29175042.0
2010-09-16,8.26,8.543,8.131,8.221,25244067.0
2010-09-17,8.221,8.414,8.208,8.363,10818374.0
2010-09-18,8.221,8.414,8.208,8.363,10818374.0
2010-09-19,8.221,8.414,8.208,8.363,10818374.0
2010-09-20,8.389,8.389,7.976,8.247,6116230.0
2010-09-21,8.376,8.376,8.26,8.311,6828939.0
2010-09-22,8.26,8.492,8.26,8.324,5640997.0
2010-09-23,8.26,8.492,8.26,8.324,5640997.0
2010-09-24,8.376,8.402,8.131,8.298,6388918.0
2010-09-25,8.376,8.402,8.131,8.298,6388918.0
2010-09-26,8.376,8.402,8.131,8.298,6388918.0
2010-09-27,8.44,8.518,8.324,8.453,10942987.0
2010-09-28,8.647,8.724,8.453,8.621,17010659.0
2010-09-29,8.776,9.292,8.711,9.215,31502400.0
2010-09-30,9.215,9.215,8.918,9.034,15339869.0
2010-10-01,9.215,9.215,8.918,9.034,15339869.0
2010-10-02,9.215,9.215,8.918,9.034,15339869.0
2010-10-03,9.215,9.215,8.918,9.034,15339869.0
2010-10-04,9.06,10.35,9.06,9.576,16838383.0
2010-10-05,9.486,9.847,9.421,9.563,18894800.0
2010-10-06,9.653,9.653,9.034,9.163,18237200.0
2010-10-07,9.163,9.55,9.098,9.163,13152832.0
2010-10-08,9.357,9.679,9.176,9.55,11959025.0
2010-10-09,9.357,9.679,9.176,9.55,11959025.0
2010-10-10,9.357,9.679,9.176,9.55,11959025.0
2010-10-11,9.679,10.157,9.615,10.002,14198805.0
2010-10-12,9.899,9.963,9.666,9.692,7682151.0
2010-10-13,9.886,10.002,9.782,10.002,8442157.0
2010-10-14,10.17,10.221,9.911,10.002,6405434.0
2010-10-15,9.679,10.247,9.679,10.195,7503897.0
2010-10-16,9.679,10.247,9.679,10.195,7503897.0
2010-10-17,9.679,10.247,9.679,10.195,7503897.0
2010-10-18,10.247,10.247,9.873,9.899,5343096.0
2010-10-19,9.899,10.002,9.808,9.963,8704078.0
2010-10-20,9.679,9.731,9.421,9.55,13865500.0
2010-10-21,9.615,10.002,9.615,9.873,8793423.0
2010-10-22,10.002,10.066,9.692,10.002,6131168.0
2010-10-23,10.002,10.066,9.692,10.002,6131168.0
2010-10-24,10.002,10.066,9.692,10.002,6131168.0
2010-10-25,9.873,10.324,9.744,10.234,11526046.0
2010-10-26,10.324,10.324,9.692,9.847,8638600.0
2010-10-27,9.782,10.002,9.615,9.666,8529985.0
2010-10-28,10.195,10.544,10.015,10.518,17282892.0
2010-10-29,10.763,10.957,10.454,10.905,12475658.0
2010-10-30,10.763,10.957,10.454,10.905,12475658.0
2010-10-31,10.763,10.957,10.454,10.905,12475658.0
2010-11-01,10.97,11.254,10.879,11.034,9199391.0
2010-11-02,11.138,11.138,10.97,10.983,6783290.0
2010-11-03,11.138,11.138,10.841,11.008,8426400.0
2010-11-04,11.125,11.125,10.815,10.983,5557636.0
2010-11-05,11.099,11.215,10.776,11.15,9904394.0
2010-11-06,11.099,11.215,10.776,11.15,9904394.0
2010-11-07,11.099,11.215,10.776,11.15,9904394.0
2010-11-08,10.996,11.176,10.879,11.047,6315917.0
2010-11-09,11.163,11.718,11.112,11.254,13463976.0
2010-11-10,11.305,11.331,11.008,11.138,8497875.0
2010-11-11,11.138,11.357,11.099,11.138,7256559.0
2010-11-12,11.099,11.099,10.466,10.518,13390000.0
2010-11-13,11.099,11.099,10.466,10.518,13390000.0
2010-11-14,11.099,11.099,10.466,10.518,13390000.0
2010-11-15,10.699,10.918,10.531,10.828,6775600.0
2010-11-16,10.892,11.086,10.686,11.021,5001800.0
2010-11-17,10.97,10.97,10.208,10.234,12511600.0
2010-11-18,10.583,10.776,10.479,10.725,6259000.0
2010-11-19,10.712,10.97,10.337,10.66,3569881.0
2010-11-20,10.712,10.97,10.337,10.66,3569881.0
2010-11-21,10.712,10.97,10.337,10.66,3569881.0
2010-11-22,10.66,10.712,10.454,10.531,9041770.0
2010-11-23,10.389,10.647,10.221,10.26,5400263.0
2010-11-24,10.324,10.647,10.26,10.492,3251600.0
2010-11-25,10.802,11.06,10.763,10.931,6623177.0
2010-11-26,11.228,11.254,10.725,10.867,3516800.0
2010-11-27,11.228,11.254,10.725,10.867,3516800.0
2010-11-28,11.228,11.254,10.725,10.867,3516800.0
2010-11-29,10.776,11.163,10.583,11.138,5507050.0
2010-11-30,11.138,11.138,10.518,10.776,8641679.0
2010-12-01,11.099,11.267,10.647,11.228,7670505.0
2010-12-02,11.228,11.228,11.228,11.228,7670505.0
2010-12-03,10.66,11.241,10.608,11.086,18184262.0
2010-12-04,10.66,11.241,10.608,11.086,18184262.0
2010-12-05,10.66,11.241,10.608,11.086,18184262.0
2010-12-06,10.854,10.905,10.428,10.531,13600118.0
2010-12-07,10.479,10.815,10.479,10.621,8877983.0
2010-12-08,10.621,10.918,10.608,10.892,6167614.0
2010-12-09,10.957,11.099,10.634,11.021,9780400.0
2010-12-10,11.279,11.279,10.712,10.802,9127008.0
2010-12-11,11.279,11.279,10.712,10.802,9127008.0
2010-12-12,11.279,11.279,10.712,10.802,9127008.0
2010-12-13,10.789,10.931,10.712,10.841,9898579.0
2010-12-14,10.841,10.841,10.544,10.699,8127594.0
2010-12-15,10.647,10.647,10.518,10.531,8356051.0
2010-12-16,10.505,10.608,10.066,10.479,21588562.0
2010-12-17,10.634,10.892,10.389,10.518,11761806.0
2010-12-18,10.634,10.892,10.389,10.518,11761806.0
2010-12-19,10.634,10.892,10.389,10.518,11761806.0
2010-12-20,10.492,10.75,10.195,10.324,8278407.0
2010-12-21,10.634,10.699,10.041,10.299,10941420.0
2010-12-22,10.299,10.531,10.26,10.415,5076551.0
2010-12-23,10.337,10.389,10.183,10.26,3684200.0
2010-12-24,10.324,10.363,10.195,10.26,1027825.0
2010-12-25,10.324,10.363,10.195,10.26,1027825.0
2010-12-26,10.324,10.363,10.195,10.26,1027825.0
2010-12-27,10.324,10.363,10.195,10.26,1027825.0
2010-12-28,10.273,10.324,10.053,10.26,2558358.0
2010-12-29,10.157,10.324,10.118,10.299,3545400.0
2010-12-30,10.324,10.763,10.324,10.75,9718500.0
2010-12-31,10.931,11.099,10.789,11.021,9004694.0
2011-01-01,10.931,11.099,10.789,11.021,9004694.0
2011-01-02,10.931,11.099,10.789,11.021,9004694.0
2011-01-03,11.138,11.357,10.918,11.202,5426400.0
2011-01-04,11.421,11.563,11.254,11.473,8665300.0
2011-01-05,11.46,12.002,11.357,11.938,12354679.0
2011-01-06,11.899,11.899,11.628,11.873,5088155.0
2011-01-07,11.873,12.002,11.731,11.86,5956103.0
2011-01-08,11.873,12.002,11.731,11.86,5956103.0
2011-01-09,11.873,12.002,11.731,11.86,5956103.0
2011-01-10,11.873,12.105,11.77,12.002,10577335.0
2011-01-11,12.209,13.228,12.093,12.777,31838643.0
2011-01-12,12.841,12.841,12.415,12.609,7621325.0
2011-01-13,12.647,12.777,12.583,12.647,39854725.0
2011-01-14,12.583,12.647,12.312,12.351,6572621.0
2011-01-15,12.583,12.647,12.312,12.351,6572621.0
2011-01-16,12.583,12.647,12.312,12.351,6572621.0
2011-01-17,12.583,12.583,12.17,12.196,3695340.0
2011-01-18,12.196,12.557,12.196,12.376,8768230.0
2011-01-19,12.415,13.002,12.389,13.002,12773049.0
2011-01-20,12.725,12.938,12.583,12.88,9087881.0
2011-01-21,12.518,12.57,12.222,12.234,17283550.0
2011-01-22,12.518,12.57,12.222,12.234,17283550.0
2011-01-23,12.518,12.57,12.222,12.234,17283550.0
2011-01-24,12.389,12.389,11.757,11.925,3740474.0
2011-01-25,11.809,12.299,11.809,12.054,7015323.0
2011-01-26,11.976,12.26,11.834,11.989,9542528.0
2011-01-27,11.938,12.518,11.938,12.467,10006320.0
2011-01-28,12.518,12.893,12.26,12.828,12552292.0
2011-01-29,12.518,12.893,12.26,12.828,12552292.0
2011-01-30,12.518,12.893,12.26,12.828,12552292.0
2011-01-31,12.583,12.699,12.402,12.454,8297200.0
2011-02-01,12.402,12.454,12.183,12.273,6577851.0
2011-02-02,12.26,12.441,12.183,12.247,8530941.0
2011-02-03,12.26,12.441,12.183,12.247,8530941.0
2011-02-04,12.26,12.441,12.183,12.247,8530941.0
2011-02-05,12.26,12.441,12.183,12.247,8530941.0
2011-02-06,12.26,12.441,12.183,12.247,8530941.0
2011-02-07,12.002,12.105,11.925,11.951,6678107.0
2011-02-08,11.86,12.002,11.396,11.538,16189200.0
2011-02-09,11.718,11.938,11.628,11.847,11793587.0
2011-02-10,11.615,12.054,11.615,11.86,5440306.0
2011-02-11,11.744,11.809,11.292,11.499,6375986.0
2011-02-12,11.744,11.809,11.292,11.499,6375986.0
2011-02-13,11.744,11.809,11.292,11.499,6375986.0
2011-02-14,11.421,12.118,11.421,11.951,5384888.0
2011-02-15,12.067,12.067,11.822,11.912,2789536.0
2011-02-16,12.041,12.041,11.68,11.989,2967926.0
2011-02-17,12.118,12.493,11.938,12.234,8611038.0
2011-02-18,12.26,12.518,12.196,12.26,8583168.0
2011-02-19,12.26,12.518,12.196,12.26,8583168.0
2011-02-20,12.26,12.518,12.196,12.26,8583168.0
2011-02-21,12.105,12.26,12.002,12.131,3639457.0
2011-02-22,11.938,12.093,11.822,11.912,4388177.0
2011-02-23,11.589,11.834,11.589,11.77,7295101.0
2011-02-24,11.615,11.77,11.37,11.589,7868587.0
2011-02-25,11.873,12.002,11.731,11.925,8087228.0
2011-02-26,11.873,12.002,11.731,11.925,8087228.0
2011-02-27,11.873,12.002,11.731,11.925,8087228.0
2011-02-28,11.938,12.067,11.589,11.938,4251498.0
2011-03-01,11.951,12.312,11.938,12.286,6975504.0
2011-03-02,11.757,11.757,11.099,11.525,22439039.0
2011-03-03,11.55,12.105,11.292,11.357,20806400.0
2011-03-04,11.357,11.55,11.357,11.434,14774109.0
2011-03-05,11.357,11.55,11.357,11.434,14774109.0
2011-03-06,11.357,11.55,11.357,11.434,14774109.0
2011-03-07,11.434,11.447,10.944,11.06,7315520.0
2011-03-08,11.008,11.112,10.983,11.047,8836157.0
2011-03-09,11.047,11.202,10.879,11.021,10035450.0
2011-03-10,11.086,11.305,11.021,11.163,5150731.0
2011-03-11,10.97,11.15,10.892,10.983,7000298.0
2011-03-12,10.97,11.15,10.892,10.983,7000298.0
2011-03-13,10.97,11.15,10.892,10.983,7000298.0
2011-03-14,10.97,11.008,10.776,10.983,6460393.0
2011-03-15,10.763,10.892,9.963,10.595,9688279.0
2011-03-16,10.595,10.841,10.595,10.725,7648421.0
2011-03-17,10.441,10.647,10.389,10.428,5411663.0
2011-03-18,10.428,10.996,10.428,10.763,11249491.0
2011-03-19,10.428,10.996,10.428,10.763,11249491.0
2011-03-20,10.428,10.996,10.428,10.763,11249491.0
2011-03-21,10.905,11.034,10.802,10.97,7537525.0
2011-03-22,11.176,11.215,10.879,10.97,5372400.0
2011-03-23,11.034,11.06,10.802,10.905,5506042.0
2011-03-24,10.97,11.189,10.879,11.099,4492411.0
2011-03-25,11.357,11.473,11.176,11.383,10650600.0
2011-03-26,11.357,11.473,11.176,11.383,10650600.0
2011-03-27,11.357,11.473,11.176,11.383,10650600.0
2011-03-28,11.55,11.757,11.486,11.705,16022270.0
2011-03-29,11.925,11.938,11.692,11.705,15781100.0
2011-03-30,11.796,11.938,11.796,11.873,9202199.0
2011-03-31,12.054,12.054,11.047,11.202,26755071.0
2011-04-01,11.357,11.473,10.712,11.15,32463342.0
2011-04-02,11.357,11.473,10.712,11.15,32463342.0
2011-04-03,11.357,11.473,10.712,11.15,32463342.0
2011-04-04,11.563,12.196,11.396,11.925,20885779.0
2011-04-05,11.563,12.196,11.396,11.925,20885779.0
2011-04-06,12.196,12.544,12.131,12.273,19372814.0
2011-04-07,12.299,12.389,12.002,12.26,9896301.0
2011-04-08,12.518,12.544,12.273,12.518,9177809.0
2011-04-09,12.518,12.544,12.273,12.518,9177809.0
2011-04-10,12.518,12.544,12.273,12.518,9177809.0
2011-04-11,12.48,12.531,12.209,12.209,4434800.0
2011-04-12,12.325,12.325,12.002,12.196,3965104.0
2011-04-13,12.196,12.712,12.028,12.686,8184600.0
2011-04-14,12.712,13.357,12.699,13.035,16649428.0
2011-04-15,12.906,13.615,12.867,13.228,14959382.0
2011-04-16,12.906,13.615,12.867,13.228,14959382.0
2011-04-17,12.906,13.615,12.867,13.228,14959382.0
2011-04-18,13.422,14.067,13.422,13.97,16514500.0
2011-04-19,13.744,14.067,13.519,13.809,12153205.0
2011-04-20,13.615,14.099,13.615,13.874,6698755.0
2011-04-21,14.067,14.196,13.809,14.196,8942000.0
2011-04-22,14.067,14.196,13.809,14.196,8942000.0
2011-04-23,14.067,14.196,13.809,14.196,8942000.0
