,BHP AU Equity,BHP AU Equity,BHP AU Equity,BHP AU Equity,BHP AU Equity
1980-07-01,0.2724,0.2724,0.251,0.2698,
1980-07-02,0.2724,0.2724,0.251,0.2698,
1980-07-03,0.2724,0.2724,0.251,0.2698,
1980-07-04,0.2724,0.2724,0.251,0.2698,
1980-07-05,0.2724,0.2724,0.251,0.2698,
1980-07-06,0.2724,0.2724,0.251,0.2698,
1980-07-07,0.2724,0.2724,0.251,0.2698,
1980-07-08,0.2724,0.2724,0.251,0.2698,
1980-07-09,0.2724,0.2724,0.251,0.2698,
1980-07-10,0.2724,0.2724,0.251,0.2698,
1980-07-11,0.2724,0.2724,0.251,0.2698,
1980-07-12,0.2724,0.2724,0.251,0.2698,
1980-07-13,0.2724,0.2724,0.251,0.2698,
1980-07-14,0.2724,0.2724,0.251,0.2698,
1980-07-15,0.2724,0.2724,0.251,0.2698,
1980-07-16,0.2724,0.2724,0.251,0.2698,
1980-07-17,0.2724,0.2724,0.251,0.2698,
1980-07-18,0.2724,0.2724,0.251,0.2698,
1980-07-19,0.2724,0.2724,0.251,0.2698,
1980-07-20,0.2724,0.2724,0.251,0.2698,
1980-07-21,0.2724,0.2724,0.251,0.2698,
1980-07-22,0.2724,0.2724,0.251,0.2698,
1980-07-23,0.2724,0.2724,0.251,0.2698,
1980-07-24,0.2724,0.2724,0.251,0.2698,
1980-07-25,0.2724,0.2724,0.251,0.2698,
1980-07-26,0.2724,0.2724,0.251,0.2698,
1980-07-27,0.2724,0.2724,0.251,0.2698,
1980-07-28,0.2724,0.2724,0.251,0.2698,
1980-07-29,0.2724,0.2724,0.251,0.2698,
1980-07-30,0.2724,0.2724,0.251,0.2698,
1980-07-31,0.276,0.276,0.259,0.2661,
1980-08-01,0.276,0.276,0.259,0.2661,
1980-08-02,0.276,0.276,0.259,0.2661,
1980-08-03,0.276,0.276,0.259,0.2661,
1980-08-04,0.276,0.276,0.259,0.2661,
1980-08-05,0.276,0.276,0.259,0.2661,
1980-08-06,0.276,0.276,0.259,0.2661,
1980-08-07,0.276,0.276,0.259,0.2661,
1980-08-08,0.276,0.276,0.259,0.2661,
1980-08-09,0.276,0.276,0.259,0.2661,
1980-08-10,0.276,0.276,0.259,0.2661,
1980-08-11,0.276,0.276,0.259,0.2661,
1980-08-12,0.276,0.276,0.259,0.2661,
1980-08-13,0.276,0.276,0.259,0.2661,
1980-08-14,0.276,0.276,0.259,0.2661,
1980-08-15,0.276,0.276,0.259,0.2661,
1980-08-16,0.276,0.276,0.259,0.2661,
1980-08-17,0.276,0.276,0.259,0.2661,
1980-08-18,0.276,0.276,0.259,0.2661,
1980-08-19,0.276,0.276,0.259,0.2661,
1980-08-20,0.276,0.276,0.259,0.2661,
1980-08-21,0.276,0.276,0.259,0.2661,
1980-08-22,0.276,0.276,0.259,0.2661,
1980-08-23,0.276,0.276,0.259,0.2661,
1980-08-24,0.276,0.276,0.259,0.2661,
1980-08-25,0.276,0.276,0.259,0.2661,
1980-08-26,0.276,0.276,0.259,0.2661,
1980-08-27,0.276,0.276,0.259,0.2661,
1980-08-28,0.276,0.276,0.259,0.2661,
1980-08-29,0.2867,0.2867,0.2644,0.268,
1980-08-30,0.2867,0.2867,0.2644,0.268,
1980-08-31,0.2867,0.2867,0.2644,0.268,
1980-09-01,0.2867,0.2867,0.2644,0.268,
1980-09-02,0.2867,0.2867,0.2644,0.268,
1980-09-03,0.2867,0.2867,0.2644,0.268,
1980-09-04,0.2867,0.2867,0.2644,0.268,
1980-09-05,0.2867,0.2867,0.2644,0.268,
1980-09-06,0.2867,0.2867,0.2644,0.268,
1980-09-07,0.2867,0.2867,0.2644,0.268,
1980-09-08,0.2867,0.2867,0.2644,0.268,
1980-09-09,0.2867,0.2867,0.2644,0.268,
1980-09-10,0.2867,0.2867,0.2644,0.268,
1980-09-11,0.2867,0.2867,0.2644,0.268,
1980-09-12,0.2867,0.2867,0.2644,0.268,
1980-09-13,0.2867,0.2867,0.2644,0.268,
1980-09-14,0.2867,0.2867,0.2644,0.268,
1980-09-15,0.2867,0.2867,0.2644,0.268,
1980-09-16,0.2867,0.2867,0.2644,0.268,
1980-09-17,0.2867,0.2867,0.2644,0.268,
1980-09-18,0.2867,0.2867,0.2644,0.268,
1980-09-19,0.2867,0.2867,0.2644,0.268,
1980-09-20,0.2867,0.2867,0.2644,0.268,
1980-09-21,0.2867,0.2867,0.2644,0.268,
1980-09-22,0.2867,0.2867,0.2644,0.268,
1980-09-23,0.2867,0.2867,0.2644,0.268,
1980-09-24,0.2867,0.2867,0.2644,0.268,
1980-09-25,0.2867,0.2867,0.2644,0.268,
1980-09-26,0.2867,0.2867,0.2644,0.268,
1980-09-27,0.2867,0.2867,0.2644,0.268,
1980-09-28,0.2867,0.2867,0.2644,0.268,
1980-09-29,0.2867,0.2867,0.2644,0.268,
1980-09-30,0.2858,0.2858,0.2635,0.2832,
1980-10-01,0.2858,0.2858,0.2635,0.2832,
1980-10-02,0.2858,0.2858,0.2635,0.2832,
1980-10-03,0.2858,0.2858,0.2635,0.2832,
1980-10-04,0.2858,0.2858,0.2635,0.2832,
1980-10-05,0.2858,0.2858,0.2635,0.2832,
1980-10-06,0.2858,0.2858,0.2635,0.2832,
1980-10-07,0.2858,0.2858,0.2635,0.2832,
1980-10-08,0.2858,0.2858,0.2635,0.2832,
1980-10-09,0.2858,0.2858,0.2635,0.2832,
1980-10-10,0.2858,0.2858,0.2635,0.2832,
1980-10-11,0.2858,0.2858,0.2635,0.2832,
1980-10-12,0.2858,0.2858,0.2635,0.2832,
1980-10-13,0.2858,0.2858,0.2635,0.2832,
1980-10-14,0.2858,0.2858,0.2635,0.2832,
1980-10-15,0.2858,0.2858,0.2635,0.2832,
1980-10-16,0.2858,0.2858,0.2635,0.2832,
1980-10-17,0.2858,0.2858,0.2635,0.2832,
1980-10-18,0.2858,0.2858,0.2635,0.2832,
1980-10-19,0.2858,0.2858,0.2635,0.2832,
1980-10-20,0.2858,0.2858,0.2635,0.2832,
1980-10-21,0.2858,0.2858,0.2635,0.2832,
1980-10-22,0.2858,0.2858,0.2635,0.2832,
1980-10-23,0.2858,0.2858,0.2635,0.2832,
1980-10-24,0.2858,0.2858,0.2635,0.2832,
1980-10-25,0.2858,0.2858,0.2635,0.2832,
1980-10-26,0.2858,0.2858,0.2635,0.2832,
1980-10-27,0.2858,0.2858,0.2635,0.2832,
1980-10-28,0.2858,0.2858,0.2635,0.2832,
1980-10-29,0.2858,0.2858,0.2635,0.2832,
1980-10-30,0.2858,0.2858,0.2635,0.2832,
1980-10-31,0.301,0.301,0.2626,0.3001,
1980-11-01,0.301,0.301,0.2626,0.3001,
1980-11-02,0.301,0.301,0.2626,0.3001,
1980-11-03,0.301,0.301,0.2626,0.3001,
1980-11-04,0.301,0.301,0.2626,0.3001,
1980-11-05,0.301,0.301,0.2626,0.3001,
1980-11-06,0.301,0.301,0.2626,0.3001,
1980-11-07,0.301,0.301,0.2626,0.3001,
1980-11-08,0.301,0.301,0.2626,0.3001,
1980-11-09,0.301,0.301,0.2626,0.3001,
1980-11-10,0.301,0.301,0.2626,0.3001,
1980-11-11,0.301,0.301,0.2626,0.3001,
1980-11-12,0.301,0.301,0.2626,0.3001,
1980-11-13,0.301,0.301,0.2626,0.3001,
1980-11-14,0.301,0.301,0.2626,0.3001,
1980-11-15,0.301,0.301,0.2626,0.3001,
1980-11-16,0.301,0.301,0.2626,0.3001,
1980-11-17,0.301,0.301,0.2626,0.3001,
1980-11-18,0.301,0.301,0.2626,0.3001,
1980-11-19,0.301,0.301,0.2626,0.3001,
1980-11-20,0.301,0.301,0.2626,0.3001,
1980-11-21,0.301,0.301,0.2626,0.3001,
1980-11-22,0.301,0.301,0.2626,0.3001,
1980-11-23,0.301,0.301,0.2626,0.3001,
1980-11-24,0.301,0.301,0.2626,0.3001,
1980-11-25,0.301,0.301,0.2626,0.3001,
1980-11-26,0.301,0.301,0.2626,0.3001,
1980-11-27,0.301,0.301,0.2626,0.3001,
1980-11-28,0.3144,0.3144,0.2948,0.3019,
1980-11-29,0.3144,0.3144,0.2948,0.3019,
1980-11-30,0.3144,0.3144,0.2948,0.3019,
1980-12-01,0.3144,0.3144,0.2948,0.3019,
1980-12-02,0.3144,0.3144,0.2948,0.3019,
1980-12-03,0.3144,0.3144,0.2948,0.3019,
1980-12-04,0.3144,0.3144,0.2948,0.3019,
1980-12-05,0.3144,0.3144,0.2948,0.3019,
1980-12-06,0.3144,0.3144,0.2948,0.3019,
1980-12-07,0.3144,0.3144,0.2948,0.3019,
1980-12-08,0.3144,0.3144,0.2948,0.3019,
1980-12-09,0.3144,0.3144,0.2948,0.3019,
1980-12-10,0.3144,0.3144,0.2948,0.3019,
1980-12-11,0.3144,0.3144,0.2948,0.3019,
1980-12-12,0.3144,0.3144,0.2948,0.3019,
1980-12-13,0.3144,0.3144,0.2948,0.3019,
1980-12-14,0.3144,0.3144,0.2948,0.3019,
1980-12-15,0.3144,0.3144,0.2948,0.3019,
1980-12-16,0.3144,0.3144,0.2948,0.3019,
1980-12-17,0.3144,0.3144,0.2948,0.3019,
1980-12-18,0.3144,0.3144,0.2948,0.3019,
1980-12-19,0.3144,0.3144,0.2948,0.3019,
1980-12-20,0.3144,0.3144,0.2948,0.3019,
1980-12-21,0.3144,0.3144,0.2948,0.3019,
1980-12-22,0.3144,0.3144,0.2948,0.3019,
1980-12-23,0.3144,0.3144,0.2948,0.3019,
1980-12-24,0.3144,0.3144,0.2948,0.3019,
1980-12-25,0.3144,0.3144,0.2948,0.3019,
1980-12-26,0.3144,0.3144,0.2948,0.3019,
1980-12-27,0.3144,0.3144,0.2948,0.3019,
1980-12-28,0.3144,0.3144,0.2948,0.3019,
1980-12-29,0.3144,0.3144,0.2948,0.3019,
1980-12-30,0.3144,0.3144,0.2948,0.3019,
1980-12-31,0.3037,0.3037,0.2644,0.2929,
1981-01-01,0.3037,0.3037,0.2644,0.2929,
1981-01-02,0.3037,0.3037,0.2644,0.2929,
1981-01-03,0.3037,0.3037,0.2644,0.2929,
1981-01-04,0.3037,0.3037,0.2644,0.2929,
1981-01-05,0.3037,0.3037,0.2644,0.2929,
1981-01-06,0.3037,0.3037,0.2644,0.2929,
1981-01-07,0.3037,0.3037,0.2644,0.2929,
1981-01-08,0.3037,0.3037,0.2644,0.2929,
1981-01-09,0.3037,0.3037,0.2644,0.2929,
1981-01-10,0.3037,0.3037,0.2644,0.2929,
1981-01-11,0.3037,0.3037,0.2644,0.2929,
1981-01-12,0.3037,0.3037,0.2644,0.2929,
1981-01-13,0.3037,0.3037,0.2644,0.2929,
1981-01-14,0.3037,0.3037,0.2644,0.2929,
1981-01-15,0.3037,0.3037,0.2644,0.2929,
1981-01-16,0.3037,0.3037,0.2644,0.2929,
1981-01-17,0.3037,0.3037,0.2644,0.2929,
1981-01-18,0.3037,0.3037,0.2644,0.2929,
1981-01-19,0.3037,0.3037,0.2644,0.2929,
1981-01-20,0.3037,0.3037,0.2644,0.2929,
1981-01-21,0.3037,0.3037,0.2644,0.2929,
1981-01-22,0.3037,0.3037,0.2644,0.2929,
1981-01-23,0.3037,0.3037,0.2644,0.2929,
1981-01-24,0.3037,0.3037,0.2644,0.2929,
1981-01-25,0.3037,0.3037,0.2644,0.2929,
1981-01-26,0.3037,0.3037,0.2644,0.2929,
1981-01-27,0.3037,0.3037,0.2644,0.2929,
1981-01-28,0.3037,0.3037,0.2644,0.2929,
1981-01-29,0.3037,0.3037,0.2644,0.2929,
1981-01-30,0.3019,0.3019,0.259,0.259,
1981-01-31,0.3019,0.3019,0.259,0.259,
1981-02-01,0.3019,0.3019,0.259,0.259,
1981-02-02,0.3019,0.3019,0.259,0.259,
1981-02-03,0.3019,0.3019,0.259,0.259,
1981-02-04,0.3019,0.3019,0.259,0.259,
1981-02-05,0.3019,0.3019,0.259,0.259,
1981-02-06,0.3019,0.3019,0.259,0.259,
1981-02-07,0.3019,0.3019,0.259,0.259,
1981-02-08,0.3019,0.3019,0.259,0.259,
1981-02-09,0.3019,0.3019,0.259,0.259,
1981-02-10,0.3019,0.3019,0.259,0.259,
1981-02-11,0.3019,0.3019,0.259,0.259,
1981-02-12,0.3019,0.3019,0.259,0.259,
1981-02-13,0.3019,0.3019,0.259,0.259,
1981-02-14,0.3019,0.3019,0.259,0.259,
1981-02-15,0.3019,0.3019,0.259,0.259,
1981-02-16,0.3019,0.3019,0.259,0.259,
1981-02-17,0.3019,0.3019,0.259,0.259,
1981-02-18,0.3019,0.3019,0.259,0.259,
1981-02-19,0.3019,0.3019,0.259,0.259,
1981-02-20,0.3019,0.3019,0.259,0.259,
1981-02-21,0.3019,0.3019,0.259,0.259,
1981-02-22,0.3019,0.3019,0.259,0.259,
1981-02-23,0.3019,0.3019,0.259,0.259,
1981-02-24,0.3019,0.3019,0.259,0.259,
1981-02-25,0.3019,0.3019,0.259,0.259,
1981-02-26,0.3019,0.3019,0.259,0.259,
1981-02-27,0.2581,0.2581,0.2349,0.2367,
1981-02-28,0.2581,0.2581,0.2349,0.2367,
1981-03-01,0.2581,0.2581,0.2349,0.2367,
1981-03-02,0.2581,0.2581,0.2349,0.2367,
1981-03-03,0.2581,0.2581,0.2349,0.2367,
1981-03-04,0.2581,0.2581,0.2349,0.2367,
1981-03-05,0.2581,0.2581,0.2349,0.2367,
1981-03-06,0.2581,0.2581,0.2349,0.2367,
1981-03-07,0.2581,0.2581,0.2349,0.2367,
1981-03-08,0.2581,0.2581,0.2349,0.2367,
1981-03-09,0.2581,0.2581,0.2349,0.2367,
1981-03-10,0.2581,0.2581,0.2349,0.2367,
1981-03-11,0.2581,0.2581,0.2349,0.2367,
1981-03-12,0.2581,0.2581,0.2349,0.2367,
1981-03-13,0.2581,0.2581,0.2349,0.2367,
1981-03-14,0.2581,0.2581,0.2349,0.2367,
1981-03-15,0.2581,0.2581,0.2349,0.2367,
1981-03-16,0.2581,0.2581,0.2349,0.2367,
1981-03-17,0.2581,0.2581,0.2349,0.2367,
1981-03-18,0.2581,0.2581,0.2349,0.2367,
1981-03-19,0.2581,0.2581,0.2349,0.2367,
1981-03-20,0.2581,0.2581,0.2349,0.2367,
1981-03-21,0.2581,0.2581,0.2349,0.2367,
1981-03-22,0.2581,0.2581,0.2349,0.2367,
1981-03-23,0.2581,0.2581,0.2349,0.2367,
1981-03-24,0.2581,0.2581,0.2349,0.2367,
1981-03-25,0.2581,0.2581,0.2349,0.2367,
1981-03-26,0.2581,0.2581,0.2349,0.2367,
1981-03-27,0.2581,0.2581,0.2349,0.2367,
1981-03-28,0.2581,0.2581,0.2349,0.2367,
1981-03-29,0.2581,0.2581,0.2349,0.2367,
1981-03-30,0.2581,0.2581,0.2349,0.2367,
1981-03-31,0.2669,0.2669,0.2254,0.2642,
1981-04-01,0.2669,0.2669,0.2254,0.2642,
1981-04-02,0.2669,0.2669,0.2254,0.2642,
1981-04-03,0.2669,0.2669,0.2254,0.2642,
1981-04-04,0.2669,0.2669,0.2254,0.2642,
1981-04-05,0.2669,0.2669,0.2254,0.2642,
1981-04-06,0.2669,0.2669,0.2254,0.2642,
1981-04-07,0.2669,0.2669,0.2254,0.2642,
1981-04-08,0.2669,0.2669,0.2254,0.2642,
1981-04-09,0.2669,0.2669,0.2254,0.2642,
1981-04-10,0.2669,0.2669,0.2254,0.2642,
1981-04-11,0.2669,0.2669,0.2254,0.2642,
1981-04-12,0.2669,0.2669,0.2254,0.2642,
1981-04-13,0.2669,0.2669,0.2254,0.2642,
1981-04-14,0.2669,0.2669,0.2254,0.2642,
1981-04-15,0.2669,0.2669,0.2254,0.2642,
1981-04-16,0.2669,0.2669,0.2254,0.2642,
1981-04-17,0.2669,0.2669,0.2254,0.2642,
1981-04-18,0.2669,0.2669,0.2254,0.2642,
1981-04-19,0.2669,0.2669,0.2254,0.2642,
1981-04-20,0.2669,0.2669,0.2254,0.2642,
1981-04-21,0.2669,0.2669,0.2254,0.2642,
1981-04-22,0.2669,0.2669,0.2254,0.2642,
1981-04-23,0.2669,0.2669,0.2254,0.2642,
1981-04-24,0.2669,0.2669,0.2254,0.2642,
1981-04-25,0.2669,0.2669,0.2254,0.2642,
1981-04-26,0.2669,0.2669,0.2254,0.2642,
1981-04-27,0.2669,0.2669,0.2254,0.2642,
1981-04-28,0.2669,0.2669,0.2254,0.2642,
1981-04-29,0.2669,0.2669,0.2254,0.2642,
1981-04-30,0.2836,0.2836,0.2587,0.2614,
1981-05-01,0.2836,0.2836,0.2587,0.2614,
1981-05-02,0.2836,0.2836,0.2587,0.2614,
1981-05-03,0.2836,0.2836,0.2587,0.2614,
1981-05-04,0.2836,0.2836,0.2587,0.2614,
1981-05-05,0.2836,0.2836,0.2587,0.2614,
1981-05-06,0.2836,0.2836,0.2587,0.2614,
1981-05-07,0.2836,0.2836,0.2587,0.2614,
1981-05-08,0.2836,0.2836,0.2587,0.2614,
1981-05-09,0.2836,0.2836,0.2587,0.2614,
1981-05-10,0.2836,0.2836,0.2587,0.2614,
1981-05-11,0.2836,0.2836,0.2587,0.2614,
1981-05-12,0.2836,0.2836,0.2587,0.2614,
1981-05-13,0.2836,0.2836,0.2587,0.2614,
1981-05-14,0.2836,0.2836,0.2587,0.2614,
1981-05-15,0.2836,0.2836,0.2587,0.2614,
1981-05-16,0.2836,0.2836,0.2587,0.2614,
1981-05-17,0.2836,0.2836,0.2587,0.2614,
1981-05-18,0.2836,0.2836,0.2587,0.2614,
1981-05-19,0.2836,0.2836,0.2587,0.2614,
1981-05-20,0.2836,0.2836,0.2587,0.2614,
1981-05-21,0.2836,0.2836,0.2587,0.2614,
1981-05-22,0.2836,0.2836,0.2587,0.2614,
1981-05-23,0.2836,0.2836,0.2587,0.2614,
1981-05-24,0.2836,0.2836,0.2587,0.2614,
