,GVA US Equity
2020-09-05,7.963
2020-09-06,7.963
2020-09-07,7.963
2020-09-08,7.553
2020-09-09,7.608
2020-09-10,7.349
2020-09-11,7.383
2020-09-12,7.383
2020-09-13,7.383
2020-09-14,7.493
2020-09-15,7.396
2020-09-16,7.697
2020-09-17,7.849
2020-09-18,7.802
2020-09-19,7.802
2020-09-20,7.802
2020-09-21,7.396
2020-09-22,7.366
2020-09-23,7.455
2020-09-24,7.425
2020-09-25,7.468
2020-09-26,7.468
2020-09-27,7.468
2020-09-28,7.688
2020-09-29,7.569
2020-09-30,7.513
2020-10-01,7.56
2020-10-02,7.837
2020-10-03,7.837
2020-10-04,7.837
2020-10-05,7.931
2020-10-06,7.726
2020-10-07,8.008
2020-10-08,8.362
2020-10-09,8.43
2020-10-10,8.43
2020-10-11,8.43
2020-10-12,8.661
2020-10-13,8.294
2020-10-14,8.187
2020-10-15,8.221
2020-10-16,8.392
2020-10-17,8.392
2020-10-18,8.392
2020-10-19,8.307
2020-10-20,8.563
2020-10-21,8.43
2020-10-22,8.58
2020-10-23,8.652
2020-10-24,8.652
2020-10-25,8.652
2020-10-26,8.362
2020-10-27,8.072
2020-10-28,7.889
2020-10-29,8.162
2020-10-30,8.238
2020-10-31,8.238
2020-11-01,8.238
2020-11-02,8.917
2020-11-03,8.708
2020-11-04,8.068
2020-11-05,8.439
2020-11-06,8.46
2020-11-07,8.46
2020-11-08,8.46
2020-11-09,8.575
2020-11-10,10.099
2020-11-11,9.919
2020-11-12,9.403
2020-11-13,9.715
2020-11-14,9.715
2020-11-15,9.715
2020-11-16,9.983
2020-11-17,10.209
2020-11-18,10.619
2020-11-19,10.606
2020-11-20,10.265
2020-11-21,10.265
2020-11-22,10.265
2020-11-23,10.854
2020-11-24,11.383
2020-11-25,10.781
2020-11-26,10.781
2020-11-27,10.875
2020-11-28,10.875
2020-11-29,10.875
2020-11-30,10.504
2020-12-01,10.632
2020-12-02,10.7
2020-12-03,10.879
2020-12-04,11.545
2020-12-05,11.545
2020-12-06,11.545
2020-12-07,11.233
2020-12-08,11.605
2020-12-09,11.532
2020-12-10,11.617
2020-12-11,11.528
2020-12-12,11.528
2020-12-13,11.528
2020-12-14,11.118
2020-12-15,11.391
2020-12-16,11.46
2020-12-17,11.434
2020-12-18,11.46
2020-12-19,11.46
2020-12-20,11.46
2020-12-21,11.464
2020-12-22,11.451
2020-12-23,11.66
2020-12-24,11.562
2020-12-25,11.562
2020-12-26,11.562
2020-12-27,11.562
2020-12-28,11.634
2020-12-29,11.434
2020-12-30,11.614
2020-12-31,11.451
2021-01-01,11.451
2021-01-02,11.451
2021-01-03,11.451
2021-01-04,11.413
2021-01-05,11.944
2021-01-06,13.792
2021-01-07,14.379
2021-01-08,14.491
2021-01-09,14.491
2021-01-10,14.491
2021-01-11,14.023
2021-01-12,14.735
2021-01-13,14.302
2021-01-14,14.516
2021-01-15,14.259
2021-01-16,14.259
2021-01-17,14.259
2021-01-18,14.259
2021-01-19,14.864
2021-01-20,14.782
2021-01-21,14.242
2021-01-22,14.379
2021-01-23,14.379
2021-01-24,14.379
2021-01-25,14.032
2021-01-26,13.745
2021-01-27,13.449
2021-01-28,13.277
2021-01-29,12.694
2021-01-30,12.694
2021-01-31,12.694
2021-02-01,13.175
2021-02-02,13.397
2021-02-03,13.466
2021-02-04,13.543
2021-02-05,13.629
2021-02-06,13.629
2021-02-07,13.629
2021-02-08,13.749
2021-02-09,13.638
2021-02-10,13.586
2021-02-11,14.101
2021-02-12,13.951
2021-02-13,13.951
2021-02-14,13.951
2021-02-15,13.951
2021-02-16,14.225
2021-02-17,14.053
2021-02-18,13.466
2021-02-19,14.019
2021-02-20,14.019
2021-02-21,14.019
2021-02-22,14.611
2021-02-23,14.538
2021-02-24,15.554
2021-02-25,15.112
2021-02-26,14.739
2021-02-27,14.739
2021-02-28,14.739
2021-03-01,15.545
2021-03-02,15.468
2021-03-03,15.674
2021-03-04,15.185
2021-03-05,15.863
2021-03-06,15.863
2021-03-07,15.863
2021-03-08,16.351
2021-03-09,16.39
2021-03-10,17.016
2021-03-11,17.136
2021-03-12,17.355
2021-03-13,17.355
2021-03-14,17.355
2021-03-15,17.41
2021-03-16,16.827
2021-03-17,16.892
2021-03-18,16.411
2021-03-19,16.566
2021-03-20,16.566
2021-03-21,16.566
2021-03-22,15.991
2021-03-23,15.425
2021-03-24,15.138
2021-03-25,15.764
2021-03-26,16.561
2021-03-27,16.561
2021-03-28,16.561
2021-03-29,16.18
2021-03-30,16.885
2021-03-31,17.316
2021-04-01,17.191
2021-04-02,17.191
2021-04-03,17.191
2021-04-04,17.191
2021-04-05,17.341
2021-04-06,17.122
2021-04-07,16.748
2021-04-08,16.666
2021-04-09,16.916
2021-04-10,16.916
2021-04-11,16.916
2021-04-12,16.911
2021-04-13,16.662
2021-04-14,16.821
2021-04-15,17.01
2021-04-16,17.036
2021-04-17,17.036
2021-04-18,17.036
2021-04-19,16.993
2021-04-20,16.412
2021-04-21,16.709
2021-04-22,16.67
2021-04-23,16.89
2021-04-24,16.89
2021-04-25,16.89
2021-04-26,16.812
2021-04-27,16.756
2021-04-28,16.675
2021-04-29,16.748
2021-04-30,16.391
2021-05-01,16.391
2021-05-02,16.391
2021-05-03,16.748
2021-05-04,17.212
2021-05-05,17.905
2021-05-06,17.944
2021-05-07,16.709
2021-05-08,16.709
2021-05-09,16.709
2021-05-10,17.281
2021-05-11,17.277
2021-05-12,16.55
2021-05-13,16.731
2021-05-14,17.221
2021-05-15,17.221
2021-05-16,17.221
2021-05-17,17.363
2021-05-18,16.881
2021-05-19,16.558
2021-05-20,16.498
2021-05-21,16.786
2021-05-22,16.786
2021-05-23,16.786
2021-05-24,16.963
2021-05-25,16.778
2021-05-26,17.23
2021-05-27,17.574
2021-05-28,17.363
2021-05-29,17.363
2021-05-30,17.363
2021-05-31,17.363
2021-06-01,17.776
2021-06-02,17.526
2021-06-03,17.363
2021-06-04,17.311
2021-06-05,17.311
2021-06-06,17.311
2021-06-07,17.268
2021-06-08,17.35
2021-06-09,17.101
2021-06-10,16.765
2021-06-11,17.174
2021-06-12,17.174
2021-06-13,17.174
2021-06-14,16.984
2021-06-15,17.079
2021-06-16,17.019
2021-06-17,16.503
2021-06-18,16.27
2021-06-19,16.27
2021-06-20,16.27
2021-06-21,16.692
2021-06-22,16.993
2021-06-23,17.118
2021-06-24,17.965
2021-06-25,18.262
2021-06-26,18.262
2021-06-27,18.262
2021-06-28,18.099
2021-06-29,17.727
2021-06-30,17.922
2021-07-01,18.232
2021-07-02,17.706
2021-07-03,17.706
2021-07-04,17.706
2021-07-05,17.706
2021-07-06,17.136
2021-07-07,17.076
2021-07-08,16.834
2021-07-09,17.171
2021-07-10,17.171
2021-07-11,17.171
2021-07-12,17.369
2021-07-13,16.981
2021-07-14,16.605
2021-07-15,16.511
2021-07-16,16.079
2021-07-17,16.079
2021-07-18,16.079
2021-07-19,15.803
2021-07-20,16.472
2021-07-21,16.713
2021-07-22,16.204
2021-07-23,16.347
2021-07-24,16.347
2021-07-25,16.347
2021-07-26,16.446
2021-07-27,16.221
2021-07-28,16.61
2021-07-29,16.83
2021-07-30,16.58
2021-07-31,16.58
2021-08-01,16.58
2021-08-02,16.303
2021-08-03,16.912
2021-08-04,16.692
2021-08-05,16.83
2021-08-06,17.059
2021-08-07,17.059
2021-08-08,17.059
2021-08-09,16.687
2021-08-10,17.257
2021-08-11,17.896
2021-08-12,18.172
2021-08-13,17.831
2021-08-14,17.831
2021-08-15,17.831
2021-08-16,17.598
2021-08-17,16.968
2021-08-18,16.683
2021-08-19,16.437
2021-08-20,16.735
2021-08-21,16.735
2021-08-22,16.735
2021-08-23,17.024
2021-08-24,17.24
2021-08-25,17.719
2021-08-26,17.374
2021-08-27,17.939
2021-08-28,17.939
2021-08-29,17.939
2021-08-30,17.706
2021-08-31,17.494
2021-09-01,17.266
2021-09-02,17.706
2021-09-03,17.663
2021-09-04,17.663
2021-09-05,17.663
2021-09-06,17.663
2021-09-07,17.456
2021-09-08,17.11
2021-09-09,16.968
2021-09-10,16.8
2021-09-11,16.8
2021-09-12,16.8
2021-09-13,17.063
2021-09-14,16.903
2021-09-15,17.326
2021-09-16,17.106
2021-09-17,17.24
2021-09-18,17.24
2021-09-19,17.24
2021-09-20,16.834
2021-09-21,16.39
2021-09-22,16.813
2021-09-23,17.417
2021-09-24,17.425
2021-09-25,17.425
2021-09-26,17.425
2021-09-27,17.878
2021-09-28,17.576
2021-09-29,17.581
2021-09-30,17.122
2021-10-01,17.511
2021-10-02,17.511
2021-10-03,17.511
2021-10-04,17.347
2021-10-05,17.447
2021-10-06,17.187
2021-10-07,17.451
2021-10-08,17.144
2021-10-09,17.144
2021-10-10,17.144
2021-10-11,17.005
2021-10-12,17.1
2021-10-13,16.996
2021-10-14,17.325
2021-10-15,16.983
2021-10-16,16.983
2021-10-17,16.983
2021-10-18,16.871
2021-10-19,16.936
2021-10-20,17.087
2021-10-21,16.94
2021-10-22,17.156
2021-10-23,17.156
2021-10-24,17.156
2021-10-25,17.65
2021-10-26,17.611
2021-10-27,16.719
2021-10-28,16.382
2021-10-29,16.07
2021-10-30,16.07
2021-10-31,16.07
2021-11-01,16.308
2021-11-02,15.888
2021-11-03,16.68
2021-11-04,17.066
2021-11-05,18.131
2021-11-06,18.131
2021-11-07,18.131
2021-11-08,18.373
2021-11-09,18.07
2021-11-10,18.131
2021-11-11,18.2
2021-11-12,18.308
2021-11-13,18.308
2021-11-14,18.308
2021-11-15,18.191
2021-11-16,18.2
2021-11-17,18.131
2021-11-18,18.17
2021-11-19,18.425
2021-11-20,18.425
2021-11-21,18.425
2021-11-22,18.282
2021-11-23,18.455
2021-11-24,18.096
2021-11-25,18.096
2021-11-26,17.628
2021-11-27,17.628
2021-11-28,17.628
2021-11-29,17.737
2021-11-30,16.832
2021-12-01,16.516
2021-12-02,16.983
2021-12-03,16.858
2021-12-04,16.858
2021-12-05,16.858
2021-12-06,17.2
2021-12-07,17.334
2021-12-08,17.464
2021-12-09,17.048
2021-12-10,17.079
2021-12-11,17.079
2021-12-12,17.079
2021-12-13,16.373
2021-12-14,16.195
2021-12-15,16.494
2021-12-16,16.356
2021-12-17,16.048
2021-12-18,16.048
2021-12-19,16.048
2021-12-20,15.914
2021-12-21,16.256
2021-12-22,16.585
2021-12-23,16.607
2021-12-24,16.607
2021-12-25,16.607
2021-12-26,16.607
2021-12-27,16.676
2021-12-28,16.633
2021-12-29,16.667
2021-12-30,16.62
2021-12-31,16.811
2022-01-01,16.811
2022-01-02,16.811
2022-01-03,17.015
2022-01-04,17.328
2022-01-05,16.867
2022-01-06,17.037
2022-01-07,16.776
2022-01-08,16.776
2022-01-09,16.776
2022-01-10,16.494
2022-01-11,16.511
2022-01-12,16.072
2022-01-13,16.407
2022-01-14,16.576
2022-01-15,16.576
2022-01-16,16.576
2022-01-17,16.576
2022-01-18,16.103
2022-01-19,15.877
2022-01-20,15.49
2022-01-21,15.629
2022-01-22,15.629
2022-01-23,15.629
2022-01-24,16.098
2022-01-25,15.746
2022-01-26,15.599
2022-01-27,15.382
2022-01-28,15.551
2022-01-29,15.551
2022-01-30,15.551
2022-01-31,15.629
2022-02-01,15.746
2022-02-02,15.477
2022-02-03,15.486
2022-02-04,15.282
2022-02-05,15.282
2022-02-06,15.282
2022-02-07,15.447
2022-02-08,15.82
2022-02-09,15.812
2022-02-10,15.425
2022-02-11,15.316
2022-02-12,15.316
2022-02-13,15.316
2022-02-14,15.434
2022-02-15,15.729
2022-02-16,15.733
2022-02-17,15.308
2022-02-18,15.39
2022-02-19,15.39
2022-02-20,15.39
2022-02-21,15.39
2022-02-22,14.978
2022-02-23,14.812
2022-02-24,15.004
2022-02-25,12.608
2022-02-26,12.608
2022-02-27,12.608
2022-02-28,11.776
2022-03-01,10.92
2022-03-02,11.41
2022-03-03,11.274
2022-03-04,11.507
2022-03-05,11.507
2022-03-06,11.507
2022-03-07,11.126
2022-03-08,11.784
2022-03-09,11.873
2022-03-10,12.367
2022-03-11,12.367
2022-03-12,12.367
2022-03-13,12.367
2022-03-14,12.352
2022-03-15,12.332
2022-03-16,12.519
2022-03-17,12.573
2022-03-18,12.935
2022-03-19,12.935
2022-03-20,12.935
2022-03-21,12.799
2022-03-22,12.853
2022-03-23,12.616
2022-03-24,12.702
2022-03-25,12.861
2022-03-26,12.861
2022-03-27,12.861
2022-03-28,12.639
2022-03-29,12.795
2022-03-30,12.674
2022-03-31,12.811
2022-04-01,12.932
2022-04-02,12.932
2022-04-03,12.932
2022-04-04,12.697
2022-04-05,12.381
2022-04-06,12.162
2022-04-07,12.307
2022-04-08,12.264
2022-04-09,12.264
2022-04-10,12.264
2022-04-11,12.471
2022-04-12,12.49
2022-04-13,12.6
2022-04-14,12.701
2022-04-15,12.701
2022-04-16,12.701
2022-04-17,12.701
2022-04-18,12.526
2022-04-19,12.686
2022-04-20,12.717
2022-04-21,12.424
2022-04-22,11.983
2022-04-23,11.983
2022-04-24,11.983
2022-04-25,12.03
2022-04-26,11.776
2022-04-27,11.698
2022-04-28,11.678
2022-04-29,9.742
2022-04-30,9.742
2022-05-01,9.742
2022-05-02,9.952
2022-05-03,10.261
2022-05-04,10.589
2022-05-05,10.317
2022-05-06,10.326
2022-05-07,10.326
2022-05-08,10.326
2022-05-09,9.389
2022-05-10,9.312
2022-05-11,9.195
2022-05-12,9.186
2022-05-13,9.242
2022-05-14,9.242
2022-05-15,9.242
2022-05-16,9.63
2022-05-17,9.738
2022-05-18,9.753
2022-05-19,9.845
2022-05-20,9.765
2022-05-21,9.765
2022-05-22,9.765
2022-05-23,9.944
2022-05-24,9.858
2022-05-25,10.006
2022-05-26,10.027
2022-05-27,10.193
2022-05-28,10.193
2022-05-29,10.193
2022-05-30,10.193
2022-05-31,10.058
2022-06-01,10.187
2022-06-02,10.089
2022-06-03,9.944
2022-06-04,9.944
2022-06-05,9.944
2022-06-06,9.984
2022-06-07,10.049
2022-06-08,9.873
2022-06-09,9.808
2022-06-10,9.657
2022-06-11,9.657
2022-06-12,9.657
2022-06-13,9.248
2022-06-14,9.134
2022-06-15,9.066
2022-06-16,8.733
2022-06-17,8.678
2022-06-18,8.678
2022-06-19,8.678
2022-06-20,8.678
2022-06-21,8.844
2022-06-22,8.893
2022-06-23,8.887
2022-06-24,9.007
2022-06-25,9.007
2022-06-26,9.007
2022-06-27,9.177
2022-06-28,8.961
2022-06-29,8.856
2022-06-30,9.066
2022-07-01,9.078
2022-07-02,9.078
2022-07-03,9.078
2022-07-04,9.078
2022-07-05,8.991
2022-07-06,8.845
2022-07-07,9.081
2022-07-08,8.966
2022-07-09,8.966
2022-07-10,8.966
2022-07-11,8.963
2022-07-12,8.879
2022-07-13,8.86
2022-07-14,8.848
2022-07-15,8.944
2022-07-16,8.944
2022-07-17,8.944
2022-07-18,8.929
2022-07-19,9.19
2022-07-20,9.321
2022-07-21,9.414
2022-07-22,9.321
2022-07-23,9.321
2022-07-24,9.321
2022-07-25,9.324
2022-07-26,9.29
2022-07-27,9.483
2022-07-28,9.321
2022-07-29,7.789
2022-07-30,7.789
2022-07-31,7.789
2022-08-01,7.942
2022-08-02,7.862
2022-08-03,7.768
2022-08-04,7.911
2022-08-05,7.914
2022-08-06,7.914
2022-08-07,7.914
2022-08-08,8.017
2022-08-09,7.963
2022-08-10,8.064
2022-08-11,8.093
2022-08-12,8.186
2022-08-13,8.186
2022-08-14,8.186
2022-08-15,8.184
2022-08-16,8.246
2022-08-17,8.178
2022-08-18,8.248
2022-08-19,8.062
2022-08-20,8.062
2022-08-21,8.062
2022-08-22,7.833
2022-08-23,8.028
2022-08-24,8.126
2022-08-25,8.285
2022-08-26,7.976
2022-08-27,7.976
2022-08-28,7.976
2022-08-29,7.896
2022-08-30,7.812
2022-08-31,7.779
2022-09-01,7.62
2022-09-02,7.579
2022-09-03,7.579
2022-09-04,7.579
2022-09-05,7.579
2022-09-06,7.395
2022-09-07,7.576
2022-09-08,7.605
2022-09-09,7.774
2022-09-10,7.774
2022-09-11,7.774
2022-09-12,7.859
2022-09-13,7.421
2022-09-14,7.32
2022-09-15,7.312
2022-09-16,7.231
2022-09-17,7.231
2022-09-18,7.231
2022-09-19,7.499
2022-09-20,7.403
2022-09-21,7.345
2022-09-22,7.262
2022-09-23,6.995
2022-09-24,6.995
2022-09-25,6.995
2022-09-26,6.868
2022-09-27,6.814
2022-09-28,6.881
2022-09-29,6.787
2022-09-30,6.62
2022-10-01,6.62
2022-10-02,6.62
2022-10-03,7.011
2022-10-04,7.197
2022-10-05,7.238
2022-10-06,7.113
2022-10-07,7.009
2022-10-08,7.009
2022-10-09,7.009
2022-10-10,7.941
2022-10-11,7.979
2022-10-12,7.968
2022-10-13,8.222
2022-10-14,7.758
2022-10-15,7.758
2022-10-16,7.758
2022-10-17,8.024
2022-10-18,8.062
2022-10-19,8.006
2022-10-20,7.858
2022-10-21,7.997
2022-10-22,7.997
2022-10-23,7.997
2022-10-24,8.183
2022-10-25,8.334
2022-10-26,8.31
2022-10-27,9.344
2022-10-28,8.58
2022-10-29,8.58
2022-10-30,8.58
2022-10-31,8.714
2022-11-01,8.902
2022-11-02,8.727
2022-11-03,8.763
2022-11-04,8.892
2022-11-05,8.892
2022-11-06,8.892
2022-11-07,8.781
2022-11-08,8.771
2022-11-09,8.582
2022-11-10,8.745
2022-11-11,8.691
2022-11-12,8.691
2022-11-13,8.691
2022-11-14,8.616
2022-11-15,9.081
2022-11-16,8.946
2022-11-17,9.026
2022-11-18,9.153
2022-11-19,9.153
2022-11-20,9.153
2022-11-21,9.179
2022-11-22,9.143
2022-11-23,9.014
2022-11-24,9.014
2022-11-25,9.171
2022-11-26,9.171
2022-11-27,9.171
2022-11-28,8.918
2022-11-29,8.939
2022-11-30,9.305
2022-12-01,9.285
2022-12-02,9.435
2022-12-03,9.435
2022-12-04,9.435
2022-12-05,9.251
2022-12-06,9.176
2022-12-07,9.189
2022-12-08,9.419
2022-12-09,9.231
2022-12-10,9.231
2022-12-11,9.231
2022-12-12,9.259
2022-12-13,9.298
2022-12-14,9.28
2022-12-15,9.107
2022-12-16,9.032
2022-12-17,9.032
2022-12-18,9.032
2022-12-19,9.011
2022-12-20,9.107
2022-12-21,9.194
2022-12-22,9.096
2022-12-23,9.15
2022-12-24,9.15
2022-12-25,9.15
2022-12-26,9.15
2022-12-27,9.174
2022-12-28,9.039
2022-12-29,9.177
2022-12-30,9.094
2022-12-31,9.094
2023-01-01,9.094
2023-01-02,9.094
2023-01-03,9.083
2023-01-04,9.019
2023-01-05,8.941
2023-01-06,9.2
2023-01-07,9.2
2023-01-08,9.2
2023-01-09,9.107
2023-01-10,9.253
2023-01-11,9.441
2023-01-12,9.673
2023-01-13,10.073
2023-01-14,10.073
2023-01-15,10.073
2023-01-16,10.073
2023-01-17,10.047
2023-01-18,10.142
2023-01-19,10.109
2023-01-20,10.219
2023-01-21,10.219
2023-01-22,10.219
2023-01-23,10.284
2023-01-24,10.575
2023-01-25,10.588
2023-01-26,10.608
2023-01-27,10.691
2023-01-28,10.691
2023-01-29,10.691
2023-01-30,10.619
2023-01-31,10.969
2023-02-01,10.67
2023-02-02,11.026
2023-02-03,11.103
2023-02-04,11.103
2023-02-05,11.103
2023-02-06,11.033
2023-02-07,11.013
2023-02-08,10.892
2023-02-09,10.619
2023-02-10,10.562
2023-02-11,10.562
2023-02-12,10.562
2023-02-13,10.691
2023-02-14,10.544
2023-02-15,10.626
2023-02-16,11.413
2023-02-17,10.32
2023-02-18,10.32
2023-02-19,10.32
2023-02-20,10.32
2023-02-21,10.028
2023-02-22,9.981
2023-02-23,10.216
2023-02-24,10.337
2023-02-25,10.337
2023-02-26,10.337
2023-02-27,10.221
2023-02-28,10.233
2023-03-01,10.387
2023-03-02,10.237
2023-03-03,10.306
2023-03-04,10.306
2023-03-05,10.306
2023-03-06,10.176
2023-03-07,10.133
2023-03-08,10.109
2023-03-09,9.953
2023-03-10,9.695
2023-03-11,9.695
2023-03-12,9.695
2023-03-13,9.572
2023-03-14,9.671
2023-03-15,9.475
2023-03-16,9.505
2023-03-17,9.484
2023-03-18,9.484
2023-03-19,9.484
2023-03-20,9.669
2023-03-21,9.711
2023-03-22,9.52
2023-03-23,9.38
2023-03-24,9.451
2023-03-25,9.451
2023-03-26,9.451
2023-03-27,9.56
2023-03-28,9.558
2023-03-29,9.574
2023-03-30,9.624
2023-03-31,9.762
2023-04-01,9.762
2023-04-02,9.762
2023-04-03,9.793
2023-04-04,9.389
2023-04-05,9.296
2023-04-06,9.161
2023-04-07,9.161
2023-04-08,9.161
2023-04-09,9.161
2023-04-10,9.201
2023-04-11,9.134
2023-04-12,9.141
2023-04-13,9.092
2023-04-14,9.004
2023-04-15,9.004
2023-04-16,9.004
2023-04-17,9.036
2023-04-18,8.936
2023-04-19,8.962
2023-04-20,8.952
2023-04-21,8.81
2023-04-22,8.81
2023-04-23,8.81
2023-04-24,8.899
2023-04-25,8.773
2023-04-26,8.642
2023-04-27,8.791
2023-04-28,8.894
2023-04-29,8.894
2023-04-30,8.894
2023-05-01,8.927
2023-05-02,8.602
2023-05-03,8.304
2023-05-04,8.229
2023-05-05,8.413
2023-05-06,8.413
2023-05-07,8.413
2023-05-08,8.331
2023-05-09,8.899
2023-05-10,8.73
2023-05-11,8.81
2023-05-12,8.69
2023-05-13,8.69
2023-05-14,8.69
2023-05-15,8.74
2023-05-16,8.57
2023-05-17,8.747
2023-05-18,8.791
2023-05-19,8.711
2023-05-20,8.711
2023-05-21,8.711
2023-05-22,8.653
2023-05-23,8.74
2023-05-24,8.749
2023-05-25,8.649
2023-05-26,8.785
2023-05-27,8.785
2023-05-28,8.785
2023-05-29,8.785
2023-05-30,8.761
2023-05-31,8.658
2023-06-01,8.725
2023-06-02,9.182
2023-06-03,9.182
2023-06-04,9.182
2023-06-05,9.249
2023-06-06,9.407
2023-06-07,9.699
2023-06-08,9.649
2023-06-09,9.491
2023-06-10,9.491
2023-06-11,9.491
2023-06-12,9.438
2023-06-13,9.479
2023-06-14,9.467
2023-06-15,9.601
2023-06-16,9.517
2023-06-17,9.517
2023-06-18,9.517
2023-06-19,9.517
2023-06-20,9.407
2023-06-21,9.66
2023-06-22,9.641
2023-06-23,9.397
2023-06-24,9.397
2023-06-25,9.397
2023-06-26,9.361
