,UAL US Equity
2020-07-09,1.972
2020-07-10,2.135
2020-07-11,2.135
2020-07-12,2.135
2020-07-13,2.076
2020-07-14,2.075
2020-07-15,2.377
2020-07-16,2.254
2020-07-17,2.217
2020-07-18,2.217
2020-07-19,2.217
2020-07-20,2.113
2020-07-21,2.161
2020-07-22,2.07
2020-07-23,2.172
2020-07-24,2.149
2020-07-25,2.149
2020-07-26,2.149
2020-07-27,2.119
2020-07-28,2.187
2020-07-29,2.129
2020-07-30,2.075
2020-07-31,2.051
2020-08-01,2.051
2020-08-02,2.051
2020-08-03,2.083
2020-08-04,2.11
2020-08-05,2.205
2020-08-06,2.248
2020-08-07,2.244
2020-08-08,2.244
2020-08-09,2.244
2020-08-10,2.454
2020-08-11,2.407
2020-08-12,2.379
2020-08-13,2.341
2020-08-14,2.365
2020-08-15,2.365
2020-08-16,2.365
2020-08-17,2.248
2020-08-18,2.221
2020-08-19,2.251
2020-08-20,2.225
2020-08-21,2.159
2020-08-22,2.159
2020-08-23,2.159
2020-08-24,2.374
2020-08-25,2.302
2020-08-26,2.239
2020-08-27,2.367
2020-08-28,2.441
2020-08-29,2.441
2020-08-30,2.441
2020-08-31,2.353
2020-09-01,2.354
2020-09-02,2.411
2020-09-03,2.444
2020-09-04,2.497
2020-09-05,2.497
2020-09-06,2.497
2020-09-07,2.497
2020-09-08,2.437
2020-09-09,2.355
2020-09-10,2.382
2020-09-11,2.358
2020-09-12,2.358
2020-09-13,2.358
2020-09-14,2.401
2020-09-15,2.405
2020-09-16,2.503
2020-09-17,2.507
2020-09-18,2.416
2020-09-19,2.416
2020-09-20,2.416
2020-09-21,2.208
2020-09-22,2.227
2020-09-23,2.162
2020-09-24,2.14
2020-09-25,2.235
2020-09-26,2.235
2020-09-27,2.235
2020-09-28,2.349
2020-09-29,2.256
2020-09-30,2.271
2020-10-01,2.299
2020-10-02,2.354
2020-10-03,2.354
2020-10-04,2.354
2020-10-05,2.366
2020-10-06,2.28
2020-10-07,2.378
2020-10-08,2.418
2020-10-09,2.426
2020-10-10,2.426
2020-10-11,2.426
2020-10-12,2.378
2020-10-13,2.305
2020-10-14,2.327
2020-10-15,2.239
2020-10-16,2.233
2020-10-17,2.233
2020-10-18,2.233
2020-10-19,2.32
2020-10-20,2.357
2020-10-21,2.323
2020-10-22,2.434
2020-10-23,2.484
2020-10-24,2.484
2020-10-25,2.484
2020-10-26,2.31
2020-10-27,2.233
2020-10-28,2.131
2020-10-29,2.194
2020-10-30,2.213
2020-10-31,2.213
2020-11-01,2.213
2020-11-02,2.208
2020-11-03,2.224
2020-11-04,2.179
2020-11-05,2.31
2020-11-06,2.267
2020-11-07,2.267
2020-11-08,2.267
2020-11-09,2.701
2020-11-10,2.618
2020-11-11,3.236
2020-11-12,3.097
2020-11-13,3.276
2020-11-14,3.276
2020-11-15,3.276
2020-11-16,3.445
2020-11-17,3.412
2020-11-18,3.45
2020-11-19,3.44
2020-11-20,3.353
2020-11-21,3.353
2020-11-22,3.353
2020-11-23,3.439
2020-11-24,3.778
2020-11-25,3.835
2020-11-26,3.835
2020-11-27,3.807
2020-11-28,3.807
2020-11-29,3.807
2020-11-30,3.786
2020-12-01,3.808
2020-12-02,3.927
2020-12-03,4.194
2020-12-04,4.138
2020-12-05,4.138
2020-12-06,4.138
2020-12-07,4.381
2020-12-08,4.367
2020-12-09,4.276
2020-12-10,4.42
2020-12-11,4.306
2020-12-12,4.306
2020-12-13,4.306
2020-12-14,4.16
2020-12-15,4.226
2020-12-16,4.096
2020-12-17,4.085
2020-12-18,3.984
2020-12-19,3.984
2020-12-20,3.984
2020-12-21,3.923
2020-12-22,3.826
2020-12-23,3.928
2020-12-24,3.852
2020-12-25,3.852
2020-12-26,3.852
2020-12-27,3.852
2020-12-28,3.911
2020-12-29,3.895
2020-12-30,3.976
2020-12-31,3.851
2021-01-01,3.851
2021-01-02,3.851
2021-01-03,3.851
2021-01-04,3.707
2021-01-05,3.865
2021-01-06,3.877
2021-01-07,3.884
2021-01-08,3.855
2021-01-09,3.855
2021-01-10,3.855
2021-01-11,3.802
2021-01-12,3.925
2021-01-13,3.945
2021-01-14,4.11
2021-01-15,3.897
2021-01-16,3.897
2021-01-17,3.897
2021-01-18,3.897
2021-01-19,3.973
2021-01-20,4.011
2021-01-21,3.781
2021-01-22,3.741
2021-01-23,3.741
2021-01-24,3.741
2021-01-25,3.585
2021-01-26,3.662
2021-01-27,3.632
2021-01-28,3.778
2021-01-29,3.551
2021-01-30,3.551
2021-01-31,3.551
2021-02-01,3.546
2021-02-02,3.625
2021-02-03,3.733
2021-02-04,3.765
2021-02-05,3.741
2021-02-06,3.741
2021-02-07,3.741
2021-02-08,3.938
2021-02-09,3.846
2021-02-10,3.887
2021-02-11,3.857
2021-02-12,3.901
2021-02-13,3.901
2021-02-14,3.901
2021-02-15,3.901
2021-02-16,4.068
2021-02-17,4.068
2021-02-18,3.969
2021-02-19,4.24
2021-02-20,4.24
2021-02-21,4.24
2021-02-22,4.388
2021-02-23,4.468
2021-02-24,4.852
2021-02-25,4.571
2021-02-26,4.651
2021-02-27,4.651
2021-02-28,4.651
2021-03-01,4.706
2021-03-02,4.698
2021-03-03,4.818
2021-03-04,4.307
2021-03-05,4.18
2021-03-06,4.18
2021-03-07,4.18
2021-03-08,4.473
2021-03-09,4.421
2021-03-10,4.462
2021-03-11,4.473
2021-03-12,4.658
2021-03-13,4.658
2021-03-14,4.658
2021-03-15,5.043
2021-03-16,4.949
2021-03-17,5.168
2021-03-18,5.033
2021-03-19,5.029
2021-03-20,5.029
2021-03-21,5.029
2021-03-22,4.827
2021-03-23,4.498
2021-03-24,4.454
2021-03-25,4.638
2021-03-26,4.703
2021-03-27,4.703
2021-03-28,4.703
2021-03-29,4.65
2021-03-30,4.817
2021-03-31,4.761
2021-04-01,4.784
2021-04-02,4.784
2021-04-03,4.784
2021-04-04,4.784
2021-04-05,4.906
2021-04-06,4.922
2021-04-07,4.929
2021-04-08,4.918
2021-04-09,4.835
2021-04-10,4.835
2021-04-11,4.835
2021-04-12,4.647
2021-04-13,4.688
2021-04-14,4.71
2021-04-15,3.668
2021-04-16,3.652
2021-04-17,3.652
2021-04-18,3.652
2021-04-19,3.594
2021-04-20,3.288
2021-04-21,3.39
2021-04-22,3.335
2021-04-23,3.471
2021-04-24,3.471
2021-04-25,3.471
2021-04-26,3.515
2021-04-27,3.495
2021-04-28,3.5
2021-04-29,3.509
2021-04-30,3.556
2021-05-01,3.556
2021-05-02,3.556
2021-05-03,3.559
2021-05-04,3.451
2021-05-05,3.482
2021-05-06,3.467
2021-05-07,3.577
2021-05-08,3.577
2021-05-09,3.577
2021-05-10,3.531
2021-05-11,3.444
2021-05-12,3.334
2021-05-13,5.201
2021-05-14,5.484
2021-05-15,5.484
2021-05-16,5.484
2021-05-17,5.612
2021-05-18,5.593
2021-05-19,5.535
2021-05-20,5.465
2021-05-21,5.486
2021-05-22,5.486
2021-05-23,5.486
2021-05-24,5.569
2021-05-25,5.653
2021-05-26,5.755
2021-05-27,5.857
2021-05-28,5.78
2021-05-29,5.78
2021-05-30,5.78
2021-05-31,5.78
2021-06-01,5.911
2021-06-02,5.972
2021-06-03,5.719
2021-06-04,5.639
2021-06-05,5.639
2021-06-06,5.639
2021-06-07,5.676
2021-06-08,5.719
2021-06-09,5.669
2021-06-10,5.573
2021-06-11,5.599
2021-06-12,5.599
2021-06-13,5.599
2021-06-14,5.522
2021-06-15,5.477
2021-06-16,5.508
2021-06-17,5.134
2021-06-18,5.198
2021-06-19,5.198
2021-06-20,5.198
2021-06-21,5.271
2021-06-22,5.222
2021-06-23,5.217
2021-06-24,5.143
2021-06-25,5.1
2021-06-26,5.1
2021-06-27,5.1
2021-06-28,4.968
2021-06-29,4.605
2021-06-30,4.617
2021-07-01,4.687
2021-07-02,4.66
2021-07-03,4.66
2021-07-04,4.66
2021-07-05,4.66
2021-07-06,4.542
2021-07-07,4.442
2021-07-08,4.385
2021-07-09,4.512
2021-07-10,4.512
2021-07-11,4.512
2021-07-12,4.624
2021-07-13,4.43
2021-07-14,4.399
2021-07-15,4.358
2021-07-16,4.203
2021-07-17,4.203
2021-07-18,4.203
2021-07-19,3.97
2021-07-20,4.221
2021-07-21,4.463
2021-07-22,4.449
2021-07-23,4.41
2021-07-24,4.41
2021-07-25,4.41
2021-07-26,4.589
2021-07-27,4.514
2021-07-28,4.56
2021-07-29,4.499
2021-07-30,4.335
2021-07-31,4.335
2021-08-01,4.335
2021-08-02,4.275
2021-08-03,4.318
2021-08-04,4.202
2021-08-05,4.383
2021-08-06,4.419
2021-08-07,4.419
2021-08-08,4.419
2021-08-09,4.31
2021-08-10,4.424
2021-08-11,4.798
2021-08-12,4.701
2021-08-13,4.627
2021-08-14,4.627
2021-08-15,4.627
2021-08-16,4.608
2021-08-17,4.507
2021-08-18,4.482
2021-08-19,4.372
2021-08-20,4.382
2021-08-21,4.382
2021-08-22,4.382
2021-08-23,4.531
2021-08-24,4.689
2021-08-25,4.736
2021-08-26,4.681
2021-08-27,4.751
2021-08-28,4.751
2021-08-29,4.751
2021-08-30,4.572
2021-08-31,4.632
2021-09-01,4.6
2021-09-02,4.656
2021-09-03,4.603
2021-09-04,4.603
2021-09-05,4.603
2021-09-06,4.603
2021-09-07,4.638
2021-09-08,4.534
2021-09-09,4.781
2021-09-10,4.551
2021-09-11,4.551
2021-09-12,4.551
2021-09-13,4.603
2021-09-14,4.503
2021-09-15,4.502
2021-09-16,4.565
2021-09-17,4.572
2021-09-18,4.572
2021-09-19,4.572
2021-09-20,4.647
2021-09-21,4.563
2021-09-22,4.689
2021-09-23,4.873
2021-09-24,5.008
2021-09-25,5.008
2021-09-26,5.008
2021-09-27,5.038
2021-09-28,4.997
2021-09-29,5.0
2021-09-30,4.883
2021-10-01,5.27
2021-10-02,5.27
2021-10-03,5.27
2021-10-04,5.259
2021-10-05,5.26
2021-10-06,5.251
2021-10-07,5.178
2021-10-08,5.141
2021-10-09,5.141
2021-10-10,5.141
2021-10-11,5.143
2021-10-12,5.178
2021-10-13,4.991
2021-10-14,4.994
2021-10-15,5.004
2021-10-16,5.004
2021-10-17,5.004
2021-10-18,4.917
2021-10-19,4.827
2021-10-20,4.736
2021-10-21,4.763
2021-10-22,4.764
2021-10-23,4.764
2021-10-24,4.764
2021-10-25,4.756
2021-10-26,4.771
2021-10-27,4.672
2021-10-28,4.594
2021-10-29,4.607
2021-10-30,4.607
2021-10-31,4.607
2021-11-01,4.798
2021-11-02,4.791
2021-11-03,4.898
2021-11-04,4.907
2021-11-05,5.263
2021-11-06,5.263
2021-11-07,5.263
2021-11-08,5.303
2021-11-09,5.273
2021-11-10,5.169
2021-11-11,5.126
2021-11-12,4.976
2021-11-13,4.976
2021-11-14,4.976
2021-11-15,5.04
2021-11-16,4.913
2021-11-17,5.048
2021-11-18,4.87
2021-11-19,4.734
2021-11-20,4.734
2021-11-21,4.734
2021-11-22,4.772
2021-11-23,4.795
2021-11-24,4.798
2021-11-25,4.798
2021-11-26,4.339
2021-11-27,4.339
2021-11-28,4.339
2021-11-29,4.368
2021-11-30,4.339
2021-12-01,4.01
2021-12-02,4.253
2021-12-03,4.317
2021-12-04,4.317
2021-12-05,4.317
2021-12-06,4.676
2021-12-07,4.614
2021-12-08,4.81
2021-12-09,4.724
2021-12-10,4.682
2021-12-11,4.682
2021-12-12,4.682
2021-12-13,4.437
2021-12-14,4.398
2021-12-15,4.411
2021-12-16,4.257
2021-12-17,4.335
2021-12-18,4.335
2021-12-19,4.335
2021-12-20,4.369
2021-12-21,4.693
2021-12-22,4.762
2021-12-23,4.794
2021-12-24,4.794
2021-12-25,4.794
2021-12-26,4.794
2021-12-27,4.763
2021-12-28,4.837
2021-12-29,4.747
2021-12-30,4.715
2021-12-31,4.677
2022-01-01,4.677
2022-01-02,4.677
2022-01-03,4.86
2022-01-04,4.941
2022-01-05,4.891
2022-01-06,4.89
2022-01-07,5.083
2022-01-08,5.083
2022-01-09,5.083
2022-01-10,5.005
2022-01-11,5.056
2022-01-12,5.017
2022-01-13,5.192
2022-01-14,5.038
2022-01-15,5.038
2022-01-16,5.038
2022-01-17,5.038
2022-01-18,4.916
2022-01-19,4.788
2022-01-20,4.766
2022-01-21,4.346
2022-01-22,4.346
2022-01-23,4.346
2022-01-24,4.326
2022-01-25,4.552
2022-01-26,4.514
2022-01-27,4.413
2022-01-28,4.411
2022-01-29,4.411
2022-01-30,4.411
2022-01-31,4.624
2022-02-01,4.74
2022-02-02,4.757
2022-02-03,4.645
2022-02-04,4.617
2022-02-05,4.617
2022-02-06,4.617
2022-02-07,4.792
2022-02-08,5.05
2022-02-09,5.276
2022-02-10,5.303
2022-02-11,5.058
2022-02-12,5.058
2022-02-13,5.058
2022-02-14,5.026
2022-02-15,5.406
2022-02-16,5.377
2022-02-17,5.179
2022-02-18,5.079
2022-02-19,5.079
2022-02-20,5.079
2022-02-21,5.079
2022-02-22,5.0
2022-02-23,4.733
2022-02-24,4.756
2022-02-25,4.961
2022-02-26,4.961
2022-02-27,4.961
2022-02-28,4.804
2022-03-01,4.528
2022-03-02,4.589
2022-03-03,4.393
2022-03-04,3.995
2022-03-05,3.995
2022-03-06,3.995
2022-03-07,3.395
2022-03-08,3.563
2022-03-09,3.857
2022-03-10,3.89
2022-03-11,3.854
2022-03-12,3.854
2022-03-13,3.854
2022-03-14,3.934
2022-03-15,4.276
2022-03-16,4.606
2022-03-17,4.668
2022-03-18,4.722
2022-03-19,4.722
2022-03-20,4.722
2022-03-21,4.515
2022-03-22,4.664
2022-03-23,4.59
2022-03-24,4.728
2022-03-25,4.772
2022-03-26,4.772
2022-03-27,4.772
2022-03-28,4.847
2022-03-29,5.048
2022-03-30,5.08
2022-03-31,5.136
2022-04-01,5.071
2022-04-02,5.071
2022-04-03,5.071
2022-04-04,5.05
2022-04-05,4.959
2022-04-06,4.777
2022-04-07,4.703
2022-04-08,4.648
2022-04-09,4.648
2022-04-10,4.648
2022-04-11,4.902
2022-04-12,4.882
2022-04-13,5.297
2022-04-14,5.296
2022-04-15,5.296
2022-04-16,5.296
2022-04-17,5.296
2022-04-18,5.165
2022-04-19,5.398
2022-04-20,5.465
2022-04-21,5.375
2022-04-22,5.411
2022-04-23,5.411
2022-04-24,5.411
2022-04-25,5.394
2022-04-26,5.023
2022-04-27,5.169
2022-04-28,5.327
2022-04-29,5.192
2022-04-30,5.192
2022-05-01,5.192
2022-05-02,5.16
2022-05-03,5.282
2022-05-04,5.433
2022-05-05,5.119
2022-05-06,4.974
2022-05-07,4.974
2022-05-08,4.974
2022-05-09,4.534
2022-05-10,4.618
2022-05-11,4.52
2022-05-12,4.344
2022-05-13,4.529
2022-05-14,4.529
2022-05-15,4.529
2022-05-16,4.528
2022-05-17,4.885
2022-05-18,4.642
2022-05-19,4.595
2022-05-20,4.526
2022-05-21,4.526
2022-05-22,4.526
2022-05-23,4.607
2022-05-24,4.279
2022-05-25,4.434
2022-05-26,4.716
2022-05-27,4.956
2022-05-28,4.956
2022-05-29,4.956
2022-05-30,4.956
2022-05-31,4.876
2022-06-01,4.657
2022-06-02,4.686
2022-06-03,4.549
2022-06-04,4.549
2022-06-05,4.549
2022-06-06,4.582
2022-06-07,4.755
2022-06-08,4.566
2022-06-09,4.282
2022-06-10,4.128
2022-06-11,4.128
2022-06-12,4.128
2022-06-13,3.713
2022-06-14,3.71
2022-06-15,3.8
2022-06-16,3.651
2022-06-17,3.808
2022-06-18,3.808
2022-06-19,3.808
2022-06-20,3.808
2022-06-21,3.831
2022-06-22,3.854
2022-06-23,3.759
2022-06-24,4.042
2022-06-25,4.042
2022-06-26,4.042
2022-06-27,3.867
2022-06-28,3.883
2022-06-29,3.748
2022-06-30,3.721
2022-07-01,3.828
2022-07-02,3.828
2022-07-03,3.828
2022-07-04,3.828
2022-07-05,3.883
2022-07-06,3.851
2022-07-07,3.904
2022-07-08,3.916
2022-07-09,3.916
2022-07-10,3.916
2022-07-11,3.798
2022-07-12,4.105
2022-07-13,4.071
2022-07-14,4.16
2022-07-15,4.262
2022-07-16,4.262
2022-07-17,4.262
2022-07-18,4.324
2022-07-19,4.558
2022-07-20,4.711
2022-07-21,4.222
2022-07-22,4.118
2022-07-23,4.118
2022-07-24,4.118
2022-07-25,4.131
2022-07-26,3.969
2022-07-27,4.091
2022-07-28,4.127
2022-07-29,4.128
2022-07-30,4.128
2022-07-31,4.128
2022-08-01,4.233
2022-08-02,4.215
2022-08-03,4.374
2022-08-04,4.374
2022-08-05,4.282
2022-08-06,4.282
2022-08-07,4.282
2022-08-08,4.376
2022-08-09,4.28
2022-08-10,4.381
2022-08-11,4.375
2022-08-12,4.451
2022-08-13,4.451
2022-08-14,4.451
2022-08-15,4.527
2022-08-16,4.576
2022-08-17,4.425
2022-08-18,4.437
2022-08-19,4.259
2022-08-20,4.259
2022-08-21,4.259
2022-08-22,4.13
2022-08-23,4.192
2022-08-24,4.247
2022-08-25,4.347
2022-08-26,4.154
2022-08-27,4.154
2022-08-28,4.154
2022-08-29,4.091
2022-08-30,4.082
2022-08-31,3.977
2022-09-01,3.996
2022-09-02,4.009
2022-09-03,4.009
2022-09-04,4.009
2022-09-05,4.009
2022-09-06,4.238
2022-09-07,4.472
2022-09-08,4.493
2022-09-09,4.537
2022-09-10,4.537
2022-09-11,4.537
2022-09-12,4.522
2022-09-13,4.357
2022-09-14,4.43
2022-09-15,4.485
2022-09-16,4.416
2022-09-17,4.416
2022-09-18,4.416
2022-09-19,4.56
2022-09-20,4.497
2022-09-21,4.256
2022-09-22,4.043
2022-09-23,3.881
2022-09-24,3.881
2022-09-25,3.881
2022-09-26,3.744
2022-09-27,3.853
2022-09-28,3.981
2022-09-29,3.862
2022-09-30,3.818
2022-10-01,3.818
2022-10-02,3.818
2022-10-03,3.874
2022-10-04,4.133
2022-10-05,4.144
2022-10-06,4.09
2022-10-07,3.961
2022-10-08,3.961
2022-10-09,3.961
2022-10-10,4.001
2022-10-11,3.969
2022-10-12,4.021
2022-10-13,4.158
2022-10-14,4.167
2022-10-15,4.167
2022-10-16,4.167
2022-10-17,4.241
2022-10-18,4.339
2022-10-19,4.487
2022-10-20,4.394
2022-10-21,4.55
2022-10-22,4.55
2022-10-23,4.55
2022-10-24,4.705
2022-10-25,4.785
2022-10-26,4.769
2022-10-27,4.829
2022-10-28,4.954
2022-10-29,4.954
2022-10-30,4.954
2022-10-31,4.882
2022-11-01,4.834
2022-11-02,4.658
2022-11-03,4.644
2022-11-04,4.833
2022-11-05,4.833
2022-11-06,4.833
2022-11-07,4.851
2022-11-08,4.783
2022-11-09,4.819
2022-11-10,5.042
2022-11-11,5.085
2022-11-12,5.085
2022-11-13,5.085
2022-11-14,5.007
2022-11-15,5.009
2022-11-16,4.923
2022-11-17,4.919
2022-11-18,4.984
2022-11-19,4.984
2022-11-20,4.984
2022-11-21,4.939
2022-11-22,4.939
2022-11-23,4.969
2022-11-24,4.969
2022-11-25,5.037
2022-11-26,5.037
2022-11-27,5.037
2022-11-28,4.879
2022-11-29,4.955
2022-11-30,5.009
2022-12-01,4.977
2022-12-02,4.977
2022-12-03,4.977
2022-12-04,4.977
2022-12-05,5.107
2022-12-06,5.208
2022-12-07,4.997
2022-12-08,4.854
2022-12-09,4.881
2022-12-10,4.881
2022-12-11,4.881
2022-12-12,5.017
2022-12-13,4.669
2022-12-14,4.548
2022-12-15,4.372
2022-12-16,4.292
2022-12-17,4.292
2022-12-18,4.292
2022-12-19,4.242
2022-12-20,4.283
2022-12-21,4.326
2022-12-22,4.318
2022-12-23,4.331
2022-12-24,4.331
2022-12-25,4.331
2022-12-26,4.331
2022-12-27,4.309
2022-12-28,4.206
2022-12-29,4.277
2022-12-30,4.253
2022-12-31,4.253
2023-01-01,4.253
2023-01-02,4.253
2023-01-03,4.129
2023-01-04,4.366
2023-01-05,4.563
2023-01-06,4.674
2023-01-07,4.674
2023-01-08,4.674
2023-01-09,4.875
2023-01-10,5.145
2023-01-11,5.37
2023-01-12,5.774
2023-01-13,5.814
2023-01-14,5.814
2023-01-15,5.814
2023-01-16,5.814
2023-01-17,5.605
2023-01-18,5.169
2023-01-19,5.316
2023-01-20,5.436
2023-01-21,5.436
2023-01-22,5.436
2023-01-23,5.202
2023-01-24,5.204
2023-01-25,5.307
2023-01-26,5.22
2023-01-27,5.12
2023-01-28,5.12
2023-01-29,5.12
2023-01-30,5.065
2023-01-31,5.115
2023-02-01,5.247
2023-02-02,5.465
2023-02-03,5.341
2023-02-04,5.341
2023-02-05,5.341
2023-02-06,5.128
2023-02-07,5.111
2023-02-08,5.113
2023-02-09,5.017
2023-02-10,4.92
2023-02-11,4.92
2023-02-12,4.92
2023-02-13,4.954
2023-02-14,5.06
2023-02-15,5.045
2023-02-16,4.793
2023-02-17,4.855
2023-02-18,4.855
2023-02-19,4.855
2023-02-20,4.855
2023-02-21,4.715
2023-02-22,4.772
2023-02-23,4.948
2023-02-24,4.912
2023-02-25,4.912
2023-02-26,4.912
2023-02-27,4.96
2023-02-28,5.161
2023-03-01,5.18
2023-03-02,5.197
2023-03-03,5.246
2023-03-04,5.246
2023-03-05,5.246
2023-03-06,5.185
2023-03-07,5.214
2023-03-08,5.154
2023-03-09,5.032
2023-03-10,4.787
2023-03-11,4.787
2023-03-12,4.787
2023-03-13,4.533
2023-03-14,4.437
2023-03-15,4.142
2023-03-16,4.205
2023-03-17,4.152
2023-03-18,4.152
2023-03-19,4.152
2023-03-20,4.157
2023-03-21,4.27
2023-03-22,4.131
2023-03-23,4.019
2023-03-24,3.884
2023-03-25,3.884
2023-03-26,3.884
2023-03-27,3.938
2023-03-28,3.982
2023-03-29,4.144
2023-03-30,4.167
2023-03-31,4.218
2023-04-01,4.218
2023-04-02,4.218
2023-04-03,4.163
2023-04-04,4.058
2023-04-05,4.009
2023-04-06,4.069
2023-04-07,4.069
2023-04-08,4.069
2023-04-09,4.069
2023-04-10,4.203
2023-04-11,4.254
2023-04-12,3.977
2023-04-13,4.028
2023-04-14,3.999
2023-04-15,3.999
2023-04-16,3.999
2023-04-17,4.068
2023-04-18,4.131
2023-04-19,4.389
2023-04-20,4.174
2023-04-21,4.133
2023-04-22,4.133
2023-04-23,4.133
2023-04-24,4.07
2023-04-25,3.936
2023-04-26,3.946
2023-04-27,4.014
2023-04-28,4.105
2023-04-29,4.105
2023-04-30,4.105
2023-05-01,4.178
2023-05-02,4.189
2023-05-03,4.185
2023-05-04,4.037
2023-05-05,4.215
2023-05-06,4.215
2023-05-07,4.215
2023-05-08,4.269
2023-05-09,4.315
2023-05-10,4.237
2023-05-11,4.236
2023-05-12,4.236
2023-05-13,4.236
2023-05-14,4.236
2023-05-15,4.238
2023-05-16,4.254
2023-05-17,4.479
2023-05-18,4.515
2023-05-19,4.427
2023-05-20,4.427
2023-05-21,4.427
2023-05-22,4.392
2023-05-23,4.434
2023-05-24,4.322
2023-05-25,4.398
2023-05-26,4.378
2023-05-27,4.378
2023-05-28,4.378
2023-05-29,4.378
2023-05-30,4.447
2023-05-31,4.397
2023-06-01,4.392
2023-06-02,4.497
2023-06-03,4.497
2023-06-04,4.497
2023-06-05,4.474
2023-06-06,4.523
2023-06-07,4.579
2023-06-08,4.624
2023-06-09,4.675
2023-06-10,4.675
2023-06-11,4.675
2023-06-12,4.83
2023-06-13,5.005
2023-06-14,5.02
2023-06-15,5.041
2023-06-16,5.034
2023-06-17,5.034
2023-06-18,5.034
2023-06-19,5.034
2023-06-20,4.959
2023-06-21,4.973
2023-06-22,4.963
