,PSX US Equity
,BEST_PE_RATIO
2020-08-18,6.732
2020-08-19,6.744
2020-08-20,6.695
2020-08-21,6.695
2020-08-22,6.695
2020-08-23,6.695
2020-08-24,6.989
2020-08-25,6.767
2020-08-26,6.592
2020-08-27,6.617
2020-08-28,6.785
2020-08-29,6.785
2020-08-30,6.785
2020-08-31,6.42
2020-09-01,6.455
2020-09-02,6.594
2020-09-03,6.554
2020-09-04,6.476
2020-09-05,6.476
2020-09-06,6.476
2020-09-07,6.476
2020-09-08,6.364
2020-09-09,6.354
2020-09-10,6.079
2020-09-11,6.636
2020-09-12,6.636
2020-09-13,6.636
2020-09-14,6.787
2020-09-15,6.75
2020-09-16,7.036
2020-09-17,7.018
2020-09-18,6.956
2020-09-19,6.956
2020-09-20,6.956
2020-09-21,6.502
2020-09-22,6.437
2020-09-23,6.12
2020-09-24,6.145
2020-09-25,6.149
2020-09-26,6.149
2020-09-27,6.149
2020-09-28,6.277
2020-09-29,6.069
2020-09-30,6.028
2020-10-01,5.847
2020-10-02,5.937
2020-10-03,5.937
2020-10-04,5.937
2020-10-05,6.194
2020-10-06,6.123
2020-10-07,6.228
2020-10-08,6.433
2020-10-09,6.361
2020-10-10,6.361
2020-10-11,6.361
2020-10-12,6.411
2020-10-13,5.922
2020-10-14,6.015
2020-10-15,6.065
2020-10-16,5.842
2020-10-17,5.842
2020-10-18,5.842
2020-10-19,5.654
2020-10-20,5.728
2020-10-21,5.627
2020-10-22,5.776
2020-10-23,5.831
2020-10-24,5.831
2020-10-25,5.831
2020-10-26,5.56
2020-10-27,5.437
2020-10-28,5.107
2020-10-29,5.311
2020-10-30,5.434
2020-10-31,5.434
2020-11-01,5.434
2020-11-02,5.42
2020-11-03,5.37
2020-11-04,5.415
2020-11-05,5.446
2020-11-06,5.275
2020-11-07,5.275
2020-11-08,5.275
2020-11-09,6.445
2020-11-10,6.57
2020-11-11,6.665
2020-11-12,6.198
2020-11-13,6.65
2020-11-14,6.65
2020-11-15,6.65
2020-11-16,7.198
2020-11-17,7.395
2020-11-18,6.972
2020-11-19,7.052
2020-11-20,7.068
2020-11-21,7.068
2020-11-22,7.068
2020-11-23,7.556
2020-11-24,7.772
2020-11-25,7.604
2020-11-26,7.604
2020-11-27,7.486
2020-11-28,7.486
2020-11-29,7.486
2020-11-30,6.952
2020-12-01,6.8
2020-12-02,7.08
2020-12-03,7.145
2020-12-04,7.618
2020-12-05,7.618
2020-12-06,7.618
2020-12-07,7.368
2020-12-08,7.405
2020-12-09,7.557
2020-12-10,7.787
2020-12-11,7.638
2020-12-12,7.638
2020-12-13,7.638
2020-12-14,7.43
2020-12-15,7.547
2020-12-16,7.441
2020-12-17,7.428
2020-12-18,7.392
2020-12-19,7.392
2020-12-20,7.392
2020-12-21,7.353
2020-12-22,7.465
2020-12-23,7.67
2020-12-24,7.6
2020-12-25,7.6
2020-12-26,7.6
2020-12-27,7.6
2020-12-28,7.667
2020-12-29,7.562
2020-12-30,7.807
2020-12-31,7.734
2021-01-01,7.734
2021-01-02,7.734
2021-01-03,7.734
2021-01-04,7.728
2021-01-05,7.909
2021-01-06,7.916
2021-01-07,7.987
2021-01-08,7.859
2021-01-09,7.859
2021-01-10,7.859
2021-01-11,8.032
2021-01-12,8.196
2021-01-13,7.977
2021-01-14,8.982
2021-01-15,10.492
2021-01-16,10.492
2021-01-17,10.492
2021-01-18,10.492
2021-01-19,10.937
2021-01-20,11.026
2021-01-21,10.7
2021-01-22,10.611
2021-01-23,10.611
2021-01-24,10.611
2021-01-25,10.542
2021-01-26,10.429
2021-01-27,10.413
2021-01-28,10.45
2021-01-29,9.916
2021-01-30,9.916
2021-01-31,9.916
2021-02-01,10.032
2021-02-02,10.223
2021-02-03,10.615
2021-02-04,10.71
2021-02-05,10.726
2021-02-06,10.726
2021-02-07,10.726
2021-02-08,11.285
2021-02-09,11.097
2021-02-10,11.423
2021-02-11,11.501
2021-02-12,11.499
2021-02-13,11.499
2021-02-14,11.499
2021-02-15,11.499
2021-02-16,11.821
2021-02-17,12.007
2021-02-18,11.919
2021-02-19,12.395
2021-02-20,12.395
2021-02-21,12.395
2021-02-22,11.838
2021-02-23,12.059
2021-02-24,12.301
2021-02-25,11.933
2021-02-26,11.709
2021-02-27,11.709
2021-02-28,11.709
2021-03-01,11.942
2021-03-02,11.599
2021-03-03,11.821
2021-03-04,11.901
2021-03-05,12.316
2021-03-06,12.316
2021-03-07,12.316
2021-03-08,11.941
2021-03-09,11.526
2021-03-10,11.937
2021-03-11,11.841
2021-03-12,11.966
2021-03-13,11.966
2021-03-14,11.966
2021-03-15,11.856
2021-03-16,11.463
2021-03-17,11.535
2021-03-18,10.982
2021-03-19,11.103
2021-03-20,11.103
2021-03-21,11.103
2021-03-22,10.876
2021-03-23,10.66
2021-03-24,11.072
2021-03-25,11.127
2021-03-26,11.379
2021-03-27,11.379
2021-03-28,11.379
2021-03-29,11.139
2021-03-30,11.109
2021-03-31,11.005
2021-04-01,11.224
2021-04-02,11.224
2021-04-03,11.224
2021-04-04,11.224
2021-04-05,11.076
2021-04-06,10.886
2021-04-07,10.771
2021-04-08,10.559
2021-04-09,10.641
2021-04-10,10.641
2021-04-11,10.641
2021-04-12,10.366
2021-04-13,10.366
2021-04-14,10.602
2021-04-15,9.419
2021-04-16,9.379
2021-04-17,9.379
2021-04-18,9.379
2021-04-19,9.29
2021-04-20,8.815
2021-04-21,9.002
2021-04-22,8.76
2021-04-23,8.94
2021-04-24,8.94
2021-04-25,8.94
2021-04-26,8.941
2021-04-27,9.128
2021-04-28,9.362
2021-04-29,9.481
2021-04-30,9.382
2021-05-01,9.382
2021-05-02,9.382
2021-05-03,9.721
2021-05-04,9.615
2021-05-05,9.842
2021-05-06,9.914
2021-05-07,9.964
2021-05-08,9.964
2021-05-09,9.964
2021-05-10,9.912
2021-05-11,9.685
2021-05-12,9.883
2021-05-13,9.768
2021-05-14,10.156
2021-05-15,10.156
2021-05-16,10.156
2021-05-17,10.24
2021-05-18,10.016
2021-05-19,9.897
2021-05-20,9.824
2021-05-21,9.568
2021-05-22,9.568
2021-05-23,9.568
2021-05-24,9.706
2021-05-25,9.447
2021-05-26,9.463
2021-05-27,9.581
2021-05-28,9.56
2021-05-29,9.56
2021-05-30,9.56
2021-05-31,9.56
2021-06-01,9.858
2021-06-02,10.173
2021-06-03,10.126
2021-06-04,10.384
2021-06-05,10.384
2021-06-06,10.384
2021-06-07,10.489
2021-06-08,10.506
2021-06-09,10.494
2021-06-10,10.402
2021-06-11,10.326
2021-06-12,10.326
2021-06-13,10.326
2021-06-14,10.379
2021-06-15,10.454
2021-06-16,10.3
2021-06-17,9.837
2021-06-18,9.554
2021-06-19,9.554
2021-06-20,9.554
2021-06-21,9.915
2021-06-22,9.985
2021-06-23,10.018
2021-06-24,10.181
2021-06-25,10.22
2021-06-26,10.22
2021-06-27,10.22
2021-06-28,9.696
2021-06-29,9.666
2021-06-30,9.746
2021-07-01,9.891
2021-07-02,9.983
2021-07-03,9.983
2021-07-04,9.983
2021-07-05,9.983
2021-07-06,9.677
2021-07-07,9.458
2021-07-08,9.454
2021-07-09,9.677
2021-07-10,9.677
2021-07-11,9.677
2021-07-12,9.642
2021-07-13,9.554
2021-07-14,9.386
2021-07-15,9.777
2021-07-16,9.436
2021-07-17,9.436
2021-07-18,9.436
2021-07-19,8.938
2021-07-20,9.012
2021-07-21,9.345
2021-07-22,9.726
2021-07-23,9.707
2021-07-24,9.707
2021-07-25,9.707
2021-07-26,9.996
2021-07-27,10.026
2021-07-28,10.117
2021-07-29,10.058
2021-07-30,9.877
2021-07-31,9.877
2021-08-01,9.877
2021-08-02,9.883
2021-08-03,10.744
2021-08-04,10.65
2021-08-05,10.907
2021-08-06,10.995
2021-08-07,10.995
2021-08-08,10.995
2021-08-09,10.477
2021-08-10,10.652
2021-08-11,10.678
2021-08-12,10.682
2021-08-13,10.603
2021-08-14,10.603
2021-08-15,10.603
2021-08-16,10.311
2021-08-17,10.168
2021-08-18,9.904
2021-08-19,9.631
2021-08-20,9.584
