,MSM US Equity
,BEST_PE_RATIO
2020-06-05,12.052
2020-06-06,12.052
2020-06-07,12.052
2020-06-08,12.174
2020-06-09,11.242
2020-06-10,11.13
2020-06-11,10.456
2020-06-12,10.513
2020-06-13,10.513
2020-06-14,10.513
2020-06-15,10.71
2020-06-16,11.016
2020-06-17,11.011
2020-06-18,10.897
2020-06-19,10.799
2020-06-20,10.799
2020-06-21,10.799
2020-06-22,10.761
2020-06-23,10.692
2020-06-24,10.386
2020-06-25,10.632
2020-06-26,10.484
2020-06-27,10.484
2020-06-28,10.484
2020-06-29,10.716
2020-06-30,10.966
2020-07-01,10.789
2020-07-02,11.01
2020-07-03,11.01
2020-07-04,11.01
2020-07-05,11.01
2020-07-06,11.276
2020-07-07,11.105
2020-07-08,10.56
2020-07-09,9.944
2020-07-10,8.836
2020-07-11,8.836
2020-07-12,8.836
2020-07-13,8.974
2020-07-14,9.055
2020-07-15,9.122
2020-07-16,9.23
2020-07-17,9.225
2020-07-18,9.225
2020-07-19,9.225
2020-07-20,9.084
2020-07-21,9.226
2020-07-22,9.243
2020-07-23,9.418
2020-07-24,9.315
2020-07-25,9.315
2020-07-26,9.315
2020-07-27,9.487
2020-07-28,9.259
2020-07-29,9.461
2020-07-30,9.36
2020-07-31,9.129
2020-08-01,9.129
2020-08-02,9.129
2020-08-03,9.359
2020-08-04,9.339
2020-08-05,9.505
2020-08-06,9.424
2020-08-07,9.541
2020-08-08,9.541
2020-08-09,9.541
2020-08-10,9.692
2020-08-11,9.673
2020-08-12,9.514
2020-08-13,9.427
2020-08-14,9.384
2020-08-15,9.384
2020-08-16,9.384
2020-08-17,9.312
2020-08-18,9.15
2020-08-19,9.012
2020-08-20,9.032
2020-08-21,8.929
2020-08-22,8.929
2020-08-23,8.929
2020-08-24,8.97
2020-08-25,8.853
2020-08-26,8.876
2020-08-27,9.008
2020-08-28,9.216
2020-08-29,9.216
2020-08-30,9.216
2020-08-31,9.114
2020-09-01,9.29
2020-09-02,9.428
2020-09-03,9.276
2020-09-04,9.309
2020-09-05,9.309
2020-09-06,9.309
2020-09-07,9.309
2020-09-08,8.865
2020-09-09,8.927
2020-09-10,8.73
2020-09-11,8.764
2020-09-12,8.764
2020-09-13,8.764
2020-09-14,9.012
2020-09-15,8.884
2020-09-16,9.005
2020-09-17,8.974
2020-09-18,8.947
2020-09-19,8.947
2020-09-20,8.947
2020-09-21,8.496
2020-09-22,8.62
2020-09-23,8.388
2020-09-24,8.488
2020-09-25,8.522
2020-09-26,8.522
2020-09-27,8.522
2020-09-28,8.716
2020-09-29,8.698
2020-09-30,8.752
2020-10-01,8.609
2020-10-02,8.725
2020-10-03,8.725
2020-10-04,8.725
2020-10-05,8.933
2020-10-06,8.777
2020-10-07,8.988
2020-10-08,8.959
2020-10-09,9.048
2020-10-10,9.048
2020-10-11,9.048
2020-10-12,9.28
2020-10-13,9.035
2020-10-14,9.026
2020-10-15,9.148
2020-10-16,9.161
2020-10-17,9.161
2020-10-18,9.161
2020-10-19,9.058
2020-10-20,9.238
2020-10-21,9.152
2020-10-22,9.317
2020-10-23,9.36
2020-10-24,9.36
2020-10-25,9.36
2020-10-26,9.123
2020-10-27,9.471
2020-10-28,9.478
2020-10-29,9.54
2020-10-30,9.837
2020-10-31,9.837
2020-11-01,9.837
2020-11-02,10.379
2020-11-03,10.848
2020-11-04,10.361
2020-11-05,10.388
2020-11-06,10.561
2020-11-07,10.561
2020-11-08,10.561
2020-11-09,11.136
2020-11-10,11.587
2020-11-11,11.601
2020-11-12,11.412
2020-11-13,11.673
2020-11-14,11.673
2020-11-15,11.673
2020-11-16,12.159
2020-11-17,11.878
2020-11-18,12.041
2020-11-19,12.108
2020-11-20,11.888
2020-11-21,11.888
2020-11-22,11.888
2020-11-23,12.233
2020-11-24,12.457
2020-11-25,12.176
2020-11-26,12.176
2020-11-27,12.406
2020-11-28,12.406
2020-11-29,12.406
2020-11-30,12.383
2020-12-01,12.29
2020-12-02,12.216
2020-12-03,12.217
2020-12-04,12.562
2020-12-05,12.562
2020-12-06,12.562
2020-12-07,12.453
2020-12-08,12.556
2020-12-09,12.706
2020-12-10,12.595
2020-12-11,12.63
2020-12-12,12.63
2020-12-13,12.63
2020-12-14,12.288
2020-12-15,12.599
2020-12-16,12.265
2020-12-17,12.278
2020-12-18,12.352
2020-12-19,12.352
2020-12-20,12.352
2020-12-21,12.423
2020-12-22,12.38
2020-12-23,12.409
2020-12-24,12.419
2020-12-25,12.419
2020-12-26,12.419
2020-12-27,12.419
2020-12-28,12.42
2020-12-29,12.239
2020-12-30,12.235
2020-12-31,12.237
2021-01-01,12.237
2021-01-02,12.237
2021-01-03,12.237
2021-01-04,11.844
2021-01-05,11.937
2021-01-06,11.912
2021-01-07,12.082
2021-01-08,12.018
2021-01-09,12.018
2021-01-10,12.018
2021-01-11,11.94
2021-01-12,12.218
2021-01-13,11.974
2021-01-14,12.003
2021-01-15,12.087
2021-01-16,12.087
2021-01-17,12.087
2021-01-18,12.087
2021-01-19,11.995
2021-01-20,11.735
2021-01-21,11.755
2021-01-22,11.941
2021-01-23,11.941
2021-01-24,11.941
2021-01-25,11.865
2021-01-26,11.559
2021-01-27,11.565
2021-01-28,11.327
2021-01-29,11.19
2021-01-30,11.19
2021-01-31,11.19
2021-02-01,11.493
2021-02-02,11.651
2021-02-03,11.807
2021-02-04,12.181
2021-02-05,12.354
2021-02-06,12.354
2021-02-07,12.354
2021-02-08,12.455
2021-02-09,12.476
2021-02-10,12.322
2021-02-11,12.21
2021-02-12,12.255
2021-02-13,12.255
2021-02-14,12.255
2021-02-15,12.255
2021-02-16,12.088
2021-02-17,12.162
2021-02-18,12.314
2021-02-19,12.467
2021-02-20,12.467
2021-02-21,12.467
2021-02-22,12.304
2021-02-23,12.372
2021-02-24,12.587
2021-02-25,12.59
2021-02-26,12.459
2021-02-27,12.459
2021-02-28,12.459
2021-03-01,12.804
2021-03-02,12.428
2021-03-03,12.18
2021-03-04,11.851
2021-03-05,12.347
2021-03-06,12.347
2021-03-07,12.347
2021-03-08,12.592
2021-03-09,12.415
2021-03-10,12.933
2021-03-11,12.894
2021-03-12,13.194
2021-03-13,13.194
2021-03-14,13.194
2021-03-15,13.205
2021-03-16,12.825
2021-03-17,12.94
2021-03-18,12.807
2021-03-19,12.8
2021-03-20,12.8
2021-03-21,12.8
2021-03-22,12.695
2021-03-23,12.41
2021-03-24,12.611
2021-03-25,12.825
2021-03-26,13.163
2021-03-27,13.163
2021-03-28,13.163
2021-03-29,12.987
2021-03-30,13.209
2021-03-31,13.046
2021-04-01,13.205
2021-04-02,13.205
2021-04-03,13.205
2021-04-04,13.205
2021-04-05,13.379
2021-04-06,13.364
2021-04-07,12.139
2021-04-08,12.654
2021-04-09,12.652
2021-04-10,12.652
2021-04-11,12.652
2021-04-12,12.667
2021-04-13,12.496
2021-04-14,12.584
