,TMX US Equity
,BEST_PE_RATIO
2020-09-18,32.554
2020-09-19,32.554
2020-09-20,32.554
2020-09-21,32.207
2020-09-22,32.388
2020-09-23,32.083
2020-09-24,32.612
2020-09-25,33.438
2020-09-26,33.438
2020-09-27,33.438
2020-09-28,34.198
2020-09-29,33.405
2020-09-30,32.959
2020-10-01,33.455
2020-10-02,33.81
2020-10-03,33.81
2020-10-04,33.81
2020-10-05,34.686
2020-10-06,31.564
2020-10-07,31.735
2020-10-08,31.839
2020-10-09,32.532
2020-10-10,32.532
2020-10-11,32.532
2020-10-12,32.919
2020-10-13,33.5
2020-10-14,34.095
2020-10-15,34.706
2020-10-16,35.205
2020-10-17,35.205
2020-10-18,35.205
2020-10-19,34.966
2020-10-20,35.264
2020-10-21,34.981
2020-10-22,35.242
2020-10-23,35.51
2020-10-24,35.51
2020-10-25,35.51
2020-10-26,35.331
2020-10-27,35.585
2020-10-28,35.279
2020-10-29,35.376
2020-10-30,35.063
2020-10-31,35.063
2020-11-01,35.063
2020-11-02,34.81
2020-11-03,35.897
2020-11-04,36.411
2020-11-05,33.875
2020-11-06,35.513
2020-11-07,35.513
2020-11-08,35.513
2020-11-09,32.681
2020-11-10,32.968
2020-11-11,34.218
2020-11-12,34.196
2020-11-13,34.821
2020-11-14,34.821
2020-11-15,34.821
2020-11-16,35.074
2020-11-17,34.519
2020-11-18,34.246
2020-11-19,35.242
2020-11-20,35.172
2020-11-21,35.172
2020-11-22,35.172
2020-11-23,35.705
2020-11-24,35.537
2020-11-25,34.912
2020-11-26,34.912
2020-11-27,34.954
2020-11-28,34.954
2020-11-29,34.954
2020-11-30,34.407
2020-12-01,35.474
2020-12-02,34.456
2020-12-03,34.898
2020-12-04,35.221
2020-12-05,35.221
2020-12-06,35.221
2020-12-07,35.572
2020-12-08,35.319
2020-12-09,35.116
2020-12-10,35.025
2020-12-11,34.912
2020-12-12,34.912
2020-12-13,34.912
2020-12-14,34.744
2020-12-15,35.579
2020-12-16,34.877
2020-12-17,35.944
2020-12-18,36.26
2020-12-19,36.26
2020-12-20,36.26
2020-12-21,35.895
2020-12-22,36.021
2020-12-23,36.105
2020-12-24,35.881
2020-12-25,35.881
2020-12-26,35.881
2020-12-27,35.881
2020-12-28,35.502
2020-12-29,35.011
2020-12-30,35.572
2020-12-31,35.796
2021-01-01,35.796
2021-01-02,35.796
2021-01-03,35.796
2021-01-04,34.842
2021-01-05,35.607
2021-01-06,36.793
2021-01-07,37.165
2021-01-08,37.502
2021-01-09,37.502
2021-01-10,37.502
2021-01-11,37.614
2021-01-12,38.302
2021-01-13,37.474
2021-01-14,36.568
2021-01-15,36.526
2021-01-16,36.526
2021-01-17,36.526
2021-01-18,36.526
2021-01-19,36.54
2021-01-20,36.8
2021-01-21,37.032
2021-01-22,35.326
2021-01-23,35.326
2021-01-24,35.326
2021-01-25,34.463
2021-01-26,34.218
2021-01-27,33.333
2021-01-28,34.182
2021-01-29,33.46
2021-01-30,33.46
2021-01-31,33.46
2021-02-01,33.768
2021-02-02,34.288
2021-02-03,33.761
2021-02-04,34.505
2021-02-05,33.804
2021-02-06,33.804
2021-02-07,33.804
2021-02-08,34.182
2021-02-09,34.4
2021-02-10,34.982
2021-02-11,35.004
2021-02-12,35.088
2021-02-13,35.088
2021-02-14,35.088
2021-02-15,35.088
2021-02-16,35.095
2021-02-17,35.453
2021-02-18,35.025
2021-02-19,34.807
2021-02-20,34.807
2021-02-21,34.807
2021-02-22,34.351
2021-02-23,34.575
2021-02-24,33.691
2021-02-25,30.657
2021-02-26,29.867
2021-02-27,29.867
2021-02-28,29.867
2021-03-01,29.224
2021-03-02,29.218
2021-03-03,29.002
2021-03-04,28.97
2021-03-05,29.828
2021-03-06,29.828
2021-03-07,29.828
2021-03-08,29.733
2021-03-09,30.216
2021-03-10,30.833
2021-03-11,32.136
2021-03-12,32.028
2021-03-13,32.028
2021-03-14,32.028
2021-03-15,31.926
2021-03-16,31.36
2021-03-17,31.074
2021-03-18,31.271
2021-03-19,31.818
2021-03-20,31.818
2021-03-21,31.818
2021-03-22,31.125
2021-03-23,30.273
2021-03-24,30.299
2021-03-25,30.858
2021-03-26,31.055
2021-03-27,31.055
2021-03-28,31.055
2021-03-29,29.491
2021-03-30,29.955
2021-03-31,30.305
2021-04-01,30.903
2021-04-02,30.903
2021-04-03,30.903
2021-04-04,30.903
2021-04-05,30.896
2021-04-06,30.992
2021-04-07,30.521
2021-04-08,30.585
2021-04-09,30.718
2021-04-10,30.718
2021-04-11,30.718
2021-04-12,30.992
2021-04-13,30.579
2021-04-14,30.725
2021-04-15,30.985
2021-04-16,31.036
2021-04-17,31.036
2021-04-18,31.036
2021-04-19,30.737
2021-04-20,30.477
2021-04-21,30.839
2021-04-22,31.006
2021-04-23,31.416
2021-04-24,31.416
2021-04-25,31.416
