,PARAA US Equity
2020-04-02,4.54
2020-04-03,4.54
2020-04-04,4.54
2020-04-05,4.54
2020-04-06,4.54
2020-04-07,4.54
2020-04-08,4.54
2020-04-09,3.477
2020-04-10,3.477
2020-04-11,3.477
2020-04-12,3.477
2020-04-13,3.369
2020-04-14,3.335
2020-04-15,3.127
2020-04-16,2.992
2020-04-17,3.221
2020-04-18,3.221
2020-04-19,3.221
2020-04-20,3.141
2020-04-21,3.042
2020-04-22,3.074
2020-04-23,3.13
2020-04-24,3.306
2020-04-25,3.306
2020-04-26,3.306
2020-04-27,3.538
2020-04-28,3.568
2020-04-29,2.952
2020-04-30,2.675
2020-05-01,2.661
2020-05-02,2.661
2020-05-03,2.661
2020-05-04,2.552
2020-05-05,2.42
2020-05-06,2.353
2020-05-07,2.867
2020-05-08,3.07
2020-05-09,3.07
2020-05-10,3.07
2020-05-11,3.095
2020-05-12,3.123
2020-05-13,2.871
2020-05-14,2.968
2020-05-15,3.001
2020-05-16,3.001
2020-05-17,3.001
2020-05-18,3.295
2020-05-19,3.384
2020-05-20,3.437
2020-05-21,3.459
2020-05-22,3.393
2020-05-23,3.393
2020-05-24,3.393
2020-05-25,3.393
2020-05-26,3.731
2020-05-27,3.816
2020-05-28,3.724
2020-05-29,3.6
2020-05-30,3.6
2020-05-31,3.6
2020-06-01,3.81
2020-06-02,3.747
2020-06-03,3.958
2020-06-04,4.132
2020-06-05,4.177
2020-06-06,4.177
2020-06-07,4.177
2020-06-08,4.661
2020-06-09,4.315
2020-06-10,3.998
2020-06-11,3.834
2020-06-12,3.837
2020-06-13,3.837
2020-06-14,3.837
2020-06-15,4.124
2020-06-16,4.025
2020-06-17,3.888
2020-06-18,4.492
2020-06-19,4.329
2020-06-20,4.329
2020-06-21,4.329
2020-06-22,4.303
2020-06-23,4.327
2020-06-24,4.303
2020-06-25,4.185
2020-06-26,4.036
2020-06-27,4.036
2020-06-28,4.036
2020-06-29,4.238
2020-06-30,4.243
2020-07-01,4.341
2020-07-02,4.245
2020-07-03,4.245
2020-07-04,4.245
2020-07-05,4.245
2020-07-06,4.284
2020-07-07,4.182
2020-07-08,4.152
2020-07-09,4.034
2020-07-10,4.183
2020-07-11,4.183
2020-07-12,4.183
2020-07-13,4.973
2020-07-14,5.1
2020-07-15,5.262
2020-07-16,5.337
2020-07-17,5.27
2020-07-18,5.27
2020-07-19,5.27
2020-07-20,5.154
2020-07-21,5.14
2020-07-22,5.181
2020-07-23,5.193
2020-07-24,5.156
2020-07-25,5.156
2020-07-26,5.156
2020-07-27,5.108
2020-07-28,4.847
2020-07-29,5.143
2020-07-30,5.217
2020-07-31,5.278
2020-08-01,5.278
2020-08-02,5.278
2020-08-03,5.308
2020-08-04,5.451
2020-08-05,5.28
2020-08-06,5.456
2020-08-07,5.424
2020-08-08,5.424
2020-08-09,5.424
2020-08-10,5.792
2020-08-11,5.876
2020-08-12,5.886
2020-08-13,5.98
2020-08-14,6.203
2020-08-15,6.203
2020-08-16,6.203
2020-08-17,6.188
2020-08-18,6.154
2020-08-19,6.227
2020-08-20,6.088
2020-08-21,6.078
2020-08-22,6.078
2020-08-23,6.078
2020-08-24,6.264
2020-08-25,6.262
2020-08-26,6.288
2020-08-27,6.397
2020-08-28,6.38
2020-08-29,6.38
2020-08-30,6.38
2020-08-31,6.239
2020-09-01,6.254
2020-09-02,6.348
2020-09-03,6.294
2020-09-04,6.37
2020-09-05,6.37
2020-09-06,6.37
2020-09-07,6.37
2020-09-08,6.356
2020-09-09,6.376
2020-09-10,6.552
2020-09-11,6.493
2020-09-12,6.493
2020-09-13,6.493
2020-09-14,6.699
2020-09-15,6.405
2020-09-16,6.497
2020-09-17,6.417
2020-09-18,6.438
2020-09-19,6.438
2020-09-20,6.438
2020-09-21,6.194
2020-09-22,6.235
2020-09-23,6.04
2020-09-24,6.025
2020-09-25,6.198
2020-09-26,6.198
2020-09-27,6.198
2020-09-28,6.224
2020-09-29,6.027
2020-09-30,5.935
2020-10-01,5.865
2020-10-02,5.875
2020-10-03,5.875
2020-10-04,5.875
2020-10-05,6.065
2020-10-06,6.081
2020-10-07,6.157
2020-10-08,6.284
2020-10-09,6.147
2020-10-10,6.147
2020-10-11,6.147
2020-10-12,6.055
2020-10-13,5.872
2020-10-14,5.834
2020-10-15,5.914
2020-10-16,5.95
2020-10-17,5.95
2020-10-18,5.95
2020-10-19,5.847
2020-10-20,5.883
2020-10-21,6.038
2020-10-22,6.16
2020-10-23,6.174
2020-10-24,6.174
2020-10-25,6.174
2020-10-26,6.068
2020-10-27,5.965
2020-10-28,5.828
2020-10-29,5.92
2020-10-30,6.015
2020-10-31,6.015
2020-11-01,6.015
2020-11-02,6.196
2020-11-03,6.303
2020-11-04,6.239
2020-11-05,6.531
2020-11-06,6.362
2020-11-07,6.362
2020-11-08,6.362
2020-11-09,6.437
2020-11-10,6.69
2020-11-11,6.671
2020-11-12,6.437
2020-11-13,6.747
2020-11-14,6.747
2020-11-15,6.747
2020-11-16,7.016
2020-11-17,7.179
2020-11-18,7.207
2020-11-19,7.383
2020-11-20,7.51
2020-11-21,7.51
2020-11-22,7.51
2020-11-23,7.64
2020-11-24,7.705
2020-11-25,7.761
2020-11-26,7.761
2020-11-27,7.854
2020-11-28,7.854
2020-11-29,7.854
2020-11-30,7.88
2020-12-01,8.078
2020-12-02,8.057
2020-12-03,8.096
2020-12-04,8.176
2020-12-05,8.176
2020-12-06,8.176
2020-12-07,8.122
2020-12-08,8.122
2020-12-09,8.035
2020-12-10,7.958
2020-12-11,7.908
2020-12-12,7.908
2020-12-13,7.908
2020-12-14,7.688
2020-12-15,7.79
2020-12-16,7.96
2020-12-17,8.073
2020-12-18,7.908
2020-12-19,7.908
2020-12-20,7.908
2020-12-21,7.771
2020-12-22,7.817
2020-12-23,8.062
2020-12-24,8.051
2020-12-25,8.051
2020-12-26,8.051
2020-12-27,8.051
2020-12-28,8.188
2020-12-29,8.147
2020-12-30,8.177
2020-12-31,8.223
2021-01-01,8.223
2021-01-02,8.223
2021-01-03,8.223
2021-01-04,8.117
2021-01-05,8.13
2021-01-06,8.581
2021-01-07,8.626
2021-01-08,8.628
2021-01-09,8.628
2021-01-10,8.628
2021-01-11,8.817
2021-01-12,8.948
2021-01-13,9.235
2021-01-14,9.808
2021-01-15,9.946
2021-01-16,9.946
2021-01-17,9.946
2021-01-18,9.946
2021-01-19,9.649
2021-01-20,9.631
2021-01-21,9.96
2021-01-22,10.094
2021-01-23,10.094
2021-01-24,10.094
2021-01-25,10.779
2021-01-26,11.669
2021-01-27,12.629
2021-01-28,11.358
2021-01-29,10.966
2021-01-30,10.966
2021-01-31,10.966
2021-02-01,11.805
2021-02-02,11.336
2021-02-03,11.748
2021-02-04,12.192
2021-02-05,12.651
2021-02-06,12.651
2021-02-07,12.651
2021-02-08,12.77
2021-02-09,12.878
2021-02-10,13.248
2021-02-11,13.395
2021-02-12,13.634
2021-02-13,13.634
2021-02-14,13.634
2021-02-15,13.634
2021-02-16,13.87
2021-02-17,14.28
2021-02-18,14.554
2021-02-19,14.666
2021-02-20,14.666
2021-02-21,14.666
2021-02-22,15.445
2021-02-23,15.073
2021-02-24,15.335
2021-02-25,14.624
2021-02-26,15.061
2021-02-27,15.061
2021-02-28,15.061
2021-03-01,15.724
2021-03-02,16.087
2021-03-03,16.582
2021-03-04,16.835
2021-03-05,17.743
2021-03-06,17.743
2021-03-07,17.743
2021-03-08,20.002
2021-03-09,19.029
2021-03-10,19.792
2021-03-11,20.447
2021-03-12,22.522
2021-03-13,22.522
2021-03-14,22.522
2021-03-15,22.907
2021-03-16,22.847
2021-03-17,21.868
2021-03-18,22.966
2021-03-19,23.116
2021-03-20,23.116
2021-03-21,23.116
2021-03-22,23.827
2021-03-23,21.671
2021-03-24,16.72
2021-03-25,15.85
2021-03-26,11.791
2021-03-27,11.791
2021-03-28,11.791
2021-03-29,11.417
2021-03-30,11.973
2021-03-31,11.448
2021-04-01,11.524
2021-04-02,11.524
2021-04-03,11.524
2021-04-04,11.524
2021-04-05,11.349
2021-04-06,11.39
2021-04-07,11.459
2021-04-08,11.201
2021-04-09,11.288
2021-04-10,11.288
2021-04-11,11.288
2021-04-12,10.83
2021-04-13,10.955
2021-04-14,10.774
2021-04-15,10.439
2021-04-16,10.737
2021-04-17,10.737
2021-04-18,10.737
2021-04-19,10.466
2021-04-20,10.255
2021-04-21,10.938
2021-04-22,10.999
2021-04-23,11.275
2021-04-24,11.275
2021-04-25,11.275
2021-04-26,11.207
2021-04-27,11.425
2021-04-28,11.209
2021-04-29,11.219
2021-04-30,10.95
2021-05-01,10.95
2021-05-02,10.95
2021-05-03,11.795
2021-05-04,11.736
2021-05-05,11.586
2021-05-06,11.752
2021-05-07,11.836
2021-05-08,11.836
2021-05-09,11.836
2021-05-10,10.263
2021-05-11,10.161
2021-05-12,10.612
2021-05-13,10.526
2021-05-14,10.771
2021-05-15,10.771
2021-05-16,10.771
2021-05-17,10.641
2021-05-18,11.042
2021-05-19,10.776
2021-05-20,11.206
2021-05-21,11.245
2021-05-22,11.245
2021-05-23,11.245
2021-05-24,11.128
2021-05-25,11.01
2021-05-26,11.487
2021-05-27,11.595
2021-05-28,11.385
2021-05-29,11.385
2021-05-30,11.385
2021-05-31,11.385
2021-06-01,11.407
2021-06-02,11.346
2021-06-03,11.267
2021-06-04,11.206
2021-06-05,11.206
2021-06-06,11.206
2021-06-07,11.248
2021-06-08,11.204
2021-06-09,11.331
2021-06-10,11.27
2021-06-11,11.463
2021-06-12,11.463
2021-06-13,11.463
2021-06-14,11.492
2021-06-15,11.207
2021-06-16,11.229
2021-06-17,10.836
2021-06-18,10.789
2021-06-19,10.789
2021-06-20,10.789
2021-06-21,10.961
2021-06-22,10.922
2021-06-23,11.232
2021-06-24,11.537
2021-06-25,11.933
2021-06-26,11.933
2021-06-27,11.933
2021-06-28,12.183
2021-06-29,11.802
2021-06-30,11.913
2021-07-01,11.854
2021-07-02,11.625
2021-07-03,11.625
2021-07-04,11.625
2021-07-05,11.625
2021-07-06,11.384
2021-07-07,11.303
2021-07-08,10.942
2021-07-09,11.261
2021-07-10,11.261
2021-07-11,11.261
2021-07-12,11.277
2021-07-13,11.075
2021-07-14,10.978
2021-07-15,10.892
2021-07-16,10.7
2021-07-17,10.7
2021-07-18,10.7
2021-07-19,10.551
2021-07-20,10.798
2021-07-21,10.964
2021-07-22,10.832
2021-07-23,10.922
2021-07-24,10.922
2021-07-25,10.922
2021-07-26,11.281
2021-07-27,11.059
2021-07-28,11.093
2021-07-29,11.088
2021-07-30,10.866
2021-07-31,10.866
2021-08-01,10.866
2021-08-02,10.91
2021-08-03,10.419
2021-08-04,10.549
2021-08-05,11.145
2021-08-06,10.685
2021-08-07,10.685
2021-08-08,10.685
2021-08-09,10.504
2021-08-10,10.5
2021-08-11,10.596
2021-08-12,10.553
2021-08-13,10.366
2021-08-14,10.366
2021-08-15,10.366
2021-08-16,10.156
2021-08-17,10.18
2021-08-18,10.707
2021-08-19,10.416
2021-08-20,10.588
2021-08-21,10.588
2021-08-22,10.588
2021-08-23,10.752
2021-08-24,10.75
2021-08-25,10.886
2021-08-26,10.619
2021-08-27,10.848
2021-08-28,10.848
2021-08-29,10.848
2021-08-30,10.676
2021-08-31,10.962
2021-09-01,10.936
2021-09-02,10.967
2021-09-03,10.867
2021-09-04,10.867
2021-09-05,10.867
2021-09-06,10.867
2021-09-07,10.931
2021-09-08,10.786
2021-09-09,10.64
2021-09-10,10.466
2021-09-11,10.466
2021-09-12,10.466
2021-09-13,10.688
2021-09-14,10.345
2021-09-15,10.664
2021-09-16,10.753
2021-09-17,10.628
2021-09-18,10.628
2021-09-19,10.628
2021-09-20,10.314
2021-09-21,10.199
2021-09-22,10.283
2021-09-23,10.506
2021-09-24,10.479
2021-09-25,10.479
2021-09-26,10.479
2021-09-27,10.566
2021-09-28,10.477
2021-09-29,10.434
2021-09-30,10.084
2021-10-01,10.185
2021-10-02,10.185
2021-10-03,10.185
2021-10-04,10.055
2021-10-05,10.175
2021-10-06,10.089
2021-10-07,10.23
2021-10-08,10.235
2021-10-09,10.235
2021-10-10,10.235
2021-10-11,10.127
2021-10-12,10.055
2021-10-13,10.141
2021-10-14,10.16
2021-10-15,10.019
2021-10-16,10.019
2021-10-17,10.019
2021-10-18,9.854
2021-10-19,9.974
2021-10-20,9.933
2021-10-21,9.692
2021-10-22,9.644
2021-10-23,9.644
2021-10-24,9.644
2021-10-25,9.623
2021-10-26,9.515
2021-10-27,9.217
2021-10-28,9.484
2021-10-29,9.298
2021-10-30,9.298
2021-10-31,9.298
2021-11-01,9.494
2021-11-02,9.558
2021-11-03,9.647
2021-11-04,9.415
2021-11-05,10.547
2021-11-06,10.547
2021-11-07,10.547
2021-11-08,10.478
2021-11-09,9.842
2021-11-10,9.927
2021-11-11,10.137
2021-11-12,10.132
2021-11-13,10.132
2021-11-14,10.132
2021-11-15,10.284
2021-11-16,10.017
2021-11-17,9.98
2021-11-18,9.749
2021-11-19,9.548
2021-11-20,9.548
2021-11-21,9.548
2021-11-22,9.501
2021-11-23,9.298
2021-11-24,9.399
2021-11-25,9.399
2021-11-26,9.186
2021-11-27,9.186
2021-11-28,9.186
2021-11-29,9.068
2021-11-30,8.698
2021-12-01,8.372
2021-12-02,8.487
2021-12-03,8.896
2021-12-04,8.896
2021-12-05,8.896
2021-12-06,9.071
2021-12-07,9.144
2021-12-08,9.277
2021-12-09,8.98
2021-12-10,9.063
2021-12-11,9.063
2021-12-12,9.063
2021-12-13,8.742
2021-12-14,8.601
2021-12-15,8.574
2021-12-16,8.719
2021-12-17,8.719
2021-12-18,8.719
2021-12-19,8.719
2021-12-20,8.388
2021-12-21,8.601
2021-12-22,8.506
2021-12-23,9.002
2021-12-24,9.002
2021-12-25,9.002
2021-12-26,9.002
2021-12-27,8.753
2021-12-28,8.763
2021-12-29,8.74
2021-12-30,9.094
2021-12-31,8.763
2022-01-01,8.763
2022-01-02,8.763
2022-01-03,9.438
2022-01-04,9.677
2022-01-05,9.467
2022-01-06,9.091
2022-01-07,9.807
2022-01-08,9.807
2022-01-09,9.807
2022-01-10,9.86
2022-01-11,9.079
2022-01-12,9.082
2022-01-13,9.428
2022-01-14,9.58
2022-01-15,9.58
2022-01-16,9.58
2022-01-17,9.58
2022-01-18,9.312
2022-01-19,9.22
2022-01-20,8.879
2022-01-21,8.172
2022-01-22,8.172
2022-01-23,8.172
2022-01-24,8.408
2022-01-25,8.472
2022-01-26,8.21
2022-01-27,8.153
2022-01-28,8.567
2022-01-29,8.567
2022-01-30,8.567
2022-01-31,8.667
2022-02-01,8.736
2022-02-02,8.504
2022-02-03,8.582
2022-02-04,8.667
2022-02-05,8.667
2022-02-06,8.667
2022-02-07,8.81
2022-02-08,8.956
2022-02-09,9.25
2022-02-10,9.25
2022-02-11,9.293
2022-02-12,9.293
2022-02-13,9.293
2022-02-14,9.07
2022-02-15,9.613
2022-02-16,8.838
2022-02-17,10.09
2022-02-18,9.992
2022-02-19,9.992
2022-02-20,9.992
2022-02-21,9.992
2022-02-22,9.589
2022-02-23,9.801
2022-02-24,9.929
2022-02-25,10.048
2022-02-26,10.048
2022-02-27,10.048
2022-02-28,10.374
2022-03-01,10.929
2022-03-02,11.901
2022-03-03,11.818
2022-03-04,11.398
2022-03-05,11.398
2022-03-06,11.398
2022-03-07,11.166
2022-03-08,11.218
2022-03-09,11.194
2022-03-10,11.063
2022-03-11,10.849
2022-03-12,10.849
2022-03-13,10.849
2022-03-14,12.143
2022-03-15,11.797
2022-03-16,12.178
2022-03-17,12.531
2022-03-18,13.057
2022-03-19,13.057
2022-03-20,13.057
2022-03-21,12.994
2022-03-22,13.376
2022-03-23,13.442
2022-03-24,13.456
2022-03-25,13.798
2022-03-26,13.798
2022-03-27,13.798
2022-03-28,13.386
2022-03-29,13.562
2022-03-30,13.609
2022-03-31,13.439
2022-04-01,13.594
2022-04-02,13.594
2022-04-03,13.594
2022-04-04,13.769
2022-04-05,13.377
2022-04-06,13.115
2022-04-07,12.898
2022-04-08,13.129
2022-04-09,13.129
2022-04-10,13.129
2022-04-11,13.068
2022-04-12,13.187
2022-04-13,13.231
2022-04-14,13.207
2022-04-15,13.207
2022-04-16,13.207
2022-04-17,13.207
2022-04-18,13.08
2022-04-19,13.555
2022-04-20,12.437
2022-04-21,12.12
2022-04-22,11.691
2022-04-23,11.691
2022-04-24,11.691
2022-04-25,11.864
2022-04-26,11.2
2022-04-27,11.076
2022-04-28,11.146
2022-04-29,11.143
2022-04-30,11.143
2022-05-01,11.143
2022-05-02,11.679
2022-05-03,11.596
2022-05-04,11.761
2022-05-05,11.513
2022-05-06,10.859
2022-05-07,10.859
2022-05-08,10.859
2022-05-09,10.624
2022-05-10,10.642
2022-05-11,10.377
2022-05-12,10.495
2022-05-13,10.863
2022-05-14,10.863
2022-05-15,10.863
2022-05-16,10.774
2022-05-17,12.427
2022-05-18,12.145
2022-05-19,12.324
2022-05-20,12.47
2022-05-21,12.47
2022-05-22,12.47
2022-05-23,12.653
2022-05-24,12.141
2022-05-25,12.336
2022-05-26,12.425
2022-05-27,12.909
2022-05-28,12.909
2022-05-29,12.909
2022-05-30,12.909
2022-05-31,13.115
2022-06-01,12.415
2022-06-02,12.033
2022-06-03,11.847
2022-06-04,11.847
2022-06-05,11.847
2022-06-06,11.747
2022-06-07,11.822
2022-06-08,11.85
2022-06-09,11.375
2022-06-10,10.982
2022-06-11,10.982
2022-06-12,10.982
2022-06-13,10.115
2022-06-14,10.086
2022-06-15,10.233
2022-06-16,9.567
2022-06-17,9.799
2022-06-18,9.799
2022-06-19,9.799
2022-06-20,9.799
2022-06-21,9.763
2022-06-22,9.719
2022-06-23,9.819
2022-06-24,10.362
2022-06-25,10.362
2022-06-26,10.362
2022-06-27,10.424
2022-06-28,10.257
2022-06-29,10.184
2022-06-30,9.95
2022-07-01,10.162
2022-07-02,10.162
2022-07-03,10.162
2022-07-04,10.162
2022-07-05,10.143
2022-07-06,10.143
2022-07-07,10.556
2022-07-08,10.466
2022-07-09,10.466
2022-07-10,10.466
2022-07-11,9.941
2022-07-12,10.29
2022-07-13,10.281
2022-07-14,9.957
2022-07-15,10.34
2022-07-16,10.34
2022-07-17,10.34
2022-07-18,10.258
2022-07-19,10.436
2022-07-20,10.808
2022-07-21,10.86
2022-07-22,10.604
2022-07-23,10.604
2022-07-24,10.604
2022-07-25,10.667
2022-07-26,10.327
2022-07-27,10.559
2022-07-28,10.525
2022-07-29,10.3
2022-07-30,10.3
2022-07-31,10.3
2022-08-01,10.485
2022-08-02,10.712
2022-08-03,11.104
2022-08-04,11.368
2022-08-05,11.467
2022-08-06,11.467
2022-08-07,11.467
2022-08-08,11.94
2022-08-09,11.698
2022-08-10,11.765
2022-08-11,12.203
2022-08-12,12.318
2022-08-13,12.318
2022-08-14,12.318
2022-08-15,12.422
2022-08-16,12.735
2022-08-17,12.326
2022-08-18,12.189
2022-08-19,12.193
2022-08-20,12.193
2022-08-21,12.193
2022-08-22,11.606
2022-08-23,11.615
2022-08-24,11.91
2022-08-25,12.251
2022-08-26,11.813
2022-08-27,11.813
2022-08-28,11.813
2022-08-29,11.585
2022-08-30,11.391
2022-08-31,11.138
2022-09-01,11.1
2022-09-02,10.911
2022-09-03,10.911
2022-09-04,10.911
2022-09-05,10.911
2022-09-06,10.826
2022-09-07,10.852
2022-09-08,10.759
2022-09-09,11.505
2022-09-10,11.505
2022-09-11,11.505
2022-09-12,11.777
2022-09-13,11.03
2022-09-14,10.982
2022-09-15,11.468
2022-09-16,10.877
2022-09-17,10.877
2022-09-18,10.877
2022-09-19,11.188
2022-09-20,11.035
2022-09-21,10.527
2022-09-22,10.242
2022-09-23,9.958
2022-09-24,9.958
2022-09-25,9.958
2022-09-26,9.735
2022-09-27,9.551
2022-09-28,9.792
2022-09-29,9.406
2022-09-30,9.428
2022-10-01,9.428
2022-10-02,9.428
2022-10-03,9.757
2022-10-04,9.897
2022-10-05,9.687
2022-10-06,9.494
2022-10-07,9.301
2022-10-08,9.301
2022-10-09,9.301
2022-10-10,9.293
2022-10-11,9.335
2022-10-12,9.535
2022-10-13,9.869
2022-10-14,9.624
2022-10-15,9.624
2022-10-16,9.624
2022-10-17,9.851
2022-10-18,10.057
2022-10-19,9.789
2022-10-20,9.833
2022-10-21,9.86
2022-10-22,9.86
2022-10-23,9.86
2022-10-24,9.757
2022-10-25,10.182
2022-10-26,10.033
2022-10-27,9.614
2022-10-28,9.903
2022-10-29,9.903
2022-10-30,9.903
2022-10-31,9.493
2022-11-01,9.985
2022-11-02,8.976
2022-11-03,8.889
2022-11-04,8.61
2022-11-05,8.61
2022-11-06,8.61
2022-11-07,9.046
2022-11-08,9.242
2022-11-09,8.677
2022-11-10,9.285
2022-11-11,10.401
2022-11-12,10.401
2022-11-13,10.401
2022-11-14,10.253
2022-11-15,10.706
2022-11-16,10.179
2022-11-17,10.367
2022-11-18,10.478
2022-11-19,10.478
2022-11-20,10.478
2022-11-21,10.28
2022-11-22,10.546
2022-11-23,10.85
2022-11-24,10.85
2022-11-25,10.971
2022-11-26,10.971
2022-11-27,10.971
2022-11-28,10.58
2022-11-29,10.87
2022-11-30,11.053
2022-12-01,11.039
2022-12-02,11.16
2022-12-03,11.16
2022-12-04,11.16
2022-12-05,10.628
2022-12-06,9.937
2022-12-07,9.915
2022-12-08,9.969
2022-12-09,10.573
2022-12-10,10.573
2022-12-11,10.573
2022-12-12,10.827
2022-12-13,10.832
2022-12-14,10.822
2022-12-15,9.9
2022-12-16,9.821
2022-12-17,9.821
2022-12-18,9.821
2022-12-19,9.762
2022-12-20,9.723
2022-12-21,9.772
2022-12-22,9.999
2022-12-23,9.812
2022-12-24,9.812
2022-12-25,9.812
2022-12-26,9.812
2022-12-27,9.741
2022-12-28,9.499
2022-12-29,9.893
2022-12-30,9.913
2022-12-31,9.913
2023-01-01,9.913
2023-01-02,9.913
2023-01-03,10.024
2023-01-04,10.963
2023-01-05,11.075
2023-01-06,11.345
2023-01-07,11.345
2023-01-08,11.345
2023-01-09,11.575
2023-01-10,11.809
2023-01-11,11.922
2023-01-12,12.26
2023-01-13,12.12
2023-01-14,12.12
2023-01-15,12.12
2023-01-16,12.12
2023-01-17,12.479
2023-01-18,12.021
2023-01-19,11.743
2023-01-20,12.202
2023-01-21,12.202
2023-01-22,12.202
2023-01-23,12.535
2023-01-24,12.423
2023-01-25,12.853
2023-01-26,13.167
2023-01-27,13.536
2023-01-28,13.536
2023-01-29,13.536
2023-01-30,13.168
2023-01-31,13.3
2023-02-01,13.879
2023-02-02,14.358
2023-02-03,13.999
2023-02-04,13.999
2023-02-05,13.999
2023-02-06,13.683
2023-02-07,13.249
2023-02-08,13.005
2023-02-09,12.634
2023-02-10,12.483
2023-02-11,12.483
2023-02-12,12.483
2023-02-13,12.83
2023-02-14,12.89
2023-02-15,14.004
2023-02-16,14.047
2023-02-17,15.161
2023-02-18,15.161
2023-02-19,15.161
2023-02-20,15.161
2023-02-21,15.161
2023-02-22,15.451
2023-02-23,15.55
2023-02-24,14.942
2023-02-25,14.942
2023-02-26,14.942
2023-02-27,14.889
2023-02-28,14.454
2023-03-01,14.63
2023-03-02,15.042
2023-03-03,15.254
2023-03-04,15.254
2023-03-05,15.254
2023-03-06,14.907
2023-03-07,14.376
2023-03-08,14.62
2023-03-09,13.965
2023-03-10,13.333
2023-03-11,13.333
2023-03-12,13.333
2023-03-13,13.182
2023-03-14,13.356
2023-03-15,13.368
2023-03-16,13.53
2023-03-17,13.507
2023-03-18,13.507
2023-03-19,13.507
2023-03-20,13.723
2023-03-21,14.496
2023-03-22,14.257
2023-03-23,14.304
2023-03-24,13.95
2023-03-25,13.95
2023-03-26,13.95
2023-03-27,14.316
2023-03-28,14.706
2023-03-29,14.783
2023-03-30,14.854
2023-03-31,15.261
2023-04-01,15.261
2023-04-02,15.261
2023-04-03,14.895
2023-04-04,14.889
2023-04-05,14.222
2023-04-06,14.753
2023-04-07,14.753
2023-04-08,14.753
2023-04-09,14.753
2023-04-10,15.149
2023-04-11,15.48
2023-04-12,15.013
2023-04-13,14.987
2023-04-14,14.884
2023-04-15,14.884
2023-04-16,14.884
2023-04-17,15.269
2023-04-18,15.03
2023-04-19,15.438
2023-04-20,15.18
2023-04-21,15.368
2023-04-22,15.368
2023-04-23,15.368
2023-04-24,15.667
2023-04-25,15.308
2023-04-26,15.07
2023-04-27,16.008
2023-04-28,16.118
2023-04-29,16.118
2023-04-30,16.118
2023-05-01,16.337
2023-05-02,15.954
2023-05-03,15.83
2023-05-04,12.074
2023-05-05,12.343
2023-05-06,12.343
2023-05-07,12.343
2023-05-08,12.667
2023-05-09,12.341
2023-05-10,11.903
2023-05-11,11.467
2023-05-12,11.352
2023-05-13,11.352
2023-05-14,11.352
2023-05-15,11.861
2023-05-16,11.332
2023-05-17,11.755
2023-05-18,11.938
2023-05-19,11.567
2023-05-20,11.567
2023-05-21,11.567
2023-05-22,11.362
2023-05-23,11.349
2023-05-24,11.174
2023-05-25,10.791
2023-05-26,11.51
2023-05-27,11.51
2023-05-28,11.51
2023-05-29,11.51
2023-05-30,12.241
2023-05-31,11.994
2023-06-01,12.151
2023-06-02,12.23
2023-06-03,12.23
2023-06-04,12.23
2023-06-05,12.023
2023-06-06,12.505
2023-06-07,12.995
2023-06-08,13.099
2023-06-09,12.795
2023-06-10,12.795
2023-06-11,12.795
2023-06-12,13.099
2023-06-13,13.175
2023-06-14,13.21
2023-06-15,13.21
2023-06-16,13.009
2023-06-17,13.009
2023-06-18,13.009
2023-06-19,13.009
2023-06-20,12.559
2023-06-21,12.663
2023-06-22,12.468
