,MSFT US Equity
,BEST_PE_RATIO
2020-09-17,21.201
2020-09-18,21.201
2020-09-19,21.201
2020-09-20,21.201
2020-09-21,21.201
2020-09-22,21.201
2020-09-23,21.201
2020-09-24,21.201
2020-09-25,21.201
2020-09-26,21.201
2020-09-27,21.201
2020-09-28,21.201
2020-09-29,21.201
2020-09-30,21.201
2020-10-01,21.201
2020-10-02,21.201
2020-10-03,21.201
2020-10-04,21.201
2020-10-05,21.201
2020-10-06,21.201
2020-10-07,21.201
2020-10-08,21.201
2020-10-09,21.201
2020-10-10,21.201
2020-10-11,21.201
2020-10-12,21.201
2020-10-13,21.201
2020-10-14,21.201
2020-10-15,21.201
2020-10-16,21.201
2020-10-17,21.201
2020-10-18,21.201
2020-10-19,21.201
2020-10-20,21.201
2020-10-21,21.201
2020-10-22,21.201
2020-10-23,20.177
2020-10-24,20.177
2020-10-25,20.177
2020-10-26,19.603
2020-10-27,19.899
2020-10-28,19.829
2020-10-29,20.028
2020-10-30,19.808
2020-10-31,19.808
2020-11-01,19.808
2020-11-02,19.794
2020-11-03,20.195
2020-11-04,21.17
2020-11-05,21.845
2020-11-06,21.887
2020-11-07,21.887
2020-11-08,21.887
2020-11-09,21.365
2020-11-10,20.643
2020-11-11,21.185
2020-11-12,21.077
2020-11-13,21.182
2020-11-14,21.182
2020-11-15,21.182
2020-11-16,21.252
2020-11-17,20.981
2020-11-18,20.704
2020-11-19,20.836
2020-11-20,20.637
2020-11-21,20.637
2020-11-22,20.637
2020-11-23,20.609
2020-11-24,20.977
2020-11-25,20.978
2020-11-26,20.978
2020-11-27,21.111
2020-11-28,21.111
2020-11-29,21.111
2020-11-30,20.998
2020-12-01,21.208
2020-12-02,21.125
2020-12-03,21.014
2020-12-04,21.026
2020-12-05,21.026
2020-12-06,21.026
2020-12-07,21.019
2020-12-08,21.188
2020-12-09,20.775
2020-12-10,20.649
2020-12-11,20.918
2020-12-12,20.918
2020-12-13,20.918
2020-12-14,21.01
2020-12-15,21.004
2020-12-16,21.509
2020-12-17,21.522
2020-12-18,21.441
2020-12-19,21.441
2020-12-20,21.441
2020-12-21,21.833
2020-12-22,21.966
2020-12-23,21.679
2020-12-24,21.849
2020-12-25,21.849
2020-12-26,21.849
2020-12-27,21.849
2020-12-28,22.066
2020-12-29,21.986
2020-12-30,21.744
2020-12-31,21.817
2021-01-01,21.817
2021-01-02,21.817
2021-01-03,21.817
2021-01-04,21.353
2021-01-05,21.373
2021-01-06,20.819
2021-01-07,21.412
2021-01-08,21.542
2021-01-09,21.542
2021-01-10,21.542
2021-01-11,21.333
2021-01-12,21.082
2021-01-13,21.22
2021-01-14,20.895
2021-01-15,20.858
2021-01-16,20.858
2021-01-17,20.858
2021-01-18,20.858
2021-01-19,21.23
2021-01-20,22.005
2021-01-21,19.016
2021-01-22,19.099
2021-01-23,19.099
2021-01-24,19.099
2021-01-25,19.401
2021-01-26,19.638
2021-01-27,18.331
2021-01-28,18.806
2021-01-29,18.257
2021-01-30,18.257
2021-01-31,18.257
2021-02-01,18.862
2021-02-02,18.851
2021-02-03,19.126
2021-02-04,19.048
2021-02-05,19.063
2021-02-06,19.063
2021-02-07,19.063
2021-02-08,19.084
2021-02-09,19.187
2021-02-10,19.112
2021-02-11,19.243
2021-02-12,19.283
2021-02-13,19.283
2021-02-14,19.283
2021-02-15,19.283
2021-02-16,19.181
2021-02-17,19.265
2021-02-18,19.233
2021-02-19,19.01
2021-02-20,19.01
2021-02-21,19.01
2021-02-22,18.5
2021-02-23,18.403
2021-02-24,18.504
2021-02-25,18.065
2021-02-26,18.332
2021-02-27,18.332
2021-02-28,18.332
2021-03-01,18.692
2021-03-02,18.45
2021-03-03,17.952
2021-03-04,17.887
2021-03-05,18.271
2021-03-06,18.271
2021-03-07,18.271
2021-03-08,17.939
2021-03-09,18.443
2021-03-10,18.336
2021-03-11,20.883
2021-03-12,20.762
2021-03-13,20.762
2021-03-14,20.762
2021-03-15,20.679
2021-03-16,20.934
2021-03-17,20.875
2021-03-18,20.319
2021-03-19,20.286
2021-03-20,20.286
2021-03-21,20.286
2021-03-22,20.783
2021-03-23,20.923
2021-03-24,20.736
2021-03-25,20.462
2021-03-26,20.826
2021-03-27,20.826
2021-03-28,20.826
2021-03-29,20.717
2021-03-30,20.418
2021-03-31,20.764
2021-04-01,21.343
2021-04-02,21.343
2021-04-03,21.343
2021-04-04,21.343
2021-04-05,21.935
2021-04-06,21.828
2021-04-07,22.008
2021-04-08,22.303
