,WHR US Equity
,BEST_PE_RATIO
2021-02-12,6.56
2021-02-13,6.56
2021-02-14,6.56
2021-02-15,6.56
2021-02-16,6.438
2021-02-17,6.364
2021-02-18,6.264
2021-02-19,6.409
2021-02-20,6.409
2021-02-21,6.409
2021-02-22,6.322
2021-02-23,6.326
2021-02-24,6.349
2021-02-25,6.212
2021-02-26,6.277
2021-02-27,6.277
2021-02-28,6.277
2021-03-01,6.529
2021-03-02,6.407
2021-03-03,6.307
2021-03-04,6.166
2021-03-05,6.448
2021-03-06,6.448
2021-03-07,6.448
2021-03-08,6.67
2021-03-09,6.566
2021-03-10,6.759
2021-03-11,6.789
2021-03-12,6.863
2021-03-13,6.863
2021-03-14,6.863
2021-03-15,7.031
2021-03-16,7.006
2021-03-17,7.142
2021-03-18,7.107
2021-03-19,7.214
2021-03-20,7.214
2021-03-21,7.214
2021-03-22,7.316
2021-03-23,7.06
2021-03-24,6.97
2021-03-25,7.137
2021-03-26,7.367
2021-03-27,7.367
2021-03-28,7.367
2021-03-29,7.161
2021-03-30,7.273
2021-03-31,7.277
2021-04-01,7.44
2021-04-02,7.44
2021-04-03,7.44
2021-04-04,7.44
2021-04-05,7.711
2021-04-06,7.74
2021-04-07,7.607
2021-04-08,7.726
2021-04-09,7.826
2021-04-10,7.826
2021-04-11,7.826
2021-04-12,7.844
2021-04-13,7.717
2021-04-14,7.66
2021-04-15,7.625
2021-04-16,7.754
2021-04-17,7.754
2021-04-18,7.754
2021-04-19,7.845
2021-04-20,7.884
2021-04-21,7.826
2021-04-22,8.06
2021-04-23,8.259
2021-04-24,8.259
2021-04-25,8.259
2021-04-26,8.161
2021-04-27,8.273
2021-04-28,8.138
2021-04-29,8.237
2021-04-30,8.173
2021-05-01,8.173
2021-05-02,8.173
2021-05-03,8.328
2021-05-04,8.421
2021-05-05,8.532
2021-05-06,8.649
2021-05-07,8.743
2021-05-08,8.743
2021-05-09,8.743
2021-05-10,8.703
2021-05-11,8.51
2021-05-12,8.295
