,GWW US Equity
,BEST_PE_RATIO
2021-02-07,14.003
2021-02-08,14.418
2021-02-09,14.261
2021-02-10,14.321
2021-02-11,14.241
2021-02-12,14.162
2021-02-13,14.162
2021-02-14,14.162
2021-02-15,14.162
2021-02-16,14.07
2021-02-17,14.166
2021-02-18,14.303
2021-02-19,14.441
2021-02-20,14.441
2021-02-21,14.441
2021-02-22,14.362
2021-02-23,14.447
2021-02-24,14.675
2021-02-25,14.462
2021-02-26,14.186
2021-02-27,14.186
2021-02-28,14.186
2021-03-01,14.761
2021-03-02,14.679
2021-03-03,14.759
2021-03-04,14.424
2021-03-05,15.191
2021-03-06,15.191
2021-03-07,15.191
2021-03-08,15.167
2021-03-09,14.909
2021-03-10,14.772
2021-03-11,14.428
2021-03-12,14.739
2021-03-13,14.739
2021-03-14,14.739
2021-03-15,14.915
2021-03-16,14.532
2021-03-17,14.927
2021-03-18,15.097
2021-03-19,14.945
2021-03-20,14.945
2021-03-21,14.945
2021-03-22,14.914
2021-03-23,14.713
2021-03-24,14.753
2021-03-25,14.835
2021-03-26,14.901
2021-03-27,14.901
2021-03-28,14.901
2021-03-29,14.931
2021-03-30,14.875
2021-03-31,14.96
2021-04-01,15.162
2021-04-02,15.162
2021-04-03,15.162
2021-04-04,15.162
2021-04-05,15.21
2021-04-06,15.24
2021-04-07,14.878
2021-04-08,14.847
2021-04-09,14.985
2021-04-10,14.985
2021-04-11,14.985
2021-04-12,15.148
2021-04-13,15.023
2021-04-14,15.035
2021-04-15,15.184
2021-04-16,15.276
2021-04-17,15.276
2021-04-18,15.276
2021-04-19,15.354
2021-04-20,15.532
2021-04-21,15.92
2021-04-22,15.735
2021-04-23,15.902
2021-04-24,15.902
2021-04-25,15.902
2021-04-26,15.724
2021-04-27,15.856
2021-04-28,15.815
2021-04-29,16.103
2021-04-30,16.061
2021-05-01,16.061
2021-05-02,16.061
2021-05-03,15.89
2021-05-04,16.336
2021-05-05,16.255
2021-05-06,15.881
2021-05-07,16.167
2021-05-08,16.167
2021-05-09,16.167
2021-05-10,16.465
2021-05-11,16.065
2021-05-12,15.77
2021-05-13,16.149
