,OMC US Equity
2020-04-12,5.636
2020-04-13,5.532
2020-04-14,5.516
2020-04-15,5.156
2020-04-16,5.261
2020-04-17,5.415
2020-04-18,5.415
2020-04-19,5.415
2020-04-20,5.35
2020-04-21,6.133
2020-04-22,6.055
2020-04-23,6.151
2020-04-24,6.215
2020-04-25,6.215
2020-04-26,6.215
2020-04-27,6.491
2020-04-28,6.661
2020-04-29,7.141
2020-04-30,7.334
2020-05-01,7.188
2020-05-02,7.188
2020-05-03,7.188
2020-05-04,6.979
2020-05-05,6.973
2020-05-06,6.988
2020-05-07,6.897
2020-05-08,7.087
2020-05-09,7.087
2020-05-10,7.087
2020-05-11,6.893
2020-05-12,6.669
2020-05-13,6.309
2020-05-14,6.461
2020-05-15,6.546
2020-05-16,6.546
2020-05-17,6.546
2020-05-18,6.838
2020-05-19,6.725
2020-05-20,6.744
2020-05-21,6.669
2020-05-22,6.659
2020-05-23,6.659
2020-05-24,6.659
2020-05-25,6.659
2020-05-26,6.956
2020-05-27,7.435
2020-05-28,7.095
2020-05-29,7.046
2020-05-30,7.046
2020-05-31,7.046
2020-06-01,7.148
2020-06-02,7.107
2020-06-03,7.347
2020-06-04,7.441
2020-06-05,7.817
2020-06-06,7.817
2020-06-07,7.817
2020-06-08,8.218
2020-06-09,7.76
2020-06-10,7.474
2020-06-11,7.082
2020-06-12,7.157
2020-06-13,7.157
2020-06-14,7.157
2020-06-15,7.325
2020-06-16,7.33
2020-06-17,7.204
2020-06-18,7.208
2020-06-19,6.936
2020-06-20,6.936
2020-06-21,6.936
2020-06-22,6.862
2020-06-23,7.036
2020-06-24,6.822
2020-06-25,6.867
2020-06-26,6.864
2020-06-27,6.864
2020-06-28,6.864
2020-06-29,7.061
2020-06-30,7.101
2020-07-01,7.093
2020-07-02,7.102
2020-07-03,7.102
2020-07-04,7.102
2020-07-05,7.102
2020-07-06,7.187
2020-07-07,7.246
2020-07-08,6.961
2020-07-09,6.709
2020-07-10,6.989
2020-07-11,6.989
2020-07-12,6.989
2020-07-13,7.081
2020-07-14,7.124
2020-07-15,7.302
2020-07-16,7.305
2020-07-17,7.232
2020-07-18,7.232
2020-07-19,7.232
2020-07-20,7.009
2020-07-21,7.078
2020-07-22,7.14
2020-07-23,7.315
2020-07-24,7.345
2020-07-25,7.345
2020-07-26,7.345
2020-07-27,7.404
2020-07-28,7.081
2020-07-29,7.375
2020-07-30,7.271
2020-07-31,7.335
2020-08-01,7.335
2020-08-02,7.335
2020-08-03,7.331
2020-08-04,7.255
2020-08-05,7.195
2020-08-06,7.328
2020-08-07,7.272
2020-08-08,7.272
2020-08-09,7.272
2020-08-10,7.51
2020-08-11,7.61
2020-08-12,7.393
2020-08-13,7.416
2020-08-14,7.488
2020-08-15,7.488
2020-08-16,7.488
2020-08-17,7.349
2020-08-18,7.388
2020-08-19,7.335
2020-08-20,7.216
2020-08-21,7.174
2020-08-22,7.174
2020-08-23,7.174
2020-08-24,7.439
2020-08-25,7.345
2020-08-26,7.326
2020-08-27,7.503
2020-08-28,7.524
2020-08-29,7.524
2020-08-30,7.524
2020-08-31,7.384
2020-09-01,7.621
2020-09-02,7.751
2020-09-03,7.803
2020-09-04,7.773
2020-09-05,7.773
2020-09-06,7.773
2020-09-07,7.773
2020-09-08,7.581
2020-09-09,7.464
2020-09-10,7.295
2020-09-11,7.368
2020-09-12,7.368
2020-09-13,7.368
2020-09-14,7.581
2020-09-15,7.564
2020-09-16,7.593
2020-09-17,7.547
2020-09-18,7.349
2020-09-19,7.349
2020-09-20,7.349
2020-09-21,7.021
2020-09-22,7.086
2020-09-23,6.958
2020-09-24,6.971
2020-09-25,7.007
2020-09-26,7.007
2020-09-27,7.007
2020-09-28,7.076
2020-09-29,6.964
2020-09-30,7.056
2020-10-01,7.066
2020-10-02,7.317
2020-10-03,7.317
2020-10-04,7.317
2020-10-05,7.37
2020-10-06,7.302
2020-10-07,7.434
2020-10-08,7.577
2020-10-09,7.48
2020-10-10,7.48
2020-10-11,7.48
2020-10-12,7.237
2020-10-13,7.157
2020-10-14,7.2
2020-10-15,7.148
2020-10-16,7.106
2020-10-17,7.106
2020-10-18,7.106
2020-10-19,6.86
2020-10-20,6.902
2020-10-21,6.949
2020-10-22,6.96
2020-10-23,7.114
2020-10-24,7.114
2020-10-25,7.114
2020-10-26,6.914
2020-10-27,6.318
2020-10-28,5.713
2020-10-29,5.677
2020-10-30,5.631
2020-10-31,5.631
2020-11-01,5.631
2020-11-02,5.813
2020-11-03,5.971
2020-11-04,5.708
2020-11-05,5.884
2020-11-06,5.77
2020-11-07,5.77
2020-11-08,5.77
2020-11-09,6.62
2020-11-10,6.801
2020-11-11,6.828
2020-11-12,6.709
2020-11-13,6.963
2020-11-14,6.963
2020-11-15,6.963
2020-11-16,7.383
2020-11-17,7.378
2020-11-18,7.123
2020-11-19,7.086
2020-11-20,7.117
2020-11-21,7.117
2020-11-22,7.117
2020-11-23,7.29
2020-11-24,7.688
2020-11-25,7.656
2020-11-26,7.656
2020-11-27,7.516
2020-11-28,7.516
2020-11-29,7.516
2020-11-30,7.516
2020-12-01,7.561
2020-12-02,7.596
2020-12-03,7.762
2020-12-04,7.754
2020-12-05,7.754
2020-12-06,7.754
2020-12-07,7.672
2020-12-08,7.713
2020-12-09,7.679
2020-12-10,7.631
2020-12-11,8.112
2020-12-12,8.112
2020-12-13,8.112
2020-12-14,7.985
2020-12-15,8.081
2020-12-16,8.131
2020-12-17,7.952
2020-12-18,7.82
2020-12-19,7.82
2020-12-20,7.82
2020-12-21,7.683
2020-12-22,7.587
2020-12-23,7.776
2020-12-24,7.779
2020-12-25,7.779
2020-12-26,7.779
2020-12-27,7.779
2020-12-28,7.916
2020-12-29,7.874
2020-12-30,7.854
2020-12-31,7.915
2021-01-01,7.915
2021-01-02,7.915
2021-01-03,7.915
2021-01-04,7.726
2021-01-05,7.853
2021-01-06,8.499
2021-01-07,8.118
2021-01-08,8.07
2021-01-09,8.07
2021-01-10,8.07
2021-01-11,8.084
2021-01-12,8.113
2021-01-13,7.987
2021-01-14,8.044
2021-01-15,8.01
2021-01-16,8.01
2021-01-17,8.01
2021-01-18,8.01
2021-01-19,8.586
2021-01-20,8.555
2021-01-21,8.587
2021-01-22,8.514
2021-01-23,8.514
2021-01-24,8.514
2021-01-25,8.696
2021-01-26,8.922
2021-01-27,9.058
2021-01-28,8.775
2021-01-29,9.029
2021-01-30,9.029
2021-01-31,9.029
2021-02-01,9.098
2021-02-02,9.072
2021-02-03,9.288
2021-02-04,9.387
2021-02-05,9.535
2021-02-06,9.535
2021-02-07,9.535
2021-02-08,9.661
2021-02-09,9.66
2021-02-10,9.418
2021-02-11,9.555
2021-02-12,9.589
2021-02-13,9.589
2021-02-14,9.589
2021-02-15,9.589
2021-02-16,9.538
2021-02-17,9.712
2021-02-18,9.131
2021-02-19,9.094
2021-02-20,9.094
2021-02-21,9.094
2021-02-22,9.488
2021-02-23,9.41
2021-02-24,9.434
2021-02-25,9.193
2021-02-26,9.148
2021-02-27,9.148
2021-02-28,9.148
2021-03-01,9.457
2021-03-02,9.535
2021-03-03,9.738
2021-03-04,9.589
2021-03-05,9.917
2021-03-06,9.917
2021-03-07,9.917
2021-03-08,10.285
2021-03-09,10.136
2021-03-10,10.285
2021-03-11,10.254
2021-03-12,10.447
2021-03-13,10.447
2021-03-14,10.447
2021-03-15,10.297
2021-03-16,10.314
2021-03-17,10.334
2021-03-18,10.376
2021-03-19,10.266
2021-03-20,10.266
2021-03-21,10.266
2021-03-22,10.363
2021-03-23,10.137
2021-03-24,10.059
2021-03-25,10.247
2021-03-26,10.144
2021-03-27,10.144
2021-03-28,10.144
2021-03-29,10.071
2021-03-30,10.134
2021-03-31,9.96
2021-04-01,10.196
2021-04-02,10.196
2021-04-03,10.196
2021-04-04,10.196
2021-04-05,10.226
2021-04-06,10.42
2021-04-07,10.428
2021-04-08,10.376
2021-04-09,10.07
2021-04-10,10.07
2021-04-11,10.07
2021-04-12,10.28
2021-04-13,10.191
2021-04-14,10.194
2021-04-15,10.301
2021-04-16,10.328
2021-04-17,10.328
2021-04-18,10.328
2021-04-19,10.284
2021-04-20,10.226
2021-04-21,10.335
2021-04-22,10.342
2021-04-23,10.417
2021-04-24,10.417
2021-04-25,10.417
2021-04-26,10.354
2021-04-27,10.42
2021-04-28,10.433
2021-04-29,10.629
2021-04-30,10.549
2021-05-01,10.549
2021-05-02,10.549
2021-05-03,10.712
2021-05-04,10.715
2021-05-05,10.666
2021-05-06,10.811
2021-05-07,10.896
2021-05-08,10.896
2021-05-09,10.896
2021-05-10,10.875
2021-05-11,10.739
2021-05-12,10.534
2021-05-13,10.699
2021-05-14,10.726
2021-05-15,10.726
2021-05-16,10.726
2021-05-17,10.658
2021-05-18,10.622
2021-05-19,10.536
2021-05-20,10.595
2021-05-21,10.63
2021-05-22,10.63
2021-05-23,10.63
2021-05-24,10.67
2021-05-25,10.515
2021-05-26,10.499
2021-05-27,10.595
2021-05-28,10.547
2021-05-29,10.547
2021-05-30,10.547
2021-05-31,10.547
2021-06-01,10.647
2021-06-02,10.599
2021-06-03,10.533
2021-06-04,10.619
2021-06-05,10.619
2021-06-06,10.619
2021-06-07,10.616
2021-06-08,10.731
2021-06-09,10.712
2021-06-10,10.728
2021-06-11,10.839
2021-06-12,10.839
2021-06-13,10.839
2021-06-14,10.679
2021-06-15,10.757
2021-06-16,10.689
2021-06-17,10.452
2021-06-18,10.04
2021-06-19,10.04
2021-06-20,10.04
2021-06-21,10.322
2021-06-22,10.232
2021-06-23,10.223
2021-06-24,10.294
2021-06-25,10.377
2021-06-26,10.377
2021-06-27,10.377
2021-06-28,10.157
2021-06-29,10.206
2021-06-30,10.345
2021-07-01,10.475
2021-07-02,10.461
2021-07-03,10.461
2021-07-04,10.461
2021-07-05,10.461
2021-07-06,10.201
2021-07-07,10.261
2021-07-08,10.128
2021-07-09,10.353
2021-07-10,10.353
2021-07-11,10.353
2021-07-12,10.298
2021-07-13,10.073
2021-07-14,10.195
2021-07-15,10.156
2021-07-16,10.016
2021-07-17,10.016
2021-07-18,10.016
2021-07-19,9.875
2021-07-20,9.322
2021-07-21,9.421
2021-07-22,9.204
2021-07-23,9.242
2021-07-24,9.242
2021-07-25,9.242
2021-07-26,9.366
2021-07-27,9.392
2021-07-28,9.309
2021-07-29,9.361
2021-07-30,9.309
2021-07-31,9.309
2021-08-01,9.309
2021-08-02,9.334
2021-08-03,9.315
2021-08-04,9.143
2021-08-05,9.406
2021-08-06,9.47
2021-08-07,9.47
2021-08-08,9.47
2021-08-09,9.374
2021-08-10,9.569
2021-08-11,9.747
2021-08-12,9.732
2021-08-13,9.645
2021-08-14,9.645
2021-08-15,9.645
2021-08-16,9.686
2021-08-17,9.548
2021-08-18,9.327
2021-08-19,9.091
2021-08-20,9.158
2021-08-21,9.158
2021-08-22,9.158
2021-08-23,9.282
2021-08-24,9.279
2021-08-25,9.275
2021-08-26,9.173
2021-08-27,9.356
2021-08-28,9.356
2021-08-29,9.356
2021-08-30,9.22
2021-08-31,9.36
2021-09-01,9.382
2021-09-02,9.503
2021-09-03,9.426
2021-09-04,9.426
2021-09-05,9.426
2021-09-06,9.426
2021-09-07,9.342
2021-09-08,9.3
2021-09-09,9.219
2021-09-10,9.162
2021-09-11,9.162
2021-09-12,9.162
2021-09-13,9.269
2021-09-14,9.263
2021-09-15,9.449
2021-09-16,9.37
2021-09-17,9.343
2021-09-18,9.343
2021-09-19,9.343
2021-09-20,9.226
2021-09-21,9.144
2021-09-22,9.35
2021-09-23,9.572
2021-09-24,9.645
2021-09-25,9.645
2021-09-26,9.645
2021-09-27,9.782
2021-09-28,9.539
2021-09-29,9.493
2021-09-30,8.987
2021-10-01,9.194
2021-10-02,9.194
2021-10-03,9.194
2021-10-04,9.166
2021-10-05,9.371
2021-10-06,9.332
2021-10-07,9.359
2021-10-08,9.254
2021-10-09,9.254
2021-10-10,9.254
2021-10-11,9.261
2021-10-12,9.076
2021-10-13,9.14
2021-10-14,9.409
2021-10-15,9.42
2021-10-16,9.42
2021-10-17,9.42
2021-10-18,9.401
2021-10-19,9.408
2021-10-20,8.984
2021-10-21,8.703
2021-10-22,8.531
2021-10-23,8.531
2021-10-24,8.531
2021-10-25,8.437
2021-10-26,8.54
2021-10-27,8.298
2021-10-28,8.278
2021-10-29,8.165
2021-10-30,8.165
2021-10-31,8.165
2021-11-01,8.271
2021-11-02,8.14
2021-11-03,8.156
2021-11-04,8.111
2021-11-05,8.252
2021-11-06,8.252
2021-11-07,8.252
2021-11-08,8.278
2021-11-09,8.274
2021-11-10,8.298
2021-11-11,8.348
2021-11-12,8.267
2021-11-13,8.267
2021-11-14,8.267
2021-11-15,8.279
2021-11-16,8.163
2021-11-17,8.292
2021-11-18,8.121
2021-11-19,8.05
2021-11-20,8.05
2021-11-21,8.05
2021-11-22,8.168
2021-11-23,8.289
2021-11-24,8.268
2021-11-25,8.268
2021-11-26,8.126
2021-11-27,8.126
2021-11-28,8.126
2021-11-29,8.092
2021-11-30,8.073
2021-12-01,7.984
2021-12-02,8.286
2021-12-03,8.28
2021-12-04,8.28
2021-12-05,8.28
2021-12-06,8.352
2021-12-07,8.381
2021-12-08,8.393
2021-12-09,8.37
2021-12-10,8.505
2021-12-11,8.505
2021-12-12,8.505
2021-12-13,8.545
2021-12-14,8.649
2021-12-15,8.703
2021-12-16,8.838
2021-12-17,8.759
2021-12-18,8.759
2021-12-19,8.759
2021-12-20,8.532
2021-12-21,8.748
2021-12-22,8.667
2021-12-23,8.742
2021-12-24,8.742
2021-12-25,8.742
2021-12-26,8.742
2021-12-27,8.834
2021-12-28,8.904
2021-12-29,8.905
2021-12-30,8.932
2021-12-31,8.873
2022-01-01,8.873
2022-01-02,8.873
2022-01-03,8.948
2022-01-04,9.145
2022-01-05,9.175
2022-01-06,9.419
2022-01-07,9.493
2022-01-08,9.493
2022-01-09,9.493
2022-01-10,9.416
2022-01-11,9.387
2022-01-12,9.324
2022-01-13,9.553
2022-01-14,9.639
2022-01-15,9.639
2022-01-16,9.639
2022-01-17,9.639
2022-01-18,9.553
2022-01-19,9.321
2022-01-20,9.148
2022-01-21,9.155
2022-01-22,9.155
2022-01-23,9.155
2022-01-24,9.156
2022-01-25,9.14
2022-01-26,9.156
2022-01-27,8.875
2022-01-28,9.037
2022-01-29,9.037
2022-01-30,9.037
2022-01-31,9.076
2022-02-01,9.201
2022-02-02,9.293
2022-02-03,9.355
2022-02-04,9.242
2022-02-05,9.242
2022-02-06,9.242
2022-02-07,9.323
2022-02-08,9.505
2022-02-09,10.636
2022-02-10,10.252
2022-02-11,10.068
2022-02-12,10.068
2022-02-13,10.068
2022-02-14,10.052
2022-02-15,10.252
2022-02-16,10.242
2022-02-17,10.019
2022-02-18,9.979
2022-02-19,9.979
2022-02-20,9.979
2022-02-21,9.979
2022-02-22,9.976
2022-02-23,9.822
2022-02-24,9.743
2022-02-25,9.995
2022-02-26,9.995
2022-02-27,9.995
2022-02-28,9.951
2022-03-01,9.683
2022-03-02,9.932
2022-03-03,9.871
2022-03-04,9.56
2022-03-05,9.56
2022-03-06,9.56
2022-03-07,9.005
2022-03-08,8.979
2022-03-09,9.306
2022-03-10,9.312
2022-03-11,9.229
2022-03-12,9.229
2022-03-13,9.229
2022-03-14,9.628
2022-03-15,9.771
2022-03-16,10.174
2022-03-17,10.256
2022-03-18,10.193
2022-03-19,10.193
2022-03-20,10.193
2022-03-21,10.141
2022-03-22,10.183
2022-03-23,9.991
2022-03-24,10.166
2022-03-25,10.37
2022-03-26,10.37
2022-03-27,10.37
2022-03-28,10.265
2022-03-29,10.503
2022-03-30,10.45
2022-03-31,10.273
2022-04-01,9.999
2022-04-02,9.999
2022-04-03,9.999
2022-04-04,9.919
2022-04-05,9.832
2022-04-06,9.665
2022-04-07,9.538
2022-04-08,9.493
2022-04-09,9.493
2022-04-10,9.493
2022-04-11,9.524
2022-04-12,9.494
2022-04-13,9.517
2022-04-14,9.588
2022-04-15,9.588
2022-04-16,9.588
2022-04-17,9.588
2022-04-18,9.577
2022-04-19,9.895
2022-04-20,10.416
2022-04-21,10.021
2022-04-22,9.742
2022-04-23,9.742
2022-04-24,9.742
2022-04-25,9.753
2022-04-26,9.679
2022-04-27,9.683
2022-04-28,9.7
2022-04-29,9.387
2022-04-30,9.387
2022-05-01,9.387
2022-05-02,9.469
2022-05-03,9.644
2022-05-04,9.818
2022-05-05,9.603
2022-05-06,9.541
2022-05-07,9.541
2022-05-08,9.541
2022-05-09,9.54
2022-05-10,9.326
2022-05-11,9.22
2022-05-12,9.313
2022-05-13,9.496
2022-05-14,9.496
2022-05-15,9.496
2022-05-16,9.494
2022-05-17,9.82
2022-05-18,9.494
2022-05-19,9.236
2022-05-20,9.229
2022-05-21,9.229
2022-05-22,9.229
2022-05-23,9.354
2022-05-24,8.566
2022-05-25,8.888
2022-05-26,9.006
2022-05-27,9.248
2022-05-28,9.248
2022-05-29,9.248
2022-05-30,9.248
2022-05-31,9.2
2022-06-01,8.991
2022-06-02,9.033
2022-06-03,8.832
2022-06-04,8.832
2022-06-05,8.832
2022-06-06,8.968
2022-06-07,8.945
2022-06-08,8.818
2022-06-09,8.698
2022-06-10,8.53
2022-06-11,8.53
2022-06-12,8.53
2022-06-13,8.281
2022-06-14,8.148
2022-06-15,8.208
2022-06-16,7.782
2022-06-17,7.958
2022-06-18,7.958
2022-06-19,7.958
2022-06-20,7.958
2022-06-21,8.011
2022-06-22,7.965
2022-06-23,7.94
2022-06-24,8.196
2022-06-25,8.196
2022-06-26,8.196
2022-06-27,8.215
2022-06-28,8.077
2022-06-29,8.034
2022-06-30,8.07
2022-07-01,8.159
2022-07-02,8.159
2022-07-03,8.159
2022-07-04,8.159
2022-07-05,8.117
2022-07-06,8.047
2022-07-07,8.099
2022-07-08,8.434
2022-07-09,8.434
2022-07-10,8.434
2022-07-11,8.393
2022-07-12,8.409
2022-07-13,8.404
2022-07-14,8.276
2022-07-15,8.509
2022-07-16,8.509
2022-07-17,8.509
2022-07-18,8.574
2022-07-19,8.807
2022-07-20,9.144
2022-07-21,9.092
2022-07-22,9.056
2022-07-23,9.056
2022-07-24,9.056
2022-07-25,9.101
2022-07-26,8.888
2022-07-27,9.053
2022-07-28,9.134
2022-07-29,9.159
2022-07-30,9.159
2022-07-31,9.159
2022-08-01,9.196
2022-08-02,9.127
2022-08-03,9.279
2022-08-04,9.278
2022-08-05,9.117
2022-08-06,9.117
2022-08-07,9.117
2022-08-08,9.268
2022-08-09,9.291
2022-08-10,9.481
2022-08-11,9.526
2022-08-12,9.575
2022-08-13,9.575
2022-08-14,9.575
2022-08-15,9.535
2022-08-16,9.724
2022-08-17,9.635
2022-08-18,9.663
2022-08-19,9.567
2022-08-20,9.567
2022-08-21,9.567
2022-08-22,9.206
2022-08-23,9.2
2022-08-24,9.184
2022-08-25,9.273
2022-08-26,9.061
2022-08-27,9.061
2022-08-28,9.061
2022-08-29,9.027
2022-08-30,9.001
2022-08-31,8.856
2022-09-01,8.822
2022-09-02,8.771
2022-09-03,8.771
2022-09-04,8.771
2022-09-05,8.771
2022-09-06,8.73
2022-09-07,8.913
2022-09-08,8.891
2022-09-09,9.221
2022-09-10,9.221
2022-09-11,9.221
2022-09-12,9.368
2022-09-13,9.023
2022-09-14,8.923
2022-09-15,9.03
2022-09-16,8.794
2022-09-17,8.794
2022-09-18,8.794
2022-09-19,8.927
2022-09-20,8.676
2022-09-21,8.62
2022-09-22,8.506
2022-09-23,8.388
2022-09-24,8.388
2022-09-25,8.388
2022-09-26,8.213
2022-09-27,8.334
2022-09-28,8.557
2022-09-29,8.417
2022-09-30,8.495
2022-10-01,8.495
2022-10-02,8.495
2022-10-03,8.559
2022-10-04,9.005
2022-10-05,8.935
2022-10-06,8.866
2022-10-07,8.757
2022-10-08,8.757
2022-10-09,8.757
2022-10-10,8.733
2022-10-11,8.776
2022-10-12,8.902
2022-10-13,9.197
2022-10-14,9.001
2022-10-15,9.001
2022-10-16,9.001
2022-10-17,9.116
2022-10-18,9.319
2022-10-19,9.294
2022-10-20,9.184
2022-10-21,9.483
2022-10-22,9.483
2022-10-23,9.483
2022-10-24,9.685
2022-10-25,9.735
2022-10-26,9.692
2022-10-27,9.659
2022-10-28,9.855
2022-10-29,9.855
2022-10-30,9.855
2022-10-31,9.877
2022-11-01,9.981
2022-11-02,9.78
2022-11-03,9.713
2022-11-04,9.861
2022-11-05,9.861
2022-11-06,9.861
2022-11-07,9.948
2022-11-08,10.118
2022-11-09,10.016
2022-11-10,10.251
2022-11-11,10.579
2022-11-12,10.579
2022-11-13,10.579
2022-11-14,10.426
2022-11-15,10.509
2022-11-16,10.397
2022-11-17,10.404
2022-11-18,10.536
2022-11-19,10.536
2022-11-20,10.536
2022-11-21,10.45
2022-11-22,10.659
2022-11-23,10.671
2022-11-24,10.671
2022-11-25,10.802
2022-11-26,10.802
2022-11-27,10.802
2022-11-28,10.666
2022-11-29,10.749
2022-11-30,10.886
2022-12-01,10.899
2022-12-02,10.734
2022-12-03,10.734
2022-12-04,10.734
2022-12-05,10.536
2022-12-06,10.39
2022-12-07,10.327
2022-12-08,10.319
2022-12-09,10.325
2022-12-10,10.325
2022-12-11,10.325
2022-12-12,10.685
2022-12-13,11.047
2022-12-14,11.04
2022-12-15,10.7
2022-12-16,10.527
2022-12-17,10.527
2022-12-18,10.527
2022-12-19,10.5
2022-12-20,10.665
2022-12-21,10.798
2022-12-22,10.799
2022-12-23,11.035
2022-12-24,11.035
2022-12-25,11.035
2022-12-26,11.035
2022-12-27,11.155
2022-12-28,11.053
2022-12-29,11.184
2022-12-30,11.181
2022-12-31,11.181
2023-01-01,11.181
2023-01-02,11.181
2023-01-03,11.313
2023-01-04,11.575
2023-01-05,11.668
2023-01-06,11.8
2023-01-07,11.8
2023-01-08,11.8
2023-01-09,11.748
2023-01-10,11.761
2023-01-11,11.649
2023-01-12,11.563
2023-01-13,11.523
2023-01-14,11.523
2023-01-15,11.523
2023-01-16,11.523
2023-01-17,11.471
2023-01-18,11.32
2023-01-19,11.223
2023-01-20,11.452
2023-01-21,11.452
2023-01-22,11.452
2023-01-23,11.447
2023-01-24,11.662
2023-01-25,11.745
2023-01-26,11.611
2023-01-27,11.509
2023-01-28,11.509
2023-01-29,11.509
2023-01-30,11.45
2023-01-31,11.581
2023-02-01,11.802
2023-02-02,12.367
2023-02-03,12.351
2023-02-04,12.351
2023-02-05,12.351
2023-02-06,12.24
2023-02-07,12.151
2023-02-08,11.936
2023-02-09,11.767
2023-02-10,11.249
2023-02-11,11.249
2023-02-12,11.249
2023-02-13,11.476
2023-02-14,11.501
2023-02-15,11.507
2023-02-16,11.504
2023-02-17,11.568
2023-02-18,11.568
2023-02-19,11.568
2023-02-20,11.568
2023-02-21,11.393
2023-02-22,11.444
2023-02-23,11.454
2023-02-24,11.413
2023-02-25,11.413
2023-02-26,11.413
2023-02-27,11.341
2023-02-28,11.285
2023-03-01,11.397
2023-03-02,11.441
2023-03-03,11.426
2023-03-04,11.426
2023-03-05,11.426
2023-03-06,11.438
2023-03-07,11.313
2023-03-08,11.218
2023-03-09,11.045
2023-03-10,10.98
2023-03-11,10.98
2023-03-12,10.98
2023-03-13,10.751
2023-03-14,10.969
2023-03-15,10.755
2023-03-16,10.961
2023-03-17,10.818
2023-03-18,10.818
2023-03-19,10.818
2023-03-20,11.124
2023-03-21,11.279
2023-03-22,10.995
2023-03-23,11.121
2023-03-24,10.995
2023-03-25,10.995
2023-03-26,10.995
2023-03-27,11.107
2023-03-28,11.133
2023-03-29,11.341
2023-03-30,11.607
2023-03-31,11.807
2023-04-01,11.807
2023-04-02,11.807
2023-04-03,11.914
2023-04-04,11.863
2023-04-05,11.72
2023-04-06,11.645
2023-04-07,11.645
2023-04-08,11.645
2023-04-09,11.645
2023-04-10,11.665
2023-04-11,11.706
2023-04-12,11.708
2023-04-13,11.811
2023-04-14,11.886
2023-04-15,11.886
2023-04-16,11.886
2023-04-17,11.974
2023-04-18,11.986
2023-04-19,11.483
2023-04-20,11.486
2023-04-21,11.657
2023-04-22,11.657
2023-04-23,11.657
2023-04-24,11.648
2023-04-25,11.565
2023-04-26,11.221
2023-04-27,11.186
2023-04-28,11.225
2023-04-29,11.225
2023-04-30,11.225
2023-05-01,11.424
2023-05-02,11.281
2023-05-03,10.786
2023-05-04,10.87
2023-05-05,11.122
2023-05-06,11.122
2023-05-07,11.122
2023-05-08,11.398
2023-05-09,11.354
2023-05-10,11.288
2023-05-11,11.287
2023-05-12,11.499
2023-05-13,11.499
2023-05-14,11.499
2023-05-15,11.36
2023-05-16,11.38
2023-05-17,11.51
2023-05-18,11.67
2023-05-19,11.556
2023-05-20,11.556
2023-05-21,11.556
2023-05-22,11.47
2023-05-23,11.376
2023-05-24,11.234
2023-05-25,11.015
2023-05-26,11.118
2023-05-27,11.118
2023-05-28,11.118
2023-05-29,11.118
2023-05-30,11.17
2023-05-31,10.9
2023-06-01,11.038
2023-06-02,11.287
2023-06-03,11.287
2023-06-04,11.287
2023-06-05,11.254
2023-06-06,11.471
2023-06-07,11.717
2023-06-08,11.762
2023-06-09,11.766
2023-06-10,11.766
2023-06-11,11.766
2023-06-12,11.867
2023-06-13,11.876
2023-06-14,11.782
2023-06-15,11.904
2023-06-16,11.848
2023-06-17,11.848
2023-06-18,11.848
2023-06-19,11.848
2023-06-20,11.661
2023-06-21,11.758
2023-06-22,11.839
