,TSLA US Equity
,BEST_PE_RATIO
2021-03-28,53.277
2021-03-29,52.638
2021-03-30,54.733
2021-03-31,57.516
2021-04-01,56.984
2021-04-02,56.984
2021-04-03,56.984
2021-04-04,56.984
2021-04-05,59.956
2021-04-06,60.005
2021-04-07,58.214
2021-04-08,59.327
2021-04-09,58.739
2021-04-10,58.739
2021-04-11,58.739
2021-04-12,59.434
2021-04-13,64.625
2021-04-14,62.074
2021-04-15,62.636
2021-04-16,62.714
2021-04-17,62.714
2021-04-18,62.714
2021-04-19,60.582
2021-04-20,60.952
2021-04-21,63.082
2021-04-22,61.042
2021-04-23,61.866
2021-04-24,61.866
2021-04-25,61.866
2021-04-26,62.676
2021-04-27,59.202
2021-04-28,58.333
2021-04-29,56.872
2021-04-30,59.597
2021-05-01,59.597
2021-05-02,59.597
2021-05-03,57.535
2021-05-04,56.586
2021-05-05,56.363
2021-05-06,55.741
2021-05-07,56.483
2021-05-08,56.483
2021-05-09,56.483
2021-05-10,52.843
2021-05-11,51.848
2021-05-12,49.554
2021-05-13,48.025
2021-05-14,49.541
2021-05-15,49.541
2021-05-16,49.541
2021-05-17,48.457
2021-05-18,48.544
2021-05-19,47.334
2021-05-20,49.293
2021-05-21,48.797
2021-05-22,48.797
2021-05-23,48.797
2021-05-24,53.239
2021-05-25,53.085
2021-05-26,54.353
2021-05-27,55.513
2021-05-28,55.018
2021-05-29,55.018
2021-05-30,55.018
2021-05-31,55.018
2021-06-01,54.901
2021-06-02,53.249
2021-06-03,50.408
2021-06-04,52.715
2021-06-05,52.715
2021-06-06,52.715
2021-06-07,53.25
2021-06-08,53.114
2021-06-09,52.691
2021-06-10,53.689
2021-06-11,53.669
2021-06-12,53.669
2021-06-13,53.669
2021-06-14,54.355
2021-06-15,52.742
2021-06-16,53.227
2021-06-17,54.259
2021-06-18,54.85
2021-06-19,54.85
2021-06-20,54.85
2021-06-21,54.631
2021-06-22,54.885
2021-06-23,57.776
2021-06-24,59.822
2021-06-25,59.123
2021-06-26,59.123
2021-06-27,59.123
2021-06-28,60.605
2021-06-29,59.905
2021-06-30,62.743
2021-07-01,62.579
2021-07-02,62.67
2021-07-03,62.67
2021-07-04,62.67
2021-07-05,62.67
2021-07-06,60.819
2021-07-07,59.442
2021-07-08,60.195
2021-07-09,60.576
2021-07-10,60.576
2021-07-11,60.576
2021-07-12,63.227
2021-07-13,61.782
2021-07-14,60.381
2021-07-15,60.107
2021-07-16,59.518
2021-07-17,59.518
2021-07-18,59.518
2021-07-19,59.703
2021-07-20,61.022
2021-07-21,60.323
2021-07-22,59.735
2021-07-23,59.194
2021-07-24,59.194
2021-07-25,59.194
2021-07-26,61.197
2021-07-27,58.739
2021-07-28,58.176
2021-07-29,60.907
2021-07-30,61.793
2021-07-31,61.793
2021-08-01,61.793
2021-08-02,63.065
2021-08-03,63.071
2021-08-04,63.176
2021-08-05,63.506
2021-08-06,62.126
2021-08-07,62.126
2021-08-08,62.126
2021-08-09,63.428
2021-08-10,63.093
