,AEO US Equity
,BEST_PE_RATIO
2020-11-28,10.252
2020-11-29,10.252
2020-11-30,9.97
2020-12-01,9.92
2020-12-02,10.169
2020-12-03,10.468
2020-12-04,10.612
2020-12-05,10.612
2020-12-06,10.612
2020-12-07,10.801
2020-12-08,10.812
2020-12-09,10.873
2020-12-10,10.995
2020-12-11,10.812
2020-12-12,10.812
2020-12-13,10.812
2020-12-14,10.607
2020-12-15,10.784
2020-12-16,10.633
2020-12-17,10.974
2020-12-18,10.7
2020-12-19,10.7
2020-12-20,10.7
2020-12-21,10.823
2020-12-22,10.857
2020-12-23,11.281
2020-12-24,11.069
2020-12-25,11.069
2020-12-26,11.069
2020-12-27,11.069
2020-12-28,11.275
2020-12-29,11.331
2020-12-30,11.225
2020-12-31,11.203
2021-01-01,11.203
2021-01-02,11.203
2021-01-03,11.203
2021-01-04,11.091
2021-01-05,11.549
2021-01-06,12.207
2021-01-07,12.38
2021-01-08,12.419
2021-01-09,12.419
2021-01-10,12.419
2021-01-11,12.782
2021-01-12,13.011
2021-01-13,12.833
2021-01-14,12.95
2021-01-15,12.721
2021-01-16,12.721
2021-01-17,12.721
2021-01-18,12.721
2021-01-19,12.766
2021-01-20,12.682
2021-01-21,13.357
2021-01-22,11.497
2021-01-23,11.497
2021-01-24,11.497
2021-01-25,11.284
2021-01-26,11.246
2021-01-27,10.654
2021-01-28,10.891
2021-01-29,10.744
2021-01-30,10.744
2021-01-31,10.744
2021-02-01,10.706
2021-02-02,9.926
2021-02-03,10.261
2021-02-04,10.651
2021-02-05,10.849
2021-02-06,10.849
2021-02-07,10.849
2021-02-08,10.793
2021-02-09,10.643
2021-02-10,10.647
2021-02-11,10.668
2021-02-12,10.561
2021-02-13,10.561
2021-02-14,10.561
2021-02-15,10.561
2021-02-16,10.853
2021-02-17,10.711
2021-02-18,10.548
2021-02-19,10.707
2021-02-20,10.707
2021-02-21,10.707
2021-02-22,10.823
2021-02-23,10.964
2021-02-24,11.458
2021-02-25,11.067
2021-02-26,11.025
2021-02-27,11.025
2021-02-28,11.025
2021-03-01,11.239
2021-03-02,10.771
2021-03-03,10.909
2021-03-04,11.878
2021-03-05,12.243
2021-03-06,12.243
2021-03-07,12.243
2021-03-08,12.685
2021-03-09,12.406
2021-03-10,12.839
2021-03-11,12.674
2021-03-12,12.847
2021-03-13,12.847
2021-03-14,12.847
2021-03-15,13.196
2021-03-16,13.071
2021-03-17,13.084
2021-03-18,12.816
2021-03-19,12.812
2021-03-20,12.812
2021-03-21,12.812
2021-03-22,12.416
2021-03-23,11.687
2021-03-24,11.472
