,PEP US Equity
,BEST_PE_RATIO
2020-10-01,16.655
2020-10-02,16.396
2020-10-03,16.396
2020-10-04,16.396
2020-10-05,16.38
2020-10-06,16.192
2020-10-07,16.348
2020-10-08,16.448
2020-10-09,16.519
2020-10-10,16.519
2020-10-11,16.519
2020-10-12,16.959
2020-10-13,17.127
2020-10-14,17.005
2020-10-15,16.875
2020-10-16,16.911
2020-10-17,16.911
2020-10-18,16.911
2020-10-19,16.667
2020-10-20,16.67
2020-10-21,16.657
2020-10-22,16.658
2020-10-23,16.652
2020-10-24,16.652
2020-10-25,16.652
2020-10-26,16.473
2020-10-27,16.6
2020-10-28,16.009
2020-10-29,15.988
2020-10-30,15.904
2020-10-31,15.904
2020-11-01,15.904
2020-11-02,16.126
2020-11-03,16.352
2020-11-04,16.449
2020-11-05,16.472
2020-11-06,16.511
2020-11-07,16.511
2020-11-08,16.511
2020-11-09,16.52
2020-11-10,16.91
2020-11-11,17.17
2020-11-12,17.163
2020-11-13,17.267
2020-11-14,17.267
2020-11-15,17.267
2020-11-16,17.392
2020-11-17,17.33
2020-11-18,17.108
2020-11-19,17.101
2020-11-20,17.113
2020-11-21,17.113
2020-11-22,17.113
2020-11-23,17.065
2020-11-24,17.186
2020-11-25,17.201
2020-11-26,17.201
2020-11-27,17.254
2020-11-28,17.254
2020-11-29,17.254
2020-11-30,17.209
2020-12-01,17.429
2020-12-02,17.256
2020-12-03,17.358
2020-12-04,17.527
2020-12-05,17.527
2020-12-06,17.527
2020-12-07,17.469
2020-12-08,17.487
2020-12-09,17.507
2020-12-10,17.385
2020-12-11,17.421
2020-12-12,17.421
2020-12-13,17.421
2020-12-14,17.332
2020-12-15,17.397
2020-12-16,17.297
2020-12-17,17.395
2020-12-18,17.541
2020-12-19,17.541
2020-12-20,17.541
2020-12-21,17.358
2020-12-22,17.194
2020-12-23,17.24
2020-12-24,17.318
2020-12-25,17.318
2020-12-26,17.318
2020-12-27,17.318
2020-12-28,17.539
2020-12-29,17.599
2020-12-30,17.586
2020-12-31,17.705
2021-01-01,17.705
2021-01-02,17.705
2021-01-03,17.705
2021-01-04,17.223
2021-01-05,17.275
2021-01-06,17.063
2021-01-07,17.009
2021-01-08,17.213
2021-01-09,17.213
2021-01-10,17.213
2021-01-11,16.963
2021-01-12,16.884
2021-01-13,17.023
2021-01-14,16.924
2021-01-15,16.88
2021-01-16,16.88
2021-01-17,16.88
2021-01-18,16.88
2021-01-19,17.354
2021-01-20,17.265
2021-01-21,17.055
2021-01-22,16.931
2021-01-23,16.931
2021-01-24,16.931
2021-01-25,17.125
2021-01-26,17.323
2021-01-27,16.863
2021-01-28,17.004
2021-01-29,16.684
2021-01-30,16.684
2021-01-31,16.684
2021-02-01,16.734
2021-02-02,16.905
2021-02-03,16.861
2021-02-04,17.064
2021-02-05,17.22
2021-02-06,17.22
2021-02-07,17.22
2021-02-08,17.152
2021-02-09,17.054
2021-02-10,16.822
2021-02-11,16.488
2021-02-12,16.2
2021-02-13,16.2
2021-02-14,16.2
2021-02-15,16.2
2021-02-16,16.262
2021-02-17,16.271
2021-02-18,16.382
2021-02-19,16.035
2021-02-20,16.035
2021-02-21,16.035
2021-02-22,15.973
2021-02-23,16.098
2021-02-24,16.014
2021-02-25,15.761
2021-02-26,15.663
2021-02-27,15.663
2021-02-28,15.663
2021-03-01,15.836
2021-03-02,15.891
2021-03-03,15.657
2021-03-04,15.744
2021-03-05,16.257
2021-03-06,16.257
2021-03-07,16.257
2021-03-08,16.147
2021-03-09,16.162
2021-03-10,16.324
2021-03-11,16.28
2021-03-12,16.258
2021-03-13,16.258
2021-03-14,16.258
2021-03-15,16.257
2021-03-16,16.377
2021-03-17,16.329
2021-03-18,16.196
2021-03-19,16.437
2021-03-20,16.437
2021-03-21,16.437
2021-03-22,16.84
2021-03-23,17.043
2021-03-24,16.963
2021-03-25,17.064
2021-03-26,17.439
2021-03-27,17.439
2021-03-28,17.439
2021-03-29,17.697
2021-03-30,17.419
2021-03-31,17.286
2021-04-01,17.265
2021-04-02,17.265
2021-04-03,17.265
2021-04-04,17.265
2021-04-05,17.495
2021-04-06,17.557
2021-04-07,17.484
2021-04-08,17.378
2021-04-09,17.381
2021-04-10,17.381
2021-04-11,17.381
2021-04-12,17.436
2021-04-13,17.44
2021-04-14,17.325
2021-04-15,17.354
2021-04-16,17.427
2021-04-17,17.427
2021-04-18,17.427
